cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-16.12868849,-15.147823519049046,-14.37516224672727,-13.912193857021437,-13.986239096574513,-15.09065005028704,-16.184900687918642,-16.94861053808668,-17.72249674434508,-18.6403861076568,-18.914033784621502,-18.19813353783428,-16.998474677606662,-13.946178361989055,-10.469751149309326,-6.058510278840755,-2.692668635966525,-0.13606242062181367,1.2274770876345444,2.1461743297817217,4.720339030927839,7.188883670836714,7.542769567933767,8.32680701101015,10.501821960094095,12.35568310551509,12.175189092953259,18.11013957660589,20.218521178672006,24.767530585310528,26.11456998821423,20.038877161526134,14.16565444441482,9.009823182506478,5.975218693235955,4.628467421639519,3.817018163978283,2.697286517654484,0.6613156846575197,-2.4881730276202165,-6.344637227828001,-10.72921028393884,-14.19382756806774,-16.43454779672064,-17.98070630397936,-17.87258434097027,-18.982684569698037,-20.41425306958988,-25.175869433056963,-30.914545806034173,-37.30803842,-42.498995408507334,-45.66027431519356,-47.32702266569451,-49.43377281798746,-51.32309835462188,-52.10458869234939,-52.77766019649653,-52.78660344346886,-52.730626187076304,-53.74967235145801,-54.14544225186089,-54.93424158658355,-55.81045384696874,-56.43252699256648,-56.66963334111064,-55.21892111293565,-53.59926080645513,-52.20821697024243,-51.76355872151164,-52.62848951204982,-52.977756743061406,-53.83214036394499,-54.336831592279005,-54.33009219611449,-54.28081570038531,-54.80860090008564,-55.615072872680415,-55.610199703078784,-54.686011476469666,-53.84531754993245,-53.36872615426199,-53.302348055930054,-53.60139276061949,-53.97927554364251,-53.94808803956496,-53.33904063715262,-52.520251936130634,-52.4960444719986,-52.38472337410652,-52.22683011070666,-51.75932595152999,-50.870128364601946,-50.79190613532065,-51.59081197365431,-53.81446191972981,-58.67979157596716,-65.23555091642037,-70.7839994843252,-71.03739572076104,-65.1009231
7kg_10bpm,2AB,-4.02128601,-1.4295155438160838,2.1850381771475984,6.325758153895783,9.98553076507096,12.600807048473582,14.322821516952905,15.298264044691182,15.628912570464674,15.641143742987413,15.57523708365109,15.693211878154772,16.11964660814398,16.324634711150544,16.032077539424787,15.297104901047302,14.235989645876996,13.10697613424226,12.036920449897202,11.061626251919137,10.244170299225821,9.636631283441279,9.185683710016711,8.758827022226425,8.226680859157062,7.482915541291206,6.5727263591289,5.550352643486057,4.421531577719043,3.242859023410864,2.0149739689203634,0.7860835429748299,-0.5326184031375416,-1.994317611735309,-3.172178036908216,-4.186850389540928,-5.129080786847418,-6.008580816716389,-6.8327727813358035,-7.63761753092685,-8.469430751467875,-9.356492020148663,-10.268277330288488,-11.15258557435779,-11.955241360015432,-12.78875906382248,-13.601787921923604,-14.416566313544246,-15.232762941930158,-16.056676033294117,-16.93652997954407,-17.810597510976,-18.680651776957042,-19.52813683265535,-20.33879872068571,-21.12085599027491,-21.84666863413982,-22.504313735557158,-23.12984874061859,-23.745680423457422,-24.303397282546108,-24.7540975251795,-25.08796277031073,-25.323018730149457,-25.513141511331824,-25.768308442533485,-26.14813767646416,-26.544312776660544,-26.81325674709081,-26.779297397508238,-26.422047976241597,-25.794851148632475,-25.04658332917444,-24.370374337856028,-23.810241598091324,-23.35528315131186,-22.940803346458132,-22.55774609478626,-22.202356332208723,-21.816415171415954,-21.288022107227846,-20.626648959941484,-19.97255748523964,-19.497348005343547,-19.325360439908742,-19.51808688126628,-20.02411322938968,-20.64787509953873,-21.19062587262226,-21.52642676040865,-21.505924591240017,-21.16193306534571,-20.58101098125251,-19.957755473475853,-19.470590593274565,-19.346518798240176,-18.647108159429198,-17.61228190606361,-16.54480273864371,-16.198874697801493,-16.32803384
7kg_10bpm,3AB,-1.41656815,0.39469256140781467,2.975964472351603,5.774526519784207,8.314791313004099,10.45258194421233,12.030268523915106,12.898538660641071,13.26992719951049,13.501696135663972,13.719839270915639,13.90273703743759,13.822056321722703,13.467099382857878,13.014871097961532,12.555074523799501,12.052207743106234,11.450859815973715,10.765851390990955,10.03837402519838,9.297756559162139,8.6305846571937,8.153909038041842,7.8799426422254735,7.612978702993893,7.159151454683054,6.494001762340675,5.704612256344912,4.698399897605775,3.3874162941063464,2.096526300011413,0.8910939619419291,-0.11740386888103078,-0.8666246574429111,-1.6226287006512023,-2.335987926059803,-3.125773684869694,-4.097732455889033,-5.287859831288953,-6.621268258684097,-7.971535531209378,-9.216783243968015,-10.298758523727427,-11.21700801918463,-12.05930299691994,-12.870307535057778,-13.617238856010923,-14.289305589317928,-14.900173341023182,-15.414999620396767,-15.80827532,-16.114779039547965,-16.442431334871046,-16.83994476751668,-17.406098255109267,-18.193797988059124,-19.208365391797173,-20.304545445650458,-21.50115281148861,-22.73216927274343,-23.92603676015868,-24.947211225697217,-25.679267875696503,-26.0640967702459,-26.149308134846144,-26.114672406557517,-26.084460778397982,-26.098756816185794,-26.027937345419762,-25.742300165208892,-25.38852139065466,-25.20953546069114,-25.231322316627647,-25.374168963049303,-25.578536969963228,-25.768394558644985,-25.95436670223651,-26.091734321357492,-26.14961793613704,-26.102853687859355,-25.9803588891129,-25.907983567638382,-26.037690220060636,-26.358224798044454,-26.883130757796515,-27.603945941326177,-28.118888989757583,-28.491486931091686,-28.614301121766392,-28.399178929616085,-27.859307388590544,-27.081609696663918,-26.279791839113894,-25.598314529785217,-25.15993377176891,-25.048016511660173,-25.29939258331093,-25.91759442664449,-26.811199291016678,-27.66790728534909,-28.15522088
7kg_10bpm,4AB,1.79871564,2.1071807776984244,2.7584793613338365,3.7154990839593918,5.026198718404567,6.645774435313148,8.46947149763538,10.377558008668405,12.15830237483557,13.67292940308797,14.848746576357716,15.69509693749249,16.189904978856916,16.279263021696522,16.223397949385085,16.08550115039656,15.74573538997221,14.972330823220084,13.875336547594072,12.549791201522753,11.164212545357135,9.88844188721401,8.877462851077373,8.184829941375781,7.72075975358717,7.307512985257233,6.663960846359806,5.600933976145955,4.122401755918601,2.364494511658366,0.4144703366271038,-1.1037499464823084,-2.2370016818901663,-3.147136086518767,-3.9276328849525455,-4.662702767005699,-5.402393466433692,-6.256890130991611,-7.298834387331892,-8.448191116298606,-9.536240483892442,-10.404818100392305,-10.966510455837172,-11.253869074233165,-11.359059428618425,-11.417004215407568,-11.557986546519917,-11.803102048448846,-12.13316305029445,-12.542009507452647,-13.008350804959198,-13.521822008596995,-14.121936079153453,-14.880687236056582,-15.798271372581944,-16.8582991891206,-18.073082905039524,-19.327562385909463,-20.60146461440324,-21.801171228005895,-22.84229566114085,-23.6132085599733,-24.10859574470434,-24.370673407953436,-24.504296918517937,-24.620551056028035,-24.82572273988285,-25.137289117829567,-25.547659279169594,-25.884912808919633,-26.01588423393028,-25.703119711408192,-24.91391262761918,-23.88159732672899,-23.03341357998745,-22.4252014230666,-22.074378797374695,-21.938170406736763,-21.91639099836125,-21.897478707103552,-21.784761601210146,-21.51384139738979,-21.13911363228798,-20.823068908880625,-20.652393550227398,-20.574470451598156,-20.4637198854468,-20.268598249189164,-20.050947940914526,-19.79666375043288,-19.37698468974631,-18.34845700274671,-17.249586906720314,-16.33451110083797,-15.88950693728877,-15.916518148981321,-16.473820121004707,-17.494479033505662,-18.444438046261634,-19.497322200185888,-20.52921387
7kg_10bpm,5AB,4.24847364,4.11969138313596,4.260204242111816,4.586508154209399,5.12503234584321,6.02738958,7.230895147604772,8.681872137708977,10.001115438223415,11.25996900229045,12.414272060000002,12.952463234797166,12.937078284443428,12.645111900112155,12.323211838633325,12.040952869999998,11.863591884173921,11.755968554369788,11.641808168410597,11.437936757777129,11.025150450000002,10.393370190634142,9.620502394584978,8.774418599444942,7.9025453610970455,7.09197662,6.388834563982047,5.81423956213097,5.13084239103475,4.061016264498086,2.6142908200000083,0.9725463464946196,-0.7087224779245975,-2.1215492249904067,-3.0000934378460284,-3.46897246,-3.8029237122889197,-4.28153268899312,-5.059234333261359,-6.167203425979165,-7.541290859999999,-9.009071824016198,-10.367033183200643,-11.442306391211442,-12.178526783774302,-12.620930740000002,-12.895163903351502,-13.142953671879662,-13.40952975897187,-13.714284230520063,-14.03775094,-14.41957988391266,-14.952263466039371,-15.729769483080814,-16.781227371090157,-18.08720577,-19.493198181975654,-20.938592553625504,-22.311994153428724,-23.591573607848506,-24.757306459999988,-25.83688749955051,-26.81254316603631,-27.67386617772667,-28.34423804327644,-28.78863624,-29.02232317128758,-29.1004828233927,-29.08244158016999,-29.04339109386467,-29.02482667,-29.025198288899837,-29.006682649062522,-28.896429098423553,-28.611795846845837,-28.09431637,-27.32622898678266,-26.3745319095281,-25.34330328424171,-24.313120019771603,-23.37052999,-22.585581027424922,-22.024484117346745,-21.764547580547035,-21.811872753001875,-22.074098599999992,-22.386997632681865,-22.55949602514218,-22.43176654480311,-21.92356148895636,-21.07460646,-20.10533595976832,-19.289216677740804,-18.766952049017476,-18.315343758114572,-18.07400861,-18.361256235294146,-19.05675254724403,-20.042395712662074,-21.093270956627126,-21.95624404
7kg_10bpm,6AB,1.56330022,2.1130947323510942,3.310287560806011,4.87557429366509,6.38255031853041,7.695496668371884,8.904941194273421,10.134480388273571,11.467686134131457,12.935306047402491,14.297597629391088,15.306139507321497,15.810598470409658,15.80821268459306,15.516083446689889,15.056682604870707,14.399477436306425,13.74893093368581,13.002926744252822,12.19162162194332,11.34138578456778,10.505862964208525,9.715661165569353,8.92547225888766,8.062342781909761,7.059243801975241,5.863082477149918,4.554716481657933,3.3170615634401934,2.2097733111273428,1.306296294738832,0.5343027623764625,-0.16354602750779795,-0.8098360445268994,-1.4860372845331686,-2.191078692177575,-3.0023958833855846,-3.9859802441026195,-5.142670207693718,-6.410615068439918,-7.673435874232341,-8.812200028070704,-9.699247277101831,-10.27501201473274,-10.572881232799924,-10.714205440367076,-10.81822069020631,-10.981616116539824,-11.315999208500212,-11.855528290194403,-12.57361804,-13.410348017172346,-14.286520552357802,-15.131765409654971,-15.91284426660218,-16.62848068951315,-17.298679291010153,-17.909081348016954,-18.53556721505356,-19.217838048119155,-19.970020804207838,-20.743252051473558,-21.427775797857887,-21.96324695496288,-22.29257673862071,-22.41069561982324,-22.350228553215015,-22.158410593673654,-21.92289670956527,-21.68706102089972,-21.498577503358096,-21.357352088596677,-21.292564147897412,-21.345724907113468,-21.539362839571602,-21.788913302229425,-21.958447955739,-21.981323184543914,-21.8415011701544,-21.514648750741344,-21.039387998064147,-20.49557163135664,-20.002011992485603,-19.767965944698595,-19.965685151740594,-20.454480667675735,-21.11346180179675,-21.775513654911475,-22.20517162285534,-22.373771713177796,-21.91445232359818,-21.032864567189854,-19.98917378717478,-18.99786201612182,-17.95381584489865,-16.971468528149607,-16.427583865702115,-16.192907088711976,-16.279392016002664,-16.670113571549674,-17.2187319
7kg_10bpm,7AB,6.70883769,4.795133387087802,3.8479051362472902,3.5705842746860648,4.03499106903946,5.257477866064009,7.108431748412943,9.2049115831341,11.166661541269576,12.683845115236654,13.604578909587078,14.060259043688685,14.214332244044643,14.243700434857104,14.03227108850718,13.635492559234251,13.061837847249326,12.19344146758887,11.061666030172935,9.897426810146776,8.908375393989896,8.17588145070577,7.552441804654532,7.0042309097521676,6.625074172288156,6.407572752976895,6.118102636854347,5.539314003212234,4.707408923505794,3.4768281046596403,1.9486691307429636,0.36810600404403554,-1.1680090138855572,-2.4860898970102245,-3.6348535071877004,-4.601109522025222,-5.470177290663179,-6.302980807934731,-7.1551345891736915,-8.06986513318573,-9.009260191354512,-9.868088524244172,-10.532517927437915,-10.902789935804861,-10.983499951669979,-10.998856939646108,-11.131740447362839,-11.607743995871235,-12.335488913608442,-13.248073416023049,-14.244539941800566,-15.266932973809704,-16.270880350779628,-17.182527244061543,-17.968141642573112,-18.64243368030092,-19.24604407143401,-19.832422987437358,-20.38369573440379,-20.883188880340253,-21.29777586453247,-21.594334649430895,-21.785732037440205,-21.933097903492595,-22.090002190401965,-22.320507747633993,-22.609965636393717,-22.891409915286072,-23.122478246225782,-23.342942383907662,-23.585787413316208,-23.82381397438804,-24.04305063100678,-24.273942544544315,-24.462650802202898,-24.47394687201129,-24.22395166927127,-23.718736422248707,-23.00678956139422,-22.136106920266442,-21.245040039464467,-20.47455716070979,-19.926268046934194,-19.656925069100918,-19.65805480868218,-19.862046874737725,-20.219232750412367,-20.517930945816765,-20.55820118019751,-20.30858644856406,-19.864155887927968,-19.38327039899749,-18.887286521631783,-18.578520197051674,-18.64332074857748,-19.196653363770952,-20.229035538484954,-21.372419990765877,-22.48327133145935,-23.46500968144323,-24.06193391
7kg_10bpm,8AB,4.25811481,5.123247446314757,6.351933151378942,7.619927608220831,8.690528366556851,9.715351238382132,10.644185136031245,11.475712399050945,12.138953312529255,12.62174639241065,12.998422824591321,13.358795203949349,13.560555290734674,13.392717952392008,12.982015242084751,12.476725722105403,11.934725281618963,11.529977864727064,11.312564259293376,11.131826202393576,10.934857860106087,10.611830294562111,10.10570475271487,9.466917397249867,8.887184325855038,8.527324286643628,7.840773858093972,6.650144133912255,5.038497329556704,3.083637225842932,1.4497836652559877,0.021767325434228407,-1.3931910888112533,-2.598423987749809,-3.653029743331125,-4.605505551636243,-5.449135624401169,-6.188848838136697,-6.863468549102078,-7.493725084851663,-8.103973422847709,-8.713122203927677,-9.342910115893906,-9.998727673733914,-10.666458336873415,-11.303530118950198,-11.905271102702638,-12.516358355954223,-13.234759984139185,-14.113790759085285,-15.08439753,-16.05998417189979,-16.99095733793282,-17.851823017648677,-18.604245591155745,-19.233958562996676,-19.77472136700903,-20.25511211512189,-20.719205727243,-21.188288421315914,-21.57879133729473,-21.87066440099671,-22.086077289691673,-22.284064303565753,-22.528305312305662,-22.806147042022044,-23.104422846721477,-23.400393271907173,-23.617404269887494,-23.727611230044495,-23.66430275703354,-23.42952453915529,-23.12038840193528,-22.802724452884842,-22.568661165220053,-22.401699534569897,-22.203052514479385,-21.852093907963244,-21.307039231075183,-20.616847514791043,-19.928663912889647,-19.366424326213224,-19.018210144408922,-18.847643435579712,-18.829502940265733,-18.894177415532408,-18.972756272066118,-18.875500028963216,-18.846766905497137,-18.951754226699784,-19.050926416640458,-19.178391969128914,-19.365892836451923,-19.619302888868173,-19.796943985649083,-20.132193992359813,-20.947567187843347,-22.009269320204417,-23.12762985864057,-24.14316943113971,-24.64247607
7kg_10bpm,10AB,1.82518095,1.7415135182278387,1.9943870189628958,2.4435717544095255,2.927927862520806,3.855263156251321,6.033375306061599,9.663189837836724,14.147851143384854,17.1459598354812,18.080244425437094,17.154962524475856,15.263881231892258,13.377399400068112,11.873199261443668,10.995650770154535,10.628700406088464,10.349021998937383,9.866308873143351,9.258337340603784,8.729953707472323,8.1482811227604,7.185100472494282,5.776373265736845,3.9527329606751462,2.354050621225414,1.237824436870305,0.590083614497365,0.07168908196012533,-0.5322953280094767,-1.1432605210769917,-1.835642752276033,-2.8013690538980796,-3.846136155291241,-4.623910532885792,-5.192116652071742,-5.732429214523059,-6.202366205177599,-6.558902911337512,-6.872269915718948,-7.274009486817215,-7.789426373584155,-8.314889033735145,-8.799483397363748,-9.234087685396322,-9.58058437871918,-9.876582427006998,-10.279006176873386,-11.043913569742301,-12.195272241317465,-13.48999731,-14.674617653691277,-15.511247222541009,-16.005061886377682,-16.365691647007292,-16.800896361014832,-17.432908851669826,-18.15700912462523,-18.892016955987692,-19.64071788296581,-20.514101071051495,-21.527074421204876,-22.66212632654528,-23.75297322004549,-24.525578117447655,-25.139471553476746,-25.172164606932157,-24.144497067720717,-23.353207591199986,-21.283100148874706,-19.428673311988447,-19.627907461374438,-22.33330980274232,-25.38945571778257,-26.088413477067597,-24.955657658360675,-22.617309780510485,-20.905416579875627,-20.14989687691216,-20.220055253925842,-20.54726545591435,-20.22869184426634,-19.21542209823179,-17.9310920610367,-16.952437135555776,-16.701752641253815,-16.99343615000026,-17.332877038818197,-17.387901431634464,-17.076103249728273,-16.64142423556619,-16.398893684235823,-16.548596967696415,-17.043069208066214,-17.637632663376184,-18.036119889269198,-18.057392246424676,-17.619369201465226,-17.422896036737928,-17.39399715813241,-17.36597343
7kg_10bpm,11AB,0.52771523,1.124638174555933,3.0925335509469534,5.434740146679251,7.362816428625222,8.374006213622309,8.619337052033114,9.017136162552484,10.402503523818865,12.750838079476233,14.828285805883938,15.874952778916409,15.707691684453028,14.532615945238053,12.948831028450565,11.493913601319258,10.276220227233997,9.18766507131186,8.370653000997855,8.011747946416858,8.03003585,8.263785304254641,8.297185229522333,7.872200013957033,6.88669653931231,5.423656551691307,4.002725317372905,2.655915261897238,1.392948893071502,0.25492366387021886,-0.8562506148893152,-2.0760950353397116,-3.3412002424773557,-4.5142419272241385,-5.5127435860578275,-6.401824053906822,-7.243285926032066,-8.039224965977262,-8.815188875442246,-9.582491218674924,-10.337635150000002,-11.096644674829365,-11.87860432386722,-12.597799950712043,-13.202553952078201,-13.7400920533035,-14.260534521425004,-14.853543140774356,-15.507778699847487,-16.162913849037746,-16.737506158305095,-17.22098684987851,-17.6651403947661,-18.052120548515866,-18.277013662997383,-18.335901622191233,-18.349823715501284,-18.540908415952465,-19.032176442159813,-19.725938376875497,-20.326324040000003,-20.690398849673805,-20.481622080982444,-19.885393889314084,-18.855093115216953,-17.0975963612973,-14.426053525073426,-12.013347911659022,-11.800492955147865,-14.073937563846135,-16.84612952965278,-18.23708465823103,-17.725250124153533,-16.447615548429543,-15.086232878531877,-13.994666426047633,-13.27538648900224,-12.98382499969865,-12.938489695611775,-12.814493941911518,-12.562866450000001,-12.300733555953837,-12.160231171181431,-12.144592312980192,-12.223938525091796,-12.344601157715989,-12.436647662436483,-12.32899988073259,-12.026099956105671,-11.797939975099824,-11.433418000366565,-10.94530714576233,-10.66851563812587,-10.715169512389194,-10.985294537491656,-11.59651228314126,-12.097512014743142,-12.43687467766018,-12.508414687520064,-12.691868380603223,-12.97064607
