cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,559.13764259,589.8308398461375,628.9262019857213,674.5742712678332,721.8951510263016,768.2508222933084,809.5509011400437,846.7793663508917,879.8031187719004,902.1903353196961,908.42248655,897.6809422986103,874.8906050535669,845.2074797239974,808.8246984883816,766.0687049222985,720.6236336818596,676.669730461254,638.575710464561,604.7119123653029,568.15938637,525.7527069625996,478.0053023452853,429.2840507794539,385.7124192988699,353.32171626699187,332.715093348521,324.99750439901777,329.0796367511556,340.29748198028597,355.60862378000013,375.48621474654556,399.4644615359215,425.34552837658185,451.39444616782174,477.54825017334804,504.8081529323542,533.3443601194297,561.1418054520834,585.094035224246,604.40464557,622.0515327841078,642.7577501995717,669.7201123106794,703.6278113160085,744.0388712345485,790.0017791597367,837.4126823398838,881.477971596512,919.6866519234649,952.4753699700001,981.4382525911785,1011.4940329115975,1043.0669788448615,1075.7643953567035,1107.7385624862147,1136.3555844103962,1161.214922627521,1182.754382849116,1204.2072905604361,1226.1231617,1248.1032348142874,1267.2623370296437,1281.3411813743746,1291.5773785479296,1300.6915501114606,1310.239783412978,1315.6138579953308,1319.1749144956761,1322.4516367760007,1321.7928307800003,1310.5999117954616,1288.1975131438835,1260.6230278087892,1232.276768259181,1202.0270207253275,1168.8600176475964,1136.5924973528106,1109.8783469533244,1091.0653137032364,1080.98421913,1079.3240422394044,1084.1510514388365,1088.840751608505,1082.1007703011483,1058.8900594546994,1029.3120629118307,1016.9864700904513,1032.822907512178,1053.2675607656104,1043.49395892,995.9320576154087,940.9495420455017,902.9298854761598,881.3395702758604,863.4652948443687,842.0809307658235,820.9000764100657,802.0084906820396,783.8162676628942,768.3493139
15kg_10bpm,10BC,840.58771583,861.5006022140792,884.9192300407096,906.5073469527177,925.466677098588,944.5160412582546,968.8593565677056,999.1267197460671,1031.907458103721,1060.4764646626809,1079.1256752254076,1085.6670177423337,1080.4596881691843,1065.447295914111,1043.3855692368818,1019.1493884436118,998.0147527995895,982.7057620809461,973.2126286103725,968.6373588521681,966.3453914700001,961.7241417238639,952.8816277664419,941.5554970944092,930.934203382992,924.1330186847796,924.1135903956135,929.7045662046135,935.546461945923,938.3838441123278,935.4768461996794,927.8735680752056,919.2297101318555,913.0310869789278,910.4920623376195,910.4301513167927,912.3652763554596,917.1093839292746,924.3241017935804,935.1356228288614,948.78034735,963.6184686125949,979.1106239592468,993.2467733795772,1005.0427014021068,1012.702981085313,1017.2691897984383,1018.7806059467897,1017.7529912425955,1014.2634257780503,1008.7217911372751,1002.0178021137617,995.2767924871258,989.4447740860403,984.700081185023,980.1068068411361,974.4755206172473,967.3847979864166,959.540778820722,951.4618847866075,943.59858547,936.7520826170154,931.4535080446374,926.8014772412112,920.5879239142497,911.0985509149062,898.4613971560595,885.0143308591139,874.1613379120855,867.8264773776508,867.991389279879,870.1413654775456,871.0330313222514,870.0480499668537,868.3151972053896,867.7084597188544,869.6999182514177,874.5237425267504,881.228488623494,888.5558191728556,895.3888775300001,901.4744673158248,906.2574809282781,909.244516624079,911.5467197201859,916.5025687875057,927.7618578522912,945.936391296802,965.2636046782275,979.6793346966565,984.0323251139911,978.2576049681915,964.8332658637216,946.909178949353,928.3550128790938,915.7952797644583,912.1214900873487,914.1253218726764,911.6208676975999,897.5770981736122,869.55064615
15kg_10bpm,10CA,792.96514302,790.3384507575649,792.4384434534128,804.5801072860048,833.8477799404026,895.461803027986,979.1928246417546,1066.981345672123,1139.7446206127192,1198.231137352994,1252.9862729900003,1309.076049979956,1350.206685253525,1367.4370057769822,1360.3905111226597,1334.2912676744684,1301.324428806418,1274.4375729423389,1260.9126564892074,1259.708276918292,1270.7108658100003,1294.7046992221183,1326.8345388224548,1354.2773261422547,1361.1614156152502,1338.2093580619762,1284.3609077634628,1208.4964524894613,1127.1573302650127,1053.6026921118391,990.8689600500002,937.5630701941504,889.1308826017719,843.1304886031746,792.6926883276519,735.0781431370233,672.1452818484862,607.8825598437177,547.7402251411847,497.91140717618987,464.94867655000013,449.4295802447252,444.477606856461,439.5748527379181,427.6134730431621,409.539566555583,392.7444267781286,385.79781625668244,393.0413024179357,412.50967700951816,436.48518914,458.934571522226,479.2833188927913,498.95646314663327,518.8138340852911,536.5879506590732,551.3253986716286,564.6230854717561,582.7988622926997,607.3284959700921,637.5185328200001,668.8559256883518,700.5138359397167,735.074327240989,773.7662465094473,813.4531869760058,848.3377955040951,874.7525106869199,893.3376542561031,907.2656956854225,921.75887221,935.4442106915299,943.1391610606884,942.1741611344183,938.6112427876352,940.2615293317205,950.7874171498913,968.0534806416363,984.0401847032526,997.4276426698989,1012.0946482000002,1019.7562091926065,1013.0935191844807,988.5520257805576,960.4547606796909,941.5652208933275,929.0944776020613,910.3461116996958,884.0631661718885,859.1586167523461,842.09252973,829.1631327573722,814.9067462997306,793.6498858512587,763.2493106144799,726.4708946964304,692.3295422787022,661.7178572096466,617.9605723247981,555.1819508137229,489.42271276
15kg_10bpm,11AB,599.06125721,621.0042856513905,643.7936138526663,668.8245624091936,701.6966232618656,746.2589804699246,801.540891347117,859.3080073081775,909.0997074715417,942.9986390066668,960.2005571118176,964.5943544775926,960.0923440843474,947.9650619382674,926.4007533511484,894.2393940533468,852.1164340381533,801.3201512517786,744.8159604586514,687.367610053651,633.7790235270692,585.7117989154646,544.2600945399282,509.47387397813475,479.5285376315534,450.96542194000006,423.6964798016572,399.2053637360692,379.18359113514487,360.8738684775822,345.8469867944951,339.1347144910175,339.66638995687157,348.99255835879063,364.32309829330296,385.78527486988617,412.6211375123457,442.37597648698835,472.2852456982684,501.72148332901713,532.9448842362624,569.3160566231332,612.3766081236845,660.7063508979697,711.4323903009571,760.0090367067875,806.1758038035595,851.3475275999076,896.9091999310762,942.6906938244842,984.7581747900001,1020.0390340262226,1045.3048391592486,1065.2704156489397,1083.9254891217695,1102.879544869039,1124.7053692676163,1148.4164138262574,1172.60631934067,1193.8464294795624,1209.2862110555855,1217.9034441716137,1220.8129635406551,1219.7229167417192,1219.8095337499017,1223.6589327714732,1233.8703372212533,1246.3796757468758,1255.5193480856155,1264.7857218350684,1275.9462856481553,1285.605730186769,1288.2210063842147,1280.356954719221,1265.028034319194,1252.2106110300003,1245.4137811221192,1243.3415527025795,1237.255105569213,1223.1235348200148,1203.5090810613324,1180.1967978524124,1155.823216781298,1132.3526710312522,1109.9729718158085,1089.0129049764298,1069.9797499408369,1050.9464470007554,1030.4351639257911,1017.3285917107067,1026.1918925566426,1047.226908980495,1048.8261857945317,1016.803591435903,970.1460947531334,929.1150837561283,905.0220052070617,888.981248407232,868.1509312413777,838.3172874688801,807.43886222
15kg_10bpm,11BC,830.3751342,850.5859969474386,868.2451876920121,887.8638807361815,912.6019000307318,942.8406478065651,975.2949985419643,1004.8470998867854,1026.145727387489,1034.2068456574218,1029.3952445813068,1016.449235825145,1001.0106304378627,987.2573272705341,976.2323074621021,966.0989042217574,954.9049349017645,941.9769169136684,929.708793235691,920.8153207474335,916.353633450044,916.6725928683202,921.5609189880183,930.5647416132286,942.5829651415091,955.2990778775287,966.0186769035705,972.8765965770156,976.3448455108942,977.2968112512676,976.726358245159,976.0033931572868,976.8981440953885,978.2677073870492,979.69389354165,979.7529015604929,977.3849183422801,972.2444247610816,965.7031254069553,959.5935915658649,954.3729312950749,950.6082769974483,949.0104112027267,950.0141463609609,952.3743193021562,954.3662457554439,953.4044169437938,948.5777594019999,941.2899139482513,932.1274750662402,923.8876654915392,918.435070697156,918.863235253591,927.6428880673596,945.5674877336781,970.9545255625417,999.1519178328762,1023.3378922018065,1038.4623184767684,1042.9955412320296,1038.8606909242246,1029.706045569615,1018.9637612449562,1008.1363365288616,998.0551538399616,988.7509765514216,980.4019721177995,973.8277292503905,970.2519682626305,970.4235054576059,973.6784065958908,977.9256272535823,980.1244945667204,979.062992092129,975.4120525195007,970.9281967362159,967.6148345495643,966.2772284665812,966.4427606173884,966.8045652261219,966.0369813874865,962.986655082625,959.3046141084918,955.5743154111677,953.2640689591585,955.187350741364,963.8185843655929,977.4398016188961,989.8114268030823,994.7440586266164,990.8079218883089,982.1918596638125,975.672467456055,974.9131977409959,979.6075923949711,986.2050670840118,990.029574109366,986.2997214957375,972.2745161915849,947.8339644968498,915.84372309
15kg_10bpm,11CA,733.05661518,740.5951725895111,742.7170880578295,743.6717852376198,753.0065274060898,777.282989373588,814.4739489245677,857.9773126368719,917.9014418363026,995.5244855634212,1069.1739357260287,1133.2195774888896,1189.8356212402066,1241.5530502599536,1291.2463662826476,1334.7052229710323,1363.5347206176473,1371.9151624556614,1360.9270550603646,1339.0852553327816,1320.291181929244,1314.5139016970988,1323.3103759972657,1340.1620604543189,1355.5058435066812,1364.0430207983993,1366.7659800897748,1367.0830004318634,1366.00389577418,1363.2582899027477,1355.8774240540888,1338.6570005358162,1303.6785212219013,1250.971577216237,1196.5140460256493,1145.9848470392558,1102.155958749224,1057.5771377056938,1008.8665483982213,956.2868126769998,902.9532151495121,851.021197864547,804.6093957085709,763.2124538802308,723.3407309852802,681.51167573418,635.7259963102426,590.3024794467489,550.4978764325116,519.0527292243652,495.7290698900001,478.3331684737077,464.8074394232286,454.4263676442874,447.2653225331935,444.7799206258942,449.5443643689834,464.6787302593996,490.17188273092574,522.8462509996118,557.4782666311869,589.0516581841605,615.0362584280045,633.5295770702535,645.054064676185,656.9163891476421,680.172146299786,716.9040601489662,765.0419137795153,814.9147514384595,857.5239942070817,891.8276929754996,918.869345470806,938.8711265446212,949.7787688758583,954.1965476826314,958.8621815264117,969.5393039697861,986.9178295933734,1006.7420925457502,1023.8251350284992,1039.9738588804669,1059.3525339201706,1077.0859218210937,1083.6653436189522,1077.3054556532957,1066.5381611331622,1057.5806250421385,1045.5014719183082,1024.853845437664,996.6534830360234,963.9455867351373,925.829304953096,885.6694484038173,852.2587989846346,828.8453841315005,800.1460182030424,751.4919193498348,688.0416359707065,624.3908253472204,568.14695851
15kg_10bpm,12AB,507.65879714,523.4083126956068,545.1327719934059,574.7715854568576,611.3098904823763,653.9885417651333,699.3186043392391,744.0397871002909,777.4793057326256,796.5601382756249,804.0257059874623,804.4841511637163,799.6198764027354,785.711089669956,756.5756555310801,713.1803100918899,664.2265235431863,616.6497827799312,572.0499205935077,531.3938527968758,496.8358752600001,469.9475667481549,452.8848962587677,440.31600923790745,429.54923644273964,417.8595273139941,404.4619926489917,388.9266576022813,375.89200961683684,368.7880609949174,367.48530463604646,370.7138886683435,377.8968356751098,391.0131353824409,411.17611336204925,438.1716932605835,471.03114133420945,508.8489403499726,548.9552758619586,586.3085062697897,617.3109297000001,642.7494929253546,668.5531337849272,700.7193271022156,740.2778291766128,782.4358027233313,818.673768441318,846.8065555468162,869.4869909712088,895.2108116807372,930.7438190906083,981.8814146833826,1041.944968268325,1098.395054394123,1140.8633683462615,1170.2320912207206,1191.748534595678,1212.204036132977,1229.0119686883693,1239.2776021012558,1241.9715977500002,1238.05698871,1231.0905199159035,1227.9921355652339,1235.3379094459267,1248.2144275299918,1254.2048328934043,1254.2190343031814,1253.2069208716532,1251.5527028246254,1242.9521467511024,1222.9956621422662,1193.733631876769,1157.587929692858,1120.388550720249,1089.1480867940375,1068.4868852396626,1061.4129894347366,1067.7257363310541,1079.262806368938,1085.05659207,1082.0492675212336,1075.2351690989428,1065.9688221500778,1051.538241203504,1038.1818908442929,1042.1464126161131,1060.0907252040272,1071.0194884511377,1047.6873323397926,990.661383023122,930.6118470131765,889.8699457406462,862.2601385488018,841.2064059168091,821.3074155737604,795.2771258437549,766.0251356851422,742.7838120047364,728.4292956611911,717.13072015
15kg_10bpm,12BC,698.60371703,668.4898699641265,657.0510285961424,663.6977410658686,682.0882365508663,708.1644692148376,739.1348721222389,771.1175831466674,799.3362048855613,824.3150753860654,849.9417456992145,881.8335056831459,920.6651052204508,960.9100142444894,994.3681043815487,1018.4413906238636,1030.106797978466,1033.0689833029394,1030.89563405622,1024.5764173472294,1015.2032197276081,1007.609578932686,1001.8006997459634,997.0575008897391,991.3458209731034,983.7783824700001,975.5509748845836,968.1600846064383,962.8146582760934,959.3808170419669,956.9010626132042,955.6074833507126,957.0958465561299,961.3882384313973,966.3320508058509,968.5823424609127,967.2427263249349,962.3734059431009,953.9966090048125,947.6112471404402,945.003002715384,945.5781831564874,947.8147061689327,950.5540570593616,952.5676163306058,953.4065788885478,954.2979211502203,955.6871379562465,957.526859660509,959.9588136809222,964.6062581100001,969.7771207590746,974.1426265608955,977.0957831456286,980.0797693332908,984.268823455685,989.5195459966579,994.058400431127,996.8327800747446,997.2968994289025,996.6063452794853,996.407718378836,997.6880566307236,1000.3184671787802,1002.9957355671621,1006.0558361899296,1010.0603015876133,1014.9097012626435,1019.9368245219724,1023.9162809502541,1026.280876296191,1027.7300416683088,1028.6624791215133,1028.0629681310566,1025.7439464192707,1022.0346057800001,1015.8277152924024,1007.4989150167677,1000.826822497952,997.0323239978617,996.8147349280465,999.515015451084,1003.5814257118554,1008.5063772199111,1015.3121304356692,1025.482301291626,1040.2690296608478,1054.2514588016288,1052.5714281007968,1028.1228289151297,992.9263988225265,970.350697348698,969.332298298882,977.3175184606524,977.3379872171213,965.6698900365343,949.734326887142,932.7598901831893,909.4281729822038,873.3358162550737,826.33255161
15kg_10bpm,13AB,525.70962212,531.3385194854587,541.1183067142266,558.9257958976749,587.6441183006676,626.9884140931321,673.5728512409439,724.2662076379398,772.9337870483052,816.7486438821177,853.6127571480049,881.67033931433,900.051791825614,909.7954682348882,909.5615639316163,896.0198100544427,866.9907440818107,824.0434668807683,773.1432167445384,717.8810054894141,659.4410698279642,602.8557032889919,554.0403294602683,514.8508304736266,483.92598198165547,462.2094541502854,450.08074616276826,448.42031077209754,453.0831466743223,458.67456679154174,463.04541872088527,459.3618370000431,448.78606120989156,436.66620765664595,429.72758515424795,433.8747306268344,448.6318742572103,468.9944961730563,487.43837161531576,498.7865658080946,503.01930685178144,505.89847243450305,515.8125113982738,538.6360238995279,575.3620613927458,622.6761339602989,673.1590945903982,724.5270585658782,778.361535617155,834.4118857361367,889.5726824102237,952.0298933496679,1018.4523002240269,1082.6658280535007,1132.9840211544479,1169.2100550381067,1192.968004802863,1211.2147213768642,1224.8105066126693,1237.4125729677266,1248.7750028111727,1255.1389356756326,1253.4970018212196,1245.2537502427945,1237.0772592547087,1231.48860433004,1223.9763139901079,1213.6710527927578,1204.303400026379,1197.253059712399,1190.4511294543013,1181.3211313657043,1170.3143906856214,1165.143853400444,1171.6857955848939,1170.1664003079454,1156.9183552410323,1137.5485078596691,1119.8824761094738,1108.0120617126145,1100.2532243365656,1096.564911735006,1097.6051869412054,1101.1417818323034,1101.703011444058,1097.131722433628,1085.6876356428309,1062.080828767754,1032.2875714588372,1010.367993871703,1013.7325797210112,1043.4159003523712,1055.7096268447058,1016.4848630002616,950.6686054403597,893.9701961774322,866.7246323450798,856.278291158901,841.3401842784931,815.5759838192794,791.3675045
15kg_10bpm,13BC,749.00431576,775.3013321055502,807.4476296190549,845.206305731526,889.1153043758893,939.1406807876356,989.6662300459752,1030.4893425000782,1054.452480398613,1059.6428245569332,1049.8333603666028,1033.5625517857134,1017.3509085613238,1003.7620946870491,993.3782909411849,986.1716745239261,983.5000023080504,986.7391878821207,996.4221574079769,1009.9533297591058,1026.086942903661,1041.5398304202527,1052.6914687663184,1055.1787901253228,1047.3310600912966,1028.4741105029593,1002.8353597738126,974.5060974871623,950.030182786597,933.6760154552777,926.8069916788423,928.7463923521494,936.6749318090208,947.1900130969971,956.9752130338743,962.8623283657265,962.022085572542,954.5938140264703,939.9003831280932,921.9180406389403,901.9080176458615,882.42832502888,865.1469919637564,852.5306733549451,846.4881350797905,847.0968971632699,852.0359839974591,858.4240759236395,863.8114975988886,866.9485871977502,867.6071424874401,867.0456976613245,866.493546819508,867.0156300628245,870.2383380225166,877.524757202168,888.9608412104507,904.3566717144479,921.5919987472745,938.0085768139203,952.4322082801082,964.8859619092751,975.1855894024083,982.3368008698476,986.9414638704218,992.0837240128465,999.03743293359,1008.5372966653804,1019.5162189673937,1030.331753857235,1039.8119389359867,1047.1746559398207,1052.3462629869427,1056.3704554970157,1060.4246541480602,1065.5442739963435,1070.8652428562568,1074.3315560426215,1074.8538144785755,1072.5989887599649,1069.085857263484,1066.183424051541,1064.8673723591999,1065.2035793310115,1066.9147094903049,1068.5343135364506,1068.2329690973315,1066.8129783407362,1067.955094478386,1072.2507373190074,1074.1806340315466,1064.387346085393,1039.7628293278678,1006.0408272171633,973.7816528295845,950.9044606952009,935.8218215782306,919.7070577516697,895.4346680413881,864.2798923483181,833.45664327
