cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,714.36657439,710.4554951605191,708.63522898818,745.3924726479247,798.4563405017299,855.1020094536166,895.2178488902466,925.3463662614272,942.1105319049632,953.7068090692885,954.4037981677722,940.1214529398833,917.0163662939441,870.8024446606545,815.3274072990883,751.6592966208607,681.821284916234,622.0626326837559,581.758989371244,560.036506681713,517.68016949453,480.11918842342965,460.44310294344274,448.1879927091816,425.7479983971265,405.4114973426555,385.1902630992474,354.7221338700583,320.54617323740666,296.4444060235046,293.5442644000123,294.6906473731516,297.46516359187297,299.1710960264156,299.4351505785802,307.2631627446346,322.0311667358986,339.1608094289242,354.7862901883752,369.05302951154385,384.98616617210473,403.07335161197767,423.3949121701692,455.59764405008866,495.0825965872452,548.5720689355828,608.9278224212726,662.5620608136876,714.9960974031645,756.0667537675729,798.55670459,837.6258838160235,879.4969355342475,923.4681916437632,961.6704061096724,992.450688779077,1021.743443040409,1054.5418943708466,1086.6906787000291,1106.788947089493,1122.5313469015641,1134.8258433739834,1145.902567590164,1156.8699093468708,1161.1980107269483,1158.4104331530757,1156.0177050029579,1142.9392342582262,1127.2180638275486,1111.7729409821545,1104.7927071013567,1104.025189852206,1110.6383942962614,1111.349114502961,1103.1335000992192,1090.3614590135637,1084.3466559359283,1085.1456187983463,1086.4434321506124,1084.1131265948313,1079.8169106452,1072.8731098151206,1065.4313538248762,1058.502699098953,1058.459128976945,1062.904489444242,1068.4544308838972,1072.5986035738686,1074.894116304167,1075.2139016292736,1077.8165669909358,1090.1020392036444,1105.99971531334,1115.361736767072,1112.442960266569,1104.2140765898462,1100.0337537702558,1094.0108769968504,1074.7269011724104,1010.6021297840427,1005.1485523
7kg_10bpm,2AB,625.11612263,646.4477144643873,671.4307610839068,697.1243642394279,723.4510883482378,749.3938959401717,773.3025164581844,790.9156029964383,799.7668572020572,797.8448321320216,784.0553174294225,761.3715962904749,732.7697173303239,699.6275169334373,664.8000577587662,630.9716515081755,598.9038834794977,568.9945653932448,540.001253973076,510.48469055408304,480.1499555602634,449.3250744373148,418.03036004755677,387.5594725842241,360.11527981870967,338.01308172016155,321.6801961543105,309.370380965622,297.53634663366694,284.41731482528814,269.8636036712269,253.357389033672,240.09172658121048,233.20782793538544,231.46681249625667,239.7163865024458,258.9357722957571,287.7679714827146,323.3636849540821,362.50812019105695,403.02915071917425,443.8316051055526,484.8279374076808,525.8729608925012,567.0061801855956,608.1162204460167,647.3248907713883,682.4289559055,714.2648117045919,745.6671924877471,778.9805835930241,812.4829203652439,843.161097318797,866.1334504160226,882.0319636040222,893.8213039243115,903.8166895013718,912.9887763390316,920.9692978025913,928.314193539202,934.0209286051451,937.3111181446932,938.0387060932457,936.810303415557,935.6403029946872,937.7863636340287,944.3449571160876,955.4932639537269,968.1042454372915,977.7494761694493,980.8559286879507,977.7075431746562,971.7386559693315,968.6938921996845,971.2388344978657,976.9394820833933,980.9912041668159,979.3129045617619,971.2096089522059,956.7748608763884,937.499881378278,914.2275264439531,887.6833557274252,860.554370019593,838.4222893791382,827.7196782383087,832.4628980573718,851.5777705801517,878.1420970072351,902.5951405712209,918.6908491890074,929.0793176197233,939.2689956516401,949.385598766307,957.7466877472025,968.7711490591262,983.0122613059432,998.2823502473261,1005.6870485379045,998.9371877371004,975.86640316
7kg_10bpm,3AB,682.3977006,688.0994643343811,695.8691483747351,706.2556784091792,718.9678180189214,735.5800887954625,754.4756009937901,772.2163419114504,784.2551061684552,787.2720403795032,778.1390008784076,756.9490283439618,726.212470812048,690.4710524831745,652.77281371826,614.8989558035013,577.7204955904479,542.1070882294865,509.1156986559757,476.00439708546475,440.876961070859,403.1842190019218,363.34142805314514,322.71881080177013,284.0400456346386,251.22544115070738,226.30262013785187,212.06960197975704,206.8743285806878,205.98387038651592,206.30327173216983,206.64328742985717,208.24767337160975,212.02112592273363,217.99665922716875,228.53145247901028,246.0976379029638,271.82680705361025,304.79593322779635,342.35068280829205,381.2426435023838,418.2757523432092,452.3355546701697,484.7395024258569,518.7411822105097,557.3755678635766,601.0599545890024,648.1163601873865,695.701347309635,738.8884921684154,772.9603135400001,797.5738800849983,818.6198678598109,837.009010211951,857.3184274830793,879.2833693401249,901.1760381877224,921.625807425378,940.0768328268653,958.1185660865225,975.6469052475479,990.4883506187219,1000.5953646527506,1004.9534603597319,1004.204692474546,1000.214468007667,994.9262114907337,989.3909847515372,983.8829809611003,975.8409041858497,966.336354668021,960.5968539547737,965.1126725697156,978.7692672885167,999.483858121695,1023.713468598591,1047.3357771488813,1068.2099691445715,1082.7732865317641,1089.0664629388698,1085.5938399861027,1072.2040605813718,1050.9799258372443,1027.3489634960147,1004.9701189172014,986.4081099844473,974.0964129772829,968.3810332770258,967.9737046012674,971.5525157080463,975.6079356020879,976.378623454022,968.0386540314361,951.8976593940636,935.3092751008815,926.5896119417715,931.5194402954,953.1434680768376,985.6781519785563,1020.1139232873652,1046.10979932
7kg_10bpm,4AB,702.13308493,713.6361223937788,731.5881773028788,753.6374239622912,777.6907342485055,802.0419244800253,825.3305970667394,846.5402208962422,861.9966331645734,867.0387520343595,858.3728558967446,835.8597745235903,800.8128424007225,756.169588730275,706.335811389096,657.2064219055466,611.9256848516384,571.1443232536534,534.6582695430113,500.118804272346,464.26146328598423,425.1112465832209,383.0244209716926,340.1374503295308,298.8650964833782,260.5058013881614,225.1466738847709,192.46878838419622,161.55374158259778,134.34689164372418,119.79404241595225,113.68359880412228,116.03369673329483,124.32628441086939,139.05750990602596,159.83377811713623,185.17843532220138,213.67328650404932,245.1685811741002,278.2621235902811,311.8474932226024,346.2326808904834,381.1716388410883,416.139195536417,451.2339107933628,486.3222044262369,521.0310168199163,555.8587694389443,590.2417811835854,623.9112268760409,658.3693918630267,693.3855102602878,728.5525405678247,761.8783691287887,794.7366638592055,829.180909515256,865.8477547947616,905.3943510257922,947.5786957574971,989.2034917997365,1028.2387024186996,1064.7194397327423,1095.5797994239003,1121.3337164905608,1143.5248535088708,1163.7360974486382,1183.7397494408667,1200.8853669583268,1213.334916857642,1220.394722069679,1221.4657256115804,1214.585435180678,1194.8520658716898,1160.1883433643404,1116.360803455431,1074.4790407155429,1044.6722350989314,1029.4414071041297,1026.647136132433,1029.6767429667766,1031.7951069382736,1028.5855156970729,1017.6540888564502,997.5928576065137,970.8946870889406,945.9604988391923,933.3179123072478,939.4412275653566,957.7717495773809,973.4828164709769,971.1280898819716,949.1978823727396,915.5184985486459,889.2048274113807,874.5534962765182,872.3661339940744,883.9883402694874,908.0998838480948,937.9841115903346,963.0294660679253,974.80093297
7kg_10bpm,5AB,644.901467,640.4139331461055,641.7345359667536,649.4008341924875,662.3850604953827,679.67762639,699.2042430347288,716.3837218317755,726.9835820675065,728.1368128475651,719.3066258900001,700.5671874930521,674.569266155887,645.5220473731956,615.8229310239592,588.2088362499999,562.7134109476519,539.8303033792139,519.5071429390184,500.39691840114244,479.99861804000005,457.81214195927606,432.18388484496944,400.3770385926879,364.3804445041433,327.90828749,294.3643953065684,265.3121454725154,240.61413918095695,219.76818497690186,203.78727254000003,196.1520090493166,197.85592521024918,204.44548997700892,215.66579510667844,230.44898566,248.94188661208884,271.9434884324378,298.8360750164415,328.00938354104096,358.67498918,390.4607029166383,423.2203154352843,457.19791303179915,491.985206587649,525.86459458,557.2847448351824,586.5098275478268,614.9990788004245,643.7440634810943,672.91853342,701.8290244118747,729.9436305382002,758.1567553903697,789.0142202686561,823.03857695,859.4485204246835,894.5941477863681,926.1064024545863,954.3706645183087,981.1405583299997,1007.592998877519,1035.0892587829478,1061.1284446178468,1083.1645434699574,1099.30230639,1110.3256317155424,1116.6906351986459,1120.84213194461,1124.9916830189331,1130.38147815,1136.7700361800119,1143.4284847119548,1148.8131239290426,1150.8964261987753,1148.34035196,1141.430206860464,1131.2616170272622,1118.8276501541416,1105.1905627779201,1091.7344811200003,1080.0618186692861,1071.0620104759303,1065.1272468889208,1060.5296784790721,1053.1132082400002,1039.602072472195,1022.21931684354,1007.1418085429209,997.4260327903631,990.1010272399999,981.2550782309036,974.3718418810769,976.6663826083085,992.4523097372345,1018.30317009,1048.4551292087046,1074.3943756382937,1089.839708142518,1089.1152851862398,1069.00551503
7kg_10bpm,6AB,678.55753407,689.0444428063784,699.7754209606328,709.0099027189722,717.692415858951,727.126068214874,739.1164706026412,752.8158820134954,765.0764141037315,770.2169143282993,764.5499139724938,744.9621320859586,714.2399549540403,675.6296226925091,633.7915927257233,592.5751280330686,554.4139980012778,519.8085452038943,488.3353620000918,461.004335754051,435.6292827106799,408.4983335368065,378.44537012358177,344.4554845071484,307.2134342834961,269.50704324030744,234.356102056888,203.45223960254125,178.7250742810883,162.40587958813583,151.70115183581618,146.0531575142633,148.03625357125654,157.216158141919,173.63683913051023,196.16391064002417,222.95257156175427,252.48912958404566,283.73164464949525,315.1651690460629,344.9650525034429,371.98170016705694,396.51929321841317,421.60392868729264,450.2831938752899,484.60206283712665,525.0555960515067,570.409727506869,618.0235180774134,665.1580739724714,709.76563659,750.756461424519,788.8673077691464,822.504053838247,854.1418513272796,879.8246375194267,901.767563198977,919.1545739139208,935.687278681565,953.1810300724339,974.7957343581469,998.1275387514575,1019.64414073295,1034.7103371802782,1040.0080591181927,1036.1200101128568,1026.275126274204,1015.4087532083789,1008.1207290720353,1007.6092276686607,1013.8284515249646,1025.9512953209828,1039.468497216401,1049.0777941671272,1049.9762135047938,1044.4838931472607,1036.0978838372796,1028.6487617433804,1024.040249449744,1024.2955592082592,1028.904866117513,1037.6517638710886,1051.2939793518835,1066.9739052973523,1079.6475351022445,1083.1031511861752,1074.7488196934032,1058.1436914968563,1039.936681796816,1023.5196109614749,1006.7482646079973,984.5573624060033,955.5899178110052,927.0250299849648,904.7996777981472,893.1120164747983,891.4233570976353,897.0791484667361,909.5577093804081,927.2550163806393,949.65082943
7kg_10bpm,7AB,656.418937,665.1419869790864,678.6365245526247,696.5859122639981,716.4038909840405,735.9088599284316,754.7909871957403,771.6440671617838,783.1258013260968,782.4407990032782,766.2331771845369,735.4995923590491,696.3431128190388,654.31242132762,611.9195413810506,569.7286531438483,529.8642436295568,493.8905058455764,460.75604396888883,428.96260754417693,396.33292491358094,363.4716118550593,329.2079101978977,295.07060583315894,263.0106618860334,234.1784320583255,209.1071008986161,186.84168009480015,168.69352434245516,154.72093694530275,150.60091552129032,157.94617798323657,173.19984322835484,193.404124505229,216.79687206881937,244.00157490059894,274.82881207618544,307.38490837665915,339.3572431041991,369.7696437628478,399.2646612405752,429.36799543093497,461.3429519151436,495.68422431409147,529.0424430339453,561.9486322325484,593.1631731400746,624.287386763128,657.931973619498,695.3885133501594,734.6052522666963,772.318371006819,806.6223605820708,836.0378548470363,861.690485013277,883.640324715863,904.6978572532098,927.1636793537975,950.9561245874019,973.9273426643869,994.8742672145034,1012.6643619787428,1028.3053737239736,1040.4682672795896,1047.3974174672094,1048.036406416495,1044.0633051091593,1039.4005218645732,1036.840552508741,1038.8346989567085,1046.2024917335461,1060.0165693995261,1078.786742809369,1098.5526969199211,1114.6919558141244,1123.3491207550776,1122.398419517283,1112.7515344458861,1097.159720796264,1079.006502947505,1059.985082204189,1040.4755462230648,1020.6262519976009,1000.7422979199291,981.6796625419754,966.37276481433,957.9519773085143,956.6354453167154,954.8133811616082,943.2791514307769,923.2843670246648,901.8992370926596,879.6876528327545,855.9632253390259,835.0564491376181,825.4885182596223,835.1797799232262,864.9023511244496,907.1190470578355,948.3622416798086,974.52671102
7kg_10bpm,8AB,657.32868099,650.6748241676046,648.3279350175101,649.7796966865482,655.9972076753812,668.7612950373425,687.814031600706,707.7771731251364,723.3233130732551,730.1308879680772,726.5854499278706,712.36596770489,687.0692756227365,652.4945366317713,613.0783963279198,573.3199490925413,533.6300638639235,494.8481704986527,456.0026167810913,418.69576061477625,387.25531685227304,359.1114037757533,334.39456562333726,312.1696960765631,292.8433138855275,277.378191694574,262.9504966984615,248.7984921180659,234.70550239564932,222.7034003974095,214.4731773081381,212.23440485711677,214.26851425592776,219.73471721801164,231.21609141055882,250.242550521095,276.05439645110624,305.8717218671343,337.1973488936287,368.1740351890807,397.6250857183792,426.25297592726207,457.16278493465194,493.6407336764697,535.747225613848,580.3631970266306,624.0020541352972,664.4619672365287,702.0883443849148,738.1629278472993,775.6691883000001,810.1043270562709,844.1431318226337,874.4211187905095,898.6413476328861,918.3780825974069,934.5414400618117,948.2689881894377,959.4206069033598,972.1935207006331,984.2373538425269,996.0887964869905,1006.1839281936636,1014.8130931411631,1021.1943770961349,1022.9754299361974,1018.7632946229976,1012.2748654278126,1008.5960506475141,1010.7208364942982,1019.0271804139154,1030.9758859470403,1043.6362955020722,1053.7144860280068,1059.8564705273507,1064.8854377148032,1070.6771766439472,1074.7246801817616,1072.2529203966103,1062.176538044986,1046.0799485781222,1028.5845662601569,1012.5567907746955,999.3280727601203,989.6169733455113,981.7089911383918,973.3412601579296,966.5742095467274,962.4515418988675,955.3778212123808,939.5664494300087,916.3142266073204,890.2670497516492,866.6202583607765,851.8991283877044,848.7329659444911,861.9419144220916,890.8745911515514,927.1826563687023,961.3671322402222,980.22892681
7kg_10bpm,10AB,573.18211624,578.4066152069448,586.4077886970871,601.1864862324232,622.4461364999123,644.6067430082672,661.6982287988337,671.0390894704013,671.9727785198014,663.3949245312731,646.6852814764087,623.5168942578256,593.5735847299869,556.3477778305793,515.1228627684196,473.1645818710879,432.96553175877557,397.0150918792949,366.0947395978497,339.10815504938284,314.50886947777946,292.67866028901943,273.53826781219504,257.2050691667487,245.87372176834177,243.92380529827315,249.60406612740553,262.09985137222185,279.4818379266281,297.40167613848024,312.26141887408704,322.9536270199103,330.23046320729185,335.7290524805258,340.9233777277099,347.21323784872726,355.7708037876874,367.25193080866524,381.6331283659694,396.55365395892716,409.7456787844092,421.0694540727822,432.8188109063276,446.72729048348265,465.1263755877959,490.1422661279233,520.0966139403802,555.2353031088472,593.564994334835,637.7939205992462,684.9413855400002,729.8582822901792,771.2648370599986,806.5029797314099,840.772999006071,878.6925152714329,921.1455137447055,962.9561739071277,995.3792733692153,1015.5623466784749,1027.213181581128,1035.310947592883,1045.1365938707422,1061.4708231535137,1093.565469488138,1124.2907615183517,1128.120024996072,1088.91808245986,1012.77671381288,932.9519215009684,880.7258915328352,882.8330726913122,941.3756588044488,1021.639659414555,1074.6155353354027,1060.9109816454477,995.3024820022971,932.2308975427867,906.170701590295,919.5589982365127,946.3612250033586,954.9333600521916,938.6026262811836,911.3235995803009,888.1314970308828,874.690588101294,867.7305897995028,865.3588589422611,863.7271226389516,857.8683929508047,848.2350811133072,838.3758078533165,834.9674407450228,842.6759607459445,853.4353448537411,852.5738158718614,832.1439386158612,796.3658776780474,764.7587101413914,744.2410447686252,734.90351322
7kg_10bpm,11AB,596.6607889,617.158654352112,638.869427925133,658.8721888245262,676.3495858125069,692.7220921321374,704.48126445606,704.0124876176241,686.587118532138,657.7823596835749,627.5564801903358,599.3989543436362,573.418496684705,545.7517674097215,511.00591197792477,464.829163668298,408.04297921589085,347.0807303175564,293.7785947652842,251.03852999026813,222.65322471,209.76878792823737,208.46521848637354,212.5619433041045,216.8226281938088,218.5978271850169,217.62059879100244,218.91505459929326,225.53334399819016,241.82261300684013,265.38964262417676,291.090183343881,313.5289411918184,331.02683463722144,345.0873674978746,359.2948811425774,377.475978106209,401.12655647832287,429.6862853668634,461.2886273995754,495.11991423999996,531.457645447286,570.8220519460065,614.4644376645978,660.1718720878881,705.6955739034345,751.1027022075546,793.50091704937,831.2430937644243,867.8995466298419,901.3459018032949,933.4574181452705,964.4682992825013,992.5395177769468,1014.8922814523607,1028.5636095619595,1035.7212881971752,1040.6663979052846,1049.667173544838,1064.0604524964251,1081.0778089900002,1092.9099431688412,1092.6584002557174,1067.368929119959,1012.8929266744796,939.9834737892146,869.7188524605663,828.854741589892,848.1986737526684,923.8771739142443,1013.6482508472245,1070.2795804407888,1074.4847348959242,1034.5349552630828,980.4870386756722,939.8055288428951,927.6013602482934,935.4890924067518,946.1573261867891,948.3450278314946,940.3269771700001,927.9142817476448,916.1497696403375,906.6056091846639,899.1283349773836,895.2112112312489,890.2092800942513,879.4415914614331,867.7028327237093,863.9031460461022,867.3679239408409,871.2799468319066,865.7930410871746,848.4680162877484,828.5198378983822,814.535237883611,806.5170462806751,799.3359265494107,792.5542211906339,789.5523744794788,790.4546744
