cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,917.35329149,942.9913316776217,958.9727068766172,966.129361672014,968.4383889351622,970.45789454,974.7018081382415,982.1355416776203,990.5013512293308,996.6067575395232,994.56239627,979.7928777767648,952.553607265166,914.6859266129759,871.0126971726122,828.2425294,790.6617828479842,759.8012723351277,737.5593945342976,724.152328877941,718.85668964,717.8888414515856,718.6091134477583,720.6609939480487,722.7763797008506,723.84475008,724.1630091036525,724.609088862186,725.7540800781652,728.6047594302007,733.9670704999999,741.0383438038012,749.3412174621398,757.9865610306575,767.172547462873,775.7481594000001,782.2099475616811,785.1605855119273,784.8838161239269,780.1769378672213,773.78920783,767.730818174147,763.5253878127601,760.9474669209923,758.8820351199353,756.76913851,754.1490699842236,751.4835582154631,750.0278344699848,749.2901265654925,751.70019481,756.6009208939512,762.9941503195552,769.8456443447866,776.6334506873077,783.19206213,790.1290674452714,797.0414035641563,804.7884848486393,812.6921115267781,821.0516101399999,829.1867729555277,835.2442569949127,838.1898904010357,837.814045474182,835.03430633,831.5511915933575,828.4631672541672,825.7372719112122,823.4600084788462,821.7741212199999,821.1400674159605,820.9313428038807,818.749370379001,811.9824623524628,800.0465464500002,783.7292456216989,765.0297083101949,747.2654266014122,732.7384812283883,723.2010656100001,717.3290989710616,712.0628678953094,705.8719248183726,699.5750937792668,696.05401717,700.0171795106182,715.0030194921831,740.2273566639788,768.5804854405321,788.8085632999998,794.2619270256984,792.9893664505319,799.0888379991104,817.166337363723,836.7304781699997,842.0088552721062,830.6795529805281,815.1340330025955,808.2152099755282,810.64369166
7kg_10bpm,2BC,816.47489969,845.7512718657003,877.6556725775309,908.094679637857,935.4423762207296,962.3493047668496,988.2659946653448,1011.8098382928533,1030.630762667894,1042.7903903073293,1046.9528534420615,1043.0157212137726,1031.1006564165873,1011.9961598093537,986.619711796658,955.2380660748402,919.3866127308359,881.7576056254313,844.9575436470694,812.1247773196832,785.6035884999999,765.4304142744326,750.8598068968045,741.587290781617,735.0880983350164,730.0565700239288,724.2456307535145,716.8132825315879,706.8073579664612,694.0203385064996,680.594713853173,668.081338016543,657.7827290567824,650.9474603769412,648.8946309151967,650.8538419202488,656.8256636980938,664.6859708029015,672.4295258452413,678.3884387943566,681.7811933799999,682.1847810958799,680.0380602322559,676.2080479833452,671.5998440946934,667.6226640726924,665.2753181442289,664.9621583496164,666.5999314477303,669.7630365484928,673.3185689061053,677.6228624618644,683.6246801737833,691.2180192771356,700.6886296355678,711.9965459980416,724.6539718185805,737.1323301143087,748.7412202057544,758.8998192378124,768.2566351600001,776.9291881864652,784.9491428925834,791.0052948879257,795.9541148367034,800.8976613722288,806.0310877349066,812.3742451411878,819.7201289368852,826.7407289195736,833.4876617051765,839.2915274329048,843.0185195952419,843.6664091625016,841.3477831498303,837.6566255785052,834.1323135625356,831.820504339677,829.5735675691462,825.1684878795257,817.26562151,806.919715354683,798.1866170614248,795.1303554519468,799.6238773183387,808.9738389379189,816.0143392956154,813.6582559582894,801.0893419982458,785.8253665010177,781.042805556557,792.8016336173328,814.0508104774741,830.9166326087382,838.6012549598868,841.3270082186461,849.1757446991422,868.6922832350018,895.0523708116876,917.9663974688293,930.4969114
7kg_10bpm,3BC,941.93068611,956.1111907649829,967.1918720519,972.7743913501548,974.9267550019504,977.615956844478,983.6563687599258,992.9718668684104,1003.1492070205461,1010.7158985710051,1011.8960889205518,1003.5792840586837,984.2442677481131,956.95634598693,925.6075987723906,893.9114503859595,865.1366945681606,840.9734545892258,822.08847581111,806.1533457447695,791.5200000684001,778.3891235932367,766.9584310894496,757.9454231333875,749.5294373040147,740.1439196292628,728.943777240681,714.7375541267315,697.7933334586035,680.8272192525146,665.784939460549,654.6144293132581,649.3749921520908,647.5780113691574,650.6558344878747,655.3174042605823,659.7480032712454,661.9824603841847,661.8364296391936,659.5983772733698,656.1318638022003,651.1307065381384,646.8878958786055,643.2959632503542,641.1258975787564,641.8540384529098,646.2505457924384,653.1867628637663,662.567644849006,673.4019655083579,685.6029413917091,699.6834261009285,715.6729007626358,732.299100896541,747.9795228274419,761.6058734401229,772.9168051002404,782.5670433494715,790.3548552782992,796.6889730574984,800.7891322784593,803.1967721307013,803.7346267176129,803.1392020441813,802.0953863463276,800.3451687164618,798.6970015068022,797.5211301828175,797.1556694676527,797.4855554709618,798.3252245154134,799.3902111219877,801.0754869356601,802.8011943993821,803.5817523249913,802.227292632701,798.7774792258386,794.5836875738784,791.1049889257977,790.8488058646632,793.1219022224715,797.496082306167,800.5480130274638,798.3009429185307,791.101270189524,784.5300733833869,785.351593508032,797.0064922998349,814.4174727463436,828.8545594343814,836.833076914341,841.8318405671498,849.4115843496251,863.0567751368349,881.933085470041,902.1640769324885,922.8782146014372,942.9027037270035,961.2348743542602,973.5804665908487,974.44776033
7kg_10bpm,4BC,859.05710081,871.4978982566428,885.637835268799,902.0654027576039,922.7764127966973,947.0338123668046,972.2481151077423,994.5790993199118,1011.2107475189537,1020.0479237296515,1019.8444777854993,1010.9435502782977,994.8201521175012,972.5298320072418,945.5177182857421,913.8976345438839,879.6331443195675,844.7554890982217,812.4780719354817,784.6060528246944,762.2013896069459,747.1163835415877,737.6970865329464,732.1047047677478,728.2089245247507,724.4921939026775,720.1513657918468,713.0446038280779,702.6229916883477,688.2302023210156,674.3540792359521,664.4469546631386,659.9966768896751,662.7089827482971,669.7916779675795,678.8075109835121,686.9367015324792,691.9792855084166,693.6460406952082,692.5211058548699,689.498260617013,685.4126024702903,681.2074661948106,675.0787522144458,665.3876592069957,650.7334054642398,632.1188317077086,612.087597342244,594.4594376904822,582.9430841261624,581.2140403366516,590.1891108854308,606.8879345053888,631.4976995818375,658.383745431605,685.2300752206406,710.1654614606462,732.7372268324433,754.0292240320059,773.7868937880601,793.195544175095,812.3848820754814,830.560044375759,846.3634347605366,858.8977369255872,869.2085213301821,877.1314853803572,881.7109793885552,882.7650300983566,880.2558706281106,876.5504582109215,872.8445519582508,870.0344824410611,868.3406171548104,868.0135998284013,868.7157095310828,869.385197799883,868.4161134703736,862.706220782296,851.1963624380168,834.8441332995002,816.7514737631462,801.7330366382272,793.3661499080417,791.6448895885592,792.9413657688372,792.5967018959186,788.6643242908906,784.1309198068893,786.0683807935976,800.3092307383625,825.2766770279206,854.8213287556688,886.152294195465,920.0587409040803,957.311701979988,991.8325789443422,1017.3150618242341,1030.5382488420191,1032.8273810674887,1026.28723615
7kg_10bpm,5BC,884.73176506,892.7101466370937,899.0695984636432,903.1143443962637,907.9805790462075,915.9670999629335,928.0674955203733,944.7764735804014,963.5488358109393,981.3647945607653,994.7665108817675,1001.2392461217082,998.6593740273969,985.8401981255331,963.7372187460896,935.7885611786527,906.1878663033724,879.1262744795723,855.555044077418,835.6838607909992,818.4442373072883,802.4487098299104,786.6277374366343,770.7365505354657,755.4130167519749,741.7410820980175,733.21948324985,730.2303325765163,730.6382975056449,730.5832979513502,728.0637660575535,722.5045399902717,716.6211907987858,711.550987313894,709.798985530207,712.0146202907198,716.5285619749037,720.1773383179155,721.6946979480408,720.4780687685728,716.3938263625681,709.8530887101564,701.6873631687123,692.7577976552473,685.7225589500704,680.9967316194279,678.741226309291,678.0976984358382,679.3421132661299,682.3325967310998,686.632755933849,692.0511002660342,698.5512341687455,706.4392665315941,715.8288368017096,726.4835482740943,737.8777698703216,749.0717796278451,758.7529196704584,766.1062047038739,771.3471165328922,774.5730386729116,775.6322955895997,775.6250304886505,777.1267756952825,781.9116356081181,790.2745334503162,799.6607266094566,808.1765490033545,814.6091553955719,818.4129337531666,817.6769892444249,812.3353354228303,802.1472186835795,789.8270516885865,779.8492466770206,776.3246528229598,781.3216136640303,793.6303662997681,810.3474463534209,827.1433094756594,841.6614358249273,853.7064713831368,863.4717222015838,873.4976865626685,886.4987561769084,901.4868492907563,915.2292167811796,923.3943232328279,925.9450741407629,927.7780369617443,937.1682354309526,960.2617336848571,998.6322807398034,1049.9089588905233,1103.1532717284738,1131.722663504243,1125.6062879601623,1087.2845054255124,1028.41192416478,967.54558832
7kg_10bpm,6BC,879.19220726,904.3169006774385,933.5923345869033,956.2588663130081,967.2010245769898,968.0102945045339,965.4347720227659,965.0672635692872,968.2386776260172,972.082308188186,972.157037815861,965.1120231749476,950.5058251756155,929.7433512125567,907.510440691734,887.0081709112313,870.4863007496915,855.9206317355121,840.0266870638471,818.658845969164,793.5726824723922,767.384345833914,746.1081720155139,731.877283105777,723.8041068999745,719.48402214,715.322747976958,710.1961764972334,702.5906398158726,692.1648308155701,681.2998972725918,671.9186958662909,667.040736682911,665.7552061067473,669.4005145216423,675.5301797142455,682.4494893986042,687.8969346541411,690.052246398864,687.649993608903,679.7913461450389,667.4437149325389,653.1145665454301,640.1863435946965,631.9259083866813,629.7076774969029,632.340877187674,637.645808213838,644.6113413349482,653.6444442494012,665.16018689,678.892625903674,694.2660766798866,710.496534735034,726.074725508816,739.5917748378984,751.1782348054455,761.7971428462839,772.0980743820206,783.3993726843377,796.0910737135496,812.221633294741,830.9805510777555,853.2999997276584,875.6006776452805,895.3730979601874,910.1596044838157,920.7949087938346,927.3713900511789,930.966942778511,932.9685062593569,932.9974525487223,931.5166335384584,928.5566405545718,923.5639279742588,916.3512153599997,908.1096014763069,900.1344841158689,892.034280161787,883.4669351006456,874.2516555524475,866.851759426854,862.9153755301268,863.8899483376061,868.5771395788565,873.3200004307669,872.171415749465,864.4417049336557,855.8536620926624,856.6200832425561,870.9218146676319,892.2733028985723,912.057366751218,927.3832752580648,939.1978502546585,949.2559448357288,958.3837902269174,966.7941054857249,973.7916279697963,978.6658524850733,979.49994921
7kg_10bpm,7BC,871.01649643,889.8797924576461,906.2482951287847,916.6440921572276,921.3118307241759,924.321501104998,931.1880078998797,943.2615314105171,956.9139065913761,965.7311507939019,965.3262319535461,954.6554767511977,936.5996987515277,915.4395414780571,895.0145261900096,876.9580778675667,860.3825914969311,842.256702925584,819.8513040895211,795.1197273771365,771.39201193,749.9077497905262,731.8611065948569,716.7754014965849,703.8455942559701,690.3725360211076,677.8908575965997,667.7573840311294,663.2539414807623,667.3196390572566,680.6811971304234,700.106308547963,719.6074652738752,733.7762012487948,740.4403331330551,740.8587295451789,737.5564261505167,732.8967912060411,728.4693748103496,725.1223764512104,723.49526555,723.2197276333035,725.2313417700368,729.5960653686709,734.6662981222008,737.6413011531098,736.4348479142901,731.7116276008435,726.7287281305526,724.9723100952357,728.0144255238889,735.4875446732942,745.5856036342549,753.4882369396821,756.747287211902,755.5250838674791,752.8893895300266,752.5021294438851,756.4396990942704,765.1160649032583,778.7871350700001,796.6285344346795,817.5522255147406,837.90829687853,854.120733052318,863.8625356470629,865.6432949970713,861.1882017169065,854.3490812017083,848.4549692075018,845.6573175680327,845.2100822057569,846.2197352915482,848.0825988229967,850.4733087311648,853.5619664217494,856.2762592364443,856.1497716654726,851.4649222144839,841.5164334900786,827.46058227,812.1575039894085,800.4132723692347,797.6882216052886,806.9352701537466,825.3181958888563,845.2404617251667,858.960323621702,865.9777655815893,871.2333764327595,880.9916910822157,895.995067981902,911.5273242102613,923.1822202225399,929.746783324586,933.7722708584058,940.5004634028671,952.2691207438413,966.4533693095308,974.355087889474,969.67623849
7kg_10bpm,8BC,864.28081936,888.1954892714211,912.251981159204,934.4222185971751,952.6806977727032,967.8509135567161,982.1033136051228,994.897316737673,1002.4959835692472,1000.7699705915285,988.6569196427678,966.6864085970333,937.4819510090446,903.9036270859693,870.7973396887355,841.9856699539015,817.5153111949176,795.3252705924094,775.0334966987269,758.7803380667647,748.1848521339173,742.7438052350847,737.6995053299718,728.4084379107417,713.1609347197262,693.3640995308912,672.4927136809466,655.2384071734241,645.8007037350711,646.9912571059135,657.4218570823944,672.5462480758735,687.6224791560882,695.9151419827404,695.4463328220595,688.5052928200483,680.6069523062897,677.1093885805694,680.9960463249664,690.0444625734879,700.203874713596,708.6261196951045,713.9501546745778,716.962471778288,718.3183697003982,718.0562565373384,716.2891938942779,713.5511354204405,710.1258203790272,706.2091656439634,702.28964636243,699.8606945021951,700.6764197815655,704.1087943547736,707.594030890804,709.9735616152157,711.5706978459334,715.2701603770784,722.3676896425944,733.6660735727521,747.5776715260637,763.6550536883714,778.6024831825449,790.4791684596914,799.9066996308302,810.067528696279,823.446576519608,840.8154720812877,861.1040849651172,882.8944116696518,899.960842781263,908.5553855082699,907.1400425467109,895.9787017554808,878.2941106489999,859.3008766207162,842.7576092132435,828.1853242268052,814.5449562962488,800.998080073377,788.3745975260719,777.7351990632272,771.9702853747441,772.8548475783173,779.7190988412237,788.4442421909008,793.9185639208214,794.9425991453083,796.5477705369007,806.5334584768154,826.5515189377501,847.8452493898743,858.6752032966763,856.1532882832288,849.8838727897739,851.5006749080248,863.2576677432522,879.8895248841328,894.3249762832304,903.3669201619449,906.13119903
7kg_10bpm,9BC,819.87577035,843.3747178473917,868.9479513191271,894.1449853538928,917.496163833985,935.9388289099999,946.4809330530038,947.2852445825067,941.2926195498811,929.9292686271133,914.26872295,893.4749865984777,870.3387744636035,848.5722861831956,832.0661126218572,820.77709033,811.0266943693725,798.8088861220516,783.8894369700382,769.6267915930466,758.4682889900001,754.1582673522832,754.7230828139806,755.7391928981075,753.3389022095305,747.32787504,740.2337964509118,734.2535538564932,728.7293794652207,722.2442407490831,716.16933,714.4835197311859,720.01046238688,731.4788057541643,745.3792983627501,757.40549187,764.7469711931558,766.3276542529335,763.4050040488436,759.1650515720801,754.4415226400001,748.8996100728847,742.2825710608902,735.8796538986455,731.438962033085,730.2376472400001,731.9653279005258,734.4603608637628,735.0055576862228,732.2085917490249,727.58445055,724.682314885911,727.488901040576,737.4688435769742,752.6301374321057,768.7127111700001,781.4826100339152,790.4161804534932,796.3327639538629,801.0915416693198,805.2451033,808.0070686538483,811.1204785555592,815.8959321031463,822.0854191894434,829.51219384,837.6414015260896,844.1481172438595,848.3765922638693,849.4169045142419,847.78961239,845.3156109140212,841.7603561988197,838.893758206712,836.197283683192,835.96534079,837.9895952161185,840.606514592829,840.0194020309563,834.1721421727176,823.95212539,812.2503436552034,803.9164337352721,802.6887692310444,810.0586060275255,822.2217937599999,832.7071779446508,836.957758935813,836.1264412511907,836.4175740159408,839.91886058,842.5669343314194,836.6116007556009,820.8479843425155,803.3296258388173,796.3379831700001,809.0664656127167,838.0957328971016,870.1393380772952,892.3096873981035,894.2819824
7kg_10bpm,10BC,806.22773346,835.7135797086515,867.0281329078816,897.709957294075,923.6883648860035,943.2025634073638,957.0991512883072,963.5027744380475,959.9738162926787,945.1481086144623,922.057235276657,895.8710311473918,871.96141316793,850.8265711277111,832.0411550632592,815.1639115519654,798.5908729925584,780.8792143816971,761.0702816586789,739.1845274330681,716.7735139304325,696.6814360948084,681.9345679853648,674.4205471162385,672.9776311722791,675.4855160216463,679.813566754889,685.0216169356074,691.080762393929,697.4960051254005,703.0803457137309,707.6617098470449,711.1453706733541,713.2826937808338,713.3847167036931,711.3424899702198,708.2154616496267,705.4741938164267,704.1418266415219,703.564699968885,702.9105667102893,701.8241781133266,699.8961257973049,696.7756105547129,693.6657879221399,691.2647518596773,689.581076569767,690.1544354391302,692.9130037508899,696.5729914989233,700.4616578264053,704.2553932460331,708.6776912798144,715.2038821463508,724.3735562335986,735.3399797303442,744.7616844322018,753.0478308005354,761.688424792148,771.8531904455791,783.912201427497,798.2118720668475,813.8586013458211,827.8632509932829,837.8276303640445,843.2673698488011,844.693923336033,842.755174835463,839.5866116930417,836.8507597513583,835.0185339365203,833.1744065261688,831.1342973866136,828.4989547240716,828.4941659103993,831.8673327340282,837.1935715288914,840.7822865645628,840.2493115546843,834.3791722400543,824.9835248421464,814.88570336938,807.2290274039215,803.4376927867396,804.3678297907882,808.748434772783,812.385649226667,810.359410849108,802.4823531034671,793.5884926469746,792.3300783888226,804.3277760706155,829.021574931611,859.3082660376753,886.9381263095313,905.4539879422938,915.5702465897094,917.6156467774761,908.5803573023187,887.2690053443698,860.36393763
