cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,842.12359849,878.1440670625606,927.8569513329468,1000.081481709654,1078.025902891785,1148.0322800647796,1206.0201384201682,1246.0748611241715,1274.6784271695335,1289.503362112261,1289.7984821653213,1277.1015692459755,1257.8245263148085,1240.4011620725123,1231.6929328471197,1226.6161436400016,1219.217343786659,1205.3695889977855,1184.6350179641804,1157.0967939674958,1125.636417293027,1091.7156683957376,1061.0886329672446,1032.5170332431317,1001.3861204132725,960.4179762382513,909.6198164351858,849.9485402449943,782.2062148751653,710.432308581908,638.8093486743891,571.6029922544762,512.7567650204123,462.67683006175224,419.58504737651305,380.44499502882627,343.90307013244677,310.77955744438174,282.5012396719671,258.78344429439403,238.93186743869896,222.32155855299172,208.6215491489738,197.24246139736425,187.23554057385783,177.23359737806393,166.58795913352503,157.5220680076099,153.68705766819468,157.92963524493,171.37991578237853,192.7745364057893,218.76926702804255,247.6995993087972,274.6827066790989,300.55321875014823,327.23641505081446,355.66713157936243,385.52890523402766,415.6296019275938,445.3503414715163,475.1349418553187,504.9536508444245,533.6552352233622,559.5903664113573,581.235342492571,598.6396218711834,614.4137150012803,632.3921744052595,653.8889368339176,676.726071145391,697.054664913392,711.2832363396286,719.2717705935138,723.0711877815845,726.264036791651,732.414360113368,743.3749256243815,756.4875627427289,768.0134235191937,777.1580944367038,783.1473194541977,785.1846518372068,778.5470644128186,762.7743705493602,737.6120030221377,713.3046843198366,697.8463189232023,692.3894443413506,688.9562216370674,678.824784651418,660.4879741672657,640.6002921359049,627.5488352739201,623.009878616188,622.3824641732166,620.4362555201093,614.6446641516424,600.6997004134666,574.4636374058213,536.2710247
7kg_10bpm,3CA,917.56251757,952.5597956502828,1015.4579157801033,1089.7731601977796,1157.3146930793557,1213.7216628191675,1253.280411560883,1277.2760597518572,1285.879981461461,1281.8993893554257,1266.3906562290417,1244.2417231383495,1222.300176596651,1203.5194038944228,1189.8673421150104,1183.146538756935,1182.619493179366,1184.8009318837753,1184.979208257228,1180.109132307941,1168.7020906056553,1149.2503353342474,1121.5916318960715,1085.3880151387189,1039.2850729572963,986.4918668610486,929.9311166981228,872.5130983798227,816.2238769074243,763.5950846265325,714.0515458390586,666.7778836629151,620.6734386002199,575.123438643524,530.1614335874804,486.57410123742835,445.68024081440336,408.4580338439826,375.6469897839051,347.53832806957803,323.928485210153,304.3907331067842,288.3421869731056,275.04027358372764,263.1338966301523,251.449948192919,240.04542898031247,229.51890581255805,220.2330762973304,212.31388919730216,205.69468585000004,200.50001068609197,197.39448810207915,197.17592799216143,200.50681602108543,207.88865420134053,219.74665374838534,236.16645991077883,256.47444551583675,280.08194081123105,305.1073872573827,331.62787813032446,359.1947278841217,387.7085825016129,416.3223347091992,444.10839903856976,470.89791994527775,497.30129128193516,524.0920460038774,550.7931386657874,576.1388557356581,599.1978555869905,620.1401027105774,640.3322712127151,660.4756883457948,681.8801574619293,703.7132144882486,723.6888172235614,738.5287114484643,746.7753067399668,748.7357493362283,748.3682257850749,747.7414111405301,748.2667987460827,748.5324684858768,744.658402757981,735.6385631150034,724.0669431194323,714.157331488388,709.2383054158805,707.1760038101306,701.9002537670301,688.6755048878044,669.7646658986424,649.436789327114,632.5437660329135,619.5161603495251,606.7310918528586,590.4198281207737,569.5266396347624,543.91776273
7kg_10bpm,5CA,875.35791079,902.9271363704804,936.8061979182423,986.9859848690309,1055.3526975848465,1119.7412071816902,1173.935765106778,1217.073273014755,1245.2532867909638,1262.5823853562806,1269.853430415647,1265.4316974785525,1248.5063787948523,1223.6235719531019,1192.8584848024352,1166.137575910847,1145.3791042846822,1128.0689730264025,1107.7289661289303,1078.899369538011,1037.3794965351224,980.4895615149622,913.9861516722892,842.94812726857,775.2025219545276,720.2277468111622,684.0812359366342,663.8094511535609,647.9062275679282,626.4760304685174,595.5997638567749,553.7867336678647,503.1851656673745,449.66405443886345,400.5599107375172,362.1393939190478,336.12059855925315,319.70479608534384,308.3023859500605,298.2905103441651,287.4395550679025,274.5842358123722,259.7448399158703,244.22841417181218,231.35045238191654,223.66790822082035,221.73545785005732,224.43246014569235,230.19516374868815,237.77860581716996,246.98726133000002,258.38827800688296,272.2603040509586,288.194600510102,305.820630604775,325.57525796143136,346.58687330293577,370.03284554693903,394.52696206015924,418.5051853184532,440.5899095654791,460.0535218616561,477.06534134978364,492.61344014515424,508.1899888860321,526.0954355710384,548.1119069879558,574.4829572139771,603.1046000922645,629.8389119781406,650.2492290412334,660.9821040099312,661.4059326757105,654.6026850060829,646.4303672109755,640.8587326284877,640.3708951743132,645.6991107644045,655.4125825136699,665.367820382308,669.7453056598082,666.9098093301147,662.5301936530561,658.8248259893668,652.2884071131272,640.5898492796513,625.9851562373166,613.7510724455616,605.8019198254008,603.1271291985647,603.8758336488486,606.5362056691038,607.1296609485915,601.970186103957,592.3643825890348,583.9786826014996,580.1428722662853,576.2168653998857,564.2457398964664,539.2716516555553,500.70370408
7kg_10bpm,6CA,887.59055915,910.5418966050355,951.7255945420891,1009.2911017341556,1064.8699688896113,1113.339355144448,1152.4050591376185,1180.4785955675368,1200.1449652754063,1210.4352540493092,1213.6529766415147,1212.250477519581,1208.0630566973434,1203.473846749893,1200.0761036820047,1197.0894250282406,1190.057243168737,1178.1437844916513,1160.2873936351912,1136.8954996368254,1110.2773020894126,1077.8717048499157,1039.3444882652248,996.4096407754035,947.0841018941417,895.1700266399998,842.855502869502,795.3343786093777,754.0407803086566,717.1981361723961,681.0569694360286,642.21423923624,598.4256921563533,549.0084958441129,495.5658308394725,441.42289306998316,390.2077084034732,344.4926259351319,307.1159077028625,279.7924142727468,263.15662922403646,255.1802768756994,251.1824102023732,245.74546630003195,236.38751149938008,223.96340294546897,210.65102200592207,199.02342720117048,190.74370210165793,186.63273484592483,187.28944723,193.144568147365,204.22759480794707,220.03754648048056,239.51425578313257,261.05559210394483,284.23394130473196,309.20847970942225,333.50454951834365,358.7704416941324,385.6182982370528,413.5353265491046,440.8651066888353,465.5483430632711,486.3941427673237,504.1364912851111,520.4535599607768,537.5824716499922,556.5797189825789,576.3807732212392,594.7766756767672,610.717177951181,625.1935667041857,638.9132718783154,650.6548992824328,658.4133083700001,661.7930225967714,662.469372158607,662.0096761098777,659.5606355689187,652.5023808369185,639.7764187875347,624.2425206364569,610.9426109634791,603.5206087306613,602.3350865648089,605.2763361016237,610.1262481205501,614.895347127019,616.514172751687,612.2361584475099,602.2937114131835,590.447835332122,582.0308712785919,578.0832686632582,574.961348409165,569.014089984108,558.2709051455984,541.4648169782649,517.3256428240921,486.33147311
7kg_10bpm,7CA,869.94812228,889.9217601124203,917.3805008361073,949.6390010091142,990.5371693940596,1036.7220197211127,1077.6622176559047,1116.3809366094172,1152.9142099592696,1180.4242795116274,1195.0731271029745,1196.9376840040395,1184.351651644456,1161.970813734026,1136.6020818678717,1108.6251095130783,1075.3066844360094,1034.9137013130764,990.7548555062824,949.7623601177064,917.8594969507548,891.682173449427,871.71609915919,855.0475839120686,838.0374302930697,819.2689162358183,801.6019931479259,786.0086173011475,770.5209986123613,752.441156076255,727.7860274158278,691.5022682608738,642.6169474751952,583.0232913724327,519.553080103758,460.35949323118865,408.9796687234705,364.8325795375582,327.5098343381725,296.6376284680636,270.74857799175135,248.0419680783083,226.58262307594774,204.79790480106215,182.66135827513696,162.47780274192397,147.47310315387085,140.25957886917004,141.5919435924868,150.57360186097975,163.87618973468852,177.08754243568268,189.7088294839799,203.4127871594255,218.91592528088847,237.16901890514762,257.8921332123304,281.15791876759715,307.86283523588,338.337546749467,371.96916968714805,407.0480658806838,441.2598054798723,472.38461483411896,498.46556280416183,517.844942293838,531.8046910311296,543.1596556013869,554.5335121566262,567.5518115282964,582.3752473110169,597.617249706673,611.8738009258458,625.0385155803364,635.7817086264737,640.9494222404735,639.4495769143604,635.9940221534034,635.6400478055454,638.4774132481016,640.6719986202472,637.4756208194157,628.4746147161468,618.1364652054353,610.9264087414247,604.8980218082048,595.9157250979775,583.4758506363662,571.803558280304,565.2162219501218,563.7261124162129,563.4816350516644,558.8814529659415,546.3131238585041,527.1079089821941,511.10378484732615,508.7211071335056,516.6537600283989,518.5500807995231,500.4685484092423,463.26336331
7kg_10bpm,8CA,782.18292915,773.794015331282,755.1942078785149,744.8359651134224,762.2557116933544,813.2423278981473,884.2476155747238,961.282558151064,1059.8247847271075,1143.5362462179658,1194.9961090638396,1206.1585571521732,1186.006797887376,1152.7982072202485,1124.8646305236625,1112.6589373506906,1115.663710861696,1127.7817681536014,1139.636622612042,1141.021944808771,1130.1753631809697,1111.4163711122844,1085.2306336409051,1047.6236370793272,997.6528194438598,939.4189210565005,875.280063483376,816.8678982251628,770.4449819792313,735.3011997783947,706.9016405647316,682.2424526750106,653.9354096331767,612.3751932876405,554.632592556974,486.68145605950434,419.0113463493443,360.54237512383196,314.4538781186196,279.5344864085046,252.85956788165328,231.27597029756657,213.9158325374966,203.21425397309355,202.87869206237835,213.8933664634535,231.58213087368287,250.11996568115958,263.7399635929293,269.06421828004034,271.01213735,279.41254902831855,297.09865689520495,320.2387352051251,344.4201923384399,362.3652063617323,376.81415323105983,393.33500080300485,416.6054681738586,448.04158291496714,484.93177293499986,522.259337257039,555.302421454519,580.4964487197168,595.5778876484727,603.0001723149339,609.0115390306862,619.2197402965696,634.3853741942688,648.8235968920317,658.147342165942,664.1705571252654,669.4908897361955,674.7513634571167,681.1982509781201,689.36098554783,694.2119964905223,688.336584610738,671.0119149462317,649.7668880135805,635.9974277155119,630.1402641590861,629.1563313319936,630.5656543925503,631.5791728799813,628.2396123276967,620.923603085633,611.8841055324818,601.2823463863508,590.7432474426915,582.913409520328,578.25428595694,574.8484495926893,570.6956551836951,563.1628411834706,552.0758982449129,544.0522521832816,544.1985399868508,543.966058679084,529.7728437274951,499.36424047
7kg_10bpm,9CA,734.04661202,780.7421266338137,834.0473083748321,888.0308329019011,948.0697525412306,988.6967917880913,1008.7022736939106,1011.7164699791157,1032.7974614189825,1057.1326632096027,1077.4469626565099,1093.0899569386854,1107.3766739882192,1119.241631317513,1123.389473808803,1126.089081081394,1129.3695833967374,1122.3677279232786,1094.171803475488,1047.0499778284066,995.2131521060048,944.4132386673168,893.6080349183725,843.1131599117264,791.3933741701694,733.031715300508,667.9630873155313,603.9486136544675,543.7552253036446,486.69823807281676,431.04779868727167,376.40684999216694,329.1688887331779,296.5248938922046,277.55494560632104,264.0113127530145,246.409365403138,220.75006329417633,190.07534734924792,161.37496069796816,142.8730117543696,141.546802971205,158.4709386997126,187.05571536714487,217.66448347017132,247.31833549495437,277.225569118939,303.8823599859388,324.37521573067784,339.1810041027487,349.8996564766817,360.39058344572607,373.3417147424816,389.768755296739,408.37746254418147,427.0837065988227,444.4026133469641,461.2579813098447,480.5216800862474,502.92180456503513,526.7681222051606,550.2214864257706,569.7871115383188,583.0579383379496,591.9973868871738,600.7688283598185,612.8658446314297,624.9576694176714,633.4277969509021,636.3079025003819,633.0738935077154,616.7745733151802,589.78829398173,561.7925757459539,544.8016112112072,536.0488047710805,533.2333065841483,534.8538369540186,538.1144983824588,540.9912621788328,545.2430249477723,551.0211711898983,555.9926319169609,558.1235782395204,556.1941320386996,551.4685168322715,546.6680805657105,541.4797809458948,535.7933746420294,532.5118051152401,530.7254717616635,527.6340898927623,524.2717963428847,526.2082594863463,535.8786065019941,548.3020721311464,557.7976920996446,559.3379037985853,548.2377568907261,516.7450674863685,466.51634992
7kg_10bpm,10CA,820.03999245,844.4575727425415,881.665321137217,931.5835137229644,989.3691005928829,1042.0542154936888,1089.451231281061,1133.2400051137372,1170.6879020060596,1186.0742896388756,1179.7842197708883,1157.2788365354545,1138.5030199455093,1137.7263882697641,1156.3937328934956,1181.3475297899488,1195.1386943561288,1186.987506711194,1155.7918978240746,1108.0595225163686,1051.3504274893994,992.8666740359082,940.5796623262589,898.1789696825019,863.0090724813981,831.1685910015397,797.6944726070868,758.8263442948788,711.0001078653534,651.8875802452937,584.7020925951537,517.445149808383,457.5163265557477,409.6518118205386,372.88815957525685,344.37327673299524,321.23500254384186,301.9714379781254,285.4069441181218,269.2842000981316,251.18734404698446,231.35807876558812,213.20234462811501,201.41012149642182,199.44925844827694,208.25450295768516,224.695846304536,243.67913741014448,261.5997260543409,277.3856739232402,291.23729469373086,303.2514934099792,314.249923248381,326.5930594826955,343.18232156374904,361.8779277522172,381.1173087274306,398.8154787338393,414.56554543153607,430.5354704033108,448.57757620195565,468.6358552623449,490.6448076267547,511.8426395179033,528.2500275900035,538.8387010448547,545.2335392617806,548.606675863762,551.175520020194,556.5080063228525,565.761878253257,576.4284339665719,585.3453186222293,591.5586403369388,597.3964738654507,603.4258443100225,604.6271204741532,597.4846939815822,584.0738978423346,571.6354147116117,564.7152183614637,562.2441011310772,561.5452633925858,562.8223625612247,566.0354414107743,569.3445708623119,570.555481749975,570.2572737290338,568.2122388525452,562.9518233931867,554.7370562522764,546.7693317642772,542.8264482422519,543.0079572832627,542.370745614347,537.1765254263534,527.9502639437723,516.4779813427153,501.78226237237806,480.7086012442493,450.36454733
7kg_10bpm,11CA,865.05954141,903.2782148865525,940.683376861482,981.8646181897199,1022.27358776,1054.8605577678416,1078.0028837766558,1094.3371323409817,1108.80701035,1121.8978038505259,1132.0549791134679,1139.7068032711072,1145.56408475,1149.183507687201,1147.4222469828173,1138.6067195353385,1123.35862412,1103.702632544053,1084.897186537425,1068.5889655516326,1052.39543542,1032.3217864329588,1006.0841430387323,972.140566833784,933.9172792699998,896.1189636999276,861.2149212191703,831.3939940949442,805.2130192,780.3681396104698,752.1991725618317,717.1031000812354,674.6179301300001,626.4552727120117,574.9029186538294,523.4541028579592,477.57579454999996,439.81310475547195,408.90437566015055,383.19647982175104,362.27768828,344.51849040480005,327.696313834011,309.707251890751,289.99361722,270.4918621964041,256.0570023330522,251.96965928054945,258.75260338,272.67363762366085,288.95656686807513,304.00502099252793,316.11547423,326.0791854593213,335.1834791219671,344.2913192527751,353.6527687799999,364.2634830802629,379.4042562714121,397.5399350745482,419.96672916,445.130608946291,471.8506094036031,498.05714029354544,520.89436672,538.7715554551933,551.8367128187349,561.5684396662551,569.97449181,577.920102357391,585.3118661370005,593.0882630332368,604.37866558,621.9641260030182,643.1967898603529,661.2139197579099,669.56329415,669.7918770677437,667.6364088499381,668.7880867042938,672.70866265,675.002271381788,673.8690461587704,670.5523785171157,665.85843843,660.2428431916429,654.0076378478959,648.7277479007026,644.64146708,639.6765222432321,631.063747275981,618.4057745539692,605.27699847,595.7182291643892,592.3671598569744,590.6983567922916,586.66731028,579.8107848486673,572.3707758927337,562.5020546540243,544.85573166
7kg_10bpm,12CA,849.12956882,871.3594417950139,904.3133434064512,959.3352089932466,1012.5461665009227,1052.053126455204,1081.075014857364,1105.4803145179242,1130.9340202745682,1155.6217569432633,1177.4502467362538,1193.090289555326,1197.99075703811,1195.8388292797897,1191.8006247716223,1186.495051527754,1179.0628217790788,1168.6191816756816,1154.94468121598,1135.4565251992465,1106.9714690504811,1068.7438619617587,1022.145289907109,972.7724482142576,924.7807447048442,884.4672940500001,851.9062729190586,820.452010394757,788.3571749810362,753.2903838097396,713.0931792352433,665.2461918049916,609.6428302527044,548.2281954823092,484.96929718479447,424.3761072130839,369.2620432632041,321.0173589596092,279.8102953975988,239.13758779025358,200.46068860038454,165.59247102607384,140.726464180617,121.62827440213655,107.52250423725347,97.91377959241201,92.61102382522338,89.20679520917479,85.07696914059106,83.17986451220769,87.29393258,97.05376408527736,111.13918882664962,128.56549681297898,146.60035133261533,166.742252504775,189.0217023410648,213.42489357055297,240.30973121394416,272.37531573177876,310.0608687792955,349.53932483448955,386.86128512712924,419.7849384363836,447.14517163773615,470.0842299510267,489.2113808707646,503.13254703727716,511.49208243828775,515.876186472713,519.181137060682,523.1169266245792,530.203872831722,539.5845262550743,550.9937397304241,564.3991449600001,578.8730689444883,592.892571844125,604.3160409881197,611.0835573839236,612.4412306982713,611.4536365759791,613.7318489823756,620.15638749532,624.5263308359459,621.5669699240744,613.1019751907211,605.8257029107177,605.3477656905438,607.5624741948483,606.0505078832446,597.1377476576747,582.6547113797913,570.6659924725568,566.2741241967313,569.4687804496339,572.7465924014987,568.4204264467102,557.8035082091027,539.3524387002265,512.98477794
