cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,-36.26834893,-36.3030965663477,-31.998079413996997,-24.64439221597191,-13.99663982725339,-5.782639790975679,4.351780398838893,15.810747965481964,27.367541773165257,39.24204569173386,53.076695920000006,69.29668777514935,87.48289631611559,106.21016033606821,117.29604038333329,120.48008969888673,114.22137984605403,101.54573433068428,88.58126267286944,78.4713628797102,69.58736679000002,60.81052794061138,52.562295698297675,46.52542381045044,43.84638074143357,42.43040994274882,34.08130484600839,22.75868794831367,9.220007314608297,-3.282084853442717,-12.30976686,-20.781248662160916,-29.206873910657364,-38.110683312994546,-47.46578119281746,-56.9596559246932,-66.1451886808902,-74.42872101159338,-81.22304140777219,-86.02580941712775,-88.49592174,-88.9589976755528,-88.13796404453285,-86.82944522560808,-85.49603159309015,-84.34899009225565,-83.2521296212011,-81.99000765658766,-80.01458306832974,-76.9153639015135,-72.41454502000002,-66.34794686355302,-59.12327396585943,-51.997871285264466,-44.71046385875238,-36.45584334493201,-26.490782462038357,-15.35056733133468,-4.612698191856752,4.5202782797019365,11.967565130000002,18.3153668412808,24.110896481182127,29.43360824873769,34.43014627890027,39.86102876783654,46.810989660065815,54.52395548547951,61.314857696703,66.73990471704222,69.66951940000001,68.38265478552456,62.36607272345528,53.89200454388619,47.475739143945596,45.65223150358085,46.62591395652072,48.11034002300322,47.54100529951182,44.49579152352135,40.94742764000001,39.36005826427209,40.6037586983508,43.572612749967625,44.86317217826711,43.039813612995424,38.86867334219039,34.13469665381252,31.57146291887378,32.41831636975215,35.08195246,37.01941338918798,36.69725312847033,34.71086083887715,32.975150958853426,32.66828844316514,33.26060105130431,32.355112031862646,28.024338273209292,21.038544094522425,12.47274336
15kg_10bpm,10BC,-62.6844719,-64.02204613713661,-65.89964958360322,-68.15092124812303,-70.80155268446677,-73.5797599269503,-75.95974631448541,-77.38082095501254,-77.17865665627761,-75.0977999214229,-72.60477506787902,-71.75337956052302,-73.2618872522996,-75.32011926788546,-76.74402385946597,-77.0434573471527,-76.31567010692281,-74.63059179402687,-72.39262249557565,-70.03102020509158,-67.97329424000002,-66.21283342093425,-64.49700876052127,-62.6436570949367,-60.47092484925849,-58.068288469856,-54.920365637185135,-52.37712472240037,-50.76913305462925,-49.75695512990492,-48.84050554001895,-47.74705874545958,-46.586140842235565,-45.40237279110636,-44.071982127261684,-42.54051730782558,-40.78018408143052,-38.56436043940602,-35.747430301349354,-32.097762137974286,-27.672495740000002,-22.802281265866245,-17.496251620191124,-11.796247450260854,-5.787971354454052,0.40136031750623197,6.286776146455724,11.753039882147837,16.595297366898418,21.084602500165907,25.51258708809493,30.082884053060237,34.89298076445623,39.14650258649919,42.215199204598704,43.78867177475076,43.95896834504221,43.15330196668311,42.08848858424608,41.43020529149141,41.66469447000001,43.03481735226814,45.45797292242828,48.3364275693182,50.78975596573411,52.0519793722279,51.751387869845395,49.91903016994374,46.905200404768216,43.269437433105956,40.37951876348603,37.40881792287424,34.0591972744095,30.222727997090395,25.73158143369028,20.569387942642397,14.951758027820953,9.289901983878504,3.875764278055677,-1.036493347033203,-5.399087840000001,-9.249133486977293,-12.91893294973327,-16.554421630018624,-20.3556328815161,-24.622803383281447,-29.665006418653057,-35.394860291651575,-41.6621497757957,-47.78799064981804,-53.27961442885741,-57.29280810368457,-59.87334460086396,-61.221638608933816,-61.616119114382464,-61.76048592222706,-61.552382786155526,-61.58765879817474,-61.089302402686876,-60.61475660623426,-59.77479311
15kg_10bpm,10CA,-3.988677,-8.750331175411564,-14.141510194906521,-17.616303315784183,-19.63275723717593,-22.384617541310757,-26.802304322613995,-41.065520105403365,-48.083357192877216,-44.52340909404265,-35.85338603000001,-25.07577498316115,-18.996551019396055,-15.57456051198714,-15.162963972553012,-16.030457209143822,-15.530707134064858,-12.8147849770602,-6.971425634505239,1.7820272783202151,12.05575124,23.500331404634156,35.08789974769302,47.03412923263679,60.11402061466438,73.71695024473442,85.9358713986382,94.76738525917789,100.41075201600654,105.18261006081904,110.77814506,117.57766014138981,123.67256875932415,125.88170385737594,123.6443078322683,117.99325333854232,110.28074549750119,101.10670930325111,91.85679582628393,82.84283337353517,74.84244533,68.81869752042931,65.23744571730974,62.12931464227201,57.47716508617493,51.15058836453671,44.28006049472675,38.34426378641501,34.80167021191457,33.86215165705269,35.35413921,37.2816946771371,37.396231305331,35.79523642734469,33.93823699130934,32.35692649434352,32.26780453877919,27.81618402847023,22.992848690648316,18.810775174329258,13.312539490000002,8.380130965061126,4.005294471504734,0.8510294762803118,-0.8293726803642056,-2.194719158698004,-4.298578086857103,-7.030761299420415,-9.336665373482012,-10.458294449848104,-9.870170800000002,-8.610255794833964,-7.897835614619271,-7.803694199492892,-7.598662095378093,-6.601993432436238,-4.726158849747012,-3.3326086673269697,-3.19504245700255,-5.333436308753322,-12.596086420000002,-25.616053301103232,-33.27111858644288,-38.91029155430244,-40.69203084608847,-38.25081853917462,-32.744308675150556,-25.99514574921146,-19.452019567391496,-13.873578194116059,-11.017847070000002,-10.80430358854217,-10.992126944744653,-8.979524043339865,-6.67505933935575,-4.306123446905638,-2.7073325492630635,-3.148400833445753,-5.323630322269073,-8.282934330429606,-11.96088532
15kg_10bpm,11AB,-56.16216223,-61.26015015107335,-60.22074099278983,-53.91444507609809,-42.01362651023598,-24.54924921619701,-13.025222307119568,-4.256840422447214,1.858882921700561,7.899339642671382,15.151972384349582,24.77305344513211,37.89184934726092,54.29914474514686,71.2484147657541,84.37365468349014,89.17106478147453,86.42808521710747,78.90724650462455,70.07654685274737,61.886766838623636,55.170892171533175,50.331076903005766,46.77801506758585,43.01153239341283,37.923293600000015,33.32169986404038,30.23149336609852,27.871409472344762,20.60210601213086,6.758749386100634,-5.564638606971208,-14.87718529477452,-26.419754199997232,-36.727272367912114,-47.69758301183067,-58.88702277817423,-69.39667011912927,-78.08569467145394,-85.03496032649984,-90.7302123142592,-95.16153776553368,-98.12909452900378,-100.09602718887476,-101.11246734010066,-101.4868097051618,-99.80596028343132,-96.00929438701172,-91.23751963522662,-86.47350602408788,-81.60919873000002,-74.81141479391715,-66.43392317161565,-56.67432661574839,-46.648114241602805,-36.39590861106647,-25.738180654764808,-15.188002652242432,-4.054689126304626,7.805858476847197,19.633055860391,29.985569670301455,37.506511495883785,41.82854506010791,44.03575620818347,45.42910059090127,47.21729114210165,49.416461766326485,51.20294178971305,52.53163920996917,54.175425360254415,56.897004420145045,59.80508330062777,60.81924178860665,59.50425693384563,59.37609135000001,59.58096667709159,60.5206337477085,59.81918852023428,55.81779979310424,50.111747644937005,45.19717449070582,42.06625433362843,41.130643133773695,42.526429622068804,45.16306728080769,46.77700589712351,46.41613490143933,44.38470311457152,44.23526865913607,47.08254916995876,50.293052442711,50.82782050154884,48.70024702574817,46.44150057080992,44.4483302178563,42.45811502992505,38.105906735506956,30.702135904493694,22.023763197347666,13.41984653
15kg_10bpm,11BC,-39.86691625,-45.40320831825052,-49.909450844663986,-54.08590736244246,-58.221639954419956,-61.90544322361178,-65.2578785402006,-67.98514766435204,-69.4846519932199,-70.94213373250474,-72.7550190340292,-74.28834190013214,-75.38549870648055,-76.15474330223574,-76.63282516366279,-76.54877223857343,-75.43880365159255,-73.1051651764947,-69.97879549181255,-66.88821006902604,-64.72741664817805,-63.694271624338334,-63.82983531422818,-65.07835292214097,-66.90919394606883,-68.40193698649222,-68.87203291148674,-68.01885972882671,-66.00953873606419,-63.05488595210073,-59.20142246171359,-54.29043499717645,-48.305806353634075,-42.369659848841735,-36.758825518865706,-31.683104488099886,-27.22487109580341,-23.352608466726608,-20.14429249835304,-17.57753794346663,-15.171361554568493,-12.356913995646698,-8.547325235728701,-3.51055337887596,2.3683911559068167,8.706191412465158,14.871080445723095,20.008323592752234,23.970588694411113,27.135648395318565,29.709745505439585,31.63743381642337,33.74380424966462,36.8965841167951,41.570084600440765,47.48837116824598,53.81167113012699,59.13374556463848,62.45758448290126,63.444016794514816,62.20065195333787,59.493494853973665,55.889822089797,51.82565856670437,47.45701922142926,42.874510238134725,38.16623860068337,33.63174071680223,29.704734907240777,26.593207143836633,24.11658059185995,21.729595905580116,18.68658585025986,14.835204855609167,10.701598570550534,7.2247057473666505,5.364449253090938,4.98601995137815,4.669531677953646,2.9022643545841826,-1.1042077510539745,-7.281505136771819,-13.914600277548335,-19.831683247032437,-24.967513819876565,-29.33537498264917,-33.01567960734177,-36.521789049374114,-40.603510224022266,-45.7053380229857,-51.369990270648906,-56.28639094393947,-59.23715051329667,-59.72423086614218,-58.619609831450255,-56.991573890818785,-55.754595400416655,-54.8567154727027,-54.469255387072295,-53.83395800963419,-53.62059782
15kg_10bpm,11CA,-0.22139904,-2.478891492231986,-5.382528542823087,-8.643392245225533,-12.128186338720784,-15.51654010475233,-19.192547021742314,-23.25826995397414,-28.88519322552851,-35.730498722850704,-41.557330574550875,-44.78077018628784,-46.16834558117545,-46.126994371305855,-46.438140026231174,-47.39198611954528,-47.77929538846368,-46.85038492333564,-44.19977994344303,-39.89736323034763,-34.791812814556344,-28.047757294635733,-19.479418178572544,-8.840060319880774,2.9188659370922143,14.71043262663215,26.08744246215011,38.229598117233046,52.396755147046065,67.26662107838833,82.82676202047121,97.71517936331671,110.57561213280704,120.6471983582901,126.04904185524032,128.24055305857507,128.31903363781743,126.51807333740697,123.39146787857892,119.88472747926428,116.31092242041309,111.7222262106233,106.36831766721124,99.9686739625244,92.20189034368009,81.42681816112665,67.49670972964348,53.15546081436573,41.62832250195648,33.99327632379389,29.620949959999997,27.557558681034905,26.34373730189621,24.97349545934476,23.013353399261952,21.05313258052325,19.95102362225257,20.149300982408345,20.427660252711885,19.421086323965756,16.535523768905986,11.689737794214112,5.242972114019615,-3.45041031357328,-12.641094503744515,-18.641240581300096,-18.960733952869806,-17.232363909414733,-15.648238949601549,-15.148853716216804,-15.617005247488978,-16.54207571475716,-17.602219475169065,-19.866372288233325,-23.74458653208364,-28.959706657825055,-32.960894375813055,-33.71758856142673,-31.600315809658458,-28.434603613944347,-25.751457170966628,-24.43453414685407,-24.555465419757123,-26.050227011115393,-29.40089727627686,-36.04137382180767,-43.525338469573896,-47.44574012704487,-50.03884969390293,-49.74733392605872,-46.07810591348064,-41.95605232452011,-39.05689973580645,-37.95175279643789,-37.52733931351851,-36.605861077349026,-34.702344432380116,-32.414998385860116,-30.28987163633831,-29.753108527645395,-30.63186942
15kg_10bpm,12AB,-46.59524096,-46.05580904951674,-39.32599059592579,-34.01521888169469,-30.11236463460853,-20.469447339554932,0.8561215819867526,22.67575664706427,44.36061861578512,61.36100160517822,74.57208067112644,85.65065023427627,94.75714862790434,100.03552404759351,101.11065395995281,96.86786503664437,90.98087597002018,85.55775360840693,80.9216483211504,77.84809802951666,75.59809969,72.89564524279093,72.28393260490977,71.30205027655842,67.1219547869792,57.90386220573128,46.56258225040166,36.742949856519985,23.734721601858027,12.902193031193589,2.9094885908736314,-5.759408302974861,-12.744963172373355,-20.373449366443786,-29.62610244080299,-40.104601436206,-50.05495153199558,-58.65280559402249,-66.6825755831066,-75.02546163824799,-83.37125654000002,-90.70981766937702,-96.47099161010809,-100.52306405975519,-102.53511616019168,-101.27840200370085,-97.19731193937201,-90.63183676463393,-83.35533750183583,-76.23912271473226,-70.68808203609403,-66.80245621986454,-63.10908144127554,-57.46168501149426,-48.99592384116702,-38.327329201354466,-27.172037200139748,-16.89722388263718,-8.427998618725663,-2.460381473536231,0.7877148899999851,2.6035227084501122,4.846482096419627,7.837887497241018,10.895242565567155,13.235877764332784,13.943212283331334,13.38572026813624,12.372507252246432,12.195570974491503,12.604500052377992,13.617367791075816,15.298966828727067,17.819358527137457,21.10118876108666,24.420569511282096,25.875556251328593,25.180386226746872,24.239846074277274,23.747562737635498,23.806147030000005,25.18174307652074,25.638841015433524,24.81280835833286,21.887178002972668,18.09564250668734,15.622326307435424,17.777736769046445,22.65770724205543,25.804408487364697,25.7193721297553,24.77803329005348,24.99824676606613,25.3955473297111,24.28441042560006,21.24395036189801,16.717249884355223,10.935989113201847,4.624558167221803,-1.3561741988854235,-6.72028686
15kg_10bpm,12BC,-16.60396031,-12.28155421316752,-10.677264094325768,-11.011757137149775,-13.738600184405643,-18.525332112617246,-23.528431711565055,-27.566443411607576,-29.86371224693955,-30.90082767032086,-32.422495281796515,-35.684749137967906,-40.4328548158459,-45.80294955522008,-51.706596455911594,-58.245894300800096,-64.3666158976519,-69.58275646229345,-74.02942578722704,-77.3440351352171,-78.90982530406986,-78.40470678580053,-75.36840811286613,-71.66671889238476,-68.96799249970418,-67.08149283,-65.20033202486918,-63.16623713005403,-61.36537849679465,-60.36190262839015,-60.29392718905869,-60.83118405287651,-61.90226091075408,-63.81761864670352,-65.57532834465475,-65.50704679757136,-62.116100624003266,-56.3050341007813,-48.45623809949106,-38.881745626630185,-29.075830639960877,-19.238968549555853,-9.491536702784677,0.08098155329280143,9.417716581662598,18.584804504712977,27.385562749933158,35.24885284603697,42.00538229287385,48.19633345528416,54.95596185000001,63.21197953237139,72.82053523255307,82.76316882900743,92.12818946196305,99.9067082577754,105.24759462201057,107.75613576994772,107.58623897192014,105.17402410668704,101.24331081426655,96.71039634378725,92.21209047147404,88.1463104353195,84.59019699150909,81.87228195654836,80.19587996018953,79.42839479234627,78.84673546128015,77.3187979376733,74.16033685087271,70.0492450647473,66.4272726432139,64.18493875974471,63.430642935452106,62.54989535,60.1063761999011,55.099759660306134,49.31828148755225,43.38527456811627,37.66811167465912,32.647510401635465,28.343440306196506,24.327882100591783,20.140512382191947,15.324283746770975,10.200474794874479,5.63892262642421,1.2686460468154912,-3.649107866831016,-9.299495680080096,-14.231519094720213,-16.98398492132853,-17.186199967636227,-15.926253384595377,-14.693426863881887,-14.710897825781291,-15.732426351947197,-17.300283078216975,-19.25266221385964,-20.78094898
15kg_10bpm,13AB,-16.46295715,-14.083004208757066,-10.661097035111933,-9.203507188268281,-8.23499612170391,-5.849473429877201,1.341286417873915,14.085945326171384,35.6648385575508,60.555801749486164,83.9576944220267,101.16708171954349,112.4451088572572,120.48550412532192,126.91199009426315,131.95198238488285,135.77625671034974,136.126778543625,129.9104921167381,119.12108660961147,104.8188436882691,91.00878053210505,79.88783778959736,71.6768426792383,64.84247094733001,58.3652056303801,51.236176796635284,45.57709066280673,39.433945015472695,30.56833503746808,16.982473726351685,2.9905301229918018,-9.319153951057999,-18.300315487302992,-27.11528257065428,-37.199655465777006,-47.72780412366001,-58.22092851349458,-66.64753303934778,-72.31668352120464,-75.68294150997488,-77.6137791127904,-79.09432756563999,-81.39928450042021,-85.55231397472585,-91.51046517387816,-98.38209483878293,-103.447238001678,-106.10216669291948,-106.60842630095533,-106.06160841334774,-107.2097353004337,-109.16121250443483,-109.30647823386647,-107.111381608638,-102.49909348771416,-95.00222065076149,-86.12774437175597,-76.07508064288128,-64.2862416867207,-49.888546944630036,-33.11657591369708,-16.643409495826262,-3.3753275627146704,6.215206170937423,13.60738746335323,19.777829526555863,24.490761666621978,28.10027918070579,32.197546255309014,38.25108414389132,45.91619144664301,53.95535593893595,62.11238970363376,69.00688078938394,70.89482312335369,66.97234004950325,59.500458981658326,51.54248802752975,45.69977606373082,42.29564248129645,41.97005287903668,43.83530663571208,45.759750943820265,44.90968683468899,40.63263870271442,34.8809521370918,28.905080814447288,24.029249670187024,23.024304625686113,27.888918103993365,36.16561284439207,42.38249978114191,43.12761554078874,41.51712929783506,40.275155806957876,37.23548293555401,31.24685814472603,23.91612507576413,17.41685916116816,11.25481019
15kg_10bpm,13BC,5.57097227,7.481256719733301,6.774064581514686,3.4162897161862116,-1.4301714489210544,-5.2985637345614025,-6.958672627961225,-7.528017916100928,-7.810729972716415,-7.900817362757109,-9.324476490868774,-11.800127996477627,-14.916020454220021,-18.634734517829923,-22.294878372505785,-25.00347489360139,-26.23827626592653,-26.028374369611996,-24.715757628229955,-22.86140651756442,-21.555169916214304,-21.24063610561205,-21.67239857297709,-22.034883113569553,-21.727490960864902,-20.621371444701285,-19.23357933840984,-18.04750380650582,-17.59932576085044,-18.094357548890347,-19.68848537935736,-22.30364646078345,-25.38247686481106,-27.94839876121105,-28.44193499226342,-24.587351998721548,-17.948949062051348,-9.579092317061033,0.14814763306016676,9.605070323619604,17.803162314268345,24.627488556408537,30.452537590690984,35.74369076842825,40.6563502856549,45.28180878946287,49.63571983862805,53.545070592048134,56.70317579083805,59.29846934080034,61.78759759013233,64.53593974376336,67.32881813270407,69.54003831610646,70.78738201908754,70.97669331485844,70.3498321094634,69.1182256341907,67.11751510455846,64.2837382095938,60.84568873486135,57.40080112263611,54.57052302536203,52.66957869323833,51.82099798337142,51.99371879892332,52.26655689184238,51.84969401444216,49.99204632842107,46.571105944822705,41.975825946667925,36.77170374688917,31.57542674638811,27.024976381071102,23.26365989369669,20.486351881740077,18.544389786406697,17.05381733547375,15.775175677550408,14.39669943355103,12.715013433381188,10.559755665228831,8.136858272982982,5.905922869087709,4.133692329697052,2.8222609746737928,1.5054739629013634,-0.5668727133707595,-3.7298601417342327,-7.137720911211568,-9.424634391792923,-9.89024627480264,-9.433526171347838,-9.163845457652375,-9.758585959770198,-11.405462346480494,-13.864645100551948,-17.138285064187823,-21.374886914073116,-26.24578644783243,-30.91669827
