cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,403.16787392,452.4311100262132,515.8175264774096,556.2169044925749,585.3137997468493,605.8768613236023,627.659422500542,641.6210513568733,641.3927003365909,641.4250840873924,645.9553379077988,649.341113287427,656.0120245968542,660.7990083117687,665.1057085199975,666.6236343493789,665.7815011688949,654.3462731104846,646.4595312233005,636.6355615257444,634.3285845744653,627.6626696305772,614.2327685276854,596.3201996005879,588.497372878859,568.2373898530496,524.5589216860305,515.83189532225,483.2931249948052,478.43470413852197,452.89333511908586,392.08237763659906,327.1509470274619,264.0808562071382,222.42619947595665,205.70560183179043,202.88804088616797,202.24968042806373,195.9728993977393,182.7627541240459,169.41942694818974,161.63565364565343,161.02052489668458,182.3663339217386,205.93777119873297,246.91398889509622,267.2965367258475,272.6128996380941,251.9361105356175,226.43051956000295,203.37288516,199.35406288528776,198.0065308541939,203.01223844837256,208.73234668099175,215.05939283430536,223.11631873192448,240.1447138164656,261.4929252643226,289.2155938264488,299.34331772412054,307.3515862397073,314.4764027817679,318.9314463004689,329.6271125919568,334.56007115859404,342.0840377639104,360.09572963415064,369.42530312543613,377.11851853555595,385.2808627528427,386.421225364557,387.58363127164745,386.0607958888966,379.6307568163508,367.9405478576396,354.92135302271146,345.3420428218707,342.2270337274006,341.24573677624636,337.6956710482323,327.1857351401142,308.5603360506397,286.01731434665345,268.8025757393271,262.76663445726086,268.87143102447607,283.8512893702681,298.81141491391406,300.1185448546941,286.0415375420033,271.56549589091617,272.2202229924756,281.50429422328546,279.71083296313043,262.9891967728896,239.5044354456518,225.10828053480222,218.77141916402346,201.5042251639382,227.22330888
7kg_10bpm,2AB,3.32046572,12.328914728101445,28.16672698186544,52.81779900014534,78.3912620588669,100.67076180306812,118.83528739351814,132.21046351042742,140.11398625866266,143.21550748012822,143.62293248494402,143.48917130575865,144.6077086103509,143.88205314207286,139.8264122271825,132.75215542474277,124.18525207856607,115.40331530146055,107.33733516752179,100.05785278514216,93.20788032149545,86.89819991562605,80.71173881400826,74.05496383837301,66.54297535434608,57.74377476393122,48.90411681988293,41.050074710659004,33.985714564919036,27.314844201754898,19.965748268285758,11.166590119209566,-0.17293281643412228,-11.899318070944283,-20.152844942559163,-27.06417095918711,-33.71740011866642,-40.46059769054297,-47.29441760980527,-53.99713972158329,-60.46600798055114,-66.61238669685987,-72.15348691827035,-76.57710626427452,-79.72271480179613,-82.19137394881888,-84.2041723351639,-85.67033327976921,-86.41067102948126,-86.52072323082824,-86.24090761235027,-85.4815810250405,-84.17742586087896,-82.37884678952597,-80.59380641527245,-79.0296209514067,-77.32684028197949,-75.10665168883992,-72.29097217450905,-69.13665852909212,-66.11626789960295,-63.681165194909724,-61.85280088733292,-60.55997694950575,-59.916152626967666,-60.11311761208162,-61.58385517961073,-63.43443059819614,-64.43053690143873,-63.210231424628454,-58.725728411001924,-51.284112030298765,-42.46902389058706,-34.60123618940002,-28.95656568585223,-25.560386038255565,-23.85284925227555,-23.404659002830613,-24.064828117880936,-25.639860693450096,-26.835751520743866,-26.614562084574775,-24.68525864754645,-21.298434166412164,-17.339162723637067,-14.919483957179638,-16.125301708656526,-20.572452131531357,-26.079366978790716,-29.58875169287937,-29.494153342390053,-26.734608418954927,-23.330585011490605,-20.048437451978298,-16.432400085001348,-9.549127180090906,0.1885489297026375,10.915366985002372,19.375034804631778,20.129698621226733,15.12254933
7kg_10bpm,3AB,16.17025586,22.906182580571134,33.09510946714957,44.98911712367973,58.46233711394687,72.69840665450657,86.11987769127131,96.85408972737939,104.66369856162272,110.44550928618942,114.2140027852335,115.55979387819991,114.66823405305094,111.83943983903444,106.68928284826171,100.80726985895693,94.37107828252805,87.16626039274205,79.73602593325887,72.30210290012903,64.81147035124658,58.12604802072809,52.48751027489346,48.00266283413892,43.991885863757226,38.92347528663495,33.446110483928614,28.456210781839893,22.987227910941613,15.813330027228734,8.412294030338495,-0.09331907898335517,-8.107868876064678,-14.309232007350666,-19.094082071089534,-23.38075826242013,-28.272022382949896,-34.19943909973907,-41.15194919896459,-48.846030294693094,-57.01336335278777,-64.74133568490683,-71.41861926457057,-76.74070128244072,-80.94396991674847,-84.08854410510895,-86.1044547582184,-87.14299206776032,-87.18576599520557,-86.06601402733487,-83.77793821,-80.59656795293753,-77.12831240068319,-73.81831016362335,-71.58012746009322,-71.14497005572065,-72.95228986531497,-76.0919709948727,-80.04873140853144,-84.21633496130993,-87.46237990952181,-88.96102429812018,-88.86096269801743,-87.66701093838222,-86.16632753254933,-85.02695211318434,-84.21905035372116,-83.12403234792319,-80.02878858346479,-74.92844771112071,-68.96853418161979,-62.58440986770649,-56.324301110516,-50.35198985134355,-44.85307717590251,-39.525151165171415,-34.33568675915789,-29.34148330566028,-24.651446135667662,-20.049679990829773,-15.635212325874459,-11.90571255988167,-8.85351655996802,-5.7439560083700725,-3.573674999190839,-3.5238266122100184,-5.284208468161363,-7.750376116585658,-9.612963094299227,-10.0749012602075,-10.482235344443298,-11.171733309433067,-12.740859395682202,-14.453670875277213,-15.726106319364579,-17.256194090877536,-20.44263680707386,-26.98484047527824,-35.76028914731739,-46.46123025803661,-55.75371271
7kg_10bpm,4AB,17.67144907,23.510182786949045,30.248974228014777,37.61579343088352,47.14885506711725,58.6057080637002,71.683186818576,85.2795245352882,97.96441248514319,108.97998225193247,118.0404247654892,125.11145178374426,130.1349051522346,133.06127128344943,133.6166772465243,131.65198104286875,127.42882160180228,121.23639624015296,113.12023886228468,105.25747713997649,96.71764350911626,86.7859277261417,75.81999811348771,65.67683527406142,58.26209542869668,54.335280889059945,51.7104222318302,47.02081686126442,38.94702511790194,28.31518443532718,19.24031497930272,13.309566733718736,8.320325381188862,3.9574411704189005,-0.9536340543711034,-7.1215609432622085,-13.848768260449852,-20.728290779436858,-27.901339606226642,-35.1834114695504,-42.05863828603903,-47.866134417611825,-51.84186960443363,-53.60724850950456,-53.72215730840473,-53.15873738538836,-52.34690368303361,-51.46688388772167,-50.694498996108344,-49.95320446962762,-49.09226597859147,-48.662224639422355,-48.599557423828855,-49.611108682695786,-51.832265706366144,-54.93327060018624,-58.25213693253593,-61.16280156632557,-62.95850108390027,-63.44608530037015,-62.86777151538037,-60.21608980990218,-56.659277903151725,-51.932226804002184,-46.20359789339841,-39.815701583844394,-33.25188777443901,-26.64738678790062,-20.39967581695909,-15.25425085925655,-12.109773179878301,-11.271557885262794,-12.017849191020277,-12.736303442933558,-12.026424888288041,-8.740426043461861,-4.163747852769903,-0.5636079738702826,1.7110432891728944,2.949728335091348,3.8048518476097137,4.906998362125325,6.131256111700838,6.261256403455311,5.208788599343924,4.289123108952508,4.58533990910005,6.436546652756619,8.731973918046654,10.201105250644027,13.396057384907241,21.569309876120645,27.81085310952241,33.62460560413066,38.531849240060886,43.1059886997479,45.94637716014298,46.07409039041907,43.100440614658886,36.67778195674097,27.0157997
7kg_10bpm,5AB,29.11892982,31.070148854542076,35.65268243991933,42.4168123513384,50.78064844320723,60.350529730000005,69.1370451705227,76.81541258657171,82.06895171351404,88.07225239226788,95.17780391,100.08735671050368,102.39844506541472,102.55264520748078,101.26655980084048,99.11105045999997,95.8884821258389,92.41867691133496,88.83590916798991,85.40727196940756,81.95855803,78.33398118170523,73.80884109882372,67.76392275550381,60.43313874883307,52.81016215,45.48787355292514,39.780354655910934,34.38268371043813,27.426735505592973,18.82996351000004,10.338153299307084,1.4839557945219741,-4.806248115111723,-9.102996703396114,-12.4837188,-15.332976600573508,-18.61803942998908,-22.941365588120476,-28.83582960213218,-36.61204745,-45.63802603866208,-54.81923216282307,-63.0899976293895,-69.54151969164701,-73.89651264,-76.55293159338426,-77.92492478167097,-78.47175290593525,-78.68399581209303,-79.04357662,-80.07055240366144,-82.31075493127618,-86.18236875436564,-91.61002040783657,-98.03155752999999,-104.28055162058092,-109.54358900963562,-113.54128826100714,-116.23288954464243,-117.85846285,-118.73735243777823,-118.16550060519441,-116.35054977557564,-113.26604639594916,-109.72088443000001,-106.37551536547316,-103.97889496128647,-102.60372724803881,-102.20464479416005,-102.3409217,-102.27526039790047,-101.30316542731643,-98.96104570284409,-95.1360711904472,-90.01253562,-83.67467467439722,-76.3737822699456,-68.63316710078523,-61.03835882825291,-54.41113671000001,-49.67067287454786,-47.1820130356113,-46.81735752401516,-47.810218331008365,-48.90581745,-48.83007910755477,-46.930816822508795,-43.73572227332259,-40.3568775919488,-37.14243427,-33.84563768031101,-31.336700513289582,-28.773333611793863,-25.576562540433233,-23.07735341,-22.823159724779774,-25.37992527318094,-31.064185610099802,-40.07896736697327,-50.78506812
7kg_10bpm,6AB,22.27875279,24.812107294197595,30.190875585079713,38.52868532229523,48.90709665695171,60.27614164474478,72.11029854516634,83.91658482838038,95.55824540454385,106.53422948562002,115.64879036830911,122.3318088921242,125.46304549954364,125.73159721409282,124.2065955338813,121.57333516778232,117.19904165091796,111.09575390527345,104.22788285422013,97.08621579180321,89.85824132501787,82.54412631168269,75.39022501084398,68.23952473862883,60.66306531742287,52.149962095072,42.68887036960548,33.377463093558575,25.808638312094455,20.3335249593878,15.510302945096099,11.856883955873265,6.909538535049176,1.2627333373676743,-4.442118039982362,-9.809291595299701,-15.193601685361875,-20.963594175610442,-27.306001083927484,-34.02923230447915,-40.777120336972445,-47.15821580000584,-52.13286900863785,-55.41482097036313,-57.219556796031796,-57.76271071821909,-57.322771396206534,-56.4291969646336,-55.46970036195536,-54.828066438171604,-54.743862619999994,-55.15218235465665,-55.7124630770714,-55.47692033712716,-54.563633778383746,-52.60878106135942,-50.492661239141775,-48.56072778012883,-47.33730770532412,-46.691233539481885,-46.46934809712184,-46.233390303589275,-45.38352480106794,-43.333147554417856,-39.61533741066616,-34.24488303836272,-27.756698941649407,-21.082005907906623,-15.37554512980348,-11.410688846847219,-9.548438734861225,-9.250449683017493,-10.022068457315534,-11.521108399288476,-13.695107368190532,-15.76269932059505,-16.646052753172206,-15.823165641835686,-13.385078038680215,-9.099573851297908,-3.257154198118818,3.699146768264021,10.128270958031512,13.775262692939174,13.7357304710366,11.54405083930017,8.719321359558649,6.295529812444413,4.5287512529127465,3.122729619211788,2.3701294688684547,3.023929631589422,5.470794840388617,8.743344152014302,14.372126593937953,20.969609676821108,26.78758527949802,31.249046265239087,34.23378223026457,34.82161583963046,32.69210641
7kg_10bpm,7AB,38.15217695,35.50419018058257,35.732979264095235,37.39901845556039,41.72463519914855,49.22947228616331,59.328971294753394,70.5634936767109,81.90298005455882,91.96974117646492,99.41356001546083,103.41038305911994,104.79311531018064,104.51571148850688,102.74584138193384,98.61614610229739,92.24877520577326,83.76833280604048,73.9628542221965,65.16682038795219,58.02172048809736,52.457978979407386,46.662534264311034,40.65509822206719,36.18924207315815,34.33875745132336,33.650794398754535,32.175294540422755,29.02020675019721,22.21509170807494,13.576638587517003,5.5597064757778325,-0.7446079154990205,-7.149342339355365,-13.556113401135564,-19.959350117860392,-26.615841558432823,-33.416619557018294,-40.229178243000966,-46.718208172226184,-52.50488962785748,-57.43935941822361,-61.56540235589051,-64.74363243569981,-66.89411589200722,-67.82289104590998,-68.49819714376838,-69.80935800527074,-72.4087328598647,-76.28026436003752,-80.78408277998675,-85.41939933264437,-89.8187940191913,-93.6281012218241,-96.01662670372376,-96.29149406689969,-93.89531900237574,-89.20417725102432,-83.29499340036168,-77.49513594435504,-72.72270482942187,-68.94342096458763,-65.61053340692047,-62.36100869165967,-59.36415273024774,-57.1582373514899,-56.24188739185465,-56.53590039578463,-57.4288385710452,-58.40423277319958,-58.97086407274024,-59.13432105669013,-59.08433172596696,-59.04888907137963,-58.82281363296437,-57.949389696536144,-56.32927908116652,-54.33624224696522,-52.09186489759433,-49.19569689134587,-45.266572412482724,-40.450137049299805,-35.190104363341824,-29.873445685845223,-24.83581445363461,-20.373113998091718,-16.59122820371901,-13.298912370430013,-11.096537961127337,-9.905555135403029,-9.926897903500773,-11.197719251153838,-11.801971945014026,-11.452513431229894,-10.61175270576069,-10.513368971774605,-12.483663247216008,-16.743136131543523,-22.366880424030178,-28.2645003903459,-32.8775308
7kg_10bpm,8AB,23.24095681,24.730285599728987,29.092148617255457,35.95365658839924,43.968948861279955,52.936918655305504,61.93369889101595,70.301039738918,78.10025203210611,84.72639917791713,89.47800724147484,92.08404387802666,92.19976048528471,89.45392964178629,84.26840293259212,78.94263734688015,73.82135905340958,70.02215656251572,67.72720540703494,66.68652830499818,66.40548212755441,64.78762731759169,61.4466123398475,57.200419791183855,53.60436270431247,52.0195260970626,47.92406523417316,40.82480964956833,31.625698874315148,20.13638606552226,10.609469594074465,3.579842017712255,-4.106185214617722,-10.490717706924151,-16.59804981644825,-22.783725553344794,-28.932330414343003,-34.875031282698096,-40.52608892298417,-45.747221923467976,-50.24618698183883,-53.96011506626093,-57.19120916787169,-60.30601052753664,-63.18756504366157,-65.31165607549505,-66.25175010874635,-66.08019999758885,-65.45664973918153,-65.00889530226489,-64.88666939,-64.51128107354162,-63.497641270725964,-61.53718459119906,-59.37324406515987,-57.22224099415269,-55.18707331576365,-52.8545294838997,-50.40616961991345,-46.852530325319165,-43.17050401102525,-39.2496691472455,-35.992525877970316,-33.876760797183614,-33.37186994809184,-34.49076797595293,-36.82256939893825,-39.94241522611894,-43.12358818513161,-46.07101129680528,-48.8837426743454,-51.42600424646923,-52.64036131599964,-51.35638393673776,-47.98383415343052,-43.621234834627174,-39.12277875321013,-34.710299539235734,-30.231776392217196,-25.50911995769407,-21.173587811962907,-18.06145720005106,-16.382967201953296,-15.580907870300699,-15.268510055365995,-14.351277321133677,-11.962829079161027,-6.57337372388435,-1.0742039966554748,2.3533559176924332,3.2788902760391307,2.1456717945439823,0.3245764625563647,-1.8529963779740377,-3.864214225928858,-5.95478024517242,-9.319212482214228,-14.271635367283691,-20.25139450868342,-26.151585762616637,-29.52513231
7kg_10bpm,10AB,26.26701087,24.6651147376818,21.87916127550297,22.695346216250687,28.469461137353218,39.25016491335118,55.28038295775959,75.51962782899928,98.06056408138593,116.60386579688499,126.18980179247785,126.57077188454448,120.38901270793632,111.06367039502474,99.9852827783413,89.26072037796082,80.96358528885749,74.56586759212165,68.13744484034292,60.756901829225214,52.78254166004268,43.861902415718966,32.0390540196046,18.42824883797651,4.465629708057528,-4.7669682967406795,-11.52532981020562,-15.065329750642977,-19.04123221066179,-24.21482820148706,-29.21427432045648,-33.487296914448486,-37.46862422407622,-40.899565212675384,-43.69669438180477,-46.3740152347116,-49.31194544946264,-52.37164676423044,-55.07220776055534,-57.130126451126685,-58.708381098013014,-59.99742021344277,-60.87107275009269,-61.300147398943906,-61.59734599980525,-61.7156713679922,-61.71244890734921,-61.34670821390635,-62.16356139693982,-64.07324372818813,-66.19829218,-66.6034322505258,-63.14167074037375,-55.40786092668535,-45.2531581442591,-35.83128682786336,-28.513784960773652,-22.563057326763523,-16.574144962569285,-11.360883605700906,-8.102217705252801,-7.571455812401794,-10.202124106284069,-15.861975957963365,-23.54979269824196,-33.037876435906334,-42.21249306116665,-48.65101026585875,-51.902195246431724,-49.9734662134515,-46.38587420559811,-43.643759449481585,-45.833662324601846,-52.97916258217308,-62.11050979375593,-68.60634400868958,-68.66322092111227,-66.44653450280953,-66.9044982777305,-70.54126901369764,-71.33731213153186,-63.848131326530535,-53.02354246088229,-43.11304707982598,-37.015095478801136,-34.903512851509326,-34.786476283684195,-33.35247042958758,-29.65433589316719,-24.529932552487047,-19.65889675632277,-17.53247295114134,-19.222117236719015,-22.913168754153908,-26.064239738446986,-26.428695123253256,-23.67300315215061,-19.97381581138939,-18.943981367654114,-20.225598903307283,-23.25399004
7kg_10bpm,11AB,2.21397584,7.803217114109907,15.313703221423642,23.420850100081807,33.76680208073961,46.28592064518337,59.30182495649595,70.85011390556343,80.40413591370664,88.50802869467039,95.69185298015228,100.21657193281152,99.17699976192033,92.34912915259042,81.33541922907924,68.8061039418807,57.088888750382274,47.78379534300185,42.04601032318419,38.84352255709508,36.50801041,35.64405405103973,34.44617261689063,30.49325662349692,22.890717760610585,12.267918052852758,2.2477391304933456,-7.0121245518741375,-17.47735263407566,-28.61914439858115,-36.96784063019625,-44.3521851770529,-51.476045603971876,-57.83006848913571,-62.77904990033039,-66.50542935010338,-69.8730560093328,-73.39495396259238,-76.977800774511,-80.15227360365179,-82.56482707999999,-84.22377225219792,-85.37923071950902,-85.9044920734986,-84.88851218320212,-82.22105760992538,-78.51141975645258,-74.40464704200953,-70.27796956803358,-65.3926687526174,-59.18105699338351,-51.6844369358663,-43.69871223462687,-35.95294286160312,-29.029620415414517,-23.741791218786886,-19.726965721372988,-16.170782152358722,-11.955485033004358,-8.358492028875089,-7.837792739999999,-11.92757502912987,-16.609412868998568,-18.71813675581503,-18.1461202051786,-16.07444744047908,-11.419912766128142,-3.256199026961325,4.702067188619816,7.725104576051952,2.7685590293607434,-10.22522417775151,-18.43533092515566,-21.26118618852651,-20.449530677852742,-19.796434375757983,-21.889236138277745,-25.953517919356685,-29.9008180605679,-30.81596338194169,-29.69013738,-28.865282665967705,-29.44528507786005,-30.14315127691908,-28.101474933085306,-22.57213180511361,-15.547147057181972,-7.983141129404459,-0.9421911442073617,1.7020250114015227,1.4949259040011142,0.5104298617102982,-0.8636355545052349,-1.5280043049810497,-1.0223328494409818,-1.3241074229131544,-1.3375041928894802,-1.1501596829968623,-0.3985188582155402,-0.9683928985571777,-2.98299401
