cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,3387.289323988608,3546.31220878301,3754.1239432061043,4003.4478669987275,4264.5379437908105,4511.271656097694,4725.235694523816,4917.719009877061,5091.001270348245,5217.030495170956,5263.5489840046575,5225.394208839381,5117.288471509079,4960.45749918804,4773.807271259609,4565.662478314934,4360.360201875299,4165.978643525018,3990.014071053905,3822.0401201348686,3633.7843905994014,3406.474928837011,3138.1052619925263,2848.592451821614,2569.448917399637,2335.5134148172565,2174.431464077348,2096.934498151118,2094.175569976513,2143.152731459282,2223.5315193112374,2327.824848344207,2446.4056020716653,2564.2254001751953,2671.1113779258167,2765.8601865970004,2853.5436457907117,2937.513731908246,3014.554379077756,3077.6017178147636,3125.770082804742,3168.2077383000915,3218.320330868231,3286.371028613827,3375.3881980030706,3485.4535099920845,3614.871705965407,3747.6232843392067,3865.068716596376,3958.664773654508,4028.0010444027894,4079.7167796662807,4135.369958885737,4203.319118921572,4284.884491926249,4371.457992394191,4449.2731164527495,4511.065551875934,4557.711723554075,4603.718128754631,4656.140186439768,4715.844950139997,4774.45947280714,4826.681138410768,4878.461031154891,4938.178894123607,5004.904173906773,5053.567964781668,5091.944913371326,5125.826525611352,5144.694100439542,5126.949408953553,5071.469614131196,4998.873053430734,4921.304832911193,4834.7922401799115,4735.869712501573,4633.758765817702,4543.851312415776,4480.26076344748,4450.477828452214,4453.101069792165,4478.807577260261,4503.1331479557275,4486.753470810927,4411.919022832546,4317.9281088630505,4276.213659521223,4312.820271142093,4352.771165272507,4287.326582703648,4103.8355143383815,3913.0368215059398,3790.745433155797,3722.7117407985243,3660.324357368822,3580.8951628432546,3500.407914442686,3430.9594664408437,3367.161164436781,3311.4314951515003
15kg_10bpm,10BC,3468.2372802436325,3524.389709816215,3600.5162297042625,3689.251610384498,3784.097052196757,3880.499867868983,3981.206148216374,4085.4612656391937,4187.109118946939,4272.503427327616,4329.18807650395,4350.431756423401,4333.3663120586625,4281.934430653481,4204.026708097255,4115.091333499885,4033.309227031978,3968.685552274955,3922.0916034865486,3892.475344597616,3873.6053396919406,3851.9288663536963,3819.486135989705,3778.734635626711,3737.7808104824057,3706.101012226262,3693.2610656926176,3697.8619881273466,3705.17711709089,3705.5102430185425,3691.2266634696302,3664.7345992982246,3635.7320851479103,3614.055079967522,3603.6715412087815,3602.2535726807637,3608.483174112881,3625.504241682247,3653.195015393212,3694.008396424127,3743.542145116782,3795.928434855484,3848.249545188479,3893.6454419101524,3928.590495253404,3948.885207871164,3958.110532851008,3956.451808895702,3945.963935183559,3928.1666446719946,3905.2520510128456,3880.7257980441473,3859.9057620492295,3847.3882336944966,3843.3579149992665,3842.461039427709,3837.776909624571,3825.3428250304523,3806.3543183923343,3783.5415968835287,3760.9577734946847,3743.6210401044736,3734.1336423315465,3729.2935076542926,3721.0866239332095,3702.5666482065653,3672.324483557288,3636.5309825473055,3605.8954644845653,3586.9283242186557,3583.031403469825,3587.77889749433,3594.258972245546,3599.853033087483,3605.9091264990184,3616.7535597730403,3635.5586090028046,3662.3957832672486,3693.161287264485,3723.238655810149,3748.890716375157,3770.1487641637445,3786.3890220079456,3798.4566967449796,3811.0909040893534,3834.018026760169,3875.7328945158906,3930.3284329390867,3974.2122879316275,3989.433166376655,3971.5134075455035,3934.6456353392623,3894.360048002991,3856.032481417656,3820.0840353014155,3797.9302288071167,3797.7679226662417,3813.325728062501,3815.613375591529,3779.697039877467,3694.1481396789695
15kg_10bpm,10CA,3447.6402247489796,3441.013434439138,3457.0387517236277,3529.7212374941682,3680.383401450192,3937.91231275518,4261.451395367771,4574.160965980067,4833.737753249834,5040.428771240233,5238.2514423117855,5428.314238186538,5561.17123010304,5606.632956918499,5564.963372329683,5457.785094841012,5324.865619899667,5213.089474560814,5146.439104978928,5121.007087083598,5138.619039349904,5204.190526605423,5302.280808653176,5383.262566396308,5394.988422402782,5305.811081092313,5115.842312454863,4851.069197290505,4566.505888523695,4314.339734155397,4114.487316807194,3963.940204769819,3844.465405159422,3731.6818763118904,3593.974115417501,3411.554934084737,3189.7390276924034,2949.4596444148056,2715.7063619748706,2517.584637911357,2383.803039833292,2325.822728453816,2318.9791027502847,2315.7481341187017,2282.4015752192017,2221.7872862149093,2166.092481651308,2154.8086961264803,2210.4921347035774,2328.877337998227,2472.3727533516167,2610.4921328285577,2740.9487039458845,2870.266694711943,3000.1584121343344,3111.8727907487464,3191.48417704189,3256.545250977022,3343.938616154034,3464.9612856634317,3612.4387179804303,3765.493779804219,3912.893364012839,4066.57143282969,4238.750352019214,4413.4725893279565,4562.018948090259,4667.9707059985285,4734.836332576223,4779.365866841053,4827.092272800236,4873.168224198215,4895.460628557428,4883.135809814236,4857.408729755252,4847.154914369778,4872.087264437788,4933.652422737008,5004.1100733166695,5074.450636213813,5150.304756975076,5196.980054726393,5170.072888067344,5061.793682827551,4931.100375861739,4836.817116062982,4776.42433069872,4694.8549778356555,4577.244411099338,4461.934933067883,4390.840707788102,4360.588000893994,4337.936741041963,4272.624092057045,4138.621315057933,3972.0012607114813,3837.2237803406956,3727.966025942524,3553.4269624555855,3285.495567121606,3000.818646890934
15kg_10bpm,11AB,3484.0965819336657,3590.3484576570017,3705.9835918483277,3839.5631326160246,4012.4699975393064,4236.489164312996,4507.1951573282295,4787.143208414776,5029.944313509686,5201.790142638918,5301.313269309018,5342.5096767220375,5335.760041954278,5285.602361089297,5189.398384003827,5047.782207668206,4866.892653480956,4647.496646390139,4395.24849101183,4122.91408827569,3851.7161931830715,3596.304070093,3366.0195591334136,3165.486316072548,2989.130677284571,2823.190876390166,2662.8621860302896,2506.06801224066,2355.3980587221918,2218.448777742169,2115.05988136259,2063.489754992003,2060.9697842552273,2103.077851678246,2174.4623026969784,2273.4186545364128,2393.26247931263,2519.6657575109366,2636.697601959769,2739.8387783120675,2841.463275005255,2959.1073761731304,3099.052834197321,3252.76819931026,3406.9751887400985,3547.1906091897226,3676.3764501550972,3803.0554807257327,3934.371997023708,4068.505564951789,4188.115469581404,4278.515646790011,4329.595240285645,4357.376221251652,4378.641506075787,4404.435513390176,4446.886601077674,4505.662939085438,4574.030382554186,4635.672776747283,4675.670938488095,4688.577792367689,4681.284903840991,4664.078893842265,4659.424693387247,4677.841836741042,4724.886026577033,4781.092399859388,4825.16186404224,4868.513555520053,4918.1768554134205,4963.823278503854,4987.306129492058,4976.381748668776,4940.004206541271,4908.723392465949,4901.82398116672,4908.070401334757,4897.119050303613,4855.233255710771,4793.951753212511,4722.316754276301,4647.417596027563,4573.940188138642,4502.513724379958,4438.9713455285755,4391.06031790978,4352.2756180268825,4300.229683374243,4245.584566298644,4234.864544081203,4265.2647170357195,4264.543429970594,4181.214111182326,4043.7039429948704,3902.6947108289805,3806.1473168429334,3750.7833250606627,3698.3777743870296,3618.201558274727,3521.657510725453
15kg_10bpm,11BC,3499.1914269193317,3582.752817577898,3668.493914544396,3767.3361388786698,3878.572067928791,3996.742295347058,4107.861938512455,4196.83543056066,4252.067270457675,4264.233016598307,4235.656732051709,4179.478954311446,4112.315374196865,4048.5954825529225,3994.2815025718496,3945.48973780713,3895.786098343549,3842.2283852669266,3792.152350881407,3754.6937054777027,3734.4363747955235,3731.3255530216984,3742.2236219881624,3763.514007124931,3791.218242587698,3819.2784337692174,3840.9905208025907,3852.0241297805014,3854.4655605966686,3851.58081082272,3846.1842785214226,3840.929926963386,3839.2058582801533,3836.913637563613,3833.419336968731,3824.707041444752,3808.84294426574,3785.9758774407037,3762.3163834205143,3745.1953247264214,3736.1093984090803,3736.424528302553,3744.9627517519148,3758.9242682587146,3772.4898308630213,3780.0876105463294,3775.6640302115916,3758.885054374381,3734.7556369477466,3704.2302576169795,3674.433104544884,3651.040658366224,3645.656834205767,3669.172893306104,3725.8327014498236,3810.6978985737414,3907.9854867323393,3994.444692127248,4053.0756438449866,4077.5275997385756,4072.8551160834545,4050.881850986207,4023.184084188115,3995.273165775926,3969.478969421328,3945.4636515685493,3923.346463818575,3906.030048798772,3898.602513921524,3904.643139940108,3922.8446658927123,3946.341071542726,3964.252018623405,3969.940565055682,3962.7987938482474,3946.8770616854636,3930.047039830577,3918.0645671188704,3911.7211459770942,3908.4324435273543,3905.4183521265068,3898.009029504544,3885.351152934357,3869.7347244267385,3860.281693166765,3867.2469126647316,3897.9631140404576,3943.854548102405,3979.267322898011,3979.5573143511397,3941.0800507973436,3886.4109071654575,3850.092183833706,3850.0499199535575,3879.6456030095374,3916.377188955886,3938.030698449992,3931.0990533710988,3893.457991066734,3828.379078188681,3742.4475764001354
15kg_10bpm,11CA,3183.433006403321,3208.921093201019,3213.9181492008283,3216.010908527188,3251.665474099733,3349.2395660071193,3504.3035565438354,3692.5462545884893,3934.1338902291104,4218.329710209801,4479.763969927442,4701.794284770493,4894.652895883045,5069.5197246479775,5228.4874954134375,5352.922611135352,5416.845202126737,5407.712569178615,5335.421713416873,5232.216398830974,5145.099520340214,5107.103118798204,5125.200994210347,5176.573041515634,5224.975862487728,5247.529452556686,5245.232331490647,5230.2705118573585,5212.730008915245,5198.72167727887,5180.809429643647,5134.555175754284,5028.175980440145,4860.5564286168765,4687.252996074118,4531.830543756326,4402.723815803124,4274.941232591625,4137.786482293875,3988.0261557617087,3831.0162566597924,3673.2241791010943,3532.4137291692027,3411.931663657892,3298.6680861302875,3170.6972740134747,3015.7619239690885,2849.7297868504916,2697.448155334505,2573.970029839408,2481.110865445168,2411.4986319349114,2356.536375228225,2314.3192646158086,2289.4322320979454,2293.654296260808,2341.301806472528,2444.296158965611,2597.6100034099563,2781.1098551474724,2966.360659885137,3130.9643289092646,3267.795352724952,3365.8825526934265,3423.257621826308,3476.48938970715,3578.4283689933623,3748.0934389611916,3964.9074370575445,4181.535573389979,4362.241588442703,4507.02525655986,4623.301910224047,4707.688247687016,4748.491110976763,4754.857604848496,4756.618094723972,4783.549557447806,4842.824508512823,4916.833530354992,4985.056574839274,5053.31498367661,5134.025818312446,5207.0899875180185,5238.976178750687,5225.072247403608,5194.739187973563,5165.297121559419,5123.4748391408275,5053.986244135079,4957.382312770789,4827.821229152488,4655.9619851057505,4476.198606137421,4344.371220926013,4265.546465576559,4161.6737631533915,3965.0015976881427,3701.61326829668,3442.2906687404393,3218.817689655993
15kg_10bpm,12AB,3270.843194031033,3354.926026359039,3468.4431855526786,3640.303874279607,3859.58719468147,4096.597996876129,4325.0201578960105,4530.7201154594795,4687.409269235701,4787.152502069061,4832.235030338337,4837.968462699995,4814.76951826547,4757.054606207145,4638.957642066934,4449.440645134906,4207.826331631438,3951.64074836822,3706.4462315402266,3479.7455171098077,3276.171901155501,3104.31166905831,2976.7598025182797,2882.8603207411456,2806.0384189641327,2727.7295718381456,2636.960381795839,2532.0403752441835,2435.585003560809,2371.590358998513,2343.8771954615677,2344.8323181959745,2366.6359445643484,2415.639290589201,2494.839411352737,2600.633047768837,2724.165637716439,2855.828710311276,2984.009085114808,3095.6471245965454,3185.0750290547508,3258.4910784298168,3334.891867884196,3430.958556884873,3545.330086248588,3657.733693660478,3739.3910093453073,3786.9907428956794,3817.5460628913365,3864.7232312378464,3950.8615894387553,4087.826434147126,4251.108407202783,4399.592731171576,4503.608519497906,4568.403630647489,4611.358730362621,4653.009092622306,4686.1199318735935,4706.674194906361,4715.6757148035385,4717.418973833256,4719.9527376374535,4739.657379211301,4792.592242202527,4859.8822042399615,4902.1889339175295,4921.381105537336,4935.201440301119,4946.197494847111,4936.425593225453,4892.1584336188125,4811.803016009511,4702.021802155573,4585.539725341983,4487.398759239254,4426.359277347984,4412.396114718738,4442.057946122713,4485.952398346492,4503.8357498630985,4484.731152907412,4450.385601671909,4417.690893249645,4380.4544064621605,4347.850799183347,4352.0531370630415,4383.84311200721,4387.967021911245,4297.187492933216,4121.447419460203,3931.3054112198865,3778.904017549418,3661.257448021551,3573.010038126387,3501.050183997121,3417.901310435555,3321.9775189887027,3241.032275176023,3189.92774119693,3154.0900378842134
15kg_10bpm,12BC,3040.052311729638,2941.9069039741776,2902.9616074212818,2921.409642862448,2980.868955216849,3066.418490354105,3169.7870292690436,3285.9300694360563,3405.050649143822,3528.929465507347,3660.4354189978744,3801.146233427138,3945.8110248667476,4077.218661322262,4175.295204477658,4226.193746529191,4233.210724466572,4211.922963483716,4174.195675072463,4125.383270249974,4071.522888031042,4024.074951205084,3983.4831902285887,3948.0753577421756,3912.1086065378754,3873.019719543235,3834.8306154274123,3802.4032418925326,3779.1185772499302,3764.0551150631827,3753.3112686144054,3746.109694153904,3745.6510758641994,3751.4644858991132,3757.6379577867638,3756.0932529462666,3745.525027242594,3728.2099441641208,3705.771132226307,3692.076575604927,3690.776791401622,3700.4828076687913,3714.254419598912,3727.5304628139,3737.700247365346,3742.8442520178137,3746.159122191678,3749.6076755818663,3753.8579357668964,3758.946558021659,3767.71895738277,3775.829775088111,3781.8221322992276,3786.0269341261987,3794.489128006959,3811.053399268489,3834.4070666179923,3857.080023478608,3872.6849818015226,3878.049504867046,3877.815116481234,3880.422822094455,3892.257990362783,3913.600714243805,3937.6287781578785,3961.6496862619224,3984.6613987230726,4005.5656078795587,4023.0234620566143,4034.467535318824,4040.011247613836,4042.664862466234,4045.1787469886162,4049.883036469803,4055.526019143096,4058.34094150079,4052.6242233097846,4039.6721499463506,4026.0144628159214,4019.322939952566,4023.166247830777,4032.59358838861,4040.4668827842384,4045.90223013767,4055.998545490897,4081.053549497152,4128.591711746552,4178.902490569362,4176.915311656416,4087.4290684227035,3948.702570463002,3852.143630193761,3847.0303498343933,3896.8980136283944,3930.8784240583,3918.2392518268853,3879.124568895792,3834.8414618937413,3775.8216088910117,3677.138014563597,3533.6384523267266
15kg_10bpm,13AB,3113.303695345135,3178.9242237238404,3263.1935114463017,3378.3128010662476,3532.1387118034895,3725.561245535772,3949.519393058663,4189.597823540583,4417.483928493522,4626.412363922874,4801.5357550363815,4934.665177481731,5025.577841603617,5074.553787464302,5074.672112772785,5013.267708645208,4891.5716099527635,4717.97792778129,4505.947961764742,4250.459781896946,3954.4680666742506,3658.1772180521493,3406.0794462307663,3210.1156753122746,3051.1049387540174,2925.7241390911186,2838.942845549791,2794.3364037278848,2779.364355886934,2773.1581823452466,2757.2381207848957,2716.397455698799,2656.224272811219,2593.6147821409654,2554.2817414191245,2558.3105365439014,2600.7665096840115,2660.2123474505497,2709.0762265607295,2727.6668189019506,2715.407398683491,2694.62511383177,2697.2838280954365,2745.4813236945856,2845.092846920642,2986.067444211275,3140.0729738176574,3294.0869334469053,3453.7424395280696,3622.8055474324283,3796.8847238796984,3999.9559918313607,4213.933627374615,4407.267903762105,4544.831540264111,4631.719375134644,4675.83975956999,4695.49719837968,4704.448534680445,4722.169214477109,4746.554188658628,4760.569263013564,4752.332886204045,4725.728132620201,4702.178159236021,4689.925366149004,4674.5166918303175,4652.105382912358,4637.6388760818245,4635.723562413851,4636.512739220205,4628.828745298658,4615.832353211434,4623.648045164537,4673.896654230126,4701.148892501676,4682.518444318263,4631.002640303104,4575.923123157822,4537.095919581492,4513.856296028159,4508.0657031953715,4520.451832474313,4541.1120197076425,4548.749318691925,4536.44498450869,4505.9069892754615,4446.473347020816,4368.669634398454,4293.500055805189,4261.854832043093,4300.9151608920565,4318.015952928202,4213.860153835752,4020.0481436725527,3832.38518101044,3726.5391789620458,3686.868954035931,3643.5670518433612,3561.4796456410527,3472.641468284886
15kg_10bpm,13BC,3209.3053583637575,3286.6995362937305,3397.3090948647814,3539.9332846085667,3709.667482429277,3896.4760008741055,4077.9415830341213,4224.391437370202,4314.2044777927085,4343.324312956504,4325.147193929529,4281.777309820139,4231.187529436325,4180.561472436461,4132.968292960831,4091.106606111986,4062.4731715936678,4054.969590272118,4071.2010163971127,4103.568277682386,4145.2880372292575,4183.318770965908,4203.928721358102,4193.370033989975,4147.306813165975,4066.2557002415183,3965.091235147849,3859.3712187574465,3769.3816133581495,3707.8589205038934,3676.850572420497,3672.012656657399,3683.802512631426,3702.377921852178,3718.9599444905834,3725.889618123921,3716.961619787528,3691.2134877058347,3647.0649002145915,3594.4624176562,3536.3035481866036,3479.9754813280506,3430.7338753054946,3396.7631759407254,3384.21141815971,3394.2857797688125,3420.4221905331888,3453.8824111996573,3485.7992402128484,3510.8432037804873,3526.163601212116,3532.0012143384824,3531.4148857688606,3529.5357225202756,3534.157771538427,3552.8497119510703,3588.1058068055154,3640.2663272951527,3701.459216010823,3760.7889721760343,3811.8950164334947,3853.311569328238,3884.725854982575,3904.8951379466953,3916.592038934513,3928.3063825275713,3946.30730934816,3973.3022311039895,4005.8254477341056,4039.8169914645696,4073.1397604613326,4103.672985017045,4128.595950947237,4147.647252395353,4162.712952837866,4175.850918949495,4186.776283443985,4193.277729383013,4193.881417061545,4187.515085868052,4177.120317483201,4168.319183601807,4164.118027008153,4165.551652885527,4172.987732580506,4181.544554784923,4181.8067792310985,4169.3956413920905,4152.116816044992,4139.372459932675,4127.987496182433,4099.317085039353,4039.08772269394,3950.7018174776467,3858.704451438932,3792.0865124458146,3755.1661000539693,3723.543155909087,3668.8603822967953,3585.8669835964674,3492.343785920961
