cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,4080.1840237101733,4234.37573664012,4464.4743803961555,4686.597641146929,4918.06666958158,5137.227313463312,5304.556467797563,5423.437695757711,5445.9606570375345,5451.809847495032,5463.849408469152,5459.79851894228,5451.541757330684,5303.790749354088,5125.88494306999,4931.6751462334805,4726.693543916309,4534.699765782116,4373.006185063733,4239.355091030043,4083.489289882626,3938.5635074114757,3824.7548029680793,3732.9012770613517,3654.410038909931,3549.8438363164123,3358.848572200557,2953.7620183478825,2565.6881694473173,2264.1666108928766,1956.3827093383695,1729.0567751407689,1514.8830981343604,1325.805837723227,1225.4644509866328,1221.2092459632613,1282.9794999112532,1367.3965908146413,1439.5227800656367,1492.0237237602096,1549.7046055745689,1623.1912326628922,1717.1670015950453,1880.185134636017,2074.8200082229523,2356.3180359071807,2681.501801762972,2972.239993448438,3148.3280785121074,3245.634806218505,3352.9263864420973,3490.4041948211534,3656.4555169891687,3837.989291532922,3994.313253797116,4124.767638266846,4284.8477409420075,4509.866904257868,4765.442904143326,4981.958609196102,5085.906786201488,5155.084934085968,5209.445670150802,5261.818784663607,5317.416234654458,5349.132004017403,5372.736952181519,5371.470154998294,5344.920604311597,5325.830778004638,5339.9134609590255,5374.101371183827,5409.715276311994,5438.153429798158,5444.111607571834,5432.046831305564,5419.316620629682,5418.230758530331,5422.0621733397375,5426.383368905204,5422.4187936511125,5398.049045154513,5351.016698174271,5293.399501066705,5260.15731194802,5265.945344092315,5306.360030697032,5364.872204251308,5418.048155282517,5428.1503047586575,5401.410782956423,5395.717392132975,5448.121508254547,5503.712750085478,5505.73363732908,5463.669237284664,5415.569177103318,5386.815497351277,5347.096421494107,5239.112980182222,5266.4545537779095
7kg_10bpm,2AB,3485.8183814376966,3582.8327090341722,3708.7493297113765,3846.0781518056897,3981.421722144953,4106.032872946018,4216.679164941443,4299.612230102372,4342.4937400973595,4334.047985411193,4269.590714869866,4161.55929633318,4023.5052604282305,3867.1548903785706,3703.012287814724,3542.1060035335026,3388.698078345943,3248.0030599625215,3110.6734316355833,2967.7301522505813,2810.447341146263,2639.4637280758457,2459.6380941382317,2281.7831692932004,2121.9910902884735,1992.750422834679,1897.0335988966888,1826.7655948768645,1766.19215591635,1703.7816954271975,1634.5929265128123,1557.3715771097602,1486.9468868467118,1436.5783342721732,1412.3126163636912,1437.1662573613005,1514.6105836199238,1637.179279151746,1790.0821202149123,1956.3931119933634,2124.361930068736,2287.552400782017,2444.0093700397865,2593.131822149363,2736.70714504962,2876.599655207263,3006.9855355353425,3119.504626131027,3216.4724499188555,3308.1605950903363,3402.9305588855236,3497.2656770357353,3581.409188198248,3640.7957664789824,3677.780627720354,3703.278086076404,3725.2995269426797,3746.4633979702376,3766.725323914571,3787.9685991356578,3806.3727914927954,3817.940398496955,3820.181520829842,3812.9446698683473,3802.037967485032,3798.7125720279223,3809.436775291209,3836.7119047329725,3873.0467422401816,3905.916123968098,3923.4982679633226,3924.069373543025,3915.5747829344164,3913.938470010286,3925.5560130505105,3943.5269464709295,3954.694234488261,3946.8552083046015,3916.7811007016585,3864.3139582155313,3795.4114505393118,3715.696311512616,3631.0360436780525,3550.9594986122856,3491.051030818613,3466.5274134318543,3485.2030981002486,3543.109417443188,3622.83748426036,3698.72350440943,3750.870460444608,3785.2794770418377,3820.5077094282287,3860.898219709666,3900.719262215491,3948.7885436099423,4005.8581665268384,4060.513149836648,4090.482347596822,4075.6251985006106,4005.9207872989236
7kg_10bpm,3AB,3774.889377043863,3824.710379879639,3882.6517736402498,3951.845546108567,4030.1173412814014,4121.015367037426,4220.27407585234,4317.878153303825,4395.2811034636825,4432.284798011635,4411.786467538502,4330.701840703576,4198.493238083492,4035.8228776989477,3865.3828765457934,3692.186761450982,3518.0152405671342,3343.157984261425,3168.977111789091,2988.559358870756,2791.133333798052,2573.185267034662,2335.9891503338777,2087.7535880200576,1845.597038898421,1633.5773238335098,1472.3309784506791,1374.4632327956344,1330.1021080735243,1317.246535182939,1317.258471982583,1321.7163300575207,1328.7596779192463,1342.0711292174126,1362.7210582848488,1403.2240009650445,1474.56606900187,1581.2959906204253,1718.3984897417242,1873.8013567423334,2033.2591862910083,2180.4700862307786,2308.8577587881987,2422.3008216395588,2533.9949394154705,2657.670693675779,2797.6417592652833,2950.312720902807,3106.7884377404903,3248.8884606314264,3358.248471245417,3432.060289618596,3486.5950155192477,3525.5595108766256,3563.106257727985,3603.0062146281816,3644.2135685527296,3685.092690289865,3726.6233867864116,3772.5674742072747,3819.3986148458853,3858.007484940443,3881.117101120922,3886.620528051037,3878.2757605382844,3863.4868605823285,3848.0809174015267,3833.6825381652984,3818.6114164558107,3797.674114538156,3775.1287404012805,3764.0880382746345,3779.0852782366815,3819.998344623,3881.7143040224287,3954.678604829876,4026.887928146282,4093.548396886109,4143.8822727134575,4169.020986043248,4161.48700895706,4119.872358311739,4052.621854084912,3975.5555755253154,3903.9535003410406,3845.4180117963065,3805.1592929893377,3783.5358791141653,3777.5733746281153,3785.068372439134,3795.909454374414,3799.943105055259,3779.7297728267786,3739.377350550182,3701.895951191356,3692.888278281706,3729.6884463720444,3820.02787608741,3942.6345144141596,4062.522044639408,4146.675332262914
7kg_10bpm,4AB,3782.852995780299,3858.62550043326,3961.7801891456998,4084.9227855485706,4214.760826662824,4339.798743422698,4456.234400458765,4564.378718354,4649.739639538126,4693.943454156941,4681.975539329168,4609.793726109722,4479.055945373492,4293.296962654925,4071.608772216314,3844.2289963029298,3628.5721059687257,3430.0467968981598,3254.46623615254,3085.6337694840545,2905.4992685418024,2698.6591642965195,2462.3027099295778,2206.191964273118,1946.491755283667,1696.1178586860633,1461.5063301979635,1248.815166565878,1061.082459965343,905.6014815645077,801.8324721066975,746.8274321637749,741.2592275573639,781.1329200002842,865.8220180952525,989.4382420203499,1139.4503229125164,1301.4940344841539,1467.2596792530153,1630.6296611878106,1789.4331965996105,1943.806307073579,2090.9189311714845,2227.502191214531,2353.795043272871,2471.4136372973608,2583.587511982852,2694.481055589816,2802.954422620764,2907.8331669975955,3014.294693916241,3121.61513673808,3228.043181485109,3327.279027210244,3425.692947430665,3531.7252992386557,3647.34641523379,3772.359641084712,3905.490796509843,4036.495065405396,4158.2690514839815,4270.098746199643,4361.790087926786,4433.549478537711,4490.177542093542,4537.916266290298,4586.337462936979,4630.046786717671,4666.400140828936,4692.407154755178,4702.253139776309,4684.7048312406105,4621.629591749061,4508.739407538562,4369.250904254734,4240.049061580384,4153.742201590773,4116.879716687216,4118.949128643219,4136.844619956612,4149.300107817501,4142.947783892019,4111.525534131868,4051.614683006999,3969.6124104106384,3891.0720831945005,3851.1049431176807,3874.0389447109646,3939.893286170185,3995.2286426961705,3989.194560397673,3921.7942086092885,3820.503012830111,3734.1454623455106,3684.2085824499613,3678.191510160622,3721.688610912154,3809.1252741250382,3914.98952000984,4000.541613994158,4035.782880706229
7kg_10bpm,5AB,3772.7749660600566,3771.810871204919,3795.2008236709735,3841.6514978171854,3907.073255722427,3988.561251938398,4078.764361163689,4163.159461630388,4226.734697153535,4251.006023577995,4224.206169980455,4145.7162938148695,4027.3228721572186,3889.481079962242,3746.139963395505,3607.4713214072626,3479.473624194034,3361.7853589586066,3255.242317497089,3155.1622259457963,3047.481904549891,2918.232905128575,2753.0746739964966,2547.4566079213623,2315.4033346182064,2080.8606187014216,1864.6825541878416,1676.830248142134,1519.3580219163398,1393.4574043893558,1302.0179133997785,1252.0472541254198,1245.6942532668072,1270.8983732356828,1322.916647187739,1393.117534585446,1480.3073359890936,1586.2118453305507,1705.579941106169,1831.0086475872831,1959.2791566001258,2087.0339544965864,2212.2244443539016,2334.3650252119605,2450.799981426192,2554.1943998443676,2638.9247936864263,2708.5807004147846,2772.9264381181033,2840.015875475225,2913.043155488491,2989.6753738016905,3066.224523332478,3143.3223954540267,3228.185985736759,3323.441809945487,3426.374304636235,3524.851189504828,3610.440099711138,3685.01680751696,3756.320414285642,3829.636758088292,3909.4675009417865,3988.409686940153,4058.471487788456,4113.537976351555,4156.0739100776445,4187.034857330451,4213.137881197341,4240.242026343333,4270.449045446968,4301.645711801781,4330.201761378436,4351.813283017721,4362.189685412194,4358.696521115365,4342.084399376818,4315.14142955823,4280.807687632618,4243.095081701302,4207.194435662023,4179.25749161911,4161.618109780825,4154.877430558368,4150.947480032777,4132.156676527464,4084.2277146338242,4015.1377691451994,3950.4819731864895,3906.916023708933,3879.1509563780282,3852.9591510389255,3830.625158589856,3835.7077584306558,3886.150383989899,3974.690915447366,4084.6355860714257,4188.9242794147885,4266.096071445837,4294.597437340177,4258.004968319426
7kg_10bpm,6AB,3778.255383477538,3851.9459293828045,3932.8522781292827,4005.090751625583,4063.9868393329107,4113.064973303403,4169.150504129508,4237.722951933248,4306.726278711157,4349.302474161809,4341.946060864221,4266.731092205446,4129.901103357018,3948.0037518018075,3745.2272548104042,3541.1488659114734,3351.7192495329605,3184.9048636807474,3028.984303514576,2880.113649076003,2729.9660211962223,2567.1004347218386,2383.453817018544,2172.75199177101,1940.40583767071,1705.5769207187818,1490.3257636967946,1309.3964189943538,1169.5003384408155,1073.15645425515,1013.356043206406,987.4305412881521,1001.3067507904366,1054.4688046007125,1145.1072047763964,1263.3294162901009,1395.9547655168217,1534.0724865047687,1672.7543004305082,1806.2777165591187,1928.4400239616878,2036.480506106037,2131.0932561303434,2222.956809624048,2322.6809257708724,2437.374914880766,2569.6075111605855,2715.9832043000874,2868.769443535542,3019.462177580936,3161.1002620974177,3289.5037859996387,3405.377957415613,3505.0415401541777,3593.667050831543,3662.726895819509,3718.2709047175263,3758.7229088415706,3793.8014304953635,3828.6546395451196,3872.8075966598367,3920.1119921468553,3963.493037261159,3994.2063923539977,4005.8929007855795,4000.668598770675,3985.25246428205,3970.0827277171725,3965.2307420464504,3977.8966349721773,4007.251287492028,4051.984811198655,4099.656793748001,4135.047502951319,4143.636145774125,4130.809743700103,4109.149773061625,4093.850464153005,4090.4423915153816,4104.093043184493,4131.32151219152,4172.247207180714,4229.033067299369,4293.019090739339,4344.432187728461,4361.612809300452,4333.668494956694,4267.883019665023,4188.872436175233,4117.561092981597,4055.959447888292,3988.8184339500613,3906.5917959123176,3818.5005097223325,3743.1856933899558,3695.8477021057843,3684.1197040635334,3703.8121361450335,3752.6384536470446,3821.4176830117244,3903.641664601562
7kg_10bpm,7AB,3677.0150470001795,3754.2366965913743,3852.6088296561456,3963.625498860159,4070.572484108046,4166.587338599332,4256.754668267359,4345.327496615311,4421.598184940521,4452.461471627424,4410.89915934689,4293.168975197083,4119.707464279195,3917.3548881730417,3702.367179359343,3487.268267493391,3281.70971905801,3094.9243215800034,2925.339075385292,2764.890885967829,2594.179012921597,2406.190212831968,2198.562180445461,1983.3741171799488,1773.6089252030304,1576.885923692946,1399.7701505101654,1246.5248529010203,1126.050672550495,1045.4256456268768,1018.3336120555492,1048.4298815369257,1121.402061118832,1222.6908883600179,1343.3366989454933,1481.3342753304523,1630.5368994918651,1779.5776768004953,1917.3536318604188,2039.5610785568358,2150.1096112108203,2257.1821209375894,2367.324436852015,2483.299219031082,2593.1008849158625,2697.826182063985,2792.2457360114636,2882.425852385857,2978.298271010848,3084.7563559694704,3194.6610589727325,3297.3262298869413,3388.1311820838473,3464.4028994164382,3529.7145349204316,3584.580777932246,3635.8315841279805,3689.7431454270436,3748.4804843651864,3808.160006452651,3867.6259865734946,3924.1588136356527,3980.3782670713763,4029.6501729590454,4065.245827424107,4083.447214626926,4088.9507138636827,4092.216515698901,4099.653699881804,4117.7714718200605,4151.593985136826,4206.521017258378,4278.406541875828,4353.578231053578,4415.159825602007,4450.444143786282,4450.676065241315,4418.193835275518,4362.338077421464,4295.721139646075,4225.861254484935,4156.3366513052315,4089.7869460975494,4027.166042702329,3968.3819562183776,3919.5460800415117,3889.684298049917,3880.294508862691,3870.12684894707,3831.7855241441544,3765.264233513129,3690.9639427684533,3614.557427747125,3533.6275180014864,3462.7644104385035,3432.73759150785,3471.6032837048715,3581.583578962723,3733.4902588897426,3879.808704747514,3974.362974434443
7kg_10bpm,8AB,3792.812491346742,3784.8088294893996,3792.9547281009745,3819.0422163280195,3859.627959757347,3920.1721387549546,4008.4507090033712,4111.644522702698,4206.567884520149,4269.806488333897,4286.536162851928,4248.46269279248,4149.087102334879,3996.559151560841,3812.7241790628477,3613.2426201008243,3406.3836037693027,3198.7661159684812,2987.2589241186897,2773.7010453144558,2571.6313241007892,2388.310680472488,2230.451384447423,2094.4631891620197,1976.2665869457605,1871.2429579720508,1768.8912824187369,1665.9198054663602,1566.0527884602898,1480.929861526504,1419.112682920601,1385.691498369784,1375.8537702552671,1387.9398215775445,1434.5526196546712,1522.040540594147,1642.3973170073866,1778.1431126985035,1916.1705567643332,2047.891612988661,2168.327799985859,2280.813629552095,2397.8115455944867,2531.0602909453264,2678.2279235321835,2825.280696141116,2959.221089759745,3074.4543040820095,3175.9282461990833,3271.380539767826,3369.9513264044963,3459.4027992746583,3542.7315870286184,3609.7785803842407,3655.0991232115794,3685.3109259907164,3706.401013759897,3725.385963960351,3744.73240608058,3778.067143869273,3816.1813862139215,3858.550100175722,3898.318276439891,3935.01000988758,3964.7707028794657,3979.064382090224,3974.088202498426,3960.102300130674,3954.434368667977,3967.617242380526,3999.859160428051,4041.109104362876,4082.5319468816215,4115.650370625662,4139.854408654262,4164.810099401503,4194.333188160338,4218.482501841768,4220.21542344008,4197.022060750212,4153.269528277009,4102.436424619691,4054.9103048123493,4018.274245546228,3995.20559969228,3978.0557528908594,3957.5466196893053,3938.9950230154222,3928.1807153762365,3911.4046444270234,3870.575859836099,3805.549515851304,3727.7850321840074,3652.100581784165,3597.4332857170966,3579.390307155187,3618.6725146936565,3715.8635477372086,3842.2118230674023,3962.0181610160985,4029.271645027903
7kg_10bpm,10AB,3467.344159094698,3506.3057849418124,3561.766951898233,3652.479968256141,3769.5120014426734,3882.376097752479,3973.2074874935474,4042.482438705683,4081.2684250116617,4074.077939328651,4018.8713271513643,3922.829506679836,3785.2997771430096,3603.453730473767,3395.7272782217537,3175.0375972871843,2954.5087448866693,2753.5571279483484,2576.842375311124,2413.4869806932793,2250.75142962585,2090.029625056535,1943.3676463301524,1821.3858982922254,1738.3797586983328,1711.3428063824972,1739.0193742809079,1806.8393986893423,1894.9744083805074,1979.425020974175,2039.1792804033812,2069.194061557012,2078.6475442628926,2082.098312688101,2089.676847715283,2106.6096402610765,2134.4444552335417,2172.4651552872315,2217.343502989284,2256.2018379228375,2278.8180577622443,2287.0753148838044,2294.4984711212205,2312.110143424807,2351.7626791055754,2420.84371095303,2510.4890307064097,2615.5888178731198,2730.0671121755977,2864.3285820196256,3009.0180417604424,3146.657796607353,3273.602115339747,3383.4228537688714,3489.916523619572,3605.369528986173,3734.002649232409,3859.283805326997,3954.350238125455,4015.12533979888,4056.466204743371,4092.733741958472,4138.540678600073,4207.020068842814,4325.602006043163,4432.184370755704,4441.399175938211,4314.040188809235,4077.2318591725702,3835.757640336392,3690.6552626287203,3721.3710488249853,3923.125271516785,4188.439190713177,4362.670690928088,4320.40779188513,4110.669699006159,3908.4918080461885,3822.0594833369546,3860.9757481861056,3940.8685882085365,3963.5856742374076,3902.924382287909,3802.824802647916,3715.1671032389104,3662.041945924907,3636.924276689917,3632.1371367221495,3630.319435689083,3610.7733045034,3574.0556669368866,3535.83187827252,3522.134873177161,3548.3721579444414,3585.4511351224883,3579.982713423896,3501.800097505899,3370.542436474225,3247.1802025746533,3167.389030949829,3135.390207862491
7kg_10bpm,11AB,3625.6632075350344,3750.6962713586695,3882.8879336828622,3996.6217704759115,4087.2511405143086,4167.2855410857355,4233.676353008724,4254.573888506594,4198.257734452121,4080.048680351861,3940.805339690971,3801.6173283775092,3669.738931144504,3523.397057002221,3335.729979616337,3084.7332764982875,2762.3359901337594,2393.976234144824,2039.2004467524807,1743.6778861319724,1539.8678016414287,1436.072120478877,1413.1820582870876,1434.0945392092756,1462.7798022311026,1476.6298919273274,1474.0690447789198,1480.9822468610596,1520.4727318406979,1608.5773709604534,1726.310706410024,1846.459769495108,1946.2646949171453,2020.0102770274839,2073.6399885376336,2120.2957169360034,2175.579849183474,2247.297655601664,2334.8028392962283,2431.3581885350413,2533.866408326444,2643.4692343392185,2763.1043464072122,2898.374244464939,3039.7365890735323,3176.876199742677,3308.476670290328,3423.7658836812097,3519.6728634166902,3613.60150451216,3705.2990435074294,3799.5278366787866,3893.4650882994256,3976.406549615089,4033.1701524683835,4053.504418887809,4050.484303960094,4048.4030259198826,4072.4488826403717,4126.390036199646,4195.577282483336,4247.793685857595,4251.783445278942,4175.186480671057,4008.671957699904,3783.475298713563,3561.9694433864456,3441.56938498153,3513.038400624569,3764.594265479841,4063.624371554263,4251.623647499618,4274.554327636572,4153.661690981997,3982.293469404895,3853.1897829766867,3814.9650310600223,3842.382411822422,3877.4010985157747,3885.7320009007994,3863.979209235302,3829.7252919092466,3794.8807283714,3760.834751565187,3731.6552018781317,3715.665417576728,3695.7936325536075,3654.9901620466662,3606.499099033658,3581.275533350891,3585.074247823869,3594.0572243240063,3576.2754533258676,3522.0375687213277,3454.507470677586,3404.6899841802488,3377.8070358753384,3356.775202914849,3336.561066980751,3328.0166558495007,3335.4781414920317
