cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,3850.112833135166,3947.2292006558955,4022.2463410319633,4067.631919091927,4085.065056313892,4082.822275847875,4072.4923153217896,4068.7144518571477,4071.6140748812977,4072.499213151315,4048.4241409001356,3979.966237969437,3866.7346134213026,3717.2191700724334,3549.589010182976,3384.516183066339,3236.737148745732,3113.000318771823,3019.4384863532564,2955.2504133868033,2918.0246176157007,2899.6370003524203,2894.107902829438,2898.6150405548956,2907.4514219372304,2915.5545269322674,2921.485508316447,2926.0529284146764,2930.109958292836,2936.6690017196916,2948.6838815248134,2966.4550995826526,2990.4762928133046,3019.84907367691,3055.3674243347145,3092.982283257332,3126.031031800659,3147.727499698619,3156.3037366507174,3148.1989130839247,3131.415975596962,3113.429783288735,3100.3897364373297,3092.4997216159422,3086.7402063761233,3081.796303981986,3076.7788895569947,3072.9148949655196,3072.4639057787635,3073.2078016401047,3079.5720031669816,3089.9468643294363,3102.4499386780662,3116.1194382927515,3131.8354186177635,3150.5538222871646,3174.030931587322,3200.3116305800904,3230.3448630348307,3260.496588892323,3290.0074926997177,3316.5941146653236,3335.559898417459,3344.6334783574493,3344.1146187001777,3337.574725869475,3330.999322252583,3328.3518741832263,3329.352874979929,3333.7486439932586,3341.2027595342206,3352.752154569956,3366.095798490391,3373.2882625594902,3364.5675038121485,3336.4990941679766,3293.5283286114677,3242.1646675024754,3193.831573368213,3155.6710454011186,3133.181244504312,3121.488733165023,3110.243433972365,3094.7866506597425,3078.1213311802744,3070.0017019097236,3086.5344494497886,3139.282971643017,3225.5137637884877,3321.0681097231686,3386.640311200491,3398.434710800116,3382.1509517202244,3388.879904963971,3441.140942234392,3508.5160023258995,3537.3899643794302,3511.8301121849677,3466.3935790961978,3443.7146784843544,3452.961044564383
7kg_10bpm,2BC,3459.825204587124,3559.572528678234,3679.891930033541,3807.1372301110987,3925.489162240419,4028.692023858755,4110.202360708352,4169.084564966282,4206.853430784681,4221.685026801631,4211.504400522481,4175.463499025387,4113.049846843409,4026.8665017757207,3920.044844563436,3794.2365328300334,3654.6698637478357,3509.9551396513284,3370.0177894293824,3245.796012930454,3145.915185936896,3072.7420761592734,3023.5758265514332,2994.695400431849,2976.4130606960794,2962.07833435535,2943.5682177317462,2917.917852016024,2883.2781135421405,2840.3660240633185,2796.1624557595705,2756.6051693385566,2726.522018872989,2709.535292850976,2708.7932007641034,2721.2207950149436,2745.8344779532636,2775.880644363651,2804.4103801900496,2826.5768918072126,2840.5740122526395,2845.4615719604735,2841.786984252292,2831.9786304955614,2819.5703632552204,2809.16712474545,2804.026343837689,2805.406850792179,2812.3651111644945,2822.567987572979,2833.247735084529,2845.8308893360622,2864.6064312321446,2891.9441885321526,2928.911791330707,2973.6677402442197,3021.8226037604504,3066.3239310427293,3103.9521490641587,3134.719644194074,3162.842592397219,3191.0592833706446,3221.303084978216,3250.970962455971,3282.0431774653725,3315.7671781195745,3350.613439929152,3386.7720879357403,3421.4661086517403,3450.538455076056,3474.8727709452573,3494.0845941816133,3506.619184401249,3510.358277199549,3506.1269492560587,3499.3746281072386,3494.877182261732,3496.4334662911897,3500.124866589224,3498.818971880001,3487.047495470246,3465.6953276688764,3444.9333680667796,3435.94407186831,3445.880305741626,3470.1185354557183,3489.3884216870674,3480.5157377479336,3436.4160716973006,3377.5456550164186,3348.0635944174614,3373.2135908506566,3440.0812036658763,3506.746640257459,3549.559608126038,3576.041257679479,3615.3771047144023,3689.9987246935934,3788.6269041844353,3881.709269362922,3945.6495395936986
7kg_10bpm,3BC,3889.4511203629127,3937.9357256763583,3986.6025658758103,4022.0953119318456,4041.59287598513,4049.2338487052,4053.8907253462653,4061.0456700709738,4070.0676407109527,4072.6171771483987,4056.1321817923376,4009.156194552785,3926.0343782976834,3815.5809663510227,3691.0436541353874,3565.722035570745,3450.038873938608,3350.250275292011,3267.3679389449026,3197.2980578661563,3136.4843749201227,3085.1751394963076,3043.4190811454564,3012.0264225946776,2984.8900593321796,2956.018560675457,2921.5103803727357,2877.5592815511554,2824.8243307315897,2772.335137329722,2727.7921940742513,2697.6318428174027,2685.8424111143204,2685.575560274427,2698.509541550476,2715.16490282207,2730.1235830804267,2738.3589630714177,2739.8491408024724,2735.6955863634653,2727.955530390284,2716.1254949631016,2705.7530430139495,2696.150551501481,2689.624972832054,2691.4720143660707,2705.193466896772,2728.2987258854837,2759.518129516901,2795.3717260656663,2835.6610009618826,2882.730663543849,2937.450526309615,2996.5283410019993,3055.159678930742,3109.5945563489263,3158.5212271151277,3202.914810466867,3241.597151185199,3275.0962809338844,3301.331500372694,3321.8308395302656,3335.987654486813,3345.706915991183,3352.223759394722,3353.844045594106,3352.9848251214516,3352.2314917806566,3354.2985726151824,3359.950096157103,3369.0981446728747,3380.5964544261406,3394.5615398817154,3408.101005987264,3417.0302747355026,3417.15040761416,3408.6540022490376,3395.619133006246,3383.7241542363786,3382.59364632502,3392.770631326239,3412.9994028846263,3430.066078902451,3427.846226372648,3405.3804498879813,3380.0478632877994,3375.605232567137,3408.22049639542,3464.6464756740115,3516.942384525687,3547.9621072635778,3565.8829143607963,3592.097547299335,3642.0952607605604,3717.100925915762,3804.8018824943465,3900.0131633294104,3993.5027687569705,4076.232827187898,4131.838885559271,4142.745120884994
7kg_10bpm,4BC,3627.6450433516957,3670.4313572296355,3727.5630100755498,3793.397891124157,3863.01687924575,3931.223065345794,3994.973022797733,4050.3835898148395,4091.1041344196583,4109.478928402194,4098.028131620987,4053.6150075110104,3978.6415032573805,3876.7586843954114,3755.9712968105273,3622.1152373319815,3484.4354851989906,3350.2135681356767,3228.9785265474284,3126.5459413723956,3046.0024742619794,2991.907914998162,2959.2445396725693,2941.0281165758456,2929.3950796864783,2918.9434701264227,2905.8456892957315,2884.2423156805635,2852.8013789030324,2812.8762656296853,2775.491157559736,2750.7722087823363,2744.6161704612505,2760.1528110372396,2789.3902372943635,2824.2481888485872,2855.399297298283,2875.9706082379544,2884.1648051594807,2882.1592523988625,2873.643613661171,2861.8537977647443,2849.071206409329,2830.013668883951,2799.4667602055533,2753.594954207231,2694.699711925612,2630.1130774573553,2570.6915950928014,2527.7743606830336,2513.0892155484808,2532.324759161281,2580.4258620977325,2657.9944123912487,2748.504423341304,2843.466049976902,2934.887082100311,3020.1425628092716,3102.2786468978193,3181.1646590912615,3260.6713315080488,3341.182152182908,3419.9569668847807,3491.754363233687,3551.868633357099,3600.6909179504573,3635.2696643622517,3651.692015862205,3650.695406742866,3635.678387051346,3618.7043630354533,3606.9448944758137,3604.3421868292403,3610.3291709019836,3622.846819809851,3638.2619673605054,3651.0424957357513,3655.5761739596087,3642.729480789715,3611.4887791712913,3565.823300223297,3516.646387463085,3479.7134312160533,3466.0222867969487,3473.900146894891,3488.440018735801,3490.434680151529,3471.4218950033355,3443.05700981748,3434.5341122503132,3471.146675592407,3550.7918019950403,3652.2610693777588,3762.5645668779575,3882.286958269447,4016.146173372944,4147.3572053018,4256.318891821048,4328.845900101231,4363.713415636754,4362.304623937816
7kg_10bpm,5BC,3692.9615097404626,3714.472409320074,3740.4031196528376,3764.9950790804824,3788.112096051676,3813.4345602454764,3843.3196337358168,3883.154648035474,3926.60009350985,3965.6472079555338,3988.3528084927725,3986.2977079690786,3953.183184486755,3886.1191045576384,3788.9312356241694,3673.8415250496223,3555.5163261985253,3448.007212303238,3355.888480568371,3279.4422939206047,3214.737973484427,3156.4659237752526,3100.207084385352,3044.1464735563136,2990.274329935974,2943.2332826890915,2913.6320436977862,2903.1513413180965,2904.950614851027,2906.78964494851,2901.792284655429,2888.425995530014,2873.324945673718,2860.7820860068427,2857.109506915955,2863.4528996776085,2875.187468792154,2883.63456595966,2885.3974072357164,2878.814585824613,2863.471564381781,2841.2875397828034,2815.6858344240395,2790.3036860295224,2772.037894169473,2761.372951489804,2758.0806278174528,2760.179146631697,2768.422769025846,2782.5969615169506,2802.0561217198456,2826.3937225865125,2855.5366108185117,2890.2029905921654,2930.256910371164,2973.7136601336765,3017.261647778496,3056.843151612758,3088.4623033066155,3111.329338285161,3128.574500358122,3141.971253585665,3151.259574619306,3159.1404827882866,3172.1848232930874,3194.175609610956,3224.3076122287894,3254.384304176954,3279.190891492849,3296.4153217289195,3306.582717984072,3304.192606946022,3288.36612132065,3259.3272120650263,3226.9767258358256,3204.0241563412674,3201.489984404829,3226.2466261041413,3274.315128513975,3335.1062391355645,3393.658161475146,3441.4610024040157,3478.0621464254345,3508.0414948926077,3541.1419383907305,3585.935531468622,3638.9030310835187,3688.453572672652,3719.888753566948,3732.3849346887832,3741.8452409798224,3775.0408011468453,3852.7355814765992,3981.6004578620013,4155.07356600594,4339.179120374462,4449.244312473689,4448.570700758262,4340.269081438062,4158.000130574938,3961.533443336625
7kg_10bpm,6BC,3721.197366888022,3814.5656281509127,3931.3111055244867,4025.661517279083,4069.83919413497,4065.0483393391387,4038.2558000192225,4016.1552132427437,4008.480301190712,4005.336206193228,3988.3361404719467,3942.976191923381,3867.6697469803967,3770.307614963107,3668.2364200770853,3574.7758066028614,3497.847557484818,3432.378069250739,3366.909687372828,3288.7788835758793,3200.949410432083,3111.034112999254,3035.9925278860283,2984.516286207657,2955.930007456287,2943.0340122643806,2932.8366142707837,2919.102305569137,2895.155400625316,2859.119372361801,2818.5998084107764,2781.3331754854207,2758.4503086451864,2749.0518790878796,2755.3918850331793,2773.029234072354,2795.9599288296045,2815.9689366042962,2825.359938259382,2818.269981468491,2792.475765354787,2751.365711052839,2702.591211496722,2657.75019828254,2628.2863965223196,2618.5307494179165,2624.0464725511656,2637.611056087803,2656.2093390047335,2682.1716939806906,2718.6216712008722,2765.6438565673366,2821.4472890318716,2882.8127419471443,2943.5998075050165,2998.0275941285518,3045.460101498361,3088.3205424545554,3129.061345201011,3173.328959981827,3224.4543659260394,3289.418595613614,3364.984538584854,3450.382261433899,3532.241241326257,3600.4656663338155,3647.6391423741043,3678.2946197469064,3696.186535571776,3708.040019790219,3719.387117033862,3728.1559192984587,3733.3381972402176,3732.866858178326,3723.4075522172193,3703.8590189224565,3678.945384199936,3654.7722722994135,3631.4145738491166,3607.257300535698,3581.2523693488383,3560.364166226418,3550.0063475774878,3554.9797890456366,3571.4894438745887,3586.7656674496634,3580.903860984069,3551.113188640032,3517.5307424810226,3515.5768067678973,3560.7791329329793,3632.98474791527,3702.7970324623375,3759.5958557994213,3807.9744675528673,3857.204607646102,3910.4753251607203,3962.440852896218,4005.1072554684442,4032.013179704951,4032.7594933519035
7kg_10bpm,7BC,3681.417872777027,3750.5223589192656,3825.140948595604,3889.9917260552525,3928.5761853938766,3939.5206229537494,3937.0570512315085,3936.22725539987,3939.5325549136296,3932.938431119386,3901.3556366986722,3837.0261264840146,3746.7571988085697,3645.210591286743,3548.272639982162,3463.678232638979,3388.907151054075,3314.1786097004497,3229.491849322103,3139.2179062627906,3051.827133075845,2971.72161530229,2902.751171391946,2844.188292583522,2793.3353923822765,2743.671518428592,2700.702267730588,2669.368777930222,2659.289318168292,2679.2553817270004,2731.203607774501,2804.199324447046,2878.4116628368033,2935.989305888438,2969.33105098031,2981.8204135376673,2981.636425524828,2976.584270852563,2972.435075056719,2971.846395025287,2974.8255407288884,2981.7370100245703,2995.6664683632866,3016.7377255087295,3039.200502692483,3053.402155726137,3052.9903230762975,3041.318731615738,3029.597788270256,3029.149155971171,3044.1955371056174,3070.164951620031,3098.2988790307504,3117.053463803364,3122.1400759243124,3115.6990851757964,3107.584115197318,3108.653662097646,3124.8671735678085,3157.5023367788067,3206.646321752157,3268.1021141802817,3336.230087702074,3398.6882095741403,3445.0459916558734,3471.02448211281,3475.8735178936577,3466.4844679826083,3455.696701417973,3451.912411366177,3456.1040032239507,3462.8113949935905,3468.783776745353,3473.872433310472,3479.8991407379244,3489.4323852116668,3500.4851678664627,3505.1247827097827,3496.279162070666,3469.66250450145,3427.712591673948,3379.7763230511077,3341.502721766073,3330.5241477854033,3356.525181696596,3410.7038254643485,3469.78876075822,3510.422965794124,3532.1875960744746,3550.702215931498,3584.240108060126,3632.9376050011306,3682.7225810531754,3723.737334915284,3756.885228705389,3791.7848990590783,3841.250431098202,3906.6447389215646,3972.5667899232917,4010.452103527766,3998.519703099573
7kg_10bpm,8BC,3625.977531501665,3723.416047353459,3836.6458604438453,3949.886221557166,4038.6153358355214,4090.528612722971,4112.137218006237,4116.35740760928,4105.951729091907,4072.347013902608,4007.744495011555,3906.673115493967,3777.358792739389,3632.890192073428,3493.7124110604177,3373.7743332821315,3271.5840033091577,3179.7924273434473,3097.8163088362285,3033.9952237212956,2994.032318771462,2975.3081079304566,2960.6483579548726,2932.459373598199,2882.14381763928,2813.155045365196,2738.9462602512485,2678.4092869460983,2648.7546050047154,2660.1877441776396,2706.712641869175,2769.4498975536953,2828.36826164778,2861.7675944438224,2864.543358727673,2844.512379767671,2820.1556278865582,2809.936554796404,2823.463336138867,2856.2288417687237,2895.944925613992,2931.709682501485,2957.3574480125485,2973.9112146491675,2984.079117887389,2987.814528227636,2984.601279035031,2975.7509610057277,2962.34839561694,2946.544184297705,2932.5924612387903,2927.4342992220713,2937.4156808696557,2959.243781818748,2982.0074364449197,2999.517507404023,3011.526570427136,3027.0109894597176,3051.003469570261,3086.7189679648322,3131.049542614282,3183.2828120904137,3233.4782693918596,3274.4271866730614,3306.5410931347565,3338.301299124359,3377.103099193466,3427.822978135004,3489.0494393568,3553.890264977319,3606.527177087607,3633.62455657992,3628.460585091408,3592.0364529894373,3538.033961555486,3484.4848263248323,3440.6412350526116,3406.4479505860695,3376.092744940838,3343.9288592431317,3311.1603208917145,3281.075507012221,3263.3853480991097,3266.010559439995,3288.1070927231754,3315.6475498426967,3330.759150703132,3329.286682096968,3329.594150308222,3359.983204528787,3428.549794052141,3506.671723539675,3553.1980551645847,3555.3858638208126,3543.867756145995,3559.2331371558503,3611.8725240721064,3685.3464346963756,3753.7854112419886,3800.7392225846174,3818.479048381868
7kg_10bpm,9BC,3453.2806148584687,3538.978737175811,3642.615201421957,3747.3088351355955,3833.0351816909993,3885.5850058554497,3902.9265921882607,3889.007169213877,3857.0854448754885,3808.2504430433246,3740.6243751761585,3650.9621085465083,3551.3592934580256,3456.8712758232205,3382.051816292324,3326.465676689283,3276.856953607323,3219.2139871947966,3152.473989360626,3088.448608976771,3039.2257741664566,3016.276448580901,3013.605936737703,3015.606005037168,3007.528804253666,2986.260793156239,2959.3034321588425,2934.7757945587496,2913.0943026065515,2892.437012150545,2877.733296853517,2880.0322127880095,2906.596389536168,2952.3498626624432,3002.910127868376,3043.9149653569393,3067.7119191794386,3073.983140471948,3066.8263746343196,3055.7264745704397,3043.205284806743,3027.3060992310257,3006.3364645891716,2983.7174093813264,2966.5697823502433,2961.4093919675424,2968.026517948709,2978.7939050169957,2983.8688965613323,2978.0771136962226,2966.9497876247688,2963.6810271506874,2981.778038660597,3023.487058001012,3077.6429538984194,3126.602865843294,3157.0693520762306,3171.650869254632,3179.2800117395345,3190.125663501051,3206.9629803523612,3225.860868602778,3249.0713722547935,3277.200579277198,3306.982017616513,3336.320125883075,3363.036397720468,3385.38621608272,3404.2248318600364,3418.448399350166,3427.116026563138,3431.495632903526,3429.9642184111794,3427.0077754534136,3423.7800417200865,3427.739848219336,3438.4249471751996,3450.3985078160536,3452.4180271624377,3438.0509815695355,3410.000692585842,3376.475462419153,3352.439282639368,3350.8617727303927,3377.332663485082,3419.2432215810595,3454.1452619962292,3466.964327164235,3462.869072946531,3463.109452160221,3472.6318062896066,3474.137476350266,3446.0299088364327,3390.2252243687135,3338.1838555764807,3330.627225412366,3390.4146534097135,3504.091776830505,3624.7000264771914,3702.8454906485276,3705.843006156576
7kg_10bpm,10BC,3462.422030511744,3586.015250464975,3723.923631643765,3855.737614782276,3955.0235142175397,4009.7158812494367,4028.7155462574187,4019.748278738252,3984.8461277885417,3920.2031014231816,3829.156074105756,3722.20216469863,3615.9630657524863,3517.8572100596352,3431.18593669159,3356.225808890722,3286.6670569570933,3215.678188393093,3138.2947747541084,3053.909902823326,2968.629673136153,2892.923231944425,2837.7218303704312,2809.202315820136,2803.0430650531844,2811.043468173101,2824.9891070698814,2841.51121373961,2860.8327696148226,2881.8079545143937,2900.183848894625,2914.550023989228,2925.0537162154833,2931.5416321308708,2932.8664222655675,2929.246876178169,2923.7817275777593,2920.294355774216,2920.5124075478557,2922.218932800164,2921.68445961708,2917.152174325537,2907.6040880181017,2894.1489702366553,2881.9256535422555,2874.2540168378496,2870.880276386029,2873.2605700061526,2879.4385650427157,2885.169270335578,2889.533541165539,2894.438582279214,2905.621513815144,2930.010522884426,2968.580134263743,3015.734853281392,3058.282422081989,3094.0990389691633,3126.5687720609662,3160.0604637069696,3198.7023702307224,3246.649582902148,3301.7980105711054,3352.602012535961,3388.7329805020267,3407.4423170546547,3411.0649843357614,3403.8783246741145,3395.382132384944,3391.747274271786,3393.6992473900264,3396.404890273848,3397.454219165452,3396.1412961653623,3401.721970437349,3416.759656498769,3438.938183885136,3457.5877417812244,3464.1861844508494,3453.7749151173284,3429.856859076871,3401.367416869243,3379.5230847688194,3371.3120580317272,3380.9962611256433,3403.7527949389214,3423.138871711904,3421.6279285207434,3397.9903082546625,3368.687686799029,3363.2813706404813,3400.5935527370866,3480.632657903737,3585.150250638856,3690.986599541375,3775.7396463872055,3832.848146811958,3856.7458095699317,3836.05012708645,3767.1501386963673,3671.8873021086843
