cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,3678.238863278656,3811.699347451242,4006.057290268554,4279.798132234218,4571.92215873655,4818.177693967069,5003.909919945601,5146.822678504871,5251.096612364718,5305.990861313625,5305.0164632805145,5254.64540553857,5173.892371728534,5092.514086870607,5037.17947603648,5003.237104338516,4972.1993414630215,4919.538037509663,4830.033511159296,4713.874094135428,4597.200661939083,4480.633092396202,4378.907267324397,4286.040719210784,4187.2319672408485,4057.7015671746767,3894.2783939430014,3698.8265735744835,3470.2869973679517,3220.2868741856432,2965.3913145902875,2722.8318146078213,2510.1787504592767,2334.135433243457,2188.4812180370445,2057.8509191809,1931.7833963293967,1808.3983161297226,1694.5544779218626,1587.2032107450284,1486.0259550596606,1395.1107010499315,1319.4177790267336,1259.2477576689153,1212.054167534795,1171.1192970350653,1131.3970525877103,1103.439183002933,1106.2648501593578,1152.7775248985727,1245.016605035214,1372.474216349067,1516.4380134471053,1661.1895789265386,1796.7576562462596,1928.6224818188166,2066.221640589254,2213.9016602997863,2368.7438814001007,2523.2550827862115,2673.3550524221305,2821.4847302205176,2968.7017210440895,3110.9950830130388,3241.319329294501,3351.8817057084134,3441.0901223375126,3520.127473507644,3607.0908866597506,3707.092031541997,3807.5390969354994,3888.903792721088,3937.138227909618,3954.915186189185,3954.8525082363512,3955.1004995684375,3973.129193536107,4017.258241332588,4073.9147230143244,4124.6633431374385,4163.175546291517,4189.0230660004845,4200.933552105974,4180.317089603852,4114.62630798365,4008.4144580780553,3904.4939658197054,3840.4747742651625,3823.9301575757104,3819.071168449375,3782.3840923096495,3704.049793307011,3616.9992918105086,3564.4847037462423,3558.6028019736445,3578.5466500071457,3598.180331677881,3601.419450403671,3565.4914399158133,3467.2794779672977,3304.819014011072
7kg_10bpm,3CA,3913.786331136189,4053.1759506933313,4289.977558419274,4567.215986782626,4817.133235308559,5013.824738367847,5149.986721329969,5227.315017609341,5251.718764470831,5231.3779088348165,5169.3105474175745,5079.903565888458,4983.826891474892,4893.339311918619,4820.433525002414,4771.703455367753,4747.198827561187,4734.70704305307,4719.1499149353285,4690.184090596267,4642.164931132711,4571.017420705779,4475.025251391608,4349.544554433389,4188.783710445756,4006.4928236791975,3811.9618967223523,3614.678079649023,3421.3557724018715,3240.813890239545,3074.658911618534,2920.0691751659438,2771.087785523322,2622.524951003512,2472.342758344533,2323.1092192845017,2176.930446402588,2038.1105497313595,1911.2023445409272,1799.724536954754,1706.792576181576,1629.4626978192755,1565.2516252109904,1510.6507556222864,1459.8762360509131,1408.4717588651538,1358.4953284225733,1315.2120910487229,1281.8081630369381,1259.2430167577675,1245.4734566193451,1239.6831795758274,1244.2233076730038,1262.942038030252,1298.9168295943623,1354.2875951847034,1431.0277862051414,1529.3065454670025,1645.1348006110784,1773.3263948875892,1906.6974308525428,2045.7504574558975,2190.604134143276,2338.2747583582513,2482.5039357963146,2617.9178329015886,2744.9234477532314,2868.52764226367,2994.514629501625,3120.887116240549,3240.7246847589677,3348.498813469563,3444.0465702727233,3532.787617315561,3618.873274684212,3709.3494957575463,3802.1351991866786,3888.0298168936065,3952.2536320184136,3985.696194225957,3989.2888965038333,3980.1594462207995,3971.245815608402,3970.725946854812,3973.2636173380465,3960.8561663005935,3925.366906266696,3877.044521322028,3837.496840730544,3822.5874787743487,3824.006829139135,3813.2429130390556,3766.2805809478064,3686.9268350632956,3600.1585093948333,3532.398780215713,3489.5215161391284,3455.421881096977,3409.880857001418,3343.454852423337,3253.5148098673635
7kg_10bpm,5CA,3739.1266228224367,3838.976408900966,3978.5259036183643,4178.471110587855,4426.8032871589585,4653.0413516264425,4830.829892612764,4961.670208982374,5045.208670581574,5099.758587056535,5119.685580476888,5093.373712088151,5018.4759642726185,4906.339361394282,4774.354526550878,4654.110605138415,4560.168875141215,4486.49478482544,4409.817095308549,4311.371092079347,4174.365475458407,3987.025859673433,3765.4870120845135,3526.3654752594366,3297.339547745736,3111.964089996235,2995.2002939817503,2941.816202215328,2912.7053411124266,2869.1711509062225,2789.5557909895565,2661.9035053090984,2490.794847500657,2296.5236708847788,2109.155561144797,1957.4035812210218,1852.9549340698352,1788.0358365629095,1744.3534125708807,1706.390872283235,1665.9802756329852,1620.0816331607311,1568.4411823525613,1514.0333479792484,1470.0676533944545,1449.2634624270117,1456.7477955770746,1489.2148907541282,1539.4000857455183,1600.8730044943477,1671.7892967932,1753.5192470733984,1845.2139659107222,1942.7619292155316,2043.6344493452048,2150.0308316942924,2263.4527645458684,2388.923556425334,2519.6246387679444,2643.7541783601287,2753.147951289071,2845.9603044364635,2925.8463697458455,2998.0977351168344,3069.115922578898,3149.9023176865885,3248.2308753879142,3366.026165421035,3493.6001293441645,3610.980709142297,3697.5134577491644,3737.7821626734963,3729.609714793669,3689.5277257085218,3643.261835424107,3608.2265991766562,3597.0593416222146,3616.0935787808066,3660.4247246736954,3709.666012186008,3735.633700923014,3730.600152629495,3714.40554958604,3697.28758005022,3668.538709044762,3617.873864014505,3554.3371010305445,3499.4900168419163,3464.4507272903807,3453.8115629676136,3463.825741173697,3489.927801200568,3514.5140285125176,3511.8920647474447,3483.6339333898864,3460.9854096933022,3466.770097107913,3483.894945808113,3471.655406659606,3397.078917657209,3245.8082966532256
7kg_10bpm,6CA,3815.9816753084588,3919.793184076901,4093.800893969102,4319.648490398679,4533.056920214437,4701.648892804166,4820.436931944384,4894.476360648807,4935.639216960365,4953.312698182281,4946.551320282936,4919.52486011258,4881.610797707944,4845.300583386265,4815.457974747126,4788.910356620494,4753.170850303043,4697.963058749161,4619.622184609318,4523.501083241187,4417.793143161436,4298.798463131075,4166.234091631358,4025.327901797605,3866.204198775989,3698.992209655703,3529.3569856709883,3377.163121552048,3248.4367006682855,3138.9432844682246,3037.0249122760547,2928.7397866972215,2801.4213877869993,2647.417216365016,2466.0873155039844,2266.871274735603,2064.6033171630675,1872.779960984642,1711.135368608461,1590.5015695349082,1517.6102367346039,1487.380105283947,1479.489791509162,1465.9775472807892,1432.6372166467465,1383.1628748687956,1328.0270914074777,1280.53051986178,1251.1918046096525,1245.7152486532843,1266.1125868269141,1311.9505025919905,1381.719646467953,1472.3556208598275,1579.6438657806277,1698.5214119374864,1825.6184130586603,1960.5112193308828,2099.2949789165796,2243.5025950447202,2393.664166973771,2545.792210486847,2690.867434361594,2818.005866492313,2920.8970753168137,3003.2052039328873,3075.861483657894,3153.274581943709,3244.027780066273,3344.244820771782,3441.3910842955092,3526.8077016139155,3602.0186328543487,3668.5208869943303,3720.2305968675923,3749.5295394132763,3758.2373423044432,3757.817547436959,3756.9389290049944,3749.869036864891,3720.5767627348464,3660.7545888187738,3582.854872764172,3512.1988408568072,3469.3479577012317,3459.448411268929,3475.205121733939,3506.481218020968,3542.0798307994696,3565.080401081754,3557.4784101934524,3515.2256497752355,3457.759041714222,3416.887243253474,3405.4244642503286,3408.125942771653,3401.411364359269,3371.342271981832,3313.2714215004653,3224.0212674136774,3104.3880250878765
7kg_10bpm,7CA,3757.5090267099567,3827.534514782849,3934.199745565155,4068.233590789938,4235.868409504507,4411.538328437644,4552.675515635872,4672.549263383116,4782.794313810702,4868.309499703599,4915.7588995207025,4915.9156845822945,4864.388196084116,4778.494266701265,4679.693948345778,4567.349651693552,4432.8606708708785,4271.06790617357,4097.33947585402,3940.2457551227903,3822.826568629703,3742.517539805985,3702.8341956039585,3683.6099344584773,3665.537884290349,3639.173862734661,3609.6607433209956,3584.710353689925,3558.720447589339,3523.354130506208,3458.7095167227553,3343.1223518698926,3169.7585639194617,2947.239635914077,2705.4571536350604,2477.227829414432,2276.918239641732,2100.1861868427327,1945.508120237816,1816.3227341174966,1703.6910353537191,1601.563208029158,1500.241773922397,1389.687094799589,1270.0876684348875,1158.6484607076297,1080.2647489954072,1051.844755812965,1080.7839466260466,1157.208905787386,1259.6495407905836,1355.0029119812477,1440.1170315924937,1527.9098911018846,1624.1363480382797,1731.4109241894294,1849.072896300166,1978.6659804841852,2124.127988840907,2286.6995325577436,2463.774247640552,2647.3215173554213,2825.1657291781917,2984.9430100758386,3113.9042265437924,3204.5264438328063,3266.1986453003356,3315.2010706879,3365.93787432282,3426.829669407042,3497.3783396832523,3568.609346810054,3631.493253842698,3685.140029559073,3726.6904008315664,3741.6048620206366,3725.0398829317483,3698.80291993461,3689.483839194754,3704.2836211610966,3721.914060357401,3710.218567802432,3663.40857266818,3606.6811343742506,3564.683341955862,3531.1918440169957,3487.4430990016817,3430.140913411375,3378.6275224113674,3354.0956704302976,3357.3334189521784,3369.268451380697,3361.7795604897065,3313.059177263689,3228.0285638664473,3156.090019691652,3153.578596247214,3212.9795624335025,3254.5492845769477,3202.0158021444377,3051.3275728917633
7kg_10bpm,8CA,3329.7192807092874,3302.3399667749036,3241.728525794016,3205.3714095116675,3268.257711541718,3465.6134182777737,3757.288194609283,4077.3552508918606,4434.28256750032,4703.439391408464,4851.451135468238,4872.222625856879,4789.553045228527,4659.134891994868,4542.874056075487,4474.521009343149,4456.712370338939,4471.399369443548,4486.984713646244,4469.466824859326,4415.820369557708,4344.733040689539,4260.0646977784545,4147.234504586386,3995.3181451578885,3807.53938357525,3585.5326395489647,3378.6032631846547,3222.894264716813,3126.3984689879367,3071.76861917643,3038.217951126741,2990.5231100011442,2886.5427029119423,2708.6319581458397,2473.78206028333,2223.2424363865184,1996.731158574347,1815.3580274378578,1673.4808633436978,1549.069755954967,1433.2186987141688,1331.7143694219963,1267.122518207849,1267.8048982824935,1343.5714909019391,1460.463480286807,1583.23466292257,1681.2822286848736,1731.9238249810644,1755.6672117416142,1804.9668215008526,1900.0834683740434,2022.369646340069,2142.768599409859,2237.933293122341,2312.516601513612,2393.0745529837714,2507.0735369556833,2665.3781814429244,2851.5564474475664,3036.259197568531,3196.8634513589877,3318.001178973622,3386.301351666623,3409.2749565456047,3415.7905358542084,3438.160098570555,3489.389727922053,3547.1138587894297,3586.848469479006,3611.4871871376313,3631.8947659652185,3652.8086548214374,3680.4289330015918,3717.325017651525,3743.1147084934782,3720.537588355039,3640.314997467424,3541.443087306072,3476.301153558205,3448.2835215032155,3440.7561761479265,3445.204522386679,3451.625816538885,3443.353962853347,3419.6108851875765,3388.4720698587744,3348.903001849274,3305.4994463293087,3269.4127951080927,3245.5036236025917,3231.259128184669,3221.811488751164,3202.3064999296907,3162.9934338110734,3132.3727258289105,3145.3778696014583,3172.6726726136744,3145.818977628763,3042.0047771617083
7kg_10bpm,9CA,3254.0012638484072,3431.5688863519877,3650.88509823592,3891.910906801134,4147.047810402773,4313.637285995236,4384.942470631043,4423.815761912301,4515.183449140526,4597.696501274049,4643.4672846045705,4657.113794422762,4660.086729835166,4663.947340425624,4660.947944602528,4660.401529712859,4657.666057973413,4618.939346299568,4514.313064627989,4350.72802881092,4161.050910464108,3979.209080914628,3804.533654472318,3630.9845987741705,3449.501810439383,3249.38310424714,3034.7242023541316,2833.8539807735556,2648.398520757754,2466.2351585150595,2276.17808431893,2074.3500145100406,1890.606134165604,1761.7367698735625,1692.5424559611724,1646.3819833363882,1577.3120697421302,1464.2603459997777,1321.748366998952,1182.7143138396486,1086.957609421271,1075.3129006390327,1162.7380878744923,1320.2743930245808,1491.779384880325,1657.0187484099363,1818.291350994263,1962.4228208519742,2075.342603567008,2154.868544954801,2212.5807931904687,2271.266694273101,2343.169242101196,2430.591031914523,2526.2148976257167,2618.011231938894,2698.843716082445,2777.1533074827075,2868.4413839681006,2972.9651840150445,3080.3179648745113,3184.764777711276,3272.8466475421546,3334.86994140586,3381.1827798265385,3429.6578000490194,3496.3515863506846,3561.124812461323,3600.2632949643107,3613.814982369041,3602.8037702830734,3526.566327884581,3387.1727970560405,3242.435351199389,3149.6745824198774,3105.794399315221,3096.7082284611574,3108.7583333034177,3124.4906593090095,3138.282454431269,3160.5397524665736,3193.7032069799698,3227.059842237625,3246.534875392342,3243.644914975613,3226.1984717632,3206.335294247707,3182.048170103675,3153.89279053067,3135.8264852479588,3129.536769946764,3121.1218238180195,3107.782672414898,3113.431306093198,3159.6351091336846,3233.924140096282,3307.702545541344,3361.009473616905,3366.459548225126,3268.7069367357794,3057.328449626926
7kg_10bpm,10CA,3565.4457007748365,3667.4320484030604,3823.5838031048033,4020.7737444633603,4223.487953088929,4396.266659468738,4541.132933080863,4671.282018586403,4764.438749980949,4804.499652086698,4769.454203925221,4684.526546003537,4596.294040142983,4551.499196235468,4571.301537727599,4623.94872666158,4649.887922282702,4609.466379643972,4495.033596011902,4332.052816522516,4149.150153467002,3964.572217852823,3800.2424480818813,3666.6916820424717,3558.013245561879,3466.2081594436154,3378.379983194247,3280.34762942091,3152.237280793086,2976.6196419737466,2759.618875972497,2528.331191576404,2314.5619663222674,2143.080219190093,2011.9144831418016,1911.9686530615465,1834.2323776826215,1768.4756459050568,1708.0825510582101,1639.5758023821672,1550.9158755060264,1448.7819947470746,1357.577802964509,1305.1468822513236,1310.73485108415,1376.1456819672342,1485.787434945879,1607.4828383264792,1721.8841665426523,1822.777867190123,1910.4933083336832,1985.6727804155692,2053.689388016384,2127.0718804085536,2216.8321702167923,2316.7909433528034,2415.24385454015,2502.6234087145303,2580.739215081371,2662.3721151352925,2755.475653820895,2857.710566379936,2969.636788367757,3075.6835952667743,3152.4235677314928,3194.3460419745793,3213.1602987957867,3217.2999334849665,3221.838590533284,3246.8300572890503,3295.4562697583397,3351.20941446858,3395.004278323893,3420.832313392006,3443.4199497007685,3472.004709678804,3481.795783790999,3449.019976641023,3379.2846167326097,3308.3830521764503,3265.7343304063506,3251.085482504099,3250.7912290075783,3264.262820833877,3289.6915523733314,3314.5262627215598,3329.3233600326994,3336.9103788621483,3336.4357427185714,3317.4228966605674,3276.8140607618952,3230.3342514066203,3204.879621552308,3209.009680585726,3220.030810887936,3212.786090614192,3188.7982490644135,3162.841660819649,3131.3371386527174,3069.873343373812,2952.8684390617395
7kg_10bpm,11CA,3685.3953299049263,3834.744576080324,3993.3681472561643,4162.377537839671,4316.884156600118,4429.645344835607,4501.896446032407,4550.358926581076,4588.180273917093,4613.503470568458,4620.764411954019,4612.852929359393,4598.033034676361,4582.340902901339,4558.449943784951,4516.031909907241,4451.046773292788,4367.745152784619,4283.386883077773,4209.659189725171,4143.818446925503,4075.53958605397,3997.0229797185007,3901.1691508554895,3796.819713341345,3698.900503790336,3610.130573374562,3532.0858125721297,3459.614912177165,3385.9601117695715,3297.7322814397985,3183.226714641023,3041.080705493844,2876.9130014922157,2697.2649379058057,2513.9310356184174,2348.625614168471,2213.287169380779,2104.6520482578458,2016.2070347095473,1946.890492022117,1888.7965457794858,1828.9298369497242,1755.7665188005858,1667.7074701763138,1577.4453226940195,1515.534687828929,1509.7245533379803,1563.839102614971,1656.2967477783334,1760.7031361201343,1856.6539960004495,1933.8374105731243,1994.5265000746092,2046.282199229403,2096.9646703074563,2151.231172544536,2213.852373658801,2294.44523121541,2389.140359865213,2497.829954573636,2619.3260097536586,2750.526664106688,2881.4949021472776,2996.8014356575814,3085.217170191882,3146.0995440945876,3188.46259514466,3225.2923879074915,3261.1674880509927,3293.8729589218374,3325.325282590842,3369.8249058262973,3443.5922135816973,3537.7240675041403,3619.1156702811395,3655.0226385133496,3646.8056898216523,3621.8870613989075,3611.5241703514507,3618.6941383764156,3625.900306835138,3622.5144805692985,3611.486195419191,3594.3693153828644,3570.8901393555957,3544.0261724517413,3524.3397271708795,3515.4013313359956,3506.136987878038,3478.655708323724,3424.0290737245045,3356.816356438648,3303.7051514181935,3286.071180108934,3285.949153231507,3280.82479043251,3267.2422771292845,3258.1493252424507,3245.703870426708,3201.1820089783296
7kg_10bpm,12CA,3742.8192290991237,3844.217468022456,3989.6440610863765,4199.902374493263,4391.126078431,4522.96961417533,4607.523031928651,4666.781926980628,4734.851190231267,4822.706604764775,4912.148534631886,4968.735918920727,4981.232579060688,4965.375442556217,4942.231607370034,4914.44433319281,4876.391423634938,4822.472505022767,4757.497407346071,4681.336670898479,4589.3008137672305,4477.005973413325,4342.55269653322,4193.043390221267,4037.9671987872493,3889.4627814947216,3761.813916047136,3645.5233418319667,3525.759674964237,3403.4868189284825,3276.5149048051508,3126.8513362105055,2945.09659714486,2733.505607342777,2505.207580503793,2280.7414680740453,2074.5990283569877,1897.559049723787,1745.7820323260012,1597.269635961217,1435.4730770983485,1265.6097911833795,1110.3903536094372,976.9927102795933,873.2867576340036,799.7353771586921,753.9986199453616,720.7914853923389,689.9596315714468,676.6638967856935,702.3903003264799,772.0926772327775,878.661899108918,1005.4932597247314,1136.9737221942717,1275.9996933432503,1422.5338213110454,1572.5245968857728,1733.1568593208935,1922.8945508724228,2141.2280344208384,2364.5308656581237,2570.2878041564786,2746.3199814955215,2890.1478097995623,3012.938709315488,3118.4237591605192,3195.0083341969607,3236.945034892415,3251.2523769653258,3256.0098221421767,3265.7369808713865,3296.0277355541652,3341.713423683042,3398.077786807556,3462.438222331173,3528.285203459503,3590.3325224612445,3638.753126432011,3666.1409856847145,3669.2102326436802,3662.516303412794,3673.0959980129296,3704.5870123201153,3727.428837063475,3713.1266516956816,3668.250381183981,3628.0325530971763,3620.8092962836495,3631.6223362400297,3627.8677946366524,3588.4557937701275,3520.120540227447,3458.221439267032,3438.053105364559,3467.7250696736855,3512.413686378844,3528.0183429716485,3508.3459137701916,3455.160134335419,3363.814414329175
