cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,3340.62549052,3496.7287756401356,3700.9289258031718,3946.129506715407,4202.969937085572,4445.371675436148,4655.3690245742355,4844.241408387792,5014.328608488629,5138.279853455665,5184.29352538,5147.2431251406415,5041.185978665905,4886.766110650055,4703.326489570691,4499.32190878543,4298.883124671237,4109.401789729833,3937.5863585621423,3773.0831557545266,3588.41768854,3365.1088537968108,3101.0405958919096,2815.6756803708004,2539.9548886736293,2308.243187402864,2148.555785069585,2071.4717540737265,2068.137828734343,2115.9609376404846,2194.8766238,2297.247645210711,2413.395013443388,2528.414659243715,2632.2663365694457,2723.726463410485,2807.7579844155243,2887.7311275878906,2960.7534166069045,3020.247816775456,3065.50193391,3105.266246044781,3152.2499780526114,3216.2353978332103,3300.127839666631,3404.067750916717,3526.508595027085,3651.9443645397323,3762.359586587683,3849.5826936674493,3913.0984164700003,3959.351702778121,4009.3226595897,4071.5104821024447,4147.4047728749665,4228.6204786663,4301.630567054826,4359.020154994158,4401.568686585715,4443.431665087512,4491.783632980001,4547.647353769486,4603.143284484133,4653.401904372122,4704.256006683543,4763.635550576919,4830.129040630415,4879.00979064398,4917.715015680136,4951.844604098344,4971.50754376,4956.133769291955,4904.738698478768,4837.00909561101,4764.292328757102,4682.7623139290135,4589.123465484822,4491.944260335241,4405.961265990297,4345.1505284319555,4317.00698722,4320.141147844418,4345.421171455273,4369.294610228435,4354.078776229617,4282.747830959824,4193.269464341396,4153.381351672512,4187.206555003219,4223.29176632653,4158.25189726,3980.981642822909,3798.0421719940655,3681.4757525836294,3616.7300064527476,3556.8714990157578,3480.316580456268,3402.636003855828,3335.787745042213,3274.5936760477794,3221.03435399
15kg_10bpm,10BC,3364.24624263,3416.87577911843,3489.4544425897407,3575.4967998090383,3668.499547483494,3763.0778243878544,3860.7698859802194,3960.650423139615,4057.2272737955714,4138.119803850394,4191.907179323939,4212.176996645382,4195.867373205713,4146.578272525841,4071.7683458229317,3986.147954810047,3907.1378014783486,3844.370520205271,3798.739132942299,3769.3767902968234,3750.5165702000004,3729.350953515345,3698.152384932126,3659.0141512384066,3619.4903395608617,3588.563861805114,3575.356592648595,3578.6994001668836,3584.7611873538353,3584.378072585863,3570.385408482123,3545.0036027775923,3517.299284622141,3496.527846146169,3486.4753604758675,3485.0449114608605,3490.9994894558245,3507.3785482995454,3534.144997199352,3573.5401272260365,3621.20944958,3671.510894050681,3721.5669888172793,3764.810286058838,3797.8518855509433,3816.821567463192,3825.1487362321604,3823.0169830022674,3812.4185038143687,3794.906892583268,3772.6413776959134,3749.0116096786523,3729.2196348875914,3717.776594623335,3714.8329298986014,3715.101618795178,3711.737689381701,3700.750218011392,3683.1838469469108,3661.719656599278,3640.42430724,3624.271241834192,3615.8100051466513,3611.970746738646,3605.055330121328,3588.340816919809,3560.3449352843013,3526.842111632536,3498.017146580837,3480.094790746473,3476.071705110066,3480.4614650097506,3486.952679697414,3492.999404636095,3499.706732215777,3511.063261342588,3529.9695320505493,3556.439904234977,3586.483183168478,3615.656732237487,3640.38888186,3660.7758522087047,3676.3123230141887,3687.9904600676005,3700.416475545708,3722.782696379634,3762.935499414806,3814.6340508497474,3854.982888651597,3866.9783756828315,3847.30564737501,3810.664757654963,3772.4729451801127,3737.459203854382,3705.050928479832,3685.346478357309,3686.09372087514,3701.625986298107,3704.608064661752,3671.074864012992,3589.85224289
15kg_10bpm,10CA,3355.20692234,3349.009108386695,3364.96037303239,3436.7532170909153,3584.624776263255,3834.6839452011727,4147.340730431977,4447.78763729426,4697.200340620371,4895.730982079716,5086.06115843,5268.043950972198,5394.73878120418,5437.297727996104,5396.102767759774,5292.147766595203,5163.381392938722,5054.893331219303,4989.577764343075,4963.652444285497,4979.011366320001,5040.51451458949,5133.464808573009,5209.917168417391,5220.107852793461,5133.750367327864,4951.24980572712,4697.172315637084,4424.071629993702,4182.38990336413,3991.85580736,3849.671836079246,3738.19028781141,3633.0062599192,3503.2841970791346,3329.3310109806175,3116.1665763864276,2884.3661897898264,2658.308482204599,2466.465829977108,2336.8222588100007,2280.9490173661748,2275.048969615806,2272.7963669332803,2241.249660003397,2183.1169640399544,2129.7294861764826,2119.6439052405353,2174.9903093666344,2291.802516789969,2433.28128173,2569.563836538441,2698.4604531494033,2826.3389838067887,2954.7641170123397,3065.090337943346,3143.337442269774,3207.103659950663,3292.6801104119013,3411.2688429218692,3555.71461,3705.604528754751,3849.675146708657,3999.583456132689,4167.527957867818,4337.859970575592,4482.445908353279,4585.270895395626,4649.788791033825,4692.451138205419,4738.25737707,4782.534738662362,4803.744463417271,4791.373734071852,4765.8546702473595,4755.078891091752,4778.411361619271,4837.746123220069,4906.401158201454,4975.455646173219,5049.865825090002,5095.884980669585,5069.732595521046,4964.172239883475,4836.488569631047,4744.1323400743495,4685.076375042072,4605.676658220266,4491.015529300732,4378.414939449968,4309.32023637,4281.01617203655,4260.692587735225,4198.256275529716,4067.6273579610875,3904.9987984406794,3774.2494324027653,3668.76684573457,3499.2770320983373,3238.2380775843367,2960.6139392
15kg_10bpm,11AB,3431.74888561,3535.7040221944694,3649.1393113251156,3780.4778739249305,3950.4146458461387,4170.172317022366,4435.332076083916,4709.385545739516,4947.107695221337,5115.594992738467,5213.607942901139,5254.650670675916,5248.535232970313,5199.615964170171,5105.542173368521,4967.224797717548,4790.886168282608,4577.077808918606,4330.962020904556,4064.6077159954684,3798.711860154194,3547.8586254455427,3321.345421774486,3123.868086260524,2950.1024714415666,2786.6823888900003,2628.727064961043,2473.8831934179775,2324.509205143641,2188.803461216227,2086.580986603031,2035.4228233456336,2032.7324771805768,2073.750773354423,2143.4098511044754,2239.939077071677,2356.68865528877,2479.557042386978,2592.8793877246126,2692.1666261091796,2789.5611347557497,2902.2646352774495,3036.362011029339,3183.3865573921507,3330.3335650878657,3463.3289659582847,3585.5073023754694,3705.296278082864,3829.6883282930744,3956.8414387912735,4069.8774505400006,4154.469792233045,4200.9902049347365,4224.773857975124,4242.102120995047,4263.963484044348,4302.229159790987,4356.822996407012,4421.168507890355,4479.300333636119,4516.540710449416,4527.535063285414,4519.141214398542,4501.572871680693,4496.705911029646,4514.731362379502,4560.688816519215,4615.510831101612,4658.673247829239,4701.061767905645,4749.472569394055,4794.1132832829335,4817.689529775808,4808.467772540682,4774.914126311518,4745.94652405,4740.598376806817,4747.588242913375,4737.868351622015,4698.312802383079,4640.15387477032,4572.238860134315,4501.199106738073,4431.367120409531,4363.345201598385,4303.077713107298,4258.446432836179,4223.228647319131,4174.710609100678,4121.659145914269,4108.380543908976,4134.400691953592,4133.2446123033715,4055.40247028448,3925.328110391378,3790.223676862415,3696.7404557105497,3643.7118402822825,3594.9088098832576,3519.676342372061,3427.81767519
15kg_10bpm,11BC,3399.00403173,3480.022959486818,3563.9173452504433,3660.818765505328,3769.229280381293,3883.4479790463583,3989.8710132779497,4074.1978175456484,4125.805724101667,4136.310756144795,4108.021430148518,4053.3142721699282,3987.9107968164467,3925.639922726765,3872.3871971985077,3824.6153369005606,3776.190518883521,3724.252135325434,3675.7535259067895,3639.4161458533026,3619.685262177238,3616.413249627268,3626.4154317685,3646.0734702196014,3671.565914108777,3697.243920618134,3716.890194556403,3726.523102377329,3728.1762619356705,3724.995271527511,3719.6282521382122,3714.4599389400055,3712.524489488729,3709.865674719228,3705.934767024464,3696.953390792607,3681.203893261474,3658.9354706224117,3636.211798972905,3620.132484301971,3612.126188566715,3613.4553362460097,3622.7133684423875,3636.89048241775,3650.2954852039534,3657.6183012870238,3653.2776714913516,3637.171529474862,3614.1110063014703,3584.9300996154866,3556.263139173463,3533.493167505625,3527.798959567765,3549.781267046752,3603.609769895558,3684.618111025097,3777.7176062142353,3860.6827327803835,3917.284421634305,3941.36606833272,3937.6450234032727,3917.3728103176154,3891.6062749002094,3865.641344558963,3841.6659193735663,3819.321499469983,3798.684349654169,3782.5387237601744,3775.8218033774756,3782.037686924241,3800.010400510119,3823.1920124890053,3841.132756411441,3847.29043165079,3840.863327076794,3825.5829312549545,3809.0632038405543,3797.0400854068494,3790.452337814727,3786.9677441371027,3784.0538865911653,3777.1785445637015,3765.035804551797,3749.8441834432983,3740.646873369255,3747.3130680682784,3776.7817175659925,3820.636896148887,3853.9840599404315,3852.9562275184735,3814.1542618363255,3759.8298784126196,3723.9446888328125,3724.0920566041686,3753.476067581115,3789.74429472133,3811.144012617866,3804.9630003453594,3769.712248543314,3708.8001782706265,3628.25977136
15kg_10bpm,11CA,3097.88212432,3122.288778507429,3126.91736412076,3128.8342432942914,3163.2518724081165,3257.7593512573567,3408.285064485888,3591.410777280523,3825.4452762360106,4099.0193845279755,4350.1063484923925,4562.96807458119,4747.608522315657,4914.9210215697085,5066.320942121792,5183.637374288576,5242.203940736119,5230.584005672889,5158.744879177966,5057.800633966472,4972.692398499015,4934.953766906496,4951.379139921742,5000.079590840928,5046.084442367609,5067.123021992395,5063.964106619246,5048.301933136705,5030.2925028444315,5016.344215663217,4999.552228612985,4956.01716164727,4854.971588511989,4695.266041412398,4530.210417821457,4382.665972855856,4260.605988418961,4140.126358433551,4011.0147588002333,3869.8184616774192,3721.267608226201,3571.5342982682528,3437.911676808727,3323.9722542285076,3217.0620665996616,3095.518113653336,2947.221828626458,2787.414094681882,2640.349551139714,2520.863034885577,2430.90238702,2363.4220133757863,2310.0917169722043,2269.129053500453,2245.200226560578,2250.0172508230303,2297.6522739781763,2399.635677601562,2550.861022168198,2731.451382551762,2913.4584524873617,3075.0315588732205,3209.3907921228615,3305.7213449893457,3361.9098804245646,3413.8089883927405,3513.140467577055,3678.8525435256365,3890.367200172276,4101.331990962716,4277.09718677134,4417.878050843711,4531.036319594924,4613.074382103911,4652.475095173347,4658.040483478322,4658.853137844784,4684.1437705579565,4741.090969052501,4812.57869770001,4878.71991208179,4945.083375664838,5023.483880852983,5094.408055505381,5125.590349936823,5112.679783042455,5083.888068787619,5055.647004501615,5015.4179539386305,4948.734848326004,4855.944547851251,4730.423482389832,4562.816753151127,4387.539566294033,4259.789679045183,4184.084368497247,4083.8817971082076,3892.99968757121,3636.9797460389436,3385.057730108472,3168.13163258
15kg_10bpm,12AB,3230.87087782,3313.525500274683,3425.1104916741347,3594.4808963809874,3810.7487831648587,4044.0068955019533,4268.108869222216,4469.151669327854,4622.268348631519,4720.016535782824,4764.291864174622,4769.843587168445,4746.96054420135,4690.6523492472315,4575.7292296348805,4390.844147429279,4154.073673706667,3902.2926019163747,3661.1411152283495,3438.050190972543,3237.3973136300006,3067.667914740524,2941.219006725906,2848.1435119600096,2772.153255050095,2694.911695661479,2605.3411180605563,2501.72257816688,2406.287240882322,2342.705730168356,2314.888034107902,2315.3352024650094,2336.2357222839423,2383.696049813961,2460.5446920525346,2563.1405394407407,2682.667071819474,2809.517797033933,2932.321904593317,3038.6912692247997,3123.56837453,3193.181631019361,3265.766959644144,3357.1363068709934,3465.6660212864867,3571.631723332976,3647.3786999326967,3689.9868755851626,3716.2752187916917,3758.8390713654967,3839.0138487064714,3967.590148746942,4120.957637295677,4259.887856028442,4356.4344657501515,4415.812446177691,4454.618540013763,4492.301134604092,4522.076798291273,4540.591035372561,4549.187111680001,4552.05996036343,4556.57178992284,4577.8079831485,4630.632996532377,4696.833037207371,4739.011730229771,4758.859891966392,4773.419382265203,4785.220659976683,4777.364187469443,4736.803782428666,4661.353293106971,4557.266905968011,4446.510853998868,4353.149158606615,4295.383877894271,4282.7570432412585,4311.757527919488,4354.124110233724,4371.11220642,4352.165989136771,4318.465470192899,4287.08381424926,4252.3133748603395,4222.044237108166,4225.405701091015,4253.700962374923,4255.1919573724645,4167.433995979118,4000.5321173601137,3819.4908214242873,3672.549818415361,3558.1833356173947,3472.489417781647,3403.2859486959455,3324.0493711012414,3232.4326014268836,3154.7648151201083,3105.644526072818,3071.47559571
15kg_10bpm,12BC,2958.64753107,2864.9235002158503,2827.606080705816,2844.9988456829205,2901.7488855683023,2983.468158086119,3082.316641859453,3194.049810821822,3309.764308241363,3431.164962030324,3560.243729635807,3697.2704728814106,3836.686784045987,3962.103687378659,4054.8302314208563,4101.231325025549,4105.461047756743,4082.6733720544094,4044.21603717177,3995.3783370589354,3942.135765331811,3895.0936994263157,3854.7183108483514,3819.4291843534584,3783.790512864739,3745.3920910200004,3708.0958816705424,3676.54001681112,3653.8964747462596,3639.2383540237365,3628.7808525382256,3621.6642235723143,3620.7785944096795,3625.623500129831,3630.6673272871694,3628.4698680474276,3617.947044119408,3601.4186771970394,3580.542156827148,3568.185906333972,3567.626249822558,3577.580823630771,3591.2731670096314,3604.29332571266,3614.2675287170027,3619.330553393862,3622.4678989253885,3625.6002712687928,3629.4389749012494,3633.9834035976514,3641.7332069900003,3648.6198968223016,3653.4807921168467,3656.833877008441,3664.5741614722924,3680.4023652753613,3703.0327602502434,3725.2252044373245,3740.646812384712,3746.1453893842327,3746.1948246988713,3749.0665545733877,3761.0886301161763,3782.573685278009,3806.80501788543,3830.902872496983,3853.6830798104584,3874.0424971392117,3890.7878176565105,3901.6080728923557,3906.781115372264,3909.220288327067,3911.638020739832,3916.6975200929865,3923.1514416966465,3927.0426497100007,3922.7852871019363,3911.631480148299,3899.321192113155,3893.45619812478,3897.5387308142244,3906.624492997238,3913.7441920214897,3918.1179023434397,3926.812935035311,3950.082188876675,3995.3730492554323,4043.7294808357005,4042.117424164878,3956.0114392678543,3821.8140520347733,3727.89851865409,3722.868381376294,3772.3161642626046,3807.408810933923,3797.349669342255,3761.0365135309726,3719.639847578252,3664.62411531435,3571.8702983271896,3435.59942049
15kg_10bpm,13AB,3068.55312219,3134.1729818129293,3217.9977056553953,3331.743485560975,3482.902594707861,3672.418561584333,3891.6579708065033,4126.496160193345,4349.1915152693255,4553.344510730924,4724.303359040769,4854.20881869189,4943.0451850156005,4990.8768506815595,4990.880509237793,4930.779911162712,4812.2099440329985,4643.461872699751,4437.222205932436,4187.7040267656985,3897.687448688349,3607.012989350151,3359.767028112371,3167.74900620861,3011.785597775997,2888.3936107288714,2802.5699930587625,2757.7450588152396,2741.9020623422853,2734.792513113273,2718.0254994209736,2677.273414176991,2618.0205618681994,2556.5260367148003,2517.7279765355925,2520.97634339842,2561.335188201,2617.896908499836,2664.030020172751,2680.6992630510194,2667.3359400998884,2645.5712725481744,2646.3222773703483,2690.8944694555294,2784.994144627843,2918.9892191292784,3065.4910550061504,3211.754630644619,3363.2176060026823,3523.792268276727,3689.680851690152,3883.528419649235,4087.5512606477196,4270.819220619631,4400.041873468352,4480.543071492579,4520.09733634884,4535.7728234886135,4541.573281408201,4556.704893621268,4579.066354041387,4592.009271663904,4584.008736998239,4558.710134733254,4536.5273800942105,4525.3343073535025,4511.385277046672,4490.933897556549,4478.454871939938,4478.334665315392,4480.916573435324,4475.313134311625,4464.67931344922,4474.003035880208,4524.124259809604,4552.634965037042,4536.852824315345,4488.722354561746,4436.471440938825,4399.484063693522,4377.505289906575,4372.46387071676,4384.954514443198,4405.348023273663,4413.0889371269495,4401.588809689451,4373.015387671346,4317.6699875970735,4244.88861531242,4172.86106033807,4139.441411738808,4172.271061205996,4186.758126013296,4089.1949816815168,3905.802406327703,3726.442217162613,3624.1545485858037,3585.9188226008364,3545.018418410199,3466.79531314767,3381.24970526
15kg_10bpm,13BC,3120.67338606,3193.938894574577,3299.95326091839,3437.5488809794247,3601.542000425711,3781.601767024807,3956.0232298775627,4096.769229468556,4183.351437231333,4212.0731942565435,4195.7908752607655,4155.144538605426,4107.033299813265,4058.227275412358,4011.7489229284374,3970.389597441558,3941.5387322804463,3932.994629664271,3947.304129086443,3977.278495342693,4016.228805265676,4051.5305138028084,4069.9370636203003,4058.3820161270096,4012.8268596921807,3933.9866778246214,3836.1308385087063,3734.268115499744,3647.652757606855,3588.33380265257,3558.0712884202794,3552.5497355903,3562.639013015847,3579.0574499557397,3593.612745423484,3599.2422858218547,3590.2639377868163,3565.6298023870413,3523.8713956660745,3474.2099731835306,3419.311007700552,3366.146622702055,3319.7180872768045,3287.843351754055,3276.383960591375,3286.5715331272613,3312.2286960704396,3345.0776855856056,3376.597516148119,3401.6031273158787,3417.2020463436356,3423.3170228536223,3422.798103610535,3420.6827512399545,3424.6088149095176,3442.0420749780046,3475.5291239933813,3525.4645994524117,3584.266136109318,3641.3652920592795,3690.4897106622902,3730.108613114914,3759.937511816108,3778.9477863182174,3789.84885746307,3800.612787743502,3817.398823164903,3842.823798487196,3873.593291642437,3905.94020716762,3937.9558998478733,3967.644773543585,3992.1015657209387,4010.776588204228,4025.3120970224913,4037.5644389181875,4047.468267863126,4053.2824958970314,4053.7737675664634,4047.790352520949,4037.973242409657,4029.64343502673,4025.6515275243787,4027.0494201634747,4034.290833643967,4042.714597371217,4043.0661642772807,4030.604149658379,4012.4222026003754,3998.078509056956,3985.7656710619513,3958.7096720464,3902.9519447237635,3820.450546015464,3733.7988795820506,3670.908712210963,3636.663004214678,3608.132316765619,3557.8471402746513,3480.0536319288763,3391.29168616
