cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,3996.8784983,4149.75859587732,4377.59004160309,4593.387645929262,4817.390939413376,5029.196463362403,5190.659711459067,5305.255463912523,5325.367032036529,5329.282250143293,5340.92747634819,5338.908046087577,5333.67211513653,5189.918392232756,5016.72846165194,4828.255666482447,4629.63326762622,4443.91395688173,4285.654589995909,4153.6974673854975,4000.5649516279714,3858.469555174861,3746.9263039423136,3657.605805973559,3581.4968459147426,3480.538424057701,3295.2109221338237,2886.667897298719,2499.258262094329,2193.0832456443522,1880.4770697795784,1658.031397718876,1448.9154766968388,1264.3272952071502,1167.3172200737558,1163.8843464747813,1225.2219448968262,1309.1365583916058,1381.2845426071651,1434.0613817773308,1491.5318456358254,1564.019415977035,1656.3429227754164,1815.012308356912,2004.3356248508298,2278.231353537256,2597.7325097428943,2884.5979161234777,3055.6960227352074,3148.2117720225488,3250.08646224,3382.5378233532238,3543.5780447062375,3719.6981493806297,3871.196093871013,3997.8118028232348,4155.259511385472,4378.261401522067,4632.513205747725,4848.8444921686,4951.440744044087,5019.223589565269,5072.113557736289,5123.150404597036,5178.597533236977,5211.464607543819,5235.732280105152,5236.097000257843,5211.629516513197,5194.825913805286,5210.15034464257,5245.261882195375,5280.272793425453,5309.366605151704,5317.6431225451415,5308.753567461578,5297.850166566042,5297.208963064766,5301.064008307933,5306.023602439265,5303.072928158734,5280.229709126009,5234.789921483742,5178.594817009222,5145.548028830404,5150.860920940136,5190.719607943594,5248.886942898592,5301.939312666619,5312.123824985964,5285.0476750334665,5277.4706586648845,5327.728279837701,5382.153633870567,5384.91739969557,5344.457740523752,5297.258929682644,5269.748071270329,5233.404689846958,5136.767520552684,5164.6480541
7kg_10bpm,2AB,3429.30730558,3524.0096947420457,3647.356723571325,3782.0027559680548,3914.357529321213,4035.812293291788,4143.460444599936,4224.173087859756,4265.910549430702,4257.570307062297,4194.524346388521,4088.8017410088596,3953.5719951798524,3800.6191917303304,3640.1633657428033,3482.9249925507097,3333.041674782339,3195.692607312097,3061.5627820546065,2921.7830209915,2767.5589726666726,2599.485427470159,2422.5102250705295,2247.409164710287,2090.1519862918803,1963.025002364981,1868.9212653522195,1799.9104058094395,1740.6182450678664,1679.6525709095765,1612.0387545021354,1536.584379945657,1467.4354973019308,1417.4729794667055,1393.069931100699,1416.7746547838576,1491.9318499575534,1611.1823384182019,1759.9980562773762,1921.7560177503874,2084.9040836613653,2243.0943615017595,2394.3511740111894,2538.0949938606204,2676.13793574065,2810.385171853477,2935.275481493812,3042.7389670438774,3134.972717649728,3221.8661304362836,3311.4480717639044,3400.5045700341175,3479.7249131146264,3535.3105559703495,3569.5370415432167,3592.9244887534214,3613.1693328465426,3632.7398215359976,3651.685807647588,3671.805955100589,3689.4047445183387,3700.548805680349,3702.7077213506204,3695.573841312476,3684.627527605816,3680.6467253219735,3690.017417285027,3715.288253094264,3749.5485036920554,3781.0304536733934,3798.461735531613,3799.9708355274406,3792.8414396515313,3792.0112421434565,3803.3993551773187,3820.5157621916287,3831.0173309032293,3823.357750809202,3794.3836097769913,3743.9079582757763,3677.706064054735,3601.3717913183013,3520.7714534962515,3445.04075856254,3388.8323530131593,3366.2248779701313,3384.285176141168,3439.1883365284284,3514.7030676881686,3586.7815863007845,3636.504698590323,3669.3919922826485,3703.175473032178,3742.298766809933,3781.277829167721,3828.096336563786,3883.3730279654524,3935.870985838299,3964.878881266224,3951.258029075237,3885.21008773
7kg_10bpm,3AB,3712.66234796,3762.2336168321463,3819.6407385091725,3887.9637341443104,3965.0363272126842,4054.1835893627745,4151.392890391896,4247.160575383108,4323.480706052785,4360.407436002866,4341.119048691845,4262.470265681943,4133.619793899063,3974.746273111541,3808.371055507841,3639.227990475374,3468.9716648110752,3297.7609836189977,3126.796958323682,2949.521896053175,2755.3316275333336,2540.737347453738,2306.961934816368,2062.1016745285892,1823.0782732078512,1613.6745608646063,1454.4507359563438,1357.7061731885108,1313.714736189829,1300.94542213307,1300.9757956881779,1305.4625503373186,1312.3145523658825,1325.1404545500773,1345.0359043088067,1384.2919539624763,1453.6098712220303,1557.381650073376,1690.6505482397968,1841.6138496499639,1996.3833443867982,2138.9959631831903,2262.9883059261592,2372.0623501974487,2479.009075892895,2597.205250779552,2730.954472547083,2876.9248221564644,3026.6371840112583,3162.580060566213,3267.00878563,3337.12729059946,3388.2529327390184,3423.9650531245907,3457.688220148655,3493.3441104087933,3530.2764739568115,3567.1731119489027,3605.2142272407846,3647.9010177377177,3691.6485828699206,3727.632024666162,3748.864173154357,3753.425390947144,3745.019517091836,3730.800471349842,3716.2825155307883,3702.8796555035565,3688.815914045839,3669.39352710208,3648.703068197888,3638.9140711283258,3653.33695151123,3692.135261341304,3750.5634481862085,3819.6768717969803,3888.153188564369,3951.607899682654,3999.8443201316154,4024.210262022627,4017.3642654350115,3977.886988970718,3913.9630415296233,3840.5160104283154,3772.383228846188,3716.7494289172464,3678.3617976190594,3657.5021321469253,3651.4373972524522,3658.2409422122655,3668.3794581120264,3672.3463352818844,3653.641469687325,3616.1616156781693,3581.7569335041017,3574.7108702181604,3611.4304590368556,3699.1083526673133,3817.266880627327,3932.0851546952977,4012.16426913
7kg_10bpm,4AB,3717.07864305,3791.986338923557,3893.528720124904,4014.624501502482,4142.1230373017415,4264.639194388947,4378.551779263362,4484.378457332836,4568.0897001351495,4611.883810260666,4601.10392872282,4531.653538476438,4404.963751294312,4224.085812013238,4007.646981661986,3785.3459877345717,3574.3313306441223,3379.987722425803,3208.25421933672,3043.014589844749,2866.536756578756,2663.5521209559934,2431.1475152513894,2178.8244670318054,1922.5283693388296,1675.1120083260646,1443.134023643314,1232.9980243819962,1047.9885625953027,895.1333365737383,792.599712933207,738.0036249601119,732.0738281349052,771.1653590629686,854.5816927983248,976.4171679018024,1124.2171582516185,1283.6669686542239,1446.3626191449648,1606.326670469322,1761.5485704904897,1912.1230978114168,2055.228131713099,2187.628968956879,2309.513542900306,2422.5090825319503,2529.9626309949617,2636.019802095336,2739.6346973827663,2839.6712943964612,2941.1071618706355,3043.24322629353,3144.3778656403983,3238.4974624203555,3331.8282083373947,3432.568305691927,3542.6050266799807,3661.586745066555,3788.270024145896,3912.8945494510895,4028.6442255659513,4134.790212363203,4221.576413312802,4289.087868982062,4341.878688398047,4385.979597904271,4430.817733483067,4471.520713697654,4505.850921210864,4530.903766090936,4540.821448746888,4524.501577595625,4464.486996466805,4356.89474850389,4224.2097262830275,4101.638058044431,4020.2259561105093,3986.0944119461137,3988.9515733157264,4006.6495397684985,4018.964518557983,4013.2286381769045,3983.589436058285,3926.875447894743,3849.046511961802,3774.332027232422,3736.295751857922,3758.4021183575974,3821.695450973343,3874.800521081123,3869.160730699259,3805.131986430027,3709.08283920124,3626.5722690847965,3578.695889800837,3572.9836288625447,3614.888616429952,3699.008937440412,3800.7198186973174,3882.7261406944644,3916.19416626
7kg_10bpm,5AB,3717.13399413,3716.9156543729287,3740.3816665306977,3786.1280460024004,3850.1803719188683,3929.760425040001,4017.7919353942475,4100.340277603925,4162.937165044489,4187.255875093555,4161.42486777,4084.8686348806423,3969.105739415445,3834.168417211949,3693.7883006993743,3557.813471699999,3432.3309467408103,3316.8724478798395,3212.2924932571964,3114.0579994614386,3008.3267907600007,2881.0337014189067,2717.938467302532,2514.883982801596,2285.7531182047737,2054.1830873200006,1840.7393682362454,1655.2300863443347,1499.7904985612336,1375.7447158382247,1285.8331255800001,1236.543474264634,1229.8801746791517,1254.3371107851026,1305.1872708007706,1373.86822037,1459.1444851654155,1562.6157868920127,1679.03950274196,1801.158254313776,1925.8210258499998,2049.675177500392,2170.6718839478704,2288.2853358806647,2399.903142325737,2498.3824298499994,2578.274117575847,2643.169181888892,2702.728124264025,2764.976046226825,2833.15251727,2905.0272957164025,2976.934674524464,3049.3026547043432,3128.9373395903467,3218.42551237,3315.194522855669,3407.6791880937208,3487.794853323102,3557.3888041577943,3624.00546941,3692.8004812260087,3768.098098326306,3842.900043225957,3909.6183798575303,3962.4096771499994,4003.5998334024544,4034.036601675088,4060.014310268934,4087.0038376967736,4116.855486819999,4147.463016684725,4175.279183625643,4196.273819703419,4206.552672258159,4203.74208803,4188.535850144631,4163.515312304154,4131.44389281767,4096.179195142385,4062.7134122900006,4036.9781383869595,4021.1522381898317,4015.758775742809,4012.898697093576,3995.4073122800014,3949.3998523853043,3882.5502532928404,3819.6937530788177,3777.235157585417,3750.4843071,3725.759918230649,3704.498156802122,3709.170923628819,3757.1996305751413,3841.9648570599993,3947.7169094120813,4048.7182273059057,4124.422400096307,4154.008711447341,4121.31707054
7kg_10bpm,6AB,3716.75625686,3789.7347832842447,3869.978025483387,3941.645894797317,3999.814340883571,4047.833726585987,4102.4776610774525,4169.475028655858,4237.147399508318,4279.234520652071,4272.538315641971,4199.411926481777,4065.7352229268245,3887.730673023145,3689.120242793543,3489.098744375382,3303.4695466423045,3140.234998463214,2987.542596338726,2841.320799940812,2693.4860476360027,2533.0456410865268,2352.0092503491755,2144.188658847233,1914.9712038348694,1683.3416025980434,1471.1647569316424,1293.0631318107653,1155.4749699794784,1060.601592003747,1001.816721071475,976.497372910361,990.2792200904044,1042.682048101975,1131.8573334063576,1247.9682379837025,1377.951760708661,1513.006331893052,1648.2893142239166,1778.2441117955163,1896.896737226868,2001.6639574612866,2093.2303035771356,2181.906584054758,2277.897638714787,2388.016066863385,2514.7392493243105,2654.809447122629,2800.8584671443505,2944.7768071005817,3079.90108894,3202.211501472905,3312.277689028997,3406.7179193255593,3490.259031383476,3555.0961875378493,3606.910622835884,3644.2824861439194,3676.2995042452335,3707.810979213814,3747.83308330654,3790.6308006339855,3829.822844863288,3857.6134411384437,3868.33192606671,3864.0175770175183,3850.7435708213966,3837.9756977205684,3834.9069116372275,3848.149569572099,3876.8703351152717,3919.938681424059,3965.6765661796035,3999.74011176925,4008.3765909309855,3996.547768261932,3976.34705999491,3962.479393056482,3960.1617829467255,3974.2062803213894,4001.145045170448,4041.1522776228694,4096.266480572831,4158.291698350657,4208.118765327999,4224.975811046679,4198.276024056028,4134.624259076918,4057.7288508910365,3988.3213530051985,3929.0278042891314,3865.3991128558164,3787.911856160929,3704.253499493777,3632.157785882637,3586.2517466005143,3574.5467870808507,3593.3962747024507,3640.580747995452,3707.0498784764022,3786.22671983
7kg_10bpm,7AB,3617.74767589,3694.674447478101,3792.1986444342283,3901.7555675049775,4006.8172946743284,4100.788292574158,4188.881819341026,4275.682084791509,4350.923627628335,4382.207316300703,4342.699038209991,4228.433107659481,4059.0779819876097,3860.9093399550793,3650.0028144544385,3439.0004738808075,3237.3373164793625,3054.1138883377444,2887.878379251081,2730.6344931146996,2563.0681398450142,2378.0008194514994,2173.274125562253,1960.880768482997,1753.626057721366,1559.0222873123307,1383.653927077705,1232.0223707815262,1112.964719552541,1033.6743981338616,1007.0448682598993,1036.449401253994,1107.9455029257447,1207.2764957451773,1325.6578825317931,1460.9641004352816,1606.9882670674785,1752.5109208003905,1886.6539763861824,2005.2175017776979,2112.061159367694,2215.2234653760443,2321.119805069533,2432.463617263387,2537.6782553343264,2637.779356004205,2727.6549878997753,2813.14249703064,2903.815259716947,3004.3864478681417,3108.0039154617043,3204.4638206351497,3289.4871313096605,3360.7083940541074,3421.571979004713,3472.625391605703,3520.2239404308552,3570.240124685752,3624.893145241884,3680.698668371084,3736.772326599888,3790.617376115173,3844.6969275221322,3892.5078570266805,3927.5511703550624,3946.2505957906073,3953.009817772574,3957.611190001212,3965.958163437976,3984.150261548785,4017.1775412114966,4070.342377154062,4139.745250197772,4212.284252709235,4271.725414509162,4305.947247099261,4306.456343476226,4275.426102951425,4221.791147098144,4157.709087995901,4090.5116921258573,4023.792835944603,3960.2324389413243,3900.7292607526115,3844.963399897817,3798.4931302956556,3769.840401488362,3760.499604771618,3750.478648873642,3713.8533188354777,3650.2961838853757,3579.0595474565935,3505.857351445328,3428.36976329772,3360.551365326071,3331.988232330238,3369.6213813902123,3475.5437749149487,3621.5444666720423,3762.010899400696,3852.89213579
7kg_10bpm,8AB,3735.34542681,3728.3762188386518,3737.0215727590935,3763.18709725595,3803.2173873911065,3862.34453216697,3948.5127834128543,4049.6580313327854,4143.177196660253,4206.064399231376,4223.560029190726,4187.301060727428,4090.765071110309,3941.9200671969834,3762.1668332518507,3566.594267905187,3363.5158496367817,3159.4820433911586,2951.4726382927524,2741.1064715689363,2541.438820026759,2360.2689456152657,2204.3860755823152,2070.278775530024,1953.714167088573,1849.8393433445567,1748.5813361986566,1646.73057073733,1548.0425373432297,1463.9506087394996,1402.7719929942036,1369.3371879000108,1359.060659559285,1370.3953563207103,1415.699404694305,1501.1552146215165,1618.7729389025162,1751.2907071427542,1885.8327554201476,2014.004752691848,2130.965763046926,2239.9793572433455,2353.1322980061254,2481.722844665605,2623.335102178851,2764.258298560208,2891.923514936132,3001.065305206419,3096.6607753546173,3186.3492844294415,3278.82585277,3362.5935446785397,3440.1071915241114,3501.728468119549,3542.4099760965632,3568.588532745297,3586.22295957757,3602.289872304037,3619.391105269605,3650.539123113325,3686.8215733350607,3727.5562266223988,3766.0567995331517,3801.7509760297585,3830.855660099314,3845.163845733973,3841.112116320588,3828.330494697641,3823.404968165438,3836.4446380313725,3867.5660666977114,3907.0458001240077,3946.5325775411216,3978.143572755498,4001.59922187549,4026.13454060885,4055.1881220925384,4079.136751366331,4081.6146193012837,4060.3108826460148,4019.3178720301194,3971.356472335348,3926.41795084228,3891.9954444698733,3870.6708576796605,3854.9927450336663,3835.966507992586,3818.5563766925684,3808.449764040618,3792.932109525294,3754.805105943947,3693.585075613075,3619.9179422348666,3547.7887194558148,3495.1078943282982,3477.3052652456895,3514.5070885873765,3607.4618073781558,3728.6075064862343,3843.5240794696947,3908.10817494
7kg_10bpm,10AB,3419.53912441,3458.1812679106124,3513.0942244510316,3602.5920740398215,3717.6566613017494,3828.287574764887,3917.330334311059,3985.6827726560937,4024.3743729406033,4018.0122778921154,3964.492576091941,3870.8910889100266,3736.531997537874,3558.513930260771,3354.9389613431194,3138.3134908850207,2921.490658305559,2723.765004000068,2549.7938253860493,2388.7724168825716,2228.0440283652715,2068.9706058824745,1923.7537295076963,1803.0400797302445,1720.8985135726416,1693.8634124143662,1720.974574401001,1787.6647539304747,1874.1545650800483,1956.8058911646613,2014.9172352093694,2043.5614964126846,2051.9063107904344,2054.445570986665,2061.2159472764415,2077.2810595233204,2104.0077488656534,2140.5578907844683,2183.5602598300675,2220.3441341370185,2240.9090881661723,2247.1791918789017,2252.484365472622,2267.714778595024,2304.484934521929,2369.9020547532136,2455.2486760384827,2555.240692389944,2664.035035323853,2791.6826029371214,2929.2768152100007,3060.118657578695,3180.82295137909,3285.427397418838,3386.8230082723694,3496.4703123075487,3618.487677465035,3737.1482962235896,3826.9872139559147,3884.550879768591,3924.2433030791467,3959.6140471044946,4004.38564562437,4070.8778027991343,4185.020021203778,4287.089521115982,4295.531388030963,4174.066790589408,3949.102326877127,3720.2338112705734,3583.7279927645245,3614.872598876223,3808.230875723266,4061.5843199221013,4227.793689252557,4187.5631270214435,3987.7641311886714,3795.107167123734,3712.481260187425,3749.2090458912107,3824.8864971343287,3846.301754690626,3788.0116451636136,3691.7620480413484,3607.259196842964,3555.875327405337,3531.720789346429,3527.38739521075,3525.9488482814477,3507.2986714300423,3471.8848927434206,3434.9564428978956,3421.6799963324816,3446.783601504034,3482.3021994336723,3476.880158791013,3401.408522885079,3275.0509370041364,3155.7827074252496,3078.644095344648,3047.95797769
7kg_10bpm,11AB,3576.23051491,3699.5644158174027,3829.9386314003214,3941.868112626546,4030.760822336022,4109.046409175067,4174.2310533013715,4195.32426099925,4140.954135469168,4025.7031400213236,3889.3396069493997,3752.728587202312,3623.304981634906,3479.648476841231,3295.3530913801997,3048.7339857835386,2731.4358544274432,2368.2005255467757,2017.489704975846,1725.0748963105793,1523.24835573,1420.2217132465641,1397.2971231539013,1417.9262160954513,1446.4399300587595,1460.3082860142822,1457.9149110225037,1464.6963422213375,1503.5513258919075,1590.0390763085006,1705.388641312906,1822.831070429265,1920.1552269565714,1991.8630581700731,2043.760336531414,2088.5732337953873,2141.4428124267274,2209.990363171085,2293.632142284901,2385.8522704548013,2483.6501958,2588.1245564083824,2702.150662657844,2831.188288530147,2965.9678950152625,3096.4133384650954,3221.1328870139414,3329.7132950584605,3419.384726760417,3507.219699591675,3593.5099909626583,3682.716108531556,3771.86450824441,3850.374228289928,3903.28225907701,3920.7641062549696,3915.7777113537613,3912.329093100067,3934.8310986235583,3986.8283403313717,4053.896653,4104.772439072068,4108.951711610904,4036.403761075826,3878.552529270394,3664.813602935345,3454.1404912999174,3340.2679728407243,3409.1018365497684,3649.4602224065284,3935.1684110662245,4114.693326486875,4137.264527873322,4022.7093627775707,3859.648699188838,3736.769375182179,3700.4100865413284,3726.6726730146092,3760.0706836726786,3768.103670205147,3747.69782682,3715.4996563841946,3682.515760738726,3649.799405357745,3621.605874569943,3606.1415499283153,3586.945292740736,3547.600915956321,3500.56089313221,3475.514752835966,3478.5669440097263,3486.8493357366874,3469.8915977581896,3418.3107351494714,3353.6809177800346,3305.819785056508,3280.1080522903867,3260.2148010275264,3241.064241791715,3233.0018513940086,3240.46091503
