cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,3739.22718408,3832.9286714689724,3906.237040270212,3951.188842780628,3968.54480349418,3965.7211258600005,3954.0293351237533,3948.28535161522,3949.171710274796,3948.5369564780135,3924.2158316100004,3857.339651445253,3747.4415047039183,3602.815408059842,3440.975490647144,3281.5322256599998,3138.6065771971384,3018.775751679473,2927.88357632169,2865.044808956782,2827.94613953,2809.17548536154,2803.254049252113,2807.3698531255463,2815.955999402468,2824.0628778900004,2830.1224931745483,2834.7386349112703,2838.6429110072654,2844.6925184345,2855.73143765,2872.275112806673,2894.960604604844,2923.0906600083736,2957.4324015101893,2994.09432061,3026.577036339018,3048.2302170309554,3057.1560187989307,3049.988520117041,3034.2847027,3017.2462286433984,3004.832982674828,2997.3183570342017,2991.8757574267515,2987.29251751,2982.765015879371,2979.4369344725424,2979.322079904415,2980.2608735094286,2986.2052591099996,2995.655911693692,3006.917405688341,3019.257924254278,3033.722481599629,3051.3485096399995,3073.801403856441,3099.1659014865354,3128.19804269872,3157.3120623826544,3185.6425370199995,3211.003217593074,3229.0208969940304,3237.6228109699737,3237.178023148696,3231.14096551,3225.254984805806,3223.3276728140636,3225.0743649790456,3230.208487000138,3238.3425135299995,3250.4274057003254,3264.246510734937,3272.2092021384915,3264.9045829844567,3238.9381228600005,3198.6991878391195,3150.3992120935704,3104.987398531909,3069.2532553931715,3048.4317161700005,3037.831244522805,3027.5427602325058,3013.141783091184,2997.519952304248,2990.02051663,3006.0860142140764,3056.763559703808,3139.4219925335074,3230.9080171026867,3293.49557054,3304.315863539712,3287.8711252879643,3293.315414563833,3342.6965763353546,3407.26256287,3435.679988023566,3412.104329994273,3369.0784677936654,3347.380201976851,3356.29215842
7kg_10bpm,2BC,3362.09901107,3457.6332703562025,3573.6962126631356,3697.248612803537,3812.4020233017095,3912.063705537064,3989.6232712548926,4044.4406523569555,4078.6478085524227,4090.850472475937,4079.2558273271948,4043.0289232946334,3981.62077769141,3897.520946095766,3793.731953014084,3671.8935826238544,3537.008269257891,3397.269580459322,3262.2524446994594,3142.4397954426727,3046.1325077999995,2975.7666629714663,2928.746227149326,2901.3069787666764,2884.0963351640785,2870.5829968646367,2852.9571877693083,2828.374625972013,2795.1761596334295,2754.150586273809,2711.9540046811535,2674.3173568701236,2645.8910200999976,2630.098920629425,2629.861035741101,2642.197951152606,2666.0968169238145,2695.1203311154786,2722.6009355261394,2743.9580080529286,2757.5259450199997,2762.4434387533956,2759.165973320509,2749.9816897690057,2738.312442921642,2728.5579739097548,2723.8288604780287,2725.3189569476995,2732.070584183346,2741.779767761759,2751.875305113024,2763.7431140383524,2781.576494298767,2807.8501449869477,2843.598955520787,2886.9344254114867,2933.4467863707073,2976.237794687231,3012.153643315828,3041.345239643009,3067.99510378,3094.898270303066,3124.0475701590767,3153.091825031717,3183.8702878599192,3217.3970057933902,3252.0441948467264,3287.7543101036517,3321.7139811700604,3349.9610708087334,3373.3877962764536,3391.7611068149763,3403.7612004112575,3407.4568097307088,3403.671822904083,3397.626257809187,3393.8594058807903,3396.027632665037,3400.3774120318258,3400.107299075846,3389.9108916100004,3370.4400095021433,3351.183387295032,3342.673788790824,3351.8192929767415,3374.5031457344453,3392.6241255767777,3384.056906672117,3341.710991067073,3284.8168265560307,3255.6326354939793,3278.663358531114,3342.3133592361,3406.825525467826,3449.029806676735,3475.6272361258793,3514.201604924923,3586.2515325938007,3681.34069686612,3771.5573217232086,3834.31029132
7kg_10bpm,3BC,3773.30535307,3819.6904090276757,3867.0184679827075,3902.129884714905,3921.612023215548,3928.7492554870323,3931.9802395008405,3936.9560617331786,3943.624393041471,3944.26857193146,3926.89956534641,3880.494021472713,3799.6136586471293,3692.5625076311553,3572.0194189630124,3450.7657669926884,3338.72688315072,3241.928776460593,3161.2345866911064,3093.012842093375,3034.0097387039214,2984.4209641100483,2944.242181317686,2914.1251359712173,2888.250020129073,2860.8491049988666,2828.118626760101,2786.436011282203,2736.3969975815103,2686.617896485703,2644.553617937373,2616.346036860643,2605.6062607891386,2605.8894836462246,2618.5690203934037,2634.6731830230824,2649.0675797488993,2657.0611500641794,2658.677649077509,2654.9801270476933,2647.873212716838,2636.914698380775,2627.257783070512,2618.2278239381158,2612.0179055152416,2613.722790996686,2626.758388336564,2648.8339203811497,2678.6634465310276,2712.9058655218046,2751.377221029828,2796.3649380628713,2848.7572096330514,2905.479897262484,2961.9781456364108,3014.666716897118,3062.259822670957,3105.5996127162257,3143.522659530483,3176.4741822200735,3202.503815671212,3223.0508817452856,3237.5303957202827,3247.71793568299,3254.713221931533,3256.8342339289666,3256.3736085087835,3255.903925683476,3258.137493217061,3263.888140955671,3273.109746916312,3284.6918187025703,3298.6593067743474,3312.1766676912334,3321.1779078984764,3321.6305838409808,3313.722663613398,3301.322535234899,3289.9197239290693,3288.81162353169,3298.727348370287,3318.481957635777,3335.3083865824606,3333.5763804854905,3312.2105990600753,3287.7402141436437,3282.973921709263,3313.7126351837087,3367.5516559834964,3417.858650114197,3447.8394983422363,3465.065422141879,3490.198694099271,3538.3312370182675,3610.9241950001456,3696.248122905905,3789.173039525495,3880.4890867864196,3961.1530439288636,4015.375696617128,4026.40621188
7kg_10bpm,4BC,3524.43362939,3565.449010776404,3620.817314267591,3684.5817087769583,3751.182123133865,3815.43694777697,3874.8384333132517,3926.3381843452044,3964.1073825216486,3980.7914657481915,3968.992872834059,3925.390198496018,3852.0878741448487,3752.5892790003527,3634.78842146688,3504.694257538593,3371.354087313027,3241.7580533751166,3124.9040681197002,3026.322704860834,2948.9214571082175,2896.931022662,2865.6001086821857,2848.195742558171,2837.1511031834816,2827.281503628845,2814.8428159706004,2794.3412694350145,2764.54843637319,2727.0446128820304,2692.0583455141455,2669.13862859791,2663.9738738646133,2679.359225412246,2707.7584384984575,2741.4550869586487,2771.5374044104938,2791.4679239752936,2799.4641496214476,2797.6234311828907,2789.5228800483083,2778.2890494221747,2766.0533810521565,2747.8454988920307,2718.705608890963,2675.029004153269,2618.933898021198,2557.329202341346,2500.4423282566627,2459.0327310622306,2444.29198418,2461.850925228832,2507.2285464963948,2581.0172821037636,2667.595458490088,2758.8011437833998,2846.8572432143797,2929.1554793867917,3008.5490722686636,3084.95670580009,3162.0709725935794,3240.262150430565,3316.9174333499795,3386.9875292625406,3445.8521365080037,3493.6576916710887,3527.3936347050153,3543.250414322038,3542.0247882622375,3527.2182412696725,3510.6713999380895,3499.4761966812557,3497.4755609729204,3504.0329321305103,3516.9741127725274,3532.656540029387,3545.6519012708204,3550.579126568445,3538.782647458357,3509.4742378345086,3466.4911598239437,3420.3005080092025,3385.9448639731345,3373.8809785179205,3382.3990987637158,3397.046676761256,3399.192657118989,3380.603255532054,3352.547879419607,3343.3495433548296,3377.612658685086,3453.5430623114953,3550.8042056314116,3656.710675805881,3771.674418065378,3900.3641747068364,4026.9926027596453,4132.934108553488,4204.370631543854,4239.707302837233,4239.84793647
7kg_10bpm,5BC,3585.17856162,3605.3410619930582,3630.436684283747,3654.7101416100722,3677.2697567938594,3701.358034692175,3729.1459418871536,3766.046385104534,3806.136097959575,3841.906473196971,3861.9120301815065,3858.1103480770985,3824.554597402548,3758.5774377301314,3663.8929156219765,3552.2434768180638,3437.695513456234,3333.6734184022635,3244.6525750454807,3170.8632868538766,3108.5184171373257,3052.4897715308716,2998.4886513601937,2944.707296879166,2893.037022335896,2847.9909230527674,2819.6147936829243,2809.543499083891,2811.2684062851495,2813.157110664831,2808.639085855765,2796.305264587856,2782.2907081975495,2770.713748640661,2767.4390583920635,2773.4758609042633,2784.4647397030144,2792.255418497949,2793.668116579907,2787.147820827632,2772.308397178595,2751.032625128335,2726.644435592964,2702.6767789629157,2685.5718627599326,2675.7256550219636,2672.864059488105,2675.152292298224,2683.2951193091913,2697.118278490144,2716.0708056026315,2739.7867718227876,2768.2038253741266,2801.9859679188053,2840.961486718955,2883.1353047402285,2925.215272907319,2963.2449825515746,2993.429833850081,3015.1630091878037,3031.62413584462,3044.6236249301824,3053.93665754313,3062.0709134754775,3075.150100349893,3096.625908095516,3125.596577454316,3154.25633515181,3177.7104488297787,3193.8832528738935,3203.4537901192875,3201.227200678697,3186.302268328069,3158.9658921939526,3128.740192518726,3107.601658189391,3105.8877187328812,3130.171362185135,3176.6561113755233,3235.1506931482963,3291.311627569791,3336.9536567212526,3371.657826735808,3400.0987255660993,3431.683284375023,3474.565013737388,3525.3666450557917,3572.9516579377114,3603.261213549856,3615.464433882173,3624.728844890232,3656.5665719666868,3730.8302380196083,3853.989282267399,4019.8694557846125,4196.206095848304,4302.462848038452,4303.330958652132,4201.36578951466,4028.2971332316547,3841.05901017
7kg_10bpm,6BC,3615.82467689,3705.800586919026,3818.810248537533,3910.3563044286457,3953.1011670724542,3947.9178931656697,3920.935630405063,3898.259284688783,3889.572465950409,3885.3796852975333,3867.832190846543,3822.8167145471184,3748.8139056441587,3653.6153574334385,3553.936743237684,3462.7104435948627,3387.539325100165,3323.7022334672183,3260.2108318515684,3185.0489736332984,3100.822341208765,3014.7115600947554,2942.68954296347,2893.1876038011665,2865.73823325704,2853.5214031100004,2844.0423950385125,2831.1517975133106,2808.3543187797895,2773.8230835635422,2734.8094568247907,2698.786112155986,2676.478574686299,2667.1714479889056,2672.834202967783,2689.4875820483453,2711.3703335120417,2730.591090158866,2739.682648142328,2732.9197524912497,2708.233511761132,2668.8709324787287,2622.0851248549047,2578.9780463668712,2550.522492066745,2540.843072071891,2545.681840329774,2558.178351585645,2575.490276136666,2599.923213877577,2634.592921259999,2679.646650754913,2733.3748470047594,2792.649295078875,2851.511507845863,2904.3447133950917,2950.4428856610243,2992.044503828956,3031.5070319306446,3074.322376842651,3123.843425997104,3186.765230165255,3259.9671106277756,3342.4306404481194,3421.2674201901173,3486.698420889777,3531.690467475359,3560.7003229296865,3577.570610119463,3588.9643321660374,3600.2328422359424,3609.3310349871385,3615.098908726706,3615.3982842681366,3606.9342248782973,3588.6218504299995,3565.0343382409337,3542.1410537077118,3520.115587666204,3497.37727773381,3472.8900520764655,3453.217566465833,3443.529863022251,3448.4152814879853,3464.2618902996946,3478.820918292328,3473.0626976137437,3444.2827352911586,3411.8071105696026,3409.5934039151516,3452.6006173083974,3521.679900189819,3588.688229703691,3643.3996083043007,3690.3120187938084,3738.5439473597057,3791.1742476105183,3842.6344858686866,3884.86464996458,3911.388042417732,3911.96779602
7kg_10bpm,7BC,3576.89359725,3643.4224577337254,3716.2356427483296,3780.447436095486,3819.014070999243,3829.544187900456,3825.3408800115703,3821.5199118416617,3821.5202374252435,3812.481485435957,3779.9713067444936,3716.270220431001,3627.680409430581,3528.24537233287,3433.38671886824,3350.6769680492143,3277.7382516650796,3205.2495525108716,3123.5846906180127,3036.749927681824,2952.63154239,2875.45433386276,2808.8850439244143,2752.2926309673626,2703.1006778348246,2655.27424307431,2614.117635838166,2584.379670874058,2575.1429977638686,2594.732454336288,2644.964691438313,2715.3708961067696,2787.004275401958,2842.8150142841923,2875.5092609441563,2888.2593146024874,2888.8678412089685,2884.793406386496,2881.588945073682,2881.7807494516123,2885.21062074,2892.3535114207766,2906.160347147912,2926.7503756507035,2948.61463298581,2962.5038926598477,2962.3836433226456,2951.539571198728,2940.699342917984,2940.6535201788133,2955.35790715775,2980.187696964474,3006.607242072771,3023.9322928882452,3028.365486349115,3022.0713520183913,3014.419521018807,3015.6666120077825,3031.430727178115,3062.9298198384763,3110.19725082,3169.110987943535,3234.1307139607793,3293.439703485172,3337.1824129383067,3361.541124354603,3366.1266601977504,3357.6063487784604,3348.2410752161086,3345.846943711307,3350.8909292627313,3357.938729176139,3363.865651404023,3368.6667138500293,3374.297613796326,3383.3623489164056,3394.0834361033208,3398.9049322122673,3390.9672432970806,3366.027774839494,3326.308049450001,3280.7257363689223,3244.2122369362264,3233.583207390689,3258.084287407087,3309.3427837373733,3365.2624518620178,3403.708774265775,3424.3830213684,3442.151521619343,3474.2777397124705,3520.7112565831258,3568.128738402587,3607.48198671425,3640.0151978181966,3675.0000796842755,3724.3185415198686,3788.7862698228146,3853.1898857787196,3890.2599362973997,3879.11770056
7kg_10bpm,8BC,3521.36452828,3615.8075737258546,3726.4648442699117,3837.5805415141654,3924.412383447292,3974.111284533976,3992.845099208522,3994.0192504631673,3981.394605317649,3947.177763819018,3883.6014003269174,3784.8896248085725,3658.863637214833,3518.306750223721,3383.092302988053,3266.644917508428,3167.413400454166,3078.3449420207107,2998.936569293875,2937.2414294401974,2898.7172249729333,2880.783005040597,2866.9307727713854,2840.2015502369104,2792.170548767494,2726.049865899293,2654.835136617034,2596.816113522951,2568.6731623116616,2580.2168084751256,2625.612808582264,2686.5342356461283,2743.5091309039403,2775.8487721271986,2778.7832058575764,2759.793375879295,2736.5549680864565,2726.776943421713,2739.632619784412,2771.0283254464484,2809.3029017576687,2843.9493242585777,2868.9800913417585,2885.2494500406224,2895.3704871042487,2899.2829879109454,2896.4288927636812,2888.021953010529,2875.0959433123976,2859.79791457115,2846.3769766438522,2841.6103509055233,2851.610559902819,2873.1718369772448,2895.719392156854,2913.1710281023093,2925.1905241026957,2940.285222121684,2963.307997333763,2997.3694218892974,3039.653374453565,3089.5323215419926,3137.568704481378,3176.8174080381905,3207.5463911658744,3237.702096285494,3274.2892135219,3322.1698367798754,3380.1800112702263,3441.5588673939264,3491.5745841979633,3517.4150569498206,3512.536246931138,3477.8955606058607,3426.779845118602,3376.4383410308974,3335.4582621632235,3303.911822279192,3276.063685757998,3246.3069623027286,3215.6896964760012,3187.344380636973,3170.5677851262726,3173.080078115267,3194.1752499793097,3220.4163743419017,3234.6536190603806,3232.90435459131,3232.843834005295,3261.6952960870567,3327.3866835233907,3402.6013120583757,3447.859081177603,3450.7468060902474,3440.4398278487406,3455.873336323794,3507.1937382313286,3578.7650287256693,3645.6835019317086,3691.7979417863717,3709.37214583
7kg_10bpm,9BC,3354.5115002,3436.98731223304,3537.4110501619484,3639.0032658618693,3721.5097951152916,3771.0583739,3786.2927892202965,3771.735545447754,3740.3285525864403,3692.8236004651535,3627.01004247,3539.7583029948537,3442.846961419631,3350.869075745518,3277.8483499948143,3223.3403235700007,3174.599902731612,3118.1952222551786,3053.1016897806676,2990.659706125637,2942.71233468,2920.1445122878968,2917.269023745842,2919.1084836162568,2911.427547808082,2891.05112811,2865.070918668212,2841.305372699357,2820.3568724377856,2800.7135695647326,2787.1184701499997,2789.9580332401492,2815.992912475551,2860.298584617219,2908.9209701133586,2948.1354799399996,2970.765716837626,2976.7636939690565,2970.0369381649953,2959.5594489028153,2947.72873115,2932.625665097498,2912.588591218418,2890.8369839980674,2874.2736222858807,2869.2793792000007,2875.699528627043,2886.2028633251884,2891.3190065246336,2886.059229518541,2875.7446767000006,2873.0931588993412,2891.0395227988497,2931.542437319808,2983.5905301353378,3030.05036557,3058.2569210956704,3071.0270697615715,3077.379241278094,3087.3498008481497,3103.6786321799996,3122.517829955989,3145.7347404731086,3173.6038455273692,3202.8053891258396,3231.21710025,3256.736146118175,3278.1771484556693,3296.5925686001124,3311.0723506859777,3320.49527941,3325.6909378559626,3325.0443951659504,3322.736822720105,3320.095515856224,3324.23861472,3334.746273922297,3346.4325324661136,3348.6587644727133,3335.3069560587523,3308.93823212,3277.2902634215957,3254.579847108655,3253.2488514793713,3278.6887605554925,3318.85012116,3352.2076411033026,3364.3583768272592,3360.3431739762354,3360.517276603367,3369.45911961,3370.3491239084415,3342.861090594621,3289.2730597647965,3239.994090098693,3233.9257154099996,3292.3513351888696,3402.2758950000016,3518.6006903665093,3593.6245121350735,3596.23461326
7kg_10bpm,10BC,3366.70451077,3486.665745815174,3620.9027899086786,3749.024099297645,3844.839881040162,3896.358708879831,3912.5231631043707,3901.7363917495386,3866.690284300684,3803.788295133709,3715.711993738115,3611.998693529569,3508.4575402305904,3412.6016094265874,3327.953105813427,3254.913329707568,3187.3782234697082,3118.6541867783462,3043.854235467945,2962.342851535537,2880.0287926948417,2806.99986218712,2753.771881134565,2726.250297019011,2720.2862631275616,2727.9707072992323,2741.3556486101284,2757.184461999407,2775.68334150632,2795.799771243278,2813.4370598484857,2827.1797079920098,2837.2009192643313,2843.4032622969926,2844.774000102447,2841.5625084105054,2836.6941676798633,2833.7397286380688,2834.2239771975746,2836.025886650437,2835.51092748736,2830.972613299807,2821.488331652831,2808.3031745275102,2796.4173503244037,2789.069930136895,2785.976187729174,2788.2519709501385,2793.8851589899305,2798.8163961324685,2802.2711287881434,2806.311161677041,2816.687650452407,2840.18056374755,2877.664741894951,2923.581301127153,2965.1486747380873,3000.0603543325733,3031.4167187589264,3063.4267775172198,3100.257952817644,3146.1105506587833,3199.047544215903,3247.9265496900025,3282.7124273452714,3300.6981464004466,3304.1620574530143,3297.3429059346627,3289.4836346810816,3286.5159242519767,3289.0611696227297,3292.3653529140834,3293.992997329827,3293.3272819031135,3299.1070120404174,3313.7886535169055,3335.345000123105,3353.697986699662,3360.6571611185236,3351.4117261987135,3329.117373526602,3302.2805769652227,3281.680940832177,3274.166567750694,3283.9165378053626,3306.275686202752,3325.3416136181627,3324.2746571658586,3301.8549949063904,3273.8494327811554,3268.5777730850323,3304.0413583392046,3380.3749162353515,3480.530030338158,3582.6965082731394,3665.411437812798,3721.734928823101,3745.8431306495568,3726.744612325885,3661.0070152732224,3569.48128015
