cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,3580.10030857,3708.6687155330465,3896.5978510366285,4160.772597190891,4442.411004251121,4678.726860800955,4855.411565052252,4992.152260685768,5092.067468611409,5144.729547910713,5143.586009716079,5094.920731197514,5016.75873290187,4937.6015406310125,4883.107019980916,4849.661049190292,4819.722475642971,4769.1146122685195,4682.265172672941,4569.605899921837,4457.260663966133,4345.562236307933,4248.303122653411,4159.620835406459,4065.3916797686343,3941.8681409798796,3785.777396141002,3598.83185078333,3379.75999237813,3139.5816582729776,2894.3260194327117,2660.7112309345166,2455.9102047258066,2286.6824499375243,2146.9811475764127,2021.694029558338,1900.4244041013462,1781.1516604915914,1670.6115727473903,1565.8123631779206,1466.5787861309827,1377.1820132133357,1302.7173476011628,1243.594472621256,1197.3963411662498,1157.5389354158042,1119.0012930920414,1092.098686342614,1095.5143731515398,1141.8898356848313,1233.139668047989,1358.8281840848672,1500.525764911492,1642.5727346649437,1775.5942380494773,1905.0254060574878,2040.1171008805507,2185.1235083197316,2337.14161487251,2488.7749604421047,2635.9897964064057,2781.1853441027515,2925.439168782249,3064.8810264844346,3192.6492375715357,3301.1019807912144,3388.616155154653,3466.0882454540147,3551.218466374228,3648.9631639484733,3746.9154983531275,3825.921153576434,3872.353340008883,3888.957160072651,3888.1886933784353,3887.8461478597774,3905.0372272914988,3947.879290470431,4003.061203387461,4052.527761737631,4089.9864024113967,4115.144321496853,4126.853201593373,4107.099585891258,4043.233379712615,3939.9118726906954,3838.7547029328894,3776.5262912567014,3760.719307185873,3756.413642904321,3720.9699885866407,3644.6835655250084,3559.81534193617,3508.8035953427297,3503.6383893493116,3524.0035121098026,3544.278079954336,3548.5688292047457,3514.5046123985994,3419.332021432598,3260.98849127
7kg_10bpm,3CA,3804.33857727,3939.2133983496515,4167.558638185423,4434.73668809631,4675.465442390124,4864.097405458115,4994.5391106248735,5068.233890456166,5091.183775848459,5071.190002360205,5011.117098106503,4924.563590716427,4831.088724415962,4742.5455802582355,4670.836651844419,4622.323675190122,4597.240497322078,4583.866205132666,4567.831465069261,4539.231524022733,4492.621522762536,4424.1848127398625,4332.186375390616,4211.90842760809,4057.7117345275283,3882.970840390391,3696.5296051254913,3507.437050136485,3322.1123884711947,3149.0090931217374,2989.9271483180555,2842.1564588390024,2699.8619168646205,2557.869287599845,2414.056744924774,2270.955945245339,2130.3556191667767,1996.4317189775913,1873.681519134251,1765.665562182435,1675.6269690201746,1600.661306310064,1538.3651773912761,1485.3199369059598,1435.9017900329916,1385.7984911971564,1337.0881356388388,1295.0092562234904,1262.7311102528129,1241.2023227246668,1228.3593402100003,1223.352920392112,1228.4585639070538,1247.4497250385648,1283.3428715808766,1338.2309647014122,1414.0483642522254,1510.9530450369398,1625.0096213026711,1751.0514802075902,1882.111615246217,2018.6828126313756,2160.948784224073,2305.9040826650344,2447.344273093345,2579.9731330829245,2704.228134001773,2825.0815973174504,2948.2704016845764,3071.854465540843,3189.034986338788,3294.3658161142753,3387.651156024469,3474.148460338164,3557.948349503907,3645.973150227894,3736.261882679204,3819.8841446575657,3882.419094217717,3914.8711230030513,3918.1290218166373,3908.874527010777,3899.8824891955687,3899.213784732764,3901.7088962719745,3889.787351094139,3855.371364251241,3808.4008783061277,3770.0475793748215,3755.829074861067,3757.697899001848,3747.795467844774,3702.5601907598366,3625.388367891609,3540.917130288746,3475.1291326674113,3433.9171375488004,3401.5683382995985,3358.2130043074644,3294.443653674345,3207.60829793
7kg_10bpm,5CA,3635.18464137,3731.209073611352,3866.5433915533004,4060.0826312368686,4298.9995720509105,4516.104205419902,4685.778469073972,4809.782548095273,4888.665277556836,4940.431004079565,4959.150590389704,4933.2355585078685,4860.404223110716,4751.123484490737,4622.8049951565545,4505.56470145995,4413.942137235324,4342.349704911037,4268.421435616814,4174.174099677504,4043.3390950488615,3864.434326688959,3652.632593802771,3423.7846097715747,3204.471333678952,3026.9270043344486,2915.3751341499064,2865.15246206894,2838.797953635833,2798.8914018213845,2724.160570221077,2602.6700677228796,2438.660389559233,2251.509838724925,2070.377881114675,1923.322059562953,1821.9778295805227,1759.006374280419,1716.6816063949987,1679.9111532192876,1640.8091598526266,1596.4913175013833,1546.6757275331702,1494.135771251863,1451.7068735237806,1431.8746787728946,1439.7574458199838,1472.1942899530916,1522.0809719066606,1583.1040485831938,1653.4276457400001,1734.352401964271,1824.9793768588106,1921.214426750504,2020.5546690639296,2125.1450218379105,2236.669734325098,2360.0209850987326,2488.486488580533,2610.3644640715706,2717.6079829504442,2808.4670404174576,2886.62372445554,2957.2837525503437,3026.687227997265,3105.600101555833,3201.6014597088238,3316.5959531567983,3441.110626996519,3555.59342742739,3639.8588779447196,3678.8527879967587,3670.4808397000943,3630.985590169352,3585.45051929564,3550.8558866673775,3539.5957249259186,3557.9739425150988,3601.265943955076,3649.505487725366,3675.1052526529656,3670.503333364115,3654.8314543092984,3638.0991292746007,3610.06060709604,3560.685495498158,3498.752951080373,3445.2214971330873,3411.0460550003427,3400.7204526684504,3410.7676876184887,3436.813577539474,3461.6760786172563,3459.910555632895,3432.893613115771,3411.3539730808225,3417.8773042461667,3435.9089222825105,3425.4931562877528,3354.000832068383,3206.95438885
7kg_10bpm,6CA,3711.1598848,3812.342628067887,3981.3593232374747,4199.772264973039,4405.866346091687,4567.563299746797,4680.266440581882,4749.531913056382,4786.926122655491,4802.49230422651,4794.737610613906,4767.326855213771,4729.394407699314,4693.179376838555,4663.31311857185,4636.742290619556,4601.708216470984,4547.81632433368,4471.5366455749845,4378.286889770371,4275.929915672251,4161.308471402092,4034.214123705835,3899.604574489542,3747.790621810611,3588.2650659,3426.3119934182464,3281.118376964823,3158.5283698763824,3054.615009933773,2958.2606710405694,2855.926938452068,2735.1408457737707,2588.3162427991692,2414.4491308859165,2222.4324854825227,2026.607694919286,1840.258739552192,1682.9398071097214,1565.3890052636398,1494.3581936499575,1465.0821529135778,1457.7822595564082,1445.0342146772389,1412.8430090460965,1364.8006729051015,1311.1506274811868,1264.9388333310606,1236.5532129796325,1231.6482953482764,1252.17828293,1297.6490685799165,1366.5339301016813,1455.807588314222,1561.3635624986234,1678.3238707283758,1803.349049198721,1935.968256293082,2072.6308208423316,2214.628317519208,2362.3977493644566,2511.9805590850287,2654.506292201451,2779.2825141626286,2880.110414800566,2960.581978703416,3031.4998689475524,3107.099683162274,3195.9111861637466,3294.188538817502,3389.595128151698,3473.5235513579246,3547.34535297931,3612.454882230883,3662.8894108835443,3691.2673334100004,3699.5086920888466,3698.9614476981146,3698.1521046079074,3691.4085769734456,3662.913039175543,3604.415383330691,3528.05468427739,3458.6540740165597,3416.4508217567777,3406.6075345412337,3422.088683372591,3452.992389943008,3488.299476924106,3511.368470992351,3504.3999791571987,3463.242697414208,3406.971534702925,3366.9475783485955,3355.9964666190576,3359.2736289092813,3353.4754448819594,3324.7930453357712,3268.7209593566517,3182.236974324118,3066.0482826
7kg_10bpm,7CA,3655.41421026,3722.6380850133655,3825.7424870267246,3955.839970666221,4118.415001260053,4287.969224336677,4423.23920680014,4537.130363034244,4641.6041830298645,4722.802445246701,4767.999452120135,4767.734069829789,4717.809344812453,4634.895256477544,4539.413361954182,4430.621084618144,4300.350753759858,4143.715089935732,3975.7162898160595,3824.0596788681123,3711.001079249353,3634.7164771756848,3598.684274683853,3582.8265144980533,3568.143854283392,3545.259843778575,3518.7846147192436,3496.4226406843286,3472.890979562951,3440.2973527882586,3379.1871457300026,3268.523627930381,3101.615043644861,2886.8577270956866,2653.315242302067,2432.649761286364,2238.746621112758,2067.329480575409,1916.9788624495377,1791.3177506419643,1681.5588652854665,1581.880421253886,1482.777957318136,1374.3425573331072,1256.776487895941,1147.1360477930075,1070.115287212391,1042.4337211046413,1071.464317535767,1147.370350030454,1248.9428303748823,1343.376301370997,1427.5557927514658,1514.293365506228,1609.301698728586,1715.078975214334,1830.9964268705996,1958.5880528669497,2101.699359730395,2261.5308789641686,2435.532963364583,2615.8402863136953,2790.492547143875,2947.3269371027213,3073.7484243216854,3162.4071647256906,3222.609875856756,3270.395935479117,3319.9357821277085,3379.4973672333144,3448.547251927516,3518.213506582733,3579.5702504189194,3631.7306526636917,3672.026231910476,3686.2595314590185,3669.7151006288686,3643.7026050575005,3634.315711094743,3648.8359040748815,3666.324215895179,3654.9897426985895,3609.0396126818,3553.261628597695,3511.892403857998,3478.9527713876946,3436.117616843016,3380.126606413349,3329.874458062856,3306.121179024803,3309.6648744371514,3321.8147300121495,3314.998083395035,3267.7059234947887,3184.7014175154404,3114.430087584072,3112.275712405674,3171.1679867927783,3212.9728983255736,3162.6622974050756,3015.95473077
7kg_10bpm,8CA,3236.53805294,3210.4037203333314,3152.5251474087318,3117.589605290507,3178.054633494561,3368.764703822481,3651.6802793797942,3962.342269944876,4305.660766170828,4562.160148689221,4701.7737679325655,4720.310019535684,4640.1138264923065,4514.023909540072,4401.20693010949,4333.8273934862955,4314.7152634101485,4326.790106246964,4339.836226815227,4321.364162643468,4268.710354296703,4200.0703118772035,4119.306294641526,4012.3747671084952,3868.1995799912756,3689.043583547455,3476.034827793763,3277.1222515194127,3127.963769851092,3036.9120755934896,2987.209876085573,2958.2258633484744,2915.5253920581326,2818.1488907352546,2648.7614596929798,2423.3559099461577,2181.7871204145476,1962.6603578718,1786.890341204226,1649.13827794858,1527.6059240631944,1413.8927148365708,1314.0276444433125,1250.448375218649,1251.271163158778,1326.2636118969244,1441.8111188782084,1563.1937147136148,1660.3413805395132,1710.8035931578136,1734.5571070900005,1783.159496544289,1876.6710850705729,1996.8204365184229,2114.860227300598,2208.342312243397,2281.547500178101,2360.468598826104,2472.1623714350667,2627.3986199228684,2809.9663923563344,2990.9476651497353,3148.207564512384,3266.7730991190656,3333.464559141078,3355.4754036578447,3361.01310162606,3381.894588831687,3431.197353823936,3487.2306728554568,3525.9127634546526,3549.852638500773,3569.620684914192,3589.9181408707623,3616.8193584670953,3652.8381471889484,3678.1756636303057,3656.304629212558,3577.9283206885448,3481.3148281799226,3417.6202937058574,3390.2139213457685,3382.739910919518,3386.9985356539273,3393.3362106959066,3385.5420710422068,3362.754959818307,3332.7635744003805,3294.480266470001,3252.282524946293,3217.027157350357,3193.573239341644,3179.714558285317,3170.86257275592,3152.396367135903,3114.440147329843,3084.763414744356,3097.942499290771,3125.692367860492,3100.888296226495,3000.73324213
7kg_10bpm,9CA,3170.078993,3341.561507490907,3554.339204549311,3789.2414014363317,4037.2175490965788,4198.792803484766,4267.313259221567,4306.237228003494,4394.6730920894715,4473.585916489592,4516.005133436863,4526.606506917344,4526.447429700899,4527.612940046344,4523.529821229853,4522.307460910494,4518.655970036721,4480.426443429107,4379.511779259386,4222.47863359271,4039.6428069271496,3864.5756594667437,3696.831465347705,3530.1127721506564,3355.499053976279,3163.300979163624,2957.6506124177367,2765.7992826131663,2588.8168689831605,2414.62421393516,2232.3562844937287,2037.8839633196017,1860.247090072406,1735.4865132148457,1668.6495104609685,1624.1842775731213,1557.1908683996894,1446.95709034487,1307.638380202667,1171.4528859771017,1077.44212877982,1065.9232685086536,1151.869768086161,1306.9374427981777,1475.7972521353618,1638.449530854009,1797.0334597841866,1938.7459780536183,2049.8217963690054,2127.9926451418683,2184.7253099194563,2242.4742327789663,2313.208844243998,2399.1010096406208,2492.9521844607557,2582.909269724621,2661.977529806851,2738.557225174352,2827.883587987524,2930.093082925702,3034.9170679527447,3136.8532356846117,3222.8480522948016,3283.4863676167442,3328.934336589525,3376.607924248922,3442.197177609115,3505.838872858337,3544.0847210319766,3557.3303205798543,3546.703391021716,3472.158287452376,3335.38338604294,3193.363707979951,3102.177673886418,3059.1612293860667,3050.4143990776893,3062.3378959351553,3077.720362858094,3091.2160038643856,3113.0816031451113,3145.7559286749347,3178.762361231345,3198.1665954050145,3195.565957588384,3178.664981971238,3159.325981403376,3135.5770978580244,3107.9979569454704,3090.2475572961134,3084.1836238709275,3076.177793086949,3063.2129176315766,3068.6035210232167,3113.822601287746,3187.0778372302852,3260.317153686031,3314.1355246443954,3321.5159448123977,3227.597434861834,3021.5136233
7kg_10bpm,10CA,3469.69928187,3568.6426644940093,3720.2084245844217,3910.9542620624643,4105.525786106045,4270.509630883487,4407.999871616377,4531.199267984517,4617.582841792248,4654.876249128844,4620.469452122212,4538.871859771703,4452.782432002,4406.811536857797,4422.491026304785,4470.430198108001,4493.6579026679365,4454.013529031913,4343.86520253429,4187.820001527749,4013.4784264344376,3837.792427994949,3681.349619074771,3554.0911414135426,3450.615986229562,3363.667560331141,3281.163494383455,3189.378854331049,3068.7741526918794,2902.0493179392242,2694.836133339588,2472.9877735654504,2267.3985321472232,2102.3558275488713,1976.140414722261,1880.0022849094366,1805.3741313364674,1742.126869403246,1683.7817927519773,1617.0911922925939,1530.2817769122619,1430.0888110872506,1340.6776920981301,1289.491404454062,1295.4690128724844,1360.2964983195084,1468.6974695447739,1588.9038182914871,1701.8946842762907,1801.5474589066455,1888.1638825314915,1962.3788866491961,2029.5028363746324,2101.8484190058552,2190.1074433721164,2288.3525933205024,2384.9813772651205,2470.6376509409806,2547.2197002709886,2627.326298631021,2718.7147688920036,2819.0217691041216,2928.82364726367,3032.7950099511113,3107.8490590048054,3148.5710199948003,3166.562074566725,3170.1786099918836,3174.337904934772,3198.7781126323507,3246.526858176279,3301.2625219209394,3344.1625473491886,3369.294151459323,3391.2006415196497,3419.1628156499537,3428.8934943213317,3396.871296575208,3328.423725895306,3258.620728049869,3216.53308722204,3202.092235148471,3201.916529750385,3215.3729682121816,3240.628312488443,3265.261168871045,3280.0699389658675,3287.8217403703675,3287.6931503318515,3269.305880844052,3229.5122804330267,3183.7182134158074,3158.5652596474665,3162.722882145887,3174.011509060981,3167.543701649852,3144.770221005771,3120.3654288387397,3090.848307456314,3031.9794500260577,2918.29863776
7kg_10bpm,11CA,3582.41088868,3726.8321918812294,3880.983354481889,4044.8975600440294,4194.07394142,4302.186596220588,4370.903459809606,4416.797955260983,4452.18200755,4475.015002367361,4479.945737887628,4469.840998740772,4453.03602317,4435.87195791006,4411.60161179972,4370.003213796594,4306.74457139,4225.681405218717,4143.274220684889,4071.173923599671,4007.1728895099995,3941.6542378308704,3867.148398899119,3776.6932250201758,3678.5001867299998,3586.766404517311,3503.7258521268463,3430.5052160816936,3362.1534715500006,3292.307783668326,3208.340465077782,3099.0606066186274,2963.15101782,2805.9637685754565,2633.6755598629966,2457.5554028167035,2298.54635845,2168.349509219295,2063.911944416035,1978.9320956648737,1912.4701394200001,1856.8076954209484,1799.1431155915732,1728.1393291830354,1642.26536251,1554.0730866264203,1493.7458172024026,1488.5484095594074,1542.27964649,1633.68505700185,1736.8076874040275,1831.5682397680448,1907.7993415099997,1967.6712113917692,2018.6307183589436,2068.4997255742114,2121.95722167,2183.6746933068684,2262.8481034844967,2355.8181617176456,2462.25950197,2581.2185278410257,2709.748504725047,2838.1243634980774,2951.18389465,3037.80797209759,3097.3203553905464,3138.6154300630724,3174.5268350399997,3209.5501605850322,3241.4509340050918,3272.0068728870597,3315.1824428,3386.9546328339984,3478.754717301843,3558.1853093685727,3593.1424455700003,3584.7244480687714,3559.758035015369,3548.980123634467,3555.5223444699996,3562.4101641606117,3559.1718269271396,3548.5769837234043,3532.052501789999,3509.2302287183816,3483.0766765384064,3464.039755048884,3455.70853749,3447.2088723152283,3420.8626078865345,3367.6588096537826,3301.7397115599997,3249.4965909194516,3232.178130826741,3232.352435346103,3227.8725758999994,3215.3045819635468,3207.390522626532,3196.482766748574,3154.34372707
7kg_10bpm,12CA,3645.01569931,3743.936896573839,3885.5685059248945,4088.5949449550426,4272.466229941963,4398.516705370819,4478.42068495018,4533.321560230611,4596.91948672203,4680.925397230557,4767.2484698744265,4821.565946380094,4833.404727444519,4817.912486827093,4795.3679084097275,4768.298437378401,4731.135679012084,4678.3412440184175,4614.926541115188,4541.401926764516,4453.722297701959,4347.544820406195,4220.542927150308,4078.601886313532,3930.3833251103506,3786.8583842800003,3662.871998691172,3550.258961072036,3434.156565248892,3316.1275186951552,3194.4300229211944,3051.215050716638,2876.880407121986,2673.4019711016285,2453.5543001040455,2237.476522211949,2038.8148698196874,1868.0167546230539,1721.5870890818685,1578.1762816930473,1420.693581801867,1254.2593332978558,1101.1707354362557,969.2410992293766,866.5487046604514,793.6571314628449,748.255477694736,715.238165508303,684.6916256908554,671.5315688537006,696.9335530500001,765.9437213065175,871.5895190996151,997.2362238929387,1127.4810750614238,1265.0227822892266,1409.8253644396902,1557.8612977728185,1716.3064844844353,1903.3934353893756,2118.5389083395808,2338.419488241202,2540.8595808902505,2713.884152763697,2855.179845866352,2975.887564990298,3079.6913238110415,3155.064558420209,3196.2338797067537,3210.046265117701,3214.3458719797195,3223.5673566720534,3253.098983071412,3297.847589891562,3353.083702557897,3416.0999924900007,3480.446139106448,3541.0092167867806,3588.1850031725676,3614.8136128046417,3617.6968410174927,3611.082150845358,3621.4401001935375,3652.3045444040185,3674.7370385867866,3660.7245752312956,3616.6301720839615,3577.0698443625242,3569.833735434183,3580.4334055399945,3576.8850140647505,3538.420871222826,3471.559352695077,3410.803585787099,3391.0862185824203,3420.632971884835,3465.3913027871827,3481.923679399956,3463.718369871625,3412.803382470211,3324.46778689
