cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-21.41098844,-22.95184433484926,-25.3766548086452,-28.805931716377344,-32.6323416706406,-36.446381717868405,-40.02890623171788,-42.91463283578848,-45.470892309052665,-47.89479993902008,-49.68023229128047,-50.25284310415135,-49.541234806973556,-48.021851844093064,-45.987298201439444,-43.60325092768966,-41.14123401698414,-38.55254729272441,-35.67282968460805,-32.77426061643445,-30.971023086930494,-29.137735478019408,-26.9103022560486,-24.67321860729613,-22.697633178842967,-20.193401866454522,-16.91837903116384,-13.734234036022736,-11.414278542111951,-11.3063998117042,-10.506294376174157,-8.786288432647934,-7.245193740061055,-5.876572854234492,-5.096242834607825,-4.902604001581106,-5.102389632447364,-5.447820303335089,-5.696772932005901,-5.719472157769115,-5.552962771052271,-5.32248164218941,-5.123740224633239,-5.581059639032639,-6.27033212949513,-7.279287721533654,-8.600766351918436,-9.858744782779937,-10.596418877128293,-10.50469506576292,-10.21873992,-10.229423104043931,-10.170433243073854,-10.539316225348458,-10.871050950823625,-11.159058000900515,-11.522604483285864,-12.409617580895734,-13.822177331006653,-15.33447189997911,-16.28343609681502,-16.965635127186058,-17.555351210037866,-18.10021597968312,-19.093093755729093,-21.114140006351647,-23.25740679089585,-25.03400177774376,-26.423873021371797,-28.245937965405705,-30.816954477541167,-33.45377058721627,-35.343671598789825,-36.100473430412954,-35.75054266050166,-34.79978529467085,-33.83743709317564,-33.247730075233406,-32.957203749642325,-32.69518587117038,-32.134825395548454,-30.990234777449526,-29.2136109864411,-27.252470412933942,-25.794384728115258,-25.368961833396607,-25.994586690292998,-27.267561769667754,-28.381373875343506,-28.270339687141274,-26.95058962991589,-26.00055674081414,-26.5685675184361,-27.886940432861035,-28.39893676418405,-27.57551597774644,-26.24181176789848,-25.466980983959562,-25.471708809598354,-25.565217846374814,-25.39502773
7kg_10bpm,2AB,2.95884753,0.9312280732779643,-1.886415049309078,-4.738857289368041,-6.859358300189539,-8.308920787759577,-9.130519053750483,-9.660105888823525,-10.103868207195479,-10.730170008132442,-11.754700533838893,-13.092578391465095,-14.526216032626216,-15.45660933538951,-15.471480429721206,-14.856826735715515,-14.147489932303447,-13.610663953098564,-13.168499542793489,-12.699045127981536,-12.10006203877685,-11.597000482730078,-11.250880930915516,-10.837542820297308,-10.214685799827462,-9.433754193615778,-8.63574089710993,-7.930966519144218,-7.257716868722422,-6.424662442472697,-5.2853565426937035,-3.8863894369027974,-2.319907654162073,-0.8454680003434795,0.6176535870733554,1.5299789782842326,1.8258691605052337,1.6581583516989322,1.217254928054809,0.6608276322170312,0.11156019734271809,-0.314295519455185,-0.6252162954286611,-0.9277930314017425,-1.2818904570304899,-1.6362440073474167,-1.842307544698789,-1.7289694499396195,-1.4014619706156135,-1.183109086113557,-1.3561473087123472,-2.0343280141859683,-3.1420608108184918,-4.3016656817507934,-5.170724665118424,-5.633204800025101,-5.8171363933632225,-5.871983766353498,-5.939578437725023,-6.040059939955247,-5.927962877794899,-5.465818443067418,-4.763929854032116,-3.9590262725027805,-3.186647727843933,-2.5420181262192125,-2.0125923895361315,-1.639730366975126,-1.6037795017510952,-2.219438841493873,-3.6874163626672396,-5.782885293993171,-7.9611801838316625,-9.613294724823685,-10.472466570873143,-10.737299978526048,-10.789343997918698,-10.858756264731348,-10.885641894559647,-10.70970008384227,-10.385175381995175,-10.269319335530227,-10.797419664679799,-12.13607184312922,-13.869822450520278,-14.960406717063123,-14.374076500173514,-12.154647943616549,-9.85388217210438,-9.399370308444507,-11.207626637288703,-13.736554659502488,-15.095034007486866,-14.782978759272078,-13.86336627217419,-14.489384951765608,-16.738337258525707,-19.538926049023907,-21.59324747859142,-21.967996510828716,-20.9360097
7kg_10bpm,3AB,-1.60095524,-3.4487148558909215,-5.41134560209767,-7.369503005213192,-9.175862991477334,-10.631032500691093,-11.606543304653067,-12.157508161438034,-12.509279607626436,-12.901711978915188,-13.41268316548527,-13.988973063527098,-14.498178983671373,-14.832258709852738,-15.100081718747944,-15.414804854096603,-15.624234936767389,-15.495446485229149,-14.992059128309233,-14.388734873714112,-13.711233680304744,-13.015447784591553,-12.318696188458894,-11.57029036509963,-10.69289030451523,-9.70378792434722,-8.65951344422576,-7.6597363929112205,-6.6697314610883325,-5.581610318819557,-4.4237828243926725,-3.3124647640586398,-2.286610396185132,-1.479299098093995,-0.6992369367562008,0.07141340006450997,0.8674149476860995,1.685272218515965,2.4663643360889207,3.1248823445213736,3.6040208133568123,3.9873407151700246,4.231773347038406,4.249746210799653,3.9826080277281712,3.363468578821922,2.3983833875886673,1.2218295307392188,0.009043235117638798,-0.9498058216065657,-1.35708681,-1.253291216549042,-1.1156792476588204,-1.0751521231031733,-1.265381810047438,-1.4914532320801686,-1.5758760563047791,-1.4756298741710712,-1.3889346492917547,-1.5895501882413132,-2.1078251841196147,-2.7125321945311525,-3.07298116670867,-3.0147520950783475,-2.620902035781321,-2.2221602434341943,-2.1229357237678417,-2.3824500751016364,-2.8011313299696226,-3.095236180821066,-3.2809302691409776,-3.588151876518728,-4.169646327799153,-5.077415962942298,-6.354536003019467,-7.879115810140332,-9.455315346853553,-10.956925903280938,-12.239374997714979,-13.248459934673447,-14.040132152429857,-14.792056787845839,-15.80924160547594,-17.13087734767749,-18.3131861004173,-18.742048779816248,-18.190457318841975,-17.367966956705118,-17.47037776943327,-18.920542350807253,-20.778424699657084,-21.67248151758655,-21.10877232144234,-19.843469414202048,-19.071485332273305,-19.378103598037928,-20.4933736323384,-21.705267799879913,-22.441580805034487,-22.395423804122622,-21.47555447
7kg_10bpm,4AB,0.29448155,-1.745560794191252,-3.6438850712661153,-5.059629771788578,-6.104239846542685,-7.116196448463876,-8.253153261739858,-9.49072760696124,-10.695431854896617,-11.867742990775346,-13.086934392162068,-14.367979700953075,-15.60475283438263,-16.497383259007293,-17.013912568229333,-17.231274157998097,-17.202316095871815,-16.99750475510465,-16.55862761891146,-16.11026867731392,-15.491446564550994,-14.460545303271854,-13.041450383343971,-11.513323033441916,-10.129991753843258,-8.963131124841363,-7.764287178320073,-6.1984073487969,-4.147837997995652,-1.7794177758002632,0.7435786338313983,2.775739314965497,3.9226067832606644,4.616062415684623,5.0672609872557315,5.36581860804352,5.4654308071929965,5.414642968911222,5.209623775178143,4.90335312075304,4.498816254263132,3.917855989957158,3.104574898227623,2.053108647313092,0.8588996377906353,-0.3688979937958147,-1.5261053173417842,-2.627254174842829,-3.7112425176424075,-4.788622499095299,-6.076818969516629,-7.660203241950979,-9.372417188368825,-10.721983621787752,-11.496259591432976,-11.812892550751835,-11.995108131611126,-12.405639092602005,-13.09194669905368,-13.772540957011165,-14.440863354780433,-15.169710426833138,-15.858831920163519,-16.559076059060978,-17.304094228565997,-18.048461361331437,-18.776741930938943,-19.56376693949948,-20.359379822885682,-20.78452549382329,-20.23868264241444,-18.385013616490188,-15.6974764819486,-13.513401981683042,-13.133656300527413,-14.65695921643443,-16.98168460520135,-19.03851188082461,-20.45799391481312,-21.444704831841086,-22.331773946406642,-23.23362765007253,-24.015187285048682,-24.385319557810913,-24.102440402168913,-23.24302847325054,-22.248091599367083,-21.539843221239373,-21.136142649534854,-20.837080691075357,-20.63662578561924,-21.04456135709414,-21.095636447377906,-21.620144546969836,-23.00536594485878,-24.679253352996174,-25.630712682758784,-25.30387841380783,-23.875561812112423,-21.858983018621498,-19.77135025
7kg_10bpm,5AB,-1.48575991,-2.0809920746892416,-2.712130858381587,-3.3422292476611597,-3.9621452891640283,-4.678582460000001,-5.610505670414803,-6.849515333178107,-8.344115883473702,-9.884023607731232,-11.20615426,-12.044476560339712,-12.306644577074366,-12.174173726204652,-12.007533421104831,-12.002639519999995,-12.073618327303786,-12.170063494128664,-12.291318754205331,-12.545696958316597,-12.886411740000002,-12.979902465583237,-12.589405522658506,-11.824377970263225,-10.70600168885398,-9.45001609,-8.316812455906504,-7.36439903067276,-6.449394056174438,-5.364337479136941,-4.041341760000008,-2.4529219427868916,-1.0033428505286044,0.27193239103339195,1.2236425112573897,1.8185264400000003,2.182212174374275,2.4606437969015116,2.8102609179036246,3.303809988486645,3.90097713,4.497490908608743,4.929966209975663,5.062268980799121,4.887132712374131,4.59564129,4.42395564641138,4.367292364377977,4.224979170457003,3.8011761046395334,3.00854286,1.9639609801094613,0.9717924333374157,0.2664177545049597,-0.22551495939205754,-0.7841176899999999,-1.730402100575594,-2.968473623819586,-4.188741242445015,-5.240316988251895,-6.211207289999989,-7.227891152082971,-8.380013543587609,-9.584525338139112,-10.704912057392988,-11.59076766,-12.217102739359426,-12.596248634375181,-12.820183357290718,-12.930950735498469,-12.969688969999998,-13.038517326912473,-13.250187590655417,-13.658764436565928,-14.23616802730375,-14.859859790000002,-15.336924089182695,-15.549683677385868,-15.546214370666966,-15.508253528609321,-15.60116125,-15.859848103740458,-16.227923195459447,-16.605696056271135,-16.823967594896075,-16.718939990000003,-16.328373321645298,-15.913732546837378,-15.635458970783366,-15.345847751121408,-14.90592976,-14.403724021770339,-14.06029725508722,-14.059949320709546,-14.495094891588653,-15.487516709999998,-17.01933907155861,-18.627172226043022,-19.438616974516123,-18.83495020736804,-16.88105448
7kg_10bpm,6AB,-0.42624587,-1.2223224478670507,-2.4736204449420676,-4.082809611699486,-5.652563805189483,-6.801753772653059,-7.5022293446800745,-7.989307636285084,-8.594581304242423,-9.546460404904284,-10.64906482021698,-11.570631005444715,-12.188638012577021,-12.74323228373887,-13.426924663480618,-14.116184110494686,-14.544347688119455,-14.54269450462958,-14.159088380367644,-13.375905613095611,-12.428453008030237,-11.606604180546306,-10.897172483561116,-10.129953723194749,-9.090048984599315,-7.706593589575799,-6.086687746312684,-4.424606426645928,-2.9098067242181,-1.5743232170685009,-0.6690393146595824,0.034805811094061126,0.5698074466294343,0.9404592173838693,1.114632923584543,1.1580113901793856,1.248267351014451,1.5721713130742099,2.2191604707022905,3.1256280014912443,4.090865948863858,4.879415455576227,5.351069719676578,5.378369417128794,4.956049583812382,4.1029219616585415,2.882178418427883,1.4202300396598022,-0.1083946185585114,-1.5324113246816058,-2.71580161,-3.599091551428246,-4.346214405139906,-5.123994376157337,-6.125014263443502,-7.117026739250358,-7.990072957500097,-8.579100195262862,-8.962726546084363,-9.252013228142257,-9.55984501184869,-9.899522913916197,-10.326585293504206,-10.977867345040137,-11.960745989844039,-13.240135519683188,-14.622543323383955,-15.874682137001532,-16.773773145363503,-17.18491157897094,-17.18888537141701,-17.08242752183811,-17.116660335044585,-17.37155564217438,-17.77088796034977,-18.282726486286915,-18.928138560960207,-19.78360676244694,-20.779900545926292,-21.7545722082524,-22.590926470192134,-23.34594389634757,-24.000814389434527,-24.187049293669062,-23.993342136690046,-23.693734718230594,-23.243356708251373,-22.82047286351063,-22.601311567998607,-22.464683555649263,-22.1332743982261,-21.53396793308888,-20.837574800416704,-20.414048329696776,-20.61366018689285,-21.14915284251268,-21.996691198167866,-23.150970694718826,-24.272784530443033,-24.83796473552194,-24.49862074
7kg_10bpm,7AB,-2.11620815,-2.8764851716723667,-2.904230621654367,-2.595791187108151,-2.7288314209121483,-3.738366825520242,-5.438296407693035,-7.445925910866035,-9.458098304881343,-11.259290235412625,-12.67135023312065,-13.591352749206527,-14.027241442011244,-14.296560851854938,-14.628718044107195,-14.889224649340623,-14.85883770523296,-14.352899346881763,-13.50679036935528,-12.788336328271953,-12.329645255046657,-11.778600379197277,-10.843882831116545,-9.58832135878057,-8.393019074916563,-7.526491742957973,-6.902498485755308,-6.1393767494423015,-4.997802863698942,-3.4519815386022263,-1.5737498337562674,0.2608239481122499,1.991893873828135,3.2622903374369,4.0823371676650515,4.456242382037112,4.484065784998878,4.291900607276684,4.008447153521965,3.660081057608626,3.1958351967137943,2.572665611293274,1.6480160211246295,0.34595572365761385,-1.1222629939700681,-2.6246206285395917,-3.9026896782224165,-4.801862469198999,-5.26063164795341,-5.217916014518749,-4.640594385482226,-3.7209296810950274,-2.920194488492694,-2.7005730105029357,-3.338367116133933,-4.748799802120362,-6.734610123808591,-9.00242397572422,-11.202332727636099,-12.971556756569566,-14.137227320323815,-14.842080299255331,-15.43362213330254,-16.0658447292821,-16.772932411477843,-17.5512289008203,-18.298152155395698,-18.8998467544818,-19.38856356911631,-19.95064723528276,-20.61138215332205,-21.22919529201663,-21.700499012720652,-22.14227776271914,-22.703099441785326,-23.280246063582418,-23.66981143245747,-23.667814515240533,-23.222170900330084,-22.55220369467448,-22.091648225078245,-22.215951895837463,-22.96326548050477,-24.05096909168397,-25.03129254824141,-25.62958576887213,-25.91983021162804,-26.03213840095779,-25.875506899102255,-25.28130682038224,-24.247249230750754,-23.12637995249864,-22.552285384032015,-22.838698262037337,-23.576415909399206,-23.942884890579617,-23.419944771170154,-22.06948047091165,-20.333500469496588,-18.67654331821781,-17.32346854
7kg_10bpm,8AB,-1.75726328,-3.1760532809457915,-4.704581895524467,-6.181369041189717,-7.4716598820949605,-8.496400786411947,-9.282954092235954,-9.836647111436452,-10.188984527052215,-10.499649306127555,-10.961200610863983,-11.608975003546467,-12.224590785985887,-12.555433652998618,-12.548518286682546,-12.392469451185546,-12.139995039091122,-12.154047067441972,-12.49516622029836,-12.869299436809001,-12.792126401339516,-12.424477796248958,-11.751315197827825,-10.926238819232593,-10.205126950098384,-9.666508209253665,-9.010290137308042,-7.9543987246192875,-6.485271547940116,-4.803103879861111,-3.2077406836717994,-1.7980703169870176,-0.6641484509415811,0.4581774335855432,1.2794952271406936,1.7408596747314482,1.921492737279074,1.9416064154103736,1.900400161358179,1.8324461937875391,1.7233938343652355,1.559938003454143,1.3360201185964808,1.037300949460116,0.6852909010676537,0.33946357472834937,0.0416301435301328,-0.20965122271758455,-0.5014279167756472,-0.9952443728012574,-1.9490170000000002,-3.213531372476541,-4.7839827759698945,-6.29469195792994,-7.448712982483361,-8.242873498486107,-8.837784132574358,-9.480779113231781,-10.227245961518392,-11.178348053111733,-12.017033647111708,-12.733743191736938,-13.267752481074803,-13.70460435078152,-14.072139577387691,-14.365184112709747,-14.592890377975635,-14.781426132032742,-14.838911014695935,-14.682076546606476,-14.156904116025881,-13.398637567724052,-12.988726710370267,-13.493504859485645,-15.009191115851293,-17.0610445324997,-18.93933713979412,-20.274843313393383,-21.14125771602457,-21.82573886257485,-22.491977781016477,-23.222680999733186,-23.99165147437906,-24.709258268285613,-25.2433142493683,-25.601115052813817,-25.960788343664877,-26.52820326391302,-27.0274194687111,-27.059396672593845,-26.450073327027884,-25.415346148841092,-24.387001778180018,-23.786830825244316,-23.808046436642154,-24.3158083222818,-24.894642471911165,-25.237315275420773,-25.07614570191903,-24.04324581993704,-22.08026487
7kg_10bpm,10AB,-0.98170168,-0.17364666791373415,0.9355705289272126,1.3156965698179561,0.7605189119923498,-0.5331394992600476,-2.6463373715031726,-5.549857006659446,-8.50771430663703,-10.553822686788118,-11.113497063680684,-10.620783253934377,-9.865096612418327,-9.158017237724826,-8.449710093860414,-7.938932874371596,-8.022321434518853,-8.53001535499037,-8.964204882087149,-9.0901673133425,-8.964351902919965,-8.436532169966535,-7.386437073919795,-5.768618494703047,-3.8366340308936353,-2.0773980638435194,-0.9676615081605386,-0.44310799831448905,-0.23553412451548106,-0.011170962031625254,0.14752584693610907,0.3285048161303629,0.8007911179800812,1.442957389675072,1.8114917987945547,1.7755638266850353,1.4493487408673749,0.9544042421120141,0.47879069068254243,0.1644688584252314,0.09472023840515707,0.23492880348612796,0.34218997363412973,0.2449372947869538,-0.15626944527048733,-1.0243448238590482,-2.2889972520920843,-3.6899656731062613,-4.6880738156120465,-5.402455824484557,-6.017442920000001,-6.859407804474868,-8.476838111567746,-10.652642230895792,-12.73129891430531,-14.179618109796417,-15.144945735780214,-16.117718019892806,-17.516280239199798,-19.401044187488,-21.462892572957802,-23.49308122885715,-25.6265946112737,-27.922439646089902,-30.0025576246949,-31.15886776984532,-30.73080562424133,-28.608002068055573,-25.930150951881487,-23.944703879710502,-23.59406126813197,-25.162991838400956,-27.358685666774424,-28.355929418823766,-26.940769045426027,-24.31292298648908,-22.36808825915374,-21.07104777936313,-19.27471186430232,-17.236185580554615,-16.37789889815456,-17.03196315031503,-17.567962072799745,-17.265440198390408,-16.94217335560759,-17.63231787349022,-19.177493576059494,-20.715624343250497,-21.389067634247763,-21.03429052389936,-19.981756240350368,-18.44525634330005,-16.618266824763825,-15.03178288348926,-14.3717934437733,-14.673881516876994,-15.048382288761456,-14.48055985158112,-12.723814100031241,-10.521167213563006,-8.63145835
7kg_10bpm,11AB,-0.52377731,-1.912514234128492,-2.9682815336535318,-3.3866664254180106,-3.753517720509791,-4.289822013839158,-4.72099268161054,-5.146752751440124,-6.057715507030273,-7.652398449633077,-9.536676132259393,-11.190526265136524,-12.113243843304748,-12.247679443931334,-11.815687029547737,-11.268844124492192,-10.748404286334972,-10.100262364921583,-9.066043014759313,-8.051227587777985,-7.37698451,-7.093535528144805,-6.948845598647408,-6.6028941923535,-5.860451761561674,-4.784225414414305,-3.622124858564098,-2.4792093703245244,-1.5576377443610592,-1.0811250121007814,-0.7233426603823212,-0.44461365648598655,-0.08184121666383898,0.28363034201305504,0.5058407022717137,0.5515807143597729,0.5105562521821847,0.4370683476312732,0.32081957214511353,0.1801656980056394,-0.03945888,-0.3683393092651066,-0.7044769394552796,-1.1708274677310664,-1.755989955094493,-2.3817415926114,-2.974817567955865,-3.2489137416960054,-3.547855609975061,-4.652161653872227,-6.603796270769666,-8.939527700663657,-11.112100021838232,-12.890507724940418,-14.183024120028147,-14.802008886747782,-15.160341461218266,-16.04435232117577,-17.784367580157234,-19.727720521097638,-20.731951920000004,-20.384212770059378,-19.487883382236497,-19.171198474032238,-19.292203907361614,-18.720912760763326,-17.07688458889812,-16.595552270828033,-17.791011922328344,-20.21612892673275,-21.77100062136452,-20.99366582429141,-19.10527804682153,-17.4847325958168,-16.665363190855526,-16.09839377251115,-15.237731768385862,-13.986389755149327,-12.745319776082463,-12.246038838648438,-12.409772920000002,-12.545927965308525,-12.068636653964898,-11.296063672337434,-11.21625433343414,-12.587205190486806,-15.075890125679427,-17.73512868669455,-19.60887529363266,-20.06526435625433,-19.32924915499273,-17.936445824404114,-16.466649065496448,-15.375462139592752,-14.894477622438073,-14.82008969070402,-14.835092848934657,-14.617819634250068,-13.913277624439017,-12.59124751845394,-10.83545607
