cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,36.31554413,37.214839188512556,38.14829220118129,36.931149434976135,34.6106466569284,32.017601392911715,29.540053964171303,27.77884763317752,26.391849233698448,25.271303258115804,24.277614781255146,23.401670189681223,22.578722665744245,21.69222159019867,20.559399119543407,19.386095194831277,18.34726702751057,17.583186607686812,17.122694476805385,17.085722738696504,17.306359477081944,17.396872380528926,16.789187975362843,15.779378872514261,14.561241044500965,13.574886343455004,12.630571737541526,11.650761343618472,10.771930712965375,9.934270274771603,9.061634179824795,8.170360281269726,7.32027714564554,6.786314615178134,6.459311679396908,6.100420389025548,5.722245458955439,5.216804905146126,4.716682764200328,4.063253142403953,3.3012630214422733,2.543073787403581,1.8789435578524285,1.3585438899251738,1.0124001551246498,0.8530231416506899,0.8486951489499397,0.9457215532611292,1.1029216320138118,1.2502470435492914,1.3100585095513761,1.2291238761579724,1.0281665883736053,0.6151824259471375,0.30163102632093153,0.07473326185397271,-0.1090023142767051,-0.25135711802109745,-0.3578564753424326,-0.42677204629934057,-0.4611832632482425,-0.476018739999841,-0.4633855445206226,-0.39280418072106343,-0.2310789305051245,0.017061439066613407,0.29487829437634844,0.5282037281915104,0.6609968642863975,0.6739272548908023,0.583776249914438,0.43760426052216544,0.2987110135229432,0.2294358670382396,0.22671808400529003,0.25482166687711044,0.28218318859553726,0.3238370080375613,0.38675786720771,0.4832097956402781,0.6086098480767703,0.8016345602578813,1.1546730529743716,1.6744545570637994,2.158476971172854,2.7079030380540248,3.1623449567520114,3.420481366298389,3.5850788555173203,3.78860629196672,4.074112159635933,4.420583851726295,4.772449200011298,5.07530304661169,5.345166189743933,5.62831492232102,5.936082614084235,6.310391673985484,6.72179410688621,7.122030661831225,7.42964882
7kg_10bpm,3CA,39.68635334,40.66411347776654,39.38002321135566,37.25047631147641,35.348227808212556,33.701006076179645,32.3923460576067,31.334957848988843,30.508938472350522,29.756357685085973,29.10705614982396,28.486579871842753,27.755526775622354,26.953265038227215,26.075233135249583,25.16915592409572,24.30701133131914,23.555166543549078,22.921920153472787,22.352850099997568,21.818223794644005,21.303334426922966,20.678554281045187,19.902925060064398,19.088265854463817,17.86184357230928,16.29736631066086,14.597720412651531,13.02609264181774,11.600715979804367,10.416273298057872,9.469144128883041,8.708838054368982,8.060461469171694,7.447896810255119,7.207339278990654,6.8854804902622035,6.388657435264093,5.716182013167036,4.93156504878555,4.210359427135958,3.6091132414796077,3.0868913852820556,2.5937318342529845,2.1038861523525205,1.6332317735360684,1.2107773981962568,0.8963281408644554,0.7079218564450879,0.6377046023659612,0.6702981500000001,0.753550154083195,0.8544590974168635,0.9387341505888641,1.0018129186284805,1.0521976272817986,1.0914481017661968,1.1079942202316566,1.0850414527760186,0.9754309540926573,0.8073370019052041,0.5924265880842204,0.39692009178275617,0.1945708018646353,-0.0155498942597176,-0.2072071494144031,-0.32592705357703705,-0.3833379909377621,-0.38651007001538545,-0.3490450556076914,-0.2904804368988211,-0.23251130633281986,-0.19850244904211395,-0.19788904990284537,-0.2505200731119092,-0.3192757897253271,-0.37293372483367976,-0.3622927918389585,-0.2308461010058311,-0.031688131861856726,0.17712788999093101,0.3540445093273378,0.5314125704126045,0.7214569893660375,1.0004366388258705,1.3439067133973297,1.6928914603264278,1.9924345658485103,2.2645302043031053,2.5210943229108005,2.8393995803352805,3.2660967202908178,3.756182807907712,4.1807745345855185,4.593314485944195,4.9544713445136095,5.283719610051104,5.604813157825698,5.919170939405962,6.2301304484835285,6.52590696
7kg_10bpm,5CA,37.59872211,38.64776920052718,40.43967929354088,41.11108510317215,39.420902864669586,37.419591748922734,35.178109351667075,32.95479087646877,31.337872044181818,30.12004603856014,29.15438757203676,28.312111275366828,27.51547986558479,26.659653313583007,25.90377603552082,25.085756380233043,24.201641315017344,23.230257100650956,22.17252200391633,20.90935497287607,19.544939649440916,18.327809309673448,16.781251024186687,15.069121391620657,13.506037081111646,12.207626974069644,11.166202478837034,10.392057747619745,9.866126961086433,9.48712397232453,9.104315914346913,8.607649544993107,8.248547095552052,7.683624407627285,6.885433214677194,6.075111994015961,5.289067467162584,4.555319135756833,3.877188068525626,3.267760008310951,2.7798649051257023,2.4587877620663443,2.282569911421271,2.204248991586283,2.083358011384402,1.9244618109953293,1.7484154136311572,1.6079577971917225,1.5592388606169076,1.6024489005014313,1.69318628,1.7610649422355444,1.742006561093422,1.6130478633533445,1.4007858818016496,1.1156170566370154,0.8650568598688386,0.626853252238485,0.42894887383224223,0.23110078539977943,0.03299903551944382,-0.12551149676546444,-0.18799577813238963,-0.15630549799829907,-0.1433511036129894,-0.19420001213587904,-0.3415663858892836,-0.5647655548836362,-0.8137862293125799,-1.0342962466237768,-1.1625931864519612,-1.1572858988337036,-1.0163377933239366,-0.7792947720992953,-0.5746049897422306,-0.4839051987861399,-0.511287284397435,-0.594138509016533,-0.6595102185717306,-0.6361340996835042,-0.47257752200537145,-0.16010414171129003,0.10369137238415227,0.24987265775286704,0.39936164319451944,0.5947563511219242,0.8102081570802222,0.9756009114023774,1.0979501487921812,1.2092164861710524,1.3684934525841106,1.6179022046786835,2.0290892066864346,2.530436787648706,3.0236498519409696,3.5144484642037273,4.025228564805791,4.629271958827605,5.340840589206992,6.066180771877019,6.64488738
7kg_10bpm,6CA,39.42677322,40.600743045049555,40.374760587092894,38.56866854390265,36.874099605787066,35.183018237073014,33.489304362104306,31.996187876574044,30.665604949676805,29.51685938119948,28.523085317536204,27.576793566361076,26.620416096803467,25.594562316861246,24.5666593306697,23.70108070672334,23.182256492443976,22.839616396005738,22.450013373687117,21.760773319324624,20.6024694638374,19.382068089919358,18.19569010484178,16.78575112644464,15.465107620741733,14.030600999999999,12.793413588206667,11.721010188508446,10.836478177889784,10.150165311883736,9.663769869381534,9.308643025996838,8.950931931776468,8.700514123566066,8.292411917781793,7.550559521802471,6.600635053577326,5.5691050304790695,4.76177033224774,4.052984615730326,3.4360377535928492,2.9204028347526987,2.5028858221140835,2.165487595681413,1.8871752140508549,1.6717606063644446,1.5083655832871399,1.3659122411671338,1.261372893665254,1.2174197016054473,1.2267086,1.2476354027385825,1.2356217670221732,1.1550466796555652,1.007209140943795,0.829304880700653,0.571973378747785,0.2774073127874924,0.12435460773518395,0.015108512987257627,-0.06261876991580134,-0.09769565703808085,-0.09196777118775583,-0.06551200577547245,-0.05585738130763449,-0.10504894969135065,-0.20746543806194465,-0.33356375454879267,-0.4294183719669275,-0.44694043817929047,-0.3651804658949204,-0.22288455944209312,-0.106794744162367,-0.05036535875622844,-0.03708515398913765,-0.011712750000000001,0.0786808053099489,0.24076190824671068,0.4502890777189574,0.6754550599820204,0.8902474435326176,1.058373849680611,1.1489857660385507,1.1585888491102765,1.1280270435246502,1.1221122140204967,1.196471667757836,1.3567243215071585,1.5756419714504057,1.8460314618749198,2.1385984183940243,2.3931938807327024,2.596373683670485,2.7535551367805797,2.9428662582761773,3.24142914817906,3.619557250102516,4.035338260805754,4.503315400309553,5.047602265455415,5.62910757
7kg_10bpm,7CA,38.59026281,39.233899633471715,40.19505486528743,41.473056799881086,41.4291761553449,39.51945393586601,37.21459463425478,34.83243632087929,32.65631560255074,31.041600186742723,29.92825350453125,29.054855169068933,28.358214370623067,27.550750816207984,26.38414226120897,25.05490821141226,23.833754421356396,22.88814377325372,22.061712310663093,20.95670785601287,19.545290425203333,18.462125638955442,17.467452241904915,16.620683411804077,15.825443403783769,15.073411958981513,14.283536754813762,13.500647210004338,12.869311350647825,12.289065319390572,11.687625881862981,11.017892102537711,10.147899395191407,9.208882048836081,8.523635732756107,7.803962010813537,7.087236863213917,6.331774388728018,5.62293625108445,5.069907218024788,4.540509057616926,4.045876435009595,3.547595106963394,2.9973119550613188,2.409114746608042,1.8683927672953156,1.4864522413526964,1.2943407815210424,1.2554889321424232,1.3356947865534956,1.5456240846550007,1.6429238147742196,1.585114637716472,1.4299044675624855,1.2514883960893746,1.0499256230052452,0.8555114939303105,0.7237081024880695,0.599396267587072,0.41293044680456165,0.15750592286880752,-0.12005130051740626,-0.35820686804343094,-0.5215593631177385,-0.6343160231117304,-0.6993027909281475,-0.6914669898979243,-0.6304365508004004,-0.5675331023216138,-0.5071487219709453,-0.45389847765935903,-0.4170133253991163,-0.4163016237851507,-0.4560619672564962,-0.4534799388248094,-0.39988234048924903,-0.2927424635427451,-0.15439692470517227,-0.026140027641076594,0.1443027699701398,0.4129481240248392,0.6526803581069777,0.806877848771484,0.8988401092888878,0.9424916959121884,0.9931822006986165,1.1196037541453692,1.3583219532437514,1.6428451523716932,1.9097401419842073,2.1529733466882166,2.4002960663782353,2.7159187530017896,3.0785597022400086,3.45475884672291,3.763236032039003,3.9606278226089473,4.176791973629483,4.5546594256012956,5.117768546617265,5.76808555
7kg_10bpm,8CA,30.7136999,31.479387905444487,32.03212196164686,32.40052729678417,33.18399493463602,34.99903030966778,37.906241741255464,40.51111640130188,38.81675638433122,35.966319768734664,33.18983050615588,31.210664077113382,30.015858770556697,29.146754472590345,28.260320191289544,27.113829907097095,25.72636659373541,24.36367831495757,23.278775703327383,22.499738348804055,21.700736732758003,20.595853992389365,19.31896974750488,18.149858517531523,16.94423612849989,15.166618927029063,13.249792018845671,11.197040363805304,9.61739444969082,8.73878301082876,8.455193102354475,8.511346358702239,8.675485401436864,8.76422697128772,8.674852999685056,8.06239143198452,7.012035380671859,6.037799501983516,5.42348847306461,4.812033802049949,4.041764485664808,3.1635373568479515,2.3015275186448463,1.6036306439120445,1.1655038230828072,1.0864319448142508,1.2008580305227536,1.3446769979879123,1.515295013696522,1.5776838385442127,1.5375851999999994,1.386692094614971,1.1444800004424758,0.8212005367671091,0.3909732427697112,0.1567051184107227,-0.02937594787804571,-0.21192146061387349,-0.37759310138496976,-0.5092532023200943,-0.6537353662051217,-0.8363069022428449,-0.9299927814870514,-0.8514410449433667,-0.7407470987367164,-0.7166245513041565,-0.8509651155173644,-1.0926620968506284,-1.28175133525897,-1.2898426469511823,-1.1469620964149925,-0.9818610806449902,-0.8348194822824919,-0.6682172380479353,-0.4880470307355079,-0.32200118749000617,-0.09104355372708207,0.19271197346756055,0.4419771726501419,0.6709537245746252,0.7862437117598842,0.8266929504773022,0.8250788840182995,0.8229635197161107,0.8941626971116441,1.0876997916722468,1.3495578716755106,1.659213405115793,1.9404231234086764,2.126559135296078,2.1607203598580043,2.084902270610162,2.0385045053696276,2.165135032283974,2.495883193800273,2.89918375898516,3.2220683343850705,3.501106075411669,3.914367275203068,4.496502225072349,5.11446464
7kg_10bpm,9CA,31.0429496,32.970887750854665,35.59289820918128,38.18771980177099,38.01443099279982,36.10400990455935,33.265911876698304,31.22428687438652,29.41483993327036,28.102016722551735,27.072880593105705,26.11949649189489,25.09185707243825,24.112624010830626,23.396666545035853,22.740045810643167,21.833473595231577,20.648753991873157,19.416103021964034,18.310883529033998,17.19877344118377,15.655992566682448,13.97681090711929,12.42593084593086,10.992224488710622,9.64707604635243,8.650360783432356,8.04592955184512,7.764397074537352,7.569856009393144,7.375762736608478,6.743990929932888,5.953293214524367,5.168807057840848,4.703820863137104,4.310950198803494,3.9548314265919418,3.554974597228239,3.1495755725479544,2.7640926567052233,2.3479181305041057,1.8551146312435551,1.387888050585855,1.0574720105131343,0.7847656579042156,0.5017229920881342,0.12934739256944616,-0.22149822492066695,-0.45609701926164986,-0.6335173861123242,-0.7184540010118355,-0.7450722375601705,-0.78740874751552,-0.894941444693692,-1.046940419079354,-1.213362824033634,-1.3559959316555728,-1.4424923204753781,-1.5092654319974688,-1.6216284924514373,-1.79625803263818,-1.951112364842191,-1.9481710856794874,-1.762071915269603,-1.4690953617908233,-1.1968029336492316,-0.9840752044202934,-0.7867655662895734,-0.5720274255924547,-0.3373276349804339,0.02325468847858073,0.3779551633337933,0.5678084843058386,0.6016461844393655,0.5010086057924792,0.47316846395772005,0.5478733799285357,0.641112895726786,0.6866519053709201,0.7618002909730975,0.859012529888972,0.963185652835456,1.1183523722776292,1.288011944926429,1.442124177504972,1.5919094210208828,1.7103741707304783,1.8069944339787691,1.879581586524565,1.8579835538007508,1.8638073736225982,1.9937260774821741,2.1647016678386373,2.2308943729041637,2.2596321311656653,2.4654753077174862,2.941543504718214,3.736203510457802,4.789209354739444,5.758019253128495,6.44194793
7kg_10bpm,10CA,38.19686109,39.358026660290676,41.119400448088925,42.06161118253752,40.57975580947647,37.861677469365894,34.886847326940746,32.01722056350141,29.86626351778337,28.724044722592797,28.29471718568723,28.347458184192092,28.183711477684607,27.176062384440183,25.26286335830626,23.027208241353403,21.14486606582196,19.8860671296899,19.183190447915337,18.630914482089104,17.977911514646266,17.177878397372623,15.937975073293144,14.331107754186434,12.837985554582101,11.631315295821812,10.812130068158643,10.34436829637675,10.071982225837528,9.801039475960748,9.579006484558125,8.957631963251304,7.952673850987584,7.0383577242349515,6.14978693114788,5.590596412395209,5.150680009027452,4.717943520490128,4.269559364483755,3.750215718124836,3.154626735489036,2.5664292452922997,2.0917836769825766,1.7483298669918863,1.5255118130234975,1.4732301204586167,1.5051400981463352,1.495080927845046,1.4683787092809828,1.4365608073850165,1.3686447876119752,1.255529906867072,1.1376835446093743,1.027273463774399,0.8377650241942374,0.6290670146190817,0.3222084357102409,-0.024470420241315006,-0.2946976668752231,-0.44355639476040265,-0.5097616585748075,-0.5554573956270706,-0.5966695877267566,-0.6528595583666622,-0.7455899871989122,-0.864314565548402,-0.9342894848033131,-0.9674305401722582,-0.9361087542580024,-0.8329680242428651,-0.7129361698417003,-0.6178159882354335,-0.5570052233384988,-0.532301950842958,-0.5328232049311843,-0.47719393283354555,-0.3020075795794952,-0.05405507121461377,0.11138564133405757,0.14934796495669111,0.0986878866751702,0.10194028635470645,0.19095683923621212,0.33457634454934276,0.5119488710172642,0.6754895322505496,0.8573194948185621,1.0316424523704246,1.201741531107435,1.3487118784723886,1.4305658318592382,1.4256085112331174,1.4028080920634027,1.462338308477787,1.6880866356450586,2.0357897538446457,2.4845043778432605,3.0801163302526646,3.817094231695326,4.572992451953884,5.19582066
7kg_10bpm,11CA,36.31820523,37.764483979138824,39.14837690292378,39.24227010513325,38.592857609999996,37.771461286911965,36.865907151061634,35.815231045268995,34.42969473,32.76194652043026,30.98784350037223,29.32689745314266,27.92494269,26.7875419975503,25.873657287957347,25.10487528400482,24.43636507,23.83329568729535,22.998268932709323,21.95257194427456,20.91573557,19.934082948116064,18.90027578624255,18.121234209484307,17.61132085,17.141937781719886,16.73409110991727,16.219502312972118,15.57051411,14.862473426689009,14.209468696782046,13.5050957394888,12.6839413,11.749877129106693,10.67529950247418,9.47719568835592,8.475619059999998,7.539644175295872,6.738588002313449,6.1632969701799905,5.67982714,5.242403392183579,4.770605346212431,4.222434760347141,3.6168976600000002,3.027173861266142,2.6601239040464493,2.4605428148634783,2.37907346,2.365678095649672,2.372907644388674,2.351698960234131,2.30050399,2.180497552443293,2.018876085567152,1.8735948163416072,1.783076,1.7251638066502766,1.5628648276864625,1.3724456722481837,1.08606487,0.8576093483381156,0.7492112491537413,0.7574818190649466,0.84591257,0.9557941147649107,1.0153455709836683,1.0240667573001014,1.0276261,1.0479959460506785,1.07839485653538,1.091038363277172,1.05894011,1.000574965036428,0.9717638774934618,1.0144002210082863,1.09919292,1.1062066741103411,1.0153867193945019,0.9025770824421795,0.8748111,1.0122720372196383,1.2570078370904059,1.5199751786146474,1.7489504299999998,1.9447224827660756,2.1292620634673134,2.3240483952700255,2.5424472699999994,2.788416972007626,3.0338409160187503,3.1851895100079908,3.2135981099999995,3.108214834672859,3.081178279717756,3.2060956591478074,3.5231003299999992,3.9526693465549703,4.479119378882982,5.089484914598645,5.70555234
7kg_10bpm,12CA,38.7981276,39.9195239754691,40.624427417123044,39.01349734470488,36.808840378292984,34.85365797076817,33.126927375306984,31.592865060036512,29.911359522027645,28.211085859150675,26.65145831978252,25.247032257935192,24.161278399494766,23.321965518517402,22.505863450415575,21.601384485177892,20.5646602104564,19.47614666151804,18.342788719199895,17.249607210570844,16.30613350640124,15.567737719029004,15.046922864431098,14.615616984364346,14.203652778672499,13.50925715,12.256505518958491,10.855974580717008,9.722585410700342,8.901018972661669,8.312200473431197,8.062001292994932,7.935765485840417,7.687373293592263,7.298849295346036,6.843121784071312,6.2407634129994625,6.022711949124827,5.89774221108611,5.908035791815742,5.623363053418289,5.040634647956,4.026585420524623,2.9856248647988024,2.1399006221101105,1.5316875428383938,1.0726171800552762,0.6818200774194936,0.39154937671409984,0.21791953404026215,0.22027902,0.30665666411595266,0.5055428697304802,0.5709315252236417,0.5482518593509377,0.432517241780883,0.30245986478429815,0.12146864566795977,-0.0721437083423662,-0.27110555078503173,-0.5242303872355027,-0.80488861242459,-1.0602698053524215,-1.2437354910735918,-1.3038001004818291,-1.2263274015416363,-1.0559233958662098,-0.8734411522703586,-0.7539002863226366,-0.7306519918039558,-0.7871435319506445,-0.8298885195832681,-0.8422451713285996,-0.8227570674622852,-0.8185544131538388,-0.7677436900000001,-0.7435493756162437,-0.7710661794666966,-0.7716776136408634,-0.6672738328308248,-0.4490783699317706,-0.19043201714474967,0.018898321291855227,0.17700885675411146,0.35627804363676896,0.5615383653030225,0.7443647854953293,0.8725150265441146,0.9451627757903016,0.9993669633023194,1.1511125463384304,1.4240133752515052,1.7885221985126876,2.0743552447983125,2.3321918550985714,2.667296545267102,3.1684960522051155,3.83459789556591,4.468080751380729,5.23860131725263,5.99858508
