cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-14.76674473,-13.077538915672493,-11.133193175082969,-11.54655796125938,-13.378982342708843,-15.634812146296765,-16.37447500662788,-17.148507101379558,-18.285133924005134,-19.333116336884135,-19.592847645170277,-19.23961276227501,-17.923225618219004,-14.817374585515868,-11.057824117937662,-7.153746424497928,-3.077569068308392,-0.40895410774477786,1.3783971421733376,2.104621559295232,4.829543472466046,7.10308450457947,8.177292939068773,8.571493377712248,10.513070996312724,11.761511041110177,11.70362702796767,16.856354633022406,19.30851174251981,24.44779936042227,24.509920984687554,18.761970627459092,13.530363606074957,8.562686535191492,5.181352595119415,3.2189378922882383,1.8382544051876097,0.38705192299212227,-1.5764831459715811,-4.2639454044492044,-7.603232366256634,-11.484509840824744,-16.12295582648996,-17.934709944427546,-19.75998915540146,-19.193448232113273,-20.25301727725615,-21.783870546206096,-25.96933413606647,-31.11603372535498,-36.59815472,-40.527002046976506,-44.83226705151729,-47.45578818460298,-49.36634985504633,-50.75251292169443,-51.99127919679487,-52.7055138277219,-53.25805675821004,-53.058765914689715,-53.82249659309284,-54.064449011592984,-54.088337320762164,-54.3667232943947,-54.14915856890707,-53.81054926516831,-53.40903320928789,-52.037068915691385,-51.303124789610045,-51.07409971502961,-51.425721098730385,-52.67266829961689,-53.74974625838752,-54.23599162363378,-54.163431700417924,-54.09930993125584,-54.50497678173407,-54.99515214392271,-54.93371772237577,-54.394780481076964,-53.79477037329401,-53.34969030266518,-53.18420561241465,-53.24492345415308,-53.38329027496325,-53.345256228839666,-53.12111566870224,-52.80392976839425,-52.401314474208256,-52.11928567844894,-52.020899148032676,-52.14106591869489,-52.31218301596432,-52.36946611682284,-52.61134933991152,-53.30525739230176,-54.7858602411923,-56.82207653329727,-59.33141741179468,-60.56689586222961,-54.53921592
7kg_10bpm,2AB,0.34689213,1.4999306512922417,3.5255091244104064,6.535013672147048,9.463744000066283,11.842809325457202,13.638759462721888,14.851983134214768,15.47497504874646,15.640225667434397,15.597458950646548,15.606080540264966,15.858182383806156,15.919201603053278,15.41120149794532,14.5081452819763,13.478525750010956,12.507842506583547,11.655268598774711,10.914366022944014,10.230947748735957,9.673384573113056,9.205553372463532,8.681707411510382,7.976566499038234,7.03724821168503,6.009973194710799,5.056688404970612,4.182522629041118,3.3330671625808583,2.369762589813385,1.2236702262054606,-0.22991840341987385,-1.7671313190000313,-3.123293110006875,-4.161573410976996,-5.045448638583704,-5.8878058459482165,-6.711739073232219,-7.5039819764580455,-8.295116197288163,-9.1201456025609,-9.96381301115251,-10.778168467808234,-11.56175547142128,-12.385496356541688,-13.269394092460844,-14.168109923851972,-14.994861214321164,-15.796681011360102,-16.640839367922762,-17.54192595244644,-18.479746581406232,-19.387819011892958,-20.244457857039592,-21.0353901696192,-21.71384167628734,-22.26139803280358,-22.71295620296612,-23.118614669560085,-23.446194191225832,-23.669622134109915,-23.776715399729856,-23.785489120505243,-23.758050414392113,-23.80546066304449,-24.012505440256838,-24.3160453635174,-24.594939461552872,-24.71905476613433,-24.577813742254502,-24.168061333023783,-23.56769287660354,-22.979094340250434,-22.501052163365056,-22.14434534592072,-21.86603071444518,-21.592430132848733,-21.296067585256214,-20.917270841220756,-20.397750830015916,-19.773350414900765,-19.147042839052737,-18.642585470183878,-18.301053075788627,-18.084924407322998,-17.925826885606263,-17.793141622969586,-17.814948970208576,-18.04596155318127,-18.321606007511203,-18.358316021343928,-17.928717416892145,-16.977526016687456,-15.727472864598099,-14.478090544589548,-13.403599601740156,-12.487220069121221,-11.803009328699016,-11.530754754603329,-11.45508958
7kg_10bpm,3AB,2.32726663,3.396210779930038,4.845029331941099,6.443178199792908,8.148238226848656,9.823859290768034,11.251155466960617,12.230775482302985,12.789752421294883,13.138361703352505,13.348551711150124,13.41321931360566,13.303918977997963,12.944283617971873,12.450626359414596,11.951236735699347,11.415612110225457,10.763606506094538,10.0263370735129,9.316609342626652,8.652205983451427,8.125080964655849,7.740179655031648,7.456571512788273,7.131541719867618,6.5820583380330016,5.846613550648925,5.054446555391943,4.134951644245652,2.9739732601209545,1.790979670569074,0.5960912685704693,-0.4624616943700088,-1.2495003975773047,-1.959649161901758,-2.629193473828488,-3.395148580167572,-4.331960614238869,-5.451291117098314,-6.68125858308351,-7.940976848522032,-9.135139757319973,-10.17132017824095,-11.019414701264976,-11.75277563258673,-12.427472550447227,-13.078921046562783,-13.754048519395486,-14.457905386440713,-15.133464206451183,-15.693288220000001,-16.102381504614453,-16.434498787990325,-16.779916818128736,-17.289467174606948,-18.07119800805072,-19.13719958056103,-20.335572486671513,-21.56413163515442,-22.761866111957612,-23.800915825527234,-24.542480573123836,-24.942194290902485,-25.051652206572804,-25.0237251155115,-25.0458739136922,-25.182235071217512,-25.346687782902077,-25.287551343203337,-24.915869289252246,-24.378735551189884,-23.895574423360813,-23.654801475663813,-23.6846660496715,-23.983000993241955,-24.4125043871516,-24.86784079758164,-25.289708479492692,-25.600874023747348,-25.70431591628386,-25.585637546567394,-25.368237648432217,-25.215071521942786,-25.109100690851545,-25.057680075365184,-24.991514178723726,-24.789864645466565,-24.56420531497362,-24.557504953482994,-24.804174438288776,-25.006293656241912,-24.678155017439437,-23.759473596724842,-22.41362936453292,-21.01343776246775,-19.97099686259178,-19.514197940483026,-19.729734859224248,-20.314762559863674,-21.041691319891722,-21.40015454
7kg_10bpm,4AB,1.57778553,2.571184474902101,3.574738682909821,4.5754352008695625,5.7514247178885585,7.155021706540161,8.739506590984975,10.359670420107644,11.803529280002186,12.998809784556215,13.978304228249085,14.800913239067661,15.486262931698496,15.833607713928266,15.85313049880116,15.613172078202586,15.113868488246077,14.379865570047317,13.402422184598166,12.439478570472959,11.38778042338642,10.161245716438987,8.828858019615245,7.643834477873742,6.8375348619586305,6.452887528958178,6.138090842280194,5.403236576778514,4.058691941580797,2.255833381354304,0.23882212307926548,-1.253772812366859,-2.2415771640395876,-2.9605744474672675,-3.619062238985913,-4.362371978698163,-5.15918638920905,-6.002932513703636,-6.904668639390058,-7.847985745570569,-8.741074255786435,-9.456838517938616,-9.884677574744364,-9.998768929302889,-9.888288284643764,-9.77047067904698,-9.777634648159525,-9.941274542215716,-10.271048388332574,-10.716571106314122,-11.206337184699484,-11.807278837450797,-12.53313438930842,-13.476444085946383,-14.629426301250925,-15.966583605119935,-17.429572951936354,-18.88848692114396,-20.355630046368827,-21.73812791798013,-23.005393146396408,-24.00971244371398,-24.77419798435669,-25.292476255782635,-25.635773027950307,-25.875225250759534,-26.123129225944474,-26.38512831466608,-26.680943906004398,-26.924823397210645,-26.961609703078018,-26.64902204607666,-25.94051948272912,-25.029985975077196,-24.261001201877075,-23.695792157425853,-23.338973141893927,-23.162750227783878,-23.02734484733863,-22.843114294982456,-22.563284047130384,-22.15608531287233,-21.640006871748245,-21.09279320660079,-20.478986053281524,-19.7028061865936,-18.856709430907877,-18.09836545435134,-17.510053770779912,-17.054350895917434,-16.377041143082423,-15.314735369134116,-14.457289469123262,-13.93975753138683,-13.905040799577279,-14.112327188070976,-14.43173529923655,-14.776833437972567,-15.140975437042355,-15.580366557141954,-16.13137316
7kg_10bpm,5AB,3.24692064,3.4706639198598883,4.0053371923294945,4.795170762593865,5.76013690474304,6.880231740000001,7.972965140423088,9.036159872853315,9.882018624903557,10.737682764527724,11.65247397,12.238596387326929,12.42527596833929,12.29837917216612,12.075904507353318,11.812509969999997,11.468091626029528,11.08572429970103,10.678974615391256,10.326296024153947,10.042469370000001,9.734003174811686,9.27917728627034,8.655443833370162,7.862263203246197,7.0117759600000005,6.199620349938471,5.533642349512756,4.8293047226286046,3.8042852402879963,2.445743500000008,0.9204851361495323,-0.5771646052975286,-1.8551366397427413,-2.6681811369338684,-3.18835354,-3.5709905047032975,-4.054875234839701,-4.7788391420609,-5.794140974081232,-7.070691199999999,-8.458355570135122,-9.760882875591331,-10.825815381707567,-11.593055689562663,-12.10175343,-12.439673779604515,-12.681229616991132,-12.882862385802795,-13.098574218199762,-13.394418409999998,-13.84483911246283,-14.523523832329623,-15.463979243896832,-16.66015294554379,-18.06472533,-19.578289394272872,-21.087267767715133,-22.497566877043333,-23.761804030752995,-24.90358208999999,-25.95337194813127,-26.88603206908691,-27.702145199970104,-28.352877746276747,-28.840400079999995,-29.196485142107,-29.449721467921048,-29.621369330464567,-29.724844216226405,-29.760948099999997,-29.714850764443586,-29.58366215394868,-29.358280414413034,-29.018454733693286,-28.521837750000003,-27.804873215319265,-26.85382933365626,-25.745331005358576,-24.610032003564154,-23.60028523,-22.855363641949648,-22.389116895597645,-22.18172580471772,-22.100001827817206,-21.92169990000001,-21.47283058259942,-20.767069839975985,-19.947135380618395,-19.08955845084186,-18.145468119999997,-17.067266024659258,-16.022357679102026,-15.061611503531264,-14.249750846974996,-13.80199865,-13.886945042482504,-14.33061637340352,-14.981266700032576,-15.679770568496131,-16.19192297
7kg_10bpm,6AB,2.74802858,3.09436519684321,3.865253901123917,5.071689177347706,6.502783124210819,7.941357780527007,9.299882619689473,10.551083964621332,11.736802428811929,12.881205265658695,13.838054591025903,14.489894535153722,14.742714442282788,14.732377782710998,14.57089017507124,14.249305582613852,13.743079206145152,13.05582298181723,12.27072294675998,11.43053441108676,10.608081182375455,9.873964311683322,9.213494930004078,8.528465447057195,7.6892277138047405,6.596469743197364,5.27003514473307,3.883836109865179,2.6790232056484893,1.708049628956586,0.9416579655307449,0.285997567146877,-0.3804956763353101,-1.0359840008301526,-1.6606457081920631,-2.2592710492373,-2.937390844672403,-3.7901200264246673,-4.84614481678218,-6.035680836751614,-7.232526080518908,-8.315108664807553,-9.145188795861637,-9.687113762873791,-10.00675508789799,-10.211343333669976,-10.371644394915023,-10.578602169154575,-10.907002406857336,-11.403867057588425,-12.07806907,-12.890410725156258,-13.78700191478839,-14.661272056676438,-15.533352372394955,-16.33214798478581,-17.088720924896258,-17.778502142653583,-18.46468636225498,-19.172315715475378,-19.939160077433442,-20.70024821083684,-21.355256042252613,-21.855445164134757,-22.150791503255146,-22.242459472091316,-22.154255528766367,-21.947401564853767,-21.71282985530888,-21.51494412287373,-21.376426244364374,-21.301959415675718,-21.293838920229405,-21.372135010574397,-21.553593871585058,-21.771275914196988,-21.920561650574516,-21.95214811485978,-21.83823209926587,-21.524460669694566,-21.03381472727262,-20.476782355495754,-20.037681163190733,-19.84236187840438,-19.935006945025847,-20.096139203232948,-20.045674486723307,-19.73835876666758,-19.362962803172845,-19.001369776032107,-18.54459724884991,-17.82435620469495,-16.80180448242159,-15.68891865533207,-14.495035064386858,-13.382859394661343,-12.58661419689028,-12.163213863417447,-12.013917151822664,-12.085784731217576,-12.27012311
7kg_10bpm,7AB,5.06888092,4.8689606046084775,4.782395311349103,4.758238624610396,5.1574221690346445,6.149865669465694,7.603819654931519,9.205794214514738,10.770510741297176,12.105110924614905,13.080212436319737,13.635663875226804,13.790344296245635,13.747565460325635,13.62173051997778,13.28697128986059,12.658241555680126,11.679013524511243,10.467585122514638,9.394206319052389,8.607882367840375,8.005213510150806,7.329709819748871,6.566822182988109,5.963329887400246,5.672080229240658,5.5085242151657905,5.140090908388592,4.421804543724743,3.1461285272620927,1.509026844812481,-0.15472357644664472,-1.5799480227235652,-2.765345199882581,-3.779365923308228,-4.637569822114194,-5.41061321149056,-6.151266020017424,-6.906724609314193,-7.658098740491541,-8.356052000614055,-8.943235603776033,-9.401914125152736,-9.701338840411777,-9.857331128707598,-9.934394997388232,-10.11131726874751,-10.528803208091798,-11.270455481206296,-12.306165797547965,-13.496313308600929,-14.620061407259977,-15.64180866383294,-16.591845636435682,-17.490930146959247,-18.343009193731508,-19.12220269519645,-19.833303489822168,-20.443926149921587,-20.93398709458899,-21.33141955384845,-21.64531686329601,-21.949739672662194,-22.255685256341767,-22.567297636701987,-22.874908829574025,-23.14360141548534,-23.338248964567537,-23.468305203715833,-23.617884303064667,-23.80837067230544,-24.036853063539812,-24.29734653528631,-24.59882395126641,-24.865165137508427,-25.00956381484823,-24.909590101203484,-24.514232933171275,-23.855175151757532,-23.035182693890658,-22.151073785292112,-21.359863960802183,-20.746683887931745,-20.246640665966808,-19.72281334200112,-19.123297053119366,-18.51504178504777,-17.95402979122131,-17.475469372042962,-16.982662564656604,-16.51151501352442,-16.180356682828574,-15.931840529111456,-15.80297295073893,-15.748933453720328,-15.753188807751771,-15.898635371803271,-16.23126941288977,-16.68068922209349,-17.14765478331072,-17.48202717
7kg_10bpm,8AB,4.73784122,5.258745817378906,6.112855251580788,7.191498873170706,8.31830990276675,9.45712440519893,10.507108741473255,11.369187589095587,12.053730526250863,12.530322514710976,12.818857547907907,12.944012273258648,12.847809539051639,12.421361712629455,11.77454880431605,11.169754713616362,10.64483439013005,10.386790054004848,10.416972434648969,10.587785396504733,10.644396519686362,10.427403729879456,9.897078163591852,9.204416441026234,8.621583912001386,8.341089841007479,7.794177722236804,6.784976146459963,5.354388788501534,3.540242306909844,1.9536360291030375,0.6861444697573901,-0.5684232438318049,-1.7671342989332977,-2.772184665707903,-3.674087289764791,-4.492450164687357,-5.2388657481224605,-5.929519632737017,-6.55979784238701,-7.112986322965526,-7.613576678011661,-8.13664377320363,-8.749118336692337,-9.453290980957528,-10.192176438158773,-10.907166351500775,-11.591606925118128,-12.312009030575267,-13.136940275081113,-14.09551191,-15.124022432162509,-16.18686139543841,-17.20845969656544,-18.16142001541782,-19.002907613534084,-19.730620521859052,-20.326641852639554,-20.84425340197679,-21.23699409263101,-21.54974322040813,-21.768352871323327,-21.958875320007298,-22.177843526751825,-22.454546590832706,-22.736551069160676,-22.98124669548651,-23.19288460565633,-23.335017240872673,-23.417355609203774,-23.405391980517546,-23.28393627667147,-23.097890773061025,-22.869279442489596,-22.680579395485214,-22.559237886115152,-22.404578012269287,-22.078228551281402,-21.545410981847073,-20.87002979801435,-20.216801959329647,-19.73835853372499,-19.479069399821096,-19.362571331621826,-19.293702725204614,-19.094107799492352,-18.662273829851948,-17.894678685520024,-17.12584268496049,-16.528263320965188,-16.094779240486933,-15.83584098819447,-15.742940862091857,-15.841446006751504,-16.087902281905894,-16.479359664381946,-17.073602322544858,-17.823852020489902,-18.55274689260054,-18.99836741136335,-18.79970514
7kg_10bpm,10AB,3.58087896,3.1226184711149183,2.4728593679008792,2.4826196446882736,3.3042462763446387,4.874793276005141,7.225867583520649,10.200574698196077,13.338702306797193,15.649446233425586,16.354570098994405,15.82532275981882,14.588299195729693,13.138176315436892,11.585129437706357,10.211632236467175,9.3746209638662,8.96781761921811,8.635148105274292,8.199366911797561,7.676605677430208,6.914191346703549,5.6381785180613555,3.8902311594151957,1.877694210576124,0.2983854430544075,-0.9351203108404319,-1.684326352114865,-2.2702246656874836,-2.9261452699783925,-3.495917658811517,-4.001687963721839,-4.645889301433941,-5.319463228500354,-5.83467579216677,-6.209699455588545,-6.530248822424143,-6.837223698177754,-7.1337122595264635,-7.428818957807055,-7.752676562279443,-8.115807268603394,-8.46398966519712,-8.788057836050504,-9.129976693687443,-9.46467165328565,-9.812879902335025,-10.225254300580517,-10.95975412251902,-12.025832160139185,-13.263680640000002,-14.404638149226463,-15.270121942504494,-15.855959766238888,-16.292501271160315,-16.787090558724103,-17.48126638870732,-18.302131267963784,-19.086827129883297,-19.871922010480517,-20.73907289998186,-21.733644756537203,-22.905776142109026,-24.107977708954326,-25.01370736926875,-25.48011507155682,-25.252328438859816,-24.380466934688748,-22.744948570704597,-20.836918422244786,-19.747123078994,-20.135815071184428,-21.973690157691053,-24.242400190335083,-25.467570526322238,-24.841711398564094,-22.907182073910732,-20.9433884881622,-19.737985186885386,-19.404920639236106,-19.310961328518648,-18.58988901702343,-17.22802607235884,-15.67546674957824,-14.660350148562511,-14.49327074197746,-14.856437042406437,-15.071057175821236,-14.730544301287779,-13.862305121709422,-12.794566401884705,-11.969079332065315,-11.66168468296168,-11.815682382645281,-12.206735473482667,-12.448754083681921,-12.200454403195284,-11.45726862338935,-10.7186121545071,-10.235920404071496,-10.14150472
7kg_10bpm,11AB,2.25774977,3.398212878333084,4.594673448608054,5.55226089622022,6.6493642341240164,7.960116143431922,9.223021307076195,10.252536297423763,11.223527936535254,12.313092198341636,13.265119956620106,13.93035597401481,13.896168494670661,13.131173046479185,11.840432957089972,10.44347291222427,9.209405007535816,8.199568509014398,7.3727478104171364,6.777717643562601,6.4018963,6.327865116042314,6.243434395825659,5.749465515302958,4.68428091082091,3.1681525989254746,1.7082632133116078,0.35611078435559024,-0.9868575940187577,-2.2331085412269003,-3.2139126041529633,-4.093460729094815,-5.046378800014414,-5.976004573619496,-6.737631032132418,-7.345031698490084,-7.928847147701197,-8.545762793916726,-9.183409125111858,-9.814294819672757,-10.42414084,-11.04194270631917,-11.72121145900633,-12.425303757653364,-13.027378205569617,-13.509822531664593,-13.993562858199995,-14.53782632137239,-15.157637888004528,-15.848620609615944,-16.536153247119387,-17.167475511634805,-17.73614791108522,-18.19229587521681,-18.47717144394552,-18.567309247180006,-18.576552567615217,-18.740681738342015,-19.17889086762656,-19.875028823599123,-20.65845043,-21.29630097308727,-21.08514488708418,-19.993008958444992,-18.365458604573167,-16.37610326918863,-14.20682208842417,-12.544029933360138,-12.085307793205722,-13.30279003577472,-15.582693442711959,-17.64836041354542,-17.714742851220265,-16.502385856301338,-14.804730275927568,-13.397113708909995,-12.650829144380554,-12.400826864898155,-12.322793481065167,-12.107982152109551,-11.78027313,-11.462824680215459,-11.176461189158223,-10.872131592509305,-10.509907078207428,-10.214512302969954,-10.095260613952853,-9.961928909050926,-9.716638845847852,-9.655160441169947,-9.586189108165717,-9.389868853560335,-9.141429395170105,-8.81811630519861,-8.475486215602357,-8.383196076560285,-8.372048056781527,-8.364645841618776,-8.233384755753585,-8.111827316781723,-8.00232257
