cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,-18.15150223,-18.709328967835113,-19.438996207617983,-20.05069407012876,-20.34904143003609,-20.217666440000002,-19.69969136665548,-19.14968982633512,-18.83193900605083,-18.78375100090338,-18.82154045,-18.691099434185627,-18.253712490478915,-17.41959167232229,-16.260271992213365,-15.073445719999999,-13.901830429029289,-12.76207997916286,-11.75196514487875,-10.954382672465956,-10.45819397,-10.141771911678694,-9.85961005357742,-9.559271607230077,-9.201647455279351,-8.80357596,-8.38123473998245,-7.975427684547481,-7.615032985633784,-7.240782171812478,-6.774274560000003,-6.168000462667162,-5.400179743110901,-4.519901714934433,-3.608874467986774,-2.78434341,-2.1120428247655028,-1.5571709394571929,-1.037778823971459,-0.5037536780357316,0.10377872000000002,0.8168291244676338,1.6358863713857708,2.5162213499802073,3.3887163361666204,4.17821788,4.84555429646635,5.422528943497168,5.952509093628887,6.494619268108972,7.08687303,7.782582797013577,8.609878737562342,9.559676125331636,10.576878951486583,11.57678417,12.467457610114343,13.247693846917251,13.9226478247225,14.562171546371736,15.195687909999995,15.847911598461115,16.5177808405904,17.134382715058642,17.637070402891364,17.985278219999998,18.165007638601722,18.18948550097174,18.102796058331815,17.968165148829314,17.87546982,17.898339526604452,18.0523125447042,18.269504768923728,18.452334657995408,18.54782558,18.512912592446423,18.371063355398757,18.1704696921705,17.948641567809222,17.734022419999995,17.5084718335107,17.232923045402448,16.915090138657657,16.631336058115853,16.500821850000005,16.654644439673742,17.204766496774372,18.123745408129214,19.170612847557734,20.00974236,20.396958644430164,20.446850792542993,20.475220121118667,20.698241149300898,20.99136085,20.98797656391667,20.55622706526405,19.886927403556864,19.319918837172644,19.08570503
7kg_10bpm,2BC,-17.2442116,-17.338091172677007,-17.598373682305635,-18.03351092803365,-18.57429766019671,-19.02947670684792,-19.316508363147946,-19.471696781251392,-19.575519493180416,-19.645874884866974,-19.654760305956383,-19.50171251423408,-19.106929978585416,-18.47138854593281,-17.598030362459106,-16.52856005069054,-15.349956669869313,-14.121409209957067,-12.881922271938807,-11.698349269046208,-10.656072949999999,-9.76120912442519,-9.005793943454371,-8.394114814109525,-7.888750133164612,-7.456305808515576,-7.0754362039867855,-6.741644839345486,-6.402337738157915,-6.057298390972213,-5.693583972393329,-5.309571857515342,-4.9295610473527205,-4.554785101475202,-4.1545452857350025,-3.724532773324474,-3.2122001490156302,-2.5996650106563215,-1.922005123279336,-1.1989114326915817,-0.45096028999999993,0.281295893361727,0.9925709090856091,1.6646932000432095,2.248894883904632,2.738177345652547,3.148901888918599,3.5280303687764465,3.9493186403491856,4.502209596744348,5.212907341217522,6.073363486991444,7.021864908765075,7.971343233165248,8.833839554749275,9.550433267923765,10.112553293199536,10.581310516667775,11.059999665068023,11.682450817135331,12.49617947,13.474070505834101,14.510967176716159,15.561245907071338,16.49497646890853,17.277656911529895,17.92371292540079,18.376519411972275,18.594801141167014,18.627998225389554,18.542932149732035,18.432091941436997,18.364344158906114,18.38627600231786,18.536582767259166,18.849134846328155,19.34680619227186,19.962329182940607,20.587389465032235,21.09291343145708,21.40684253,21.58456003670717,21.769960460964317,22.12602790742685,22.685326295825114,23.313866487758776,23.799397499655537,23.97409367542406,23.778715358785185,23.3996676564205,23.17627543665243,23.349281042661023,23.735167357763622,24.155660256292773,24.477963538899587,24.615169055395427,24.64517630383388,24.685996988539507,24.803833613650898,24.93057690656843,25.08828118
7kg_10bpm,3BC,-25.44660085,-25.855381774830658,-26.3315801705202,-26.743115942210583,-26.929028854540014,-26.812688201895977,-26.466704827988163,-26.050081624662056,-25.673993309705505,-25.352730549634707,-24.990566906673894,-24.455980547398976,-23.61884471705259,-22.49472354982238,-21.12858668865676,-19.617539969031533,-18.04103094993314,-16.498797861280348,-15.098610666986042,-13.856234648179123,-12.793975487911053,-11.914204384025682,-11.207483782471874,-10.656635800387544,-10.21166941829694,-9.83437648747159,-9.476186722121456,-9.09308359793548,-8.651344448114932,-8.104787004377954,-7.41615170776184,-6.6380532701077195,-5.797002702366637,-4.947250669699411,-4.089303546524556,-3.300509254527233,-2.5742062160718504,-1.8636506388106988,-1.1337762198197394,-0.3593829803936507,0.45450351995239247,1.3110245968100196,2.1049603575890865,2.8460766463437808,3.5222692464261494,4.1291445573769545,4.664288659134183,5.166484590789512,5.6465469302394835,6.144930512236984,6.697503445133535,7.333099832049488,8.065924038683885,8.892196806639252,9.807894839560152,10.79803079353951,11.85338015455223,12.94433466145985,14.04293523986178,15.081165058280712,16.037733858903977,16.862240866729394,17.535933124593896,18.04672922099031,18.395395162837218,18.59558068178331,18.68959981153237,18.787358394936305,18.97879005790704,19.298395675259584,19.728621508867263,20.20744012744859,20.66136718027954,21.03348423169075,21.269112723905554,21.344534059029975,21.28559811124924,21.16282434748685,21.0438502431369,21.012355722254384,21.078712460229756,21.245163067124356,21.476249394694722,21.674029601122545,21.76246955823733,21.789720379599082,21.920088220427846,22.31344233986835,22.996618597462493,23.800764340310746,24.51983156107458,25.013049468628925,25.18909177066155,25.062836420371028,24.67082773525352,24.206077446939425,23.82240524900687,23.72195760454518,23.924838046881113,24.31757965459124,24.72102209
7kg_10bpm,4BC,-18.65793249,-18.95981729709802,-19.25533009922871,-19.465622999833624,-19.509330966768886,-19.46185168456278,-19.44837811716683,-19.648222248405265,-20.01967866471165,-20.399559879093772,-20.616506477344707,-20.49898150977019,-19.96731498044858,-19.01880868095946,-17.778915877605918,-16.34756368939853,-14.830075547799257,-13.35345081972105,-12.05471044762967,-11.00275459016902,-10.196877168198654,-9.633325810181006,-9.275576570074291,-9.080587349135316,-8.98115475239368,-8.898718018120764,-8.770552162924137,-8.528343150525577,-8.138992767031969,-7.523461128082504,-6.713075218912634,-5.7924892419877825,-4.857620356027715,-4.021963874562442,-3.265730789372043,-2.5248267563651825,-1.7831344773107234,-0.997739669543768,-0.12809863688753884,0.8236224507128327,1.8634744490500443,2.932639960775968,3.869693873666836,4.5362078901090745,4.952739711910179,5.1512230379329536,5.219115530829594,5.296180484826311,5.5244509994179385,5.989648596666446,6.670668571684837,7.53339382190386,8.53976520747103,9.57864977816848,10.597832701694426,11.573330686528152,12.534180021459946,13.520285940575816,14.578434224909133,15.77399203206755,17.129511204894392,18.617013620789397,20.158580343400832,21.63830377503011,22.944443168275743,23.951482106964658,24.598140900265044,24.88553374037761,24.860256131437204,24.704685898183854,24.621464786841,24.773007159133666,25.191718009657716,25.82508940629639,26.541076892803673,27.188721352040787,27.653401905463202,27.86756137271472,27.80910591276882,27.47196519225838,26.934345579303216,26.32312112764384,25.790978522964476,25.462404597224175,25.376897956802583,25.444659126834203,25.51585591742298,25.491441215695325,25.42874760776596,25.526117222511893,25.953904989960733,26.72716641451859,27.70538690315923,28.69223777589692,29.56535022472333,30.320382587612414,30.922599283744677,31.241785116764525,31.320136108363716,31.279136554854194,31.17618074
7kg_10bpm,5BC,-22.61480331,-23.171080123107863,-23.739015239529913,-24.19740516911539,-24.351066464841153,-24.174596022895802,-23.788851194877058,-23.347123039671317,-23.002744607181352,-22.803155243144364,-22.683442127884515,-22.53425374230384,-22.22205295564358,-21.64200774446572,-20.776433760319527,-19.679025870880636,-18.434064504499528,-17.163255768606646,-15.93541052570514,-14.792273178467113,-13.74353768827193,-12.787920412607523,-11.918435933415227,-11.134717061176,-10.463647863960297,-9.927932531457692,-9.563869231206601,-9.357247953401586,-9.256697025456733,-9.165215657928481,-8.980296787215883,-8.547777979612846,-7.90578602309283,-7.142527386898078,-6.277182461398938,-5.290985770866442,-4.2502740325557,-3.153429598845631,-2.066890177710695,-1.0501266364644808,-0.12015815170933919,0.7102843809663082,1.4306664747247053,2.064083949652697,2.587316443039794,3.05874230108189,3.4999772751124576,3.983596159345086,4.523963441482055,5.059478361323411,5.582370198009005,6.103192655059412,6.641119241759335,7.207543496504402,7.797385401430934,8.402975750586803,9.008075594679559,9.602728404580176,10.195513263342342,10.810548356295229,11.475164385543197,12.202040573343668,12.973230633785883,13.763121239997526,14.546164054617002,15.312482797256237,16.010948044206916,16.59143166713824,16.96411766962919,17.09067989787875,16.982441721472014,16.713833925921406,16.428022389257457,16.217523186091643,16.142620597749545,16.25340114982039,16.501172621255062,16.840839149104706,17.192097146658075,17.478277263994315,17.626953577666246,17.620009777928043,17.462087794229525,17.186588784188878,16.91195783698338,16.772927030378426,16.885685047824882,17.196712332884864,17.58521731761069,17.982635025824745,18.411212685178803,18.98841472732141,19.86414243098159,20.961330342224265,22.048889693562867,22.353219537696788,22.146627934262533,21.447704108758128,20.430596983599465,19.361134916568517,18.18810339
7kg_10bpm,6BC,-21.34001438,-22.0779270946581,-22.9520654890459,-23.584473446644804,-23.58983461009844,-22.927475319608188,-21.91891903318014,-21.031188833061783,-20.483679310037118,-20.222497595431232,-20.040485250976765,-19.740445305766347,-19.240232222966785,-18.53134861114514,-17.661742173082743,-16.680194776467857,-15.644073812096643,-14.60044133839122,-13.577113446235172,-12.586623305622865,-11.637226968584471,-10.759183761106668,-9.980870589520242,-9.335314338554069,-8.833390702542152,-8.50176728,-8.321498578369336,-8.245542854425768,-8.176276046034241,-7.950809823742383,-7.501931044075936,-6.904245924859216,-6.058326084504735,-4.9858791468400385,-3.79551226310352,-2.64301166383104,-1.5937284803894627,-0.679576447225112,0.09670666035766197,0.7919891915160711,1.4523908287351444,2.11850925397047,2.849726358138144,3.671462265427613,4.560973317221422,5.462915618579903,6.316178912232397,7.053190421054054,7.707442386145263,8.319154442523079,8.908730770000002,9.474008393485638,9.986903870372682,10.411512489925268,10.728138178328608,10.946526809484062,11.124114230222029,11.358120332108122,11.75656258868486,12.412357651935183,13.345929086434648,14.519252809406064,15.815351979308135,17.02632602871805,18.011266124216764,18.65480050939427,18.96486892455523,19.033533135832666,18.99606186914777,18.938204627038665,18.92117164180977,18.998266258005508,19.177507254389347,19.432080114514566,19.70638145650262,19.937258799999995,20.069401810690266,20.065802586364235,19.924544377950436,19.67310284882167,19.420070846569917,19.26886521944922,19.33677285269272,19.64303730699183,20.09699448304831,20.49048272555607,20.65950580453298,20.558573224912955,20.42546311992235,20.53465427588637,20.920525324280742,21.432438923152244,21.827005588153284,21.92744866836909,21.836495123501564,21.76198989597118,21.89795764753117,22.278146414602453,22.834559609297273,23.393543138568138,23.90312735
7kg_10bpm,7BC,-20.33767799,-20.362729714287948,-20.252354530105674,-20.162004116866434,-19.95887871842345,-19.550008164293665,-19.04541185488198,-18.702285842158158,-18.704744504357283,-18.996008478548216,-19.30291163612015,-19.32088797776551,-18.917470405779984,-18.149697371876996,-17.162673427520012,-16.074290209647984,-15.011987289636078,-14.037830659393586,-13.149954416052543,-12.35080584960769,-11.62029457,-10.979161488733963,-10.466497254773795,-10.12807163587749,-9.921509301720898,-9.763384393925877,-9.528827088167168,-9.223633774241423,-8.901949089111506,-8.570540576622161,-8.163165399709412,-7.670389001547949,-7.068716378626964,-6.33560733253841,-5.483998678862968,-4.5734164901787775,-3.688392694896302,-2.8664486715011424,-2.0739635290920475,-1.2436427131510905,-0.28601597000000006,0.7731469012844312,1.8725804833101933,2.897643336604721,3.7736487946475754,4.526442937609375,5.268206150228879,6.079094372454732,7.029872928604259,8.142617806824527,9.400151193953995,10.754704806415662,11.913834361856606,12.806471515382874,13.468138663319085,13.997080773470373,14.516366005225034,15.118026515678984,15.841426697076145,16.686866207485977,17.58761635,18.449151381353786,19.076066028087297,19.372996734349638,19.33500956173012,19.066164561576336,18.778472256173508,18.71326734624349,18.977981553554418,19.51026576730543,20.093010494099506,20.557540501335577,20.861256267108093,21.06235110054602,21.236114703571534,21.420015817437108,21.575346265924235,21.614843960698437,21.509842698222123,21.2645762731006,20.92244721,20.557890157319964,20.25116236158266,20.080079771210656,20.07083320391069,20.181443571965417,20.336616901458434,20.535063423597197,20.785664356298387,21.241304844320585,21.89354893233572,22.508767323248147,22.797544187141337,22.580317723502304,21.9309929952822,21.19305291964586,20.746243162130394,20.827303394398722,21.443510276396232,22.13513124162049,22.4629584
7kg_10bpm,8BC,-19.71797019,-20.24817560035786,-21.068211495756948,-22.042685592306107,-22.73836843954036,-22.75941880834443,-22.06405226271372,-21.03348422014743,-20.140666391396863,-19.535879967665064,-19.121002277572902,-18.663002545669443,-18.042852605012737,-17.249734555007173,-16.342536459612905,-15.381480346507908,-14.388286993511095,-13.371721081203729,-12.387884979612107,-11.52850002335381,-10.852600420563405,-10.4012424540161,-10.1448715343447,-9.993725973514026,-9.822598042819195,-9.492071933795616,-8.915239229242866,-8.136835028433275,-7.258911870099486,-6.386070551830192,-5.56949908365144,-4.786663983873541,-4.052862405353761,-3.2736168058768342,-2.4219701666655675,-1.4418538240775909,-0.3841766967927327,0.6501994253263718,1.5828808209705039,2.414757299917224,3.189904557704395,3.865361047673775,4.401918555130812,4.850152974863857,5.258880645099532,5.635574171679276,5.979694587436757,6.310519640524115,6.688341591091237,7.211308056126776,7.9355573338864955,8.837735991863102,9.825525749613663,10.752800779542637,11.526628945176403,12.142639561146337,12.632650718223829,13.106862735395723,13.639249530300356,14.24548641738825,14.909878986617606,15.601685169618424,16.318594958470094,17.022529167688006,17.726825205074054,18.492311753836095,19.382541809351906,20.341121503890886,21.304266219420303,22.26316653448851,23.008113844720096,23.419529993979932,23.40494637441204,22.976161235438443,22.280853409725175,21.60854045547476,21.121298344532836,20.778129171317296,20.534867628418382,20.309210700992434,20.04028454812491,19.779787186254776,19.623815299737323,19.65725666514287,19.87767874197697,20.198038643865015,20.489045768239635,20.69036315259679,20.88352562317683,21.25794279120974,21.844191355987324,22.401043528695222,22.59863571575602,22.318700567184145,21.72222285950489,21.138402304319566,20.84255061960577,20.928606473394307,21.40567635490518,22.1744775136834,22.88263425
7kg_10bpm,9BC,-15.8465231,-16.497149238443292,-17.431605321810416,-18.410139870816163,-19.19632356741592,-19.63501598,-19.788577992985406,-19.773537513592757,-19.494029791629977,-19.150398489782926,-18.75687249,-18.198305614293457,-17.46924068144566,-16.648435928528173,-15.868353758066219,-15.216348940000001,-14.703886460691566,-14.267633859204798,-13.844656725837574,-13.427282820446303,-13.055236210000002,-12.698693168902407,-12.301476930115708,-11.781121898006393,-11.110379640515266,-10.378872150000001,-9.70016968874354,-9.15290290755727,-8.746729075766572,-8.422839514222874,-8.04624577,-7.483622052799425,-6.766265890686432,-5.938802142308156,-5.0178447811724345,-3.9894371,-2.878379320228369,-1.7297497565694269,-0.6055798844722999,0.4564275804545578,1.42442311,2.2972860101702617,3.1421236051200454,4.013328190113166,4.881490009330719,5.646486480000001,6.2427580735802195,6.703017812272116,7.122964198375604,7.611389438157263,8.23795371,9.00333558923816,9.852269502441015,10.712006097522327,11.53883173388804,12.299561360000002,12.97294388117935,13.561656681704335,14.148319572631575,14.777925738058608,15.37434288,15.856791893810406,16.26064571213898,16.64820367107955,17.031818304445487,17.39615962,17.687901928240258,17.782583508467837,17.693948299876258,17.387825414432932,16.92351841,16.46835514224289,16.113076769704854,15.994335954359856,16.054078343986745,16.25705835,16.483776087797043,16.68466186063449,16.81064853246354,16.84816663484683,16.76948282,16.644937331199223,16.590062772755118,16.750998789586102,17.165226504374356,17.73026557,18.234739067980733,18.456412584311508,18.42495197805942,18.338390437489544,18.31437228,18.20235817022651,17.83274847753052,17.223058744566355,16.582763661358218,16.26883029,16.57652072646382,17.562649091303445,18.67033472638769,19.338552275837454,19.27263564
7kg_10bpm,10BC,-21.31554056,-22.14991542190627,-23.051808558577314,-23.86138435955661,-24.29665617286912,-24.2804157516477,-23.94156452326768,-23.506246010651537,-23.16059985241703,-22.92111596256366,-22.600577677702404,-22.006424925389723,-21.096581774941434,-19.999452102238404,-18.823163668653553,-17.688862262153926,-16.648668519253942,-15.734416729431091,-14.920507798155676,-14.15262308748113,-13.414656407673037,-12.729747873638804,-12.147391908388741,-11.68792845598219,-11.29917176595791,-10.887551710229808,-10.405058515848898,-9.844758965283544,-9.23049353888472,-8.55899591206815,-7.894683518812292,-7.244705683667318,-6.556846521907621,-5.796140457216246,-4.963355866616184,-4.082975955323743,-3.1660828579683953,-2.2114804547294193,-1.1875053462001657,-0.06883095831566544,1.1192755733765065,2.2103584260964793,3.0836563096201677,3.743135177782945,4.2379221363918695,4.653289178590164,5.096605066000946,5.585137206763102,6.174157172032576,6.900679974532413,7.76803415475846,8.742231372736333,9.75805397804486,10.726783937451216,11.508403493982962,12.002031707482223,12.233963179380584,12.301367872296975,12.399047255674365,12.69084591844976,13.242250396424964,14.031088813526235,14.927560657780615,15.7448690746147,16.31770612497961,16.59877020466998,16.630147863275123,16.522754028521433,16.414616437942925,16.386088333055838,16.449390248887944,16.58254076250702,16.778445985553116,16.99839674912423,17.290818041498344,17.66938100862165,18.03526204663643,18.30374246055312,18.418738767571792,18.34313758328986,18.11059320533608,17.790536676233117,17.48675012817816,17.29297428715426,17.254380512335427,17.361953493126105,17.53599598540539,17.65156217619636,17.683520178316424,17.745431601934186,17.947681214892558,18.320654275811513,18.776408105143886,19.240634259915158,19.566714389163398,19.726662720144965,19.643617775377884,19.30183505747483,18.708442087638847,17.964222438751317,17.28341005
