cond,seg,onset_t,offset_t,duration_s,n_raw,n_resampled,scale_ratio,tempo_bpm,mass_kg,section,sec_per_pct
15kg_10bpm,10AB,2.394,4.305,1.9109999999999996,191,101,0.5287958115183246,10,15.0,AB,0.019109999999999995
15kg_10bpm,11AB,2.414,4.349,1.935,193,101,0.5233160621761658,10,15.0,AB,0.01935
15kg_10bpm,12AB,2.369,4.423,2.054,206,101,0.49029126213592233,10,15.0,AB,0.02054
15kg_10bpm,13AB,2.428,4.467,2.0389999999999997,204,101,0.4950980392156863,10,15.0,AB,0.02039
15kg_10bpm,1AB,2.316,4.321,2.005,201,101,0.5024875621890548,10,15.0,AB,0.02005
15kg_10bpm,2AB,2.427,4.336,1.9090000000000003,191,101,0.5287958115183246,10,15.0,AB,0.019090000000000003
15kg_10bpm,4AB,2.396,4.458,2.0620000000000003,206,101,0.49029126213592233,10,15.0,AB,0.020620000000000003
15kg_10bpm,5AB,2.376,4.322,1.9460000000000002,195,101,0.517948717948718,10,15.0,AB,0.01946
15kg_10bpm,6AB,2.319,4.223,1.904,191,101,0.5287958115183246,10,15.0,AB,0.019039999999999998
15kg_10bpm,7AB,2.411,4.352,1.9410000000000003,194,101,0.520618556701031,10,15.0,AB,0.019410000000000004
15kg_10bpm,8AB,2.411,4.302,1.8909999999999996,189,101,0.5343915343915344,10,15.0,AB,0.018909999999999996
15kg_10bpm,10BC,2.532,4.092,1.5599999999999996,156,101,0.6474358974358975,10,15.0,BC,0.015599999999999996
15kg_10bpm,11BC,2.671,4.298,1.6270000000000002,162,101,0.6234567901234568,10,15.0,BC,0.016270000000000003
15kg_10bpm,12BC,2.598,4.326,1.7279999999999998,173,101,0.5838150289017341,10,15.0,BC,0.017279999999999997
15kg_10bpm,13BC,2.668,4.305,1.6369999999999996,164,101,0.6158536585365854,10,15.0,BC,0.016369999999999996
15kg_10bpm,1BC,2.64,4.517,1.8770000000000002,188,101,0.5372340425531915,10,15.0,BC,0.018770000000000002
15kg_10bpm,2BC,2.705,4.434,1.729,173,101,0.5838150289017341,10,15.0,BC,0.01729
15kg_10bpm,3BC,2.601,4.34,1.7389999999999999,174,101,0.5804597701149425,10,15.0,BC,0.01739
15kg_10bpm,4BC,2.617,4.333,1.7160000000000002,172,101,0.5872093023255814,10,15.0,BC,0.01716
15kg_10bpm,5BC,2.641,4.271,1.63,163,101,0.6196319018404908,10,15.0,BC,0.0163
15kg_10bpm,6BC,2.586,4.222,1.6360000000000006,164,101,0.6158536585365854,10,15.0,BC,0.016360000000000006
15kg_10bpm,7BC,2.656,4.351,1.6949999999999998,170,101,0.5941176470588235,10,15.0,BC,0.01695
15kg_10bpm,8BC,2.609,4.252,1.6429999999999998,165,101,0.6121212121212121,10,15.0,BC,0.016429999999999997
15kg_10bpm,9BC,2.642,4.298,1.6560000000000001,165,101,0.6121212121212121,10,15.0,BC,0.016560000000000002
15kg_10bpm,10CA,2.729,4.832,2.1029999999999998,211,101,0.4786729857819905,10,15.0,CA,0.021029999999999997
15kg_10bpm,11CA,2.713,4.661,1.9479999999999995,195,101,0.517948717948718,10,15.0,CA,0.019479999999999994
15kg_10bpm,13CA,2.708,4.695,1.987,199,101,0.507537688442211,10,15.0,CA,0.019870000000000002
15kg_10bpm,1CA,2.672,4.615,1.943,194,101,0.520618556701031,10,15.0,CA,0.01943
15kg_10bpm,2CA,2.641,4.658,2.0170000000000003,201,101,0.5024875621890548,10,15.0,CA,0.020170000000000004
15kg_10bpm,3CA,2.591,5.021,2.4299999999999997,243,101,0.4156378600823045,10,15.0,CA,0.0243
15kg_10bpm,4CA,2.725,4.661,1.9359999999999995,194,101,0.520618556701031,10,15.0,CA,0.019359999999999995
15kg_10bpm,5CA,2.68,4.567,1.887,189,101,0.5343915343915344,10,15.0,CA,0.01887
15kg_10bpm,6CA,2.67,4.56,1.8899999999999997,190,101,0.531578947368421,10,15.0,CA,0.018899999999999997
15kg_10bpm,7CA,2.74,4.949,2.2089999999999996,221,101,0.45701357466063347,10,15.0,CA,0.022089999999999995
15kg_10bpm,8CA,2.714,4.689,1.975,197,101,0.5126903553299492,10,15.0,CA,0.01975
15kg_10bpm,9CA,2.587,4.599,2.012,201,101,0.5024875621890548,10,15.0,CA,0.02012
15kg_16bpm,10AB,1.035,2.566,1.531,153,101,0.6601307189542484,16,15.0,AB,0.015309999999999999
15kg_16bpm,1AB,1.021,2.733,1.7120000000000002,171,101,0.5906432748538012,16,15.0,AB,0.017120000000000003
15kg_16bpm,2AB,1.084,2.654,1.5699999999999998,157,101,0.643312101910828,16,15.0,AB,0.0157
15kg_16bpm,3AB,1.077,2.625,1.548,155,101,0.6516129032258065,16,15.0,AB,0.01548
15kg_16bpm,4AB,1.016,2.602,1.5859999999999999,159,101,0.6352201257861635,16,15.0,AB,0.01586
15kg_16bpm,5AB,1.043,2.579,1.5360000000000003,153,101,0.6601307189542484,16,15.0,AB,0.015360000000000002
15kg_16bpm,6AB,1.032,2.654,1.6219999999999999,162,101,0.6234567901234568,16,15.0,AB,0.01622
15kg_16bpm,7AB,1.074,2.693,1.619,162,101,0.6234567901234568,16,15.0,AB,0.01619
15kg_16bpm,8AB,0.978,2.542,1.5639999999999998,157,101,0.643312101910828,16,15.0,AB,0.015639999999999998
15kg_16bpm,9AB,1.029,2.567,1.5380000000000003,154,101,0.6558441558441559,16,15.0,AB,0.015380000000000003
15kg_16bpm,10BC,1.196,2.436,1.24,124,101,0.8145161290322581,16,15.0,BC,0.0124
15kg_16bpm,1BC,1.257,2.593,1.336,134,101,0.753731343283582,16,15.0,BC,0.01336
15kg_16bpm,2BC,1.31,2.588,1.278,128,101,0.7890625,16,15.0,BC,0.01278
15kg_16bpm,3BC,1.3,2.581,1.281,129,101,0.7829457364341085,16,15.0,BC,0.012809999999999998
15kg_16bpm,4BC,1.147,2.532,1.385,139,101,0.7266187050359713,16,15.0,BC,0.01385
15kg_16bpm,5BC,1.207,2.448,1.2409999999999999,124,101,0.8145161290322581,16,15.0,BC,0.01241
15kg_16bpm,6BC,1.169,2.468,1.299,130,101,0.7769230769230769,16,15.0,BC,0.01299
15kg_16bpm,7BC,1.199,2.566,1.3669999999999998,137,101,0.7372262773722628,16,15.0,BC,0.013669999999999998
15kg_16bpm,8BC,1.244,2.577,1.333,133,101,0.7593984962406015,16,15.0,BC,0.01333
15kg_16bpm,9BC,1.266,2.519,1.2530000000000001,125,101,0.808,16,15.0,BC,0.012530000000000001
15kg_16bpm,10CA,1.165,2.831,1.666,167,101,0.6047904191616766,16,15.0,CA,0.016659999999999998
15kg_16bpm,1CA,1.297,2.83,1.5330000000000001,154,101,0.6558441558441559,16,15.0,CA,0.015330000000000002
15kg_16bpm,2CA,1.286,2.792,1.5059999999999998,151,101,0.6688741721854304,16,15.0,CA,0.015059999999999997
15kg_16bpm,3CA,1.288,2.801,1.5130000000000001,152,101,0.6644736842105263,16,15.0,CA,0.015130000000000001
15kg_16bpm,4CA,1.327,2.855,1.528,153,101,0.6601307189542484,16,15.0,CA,0.01528
15kg_16bpm,5CA,1.376,2.974,1.5980000000000003,160,101,0.63125,16,15.0,CA,0.015980000000000005
15kg_16bpm,6CA,1.32,2.92,1.5999999999999999,161,101,0.6273291925465838,16,15.0,CA,0.016
15kg_16bpm,7CA,1.304,2.881,1.5769999999999997,158,101,0.6392405063291139,16,15.0,CA,0.015769999999999996
15kg_16bpm,8CA,1.287,2.868,1.581,158,101,0.6392405063291139,16,15.0,CA,0.01581
15kg_16bpm,9CA,1.285,2.787,1.502,150,101,0.6733333333333333,16,15.0,CA,0.01502
7kg_10bpm,10AB,2.091,4.127,2.0359999999999996,203,101,0.4975369458128079,10,7.0,AB,0.020359999999999996
7kg_10bpm,11AB,2.173,4.236,2.0629999999999997,206,101,0.49029126213592233,10,7.0,AB,0.020629999999999996
7kg_10bpm,12AB,2.094,4.047,1.9529999999999998,195,101,0.517948717948718,10,7.0,AB,0.01953
