cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,697.16360501,742.719586819863,767.2996906610816,790.8935498936952,822.5541994303686,845.3782621982035,876.1866939553192,906.5231323908887,924.1790096000593,932.2122637324179,929.3149286139466,914.5407697381788,886.681505242113,838.549809516867,780.2107398490775,711.5141135108539,646.4733556575616,593.789096548101,564.9093950916333,543.8854898733096,502.9756253772211,464.4798625019513,450.3174666072236,438.3494031678609,416.5050293188567,396.24385352447683,374.52067399489863,338.31970121770394,311.71274944181505,290.0069221739602,284.50859306411087,290.3665150737645,297.6327945913175,302.5009808108789,304.43384245707045,312.42081358526156,326.56505124103217,343.1119973391701,359.01612888697434,373.73496496385764,390.28323695690415,410.0856973283637,435.01212542142105,467.90061625857794,508.50737456064377,560.3337107612165,619.7918486679035,674.6673051892378,725.2723785265862,763.5148365958967,805.11512599,847.5797812028177,888.4893259476121,939.1998209604558,980.2037785224346,1008.8960283543579,1030.9810989865045,1061.255738878924,1088.042155269488,1105.046165490248,1120.9900412747074,1135.2147206193981,1149.2841958537035,1160.1195518882532,1154.3401825238927,1143.2463094567202,1125.0113355001656,1109.7979450873468,1093.2324045461694,1074.6784832883961,1065.4189600021716,1068.881379147342,1075.0420098699321,1083.554943005505,1077.7676126586368,1066.8864643805925,1064.1623594272737,1067.2065044879578,1070.2815738622958,1070.5933376868895,1066.1136068717362,1059.3969003335512,1048.9718484637442,1037.3694581841837,1032.9103825649722,1037.1760618567168,1050.1176602201792,1069.5998347871098,1085.0658028491957,1094.4867395582726,1097.1057190445667,1093.5465809643115,1091.9510213236226,1095.8680293595207,1080.5180951854923,1080.613640972987,1071.8445453464592,1056.4837102284084,1023.2627222768593,988.0365228514869,982.76267288
7kg_10bpm,2AB,607.70860184,668.4949270583703,726.3608845583142,752.6232973815601,740.792671716342,738.6004604554668,747.6284074791596,760.3502191800055,771.1925949290237,772.693677847229,762.6052595775045,741.5681736983813,713.563223263204,679.9255335218068,644.60318439598,610.9636108562431,580.686464767328,553.1201577086874,527.0971161229536,500.38366387186255,471.25677571208513,440.5995389658953,410.2565740617932,381.89281351213657,357.44250165325593,338.30617842085735,324.2455736988774,313.700774168106,303.39532655405105,291.3594499385556,276.92441815236566,260.0540037702586,247.60440414069978,240.37845526653794,239.26748362815334,248.638608285265,268.7732619386304,297.657201298142,332.73902761092586,371.1076810081142,410.7656310701602,450.86079481604116,491.3296291307753,532.1750705787016,573.8679203497888,614.1640467112901,652.6814621746236,686.8639783488015,717.9277985363415,749.1991521811698,784.646764568845,819.2629719704696,853.0960952648275,880.5727713661832,900.9157386218028,916.7785527986578,931.1877606304346,944.9542499968011,959.9020575645968,975.9488327711988,991.7483786331838,1006.064334588825,1018.387190283755,1027.0662351106034,1034.2041503324174,1041.1128946336535,1048.977619340394,1057.2785226312503,1062.8599169124489,1062.329275851621,1054.4150889095652,1040.552967044147,1026.4765732116314,1015.6933760828102,1010.5615190330733,1009.2810166023119,1008.1338052434771,1004.0655257121483,995.5716421454331,980.200119952028,957.6838420689519,929.2722124815358,899.0830926481419,872.4269251567322,856.8355513054051,859.5952200591768,883.807482799546,912.8735417245983,927.6169991427215,924.2096409709898,903.7738868289694,875.1802454339233,852.0382024148424,848.7791080597893,872.8962353514437,903.7692173727406,933.7473089504431,955.3698884029905,962.9621888712476,959.0934464184218,945.51823357
7kg_10bpm,3AB,673.0485407,727.0085864063783,762.4932567656098,749.2813708527462,717.2017383484259,708.6362904280022,719.8654963726012,740.224747517649,759.9847528188483,770.8444636501483,767.0880054337687,747.6055895875234,714.8383707591126,674.2759923317067,631.3879841997798,590.1997573557977,556.4606536977104,527.884079524077,500.5062610656151,471.92484300668144,439.4448160522141,402.2939699695171,361.9560654120294,320.6806128604306,281.89141845501877,249.40094143665937,225.4287879768711,212.83489039163103,209.96221702735252,211.89766813886814,215.1126521774381,218.02101529019447,221.86289619287004,226.79706348891338,233.13229723126216,243.40342159866518,260.43642774672156,285.67006939713673,318.3135953797777,356.0486503219514,394.9573213807673,431.66595970972236,464.8085073612836,495.8166802830482,528.0735318923057,564.4984788564392,605.4010667573862,649.4071242836629,694.051330918635,734.3778017899747,766.0653997599999,789.6311968278551,810.7296852043029,831.8838562805521,854.410155641173,877.7432012296887,899.6040741615849,919.5116680463135,937.4533102629439,957.2242618478326,978.8075203262168,999.5638304558453,1016.1552156182687,1025.7553062242412,1027.9970150896875,1025.1296310487273,1019.4065821449508,1014.6461721731908,1011.1052030820733,1006.6950479848595,1000.4266816937015,998.398973322743,1003.2655085503962,1015.1951262281935,1031.9914912931647,1050.6075385944748,1068.1488442570874,1081.5352077845512,1087.1090598836156,1086.1178281751056,1078.8982925428732,1067.4800870491363,1053.0390920053708,1040.7017802229234,1029.6000176003715,1020.2002870805787,1015.1443707710829,1015.4323474378002,1019.3054082174501,1022.193057281227,1019.8672743296031,1010.1875392552848,993.1373476965366,973.3625908685337,957.0154037772398,949.034513551191,953.4518238302643,968.866923870904,989.243850139043,1011.765905390946,1031.41374798
7kg_10bpm,4AB,679.6148938,743.4577468748569,800.6689529626378,808.1224916955848,777.635691232688,768.9097942245621,780.7856715835117,805.8829302603402,833.1415473520351,850.7660295516564,850.3998538723963,829.8638951390957,792.2125308430425,742.8753248062081,688.5985461843529,636.0717079035063,591.1907398205898,554.9873903311309,521.3161933590951,487.91013423439546,453.0231627539393,415.6983542360471,376.6775348494543,337.28645428546383,298.72334838925707,262.0639761345152,227.49881208772246,194.93424624616534,164.28646353203,137.78134790166604,124.53774454669197,120.09110402465937,124.08061601513599,133.48754104746115,148.5608599531775,168.99112456596612,193.84293731003123,222.00259356191043,252.25862948702755,284.07350464701466,316.30987952844094,348.5900823966932,380.9180620613977,413.11983074963507,444.86782618973854,475.6902642464368,505.43231622896536,534.4671999068266,562.5514467514864,589.9763260843637,618.7996757440312,650.5490320095215,683.8564714572271,715.7634751476027,745.9281997790505,777.3692511727927,810.8826026575143,849.160801019731,890.3138145796555,930.316924606562,966.4175431597998,997.4521868923886,1022.569170577301,1042.7969703143388,1060.3985655798645,1078.1504730114411,1098.4305170658058,1119.9485458176596,1139.283143621213,1152.3811186149387,1154.0696941887431,1140.47756794251,1110.177540809635,1067.8673456237027,1023.9903491226977,989.2216061063738,967.1161619975026,957.8541322095163,958.9381202837543,965.2052155969924,970.9357807820353,971.9162484381168,966.1045383829082,954.4119572096248,941.4675740615105,933.0733718775252,915.311956891577,893.2103260729104,874.587813196297,858.5575989297841,843.9825459092284,831.6350593323125,821.9548541382159,804.69036097938,789.4314530202686,787.7111774418248,806.2927210792341,843.3431767265124,890.2566445975528,934.0430447775535,963.55180131
7kg_10bpm,5AB,627.37851077,664.1112302655375,700.4342862706383,712.5282516880395,689.7208534913552,674.8886560600001,677.7045728263108,689.9660351681154,702.4015400965916,706.8251118699465,701.93939378,685.7024727218723,660.8809194273502,631.7042169622994,602.143678349591,573.9089779799999,547.9587993121111,524.6025517837152,504.0669343435327,485.5333176378393,469.14184141,451.07848021209236,427.3883996372822,397.62286830406106,363.3466599710212,327.64719952,294.00970117744816,264.43971416555956,239.558716933975,219.1502525737832,203.93825908000005,197.67500527086966,199.89749720569964,206.68962128549904,218.5145101421887,234.02588051,252.97853157679788,276.3348948894367,303.2033231177172,332.0723805165575,362.15428628,392.9965704236293,424.45399881535644,456.8859061585096,490.16224216948683,522.91135829,553.660024314092,582.3940954307077,610.3490493207887,636.6281981206952,663.10517446,689.0145259369323,714.558165355523,740.7631548487656,769.8311639388522,802.2363790199998,837.7386772239092,871.1827196967038,903.515227771014,933.3772172611235,962.6935033499998,991.5669549304479,1019.3033197919934,1044.3817420750358,1063.6178158340235,1075.94526427,1082.4787361151402,1085.3931188053373,1087.1441821659785,1089.3548249519588,1093.06640346,1097.203443848156,1100.6880011402775,1102.3297370522178,1101.2221479577263,1097.18478459,1090.7968624721775,1082.580865031973,1072.8822072000635,1062.6203840761523,1052.80500268,1044.4727508559959,1038.925295261114,1037.1536664908904,1036.9135465879015,1037.04009956,1036.042782703219,1033.098137658662,1028.2940576685871,1022.6585377170671,1017.0795560499998,1013.884847201068,1013.822602210905,1019.4967146655567,1028.5025654095177,1038.04521384,1049.4443819464477,1059.531121041276,1064.0579302617602,1059.4379332933338,1044.58284964
7kg_10bpm,6AB,653.53877459,704.8622222748952,748.748321631115,741.0211914929131,696.8774515861217,674.4083857514255,675.8818786735327,695.4151895517041,720.7583205095145,740.3259373590957,745.8695474117147,733.0333687180168,703.1702857196984,662.457972832884,617.2245710420311,573.6753434492716,535.0178105897027,502.16522058152674,477.24813965254424,455.17319319020373,432.346817533738,407.25486601481566,378.8790287822794,346.1968024448492,309.62218917468715,271.9340853017724,236.6775367515534,206.20066666340995,182.24684065642228,166.46846306808516,158.17657965979754,154.72958295967018,157.71209715788805,167.09400959537385,183.35778334786562,205.88946552215117,232.86544356226347,262.75634054878014,294.26870309321265,326.14145017280634,356.4842127374766,383.6306498227425,408.16094609283647,432.6860344059008,460.13502068923157,492.52114008803073,530.2696165218257,572.3267821018387,616.4948160244174,660.3831220412638,702.19625427,741.399580874631,778.2359392644283,812.6731156964654,843.7775002089941,870.1929968546505,891.4725832402916,909.49087668251,925.9442815415559,945.0151674987579,967.4799597597433,992.1434975876463,1014.6469910799523,1030.7810686516716,1037.9310712971148,1035.9749325414075,1028.0454817545603,1018.6148146801899,1011.0724590621898,1008.2967052617778,1011.8021691724252,1020.3131707215523,1030.7962411865315,1037.2335497913252,1035.4819398710783,1026.9094670676338,1015.3062316467249,1004.6251805252947,999.4687128647048,1001.9915433655526,1012.2772942129835,1029.1578933900262,1049.075337072277,1068.4071140491108,1083.6252899821388,1090.5092680746188,1087.1960235538234,1074.7128665928983,1055.4893320894084,1030.642194318708,1002.4037818784853,972.8090640546003,945.2762946547456,923.6806739590327,908.4106390514519,900.0004342200763,898.2098020333567,904.4631362881819,919.7997533766621,943.0097660974452,969.20419855
7kg_10bpm,7AB,639.22254151,684.0928325915002,721.2492367533007,731.535364105777,712.4863231292222,706.5407615773752,717.6397587953418,738.1548744640279,756.9584740284672,764.6141851645988,752.919936913561,723.5291352745373,681.8832135909768,635.5276992073233,589.5431122904786,546.9964802262033,509.39513949718565,476.7857225961929,446.84122768287057,417.5015175792364,387.9507150318177,357.7442859392603,326.0307300129775,293.3758941951133,261.4584197600072,232.34564050539996,207.77549965866885,187.53448755506363,172.58446417465782,161.66820893150674,158.72526745855814,165.70648468038218,179.22372606292225,197.52299266328728,219.0828686148294,244.69224237805003,274.13736136242625,305.39573903100444,336.39545179535827,366.31264951549724,395.7763765468099,425.79900678844444,456.8735759700285,488.6116291976862,520.2516684637434,551.4383054915415,580.6397785033083,609.1878929776735,640.345635447255,676.2205077284159,715.1950108776325,753.382778503492,789.3069102037753,819.2758205300972,844.1843554751576,866.483793413106,888.232261401894,911.5498720420251,935.8136147625881,958.8878610330834,978.5496102478967,993.492403304293,1005.5712989474416,1014.885089215498,1021.0823784932658,1023.3251655452223,1021.9304313343437,1018.3945394836188,1015.0047206184922,1015.4704764503987,1022.6002565251737,1036.7813686798997,1055.5653762707395,1073.9764439577236,1086.6801888626155,1089.3285086963897,1082.167313772353,1068.2430729790979,1050.2222777140062,1029.7727541127485,1009.2917212823916,990.539007324416,975.436614267652,965.3707833136399,959.1143627003328,957.5465541123201,964.5954095876192,976.4824649823706,984.7655082462646,981.2409076113864,967.3225804573768,943.5774777953177,910.4236240041647,874.7519398228003,847.8698936494108,838.7677223690972,852.2160421689761,885.4896035158022,929.1101865207756,968.8335718689367,991.95314633
7kg_10bpm,8AB,637.41520423,665.7316475863718,702.9965849355041,710.1165171446032,675.4791409975836,648.9681404621003,648.1002541369708,664.0562339572188,685.3652811335566,701.0798978624321,705.7377354195678,697.1022232129981,674.8977630733701,641.9791854788247,602.6037351921481,560.994828921788,519.8525093986902,479.76672884616346,443.11468849069087,409.4167567023831,377.1303039725132,348.10377480310393,323.24201211960866,302.08209892399265,284.5086950552409,270.5585554563675,256.8191152545873,242.79042407190985,228.95617293128936,217.70600531447636,212.34984356559417,212.45488277437286,214.5051302136913,220.18378383931983,231.54366511497577,250.20870441692324,275.56612966867624,304.4876296928804,334.0216535214496,362.34987106777527,388.8067463793983,414.90219803683647,444.10130204385604,479.45041755940514,520.5048437970318,563.9671727907656,606.236606257541,645.232014373052,681.6750657700098,717.8731811544358,754.66588882,791.8112636523279,824.7435058872835,853.3955137372284,875.1558831993373,890.849520030485,903.1048826245607,914.2846291994799,926.7876696060866,940.3924682166434,956.4633050525678,972.5468342915171,986.895560648232,999.0592424802196,1008.5813063075809,1014.2590682945731,1015.0664770644087,1013.4698978543476,1011.836385014365,1010.9309638892311,1009.7545864196486,1008.7036305717664,1010.1939529793942,1016.1040888316029,1025.5266294645194,1037.2063757315948,1047.5080846979952,1051.654033875706,1047.4555208457507,1035.41936932149,1018.2314007257381,999.0897874131026,980.0565382265145,962.8679260842131,950.4497072386017,945.6631467312891,947.4263617105203,957.1964711511507,972.2011900871378,986.4243344791878,991.2380905384754,981.2385284657358,959.2177734540347,930.6973161760172,901.6873806688297,879.748993918418,874.9483171341303,891.5415341792448,925.0626073574183,961.9069846059127,989.35071064
7kg_10bpm,10AB,565.52269921,609.0367605182919,650.2359778778902,658.3849696817475,626.6555669661477,606.4152855383074,610.2301968188054,626.5206800130981,642.0926042385005,646.3569961035913,637.0792307556592,614.4475359471008,581.1136355637863,539.8699430425796,495.3773385306405,453.6229859968873,417.5092854506709,387.66269619791774,362.11711598198025,340.0034368078204,318.14561825826036,297.05247934948085,278.2264342337716,261.8140246835116,251.40916215868629,252.5357354043255,261.65947721723677,276.57579735224704,294.9316891672525,312.91209709527,327.0525194206704,336.75576086666206,343.3908454366722,348.81589541822893,355.1547741096719,363.77549687073343,374.9935857213706,388.4821351480652,403.50308364004786,417.9718763554336,430.3770828801069,441.1490825851145,452.47178288381434,465.618234448428,482.58926362316333,505.3579020842835,533.884503801054,566.6961955248752,603.0335479887492,644.4857496489251,689.1455770800001,731.7794140703382,768.4818291908934,799.0581906572614,828.8333598397811,864.2317058055987,904.6606556725988,942.5918722098064,969.7049615409732,983.2374385395578,990.0990034705977,994.6997543604128,1001.6370149464594,1015.9565983005638,1043.6128694922447,1074.2773626084781,1080.0387184606777,1040.7220165964586,962.1884325095785,873.8428609048086,819.555490120122,827.6807769741242,895.1342497417555,982.0310554243096,1032.5443628654682,1016.7991968192191,961.4295316624239,912.5735599065305,905.3495947045858,935.642733674392,980.0880144686199,1006.8329857439064,1000.2175026542953,969.4524287410344,928.7840803805753,895.0983750617802,875.4947619273178,867.2935255375306,863.1625788194042,855.4453464316256,842.8693645982169,828.0369764139639,815.7221129907002,808.166687747258,805.1305304096904,796.0439624239609,777.203887781151,747.430944615541,722.3691200570076,708.395437019055,709.36063338
7kg_10bpm,11AB,563.51201641,629.945647007321,674.2322512562502,636.6211970719218,620.4145568989939,636.2200388256146,662.6778676034914,677.350091395305,670.7521863677779,647.9254093400898,618.4477513467108,589.3312928747519,563.0755757538335,536.0624926229822,501.3088915202751,454.6215547032041,398.66806373147165,341.82135025115525,289.76294943340025,248.8166374437355,223.47824784000002,213.9248601589481,215.7100322349772,222.3956451428455,229.04389904697877,233.30099999734026,234.17937409790088,235.52140710944815,243.76676338350103,261.74453306737274,287.0793169345288,314.65350705368843,338.6029530449947,356.1614452444967,370.10112990779555,384.3315112770118,402.18693961997104,424.54574875934446,450.8120867567936,479.8902397873827,511.94404600999997,547.5282267579557,586.3385565159629,628.76364972625,672.5304989729426,715.6769038428511,757.4115691540521,795.2437981252767,827.4816309800885,857.5459869370327,885.6923666748633,911.1639974510256,935.980984458097,960.7380172800447,981.5448765315491,994.4660427017079,998.5928846768911,999.197655220114,1001.649104720089,1010.8206391741744,1023.7581002800001,1031.5428508395064,1029.2514130013483,1006.5056737909131,955.6147962345585,881.343822917289,804.9596701745122,758.7671891810204,780.5678343758797,868.2218943315095,969.3621493190375,1030.257651290646,1038.901574086485,1001.1212590641292,949.6732748560164,916.2230096337072,903.5173304520015,905.5251211921933,913.4645429135535,922.1204541760092,931.67991905,944.5202087823791,960.2419244275784,974.0108801383878,979.6467161251393,971.1274967372123,946.8036215950435,913.7976217987397,881.179819287282,855.5487832432481,835.0706479760472,819.6569869867578,808.0328246505621,798.095113169542,789.7717926170612,780.1199128265338,768.042322401777,760.362827315957,762.3471427343886,773.2785416992554,785.1962151
