cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,875.44845081,965.0142205706297,1055.6122803250732,1056.4008047696375,1007.2648675195416,978.75104405,961.919709559086,954.4879160568012,954.3338214542784,956.767920597063,956.02178017,946.5433599258761,925.6308590365315,894.1232402263718,855.5342037278095,816.3231335699998,779.7251202246598,748.6802296150813,724.7858360502389,709.3268686487311,702.04868398,700.6568172912761,702.2470250630769,706.3967255196517,711.205714882056,714.7098228100001,716.4875858796385,717.5387379045079,718.7791487443941,720.479827265564,722.94292787,726.5591214511935,731.5677883922261,738.1059899938181,746.1020784224792,754.06337722,759.6813558140029,762.001664818335,761.0853406527835,755.3291199708323,748.26970864,741.1991255147963,736.0440487722499,733.6050150642126,733.4642762074902,734.70213019,736.3491301212954,737.957530705292,739.1429208712304,741.1473213682116,745.9701277999999,753.8618614508381,763.6962226661716,774.1098302332468,784.2932146576389,793.42807011,801.8748753653117,809.9963970076601,819.0517839134387,828.7112519213565,839.97658065,851.5296005197196,861.6123623338311,867.9466384001151,868.6968234028941,866.2427061999999,862.6983322795022,860.4049294639556,860.3362956398603,861.8533102291168,864.38562804,867.3610316182733,869.6742360746407,869.6636549230258,865.3664306965339,857.2321118,845.7421079389053,832.8203083104205,817.3685388382102,801.214213523466,785.0041639000001,768.5484795471365,753.5595874371213,741.5375646323192,735.9484281432244,738.26219262,749.7469854217101,771.0794239429603,799.0824874677069,828.2775816895399,851.7808464799999,863.0197941659065,859.9997677687064,843.0614727580992,818.6727179114404,792.0995278099999,769.6602890113953,754.8746983852058,749.036670254173,752.7607080704208,762.12604816
7kg_10bpm,2BC,817.88705831,889.6960827543194,948.1974930204411,972.4798031043771,967.7053833475976,970.3227195039776,980.3337114443501,994.8823645039571,1009.3514392742895,1020.3552773826545,1025.1496209483814,1021.9156915478865,1010.3597641103852,991.066731321368,965.6059014412987,934.9358358991947,900.1333375421513,863.3114058582235,826.8059433690831,793.7543842680728,766.20746765,744.7908214741875,729.7631657336539,719.0663575673827,711.8064733451994,705.3551286925111,699.0516625096232,691.5709699765666,681.6353815880736,669.5635842759917,656.8250897493053,645.0372564135314,635.0755250742812,628.0146877801784,624.8372653380903,626.0056627708416,631.1952772228568,638.9166669171569,647.2083498090973,654.1275258708124,658.1125077699999,658.6312584539635,656.4841926350412,653.2131684617615,650.250302886791,649.0132964147512,650.0674857926623,653.2103140956547,657.9033834803737,663.0609782897885,667.5560532270702,672.4226868287291,678.9579039210917,687.9323086709246,699.8207771483889,714.2367011857991,730.2633326409184,746.3584966001041,762.152272797151,777.1840225114224,792.01251318,806.1009778203215,818.7918909187352,828.6710205134003,836.3111594927087,842.7371566662524,849.1569391349067,856.8495504229514,865.0778327010511,872.7712480556644,879.748547495004,885.3434844786339,888.8654052070087,889.4390666548742,886.1889729889477,880.6636707594381,874.5262334155061,868.685525357827,863.2317159038429,856.1209215511051,847.08707441,837.9343369846423,830.6554039325761,826.2547246970105,823.8143890159731,821.3567900796653,816.934568903122,808.9107359939192,797.330162856605,783.3223574489847,769.6691148071804,760.5492613486676,759.1148993970248,766.388787060171,781.9204248688928,803.0340872327204,824.8904341147503,844.9888657812681,862.7185806554518,880.339036254308,898.24894125
7kg_10bpm,3BC,937.58288778,1004.3430462863548,1058.2764480951123,1042.4410235752998,1008.5152885513894,989.9338513219461,981.5931653132576,981.151545789587,986.1275573521609,993.1490534102852,997.2398053532564,993.0777424269257,977.7651551924708,953.1364540597743,922.8537207232079,891.1581531235219,861.9482083252348,837.7307366643814,817.371096993953,800.489735613387,786.7401571479551,775.0138486926998,765.4775985603246,756.9689849433555,748.0569971954438,736.7919007300725,722.8667757559441,704.827802410513,685.5170053476069,666.7225036437255,650.6939406867257,638.6964366171966,631.1453674459722,628.5015646116763,629.5488559452147,632.8483094311634,636.5211970228949,638.2609111528072,637.5340111727357,634.5780228624432,630.3652996670775,625.326223104392,621.2828617572741,618.541520231699,617.7583604903463,620.5667485673058,627.7375257554326,637.8944382632632,650.429380113315,663.84434472106,677.6863397233948,692.4411716576216,708.5688289206353,725.5677022372591,742.8504616008854,759.1686035587669,774.6084896014768,788.8567796909118,800.8533023157985,810.3317657019971,816.6531420906521,820.3090965571802,822.1203977335553,822.9962058598974,824.032583673446,825.0408423642912,826.0229132639647,826.9579584295539,827.5230457562727,828.5215575733309,829.2447286887606,829.3706268379492,828.3893061746576,826.4217393235679,823.2468314083834,819.2826519376713,815.9181864205212,815.7879611785344,819.8476072318225,827.2299448541016,837.9304773896981,850.4403335883098,862.0519962506653,870.0010447947436,871.3477584504466,865.5370997621426,852.7706473652484,835.7262731558463,817.2886789444549,801.5320799085408,791.5702737948113,791.3190202855349,800.7186968960931,819.1824179960785,844.0034670913109,873.6861035132779,905.3547540372252,936.0560973511834,963.6870250520769,981.3128272954424,983.61449958
7kg_10bpm,4BC,898.62178327,976.0056302823739,1000.2777668268204,962.7888952893705,943.4161874085382,938.2994837658257,946.4600952498945,963.6847738798589,983.8296302416645,1000.3915066016763,1008.0918852584357,1004.566412401513,990.172281021887,966.7166558429058,937.6076705741252,904.324440480743,869.3956131811776,835.5590228553591,804.2918019651175,778.3011281218384,758.6782514743971,746.211842643015,738.5902163739303,732.6896529256697,727.5073002360849,721.9062370642936,714.1983462145416,704.0720913281552,690.0630013968931,673.255994637885,657.6663081475872,647.0360036236737,642.3259459019372,643.8712441713353,649.2064323433302,656.1445196123451,662.067660647334,664.9325118864808,664.3824297828444,661.0556086251149,656.1910460073752,651.5633711700605,647.9767031846965,643.7678664581142,637.0287578670099,625.5320345067928,609.3637505925944,590.801440453626,573.9744654475492,562.4193795444695,561.0997650609235,569.2160922195857,585.9923959253488,609.7698242287763,638.2453035723886,667.1880596810357,695.3313834375163,722.0159858540883,747.0383263121888,771.3058374608026,794.8494030176045,818.0488933665504,839.2846242815957,856.324603259846,868.9761902548131,878.4057566834164,885.0000635489715,888.7308636013546,889.7524292354052,887.9265444627822,885.805111952504,883.887246500163,882.3592448611912,880.2818056771929,876.7391798107592,870.531713865386,861.8488864582631,852.5138813118234,841.8984301964306,831.6339382608969,823.0964633493967,818.1094999832889,816.3453187193718,818.8519906530796,824.8537976176743,833.0549852276969,840.0599672217311,842.5065509642264,838.5365728831354,828.63868694264,817.6729257719948,811.1297136009597,812.9860972070222,825.9752350870324,849.6441858545571,881.9539218779478,918.7177875374539,957.2615793189927,992.6116117249643,1020.0201817182699,1030.37372098
7kg_10bpm,5BC,908.21409382,965.5175097448279,1003.6492882408503,991.0599513330858,950.0886601311939,921.2015878077979,906.3763590008815,907.053523716967,920.5608295062607,940.7545267746342,961.0538718724366,974.9859904072351,977.5898697890731,966.7553620618027,943.9884805144843,914.483988312379,883.6767918552656,855.9242507343448,833.6295054746973,816.766437808501,802.2072765812202,788.8265187676394,775.0838691551738,760.8356373909544,745.1536729708059,730.7819582258523,719.4183638435252,714.6514612425209,713.4210616142802,712.6730356812197,709.9490532605737,704.638839387944,698.8461262638108,694.2682407568333,692.2085669089539,693.8751610732481,696.4791690219678,698.6817204959261,699.1255450346487,696.9850638958211,692.6030646224439,686.59666319323,679.6138857322666,673.0713670579923,666.7548644540667,662.6352266916932,659.2735947561055,656.7612809599635,656.3696825773321,658.8276812501584,664.3929846992635,672.9144451483489,683.6830329135862,695.9793375472971,709.0676776031938,722.3863611557459,735.6303432984854,748.3614423307779,759.7649918911254,769.2955045661886,777.0627860902524,782.7410066998859,785.6293764364249,786.4263568918445,788.0487324429411,792.6039881711824,801.49490629436,814.1457607309911,828.3097109042358,841.12877434552,850.0176638075908,852.7026297458718,848.0443849002952,836.5731455746076,821.854204421621,808.4024347683843,800.2455373453685,798.9393771818463,803.7368629318671,813.0279876144737,825.3648160387573,840.103518874274,859.2139745841527,883.2676948387395,910.9076127656339,934.9766492961531,953.0596200005203,961.6987701058052,959.0481189312379,946.9813336164254,930.3822292573466,916.1193518474116,910.5959371202017,919.0667383899824,942.2726794981644,976.1622763609779,1006.6994434647609,1024.6412514507288,1022.6000057013042,999.8685243193647,961.42973966
7kg_10bpm,6BC,877.06016399,957.7167159438226,1034.3675479506144,1041.9743144602655,998.5527598745748,965.6172511645483,942.9077216619978,934.4486605143594,938.2432016351343,947.6861639643864,954.9575246753402,954.4681306978475,944.2568493917573,926.8516349251984,906.6090719531705,886.6277622084659,870.0653290380199,853.3264690040099,834.3771709972215,811.7909162431973,785.4690289023029,759.093164383732,737.1204537196897,721.6354078525247,712.3901177751991,706.42117133,702.0829362141073,696.2866972901668,687.4010711687963,675.6885089774723,662.8626965331673,652.043056513364,645.2878434400718,643.2647380008157,646.8849989856649,653.041196077469,659.9691209741537,665.1191264408394,666.6141542669839,663.4112996819734,655.022772130255,642.6879995689353,628.8859593136544,616.4509407669341,608.037137168598,604.9902212051419,606.6162607623418,611.4971677875418,619.1605192722913,630.0567672333069,644.1301553399999,660.6974563569638,677.762882086453,694.6750571956051,709.8898965546571,722.7173434804947,734.1106750060005,745.5503728909139,757.7339890005002,771.0203916744173,785.880729289653,803.6994985928393,822.8101613581715,845.7188858305861,868.7171622814682,889.5136056212373,905.5923708033736,917.2643481010546,924.5170925863816,928.7280332660542,931.5878706441778,933.4747123276693,933.7738131735008,930.8629467154886,923.7273490049425,912.00189021,897.0384394996478,881.087937458099,865.5554115626044,852.9615654296643,847.1328999969971,847.8555638558763,853.3492845985887,861.5408993481532,870.4509562582261,876.6136711768715,878.0527668945979,873.0112967853511,860.8575647298375,844.4070575395474,828.4939170589352,816.9948873528117,814.2731122490076,821.6702522048155,838.6803791890818,862.3581245657492,890.7093523062686,922.7261679375712,954.1016996371034,977.6401787926334,989.05152835
7kg_10bpm,7BC,843.93067114,901.0895727621826,972.2847246307832,984.6091905714973,936.1373605903784,906.2536704612572,899.7351714354036,912.6480160287024,934.0974976814583,951.8375332255041,957.682942713074,949.1551952353531,930.306025083795,907.6498229873441,886.3099350185272,867.9109858811432,851.6180223442045,834.8046789771163,814.7840567844391,792.3808850049764,769.55058862,747.4593470644517,728.0839669953707,711.7269854247797,697.1681251814314,682.6100753947386,668.1798393023575,656.1774060047014,649.6123833469343,651.5456020971814,662.3531602964772,678.8161487039257,697.2776300052064,711.3666717557513,718.2227252394223,718.4094773298317,714.3972316800696,709.0587637903787,704.0999927217271,700.2652713145088,697.9779281800002,697.101196789394,698.8526983318493,703.5462205990217,709.7894600637874,715.0939988697127,717.4717382270192,717.0292330307254,715.8906360784025,716.6667077549725,721.2812375928778,730.0060116607686,741.8413670669132,751.016227913872,755.3117903695771,754.7291920959793,752.6486011415226,752.2279498466519,757.2480279364762,768.2192675491567,784.33968634,803.7590591971026,823.5954844110506,840.9249135244661,854.5471276526081,864.3508934781631,869.8873868506442,872.4497019505018,870.2552496857953,865.9499414954204,861.6698390831693,857.7993188199663,854.9965863978188,853.4000991247514,853.8403780974402,855.9905066033025,858.4104942273647,858.5321904665715,854.5162640070243,846.2940928488791,835.10369947,824.7810632663507,819.7080214065452,825.0193247649075,841.3033861031314,855.4925857885489,862.9238825841067,859.4557123234315,845.1928321885583,823.3583839956649,798.8787438292574,778.7553884148036,768.0934633417521,772.0780342985574,791.8693354663368,820.9751223977224,859.5908254788161,902.8323705282379,943.1724817779755,970.2025748206953,974.96044749
7kg_10bpm,8BC,818.28876411,872.689675488428,940.4848121805245,978.8216991876716,964.7758793645871,950.7314122436857,951.6821641805161,964.1814479959902,980.6871904988948,991.646167177589,990.5710867560522,974.601428416009,945.4118102302049,909.0621897152495,873.5359157981022,844.1514941032251,820.5209616389109,800.4225953078328,782.998439624664,769.4015642310712,759.9724331297856,753.5756187982222,746.2174873982226,733.9397688799462,715.0881413110282,691.4134100073016,667.4218629630869,648.3419508606705,638.606981560293,640.0355156950152,650.3646157662317,664.0593960324952,676.1066138074207,681.7336210845101,679.020550826377,670.6561024892607,662.0157773509642,657.4554365846669,661.0071952726987,669.7186900520016,679.4600335730775,687.4654235418175,692.7196974404453,696.4124377195936,699.4894118673149,701.7656067209739,702.6824111747067,702.2603135686502,700.8902953369392,699.3100638585893,698.4498241962814,699.6985139488655,704.1553514539754,710.3691123239802,715.5047890024656,718.8027669730811,722.2916273195519,728.8529030820803,740.0899851510302,755.2247593339615,772.4864695820486,790.1858512515274,806.5206220873349,819.7405395331575,831.2899472533351,842.897249266398,857.2712109284125,875.0786525567001,896.0977709107267,919.1984846178582,938.4377424540303,948.3377463231353,947.171635970043,935.2101486992883,916.3153568795523,897.300585340321,879.0100613800998,862.0141822768443,845.6209332216145,830.4425248738191,818.0785392637652,809.6951054508115,808.2890207393041,813.7781437726957,824.0240544533135,836.1144948137166,846.6411782635355,852.3257505053011,851.506147029685,845.6551843416673,838.3466153447301,832.4442235462611,829.777787822058,830.0166207028803,832.8707230787799,837.9394266160425,846.3545632338,860.0627945145422,878.8297870123788,898.1751912119121,911.78618454
7kg_10bpm,9BC,816.59965759,873.9767697325433,921.6357580109441,938.0410621878149,924.5006216340574,920.70880904,923.8559446359167,927.902355088536,930.6272615306893,929.0269484149126,920.6598623,903.8967954991599,880.7625912918296,856.3322887399862,835.9938057515266,821.79769781,813.1146219313098,807.4077484744104,800.7406566112334,793.7897891192787,786.41553643,778.7888387409807,771.8686551709653,763.8285328049586,753.3595275992217,741.4575006899998,730.5628482925165,722.6258184673688,716.9244415994698,711.7708906697301,707.48277777,706.5450146869894,710.8829363339745,719.7613407305682,729.772560743335,738.45718769,743.7277748932535,745.0009191688358,743.2804506810153,739.697569424369,734.7548174400001,728.5648019106935,721.6511773080072,715.880651492866,712.8053443604797,713.26041545,716.1749765852217,718.9019416725416,718.7807639664775,714.9459907407287,709.78850869,707.7632939081583,713.0935447258233,726.4097761209802,744.3846865002329,761.9324177400001,774.9168217164818,782.9560913805666,787.5209507297211,791.2836748313027,794.6149886699999,798.4553801642045,804.6462852700317,813.1643126289376,822.6691639724758,832.07304457,841.8855355563617,849.9225196001512,856.4569345272947,859.0327380304271,858.18632573,854.1725071454799,848.6669047954242,843.9242651887664,839.1439758832286,836.7849264,837.4529203600426,839.4370108401209,838.229846005913,831.7025846687844,820.36643683,807.2222819671236,796.3613114307876,791.4502645953347,795.4108261395071,806.6896035700001,821.2002578748518,833.546695017309,838.1318540449341,832.5465557671998,818.3368078500001,799.527842354546,779.766256539334,763.8223735393781,756.5891773997829,763.02023716,786.7485497882722,822.628159368358,861.5087559818021,891.0792334195418,899.40355762
7kg_10bpm,10BC,840.54205194,898.7512915171319,928.9281305336053,918.988016720677,898.1210792564166,899.1911300804538,916.3620481831863,937.4285356777084,950.8054931815874,949.3435743507812,932.727209085087,907.2337448064827,880.4136565898294,856.4000727287234,837.6707842990822,823.0190079744997,810.5371509556195,797.4887497821226,781.5531277715361,760.0352244711559,735.9016847025638,709.9638998025605,689.0761106747949,676.183981059836,672.2760250402655,673.949169154832,678.684786426883,683.8888093747094,688.7411712870031,692.8067004807372,695.8064218735741,697.8442704838006,699.0102969228516,699.0210452677898,697.3130320845771,694.0346350002137,690.2706722187872,687.2223801653514,685.5971760628479,684.7266684167942,684.204769396037,684.2727966152547,684.3167753897762,683.7921590691959,683.2960490173039,682.9316914282384,682.2801959224153,683.1501161920656,686.0093416360914,690.4061419877994,696.1733595107578,703.3576944485565,710.8278650045502,720.1609984623357,731.5187969508277,742.9851533913251,752.8751917723216,761.632619483007,771.6329409451254,783.1965458247879,796.923660505216,812.9806506351202,830.0427619161511,846.4634018117562,858.1263655258549,864.7233780369049,866.3962190252873,865.1647287068786,862.7208160528579,860.3526875566815,858.7251700502904,857.1964750814649,854.2290906863125,852.6476091602674,853.5131469066093,856.144726213058,858.3000259881643,857.8852723139682,853.201090695212,843.9863509257018,833.5426631690954,826.296932484847,824.3614429488571,826.095100290703,830.1246926931879,836.2204081146494,842.857950753532,847.5480781555375,848.8435970549652,845.3327096470955,836.5466604222205,824.7139296101068,814.3716438671217,811.5267490108264,819.2474057732221,836.8114874742897,859.1276431847365,877.6058998523017,885.3340405487917,879.8409334107599,862.84007031
