cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,849.08474223,917.3462877962247,991.8836524862967,1046.3526928819188,1056.3434235328396,1085.1241846278779,1128.9783332245486,1169.7635127504434,1202.768799084884,1221.7041000663844,1227.3207334901674,1222.5841586898996,1214.6217476563374,1206.3056230868665,1198.432824076158,1195.2921467360118,1188.4984465193595,1175.7278731906138,1153.9722344433017,1126.5834655032766,1097.0354041573923,1069.0233727941493,1043.512805178478,1017.6101210479051,988.2386305391952,950.2191082377287,901.6824763503427,842.1097025238852,773.9696939841764,700.7380292106301,627.7168711045751,560.1847752737102,501.5803574219342,452.1084079243285,410.1695989207026,372.44506033196365,336.7579774140437,303.8366797513113,274.6278694270502,249.17056948479623,227.50114663006096,209.50238658655235,195.06135021283086,183.51316731625408,173.7743654330618,164.34068174761344,154.71504926503636,147.2284880563104,145.4146288170446,151.77010372900398,167.1210286487997,190.24063966384372,218.24331359843677,249.86137691495304,279.9618644039438,308.35650870557424,336.0735276227492,364.21580345097794,393.43161814079923,423.21826062524883,452.6955213570998,481.31065757123486,508.3120371255908,533.523056636187,557.1918405664541,579.0043646174081,598.131843608089,615.5457436964269,632.7399919197261,651.5546653330723,671.112747403831,688.495033303487,701.4975388463362,710.0629421899486,715.2121801688785,721.1713388053398,730.7599617370263,745.4004671955545,765.2329440320997,786.0247246641712,806.3517798421633,821.3907870091988,826.2908384665915,819.5892612734186,806.2489407464014,787.7508348113861,772.7623577201208,760.9049354902442,741.356067731038,716.2323310141088,687.0675449874431,653.6169104496208,616.8000231681783,583.8335231750777,562.9543289054385,561.6957296594297,565.3872569425853,566.4152053533735,561.3811254862397,546.0315190647267,519.72062419
7kg_10bpm,3CA,911.33946888,976.0009145910999,1067.7893312446288,1132.7197246648373,1142.1623442286586,1152.0290931859017,1173.7931741776188,1197.9703512283875,1216.8133397148206,1224.8104855580057,1218.541329327526,1202.3960652724077,1182.0411016161859,1165.2631091936407,1155.4628015748765,1153.174477346531,1156.7608653691473,1162.4553254068333,1165.6248208964132,1163.3190799012673,1154.4545338555229,1137.81409751773,1112.568125732399,1076.9374249747566,1032.3570595712486,981.0274231162074,926.3909247201826,870.564256137926,816.0756908488215,764.1550241323254,715.6428796067124,669.828282940157,625.374601210947,580.5979671164529,535.4399286430513,490.9973653021926,448.9462963442118,410.27139640994835,375.66142937792824,345.4731721866185,319.72691346385295,298.08551911359336,280.10602134441075,265.23258675612436,252.15152078500373,240.02593784772384,228.86577975583697,219.0243279099275,210.86091751710333,204.23416231295397,198.97792661,194.9613767280179,192.50634020822514,192.35197557672498,195.52925032784555,203.09794721865848,215.68876654025277,233.0711922138556,254.1862311658101,278.42868636962953,304.07418822329146,331.1099196990354,358.6193804642659,386.3570082608436,413.79893969237776,440.54470757063433,466.71995168600796,492.51965596692514,517.8760885109496,542.8532709470677,566.9460361468659,589.7641128803392,611.4759726785556,632.5956992156989,653.9039344741188,676.4696638148312,699.4901801981031,722.078211371343,742.0063798282715,757.7880468991774,768.304202101646,774.2236095037473,775.6591156967311,773.6209450390334,769.1514894271611,764.2732075691109,761.6802441361617,763.8447716765135,769.4676166509308,766.0842316972949,753.022858457638,730.3276993994008,699.5362327553901,663.1027357115238,623.9712060177494,588.0099605023387,562.0933345667403,552.140177102447,547.5868004242527,539.3401828413009,525.20268574
7kg_10bpm,5CA,909.00953841,957.6117794746349,988.529523604229,1009.6499705938942,1036.8950775531382,1061.252261102109,1099.6018561273631,1140.236389659325,1183.331856598157,1220.3812064796382,1242.1668212709294,1245.7908167344035,1233.0093752680878,1210.4705904615626,1181.9609244240162,1157.5174751443537,1140.07645084577,1127.422975170174,1111.4114574116043,1084.7574556996324,1040.3247059954954,980.4734176491614,912.0472825994094,840.9059225413262,774.1356444462577,720.3593254144699,684.0673025078892,662.2004105420133,644.9423387243405,623.1881330984191,592.464512756398,550.6480535409097,500.37146381317984,447.809120074639,399.95062855384117,362.59492580921005,337.25416507705205,321.30505415773456,310.1677719746547,299.6906483042822,287.3727892577494,272.56570962063273,255.58685052511066,239.06775136650947,226.32434608117327,219.7297968898738,219.5727612082607,224.4464951499496,232.19840568567898,241.2035086590294,250.99474322,262.1432630254741,275.3400367606567,290.9469569806926,308.7279384079831,328.503236672156,348.698239172997,370.6475721343036,393.909928661259,417.67686205100716,440.46754166043036,460.569700621901,477.28265891799333,491.0449748334533,503.80998070265895,518.7975465498758,538.7972539055988,564.4241715119064,593.1318014482529,620.428386212848,641.867556510431,654.5195234818494,656.985269656017,651.4455763641618,642.3933360086738,635.030819929008,633.6765889094804,640.4678740341946,654.547318781871,672.3623426602345,686.6408940915856,692.6114670461574,690.1268840223145,680.1291164286936,665.6100926064098,649.8938755004727,637.7073426603121,629.3120596440052,621.829797872432,616.6139804747883,614.5806713468837,615.0558038979348,615.5035095567093,613.9080006640532,609.0735890966539,599.588542156658,585.0584604592324,566.3153249740988,544.3317971387978,519.3357231569469,488.04684931
7kg_10bpm,6CA,875.87849961,928.2795705795443,993.8179451472655,1031.2702800703619,1021.0975904136881,1034.4822144121397,1069.5025734036394,1114.4294728817747,1155.3829798106322,1186.5835226749844,1202.6861548884142,1207.8500221372592,1209.3225013887102,1208.9841312470066,1209.9177961042124,1207.6881956146265,1200.719594579355,1187.0062850036409,1166.875246833404,1143.408675901083,1115.6819149516537,1082.4856708695515,1044.988623327159,1000.9235258551233,951.2795767656482,897.4096219900001,843.9812423321861,795.8023775132784,754.1256383527317,716.4447397833397,679.3737264621284,639.665647424929,595.5226031479114,546.8246579419573,495.16212846867046,442.8951340164514,392.6613553216415,347.08995592253194,309.223455167423,281.2247511126371,263.9303138774345,255.18350938442586,250.20546021942232,244.0735453209458,233.96948846808766,221.08158645211256,207.7314747448472,196.05903164285021,187.94322911370105,184.7587792669465,187.35969573999998,195.78336993054617,209.1600508530559,225.97942008770917,244.73191492808832,264.2116971663026,285.01104958331445,308.42541214171166,332.41375648058084,358.1607741417716,385.703530974553,414.15963887836244,441.8729089939042,467.01138271108675,488.6459053720579,506.8282827859118,522.3411597785421,536.6908504290805,551.6866325421403,568.3098669859173,585.9245492843932,603.7004887392246,620.9794956630905,638.9080538655134,657.1237297263892,674.2999940100001,688.4101701351302,696.3761046514027,695.4384596988109,684.7664569236777,666.0379574599453,643.2600802906153,621.6000352496634,605.3369548538474,596.4579471726557,594.890771986572,599.1661617848781,607.0092710147014,615.6346058264106,622.1337249529971,624.6243644922235,622.2676586460085,614.7412118559383,603.9255846226688,593.1814434513531,584.3008771016176,578.9419809058281,576.395452088734,572.603565802837,563.059642811268,544.33506748
7kg_10bpm,7CA,877.80038531,913.7592797466327,966.6191992605319,1000.161717224038,1007.9806382412544,1015.8211744413953,1017.8971941353157,1043.3279030407296,1078.9947868180516,1117.0406817299872,1145.2923005899947,1154.3694444434334,1143.8826598552314,1123.951573513578,1101.5725214998438,1076.3097596865232,1043.8024699923874,1003.149460314613,959.547183826041,923.1387809521575,894.1436520884822,874.00011183956,858.3498585932465,844.9247788928126,831.6966783113158,814.7183759830803,796.9157190960034,780.2368844035709,763.8496214764435,745.0743250027631,719.8841254892253,684.1282570108036,636.6832813426005,578.9232346512814,517.3060279094178,458.9133398502347,407.6206282092725,363.5772012827145,326.8870935428754,296.58892679048137,270.66119394281714,247.4978376366896,225.62062128534137,203.8168836493874,181.9576167803964,162.20372073610145,147.23063532760034,139.75673950321192,141.30860387798924,151.0982565816103,165.64287440456664,180.16383306272763,193.41943736318936,206.99603828922568,221.94921631288386,239.56433449604737,259.53109456260415,282.09887803349307,308.2139743787924,338.31388251822256,371.90607339272947,407.21782595939766,441.7630255122252,473.27508055409703,499.1732654852698,517.7484579520259,530.5825192434384,540.5257993024095,550.1123491278081,561.0757456180996,574.0090666646507,588.1690154580419,602.5131930541224,617.1428348486547,631.9122365493821,643.9538009239928,652.1351039181054,657.66623614287,660.9193987832796,662.746498591379,662.8385570014456,662.906826883785,661.5014063064522,658.1509597351519,652.3786379582991,644.7480076052813,637.3658177969118,627.1531293844757,614.1341708646617,601.1411141960086,589.8062045085237,580.2352842944624,570.0129132853494,559.390714829942,546.7146265436327,531.7340700516532,515.5281370515652,499.08546954236544,482.536821032458,463.93348348443965,441.04873414
7kg_10bpm,8CA,705.49504754,708.6548158823031,716.6621982433107,731.951587294094,759.6543433988203,804.3520757591078,860.2384077461047,921.1134147653562,1007.7973644127838,1087.8362105437643,1144.4473200022437,1165.513075837204,1155.0298748760913,1130.9063812787224,1113.656750079095,1114.3095048132086,1131.3112979250457,1154.4654090518916,1166.6197809105997,1161.5224854257744,1142.363909690985,1117.641286874435,1088.3208557588378,1052.9793571640705,1010.41506457378,956.8536935043013,895.7681121340052,835.1219602097992,785.5008017494945,748.9831894027009,720.8622770722119,695.1890143661258,664.5382190868619,620.8722145550336,562.094521820816,494.6818680874767,428.9967044565854,372.554097989313,327.8439033183488,293.40045056334304,266.68536065992976,244.0890975995999,224.2612454294763,210.27010537964827,207.42731696174957,217.3329087671661,235.2897648481701,254.33041207333088,268.3523043334648,274.0577015249653,276.24264403000006,284.2114206739058,300.91759353029283,322.80658667445977,345.82416888287884,363.101500269584,377.6398412071164,394.74965874984713,418.47431511436685,449.9523626886651,486.7747664924113,524.262991580255,556.5105098361925,578.6132896932419,589.3319649419276,593.8107256462145,600.1095316146695,612.4590346451764,629.3379083865495,645.1721664258303,656.9217141011367,666.8821818803516,678.2024331071771,691.831790965406,705.6298631798853,713.5921763411883,710.6401604664875,697.5185963231218,680.2360256646489,662.7080333004856,650.6259655704733,645.9287137921506,648.2297532476721,655.2444514231498,662.9687253778775,668.2703324700781,670.3081215697218,667.8840399157189,658.0619105500887,639.4891794682371,617.3301428703127,597.0753616208366,581.5670488828355,571.8275167207416,567.990548827927,566.867559377211,561.6323476008688,548.5284818598618,529.5255950259078,507.2339820864015,481.89602151
7kg_10bpm,9CA,707.43367721,761.872717156787,825.9056938492134,869.3404940863019,892.0199477675328,924.4532470590359,946.8191325646964,970.7021232524821,1009.5452800225821,1047.283046609669,1075.9791623814501,1093.0289719911748,1103.594112612151,1121.002550843167,1131.2501863068903,1139.454906876496,1143.5525783797855,1138.7877860378003,1116.2771421877358,1076.3117525901123,1024.8667831278303,970.0326264470165,916.4214583234344,865.4492472494119,810.2763190614742,748.7686644767115,680.2773076922686,612.5532204530756,549.7127527819318,492.06847913997507,436.254371441619,382.15134445528633,334.7827881939156,301.0000680034015,281.3713290533896,267.91793290012356,251.33400483091367,226.46059495674243,195.77707666286005,167.33809014711383,150.05834865713055,150.04726377209838,167.61519309010032,196.27845476712443,226.65246481555914,255.4255180567892,283.5290661383241,308.36960413449805,327.6220121926335,341.5396205667411,351.38065594329083,361.56554892549775,374.9489695951684,392.07258836427326,411.6159050031634,430.6808110250179,446.48359765411595,460.14575115791087,475.63685463485615,494.68743429211924,516.0404729265997,538.1274897000662,558.48927676764,575.3196472215301,588.6245300227545,601.1830815066277,620.4840543846562,647.4371474144899,672.6996973049321,682.9590813440295,671.2708104819278,643.2987220020356,611.1851494748381,585.2749866621141,573.2131480475216,575.0430815879723,584.8966674708273,594.3610920493377,600.1492179995745,603.3490412541353,608.8858311063605,616.8006900232999,621.4028953316302,618.7317957194018,608.9323259626494,595.1532261518863,582.1521378245558,570.9717385241937,560.4095890481223,551.4726840736344,545.384603110368,543.46197485336,544.8131573612803,546.9029167182726,549.1811624889374,555.1277636911838,568.0046419644825,581.8670982832024,582.6353831492719,558.6429883047123,508.31189459
7kg_10bpm,10CA,845.61353761,915.0051154063042,964.3442307196742,969.6865254056795,940.7429362977612,940.2976430776873,977.6882986931212,1033.244287936969,1084.9529462118232,1110.0411237284948,1105.654589232906,1087.4808265435222,1073.9686349422705,1079.0241175750282,1105.135580513674,1139.3367295121031,1161.2342440659918,1157.6217957975884,1130.2610712868056,1081.9965079486103,1025.0641912349938,968.3007780759676,916.622836727837,873.0405671575757,837.9827401231455,807.5550223950694,777.3076764764388,743.0400279065002,698.4765863307006,640.341992671275,572.9002617174219,505.6510704656121,446.8967286707059,400.01822613996603,363.88203245260775,335.72042455249675,313.2492382300998,295.73509915148827,281.47656726560575,267.6591898995258,251.2343226955617,232.02874336199704,213.6023223618981,200.94340707066854,198.41128694810942,207.3918895178495,224.62038240630147,245.05138862194093,264.50559239425206,281.0086324423876,294.5875397847686,306.19919621189837,317.74435322476586,331.17481115284113,348.23696897042873,366.1219343688417,383.86742660955645,399.9779662990068,414.8525159193145,430.07395344931155,446.79560566326995,465.1360225075413,485.56437219155674,505.71754859474333,521.0900091962015,529.7744264825116,533.7576811096039,536.0143172559708,540.2719841353783,549.7824442549869,564.7993636504837,584.3266552461625,605.793027815331,624.02175281513,633.6417756886724,633.6001893659707,626.5055628491309,615.5367834485638,602.5194905224445,589.0620173744903,578.4115403932145,573.2514110941269,572.1065815114096,572.0000926917646,571.9913818403635,572.5457543608463,574.5495074605808,577.5896009563111,579.97007733223,579.3692701517101,574.4710811690533,565.2810742992463,553.3453393238827,542.2877727768272,535.7217381910382,536.2335172483375,543.3617905429816,552.920411153235,557.343505466964,548.0437440912294,519.51652955
7kg_10bpm,11CA,793.13895026,829.7681141533458,866.6741348950973,895.8047933003531,923.3453226300002,953.9453665099943,998.9062395049253,1042.1222211953825,1076.8882779,1098.4508735872994,1109.8810402354145,1117.0127711439316,1120.4295056299998,1123.5555051806296,1122.8593306030018,1115.7110676279776,1101.7860302799997,1084.9955119216277,1068.5900299253253,1053.2050648392499,1037.9749770099997,1018.3412741335767,990.8714698724094,957.1403266023074,920.0870555699998,883.4821376143575,850.4786869180538,822.0236365174535,796.97749095,773.7192403750802,748.1254802630149,715.5031012769056,674.25484712,625.7781609953053,573.1659927172608,521.356068173526,475.9063780999999,439.2639995645022,409.1716031248236,383.84544637729937,362.57463455000004,344.21057179775914,327.18676280833745,309.7491841568022,291.14102799,272.8698015472271,259.81431970499375,256.8034482435074,264.19604957,278.4196991342797,294.556491098291,309.0290484836848,320.76927339,330.6523937579165,340.0505613449998,349.6025200798935,359.10393558,369.05647588700356,382.6359466623738,398.5163888183006,418.38685333999996,441.2584365783445,465.6111728478395,489.5146410284204,511.35628692,530.1140147891311,545.6405353165644,558.7114565758835,570.97169162,583.9479051227768,598.5444433085071,615.2773822139943,633.69013401,651.8576606680725,666.7961740740033,676.4510398547637,680.9476859800001,682.6049839025632,684.0812641592519,686.1093716037004,688.0460487,688.9273910925141,686.3765838592401,679.8566460008489,670.50852378,660.7538778828913,652.6512655774436,647.6338609710616,645.91105461,646.2421234494647,646.5301676794538,643.7697699569085,636.61040149,624.9707283654242,613.4448938278546,607.8188495498913,611.2378001299999,620.9578237994972,630.7676396823462,632.3479664462235,620.38832059
7kg_10bpm,12CA,834.64266051,879.6031877151385,922.0002352644327,967.1044484274837,971.4863263575253,975.9552145992469,996.8739136777263,1030.1425730278088,1066.4405388049195,1102.8830413523162,1135.2639036954788,1154.3257939197476,1159.0812647725722,1154.2551279077122,1146.6706399337388,1140.8940137875204,1136.3061935999729,1130.435516554084,1121.9738154851254,1108.794155573864,1087.8842897700806,1057.3169717483286,1018.6696461002755,977.4912792286254,937.1233615836054,898.90497449,863.063798774209,829.2562032163314,794.6052249429398,757.7465504173651,716.0657606185313,667.1806048926959,610.9364792979521,549.2671901600914,487.28734032974364,427.83108795984384,374.0047388778035,326.47970694354325,284.21515895459635,243.69835699961683,205.26941112751012,171.22610949496993,146.7573485868132,127.23862145709998,112.31166382193305,102.71853028149303,96.21966006243467,91.31391926155288,87.14033429402453,85.47283249257644,88.78947152000002,98.94956962298734,114.43613870372633,131.70745700237242,149.02444851222083,168.53105915664824,190.3105695154858,214.1380108252779,240.11716438536678,270.7669604943132,306.7281432232904,344.70809557628627,381.5961353456696,414.84711572627623,442.94800445088777,466.8568464986091,486.9346083681183,501.7625556954871,511.1206364781799,515.380952628097,516.1404451385073,516.023909618736,518.3270658943019,524.5201828370047,535.3000393287404,549.87077228,566.1910964735368,582.4866135527781,597.9780240930039,612.3980604901891,624.7294516772918,633.8010665905008,639.6313360311833,642.8619363267768,642.4075867417228,637.1549751122658,630.2991761327837,623.0411811862781,616.1672667660707,608.8516418684554,601.0488313133903,593.2438465206334,586.5874371152142,581.844593385765,579.5015055951073,578.6859494937707,578.4778248862889,576.7631814360384,572.7416573936794,560.3958744883968,536.87855646
