cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,3384.6366175923326,3660.885283476686,3966.0042982941122,4225.343760332929,4421.615903410867,4578.5954097396525,4689.79416120002,4757.263007687619,4898.02224418515,5042.473824589012,5121.419924651184,5112.2593720486575,5015.022437611287,4854.656141151403,4666.221391178868,4485.415737915055,4320.148035940478,4170.073565769239,4027.7159937667725,3877.5409637387424,3694.52385245976,3459.1567790667427,3181.891501844373,2878.566083323283,2596.8551999892097,2368.587834113188,2208.272759442763,2117.021715634875,2083.7385851815875,2103.2521722433694,2174.500636754489,2280.2323035668364,2401.149864504571,2518.055375456975,2623.793992446988,2717.78899213795,2804.923641259468,2888.2836160272755,2963.944295608711,3023.947306226223,3067.3404407919734,3104.110883108814,3147.8153202706385,3208.5219137766867,3292.3057730563464,3395.4690811023484,3518.942974595267,3645.416061604996,3752.588535971544,3836.2811890539956,3898.583923776113,3941.3886873097663,3978.708474465865,4024.378499452441,4084.738204632244,4161.216295511542,4241.653171099338,4312.757391112779,4369.033182273568,4417.832962238333,4470.835268569079,4532.027171759066,4599.584649887451,4660.98474585614,4710.020531825999,4751.047806213021,4803.1102005330495,4872.531799546041,4936.122688353695,4993.299515770127,5036.949264775369,5063.8971995190495,5079.362289688472,5084.787077997625,5071.418419350163,5028.053823769777,4957.043369412423,4875.089339419193,4802.124014522382,4754.904964519702,4740.298470139056,4758.060884889174,4800.289275973758,4853.859798609632,4900.82527798204,4891.9190898648985,4826.112363850486,4703.499901956132,4520.654003510699,4296.54379764526,4085.320284918881,3886.3724981904484,3720.532536183974,3606.5758810632265,3540.5692537228797,3494.5458637891634,3441.1197950219143,3375.122417257931,3321.7832190258796,3305.9290063999483,3295.5006394168527
15kg_10bpm,10BC,3426.8698161594525,3420.934070907297,3600.6290697293434,3883.715293370633,4219.543663597002,4439.007364559971,4424.487864074498,4275.6237524783755,4246.737380081666,4287.843166065246,4361.385763506112,4431.4752206596395,4470.829388054741,4465.852607213432,4417.837201227875,4345.953311890655,4274.249017126575,4221.222813421055,4189.4258762944455,4178.374725452358,4176.586811918544,4162.6646921397905,4121.576726103894,4053.5483540653886,3969.7548940632996,3890.361903889103,3830.1162290975644,3792.2590602992304,3768.104390007304,3746.187479609288,3714.514184137439,3672.1528611763565,3621.866994774919,3573.319808053632,3532.4513974741994,3503.221992387481,3486.5198013852832,3484.605809801548,3498.4744908697585,3527.6165316718248,3571.641187718599,3622.9753638486827,3675.138443199425,3722.2761340589427,3756.805744574984,3778.5237742759323,3789.4211693383154,3792.830592743944,3792.8466113498803,3794.24349714216,3800.1927136322297,3810.8766790271,3823.1768173193445,3834.59417729315,3842.736899764781,3848.154857378696,3849.6889434871073,3847.047984816769,3842.309317794589,3839.150232844112,3841.447538781727,3852.273115043507,3873.5931877302337,3897.206158088432,3914.118066339418,3915.7389168327763,3902.359329810276,3883.10805686125,3869.7371279532285,3869.2248966475872,3882.1533302812545,3905.1528816760892,3932.9354939227615,3960.3769414803173,3984.3159117588157,4002.5799834582967,4012.828083336859,4015.1657820681808,4014.0730346111204,4020.216887126857,4048.6664367093936,4093.496898254845,4153.772592937777,4221.9919018771525,4278.826992457804,4307.421875023516,4294.253615710202,4234.854966836283,4131.2616933462405,3993.8854335372853,3843.024471278679,3700.4788250404995,3589.2651820988253,3523.60532691843,3509.424568986811,3542.5869647368177,3610.1418959171324,3692.1547839949626,3742.0195050001007,3739.633139506455,3681.0419297855237
15kg_10bpm,10CA,3371.8580305932906,3293.243151891899,3363.1354975570234,3638.4094680847725,3869.3445129023735,4050.730800664141,4048.2290496932237,4200.656446460711,4519.468697596164,4930.882079192437,5358.782625597287,5719.605332849785,5942.030999559455,6005.069169333462,5938.409939479385,5801.515797240232,5657.160909936941,5547.602371131032,5480.602114558913,5461.570731718626,5464.299905227472,5508.315357748741,5573.242609656076,5613.23867417889,5582.67820107702,5446.522472074531,5195.5574864894,4867.8279685064745,4542.587163794813,4275.789812321722,4077.6324546718365,3930.176509402846,3812.408484300387,3698.3573425146683,3566.2413782217395,3398.499727381821,3191.309850026785,2957.005811672919,2722.8679125259614,2526.0749945202174,2399.243750374238,2349.0992386756034,2347.2438004727987,2340.8868445695853,2295.8920687404825,2221.174236003713,2157.429157857432,2150.758591006727,2220.359998639764,2346.6044846345267,2484.7436204413675,2611.601149045677,2736.795452313441,2864.719281036779,2990.1248513519913,3098.2289097588446,3184.564095580835,3264.580119302628,3360.9210180211016,3474.9544667815144,3602.04025123766,3732.4477413053287,3865.2243742804185,4009.2441484191713,4171.810467518887,4340.320863221288,4495.643963726384,4616.363820545719,4686.104066329383,4716.075859441633,4742.615327346692,4784.417821833757,4817.482146395914,4818.904187473693,4800.754115139616,4806.832808280728,4864.622604147644,4981.607034612456,5127.595181466218,5260.318662768258,5339.445933645727,5338.097445843914,5276.17017055081,5202.7136196581105,5164.841442613034,5157.1495091998895,5138.434805186427,5036.557620032036,4850.116215350867,4650.267389784439,4491.039693529001,4385.445112316612,4317.228954423836,4255.295180383235,4166.500541866709,4022.9883109822695,3817.9312852289663,3568.6746339271303,3311.1650280811627,3081.062460283183,2891.891736234641
15kg_10bpm,11AB,3373.5915219025583,3581.9026331051073,3852.518872148175,4094.4094240018103,4270.965131089951,4396.314074371172,4492.989505901573,4537.479484734903,4640.556305113246,4806.954017990086,4971.141067728152,5088.058435262189,5140.174645796644,5135.177942507937,5076.635090407125,4967.21107118062,4810.5004647150745,4616.051235215213,4383.643518171635,4123.235374162798,3841.457100817142,3564.96984274388,3322.245248107816,3126.064288145583,2961.722679331007,2805.0063896425618,2647.937837955423,2491.6665872236626,2340.2946453931972,2199.0938788725084,2086.004105880113,2013.7260918256575,1998.1448950526615,2036.2788439729225,2112.7571283475245,2213.0050874769945,2334.2566078853274,2461.239912991445,2574.244546329083,2666.9135876074197,2753.9382610142816,2858.559167229412,2992.8179791248003,3149.0716572077386,3307.0550574481367,3448.420031970877,3570.8376758066283,3685.305273482064,3802.6941018574653,3921.3950183004476,4025.059236148745,4093.3204504135438,4124.387045691391,4130.906144085451,4133.793057492195,4153.1601770144825,4195.707500816461,4258.003992475009,4325.956465135268,4385.682476321332,4431.472001506774,4452.746938525008,4448.981481807323,4427.42941625672,4404.726595980469,4396.477800552821,4406.554018672967,4429.6044236971775,4470.238105953969,4542.252705221018,4664.734817495142,4797.5888451218,4900.791381918076,4967.321529090801,5009.311822089948,5050.07768290474,5099.304942355533,5139.491165137979,5131.554412893345,5045.971936918217,4883.868217854129,4674.869246739107,4477.145722540915,4351.917505666648,4342.613526136675,4445.710098556733,4644.024246356196,4868.19057641291,5020.88949585919,5013.223800780888,4822.560949146844,4505.644377493002,4185.165983109209,3972.2160371784894,3858.030211360264,3813.7074533337977,3798.5467104359745,3773.654084552633,3718.7262291583074,3641.7841785993246,3555.798358044973
15kg_10bpm,11BC,3417.6510472688233,3690.7596187166187,4023.715414925129,4363.105475788134,4528.264312798252,4439.55601742372,4233.848725465849,4168.934584274945,4198.085458845967,4265.389257541469,4331.534856781056,4367.496837917813,4361.387823319764,4317.794747133125,4251.764017939675,4177.6753004145085,4105.609690450627,4041.1101328648624,3987.1998807072896,3942.735346686463,3906.145713787725,3877.025955915807,3856.629189987556,3849.9678385377383,3860.055102180433,3881.5077082940566,3903.3920470154562,3914.240252148795,3909.0200919118865,3890.442214480924,3865.582739717371,3842.4474061307687,3820.379766521492,3799.3174640679,3774.313327818486,3744.168535324404,3709.5256513735203,3674.9705004442217,3646.390251063364,3629.4538678759313,3622.295717497755,3622.9392583033177,3624.7077791255997,3624.3257460959258,3621.724163905358,3617.3634268614496,3612.078130926186,3605.397289218764,3593.4423760218538,3577.993833020357,3561.6123419973533,3552.480362718108,3561.588402488091,3599.6925826080724,3671.287308148686,3770.137152499623,3876.26162324911,3968.0321363713015,4029.0373584663225,4053.9965446130445,4050.34096566787,4027.5067884630025,4001.587751812205,3981.9446854287216,3972.8650279117705,3973.9321417485307,3981.94198009742,3995.6495860279865,4014.9689744193893,4041.4405743529646,4072.5490564139677,4102.90418446135,4126.601677569299,4136.651074430673,4135.1828756675195,4124.044098654266,4107.270073569583,4087.538924865681,4065.2870668278883,4037.3354977358836,4005.080500627652,3974.187383230175,3955.1792331963375,3957.5797174732334,3981.873835431927,4008.545600780695,4037.9950854412705,4059.4462019465573,4055.2235203196383,4010.4984105358785,3921.080411109333,3799.008271653592,3667.6211081134757,3553.290011152433,3480.3119696743966,3460.904425231191,3489.0521453344386,3549.691988538153,3625.4106012452935,3689.5135754403072,3696.3898976567307
15kg_10bpm,11CA,3076.7872959150423,3063.147768866423,3099.5250489052087,3178.8657228820216,3288.4272737249894,3429.17327398553,3592.909115507046,3753.8701973145985,3956.894598776427,4171.304827702524,4329.692360859221,4502.3927944439065,4772.4074312634075,5086.149786165704,5365.885482986256,5540.817607234663,5581.640688234279,5506.943367530499,5363.976877400363,5223.82315546527,5137.499913007114,5117.770563374203,5149.592296014943,5204.887861384582,5254.181092062856,5279.195636093295,5278.912924119961,5260.124147556555,5231.674367888294,5202.7010114660725,5161.145985417782,5078.513300643248,4935.488573758671,4760.41625617847,4585.125428350481,4450.727523074729,4345.855602786174,4233.019692745924,4098.373861824454,3949.0793136671427,3797.059410712085,3651.5526333499974,3521.3216824035794,3408.9692998923992,3301.8010530574625,3174.621943832682,3023.867694077025,2861.52462737004,2710.581697955508,2588.423680032363,2499.7479065326515,2434.9903762480394,2384.4497925604387,2344.6877199588157,2319.688311969793,2317.8366739738053,2349.6785896082074,2424.9442635262503,2552.9777395320793,2722.410607475801,2906.9878421106364,3082.432216250875,3237.1452863947834,3356.524058695943,3437.5804782258674,3503.8299605992374,3595.4492676734717,3735.2166654159405,3921.735210480265,4131.024138976372,4329.656544287519,4497.368476382259,4611.235515404369,4664.0713214386105,4669.36226370828,4659.518464471897,4671.234965271589,4736.950167710995,4868.440125486333,5042.937668382236,5210.999157981425,5329.144514684899,5373.1078885845345,5356.176476660266,5314.401074917537,5277.655223016436,5255.661317017699,5214.8176685795725,5155.06124907542,5080.604033222221,4986.271662437392,4861.589462740153,4703.598950577044,4530.742219488206,4365.194821972271,4222.973681469424,4106.188617064096,3984.3445094644785,3824.2621747903736,3606.6866995257014,3346.637066993571
15kg_10bpm,12AB,3140.71349885594,3227.4631941201474,3517.4670204152444,3836.5989684522283,4096.372720097875,4237.631859783843,4225.976128471769,4296.521317460418,4418.393271416487,4537.801221145047,4633.770491717709,4694.19327542163,4713.086941038203,4681.180861005037,4585.440426648625,4424.31891061457,4206.579654994104,3951.288758122747,3682.3050489900934,3429.870311045789,3212.2502540117903,3043.3912305749313,2926.090386111933,2847.590348798281,2780.4613054190054,2697.5521972114716,2588.2492535769466,2460.8638685334668,2344.237267832598,2267.938839353769,2234.274820482244,2234.7135316844315,2264.40338423276,2318.6031554140127,2388.6935843596902,2472.8345597246025,2578.639727228381,2710.3547429204664,2855.920297274124,2990.2362770695927,3097.777993708438,3185.0716214390563,3272.0290377861056,3371.819111143237,3481.1203153868723,3584.0746224302025,3657.1984781667998,3684.6507419330014,3683.660118080617,3688.990280661483,3732.6590178470874,3833.5710936349533,3969.871385554722,4102.3524074896795,4201.423958813233,4266.388941942467,4314.593908561216,4363.966089457838,4418.713159676755,4471.62608026554,4511.317868353465,4538.358762782757,4558.322970633673,4592.251257692028,4663.589732602444,4764.675802784356,4832.43066364114,4856.751861353631,4852.797059511018,4837.694373439598,4818.589571874229,4799.302195343657,4773.389230738858,4727.13872602616,4664.490181642224,4603.733670939944,4566.259219043284,4555.591401571495,4561.696964867228,4573.374606896251,4589.274766055442,4626.80640270019,4707.269417481086,4808.416191601157,4885.18877263252,4892.891075491602,4789.844199238139,4555.003916231217,4233.061989203816,3940.0373963805314,3722.781789561368,3578.339465611709,3519.426898353118,3526.3763203182043,3558.1032382781973,3564.366830379933,3510.728083798514,3406.6204323255665,3288.139701767802,3194.107653099758,3143.376509381509
15kg_10bpm,12BC,3053.6912383203316,2991.7345831693438,2972.924945339789,2993.74862115658,3036.308169702559,3072.345524699789,3078.623642163765,3174.289278728094,3418.1396777824248,3670.39955250742,3870.1717344540607,4000.5611473357235,4034.42177702855,4051.958967145517,4135.373667179012,4249.545364295118,4356.162475246358,4430.008673012417,4461.872472853086,4449.589659334135,4414.599232312299,4371.8064340147175,4329.875256258141,4287.897472045987,4240.184962180908,4180.190126176302,4105.005304686219,4021.868802731873,3936.7428569429876,3859.4817647813084,3796.6583492606433,3752.9645419187923,3731.01664884951,3727.6154314805203,3730.2036888905623,3722.3043999748857,3697.382222026236,3655.559697581059,3610.50268686049,3575.315799475661,3554.121003276354,3549.9969664342866,3558.358705942814,3571.4919828777283,3584.9299572503996,3593.0507293141577,3600.017445944989,3609.2859097164073,3623.8903826079945,3643.1358749786036,3666.924410203046,3686.9634849484264,3702.7869769675153,3719.348677137734,3745.310440518357,3782.7353427515077,3824.801180449307,3858.2518226608518,3874.4246589916597,3874.695595378395,3869.5338105860556,3871.884411222992,3889.52859447309,3921.418524950507,3961.3344824979395,4003.517587433963,4042.766437517463,4073.8133198812056,4091.637885119967,4094.5333840847593,4082.6117004421053,4063.661098753212,4051.575369357855,4060.456482113866,4094.35739575991,4141.054665163704,4179.017620526155,4189.056544715404,4163.785998865608,4105.729151726184,4027.9594030469516,3949.7614552142904,3895.157603984706,3890.991325794418,3956.4519990964727,4069.4698618178736,4163.199492637291,4213.269365645601,4187.4699260386815,4067.6550408711146,3868.8549545604446,3642.385972995365,3450.662634028897,3339.321512215012,3343.743067119466,3421.981731957119,3513.1371322403365,3592.344853239253,3627.0267764385817,3599.3255228097905,3510.2872208742315
15kg_10bpm,13AB,3079.806832609953,3225.5832302669774,3395.3462759802255,3579.57214482986,3776.016965662088,3983.3801611870567,4184.365542024734,4364.500204215918,4501.228462070978,4579.125094888032,4629.597843363699,4704.251016028011,4787.903826106613,4861.5917093297585,4906.153568450757,4903.180520160972,4840.313334672248,4716.902572106178,4536.032012167421,4303.65847239708,4025.6282631061727,3731.763196532455,3450.882320385665,3204.291997485893,3001.625317404829,2849.98905848556,2752.6636178449826,2695.8602650142375,2662.494898810522,2641.990979548486,2624.549319965414,2585.6103515170435,2532.8573078938725,2488.418992041929,2468.8981596325284,2490.7285098288417,2549.4636468498347,2623.192873757376,2680.851643833665,2702.912279194085,2690.8339985719954,2668.4078543692003,2668.8693622204873,2712.967946094791,2802.4527080701932,2923.8031404927824,3052.8443934162856,3177.3601118567294,3309.8150632688266,3464.5227269407715,3643.966401542463,3842.2554383200654,4034.0866736710286,4192.533661787056,4310.029758886188,4396.964179488987,4452.512900902708,4474.175922622244,4476.904024068998,4481.889549870513,4497.077149713182,4516.077434247398,4530.512937816293,4537.372527759091,4542.125318008742,4547.448885486935,4542.896903001358,4529.743670096552,4517.831359773568,4515.166768777755,4518.250039811501,4521.9894917940555,4531.921107883741,4591.521743503501,4703.602570673307,4776.6870943732365,4795.483550915243,4779.877087000682,4763.933451460538,4763.013609523222,4764.609913318638,4741.542789546419,4674.381360119732,4578.206450505248,4500.054671850479,4485.487398634416,4553.521193815546,4694.697736018002,4858.0708846325515,4962.784180988511,4925.4367153689855,4712.422098605408,4392.512404723961,4096.263597142224,3878.640126780475,3757.468702724136,3703.7422699079525,3663.089905853457,3602.910069927083,3531.387522661605,3472.841858213626
15kg_10bpm,13BC,3120.2554146593257,3279.950545084009,3549.3117549503722,3845.3919770074735,4143.186074156417,4391.093984673454,4514.945358221426,4500.963139976499,4417.185073132866,4380.34606821833,4369.033958105334,4370.351244298186,4369.944362025668,4363.731676566916,4350.754302678718,4331.827305050029,4317.136579640127,4318.003489407935,4336.8365466613595,4370.532167707833,4410.683955183818,4444.5222708798,4454.122771690413,4425.5952272382165,4352.079215616762,4236.945923496301,4096.293294939377,3954.18584668656,3833.898550065792,3747.699543521834,3693.3184824123123,3664.2129930977126,3648.0776836818764,3636.2714014162416,3623.304472420345,3603.84121499468,3575.293986453201,3535.3619654298027,3481.541136003247,3419.987168742002,3355.7183795552723,3298.026434096272,3252.1669807667868,3227.229232402739,3227.2412055192117,3249.442545338232,3294.129756343259,3350.322866861865,3408.8499900812662,3461.4341413315956,3503.487589792796,3531.098301546964,3546.2780498766783,3559.426500792301,3577.3847312974226,3608.710569252032,3655.78129354052,3718.7343675314264,3785.9028999362313,3850.16625247456,3905.8516065207277,3950.584106933427,3986.0668157266095,4010.301888371792,4027.823272463475,4046.8601224334193,4069.6625348682114,4095.668349599238,4121.79123799365,4148.809191452534,4183.443967415303,4225.57674842575,4272.6681763639035,4314.4879360448585,4340.943189808753,4343.286651300465,4319.156198585304,4273.2690099713345,4216.629737472666,4166.725875218246,4141.61729077863,4154.5075418467895,4188.625791056605,4234.199961470812,4283.041100498984,4325.870518253553,4347.433312691759,4329.086457536496,4256.351085144107,4131.049379329274,3975.937478227091,3822.649571791866,3700.8908982571697,3622.4933565671377,3585.2884454763525,3576.032788274091,3576.09082839479,3570.608075301163,3553.328548113384,3529.220616131493,3485.902838988974
