cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,3870.184871290934,4086.8538800849537,4435.150757991247,4793.902414615454,4977.183805709561,5096.0971091063275,5224.2933218764065,5357.601960209429,5441.372346972374,5451.763832396881,5450.717072626703,5453.60191488956,5355.819833477297,5198.099148730536,5017.127640456764,4816.764525025982,4615.916534477415,4436.498011966945,4296.064398525622,4172.829232986817,4027.02017549261,3887.6495269589354,3784.6769716275944,3724.682188099752,3660.56337641477,3578.278113904072,3410.2270598880127,3001.697620652193,2599.2050022276812,2278.629401910534,1966.5465385741634,1724.1627812124389,1507.6700847972645,1328.1431333370933,1242.8808239594855,1255.0349061203428,1329.7928113226167,1421.0008942837467,1493.9750802088085,1540.6913166987013,1584.8811614600454,1650.3411255356752,1764.39180694947,1926.952147434676,2130.0689517372484,2410.9842635595282,2735.8772738816197,3023.8043062749857,3184.522410066933,3251.1527758520024,3331.3683166275555,3461.8042600060235,3646.707509884366,3882.1320658996483,4085.8217663258624,4229.970125675854,4367.480989560715,4558.500346577889,4809.92635761427,5005.911127516257,5129.340663877866,5215.624504873163,5268.274677171646,5290.545528932526,5293.460904224305,5294.5042493827605,5287.137106635845,5268.193978013466,5240.818639479548,5223.605156761978,5257.033297468878,5334.527416414133,5380.383779206728,5420.877117921727,5431.736504542279,5421.857905564249,5405.350619744092,5402.550226111901,5407.771350376356,5410.489323784716,5403.298996193995,5371.868764809619,5316.73151365374,5250.565590476683,5214.28244097602,5236.5030377635185,5319.340480556825,5423.299604683947,5489.408368287725,5534.582190124479,5537.263694480489,5459.623526854298,5319.136082600561,5177.131673857276,5089.027782960741,5071.751620044135,5085.975876370242,5109.986228923214,5126.68429557593,5096.054176706939,5175.065565794477
7kg_10bpm,2AB,3454.615441964089,3723.1286687431984,3981.048458279943,4099.884099187661,4041.457022148424,4032.6280443523406,4085.860916884765,4160.8911800140495,4222.4649509083165,4235.507641628348,4188.385745517364,4085.86521478228,3944.8622613630346,3778.281088900817,3606.2527247660796,3446.708240652998,3310.3948290896506,3184.4410079149634,3060.7279577045742,2926.474629669164,2773.330344269317,2604.9694171079977,2429.350842413613,2256.7669860397496,2102.29558216685,1977.7135519991587,1887.056948435512,1824.3732088667496,1773.7633305578645,1719.9648634047635,1653.2002953368128,1572.1977930603498,1497.5073184400444,1439.5598796674105,1415.2793615340272,1444.4042553386382,1526.9669468580882,1652.6450366131373,1806.1585440996953,1971.235209768484,2136.7567659172996,2297.0768582732535,2451.382411680747,2600.185579733504,2746.672587675493,2885.9075214624345,3015.523781509033,3126.139452633184,3221.638236142472,3313.570181683403,3414.987764438621,3514.834492077239,3611.2722055571717,3686.2083242420304,3737.3051638033685,3774.434582225444,3808.180328068695,3841.8020042309267,3881.1262086535166,3926.2345464192563,3972.2539562154984,4013.868064655487,4047.9773526933404,4068.12377714983,4080.6249465652395,4090.8668412299676,4104.693298731533,4123.6319674818615,4140.523113113784,4145.7641845795,4133.2661707435855,4103.402028643613,4070.852703954179,4045.388832206823,4034.047700249509,4032.623049916436,4030.7815364650482,4018.5767835821666,3990.1918467457676,3937.084656212705,3859.617638674717,3764.2975666425805,3668.0707190158896,3589.070014564805,3550.1397411899106,3571.1209355156134,3658.229344846312,3751.275815565187,3787.965149668142,3763.4892934160607,3687.845971477892,3592.2951028250113,3521.4681491393194,3522.556302323873,3616.295387061346,3724.9043453033314,3826.154974542908,3901.5324557621693,3937.7859312054406,3939.201092853542,3904.4049955109735
7kg_10bpm,3AB,3762.9339044437224,4031.313770398102,4216.6393263811115,4166.702996845854,4020.241871076084,3983.315529161273,4044.1181910363316,4159.903242543945,4281.080909791859,4361.1234258012455,4369.672230095602,4298.98338953821,4158.196365202592,3978.925515208522,3784.09645868353,3591.616286700234,3418.075888123639,3260.284351016805,3109.6882458688124,2953.5118109436744,2774.8226190305563,2565.157919504459,2328.8053403985905,2077.5923825894597,1831.3441100196337,1615.7196095360916,1453.257053662015,1358.6032678692377,1322.7078919167402,1322.2718460572275,1335.1388774462437,1349.6178852115377,1363.7373153909718,1379.4393249261093,1398.5695399210642,1435.194786371407,1502.3443309296918,1606.0331675057475,1742.5220389896135,1900.295864820156,2060.6686881207866,2206.5521953528623,2330.9526394341938,2439.273284528483,2546.112132833239,2665.363045449335,2800.9413366014296,2949.0765016818254,3100.585220918138,3237.104578058077,3341.7336012039746,3414.7447616935406,3471.5480943092116,3519.8768333482794,3564.5624385045235,3608.15943681315,3648.6411127976407,3687.631753682794,3727.9675381020643,3779.9440478900046,3840.2523811889196,3897.617237490631,3940.2115804379755,3959.753568575826,3956.69401771715,3940.7100262316126,3919.4774707562406,3904.080274280452,3895.0010619959535,3886.6024496488285,3876.795590977685,3875.95350131931,3890.535900741539,3925.2174061140076,3976.162827339674,4035.024334510841,4091.4151441548734,4136.733915251693,4160.826339718994,4165.239029932653,4147.058014587094,4112.868981132955,4067.010446474248,4025.6812792278433,3989.3575864665763,3961.0983675386424,3947.946936801009,3951.4662974502253,3965.176601361956,3974.6923524980702,3967.976441903646,3939.755141428985,3890.8754176188795,3836.374535366202,3795.865512559988,3784.638143133992,3814.1304365950054,3878.7823773318705,3956.333149413588,4033.21391078546,4093.6144504088993
7kg_10bpm,4AB,3694.762628866008,3993.2785079334008,4268.208386377345,4318.359183694521,4188.987846139689,4163.897040386923,4238.9383351334745,4379.568768711746,4531.448782327468,4639.123862889156,4665.417500434711,4599.1217583079615,4449.307429519441,4233.448211534945,3985.9161527013325,3740.259011946347,3521.431744039625,3341.920157278321,3182.359363942937,3025.541448845601,2855.3282560840707,2658.411285104661,2433.337012802649,2188.449139131409,1938.0456854806887,1693.6460689993376,1462.7646719656327,1251.9492115501919,1065.4865308857454,910.7978077754562,808.023879567027,755.0905644374911,753.1101000759268,796.8693252750359,884.3648072996081,1008.5553358255563,1156.7800227071064,1316.1941459667073,1477.4083609689571,1635.4532087575817,1787.812304573128,1934.428994132143,2074.1866768537498,2204.605749014532,2324.29699114051,2433.2612468248835,2533.67264363917,2629.6662094979583,2721.494087199989,2810.35133078576,2903.500032914867,3005.3601423224304,3110.2823162655022,3208.295467120682,3299.511894481738,3396.1167848886025,3502.7414223440364,3628.0140049877573,3763.349548298769,3893.115010596933,4008.1871343435982,4103.413736585872,4175.929829160599,4228.993260310228,4270.777574541054,4312.251133979116,4364.022044508154,4424.475520502537,4483.55532198424,4528.507150287787,4540.9921468912935,4504.508148595471,4411.3343639497025,4275.554164640916,4132.691527898868,4017.819497970516,3947.4018437515406,3923.4535101928077,3936.2188298246583,3965.9004581304416,3992.2647271010164,4001.661461402688,3988.9681904303316,3960.0495058070755,3932.012911465216,3923.1967747089557,3875.3968903161312,3799.508451014758,3722.9479906664055,3648.650000908864,3579.715259356062,3528.877015638632,3502.28170113353,3448.110254415868,3402.575217029469,3405.133845504251,3475.0443502694507,3602.6839832610167,3756.9197624344506,3895.622373256667,3984.991470111317
7kg_10bpm,5AB,3742.4879635808547,3927.2106253720763,4104.5026824267825,4154.053884977749,4022.3870395064296,3936.4785351743603,3948.8784670086893,4022.526819337989,4109.394324286541,4161.701528880674,4157.54352454662,4090.8940608633925,3975.3846166357675,3833.5326115337252,3686.0075137440367,3545.161850227259,3415.737337533411,3298.3198878257344,3194.011179364668,3097.681121437556,2999.735149822346,2881.958181125623,2728.0588926515225,2535.2789546074655,2313.9830548913524,2083.730634117992,1864.9233194698343,1670.1754213922613,1506.83501704448,1379.3772327171907,1290.2735363017491,1245.5834586731564,1242.4997602555395,1268.7469181381136,1321.8494150352121,1394.2563797172647,1484.536117662055,1593.7689641994607,1714.4077363696292,1838.159287121988,1962.7330977063443,2085.9575223789934,2205.9221192570394,2322.2065691389776,2432.8442751022335,2532.0844421169054,2615.492788895563,2686.0990569292444,2752.4564442251194,2815.778874992434,2882.9873869580297,2951.0036407792304,3018.9592331938784,3089.088031952352,3168.3974907803963,3259.372545798971,3361.1741931231045,3456.4966143657953,3546.911564524823,3628.8149325631903,3710.2122940303852,3792.8846519140734,3874.768230903242,3951.193924040604,4012.0663333976363,4054.290055976734,4082.151294192321,4102.991210883947,4123.766452562003,4147.432823433141,4174.993670456288,4201.333476522798,4222.04367889579,4234.068895920877,4235.977050235466,4228.02938153111,4212.114768736307,4190.46520064671,4164.694619346067,4138.081903846869,4113.450642203417,4093.7224541568726,4083.5204518387827,4086.376558891203,4094.075240915614,4102.075505863182,4104.011490426118,4095.4182138013643,4075.093770817475,4046.745271974854,4014.7302027990618,3990.458021326948,3978.7501059697115,3983.2949680659435,4002.8131688082344,4034.0006637308675,4080.925795163328,4133.615034774476,4175.846208110988,4192.212988903898,4172.643710150713
7kg_10bpm,6AB,3660.0102976561925,3905.763470654679,4135.935407438906,4130.3024182364625,3940.3804037869713,3850.37272555439,3873.8733390630923,3981.600667763156,4118.099503188985,4227.638739895569,4268.901155711721,4220.659301675054,4087.628583651303,3896.52278580417,3679.048838353829,3465.318316736898,3281.1978411163263,3120.411213452958,2981.6560163265963,2849.5565004832415,2710.8259365443787,2556.312830810327,2379.052808820382,2173.778964633549,1945.2061328684615,1711.7113223152328,1495.9652519053723,1314.7680672386862,1175.8139532208806,1081.0561091612233,1026.9990159611866,1006.2775520018726,1022.2831532480831,1075.1262427682993,1165.318920012955,1283.968780787016,1417.7405621375633,1557.1184050677675,1696.456019319979,1830.246364024045,1951.9099952553825,2058.436433175405,2151.59971561529,2241.094162165737,2337.3533540745884,2447.291576074884,2572.973553356451,2711.67309810245,2856.4105734693285,2999.624663510043,3135.557212921347,3262.007573427411,3379.096285450166,3485.976741606982,3579.148706813761,3654.24222785292,3710.109954930309,3752.3036347029138,3785.7852917924097,3822.8376987369224,3866.1246829158376,3914.2909012712757,3957.7875833135868,3988.9641108289143,4003.5111909260254,4001.6509847980196,3990.368026806753,3979.1947034713694,3974.604077237761,3981.880958976127,4005.0327892829773,4040.2598553562907,4080.3533611512416,4107.470118663072,4110.253525663972,4090.5413504866337,4061.234755855437,4035.948964318887,4029.956424398876,4048.7095706380683,4092.3868149193822,4158.020158897023,4233.389303904822,4303.506260571212,4357.011564969891,4386.620384648215,4388.43785822294,4361.908399196503,4308.500332248836,4229.035839026872,4131.6298052906,4027.5005390019955,3931.4038290343615,3852.2955486030396,3793.8247235521467,3757.3852158714217,3745.264186067868,3762.8296190934916,3812.2893431987113,3888.2341471966706,3972.6028771099063
7kg_10bpm,7AB,3638.6787906644054,3870.927745580356,4068.911775443573,4132.95913584085,4041.3591278370754,4012.0083678122305,4071.7443296379834,4187.636721496502,4307.2097304952695,4378.743943994378,4359.748421440423,4247.018902588252,4060.553149694557,3837.1459731053164,3609.0902291922944,3392.6715508250336,3198.696849385674,3026.528072938871,2866.5081720784137,2711.2226900161722,2551.713767500682,2379.7897830774555,2188.2383057491766,1980.1011155887263,1766.4961262545394,1562.8151491698486,1385.1310579007845,1241.509082379914,1136.5417951338266,1068.92865265936,1045.3419104696131,1070.971621577286,1133.882728458136,1225.370023537164,1338.1368741685644,1470.6989188789717,1615.331485036282,1759.4141038880202,1892.4075580052745,2011.466149359809,2121.7358218023314,2230.033503622513,2340.5947555203975,2452.8231995014157,2562.7938254912506,2665.190729892668,2755.430933910469,2839.1240252817643,2929.159639381954,3033.802271282424,3146.8864344067,3254.9660754609345,3352.0174077043516,3430.4150989412433,3494.4724793848122,3551.527434211391,3605.6181111834003,3662.041512841487,3720.566969371517,3777.8636316104785,3830.6185956076206,3876.5017051428326,3921.123195875428,3961.922533308194,3995.0814903557884,4017.0546143122747,4029.147803914103,4035.1887341126117,4040.897045409052,4056.654637233748,4091.376128515025,4148.945708057359,4222.394468268334,4294.507866464055,4345.2847729852165,4360.624253639393,4341.04454923236,4296.669325933507,4235.791459228554,4164.052075846957,4090.4779878061813,4023.2012560981757,3971.542285362532,3941.039404295113,3926.4477739435742,3929.071052297165,3958.6434817575273,4000.0174817229213,4026.0556287114578,4012.4024499165835,3958.490625719711,3865.1810604578004,3740.7229792592802,3611.2211134798745,3515.0842219384217,3483.266695724325,3530.071127250651,3644.6012088845873,3793.024086649168,3929.2072040088733,4013.032780883734
7kg_10bpm,8AB,3717.5260188000975,3854.3302176749235,4033.0647440668226,4076.1114207837586,3913.1239409772525,3787.07241667394,3795.922875398125,3897.3341940505193,4031.210171770721,4143.018487027005,4201.535264681349,4191.550830243219,4107.002476566615,3969.419712343742,3790.060299207751,3585.943132598599,3370.8976426780164,3151.096858441818,2933.918617252036,2721.8261979205267,2519.3045837223203,2338.854493968137,2185.9099134013386,2056.1689126283877,1943.886517175985,1842.8627073386317,1741.9706822840064,1639.890118772545,1542.5925442278149,1462.0700819646738,1409.6253935388074,1383.6268100262187,1373.6480691660936,1386.3231299395754,1431.5529781046307,1516.7417144021883,1634.8847170182976,1767.7675766316243,1900.315230818203,2023.2416295202502,2133.7095732549988,2238.5449850021873,2351.8973187412844,2484.4491636824746,2631.743567395155,2778.4205716453703,2910.6615394977994,3023.295000622716,3122.8664875772756,3220.3872512063676,3321.6022069228657,3424.6976102552107,3511.852291172521,3578.854140965492,3617.4364769936697,3633.2363836449817,3639.651151590052,3648.7068827312996,3671.263968118812,3706.458890075376,3755.796641336459,3809.11686411494,3858.833901870817,3902.226311825031,3937.0229323142676,3959.30749948571,3967.241901877625,3967.210290903717,3967.746227637981,3973.704128137827,3980.098706002259,3987.000474346854,4000.2797359036117,4024.850810476341,4059.0340058199554,4100.448994608421,4138.9084213336855,4159.991146181199,4155.808843617364,4126.725775013135,4080.0586870005313,4025.219776803453,3969.618598380275,3922.3776777079856,3895.0033880473607,3896.249971918201,3919.0056928118156,3963.9708230123747,4020.808194376049,4069.688852261818,4083.3721234075983,4045.3394622494147,3965.583823997434,3863.1004413118535,3757.740535570567,3679.808967638659,3661.9561236208747,3717.1668468657413,3828.6948086632874,3951.8300845045146,4043.530142243311
7kg_10bpm,10AB,3428.008527826553,3632.477800190185,3829.2344110666318,3880.996561151416,3747.194018495366,3676.3905608125856,3729.399749491614,3846.694204502844,3954.8492519879574,4003.493817331788,3982.6102200626065,3895.4469401359997,3747.155510565959,3546.560717241176,3323.989278421537,3100.445779890025,2896.8383829445524,2722.370290234855,2569.486655634548,2424.2068188263956,2270.569627446716,2111.733874082455,1963.8991099861173,1839.531566093534,1757.7412012320344,1738.4668343068743,1773.8782091597882,1846.6891592459122,1937.3446919114422,2022.5609139877472,2080.694452746804,2107.1932675083476,2112.9965513221696,2113.577207435241,2122.4034242994467,2145.3366169150577,2181.15957982212,2225.028015369491,2270.6568131151084,2306.3549370684805,2325.440215123997,2332.287859896801,2339.657024418441,2356.0335121774033,2391.4953096892623,2453.369793727865,2538.102367162066,2636.585954106029,2745.6766231522224,2873.1048123891796,3013.628988649004,3149.3743479115265,3266.6080925359975,3363.8689000856425,3456.8166923634335,3566.4159976437345,3691.914661372339,3808.7525958739825,3890.639868077048,3934.3754948940705,3963.65803477488,3991.0008546843787,4028.218075091457,4088.95431573017,4191.4192035897595,4300.828109908796,4323.876036231134,4204.976818029249,3966.698215772517,3701.466022579637,3548.840041967851,3590.8254046453003,3810.959023744088,4091.7447608569964,4257.785220743439,4214.176909705218,4034.3192482940517,3866.419582580959,3829.553518369969,3919.175672172003,4063.855013985325,4160.357619481139,4148.028777255155,4048.614290876831,3904.648781044547,3779.7313286468384,3704.4355780449105,3672.460610627536,3658.029711645627,3632.8474210612435,3591.6027238569595,3543.1704294355695,3503.4283804156366,3478.9513899842186,3462.622320021391,3419.94507455335,3337.9686521631857,3220.9212679065517,3114.3393418814726,3050.646237945706,3047.277472996023
7kg_10bpm,11AB,3473.667122901121,3805.039326647387,4045.44103742314,3864.0645907069206,3790.141407537876,3886.9903759411927,4045.381689174072,4150.338142626647,4147.211639996192,4051.2995679148357,3907.9285507768,3766.0301109565553,3640.5709578221836,3504.8153322703047,3320.5702697971715,3060.211591784848,2727.530562066176,2362.070535991504,2012.9350708260827,1725.9795855105192,1532.9120030826552,1442.83794729451,1436.0034602217177,1471.0490761024573,1508.108407837855,1524.84231721379,1520.9198538795413,1521.1638273263693,1558.7324107304107,1647.8567800277808,1773.1922854533946,1902.6518658702043,2008.6546375134342,2081.5586623057447,2133.638739990658,2179.923165934025,2234.5169497366546,2302.4759819250276,2382.429986520161,2470.6007628613283,2567.9949913282635,2676.9116442704767,2796.7981918208275,2929.349865910836,3065.1333698461804,3196.242079104022,3319.5691051064337,3423.1142827409085,3505.0671556598486,3582.9269612676503,3662.486291581238,3741.4271397269613,3821.162403370589,3896.9598515940957,3951.292765255108,3971.6346723417983,3961.843317231448,3947.5459259233794,3952.0639120951155,3989.9337416581347,4047.4825171574043,4090.1067353795447,4093.0622782217506,4027.576117021417,3871.191717197159,3641.433828836448,3402.2309464898512,3266.92951659684,3346.5226629252297,3628.126271651553,3953.8194955354543,4152.53625135097,4189.80920264129,4076.228673825227,3910.957707713063,3797.2767802401163,3754.4151061821067,3763.914446367433,3794.097727741027,3824.998827680056,3855.669660602412,3894.1735951879955,3941.9882710102365,3986.4456026794946,4007.082101660138,3980.7232915692584,3899.2332266391763,3781.6260569254537,3662.1706831716665,3568.307602510916,3502.420881239302,3460.747060132038,3433.667534461103,3408.8764156562033,3377.2893572431203,3335.0343797890264,3287.7223263628657,3258.016246248041,3260.525813132799,3292.937872288891,3331.7956187769582
