cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,3743.169247875278,4060.9924683817244,4380.660026504468,4374.52386324302,4186.662865874569,4070.184382939289,4000.5928776659393,3968.8035183554057,3961.569431544201,3958.0749786543847,3936.6367402924693,3879.5464450427226,3780.3408366542308,3646.785509934866,3493.355708819358,3339.818222801559,3196.2148562111975,3073.9253989479457,2976.982331767575,2907.47019215559,2864.2639141605378,2843.565703451944,2838.8563843838588,2847.997203743613,2863.7733549726613,2878.7311455698264,2889.6326511945826,2897.430895204171,2903.37370178937,2907.8198757287987,2912.126923536811,2919.4151916950073,2933.016063276276,2955.6095043518644,2987.8396336284454,3024.486082230222,3056.450176323257,3077.2357336866135,3084.5205423266843,3074.145674344359,3055.900892843828,3035.4588086651574,3019.714784128678,3011.7776125142245,3010.867012563496,3015.104101394731,3022.0552365912304,3030.157406111502,3037.462221558123,3045.9747023929026,3059.494661715629,3078.3784643827494,3100.1598380308656,3122.8146847290227,3146.752238450934,3171.5733537150145,3198.7704994961477,3228.718154087667,3263.005388455595,3298.6193798073277,3336.470999103979,3372.5650883526,3402.1028353645415,3419.584284403602,3421.474205093325,3415.984380101124,3410.459743562994,3411.921245055212,3422.605474188421,3439.366738811056,3459.61951636878,3481.3657864954725,3501.2366055357966,3514.3697219208466,3514.425805659143,3502.3017382925304,3478.6659803900448,3448.0738140509,3408.2771784360966,3365.19370753185,3322.0767390488427,3278.379811804486,3238.5433296818815,3207.329813053185,3195.461826348266,3204.6809792097315,3238.427571483285,3299.207814238264,3379.1022751493506,3463.3251750303525,3530.8411871081757,3560.9870079591287,3546.2961378595346,3489.085004376266,3410.078952354696,3329.76822949037,3268.849099019406,3237.0784338522712,3235.640636468971,3263.507622209065,3304.841906126421
7kg_10bpm,2BC,3504.760969535749,3759.562027659857,3972.045481752043,4057.062195784837,4031.261709809656,4028.8722111179427,4050.4099378921123,4086.295732751524,4121.774282178027,4144.595755038703,4143.969098634261,4113.013657093318,4051.273268957603,3962.5077715116668,3852.7990948410347,3725.58573496095,3586.4021171983545,3444.0225455440896,3306.7478548629706,3184.640889986427,3084.616569388191,3008.801323004518,2956.992314182412,2922.6274124319602,2900.881657806399,2882.75625556,2863.808062618313,2838.709295278999,2804.6879538588896,2763.6611257738236,2721.3496816396564,2683.7814053077323,2654.646616864342,2637.1011552317505,2633.286296025212,2643.6184964807517,2666.4334086310228,2696.79865650375,2727.554213981193,2752.4470655878126,2767.1274489271655,2770.4131695601764,2764.6726971191433,2755.1104973496276,2747.2694743903876,2745.7997662477214,2752.2814252643,2765.5203155365202,2782.412302784103,2798.884498207611,2812.1576800303596,2825.6800610710984,2845.5043674141725,2876.5472450403868,2920.532265863475,2974.694286873305,3033.3454136229943,3089.0844846407244,3139.236408392958,3183.9414396021775,3226.9885912330556,3269.4972588958613,3311.8828758796935,3351.414733397192,3389.7092934436437,3427.7936776113966,3466.764048147899,3507.4347018153217,3545.8641708157784,3578.2649704578403,3604.563557361994,3624.1475275900757,3636.472580906809,3640.508621509981,3634.238121393765,3623.3642435272363,3613.16811359689,3605.751759318488,3600.9630850842645,3591.0282556676784,3574.032547620754,3554.951471904321,3539.141183054743,3529.2083800142263,3522.166755583983,3512.488018806369,3495.3283677928907,3466.360227783675,3426.697749218158,3380.6718444384555,3336.3524715562635,3303.9380265611053,3294.802174828557,3315.1660326111964,3362.364425043315,3432.7025795335744,3512.3282349814167,3593.7932432312477,3673.096673531896,3755.291091925427,3837.4582109533453
7kg_10bpm,3BC,3924.625370682623,4170.148187667789,4361.252484585288,4284.770352460255,4140.333271344928,4056.435146659983,4012.2929475166297,3997.152124136598,4000.1735208108094,4008.1500533700755,4004.2267642002034,3971.7472775599285,3901.56640820747,3799.279965419215,3677.5227972662265,3550.5403392819144,3430.6032643737485,3325.942424921361,3236.895961843488,3163.184240011681,3104.0798514161506,3056.627054651734,3020.693451195509,2992.1004352977898,2965.1753382338748,2932.6792144628057,2891.811708248659,2837.8717324065847,2778.5456656342953,2720.581340994862,2672.718771472265,2639.965048084494,2622.8193721475836,2620.824006267842,2630.0374999580854,2644.7256431435326,2658.855616848126,2666.453916457694,2666.468423738998,2659.78300965261,2648.7943750459717,2635.1632363257527,2623.8744100502945,2615.7173061718395,2613.0997826673097,2621.741255678175,2644.906229418647,2678.7876356701654,2720.4091661086677,2764.5109236078442,2809.649892292123,2857.9716443667994,2911.6661493491356,2969.973118431163,3031.4685429250626,3092.421266542975,3152.775915143762,3210.6464772193794,3262.1080021203657,3305.556429518204,3339.145284800154,3364.247765704809,3382.988381891162,3397.864410156799,3411.3353114946494,3422.1243177555853,3430.453664418161,3437.3588045026636,3442.918785364461,3451.058014599162,3459.89078395426,3468.429720521432,3474.2146806223964,3476.507509492974,3473.604176560164,3466.3226968242166,3459.5667234528796,3462.079913025425,3475.816918491839,3499.8431899323105,3534.4348097342818,3574.6917844837735,3610.828215783513,3634.0730821008588,3635.396296527558,3613.2721726539844,3568.6539088557097,3511.519029233042,3452.222953814356,3404.99457068439,3381.132381894924,3391.3171331439044,3433.6020448518248,3506.7340078287866,3601.6964704073143,3714.0327113614326,3833.6563659582935,3950.733886992268,4056.5522297515377,4128.068728940215,4148.488692833359
7kg_10bpm,4BC,3809.3929831984033,4069.0833811046386,4144.109766320363,3994.9252354975183,3905.43409157478,3868.6618892073666,3882.341561359115,3932.5817924699286,3995.933805221583,4046.11090467592,4062.631221742069,4035.0164317050585,3963.739102956949,3856.3202853049356,3727.1951788660003,3586.4827314324675,3445.022753423925,3311.7538648147674,3192.7595552610906,3095.341679812387,3022.091916841934,2973.5593918609125,2944.213232642223,2925.434704041666,2912.0732041280116,2898.629422224062,2878.513468575686,2849.7825892252386,2809.409559126676,2762.7198077117637,2720.2861375937614,2692.927379227894,2685.682842949737,2698.9031714112275,2725.0654524897236,2756.1396834065763,2782.5991137175392,2797.37508480251,2798.283574909322,2787.9116590898516,2771.5579080088564,2755.534084211378,2742.8767450019345,2729.255914561686,2707.7024052228885,2671.499536678736,2620.0926476471814,2559.6830551325997,2501.8475128252812,2458.843282230071,2445.157133369216,2463.0088837939975,2512.1195810767476,2588.2876485558186,2684.4603590761017,2786.623970980582,2888.199193950297,2985.7645201531027,3078.464645734347,3169.8406237855615,3260.665853128522,3352.2801993715766,3439.4386882647796,3514.2255002529,3574.22119367398,3620.4309399997987,3651.9435333284305,3667.379149116645,3668.1193628961264,3656.7668402807135,3645.5391859516735,3639.6588230265893,3641.4755693885772,3646.9516670751536,3650.391810434303,3645.963161022143,3632.1472312166657,3612.3178033668064,3586.711142155095,3562.2004338485,3544.129521432901,3538.495699469849,3541.825172691404,3556.4028945452037,3578.773303387669,3604.6135802315957,3622.5604964340505,3622.22761156003,3598.976145937021,3556.3463064611183,3513.045555862352,3489.257939803561,3498.627059930235,3552.2135896864147,3646.7378140555347,3772.914027794132,3914.3040644763496,4060.219748370983,4195.589791169717,4304.771994610672,4355.38973971438
7kg_10bpm,5BC,3814.4170275623605,4011.584389621767,4140.408790422513,4084.28488629687,3921.9750236630707,3807.612771113982,3746.764078060324,3741.8699237467067,3778.9324269314743,3834.499071602927,3885.314241200829,3910.4381901235124,3895.1974326964323,3834.2775162839735,3733.9474170513054,3612.0026692152633,3487.6079236644237,3376.11956294832,3285.7377566286314,3216.1608191606147,3158.4057344464923,3106.589987193176,3054.7942400388642,3001.149674959125,2945.9228487281607,2898.0288264516453,2864.084531700292,2851.2891956097965,2850.5973076551113,2851.5166364048664,2846.3812793173715,2833.570872452792,2818.0108338998302,2805.58387162721,2800.2696343591697,2805.0305594983,2812.467076809019,2818.207588229384,2818.007110819828,2809.2019467811724,2792.781312197194,2771.4918644610852,2748.635502849671,2729.0713518815246,2712.6820176239526,2703.0036134220572,2696.1351987218823,2692.42513084894,2695.6162331981404,2708.5022044743123,2732.613972606297,2767.48183267919,2810.603885063966,2859.2061677198258,2910.3616066515747,2961.063589279643,3008.7567041347265,3051.062414977854,3085.7027064570307,3113.0216426271495,3136.2155201242654,3156.058154865303,3170.7135368485715,3181.605790378297,3196.081704737926,3218.5637631133172,3251.3803028763627,3291.567850027997,3332.8758653950895,3368.3773948615926,3392.7444299543668,3399.6880568543493,3385.9606344521576,3355.1414251903484,3317.663538643384,3285.6470632629403,3270.2727827414164,3277.1222770895683,3303.9209341937794,3343.9618131444554,3390.9930801713786,3441.7006382393806,3501.2485414144703,3574.7973999752962,3657.4604441541537,3727.0523644947543,3778.986973440474,3805.3313210956157,3801.103787588857,3770.994924805572,3728.900741749913,3695.103956328032,3689.2121817235184,3727.758171320686,3815.060095656927,3937.7387803235933,4046.811257294832,4114.482061341036,4115.715748496459,4046.828733995791,3924.7051823146335
7kg_10bpm,6BC,3752.482358132742,4026.3872462796053,4288.79374665538,4316.963160702722,4144.842239343461,4014.9235221478107,3928.31339903076,3894.5040695072416,3902.1577241579507,3925.1169115087437,3934.632316379913,3910.888707304405,3849.010188225499,3760.172894429976,3661.944525503868,3568.787517730317,3490.793539850953,3419.3957800753856,3345.4447910366493,3262.5635290012497,3170.3675242562726,3078.9570887638492,3002.004303915304,2947.6972223086036,2916.4693887373855,2899.3730849777953,2888.462423185226,2872.4392505813753,2845.0954823161997,2805.8317476871907,2760.266482511789,2719.1470312518027,2690.8192043633394,2679.1459972725106,2685.287453975081,2702.8209277823858,2725.672479378069,2744.718141374417,2752.0954423645617,2742.679196738836,2715.486811517467,2674.6358854410532,2627.467690649963,2583.754096065836,2553.0412032197496,2539.644817525714,2541.0800522015875,2552.949446624675,2574.098346586813,2606.7548780792768,2651.9942233665824,2708.0513959988984,2769.2901665084482,2832.871709290845,2892.836204781838,2945.4340845591537,2992.381699515797,3037.702470674253,3084.097049729239,3134.3616960135228,3191.850274081745,3261.3577588899348,3337.236179798409,3423.6248426116786,3507.1945899955113,3579.0526493714756,3631.6768923891095,3667.8711074258376,3690.100599746827,3705.3761835766427,3719.9194540731323,3734.1089902956924,3744.5961521749346,3744.69309410224,3730.177181835623,3699.468872259369,3657.5009733700845,3612.592457898674,3569.338027264366,3534.4700840002624,3518.764092166667,3520.1628820477636,3533.4739307924924,3553.933389616425,3576.88409452247,3593.1113155049084,3596.8920418750154,3582.3097104811773,3546.743653575946,3497.9961795624163,3451.1191999330376,3418.4369298056963,3413.527813309332,3440.5569734148003,3498.629902368725,3580.3716540702985,3680.5204409602425,3794.8685837291087,3908.5230852854547,3996.003276493717,4037.9490783763304
7kg_10bpm,7BC,3622.778193006189,3835.318044255008,4105.9987057592025,4159.001392661708,3967.9149250609985,3838.8199358956654,3790.4241268271303,3808.741614937179,3855.6028441515064,3888.9368917062347,3880.7580274344496,3822.5370349838354,3728.335435478568,3621.280481706556,3520.6266160582977,3433.5316666892522,3357.763099278647,3285.3082451025134,3206.0197387831063,3121.1900770473653,3036.1337995516024,2955.223060696874,2883.877045082628,2822.756140905618,2767.8256854908186,2715.422814163599,2667.3143596827763,2630.9593432884303,2615.678850379518,2630.229439792777,2675.5626513150983,2740.818773530724,2812.5786888952393,2870.278394289746,2904.093845487322,2915.303893476692,2912.110455899691,2904.1215102349497,2897.8900941414104,2895.609084099552,2896.8798790280657,2902.5401224316756,2916.422680827473,2939.205704190902,2965.686752714296,2987.0009346075867,2997.0312554168895,2997.4601194918514,2996.1692878093017,3002.1189904147705,3020.5082575252954,3049.716549002769,3083.0777255488247,3106.507517442725,3114.6865672491294,3108.8377694789265,3099.96451635946,3098.6697628023894,3116.790810991285,3156.350403234227,3214.346385482673,3282.7010624339628,3349.554720700414,3404.1867333053933,3443.3854969084123,3470.248368768486,3486.386287494983,3496.0068192204594,3499.5560766820204,3501.275614091889,3501.655099466917,3498.691421658057,3493.9900993036113,3489.962497791342,3491.1042371524927,3498.725010225279,3509.742074418792,3516.2510965627685,3511.116932573238,3492.486573911109,3462.0651825244695,3432.0695029223966,3416.0117706764236,3430.5260801935233,3477.5366214852843,3513.808582177283,3528.316297110907,3510.792208695081,3462.2042027788757,3391.871072305252,3314.3341047139397,3251.994646274862,3222.4955289648565,3244.9502843874925,3322.7065946774037,3430.589747953795,3568.302484236832,3721.505913527188,3866.2027917003616,3967.999479363519,3996.122172777902
7kg_10bpm,8BC,3525.129843602399,3734.697618734421,4000.285613242642,4150.057744334934,4084.83858705287,4008.008161391488,3982.7923042019856,3998.143627173591,4027.599075997101,4038.4271195972615,4007.7052850647915,3925.1389869706377,3797.295140240271,3645.4886727819667,3497.7407021723157,3373.2210301642167,3271.377713284108,3185.6652293160487,3113.2614573958263,3058.101053070295,3021.4557252892937,2999.035488181941,2975.89432602739,2936.608754555624,2873.7763286789364,2792.885836599996,2710.6834294817,2647.207035240627,2619.0061016512545,2632.531988849281,2679.094925876761,2737.688575166124,2788.549008011174,2815.1403531549963,2812.4907672920367,2789.1835028130386,2763.117099675335,2749.2941889044005,2761.401463467499,2792.713340378588,2830.79316087111,2864.9880214538503,2890.256679331509,2909.0872959786325,2924.9269568142827,2936.832090224228,2942.0281387221185,2939.8754664587386,2931.526463709593,2920.927606498695,2914.1386516296143,2918.3867093538815,2938.580046929911,2968.9480203705803,2997.311367082932,3018.0541278081323,3035.6951211317073,3059.111620950728,3094.7557601494163,3141.730173024301,3196.1719498210464,3253.2005850305427,3306.573367478968,3350.038641773975,3387.104783849776,3422.6655273749434,3465.13125929433,3518.649141478792,3583.724377132541,3654.717342007047,3714.578344563223,3746.3591424938836,3743.4202673930977,3706.74995886913,3650.360128809286,3593.88149895606,3543.5959072770625,3501.6182264261283,3463.374472560158,3428.5810723935338,3400.7995614338947,3382.4269613123047,3381.707731285708,3398.149267006902,3425.705437963427,3457.386226674577,3485.311590086058,3501.081532967015,3499.630368319705,3484.424787668022,3465.538228501784,3451.190272117631,3446.9983591782334,3452.4739222164644,3468.261409220176,3494.642399114502,3535.6154376535656,3596.5152211010077,3674.984648944776,3755.11307800646,3813.402177637244
7kg_10bpm,9BC,3473.5137979273727,3674.349781847218,3842.983321846548,3897.5398844188544,3838.160074998696,3811.513843818639,3813.3063186614063,3822.4834752746797,3825.763172631402,3808.2645488982002,3759.5953086842783,3678.266440903064,3575.7012010997046,3471.892384427319,3385.0945781512405,3320.258611578396,3272.8884546703434,3233.3533513571556,3191.4497227576403,3150.510739924728,3113.804360596221,3083.1640107160842,3059.018001320435,3033.482315046146,3000.293800139359,2960.8321354666464,2922.730571604848,2892.839468319073,2870.970859271507,2854.393346238974,2845.1191583390532,2850.2467050620753,2874.494762174636,2913.7743011727125,2953.8465745314284,2985.4138154377983,3003.520564507207,3009.5419381325078,3006.827732530408,2998.5344408063715,2985.4763789363815,2966.9404354465714,2944.083531373558,2922.5877303523507,2909.5134067106346,2909.7365319483815,2920.3979824155654,2932.183370625519,2935.407109559061,2926.522694507797,2913.5783527903327,2912.233428733264,2936.6083191726675,2986.7784462997733,3048.1274168290097,3100.9507815026154,3132.200522092247,3144.6794722211625,3149.2184406311085,3158.5076775590574,3174.130872924571,3196.8510876458968,3228.8681027084203,3266.783965066766,3304.5242033088475,3338.1812689686562,3370.0882721820744,3399.1281769117495,3427.6018573640667,3448.891431304098,3460.2348894544493,3459.935472417398,3451.610084021389,3441.813617132899,3431.2306008556957,3428.382339813921,3435.3463717037375,3446.884374428522,3449.473233280654,3436.4145343626124,3408.8874885584323,3374.2872052891576,3343.437384146749,3328.5280972336664,3339.947373333219,3374.2752441490034,3419.951580837727,3460.7513032768866,3478.4259950794676,3463.7490723621786,3420.0134315673463,3357.3881916519686,3289.780067684587,3233.593147424847,3206.5467491695385,3226.9797170994516,3303.918735629595,3423.80730340602,3557.371152514378,3659.9039046883054,3693.42307291608
7kg_10bpm,10BC,3606.0131391180144,3834.396824521078,3967.026924505056,3944.145513374085,3854.1820368177446,3835.5539292578223,3871.831601449871,3923.5467482356885,3952.1075953045893,3931.9526691271208,3858.9578528971056,3751.5189275273096,3635.9807685092255,3530.186113585381,3444.3289726805697,3375.6778907341213,3316.9440475428955,3257.8157453005606,3189.7685669559824,3105.6153881840164,3013.761238737415,2920.976025457482,2847.490555579158,2803.0794694396595,2789.572039806535,2795.5016310745777,2811.5185859256135,2829.363140957628,2846.5004225381854,2861.762658595448,2873.41782374462,2881.17870006659,2885.660279449471,2886.471811180434,2882.782879413315,2875.655167775678,2868.3133403239376,2863.7254192143555,2862.6460403583046,2862.925314431489,2862.3670706688245,2861.202095397027,2858.368825872916,2853.874175027048,2850.5619443453716,2849.2217406293266,2847.92651790363,2849.0644051086074,2853.2607984860097,2859.573069055341,2868.9036529086125,2883.5284388131054,2904.3215861376093,2937.519402653874,2982.5871500138746,3031.4544974543956,3075.1803515619667,3112.102906714753,3148.2249112618447,3185.8966315396065,3229.530424476346,3282.248458187755,3340.4198072261,3397.0511688934944,3437.5191790705862,3460.3881125939324,3466.8323291133497,3464.8246673902927,3460.9416694980696,3459.8345817866616,3462.4791316060887,3465.268463034043,3463.724791501427,3464.9910296676135,3472.6708143923956,3486.1405770890124,3499.533301800491,3506.746261453424,3501.63565878604,3482.28214988219,3457.069562140906,3438.5653228065817,3435.3469553456794,3442.7466296096563,3456.689671193199,3477.116698970033,3499.5651689477904,3517.8274226236504,3527.854607727543,3524.9452036354082,3507.018579577787,3480.308362214193,3458.3782597776285,3459.562458258709,3493.2593153189173,3557.191686696016,3634.8246873485837,3700.009659032275,3731.095862894493,3718.1934302804375,3662.0549224650717
