cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,3716.501327106153,3963.477051213565,4236.691132732045,4436.348813124755,4476.753253916085,4580.92619948418,4732.887751062624,4898.041144444011,5035.810725871589,5108.346894759988,5114.340561080696,5069.061377075157,5006.014626494675,4943.299343309105,4897.840260596841,4865.566302591976,4827.774900623601,4773.533732757345,4690.667547893045,4591.457879882866,4486.8302682800795,4390.3286315747,4304.912088835221,4221.691613376034,4130.560456351124,4012.0389585632133,3856.940579257143,3661.348615686912,3429.979552517189,3174.4262134090222,2913.6028161170934,2668.9092140905964,2457.516335180856,2284.828749141921,2142.542934821872,2015.0972283092813,1889.9797875971103,1770.4697726022787,1655.336180566313,1541.6819399944347,1433.680824004742,1337.1905714170955,1257.790968710876,1197.4984230876053,1151.9990194335132,1113.3858887487681,1077.0979252264096,1054.596065782203,1064.1469575195529,1116.8204486106667,1214.087911455861,1347.4463508701988,1501.5617242319984,1662.3474302170134,1816.5919835005075,1962.252312219587,2104.404520818127,2248.7022499320456,2397.9524313822544,2549.275681715384,2697.8330059081422,2841.021352601614,2976.409052691944,3104.453204167717,3227.4914328081795,3342.837263061625,3442.9969482934416,3528.717203081857,3608.685736269035,3691.6764754644237,3773.7050748219226,3841.448338674724,3885.6890676868998,3908.1048348711265,3916.3854521926833,3929.449517408075,3961.714828406982,4020.9125501598746,4105.613486298947,4198.717807308039,4290.024179054903,4360.175422538231,4390.138566344605,4371.172898536872,4313.5404366882085,4233.186420726723,4167.138474275521,4116.136282567509,4031.4987415193996,3926.5390967675526,3806.587003103589,3668.6449296191295,3517.389424696812,3382.2445343515956,3301.267216693691,3310.4002430310657,3343.2011323506904,3366.618626500026,3365.174617129802,3317.239856099988,3214.6082785417516
7kg_10bpm,3CA,3901.043909462201,4135.727849669114,4460.675890133498,4695.413443559592,4735.946913611566,4775.856889465562,4860.134807922709,4958.933912937206,5036.47422144674,5068.235621442672,5041.3548422290905,4967.135287873668,4870.224556605825,4780.441126301316,4712.763761840683,4672.694988394087,4656.089315514955,4650.804498523969,4642.926556795572,4621.411650430639,4581.998160669314,4517.89283605718,4423.370457454417,4293.983085853566,4135.465240026777,3955.41292631907,3765.51890337064,3572.1374033409593,3385.418875193753,3210.5884136678496,3050.3071505666835,2901.9242974150347,2758.8806082027118,2613.793616901431,2465.600833698426,2315.944708146778,2167.5612643813797,2024.659778136455,1891.86542972901,1774.7961716497314,1673.0380930949177,1586.544682597064,1514.4029819158077,1454.3753760619988,1401.6527448431905,1351.4832862152937,1304.6327396349,1264.9858968735548,1236.7044975775982,1219.3734272698607,1211.2418334289662,1210.5081784945928,1217.6225996573276,1235.838342301413,1270.3419499965887,1326.664722392357,1408.030176622737,1512.6435459118545,1634.0258405777554,1766.491956528154,1903.4002361573964,2044.2314684541118,2186.781735809085,2327.9351957187673,2464.3865648746823,2594.155962519674,2718.336256893668,2839.406237834113,2959.227190867314,3079.2909912789805,3195.4673734011235,3303.6599081374898,3402.957003585168,3494.973561504376,3584.0558831956428,3676.886642726047,3773.078739152343,3869.8324786938356,3957.6107976601334,4027.7354750416916,4074.3686693224518,4100.089568647965,4106.8128697634,4098.8649393069445,4081.3041495903713,4061.2034868743117,4048.1125167372998,4053.329376955741,4075.0617793377714,4058.7836419686228,4004.679016997986,3915.916396711292,3796.2990482867463,3651.1179125374183,3493.912011944963,3349.0066279207635,3248.485833676498,3220.977624285989,3218.793552102974,3200.1743819995277,3154.4909704318725
7kg_10bpm,5CA,3881.458892176216,4044.0529786631946,4157.544458740891,4245.457064903137,4345.51003634324,4439.119083645064,4579.860945047103,4725.984550298457,4875.683074893036,4997.8197248215865,5060.05417751536,5049.682719941664,4978.200145357618,4864.579789902184,4731.876812880886,4616.458591822967,4532.2968247913295,4471.39586785211,4406.34771704808,4311.647445725158,4162.780149587674,3964.3972258516396,3736.8061206988496,3497.410059658786,3272.133602816498,3092.075955167266,2978.467512500132,2924.01450399657,2893.6101100693277,2849.6782137761684,2769.052630042821,2638.9000300109988,2465.529978750375,2270.8966505110616,2085.659818018865,1937.427069736805,1836.3200446652113,1774.0838343107373,1732.0940833141185,1693.048781261095,1647.832231310202,1595.107716166271,1536.1397344156048,1479.9873239390324,1439.9173061032225,1427.0405772584086,1444.182963138445,1486.0939093822521,1543.8415118738794,1610.2579742254472,1682.7949114264402,1762.4571602311732,1850.2903873168443,1946.5147647413148,2049.8830837234923,2158.2576527295787,2267.907663241008,2384.379581846859,2507.2260922101686,2630.538098957915,2745.8934831864517,2845.000469540936,2924.57405150122,2986.96781811465,3042.109572473492,3107.1684602299406,3196.8501952346787,3313.14020214698,3442.3130695205095,3561.4087596118384,3650.431045585294,3697.431708012136,3698.0864080547835,3663.6976832604537,3614.3583702907317,3572.090774381223,3557.5359299200536,3582.978057030911,3646.3133380163463,3730.8552351318513,3804.672900991343,3844.5904403638006,3842.8439313595213,3802.042525416464,3737.580176209412,3667.563353678252,3612.299942634585,3574.0860704376314,3538.274346104828,3512.4336637369506,3503.6504082870642,3512.581918844115,3531.7601698814155,3549.956354659285,3558.6219427203337,3550.406689646558,3519.3180836058254,3466.1057118636786,3394.648255547611,3303.480821111642,3173.792383922007
7kg_10bpm,6CA,3776.560192151213,3985.128685475174,4242.653859410463,4391.025626542866,4363.75665866337,4414.869628112972,4535.372005164896,4678.658307178946,4818.14002114635,4911.401184611359,4942.189167070618,4925.210587564117,4887.3606313404,4858.219394023485,4836.41366985719,4809.868817130277,4770.332761782492,4708.433881868465,4622.06011860903,4522.43704532666,4410.938032083018,4288.403978550691,4159.365530770715,4014.954088045761,3855.3289641076753,3680.1644133128607,3506.913255393852,3353.627219728738,3227.192407089438,3120.004818340453,3018.416007660066,2907.275385202063,2776.51101930931,2621.9237880507026,2444.3887111036206,2251.201394332432,2052.933134522255,1865.0306208688244,1703.9648140089973,1579.3900684858988,1501.6949438912313,1466.368140329092,1454.790726397944,1440.2530160401366,1407.2758950026498,1359.6244974027463,1307.6284042661582,1262.5481849288285,1234.993981121308,1232.1831699951078,1258.122573903952,1312.9478052434279,1392.5531736757948,1489.8331727372263,1597.5335863814523,1710.3300819623903,1827.8129088701282,1954.4465103405823,2089.4465159370034,2233.9037803905103,2386.309156994758,2540.9252121738036,2688.046783285702,2817.1886610009547,2922.853413234429,3006.5766075874612,3075.022216353971,3139.067203465672,3210.6535894688054,3295.641534819737,3388.954410145465,3482.263297675872,3570.1663948619016,3655.9461512094053,3739.277173570103,3816.8100648781433,3882.1825543080436,3922.191531973799,3922.691655857815,3876.97256211932,3790.025202482275,3679.33663690787,3571.1518200506493,3486.727619282751,3437.224118680292,3424.346989976239,3442.9480824659786,3482.808460662296,3530.627138204565,3573.905256314942,3603.407976770733,3613.011498060506,3599.360993478966,3567.115095206201,3531.3179957939333,3503.783553576058,3493.9501626064234,3499.562525475228,3502.1274696507035,3479.2896582063945,3413.188510703884
7kg_10bpm,7CA,3774.3195892138874,3880.60271946933,4059.250909191396,4196.705170169023,4269.664254105668,4318.654131417009,4334.65997545444,4429.342962241458,4559.930250174434,4693.279792436364,4780.963351650408,4801.573539805481,4751.937465297741,4668.095988092459,4573.163734976665,4466.820200673134,4334.60225732334,4171.443714835106,3997.2212299967564,3844.7519148432502,3729.9457622531213,3668.5609127034822,3644.2938242637547,3639.5665759276494,3633.2014366300155,3610.9435857348635,3581.110552779459,3552.698213356775,3525.1643523003504,3487.114737624982,3420.5402593022945,3306.466791595767,3137.9418798740635,2922.375396634027,2685.6179304863963,2457.8417458146414,2255.3531173717174,2076.6014768775176,1926.1086532902848,1797.9764445640124,1684.033194866293,1579.6409263277433,1476.793150123537,1366.6734643357743,1248.7792421066788,1140.1519620960087,1062.8768268683768,1035.3498830494798,1064.5458369669843,1147.445607090866,1256.9187058626344,1359.1644096374955,1447.7584151053816,1535.2225884326845,1629.2749999738066,1734.3002456100678,1849.8794591443805,1978.209709336591,2122.888838955579,2284.580746523984,2460.194115920861,2641.7086470364598,2818.043847569415,2977.818221929769,3106.3267356293227,3194.783623562058,3252.7667099380405,3296.4803374456374,3339.4396506825465,3390.1679522386694,3450.5501617416844,3515.4017045079027,3578.4176358574973,3639.9872072606545,3700.67349781935,3750.281069766906,3783.5471840557393,3803.7254808139555,3813.8657083885673,3820.671766548488,3824.429730037709,3824.9545538695743,3816.0502178449233,3796.8812284049236,3765.5873427244896,3724.967736241003,3686.0625425357953,3637.659582964302,3576.547650624679,3516.524222562421,3465.3879562438037,3423.4632843525956,3381.3758793651987,3338.645182973808,3290.42576678643,3237.261702481219,3183.138839354392,3131.712870375478,3079.665441416044,3014.478028468107,2926.15934611963
7kg_10bpm,8CA,3104.1779594484183,3117.9361478262517,3156.0130359095674,3222.0977028927523,3331.3628943667923,3497.3781283584035,3707.5282064391313,3939.545872955736,4244.51228620019,4512.71825689063,4698.981794305991,4757.991336129807,4708.81834158785,4599.020451316032,4506.126679525389,4474.089547685192,4499.700074766603,4545.276681174922,4557.270643347837,4512.578980169293,4428.570549232699,4336.508130017942,4243.091249823289,4138.466374703125,4007.7559206054634,3829.2033275154013,3613.8837107462246,3399.062511031681,3235.0931128592338,3137.849482352163,3087.7521026721543,3054.134980091181,3000.1921496965024,2888.5291364246523,2705.825733972575,2472.7829115100244,2230.5784224777117,2012.1753186510796,1837.546954579652,1694.0646080266558,1567.603428789906,1450.2406444106227,1344.515512916548,1271.4903672847054,1265.1444561865005,1334.8528285514105,1452.269732895848,1580.1496479216871,1683.6298671167642,1736.9171634520526,1760.3924832089838,1807.1513680666926,1899.6383884634206,2019.6716270290576,2136.7424101701404,2227.940554997358,2301.471495112982,2385.161132376025,2502.859056765421,2661.8558720063784,2847.2717089391317,3032.4640381010972,3189.60238070435,3296.05407580554,3342.3445157059564,3350.777583476075,3361.0687720073165,3398.045651527176,3460.066904213197,3522.90905538328,3570.3866298360385,3610.6453559980423,3657.9965171286635,3718.9417649035067,3785.1346773192417,3827.7986228657865,3822.0338789522593,3767.948064548727,3687.3669792261767,3606.120215511837,3551.0270880525595,3530.284464068619,3541.1555134324453,3572.540392211318,3606.7490202127337,3632.160230698711,3645.9856143675806,3643.2363180247075,3607.3925780388136,3527.149023753777,3423.8250885752313,3323.876476596874,3245.3329047497473,3198.1035913172113,3189.0716398182126,3205.9187162310127,3213.2626222366357,3186.861435642414,3131.559400779243,3056.553194762601,2961.5227803300295
7kg_10bpm,9CA,3190.173504534071,3391.477756749075,3638.9026234943617,3832.6594263612774,3959.409989520143,4086.2946731550282,4173.4920696471,4312.132474588558,4476.2664784485105,4606.396304907339,4676.437729550554,4680.344015896438,4648.176562445644,4636.094915915383,4641.722270535528,4652.919867622021,4652.7623178164995,4616.713649228921,4521.247647521356,4378.514421971783,4205.149195292548,4020.1804569689766,3835.7524968085145,3659.958735481501,3473.5486983243513,3270.715061249843,3050.282510423491,2838.4609355789494,2643.8667987192316,2460.684273658651,2270.837028706043,2071.1891818229874,1886.0281171933746,1751.9472446723064,1677.3374405824793,1629.836496607901,1565.7703642870965,1458.2845778888081,1317.1989958320567,1178.5656525213474,1087.1042703533362,1081.8235807080173,1175.1459124388052,1335.4875057225436,1509.0237601191784,1674.3729023422682,1831.403022079218,1968.8711442005822,2077.405660149233,2154.728543078561,2210.178926930974,2267.6666983026,2340.047114933793,2428.9146447911944,2527.667980246052,2621.025338449733,2694.8136659604747,2756.8045163360216,2829.0885509403847,2918.835457452092,3016.691214723787,3115.9103575393233,3208.798897817417,3289.5970548988616,3357.596714154263,3422.131438200193,3519.8863656841927,3658.7114961582583,3790.7130214513854,3847.77947210303,3796.421656976033,3659.786229852252,3495.5537692150524,3360.331663019946,3291.0834233607056,3294.8999281786737,3344.9996137232583,3394.5882890002395,3420.966869714454,3433.9207478766566,3459.2069145823925,3499.3082391139183,3528.595281426724,3523.0095927632797,3480.2701683053756,3417.5149144904944,3355.242604806769,3298.7659182560014,3244.3851861449925,3197.205841583125,3168.486596218099,3168.0939928892585,3192.8006937135347,3224.2502597167577,3253.2862128291044,3299.572101500086,3382.4417456250453,3480.301557661698,3527.237428815344,3459.5701696885385,3258.903650647057
7kg_10bpm,10CA,3633.4119774291303,3872.7271411801994,4064.5847915261234,4118.604579848422,4042.606475953305,4056.5346962903127,4191.662413052188,4378.60208498294,4529.709308391592,4599.876687272698,4578.491813364722,4499.193630949943,4414.164415298645,4383.948846396448,4423.97557697533,4498.365323479944,4543.800956815324,4514.619740743317,4412.542626958195,4248.60474163428,4062.1388694520774,3880.6854502544843,3718.213713056312,3583.878175519617,3477.890343582881,3390.187934896617,3309.687459139666,3223.47254725183,3104.7253861044237,2933.881331896517,2717.139220771487,2485.9096173985354,2275.218543043129,2104.792788097799,1977.5647703335635,1880.231329029431,1799.8847661496088,1735.1592651322837,1680.872696950286,1622.7991639100755,1544.1890058187435,1445.848661299565,1350.2605351761656,1289.0632253449976,1290.3088695269926,1361.1482474847326,1478.049176619597,1608.967708813287,1730.515425155296,1833.007329391387,1917.8570288331389,1991.4554551652795,2063.8837674104057,2144.4196000964453,2236.8492512766634,2331.3471399111045,2420.507686759387,2496.053852644859,2567.7011619425216,2644.900781124079,2732.1172425532777,2826.9159503437677,2932.034944373941,3033.951315025937,3107.769425239021,3143.712093658129,3153.5919912017616,3154.0221914126396,3166.7976513087374,3211.7879552401273,3288.578312382615,3388.86872709748,3499.677790909818,3591.5401066101363,3635.9300579155183,3629.1777899932795,3587.453412036224,3528.9218528553115,3463.4718721497084,3396.854253290232,3344.4357051234533,3322.075781615851,3323.1824612564283,3332.334758567457,3341.435017896514,3349.2077471512525,3359.4621133189753,3371.524463373921,3380.6975522999273,3379.5381230239946,3363.4780144944943,3332.4844994459518,3291.783531061179,3254.38859490212,3237.702970471184,3254.870079871081,3306.085842264054,3373.8342543587833,3422.2844762685577,3407.976473359308,3300.4089080058416
7kg_10bpm,11CA,3468.679151377667,3606.470427663303,3758.1178779445645,3887.244426204273,3994.2431458354367,4091.7012206536015,4241.051895206526,4386.889389301669,4499.352794633669,4558.0835346009535,4570.579091380396,4556.226714418114,4530.097938154268,4508.209429514039,4484.018439624899,4444.263886143721,4382.169635269874,4307.009834104714,4229.259040369405,4155.661380661249,4089.188140343011,4018.874797354549,3934.5089536052365,3840.027520063285,3741.6156083948345,3646.6837686568624,3559.979410679351,3482.485091095432,3411.6418131497894,3345.4429245503256,3268.782992448468,3165.244805882584,3028.029792739316,2860.8715999108995,2674.2545164492512,2487.380922419366,2324.353012204867,2196.3099745420645,2091.7516507180476,2003.6914078425016,1930.7269675200068,1867.695054568017,1805.6062712093983,1734.6497764409758,1651.5962419756156,1568.6347201548301,1512.9516149333745,1512.5755718349844,1569.394696720034,1663.9803613819151,1768.8205805307473,1863.104772894139,1939.5034307390167,2002.3309675366595,2059.7060379436034,2116.038533588894,2170.831545501529,2226.365688391066,2294.2925581621935,2375.2502801762766,2472.933108181946,2586.9890488287156,2710.9775974055337,2834.2969135566914,2946.30654450798,3039.4579146015512,3112.620576025631,3170.7467635184266,3223.7097442427753,3280.7651004874506,3345.6583847659745,3420.394659544907,3502.9652528679553,3584.810313488282,3651.8358636357743,3692.9752512204773,3706.706464616572,3702.4719162503634,3694.1780754089623,3690.4114251676365,3691.960913173136,3693.6502333265917,3684.591568597378,3660.2834536514206,3624.3243567936343,3585.4315496077666,3552.0015587822313,3530.5147511675186,3522.745791477164,3525.0332758101263,3530.402327977785,3525.6746502557967,3501.379377488419,3456.8483691108636,3412.4595333616758,3396.223265082132,3425.1089127155547,3490.2499337960826,3562.88020027426,3602.518971579151,3579.343138297481
7kg_10bpm,12CA,3706.4666525211196,3884.906637611769,4058.230869131393,4223.063557304545,4232.9519488784,4247.44414493128,4319.226398724157,4426.841232354799,4563.474289709101,4700.899379592272,4811.617343656719,4870.797273723648,4873.870925031009,4841.250764460329,4794.223080768839,4747.117204454928,4699.4647436861205,4648.835165158022,4592.201191027668,4525.228427674637,4443.32274756275,4344.1882601868565,4229.653323101649,4105.119378823718,3982.8212789416343,3862.9963940506805,3743.33129648776,3625.732071611313,3512.018664322313,3395.7462135399,3268.204655583722,3117.723360005906,2936.1681532177536,2727.284316864392,2506.564006570303,2287.081943898397,2086.691747796161,1915.2050667536992,1766.2383789870569,1608.3184721490165,1438.0226991962027,1264.1872304452431,1108.3468694710753,972.4794800349113,863.8362006239024,784.7476439168054,733.6326644922397,700.0339539632631,676.5746096810927,673.1862646048702,702.3058069020459,774.7035766701488,883.7825648877083,1010.0553776562626,1139.6199440177734,1277.705583734642,1424.0449943034744,1572.9302382618362,1729.8130509126568,1912.2433511104146,2121.229383034834,2336.112021811794,2538.4261654819516,2716.6203566723743,2866.3335864895607,2995.6179730874965,3105.5022142010025,3184.2282360318964,3229.098055415997,3240.7389711238416,3232.8218918075436,3223.513327530515,3231.9950630567823,3263.4307945214914,3317.516535557644,3387.329207230669,3460.8896914508405,3533.3365487777146,3603.3278868698826,3673.208869803013,3737.444268143103,3786.8463929902373,3818.108351074782,3831.4278059492835,3824.3609593197352,3794.2094955210982,3754.7004360641477,3713.6526766849424,3674.347547825054,3634.666435636114,3596.414222916732,3565.688129786544,3549.552911948208,3546.9343740496593,3556.988356854973,3575.4061703145185,3597.7770358320217,3613.7088996990196,3613.810524771766,3578.7960211286704,3490.0698627551064
