cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,3337.58872094,3607.3880915001027,3905.6681464934018,4159.791402158953,4353.037834192892,4508.381683348025,4619.219812814237,4687.198853519484,4826.930484043481,4969.870314885611,5047.892617090001,5038.6875236461465,4942.34628092075,4783.431883419344,4597.314346950925,4419.814246088236,4258.490566844809,4112.5350132984795,3973.9307757718384,3827.1615908041163,3647.84140678,3416.6634412755784,3143.6464523720488,2844.240915742184,2565.711329199247,2339.3358152295614,2180.324668925933,2089.729124859156,2056.6385951918105,2075.6281517848256,2145.3265582900003,2249.0317445844003,2367.5816448370974,2481.9041288240956,2584.812129922815,2675.675383965818,2759.2988495191626,2838.855885048798,2910.7711062989156,2967.5143172370813,3008.2324589800005,3042.527511561653,3083.360764788639,3140.3861204428704,3219.436511222982,3317.117687673202,3434.3189706305684,3554.1828364181224,3655.1989529316193,3733.385143318085,3790.74060579,3829.0759777305766,3862.067585107752,3903.39820172547,3959.3958818879887,4031.273876174833,4107.04769749746,4173.607689062506,4225.616404153655,4270.35444446935,4319.34696321,4376.683070958828,4440.817129684527,4499.931490730111,4548.17778067191,4589.53487674381,4641.8037474232,4710.02086704074,4772.155748726518,4827.864116291305,4870.622752270001,4897.23427610626,4912.90105088016,4918.988641898198,4906.910889524199,4866.010676884043,4798.569621139287,4720.408130796126,4650.615608042728,4605.459666398505,4591.625544400001,4608.7944376127625,4649.204733932352,4699.902327531257,4744.1572462959975,4735.3510784474365,4673.244882934682,4557.960332392172,4384.383837959624,4170.631716144321,3968.791464860001,3778.180366071574,3618.641692637416,3508.2934979600204,3443.6728638155264,3398.252076722463,3345.9327209262656,3281.8556449877365,3230.163907399319,3214.55351373431,3204.16016031
15kg_10bpm,10BC,3325.6546019,3319.0272000854297,3491.004024027624,3762.733860193841,4084.9678844183663,4296.002277753396,4282.639113722809,4138.045215611223,4108.616342437172,4146.892190402768,4217.095807311164,4284.732034145264,4323.150136830313,4318.859691141825,4272.937592235536,4203.622198823179,4134.028637691519,4081.957033149536,4050.1255172308247,4038.2489781256536,4035.53739036,4021.6344783853096,3982.104551956958,3916.972915204108,3836.779401170551,3760.5977522154562,3702.4718831098035,3665.624399934026,3641.93272365864,3620.636316985514,3590.488055857306,3550.506399145846,3503.1859624039507,3457.5340107086645,3419.1029287514802,3391.693117804968,3376.127635009271,3374.608503549719,3388.1727170442246,3416.3628631192923,3458.6924988300007,3508.0222999489492,3558.132350588371,3603.2969123769176,3636.242512247681,3656.7292706477565,3666.647028900841,3669.1715240057947,3668.267606153462,3668.6476342696005,3673.448535887329,3682.9062052653107,3694.1892296321644,3705.0727880835398,3713.2861760714736,3719.198400283117,3721.4496124361985,3719.5212763339905,3715.2440574152606,3712.1480423306634,3714.1143657599996,3724.32062926537,3744.837125549715,3767.927264282823,3784.9598376578324,3787.573895426205,3775.7918932272914,3758.1072700027753,3745.650124333585,3745.1260329708302,3757.2415533762805,3778.9012361659125,3805.2222596816973,3831.6709761955444,3855.1772236786046,3873.624061067506,3884.6360042994847,3888.1973027450003,3888.4203596135367,3895.237104337825,3922.78041678,3965.1334882826063,4021.429048589714,4084.969920441919,4137.8152107251,4164.24132741456,4151.5656856067635,4095.480740774159,3997.8691436161585,3868.2740048447836,3725.5679676757472,3590.2906030220465,3484.34849915538,3421.512115173012,3407.6497713034964,3439.0686191126742,3503.6396587665135,3582.622139109094,3631.3713151407856,3630.453446581844,3575.7633221
15kg_10bpm,10CA,3283.6555498,3207.144861970856,3273.4622206309978,3539.616499806413,3765.536264080731,3943.2760873285592,3941.4255896535333,4087.4894120310205,4393.645470480903,4788.386004312368,5199.547835700001,5546.00565100511,5758.549573821821,5817.586913815162,5752.326601771835,5619.674929267997,5479.393608355287,5372.078426437653,5305.215771906802,5284.507970303,5285.006963150002,5325.382651811994,5386.23829337806,5423.791707257931,5394.3700359280365,5264.201515805971,5024.3072141781,4710.51985480691,4398.718051445712,4143.20421772422,3954.3631163400005,3815.2441974955923,3705.381440707778,3598.957376233252,3474.4345530867554,3314.3680706385094,3114.9127812284396,2888.274457739769,2661.444677922911,2470.7521239627267,2348.04251198,2300.2913375069475,2299.917404311147,2295.239207913121,2252.6312031770162,2180.660623092541,2119.1965729267868,2113.5157263087485,2182.589525148755,2307.29004271504,2443.72884205,2569.235849395348,2693.336426191246,2820.2450727315418,2944.5391476793693,3051.3664646099082,3136.0850095022097,3214.368631783039,3308.6297198261277,3420.304669039967,3544.6854922,3672.3366055976826,3802.1344920904007,3942.757311847716,4101.459702399592,4266.014723267836,4417.60667944817,4535.151342030834,4602.554062503387,4630.8679198834125,4655.935994840001,4696.235222556605,4728.206349644029,4729.092323212622,4710.544182829671,4715.366662116219,4770.725292593708,4884.2159466185,5026.556521504666,5156.443234410624,5234.589532570001,5234.5117152777975,5174.524597248605,5102.919868282933,5065.853103788892,5058.306463281612,5040.135121387635,4940.779039763354,4758.749434896398,4563.4007960019635,4407.76987271,4304.82702389306,4238.958323922692,4179.958718125884,4095.111066704416,3956.8727319728023,3758.1215706152348,3515.451115957919,3264.0138717417535,3038.9595337303062,2853.84001925
15kg_10bpm,11AB,3324.82607453,3528.2372966860667,3792.554849197936,4029.0773526145067,4202.020031617126,4325.15818366558,4420.5163420303725,4465.003020442925,4567.207606835153,4731.624186026152,4893.36668810534,5008.189001166654,5059.0082992624775,5053.480499552041,4995.500534725726,4888.086535204845,4735.034315424774,4545.483211805114,4318.8469639004115,4063.94035168789,3787.496854808341,3515.9190545916686,3277.3336466320884,3084.4484242421895,2922.8284214360056,2768.50149085,2613.4660530027263,2458.8056860296483,2308.5058448981367,2168.4221492927973,2056.5084361047357,1985.2046603415718,1969.5795220693813,2006.632923891149,2081.171454287523,2178.9711742665786,2297.2474012368034,2420.9079411634084,2530.539403188581,2619.8278454167007,2703.1974774396035,2803.467914984671,2932.401380212025,3082.4021234035768,3233.548313800152,3368.1385041689045,3484.1711484451976,3592.5606290724486,3703.971549858316,3816.790254128933,3915.19937529,3979.3927463053906,4007.4845539074036,4011.657871464825,4012.235424058672,4028.708822647546,4067.7792456995116,4126.232598035206,4190.530339374119,4247.09404059595,4289.9687626448585,4308.93624694952,4303.8029165427915,4282.071928038753,4260.017481070198,4252.4827569619665,4262.814756649539,4285.484624085464,4324.69088763597,4393.638567492297,4510.617990823968,4637.469471966855,4736.186998360787,4800.180926066789,4840.8730053382,4880.128511080001,4927.791382321637,4966.694607966927,4959.49561265063,4877.924533833158,4723.5177292844855,4525.266730684288,4337.879684165579,4219.242428493853,4210.502688830311,4308.0462398549125,4495.930257403432,4708.7334417267375,4854.168696890337,4847.861086874931,4667.533083608713,4366.582195454973,4061.458923604261,3857.726157747827,3747.737899152316,3704.5660743485832,3689.504784814881,3665.668083220491,3613.5863858658936,3540.336862674857,3458.11482333
15kg_10bpm,11BC,3321.13864349,3584.0184789502964,3905.0012050685737,4232.20193037062,4391.429440204971,4305.682644997513,4106.58629664634,4042.4853755317545,4068.7267779579806,4131.6839512189745,4193.721671345898,4227.0638358706265,4220.33323219372,4177.887723532977,4114.065401672601,4042.5798234506633,3973.0463010487297,3910.796216462656,3858.759255819198,3815.925943937329,3780.7638581171113,3752.7267438194617,3732.8353838475477,3725.744721109708,3734.4053337014357,3753.7354359361384,3773.5244596303896,3783.0725908014238,3777.730376430173,3760.141370725105,3736.9557060293773,3715.5610049125953,3694.9602178372347,3674.904600932203,3650.6603660239507,3621.150256557062,3587.2667120542874,3553.6868023169354,3526.2101513687107,3510.323879836424,3504.23292437855,3506.0294069697457,3509.1098331371345,3510.0340525309653,3508.5155588672606,3504.861162084974,3499.857543093411,3493.192870399037,3481.3381021400564,3466.0363576391223,3449.744942855483,3440.249951744351,3448.127472075504,3483.775099163504,3551.5899631245497,3645.6492786904046,3746.9010174465293,3834.7188427296264,3893.45202949248,3917.9712590467766,3915.1716205682155,3894.0913845481878,3870.003964803949,3851.867833063267,3843.7413102254322,3845.1585130961325,3853.023353387939,3866.1758159185733,3884.6503374482973,3910.0569607689763,3940.090869620659,3969.639659614161,3992.939464271869,4003.268793237153,4002.2957026615964,3991.639216185311,3975.2561907200393,3955.832228423973,3934.057490442734,3907.0993951906735,3876.456838842431,3847.342395784382,3829.260672781487,3831.518809816542,3854.532886768898,3879.5366813716055,3907.0469164746305,3927.0429713167973,3922.904331291593,3880.5635994533636,3795.7886016722637,3679.5887126369103,3553.845652225403,3443.7018606057127,3372.6052653956285,3352.685140514928,3378.667585806917,3436.5214537647275,3509.9261274689275,3573.2708900712682,3582.42242391
15kg_10bpm,11CA,2996.01098255,2982.861115573368,3017.8318350616123,3094.295381825775,3199.807618399944,3335.7268087500897,3494.0237511867713,3649.7795937792885,3845.274793270458,4051.0375011772467,4203.177908487741,4368.790261763369,4627.3414663756885,4927.330878328309,5194.318246729738,5360.314212449034,5397.67248533424,5324.247842230489,5184.901753415255,5048.740234910266,4964.507055039946,4944.3754557211005,4974.001868139251,5026.290059485421,5072.67282893351,5095.365150276973,5093.636735151997,5074.220680652494,5045.747277893739,5017.182759224918,4977.408480679132,4899.083417136373,4763.460125079277,4597.079976142497,4430.596988492174,4303.481350041252,4204.662224418882,4098.768189541528,3972.243238215736,3831.4680371504464,3687.6152888947713,3549.461404370443,3425.825962069641,3319.432404416978,3218.1049404472537,3097.1105134776576,2952.6475718522147,2796.303453495953,2650.5013590739813,2532.3239634474367,2446.4621729,2383.692549485493,2334.7427495693323,2296.4343195757965,2272.8059457131685,2272.105615743405,2304.5835676098022,2379.6329720164485,2506.2193161002383,2673.238760908357,2854.911266055471,3027.3883183713324,3179.283234619345,3296.1528327737956,3375.0560856663824,3439.2061886621027,3528.0400580170317,3664.3447053300565,3846.4145897232547,4050.6702406974005,4244.450256869532,4407.894209969655,4518.730643983487,4569.880552051769,4574.523933478447,4564.342126732566,4575.075404921187,4638.319210550951,4765.577894693396,4934.750907676941,5097.837014219691,5212.693558487094,5255.956342465024,5240.441501835144,5200.936353943747,5166.359795882683,5145.894438456315,5106.660756598568,5048.986041783409,4977.16228945306,4886.1678390431325,4765.581769137437,4612.513848799163,4444.8778606030755,4284.226448341061,4146.170609865666,4032.7268108907233,3914.3164404248687,3758.6142757604925,3546.8817585928614,3293.61606996
15kg_10bpm,12AB,3104.10307193,3188.7602760069753,3472.428456331198,3784.6688749947816,4039.186796388896,4178.313931246594,4167.9450895192385,4238.392185453835,4359.38507590135,4477.5204997826795,4571.85539838066,4630.669275318882,4648.634464973838,4617.0949349297525,4523.349507769353,4365.933306936256,4152.87954534948,3902.572971066566,3638.302450960675,3389.528566571515,3174.37991264,3007.110790402572,2890.759111524927,2813.078441563194,2746.915677714286,2665.2248404526604,2557.390472047518,2431.712197562149,2316.612421743731,2240.8438611551337,2207.0197678431405,2206.893522962786,2235.618378044257,2288.339847208119,2356.525701236411,2438.238488524487,2540.700267170485,2667.8294833554583,2807.799197142679,2936.3280605672453,3038.6697240900003,3121.4448328587864,3203.966711318332,3298.760270610496,3402.394693309482,3499.5527130003793,3567.827180400193,3592.1673861053005,3589.373735476599,3592.9086735374713,3633.2631180713624,3728.146319635041,3856.558691539819,3981.0443220379366,4073.495770490022,4133.346869978498,4177.123205678724,4221.991762587767,4272.234151629578,4321.449513146867,4359.090399570001,4385.777336931984,4406.414873873178,4440.532518848409,4510.131642830683,4607.775731716106,4673.736263455723,4698.593137550626,4696.66091815948,4683.79433896903,4666.680726528752,4649.193957573514,4624.865183384666,4580.399542144651,4520.160387997779,4462.254983331287,4427.2455934671,4418.24174246745,4425.020908642104,4436.35619808066,4450.74250605,4485.008675408177,4559.924511019841,4655.247031836374,4728.54228202583,4737.483151538131,4641.244362193959,4419.115969931608,4112.871514776201,3832.8883870313884,3623.9757606057083,3483.8866088329983,3425.276579367491,3430.1881713977036,3459.3161458640957,3464.3604314224463,3412.37441928488,3312.1592600399754,3198.3794986227645,3108.244700864265,3059.87997556
15kg_10bpm,12BC,2972.7493938,2913.018797137883,2894.7114681697553,2914.6309816749226,2955.8703241198355,2990.948553515957,2997.208925244369,3089.4293464642483,3324.6202957459045,3568.91050525617,3762.763834150574,3888.6700464616415,3919.928405379511,3934.4186511546877,4012.146935603964,4118.972553181086,4218.494263051776,4286.979926328554,4315.28634850067,4301.518470049172,4265.668101773891,4222.351658235734,4180.224632341447,4138.397218246617,4091.4126520980262,4033.1487985500007,3960.9772100329483,3881.7413101891566,3800.9972459350306,3727.8589733867443,3668.3397475128218,3626.8210075220422,3605.7851411640686,3602.1391212010835,3603.992157933569,3595.97182721399,3571.9825378683713,3532.4635223922387,3490.337211468927,3457.8684826260824,3438.8263836669835,3435.944418557922,3444.6715201807174,3457.6124904240523,3470.5936518720046,3478.306656936964,3484.6846431003373,3493.2119780574494,3506.7967900359477,3524.6486064687974,3546.39859,3564.2763629975884,3578.075640501049,3592.759076604829,3616.7560308392895,3652.099695329722,3692.2563530954094,3724.491893825936,3740.348627293475,3741.072063023518,3736.6928622533674,3739.650727789218,3757.425390145782,3788.960782891156,3828.1550804458234,3869.3445196392636,3907.474520272551,3937.527993578244,3954.7962359223775,3957.736008675756,3946.5229266066744,3928.579714208575,3916.970093226111,3925.570073068447,3958.498961274195,4003.8950337000006,4041.2366633433558,4052.344439197521,4029.414540165449,3975.1027741987705,3901.9432315593426,3827.972910673186,3775.8864917596748,3771.2572736585744,3832.534238807752,3938.5987079379297,4025.748303747028,4071.8028060627003,4046.7199127223503,3932.994558358765,3744.551080391259,3529.635024618757,3347.39103190394,3241.47042981478,3246.1686254932592,3321.519693451907,3409.3893649836477,3486.2315120535404,3520.8444480045573,3495.8580596225233,3411.81567395
15kg_10bpm,13AB,3037.03971323,3179.8781873784615,3345.540296129191,3524.959731308335,3716.467339138735,3919.3415876644553,4116.950076002594,4294.800899498867,4430.408806430837,4508.210864311714,4558.396962147556,4631.636305177917,4713.251288558797,4784.828395403563,4827.644157247268,4824.087102736913,4762.227900626875,4641.634439909223,4465.31237321935,4238.1355310016515,3965.9937327966513,3677.939564179936,3402.3025243724123,3160.374678560237,2961.7986400271166,2813.320097989603,2717.950342113084,2661.7489610272587,2628.253774180828,2607.333185380771,2588.9177612974213,2549.673065309515,2497.2182883724354,2453.141947332782,2433.3123341835803,2453.6974979240717,2509.783342384526,2580.2149283806243,2634.792139634355,2654.5994838031397,2641.1684783606215,2617.685660191856,2616.3902787852658,2657.260755796846,2741.966154213075,2857.4736825232726,2980.3538693806827,3098.668265550462,3224.4653905957503,3371.688011824672,3543.0638367429924,3732.921739639829,3916.597016832118,4067.6892373066344,4178.814335024355,4259.960404234199,4310.47874906775,4328.646833143849,4329.090524166719,4332.342928745922,4345.871137421508,4363.380081789064,4376.862097882778,4383.390820598317,4388.0212576321655,4393.26843197318,4389.293420198126,4377.312442485233,4366.8069805985615,4365.370340388542,4369.461188458069,4374.268571287142,4385.285509622567,4443.828811645558,4552.544134217211,4624.116322523105,4643.4046512842315,4629.255546656976,4614.426303956782,4613.665115599847,4615.203925747618,4593.358900359377,4529.913358147992,4439.203245071151,4365.6724175102745,4352.724134430951,4417.786409569392,4551.9582564641305,4707.261469955666,4806.658346823534,4770.354054654704,4566.247235313183,4260.339473468484,3977.131064020238,3768.363042775695,3651.88558156576,3600.22369859073,3561.32238252716,3503.815181185525,3435.3517593252714,3379.36154274
15kg_10bpm,13BC,3036.83649966,3188.8664618850485,3445.929950198266,3728.852885071495,4013.5162667806526,4251.20519839443,4371.033286772351,4358.606950609366,4279.165253001789,4244.711225902346,4234.684249855014,4236.383938781735,4236.017422884104,4229.533268010934,4215.961866843592,4196.334175530307,4180.701401678508,4180.165305657598,4197.107218300323,4228.450322205776,4265.9168968968825,4297.070879070648,4304.774309771779,4275.919881095449,4204.23668889767,4093.176236719036,3958.151562039192,3822.0971953112053,3707.0638112579786,3624.60732951438,3572.4855812790943,3544.340778620961,3528.4448128877734,3516.555553082705,3503.593799854783,3484.5731211245543,3457.151122567822,3419.127652096336,3368.1097574014057,3309.7826147276946,3248.8666544006037,3194.1728929089936,3150.717430200962,3127.2258048129092,3127.574197059926,3149.1598228484067,3192.317113750316,3246.5587092275746,3303.0987229155694,3353.948612616193,3394.5677933191137,3421.0903993239954,3435.3729154608964,3447.4435526540924,3463.950574944513,3493.233476246401,3537.7067777974344,3597.5763870396822,3661.783320491373,3723.4293852184333,3776.9493126887273,3819.9470096734526,3853.910021514437,3876.94021006486,3893.395526427942,3911.0797486547995,3932.225794370008,3956.6362218156564,3981.5143308955303,4007.6098570947256,4041.027343316705,4081.6485180782433,4126.905890834652,4167.0378164456615,4192.370449642899,4194.596207585468,4171.579052412677,4128.017929540439,4074.5327903025077,4027.58477481524,4004.0896093647993,4016.4068034846714,4048.242609653098,4090.3309437646694,4135.178742381153,4174.4493320682495,4194.098876619562,4176.731879698199,4108.60406624296,3991.183144676548,3845.409006261971,3700.652366090881,3584.862416267925,3509.5318154310135,3473.2995469123393,3464.066293080855,3464.3667063574953,3460.0501209376566,3444.922902289418,3423.403761616279,3383.25728847
