cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,3790.7261348,4000.6203278457424,4344.316129034313,4697.050289969103,4874.070425220135,4988.922003638951,5112.152744045719,5240.931218822453,5322.515284865936,5331.910558666724,5331.21384340698,5335.989424747537,5240.921938203932,5087.254441712697,4911.6886759603685,4717.265732690563,4522.861574447502,4348.619248982582,4210.4615119478185,4088.8211735083783,3945.5413736054415,3808.395270423226,3707.3332055643104,3649.164468297701,3586.9554139665993,3507.8916198194793,3346.030702805415,2933.238852092288,2531.6755586087975,2207.071586281591,1889.1618083881065,1651.3986620444912,1440.2024258888885,1264.7237835484034,1181.9055761497136,1194.0539845178776,1267.7632645374144,1358.2453181865633,1431.4368532127362,1479.119852636041,1523.6242216647245,1588.1727695849609,1699.614292624935,1857.8776083323944,2055.470189306968,2329.7432345848115,2649.5350436349117,2933.7129662087755,3089.731233385341,3151.584659087943,3226.0302786,3350.725166045667,3531.1870258267454,3760.8548625551807,3960.2957857683405,4101.497056051672,4237.420987886311,4426.188885734405,4677.179689912257,4873.108713776392,4995.50876660988,5080.3048055831505,5131.000872635212,5151.538641613638,5156.1384293777855,5159.909859329638,5155.201711225597,5138.191484686823,5113.10622178259,5099.093790835435,5134.744395547679,5212.243833099142,5257.588926910776,5297.101792532307,5309.682669613575,5302.402472393253,5286.883016936568,5284.294066191229,5289.387450201006,5292.227883974316,5286.234080480716,5256.280566413828,5203.2372573253915,5139.272010539865,5103.957279781083,5125.7831477727395,5206.870515410148,5307.799090418447,5371.270657205125,5415.094854712254,5417.880018594523,5341.211481668291,5200.4259840645245,5055.443626567698,4968.985733315809,4951.428001986252,4968.131730050842,4996.215216471358,5020.058638568207,4995.727881668297,5076.21601301
7kg_10bpm,2AB,3400.7390401,3662.621951130426,3914.168623579523,4029.8789006010843,3972.172969742048,3963.06742148037,4015.0801944987243,4088.6861447913043,4149.115004764877,4162.009718348284,4115.910626964603,4015.463008558481,3877.100613615617,3713.7948535647506,3545.3624103076154,3389.4380901357385,3256.623924486875,3133.8497040702923,3013.0417637125925,2881.616837251397,2731.4011680433146,2565.9792159754065,2393.12135706417,2222.9969799456057,2070.5868356010255,1947.6298573476208,1858.241885323022,1796.6386039767171,1747.2436504848451,1694.8821946094881,1629.7387048169865,1550.5163708584219,1476.8946363446805,1419.3005508069716,1394.785164265319,1422.6276061102362,1502.799179129473,1625.1685307008318,1774.6648934176994,1935.277930339361,2096.0673503607786,2251.441061085079,2400.5773463209857,2543.9955236521737,2684.8616074316565,2818.5690728299173,2942.7989123638613,3048.5018296154435,3139.38887512099,3226.5462393687467,3322.4389136621603,3416.89161672305,3508.0110166842064,3578.530269092214,3626.232597397852,3660.6352440966107,3691.9005501137017,3723.188328464512,3760.0474248664327,3802.582332617811,3846.0999127140444,3885.428277329767,3917.503591024456,3936.0805619523894,3947.1463827355665,3955.919828728779,3968.126003153893,3985.4921941154835,4001.4654358795988,4007.0316798409453,3996.2374151148783,3969.068151855905,3939.176088104129,3915.7221629893947,3905.3671794874517,3904.2418453829077,3902.641617444028,3891.0853934088927,3863.9549732096843,3813.0616966393422,3738.854592329286,3647.7332253759537,3556.129639852614,3481.3914392117717,3445.173588583142,3466.113793449318,3549.852601037886,3638.482195395975,3672.567244087541,3648.121440007681,3575.2017568873875,3483.8384866141437,3416.640103458753,3418.6285724915706,3509.2922367682895,3613.5810410087033,3710.468428507363,3782.7409810796635,3818.1827417663612,3820.6062811826127,3788.15225393
7kg_10bpm,3AB,3702.25111128,3965.203095919117,4147.047500400629,4098.560038995633,3955.328659767313,3919.089587115352,3978.573996583622,4092.33602626679,4211.7510082450135,4291.003808357243,4300.262350262915,4231.85786261009,4094.633321464545,3919.7483114799106,3729.49080301839,3541.3177484016555,3371.090120287477,3215.983139207544,3067.993455911351,2914.557824502996,2738.9431215258564,2532.677405448133,2299.8462188237445,2052.065213168541,1808.898299248444,1595.769045718912,1435.1496768515392,1341.4050655758022,1305.6416315748997,1305.033360427778,1317.643277119294,1331.887257853182,1345.563451958658,1360.6345816403825,1378.9289890076361,1414.285636511948,1479.4196764449066,1580.1570826697778,1712.816967298964,1866.103230431976,2021.746846285788,2163.017448564748,2283.0713740975743,2387.1389910719713,2489.4192882107136,2603.4902882126753,2733.298805312378,2875.2842522360256,3020.575794953829,3151.4711069061455,3251.62333611,3321.186730981138,3374.6410861631944,3419.320006095177,3459.8521228693953,3498.989614663515,3535.2094922815236,3570.343258217317,3607.340592799596,3655.878181677801,3712.563814958004,3766.4387579704853,3806.146919892915,3823.856106013796,3820.118309708537,3804.345401139664,3783.8889469497385,3769.221030601672,3760.806605054947,3753.3855880975357,3745.0160761619527,3744.779008000726,3758.653337969534,3791.4306502150425,3839.723969561362,3895.7109798292586,3949.4164485914744,3992.768894548405,4016.2425543983386,4021.1037175100155,4004.2371359682993,3971.91648267129,3928.316599875042,3888.8363886649017,3854.203120377619,3827.462869171311,3815.201497881246,3818.7662671635703,3831.9125776127466,3840.9647817683326,3834.596484748295,3807.9374329536677,3761.8763804428995,3710.7343175394185,3673.156626846281,3663.641785047743,3692.9541704278304,3755.710040690877,3830.4717284543262,3903.9562491994648,3961.15376851
7kg_10bpm,4AB,3631.68867644,3923.4065946042238,4192.343286353296,4241.920914857506,4115.949157528233,4091.935785977413,4165.870627209631,4303.996489599176,4453.124174902745,4559.081683543246,4585.633540756771,4521.786446026316,4376.186442815339,4165.587617169771,3923.705836379677,3683.427309488068,3469.0738091811786,3293.2233162929388,3137.2544603819997,2984.069470006489,2817.5553133287335,2624.345283963022,2402.8258273808224,2161.226080567239,1913.8397598688116,1672.1830691391801,1443.8984062738466,1235.695173491001,1051.9488300883957,899.7864637347411,798.0644686735992,745.3129457542718,742.7531182518034,785.5966583165848,871.7969468891389,994.2736659667403,1140.3508659574966,1297.1905285993382,1455.4642482543245,1610.210031536507,1759.073719661394,1902.0830732557893,2038.1227194950911,2164.706398092585,2280.468149114846,2385.473275890521,2481.9390342672623,2573.9983728147035,2661.9597794561673,2746.9869319686113,2836.069632108326,2933.395186872405,3033.469262495942,3126.7263051647005,3213.3558094704285,3305.1753015905238,3406.756156796417,3526.3680149656066,3655.6397656432137,3779.4581333598367,3889.114012247569,3979.5915300447136,4048.1421578245795,4097.860532906139,4136.597751292985,4174.956258872677,4223.270591557663,4280.207567140271,4336.270530779609,4379.344048160096,4391.830920542621,4357.688352599909,4269.304711500829,4140.003705073386,4003.7753470576463,3894.1034432321644,3827.076338716427,3804.7254897602597,3817.621524729856,3846.6529596101086,3872.3970999389003,3881.838835452661,3870.207902172287,3843.317535444673,3817.6383544695354,3810.622451360693,3765.7536048010215,3693.0250619383664,3618.7610561322235,3546.1977352912195,3478.800509912695,3429.471527091637,3404.421037819973,3352.819106797111,3309.616089094673,3312.624205216053,3380.040661502662,3502.4052609393334,3649.742125016238,3781.8443035815794,3866.65641153
7kg_10bpm,5AB,3689.4394308,3870.545668731305,4044.1393672372697,4092.252126128225,3962.495427180781,3877.7718339000003,3889.742782022394,3962.2261920028945,4048.11708911399,4100.2911097498745,4096.72005804,4031.727615018409,3918.677811637825,3779.6924695660764,3635.051480094525,3496.987028649999,3370.113633073255,3254.972383249998,3152.652039684129,3058.0993546954555,2961.5815222900005,2845.2714793894474,2693.303979682781,2502.946645387512,2284.4380758805714,2057.08258203,1840.9865602779878,1648.5799407091129,1487.2332140753888,1361.5484140429649,1273.8907666800003,1229.7391451074961,1226.3117414698859,1251.7917632575775,1303.6323912682487,1374.4184081,1462.7409010268454,1569.5179557263589,1687.2232190346235,1807.6763350285112,1928.6674493099997,2048.0650848340033,2163.9633190775407,2275.8854900724655,2381.8640551140466,2476.30851454,2554.9753115953386,2620.9349471363894,2682.662078505147,2741.5903046801336,2804.41783051,2868.1578792334476,2931.862884867025,2997.569682325631,3071.9489504703993,3157.45147197,3253.3130438868598,3342.9883164700777,3427.9008025883,3504.674481837426,3581.1004341999997,3658.988633466596,3736.389932202578,3808.88994121127,3866.8734267245804,3907.40030348,3934.5889714624145,3955.4490094250023,3976.5261122016254,4000.448994710807,4027.9983220999998,4054.184437515893,4074.7435379889084,4086.8337062276496,4089.2110143844543,4082.1885544199995,4067.565097081262,4047.5027482511273,4023.5612136542636,3998.8717882390647,3976.0750832399995,3957.917093254092,3948.8417937338195,3952.2482841886304,3960.240675542434,3968.440225760001,3970.668301566682,3962.537458266325,3942.7890689818564,3914.984506063846,3883.38921119,3859.1852344472413,3847.1547475977127,3850.4140540428457,3868.2725798463835,3898.04468366,3943.5859760052176,3995.4151685025645,4037.868214038224,4055.9357844825395,4039.47350478
7kg_10bpm,6AB,3601.15900788,3841.5924524502207,4067.512528064532,4063.1240259616798,3878.0048927878206,3790.443688502712,3813.8597685114582,3919.5710902117917,4053.4471630092376,4160.957822688181,4201.625842562514,4154.669678402,4024.652678398388,3837.619179091121,3624.643457152311,3415.226129568366,3235.1020522922577,3077.665129244933,2941.2581071906748,2811.14708205115,2674.4600584525674,2522.1624525575185,2347.3485520841095,2144.842817652862,1919.3590859262595,1689.0747703018694,1476.3943744134097,1297.9368776357455,1161.184860412414,1067.8603690197665,1014.5435253443572,994.1885649050889,1009.9930099623125,1062.0526942633478,1150.8024117332145,1267.3343544387678,1398.4269513265617,1534.6690942905736,1670.534341084755,1800.6409307101214,1918.6466714624898,2021.8152795369256,2111.874669590709,2198.2096367799663,2290.873583591853,2396.4893200209176,2517.0462631671257,2649.9420566036665,2788.481798182707,2925.4441287711998,3055.34223796,3176.0587537667825,3287.680201069763,3389.360594593015,3477.732753503135,3548.6292199376026,3600.9743222533775,3640.017463609435,3670.4454466551,3703.8622929861017,3742.8078094668335,3786.1822547232164,3825.2600488194694,3853.262222237288,3866.4521411662336,3865.1003839450473,3855.586749437853,3846.5669660851745,3843.830536072459,3852.0919386045975,3875.1087785069967,3909.294142051786,3947.991811673734,3974.331750172023,3977.6575445763488,3959.511863345478,3932.241705676819,3908.8872254084004,3904.032659764023,3922.7542171970317,3965.21318919188,4028.6423967705077,4101.337577535888,4168.762324813351,4220.099708085158,4248.906464254464,4251.633979890857,4227.436962106119,4177.209431849096,4101.520749920542,4008.181936467104,3908.247450055682,3816.069371019141,3739.915265758449,3683.4476393307377,3647.967630826167,3635.8972031100284,3652.4178539018644,3699.549784777368,3772.022691927883,3852.44425869
7kg_10bpm,7AB,3581.91655937,3809.8643597046316,4004.343878237264,4067.5565178965126,3977.88322992979,3949.0576042695884,4007.6258939003314,4121.501387567862,4239.389517550233,4310.461833785681,4293.055727824605,4183.618088676837,4001.4765144426506,3782.670872159123,3559.1310457703416,3346.845867390146,3156.5190619293085,2987.5143374488916,2830.416864771561,2678.0152293581828,2521.337478524831,2352.149018775641,2163.2949555874648,1957.7705192249753,1746.563257773765,1544.9359377300118,1368.9204561328402,1226.7362458519465,1122.8859774633152,1056.2961341532018,1033.053171417735,1058.0234332483626,1119.6249143924517,1209.33644492745,1320.0293367332215,1450.0870755824621,1591.706833118957,1732.4141959478761,1861.8530961917563,1977.2664357892363,2083.7712868587923,2188.129795712295,2294.5783038218515,2402.601114105426,2508.3500656388005,2606.438213559472,2692.481014841401,2771.907522039855,2857.181834262044,2956.28548394667,3063.2552563055615,3165.1842925782776,3256.2376630235512,3329.506507070259,3389.2791687624795,3442.555195319753,3492.9884010915916,3545.4717785046273,3599.873565435829,3653.263948426048,3702.7899657169696,3746.400348836343,3789.4300865657237,3829.2154519441315,3861.9039845657007,3884.0513630554797,3896.9254132525157,3904.092198819634,3910.8699345673126,3927.0243885664772,3961.041602961444,4016.8403513651574,4087.854495096327,4157.5835401441245,4206.746951113808,4221.90982662766,4203.547931507666,4161.329244655926,4103.130077027959,4034.3465478632766,3963.687363294985,3899.0898056192445,3849.6808928432333,3820.815589784505,3807.388107547192,3810.5171857497157,3839.254576438572,3878.9366581271584,3903.7062475549424,3890.5160068420496,3838.4256814271325,3748.1788002807702,3628.183137821026,3503.616601000255,3411.2419497382416,3380.7217310727597,3425.606729867832,3535.3364652274877,3677.392220383601,3807.783156807071,3888.3659698
7kg_10bpm,8AB,3662.42849017,3796.348037062493,3971.2300291988004,4013.605798580449,3854.11926547718,3730.681940172885,3739.6941058846223,3839.7239023569077,3971.7713953453135,4082.3955683644836,4140.867384715699,4132.136619937421,4050.085326002345,3916.0975326680027,3740.825883141105,3540.8127618507533,3329.633423700463,3113.447826002031,2899.3539419543017,2689.9317135757533,2489.973584551399,2311.865512727902,2160.9768266583874,2033.0170276860742,1922.1665784884012,1822.1166655899297,1722.247479407199,1621.2962175057842,1525.1844251047517,1445.6465309475525,1393.5112838685313,1367.2183574725834,1356.7726657847888,1368.6532018825455,1412.5617662399168,1495.7336823391868,1611.1668747200147,1740.9138213278993,1870.1863599523974,1989.882336925127,2097.247070977222,2198.944637228058,2308.7100782414263,2436.8160356999247,2578.78507638069,2719.5905483828865,2845.8452571177895,2952.6858546142453,3046.632796965424,3138.4417922699977,3233.8310110599996,3331.0209264758523,3412.7907636827667,3474.8331728219036,3509.264801414811,3521.6818964783274,3525.2499246142324,3531.7982900239563,3551.940811977853,3584.841463004595,3631.7063532345487,3682.669753871115,3730.3455582752295,3772.0389921639226,3805.521913262437,3827.0631585670294,3835.0346025754106,3835.390256886036,3836.339641132659,3842.7095843673496,3849.60380771198,3856.99109109337,3870.315531734651,3894.176004906108,3927.067038891613,3966.853731580605,4003.9531247961263,4024.70314871188,4021.515380039838,3994.626325273911,3950.89067948331,3899.201464230849,3846.6814976922446,3802.30689901091,3777.208203685346,3779.6957840179193,3802.715902070477,3846.6373840889187,3901.4864940373905,3948.323708271947,3961.2272330349183,3924.5240027124696,3847.8165332827134,3749.301362571988,3647.937673513885,3573.0733897562013,3555.8556357816756,3608.607715566018,3715.1761655227606,3832.8624695618946,3920.50414893
7kg_10bpm,10AB,3380.9827523,3581.0050080270717,3773.575563708861,3824.685730814008,3694.3371388613264,3625.8652720930027,3678.7781074815066,3794.6181460822645,3901.1154249652277,3949.1692966153355,3929.161248769563,3844.435023284241,3699.731663921099,3503.3961578000813,3285.3138430266613,3065.722435469088,2865.346560056926,2693.4531532220635,2542.755342881284,2399.2698776839025,2247.3293569920856,2090.0559873325496,1943.616259954271,1820.5368381988928,1739.5675162607813,1719.9984649132714,1754.4686220275485,1825.8603334917034,1914.7613053445198,1998.1928090440613,2054.786222416371,2080.023756033674,2084.760166296264,2084.3823664797897,2092.2044012962806,2113.946285817663,2148.3075167851434,2190.42328293653,2234.0360677379285,2267.631537686886,2284.6800468003166,2289.546514427036,2294.804493589615,2308.8531885498182,2341.5697776091174,2400.029296865924,2480.599578404165,2574.260141022328,2677.9219812187093,2799.1348714147884,2932.98048883,3062.382355410889,3174.216651006525,3267.034211442322,3355.5991816040023,3459.8681860367647,3579.195696654947,3690.164529864799,3767.7919439255047,3809.4952512055434,3837.98067765525,3865.0343634764877,3901.6701753879356,3960.676150525998,4059.3224155079724,4164.342469193108,4186.58955458318,4073.870458548416,3847.8977334542265,3596.518949393787,3452.621700318496,3493.8665038170016,3704.065066969708,3971.8256327325234,4130.281716336585,4089.1778084316293,3917.5481645731447,3756.6305860032776,3720.422656906112,3805.234379063769,3943.295609712317,4036.219869081525,4025.3201865228853,3930.6465982137966,3792.4594617842454,3672.1146287528495,3599.3897953740434,3568.488357777901,3554.674594458456,3530.6676764007716,3491.291899628054,3445.050143692951,3407.1289511469367,3383.752376898683,3367.672867087012,3325.9584431986846,3246.184877113327,3132.967315236163,3029.374064424059,2967.219574670646,2963.50663565
7kg_10bpm,11AB,3427.65246888,3752.53130162462,3988.849418378765,3811.2044530700437,3738.879023276345,3834.312826624095,3990.337201572238,4094.126071663331,4091.8455339750594,3998.1424219193827,3857.384320133934,3718.119824862144,3595.2081444721493,3462.153797942416,3281.335130651227,3025.3355356996576,2697.5185977189203,2336.599402341115,1991.3858685640316,1707.3020820953022,1515.79952952,1426.0595071098446,1418.8565864737395,1453.3970433454072,1490.0821219485795,1506.595697592629,1502.649245061847,1502.783112055626,1539.5524947845367,1626.9204049121947,1749.7211449800648,1876.2617761521867,1979.5646232487438,2050.378255618548,2100.6836423327127,2145.0521401570713,2197.192219099325,2262.055504616119,2338.339527725584,2422.400662818474,2515.2294149799995,2619.053556076351,2733.363807048582,2859.8136799902404,2989.2451491682127,3113.978790569308,3230.9950237418816,3328.5311636513065,3405.136268105337,3478.0229445877985,3553.1349974879936,3628.284736228226,3704.4019587061744,3776.433383982276,3827.2747855759803,3845.0022865457204,3833.847318285856,3818.9388596327226,3822.9873803365153,3859.7458535209394,3915.8511599400003,3957.862922374507,3961.5033333427623,3899.7458079036746,3751.3567275750975,3533.14354510618,3305.622096005515,3177.59256934218,3254.212576898916,3522.700583144317,3833.144553939501,4022.698948782579,4058.949334340263,3951.3546722767232,3793.8748528235174,3685.049434159915,3644.033017991837,3653.3096170205044,3682.4246204771125,3712.107667807104,3741.3332200100003,3777.8072565629636,3823.1548739192276,3865.5390846381692,3885.424661106219,3860.4214502813625,3782.5313968666715,3669.5588788543887,3554.563684399508,3464.207315138215,3401.4006133218077,3362.2753172925527,3337.2365285446876,3314.1337116983864,3283.647824985628,3242.508814696355,3196.751213501659,3168.043797102291,3170.1479995497384,3200.855278667655,3237.95135
