cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,3639.35512521,3944.668432079967,4251.571323834127,4245.0429191579215,4063.6550449640486,3950.6817158900003,3883.1190493185154,3852.179491016519,3844.7432691913273,3840.5244771884513,3818.6096688299995,3762.1358557936273,3665.111879653007,3535.341879980226,3386.8650586475223,3238.4213090899993,3099.5543263517757,2981.259085832652,2887.289252759962,2819.467851380233,2776.6899396000003,2755.6295085536635,2750.321542395477,2758.6842779946132,2773.754682971415,2788.32837457,2799.159107911958,2806.964516167975,2812.7978818073993,2816.9646536817822,2820.7929623499995,2827.4065310685446,2840.1863002857476,2861.8648374493177,2893.122348534527,2928.9445065,2960.524195299076,2981.3963955563913,2989.148963354662,2979.9003243279276,2962.8526863900006,2943.5318742554523,2928.5664924235675,2920.9662590829557,2920.037169392036,2924.0752545599994,2930.813513356342,2938.748391610035,2945.9687196964114,2954.2299650492873,2966.94726004,2984.4191858086247,3004.3793882091377,3025.0832815189715,3047.1642936112803,3070.4305161,3096.3395637309945,3125.1846243675177,3158.27724213397,3192.580456716196,3228.7720882900003,3263.0618886625125,3290.9527707743455,3307.3618581932333,3309.1169461205163,3304.0902737899996,3299.31650349162,3301.4376743857283,3312.5102514934797,3329.4465195871485,3349.7233048399994,3371.424444637456,3391.3540925758316,3404.9179733640294,3406.0726123696877,3395.62941375,3374.1528288834756,3345.857841980873,3308.7012076335536,3268.326200680648,3227.9213689699995,3186.9662184685403,3149.614758603339,3120.407375801551,3109.546974336688,3118.4810105099996,3150.4428714833325,3207.835058910827,3283.2579356229503,3362.81734087896,3426.5505428899996,3454.8144168374615,3440.424589571044,3385.6849697125854,3310.3353311384203,3234.1660644299996,3176.9223729224614,3147.7844182313324,3147.6671503753632,3175.389638862668,3215.6287205
7kg_10bpm,2BC,3407.97914439,3652.7534128829257,3857.189486761393,3938.7716224346354,3913.381600716231,3910.276646368835,3929.9829241282678,3963.3327292201293,3996.2655357149924,4017.0005774937963,4015.105456782982,3983.950796273444,3923.147524722167,3836.4295459700334,3729.6793048699274,3606.203221878029,3471.4401292592906,3333.90404106233,3201.5594483219215,3083.983296324944,2987.78550792,2915.002357034915,2865.3601789825957,2832.6163880007343,2812.0211486322196,2794.957822028789,2777.009003328064,2753.01777353958,2720.446879115962,2681.1861651979034,2640.764390614786,2604.9912654814993,2577.452228455164,2561.1357307941166,2558.006550325002,2568.3798836221235,2590.621720992017,2620.012851993008,2649.6552088281665,2673.585618389989,2687.7105379600002,2690.947335841974,2685.539185338996,2676.468470530079,2669.096707019953,2667.8676984494637,2674.270671063528,2687.1229168335485,2703.3534959374397,2719.0299972067924,2731.566858039184,2744.2640877953554,2763.0445745592688,2792.7917911609266,2835.172140679891,2887.431513076516,2943.9261221067636,2997.400148059283,3045.178911323287,3087.5138545780464,3128.1698730900002,3168.4393467092805,3208.9270161038226,3247.1824074520164,3284.7403315961965,3322.4027986693145,3360.9935239092792,3401.0291138106754,3438.6247492809157,3470.136272552022,3495.526627458108,3514.329683430002,3526.1604521171107,3530.181008543609,3524.533332301009,3514.7080898800555,3505.731299304978,3499.541142350927,3495.9581443774928,3487.478961208844,3472.1944438499995,3454.785089083528,3440.2807566067386,3431.1240604960676,3424.4669410285055,3415.0999319842563,3398.5095859858634,3370.6394631326298,3332.6259460770684,3288.64839432282,3246.3401949873914,3215.1931841602086,3206.147048791226,3225.3519219635778,3270.1731954996085,3337.442781202032,3414.079704541933,3493.0292075996376,3570.3256020438157,3650.6194049085925,3730.81393992
7kg_10bpm,3BC,3810.62837153,4047.0368728854082,4230.5220587827735,4155.594580713441,4015.1253983879806,3933.2030226321917,3889.680458813861,3874.063666396277,3875.81123398613,3882.1641262746825,3877.000865490922,3844.49043974778,3775.9390808961375,3676.644449497046,3558.7101657353724,3435.753846551493,3319.440695737013,3217.6177336972637,3130.927629423599,3059.1728164005185,3001.686054187171,2955.7040281254463,2921.0447606979324,2893.7010643185536,2868.1944953456396,2837.563338218392,2798.9930854469744,2747.9974975095574,2691.7666447188594,2636.805837721115,2591.565000833516,2560.887186488511,2545.193279856613,2543.904176696117,2553.250135062515,2567.6657114113245,2581.3974731120784,2588.8601933244317,2589.100285557832,2582.9683216449644,2572.6929679724244,2559.880852454894,2549.2247321118866,2541.4699875295228,2538.9421126777293,2547.1337793342645,2569.215051211974,2601.6000482414665,2641.369676686616,2683.474108981343,2726.537533984468,2772.648709789439,2823.948975282139,2879.7814067448744,2938.827148659436,2997.556387553384,3055.8940251287895,3111.976660988478,3162.0252690460165,3204.4540799052747,3237.5173250192834,3262.5037847426297,3281.394732290866,3296.534323267582,3310.183884341494,3321.0747200453625,3329.436066546452,3336.339821826372,3341.9461391360715,3350.0979642349466,3359.027198233267,3367.796847711116,3373.9986704993153,3376.843317722525,3374.6309886545127,3368.1021619581297,3361.966395813577,3364.5828924642246,3377.731943032263,3400.66324817754,3433.6614133825437,3472.049385794472,3506.4124733237695,3528.39689987284,3529.4259900163534,3508.0653182077804,3465.2495131530513,3410.596919826169,3354.0626092320886,3309.2942295250737,3287.1580685847334,3297.6974903177347,3338.9288227097873,3409.704044402072,3501.3955556945075,3609.769727056289,3725.1426121516665,3838.1228745393487,3940.2776817749473,4009.592563375695,4030.07900328
7kg_10bpm,4BC,3701.78351534,3950.1904328360824,4021.5085060982256,3877.1493045830252,3789.7718980455475,3753.145653902519,3765.1830690273846,3812.6244946577685,3872.8445089144684,3920.3800437742393,3935.4393909743303,3907.811776785214,3837.891873328229,3732.981698856028,3607.1064609724804,3470.345861258716,3333.2522859854416,3204.3482414925484,3089.5291872971025,2995.6274124503084,2925.0326031123595,2878.104939412455,2849.7348423435983,2831.8371484616227,2819.3521831186617,2806.893602773354,2788.0924923859525,2761.0214664857854,2722.940527328049,2679.079970253434,2639.317188053791,2613.85379605521,2607.62663757489,2620.9122211428275,2646.576010847294,2676.890939769127,2702.6882264868614,2717.1875576928846,2718.2239393183972,2708.3027438188105,2692.573515092168,2677.1030666212464,2664.8378125725094,2651.7477271686676,2631.1393883862975,2596.6387506812416,2547.645318191106,2489.968605128721,2434.505795434845,2393.012977589576,2379.2113716339895,2395.5671340444214,2441.9835213244546,2514.548630769218,2606.575197947242,2704.6794789818887,2802.3966008971215,2896.3473987303914,2985.692276043315,3073.844410342568,3161.594151343586,3250.2332013643017,3334.772794099882,3407.6216676171543,3466.3422660433084,3511.6800293168135,3542.5909596892516,3557.6466801187175,3558.2230454591686,3547.02661500245,3536.0095195743365,3530.4279967908105,3532.6629273033923,3538.7893350130003,3543.175486164071,3540.122112222049,3528.028881362043,3509.9218361422436,3486.185774434132,3463.4948158621282,3447.007458699472,3442.451666326341,3446.335118611101,3460.758477057499,3482.353727097119,3506.9855232645673,3523.7800629983085,3522.8624360612303,3499.9100115438096,3458.447851342313,3416.5490671273633,3393.653678801208,3402.837270194234,3454.822084287129,3546.344641059028,3668.3464344285057,3804.9270631235477,3945.7351511867114,4076.462740949562,4182.167142401542,4231.74588221
7kg_10bpm,5BC,3704.52474773,3893.48725467025,4016.7405887202867,3961.990053242055,3804.8701621827154,3694.155026833061,3635.0901948385012,3629.8384911195544,3664.6356873933905,3716.8299134138765,3764.0889952139964,3786.4475760487303,3770.032035108435,3709.906573392201,3612.1638308269976,3493.8453167903454,3373.3393014425073,3265.376088127914,3177.798783226872,3110.302875615454,3054.416798842026,3004.360128629128,2954.4242762630893,2902.717178959476,2849.753420382637,2804.0278898569036,2771.926657667483,2759.9454763872577,2759.5368905944233,2760.663321098379,2756.064133917834,2744.240108423387,2729.724631079505,2718.1407645723725,2713.2550675213183,2717.804440004022,2724.853054257841,2730.2266446669637,2729.8918691918543,2721.3147344900754,2705.4359459677785,2684.941062156175,2663.077846798052,2644.5028190488565,2629.1488606986295,2620.1662920487397,2613.891988122478,2610.6548134590053,2613.9923908327073,2626.613561708531,2650.0377750455177,2683.8252406287666,2725.579807232051,2772.6230881605743,2822.118891986842,2871.0999179793425,2916.9966108518406,2957.4546427599944,2990.3234976535873,3016.097285587232,3038.05100987612,3057.073493807443,3071.4567668245118,3082.4951165078533,3097.0254330763814,3119.0709689609375,3150.677854648876,3188.937847125432,3227.9754545356172,3261.3725911386755,3284.2942820333387,3290.827567495321,3277.903689340179,3249.0742658359177,3214.187195496798,3184.594018746077,3170.8140909485855,3178.2185807422593,3204.65487132754,3243.6138139168834,3289.0123767814853,3337.592677022656,3394.1782259129172,3463.9370340303744,3542.162239341303,3607.7802267917177,3656.690635319476,3681.607684007651,3677.874374454199,3649.855349198661,3610.6385915835185,3579.396162748147,3574.727111719404,3612.3480227817136,3696.523038142814,3814.467676827957,3919.206145891609,3984.418145667964,3986.1668034604154,3920.8429540315983,3804.59714985
7kg_10bpm,6BC,3648.54579191,3910.826194390175,4162.191252253547,4189.308754010899,4022.673528299164,3896.900874998364,3813.2284318089983,3780.4559373124534,3787.3978116387166,3808.723729920615,3816.7319995237795,3792.3814167066134,3731.1347835688707,3643.88596410332,3547.661006268547,3456.6028655660994,3380.3296553899077,3310.9203543069816,3239.4489197077714,3159.693359174737,3071.2699795400345,2983.6554688287806,2909.8304846760166,2857.7205161596503,2827.842304950695,2811.7162148000007,2801.5558319646098,2786.4846390861326,2760.516506339334,2722.9933200862015,2679.2654708695386,2639.629518879779,2612.179953398701,2600.7187057339556,2606.1938044271933,2622.741916163285,2644.5447911103925,2662.8467981357185,2670.0255071117754,2661.061783221482,2635.0619353690813,2595.9561699711257,2550.6867388909814,2508.6124223308443,2478.9049400766853,2465.6812391724775,2466.5682076041007,2477.421510151813,2497.178071628842,2528.028802550731,2571.10591468,2624.762302717892,2683.676357642459,2745.075811567125,2803.190214593611,2854.3134091582174,2899.958113658567,2943.885263635306,2988.6977359833018,3037.1926176907086,3092.722389713996,3159.897359882095,3233.3336489174526,3316.672680066838,3397.1080989651264,3466.0411917741994,3516.341148673911,3550.809856597578,3571.990601927821,3586.763630540959,3601.115654499134,3615.3374591126385,3626.1295138269834,3627.006533487305,3613.8732003853474,3585.19437323,3545.7152726045438,3503.445140447079,3462.7644189738876,3429.9822308209345,3415.255954338056,3416.5239258967263,3428.878655902825,3447.9245787063774,3469.35365747055,3484.5351411170377,3488.067526373255,3474.2936552320416,3440.6698893558096,3394.531396182079,3350.1820749931226,3319.3599125125616,3314.9763832723024,3340.99211523872,3396.6065836483367,3474.943613811167,3571.0754619104787,3680.922123857512,3790.2196204197194,3874.5109487026034,3914.9134117
7kg_10bpm,7BC,3523.10769836,3727.9565317809543,3989.212103146531,4040.7675745125885,3855.9037095672115,3730.313059437051,3682.083297386035,3697.760506490383,3740.699220677025,3770.5884355169314,3760.640156581531,3702.6997565072134,3610.257892969845,3505.5238471719367,3407.0632461271703,3321.8522961771164,3247.7987127349984,3177.305986916699,3100.5887926614955,3018.7700602664736,2936.8336681,2858.9904859305025,2790.322222049615,2731.4252474064187,2678.4463804169764,2628.079705101945,2582.1189576144857,2547.6725632679822,2533.594897605532,2548.145399278415,2592.210882214807,2655.393358794449,2724.7682009836726,2780.728833214073,2813.8619037923595,2825.345066760828,2823.0198839008,2816.0767512048665,2810.8457100298797,2809.4034521756457,2811.2283042900003,2817.22287996869,2831.0392411865337,2853.3071592283295,2879.017930143516,2899.654552095957,2909.3995715762107,2909.9573256957774,2908.910665245225,2914.8354504367626,2932.6049532878087,2960.46961137128,2991.8477121889996,3013.667429837056,3021.0166107739433,3015.1605394684675,3006.5843091149172,3005.4054221783085,3022.875266221648,3060.949704120883,3116.7349871300003,3182.365699338256,3246.3401419544202,3298.339148708981,3335.3541073228394,3360.6097568459904,3375.883503843655,3385.181138856407,3389.4293635138342,3392.318833843558,3393.815997998634,3391.762555765409,3387.6486015615283,3383.9226539150054,3385.0083984001144,3392.3379959998138,3403.096973997914,3409.7842287837702,3405.505061035379,3388.365099434599,3359.81025301,3331.475481098635,3316.19704506767,3329.8404254397615,3374.236104227709,3408.0749446380632,3421.161978218961,3403.961774940414,3357.449500977291,3290.417236778211,3216.612419149406,3157.3735862558433,3129.618153574327,3151.760969782315,3226.9665960427287,3330.9016538341957,3463.203795917061,3610.306658841261,3749.359583579757,3847.5192584776037,3875.31095345
7kg_10bpm,8BC,3428.73814859,3631.218477701642,3888.0732771718,4032.8707700005016,3969.127367640206,3893.4201693395676,3867.1685314585015,3879.845688573055,3906.0560142099584,3914.44808682188,3883.022206724607,3801.887448657891,3677.3928513909295,3529.988758489229,3386.5601444177146,3265.535940025181,3166.4454801922366,3083.107859523713,3012.829870473525,2959.3751315607537,2923.9606295694,2902.452045966178,2880.4444772868487,2843.0383411713483,2783.0241979561215,2705.6212483790205,2626.9579326464223,2566.3732849873554,2539.809003231925,2553.454795672659,2598.91704402761,2655.9215246437348,2705.343477970034,2731.328889352154,2729.229357982918,2707.2143495460646,2682.39499012976,2669.162114495614,2680.63889394138,2710.6236171042897,2747.3187958266412,2780.451905811797,2805.106849790091,2823.547108731347,2839.0810199144926,2850.7815589075917,2855.9289096136276,2853.8529622486894,2845.629927341502,2835.121960373122,2828.328957076153,2832.350047760111,2851.976856762959,2881.653834375664,2909.564363631173,2930.1192723262598,2947.4649287816324,2970.01833641821,3004.016084037321,3048.725890280103,3100.5989898796633,3155.0182621410563,3205.985772640867,3247.4883873617955,3282.782754991001,3316.4780496366066,3356.5768497877593,3407.2174415033346,3468.998869715181,3536.380928015902,3593.2833145921245,3623.613800214261,3620.9713423063085,3586.297100744399,3533.0458070767363,3479.6961759867963,3432.5276386282944,3393.5822279955814,3358.308957192349,3326.2662184081423,3300.7362477955776,3283.9050422821474,3283.5350096965285,3299.1397079428193,3325.0167536893496,3354.6784179836595,3380.85165119341,3395.700269725054,3394.4206680114926,3380.2170650652424,3362.578703370573,3349.2631075039267,3345.6083494442846,3351.1956108325767,3366.760883778479,3392.6904027226924,3432.820692280741,3492.162649578176,3568.3440204355156,3646.0863319431596,3702.75013547
7kg_10bpm,9BC,3376.13360134,3568.8787341511234,3730.8129274569606,3782.9383001452065,3725.0918327563672,3698.54739865,3699.582542146229,3708.00956072065,3710.700381435549,3693.0535999642957,3644.9565141,3565.2878957408006,3465.3228661082185,3364.403747408329,3279.9942546896423,3216.67551498,3169.968403509841,3130.5899948645338,3089.0214773397265,3048.5444090109254,3012.56115008,2982.9097816939725,2959.780539223681,2935.5046086344887,2903.954743929025,2866.29377698,2829.776374030161,2800.9758056593164,2779.884034354682,2764.117149985684,2755.67514774,2761.246683490895,2785.1945262113272,2823.4773358609873,2862.267618398883,2892.5987369,2909.891317464753,2915.7128319886683,2913.259310500435,2905.5014529436958,2893.16240038,2875.496410419969,2853.5840767891646,2832.8298998965915,2820.1224832607036,2820.26373706,2830.557620770439,2842.052562778464,2845.4236793587306,2837.2295750238713,2825.17076779,2824.2830869458307,2848.0748216019697,2896.4720113939507,2955.236381833953,3005.3158887200007,3034.2800698943183,3045.1112158263136,3048.6192965326945,3057.2347433927002,3072.51356125,3095.014788960281,3126.529802249623,3163.5423852535737,3200.1123697229796,3232.47889681,3262.9269866541563,3290.8853431820567,3318.6570188955397,3340.039042324138,3352.0243066600005,3352.7872017093373,3345.627872967713,3336.739110927572,3327.037245540003,3324.6945553899996,3331.7049916630176,3343.0994352535977,3346.0664344321904,3334.2309799132363,3308.67603259,3276.272399746844,3247.161564132991,3233.0053205923555,3243.7866926077495,3276.36339177,3319.831041412999,3358.807291399894,3375.883220728251,3362.151608629081,3320.61760847,3260.7562080434836,3195.9886155320155,3142.035941756306,3115.947093203986,3135.3932658899994,3208.780934359116,3323.415278262526,3451.3848058529716,3549.6839232928633,3582.15848551
7kg_10bpm,10BC,3506.19844175,3727.09296224523,3856.203631834498,3834.9877222058462,3747.3936565560884,3727.890961175951,3760.991033153499,3809.0481473519217,3835.170899535085,3814.7852867254473,3743.713953903077,3639.35666067702,3526.981106333984,3423.93866885671,3340.1254000195963,3273.033458401918,3215.625064835171,3157.946359543854,3091.7869647402426,3010.4103420027395,2921.750098090333,2832.571689723397,2762.027854157203,2719.467448009846,2706.5551496846347,2712.3157929917065,2727.7358214320284,2744.9332748008123,2761.490089649014,2776.313317596969,2787.6728165707814,2795.2431181500624,2799.634646270795,2800.515023643888,2797.1675633260793,2790.6463625272913,2783.999841808456,2779.9834912350652,2779.1980747522057,2779.5963676155843,2779.020947557358,2777.6661622209344,2774.6115157546396,2770.0184674992506,2766.667659840956,2765.3368117198847,2764.124197589193,2765.0441947847403,2768.6138066115445,2773.969791354739,2782.084925374243,2795.3059660123267,2814.8258801453226,2846.6928429001937,2890.328148947338,2937.8878962736985,2980.5622541445273,3016.5052905637317,3051.2918699528445,3087.2582175445245,3128.808837351524,3179.1301049452877,3234.8214939472164,3289.097808716079,3327.924203370244,3349.9021218326116,3356.207905159987,3354.545440453643,3351.258281659231,3350.8071070329534,3354.018907167515,3357.334672254844,3356.530921728702,3358.2641716002454,3365.992110380316,3379.2462745753737,3392.5414925985706,3400.1098788804675,3396.0401423650833,3378.4136214683817,3355.0453140235886,3337.7876442259653,3334.9597764622026,3342.1608389773733,3355.531798236657,3375.0656854467193,3396.5417576814125,3414.1836815300862,3424.1824694742736,3422.0452285345905,3405.7406904755526,3381.1325631042687,3361.070674153134,3362.9640400146263,3395.746395610568,3457.2524454177196,3531.702467194801,3594.275351252715,3624.3731419754504,3612.416351586198,3558.75699073
