cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,3617.78932734,3855.367664323021,4118.415036195151,4310.60177203229,4349.700199335875,4449.8388762875575,4595.284335763403,4754.708058859392,4888.028241547857,4958.043019843374,4963.098789461116,4918.053753627293,4855.470443459249,4793.255822294768,4748.614832552861,4716.265150677911,4679.092103679849,4626.441963793605,4546.503534731623,4451.091183696661,4350.5994807263405,4258.06840133591,4176.303856880626,4096.855985618644,4010.058055158748,3897.113303380714,3749.0199430062094,3561.8874090383483,3339.9772040545627,3094.425741574257,2843.4274025130017,2607.756375431923,2404.2549669897203,2238.3767695291176,2101.8868129823272,1979.56960191238,1859.137063723355,1743.789434661864,1632.123156330722,1521.2303371112444,1415.3812567333937,1320.5603435532753,1242.4563379817992,1183.2324584066334,1138.7022066269624,1101.1010519268561,1065.8756413258477,1044.2465183210732,1054.1590898872118,1106.458918047176,1202.5294542997065,1333.9448711908092,1485.6095715765048,1643.4544645108624,1794.880377833446,1937.8661510339598,2077.39209781834,2219.0091462593596,2365.4566111035665,2513.899820383586,2659.5807427498407,2799.9539497091405,2932.682676901402,3058.263443858354,3179.0280737472176,3292.3062203350814,3390.636603014889,3474.6069710766797,3552.7742745805454,3633.7195606698224,3713.5476852512397,3779.244003231314,3821.8408229801503,3843.055860436496,3850.523204930681,3862.7020548744335,3893.733038737123,3951.21501026268,4033.665735880876,4124.48263708896,4213.550536951797,4282.080971414814,4311.621297863098,4293.56095817573,4237.436447319084,4159.179989249436,4094.8223371958916,4045.1786785952722,3962.7447018710213,3860.663174844691,3744.06652407692,3609.9480898575534,3462.8847328009088,3331.4715413418535,3252.9114775149765,3262.3955430988544,3295.0400556733425,3318.6175026670116,3318.002295429226,3271.9690214633656,3172.29036899
7kg_10bpm,3CA,3792.76926626,4018.497850364978,4330.471929270683,4556.136767366408,4595.538701405314,4634.201179175525,4715.6263788476745,4811.427264762676,4886.6166499690235,4917.369688955528,4891.293575891866,4818.8931296975015,4724.127553186195,4635.816950266324,4568.549842246389,4527.861466431182,4509.885020138255,4503.04194366106,4494.151892258538,4472.570168489916,4434.1747198165995,4372.267402543019,4281.146093387768,4156.673179147711,4004.3986049335267,3831.597941140252,3649.457960010871,3463.994262319611,3285.0352957277623,3117.659786126528,2964.389911073607,2822.6812275836014,2686.145101866483,2547.57445075314,2405.93047649814,2262.6446155202952,2120.0797734386447,1982.3111710608503,1853.9434727666073,1740.6642939135027,1642.0651377982422,1558.1847506822573,1488.1920071647983,1429.924955371719,1378.74487482301,1329.9740186497825,1284.3896505148507,1245.876008395111,1218.5949115374835,1202.1480575684334,1194.7861942,1194.7043127502718,1202.3072135990456,1220.7750005420055,1255.2011575529498,1311.0236852565847,1391.40964600154,1494.5780989797418,1614.1339316544402,1744.4112839560698,1878.954217160796,2017.2378281057424,2157.1755055235426,2295.649943446947,2429.3960330332593,2556.4713739012523,2677.960101458437,2796.3407847097747,2913.51725606111,3030.999375903721,3144.6863119059685,3250.4882761249637,3347.4481467846344,3437.1109466136795,3523.748272254778,3613.953679009896,3707.4829892288235,3801.6556210402223,3887.190428944841,3955.5408476112934,4000.9793216608473,4026.0051483803722,4032.544336183689,4024.806848548158,4007.7420418989504,3988.1689750176342,3975.3133978194046,3980.2148329935003,4001.2812554414504,3985.3932962220474,3932.866565298122,3846.9153291942657,3731.078917699531,3590.217307827086,3437.574986676216,3296.8176964395257,3199.3224004016656,3173.13974979357,3171.7207906541275,3154.261963215484,3110.35175177
7kg_10bpm,5CA,3773.50539803,3929.0042407472547,4038.237990914102,4123.517609572522,4219.79944093342,4310.145619715355,4445.587558289989,4585.876894693116,4729.287470485638,4845.881467120437,4904.621125601138,4893.121786650792,4822.780492485293,4711.387570278867,4581.757967710204,4468.913819937734,4386.530251666485,4326.919750121414,4263.878270747108,4172.9357676110985,4030.602084367135,3841.0556073323214,3623.4948179416665,3394.3809539218464,3178.6812612117346,3006.3062219637804,2898.0348670296016,2847.094092204413,2819.7395868964845,2779.5283339977664,2703.7642973593242,2579.764927853161,2413.43333049113,2225.7588784642167,2046.5801992631284,1902.9231927343844,1804.8648462412718,1744.544123882327,1703.9014142640658,1666.129422492765,1622.4249648009416,1571.5340530620147,1514.658356710749,1460.514418733261,1422.00346559944,1410.017534229677,1427.392809168885,1469.0468638689174,1526.2790269987615,1592.0890599477625,1663.97087155,1742.8526821265782,1829.6858784217054,1924.6380527897782,2026.482098768241,2133.0740263349076,2240.900408643513,2355.3643948801496,2476.064162314608,2597.1434391969947,2710.3092167789255,2807.440029264116,2885.325528426757,2946.285239458548,3000.059624480553,3063.5138949459815,3151.086027127399,3264.6802261519574,3390.8026370942816,3506.928054704854,3593.538487666018,3639.0255718901294,3639.2520808410413,3605.311570468779,3556.810842967702,3515.1895190600217,3500.643000096806,3525.267573881401,3587.0799761736466,3669.7670243359366,3742.199493896047,3781.6866190459273,3780.358090564941,3740.698557816783,3677.809417023009,3609.4915924135753,3555.52909444239,3518.2101080335824,3483.1705654806733,3457.8587062947363,3449.3096063021576,3458.308164701818,3477.7126823306007,3496.4661872740235,3506.102227559355,3499.398616961036,3470.333577943707,3419.5180414655674,3350.715269645759,3262.3991852250297,3136.04071585
7kg_10bpm,6CA,3673.460306,3875.3167263292353,4124.3627244582885,4267.897967348261,4242.264417017112,4291.577277014704,4407.047479066647,4543.370278525693,4676.628523698978,4764.8167850158825,4792.617743718736,4774.051099255499,4734.887922282727,4705.099851819433,4682.449099711806,4655.670816844072,4616.693374848645,4556.342957442144,4472.34125914066,4375.477701424002,4267.406254627634,4149.3135199498865,4025.5808079800768,3887.6362854998765,3735.386180062114,3568.15114684,3402.754280865115,3256.609044547509,3136.482371777295,3035.1353177456895,2939.3401435535075,2834.30432107031,2710.158506621972,2562.67823565639,2392.3802759129762,2206.164442218331,2014.2374494410085,1831.864962372415,1675.252620614199,1553.8411029489791,1478.07518699359,1443.7888548603066,1432.9496008118842,1419.2940699657056,1387.6001338726362,1341.4786978950729,1291.0025941794202,1247.2289618588004,1220.6093715646189,1218.2498308926522,1244.08854212,1298.263594592164,1376.7523341631954,1472.5928896282267,1578.6750966486445,1689.7974096000055,1805.4484741045933,1929.950327308048,2062.8281011254408,2204.998371921437,2354.925479381881,2506.9381650376413,2651.471608950348,2778.2001287508037,2881.70426361826,2963.532467030802,3030.3122182822995,3092.8230732266006,3162.8747103972896,3246.247674065893,3337.9006758862433,3429.5208019232346,3515.7381048488273,3599.6803236711835,3681.079672649538,3756.77015147,3820.653513714605,3859.8718205910136,3860.5504658814757,3816.0187269333383,3731.0428343331373,3622.669445770688,3516.637416554012,3433.7787076124214,3385.076994798277,3372.2774941628945,3390.41148869516,3429.5033792376935,3476.5385356255906,3519.3386937912765,3548.8569243426186,3559.019367726606,3546.4720512327913,3515.614811314584,3481.1353201813563,3454.713668971784,3445.643541868591,3451.7586213828536,3454.986818929143,3433.4109433053554,3369.48479842
7kg_10bpm,7CA,3670.82241661,3771.485849739753,3942.480432239838,4075.783629956503,4148.972027236488,4197.451343796869,4213.370724880017,4304.574589178415,4430.158493216363,4558.057912490723,4641.445568883418,4660.520236183624,4612.018731741527,4530.604591488476,4438.366165745839,4335.08867329261,4206.9601313353505,4048.979243175241,3880.323164704592,3732.282129050289,3621.1743987766386,3562.8706690479185,3541.6360184797963,3539.8969828115373,3536.3271864510807,3517.207275104864,3490.385433643855,3464.6568262358455,3439.693615358891,3404.458393483418,3341.4733899941766,3232.30048429969,3070.124491338892,2862.210565117525,2633.4822096303283,2413.163410048547,2217.042112278619,2043.5765598229314,1897.391657555218,1772.7247802797078,1661.660457455145,1559.7790947381786,1459.2156470867142,1351.2428611416951,1235.3776637542373,1128.525413016396,1052.6243139933504,1025.8736131192602,1055.114717915873,1137.435573535895,1245.9407377017426,1347.1623021780404,1434.7771115801659,1521.2031099808578,1614.0860488217936,1717.674337701374,1831.5797626685262,1957.982003551947,2100.3786054519487,2259.3710886951844,2431.8998404141703,2610.1158226398475,2783.1899161474594,2939.9592741866686,3065.9494561542756,3152.5422896129157,3209.188375023492,3251.844948274933,3293.7966966268145,3343.398835602801,3402.4618506994993,3465.84697236381,3527.3282271551266,3587.2791491809594,3646.2996610503487,3694.5491673170827,3726.8951225146243,3746.4277730323715,3756.1625425691122,3762.7380856695218,3766.498038864028,3766.98720094675,3758.186544454274,3739.3235545741077,3708.5825674049206,3668.697318138219,3630.506484940116,3583.1654935309334,3523.411264740419,3464.7539322942634,3414.8243883378705,3373.9332091418114,3332.9848562543707,3291.4485649187172,3244.6885712195326,3193.2930240943524,3141.1148251823383,3091.6887287890163,3041.627207981466,2978.5630387659153,2892.7275717
7kg_10bpm,8CA,3022.94071157,3036.3356531312115,3073.560097990558,3137.834816422145,3243.554367920906,3403.5766594042175,3606.290179308973,3830.277984529492,4123.0285441388305,4379.487173265931,4557.269064363364,4612.565786818903,4564.36254291832,4457.261053146209,4365.9356033727845,4332.840548272106,4355.025813525668,4396.17391019703,4405.4129757434675,4360.52614013493,4278.648240153814,4189.877536763122,4100.886630229428,4001.8443158848427,3877.662503775704,3706.8395704751865,3499.9371581167507,3293.415679497543,3136.5378770588386,3045.120699548598,3000.1205102455947,2971.392527273351,2922.9246615192064,2818.317431808732,2644.373673571926,2420.805737627451,2187.3916122112378,1976.2019893001618,1807.1199384996135,1667.7173565804187,1544.160122688423,1429.1142858523556,1325.4003066182634,1253.8381435298609,1247.9563080763107,1316.9908872749327,1433.033078582543,1559.503681358278,1662.0767845156338,1715.1459150776204,1738.57846347,1784.6611962170957,1875.6525139389767,1993.707281101726,2108.568628786584,2198.1454056663715,2270.266588930025,2352.2554177580955,2467.61230792103,2623.5343372159177,2805.3338861702696,2986.778829960487,3140.649106468425,3244.8366789004667,3289.9424641332953,3297.7053105880636,3307.025417641184,3342.361283293975,3402.3183301996887,3463.2955306212343,3509.4000652927903,3548.492527591464,3594.545156180462,3653.9969826228757,3718.760497077081,3760.6865153117205,3755.387164791742,3702.818552364523,3624.069292554285,3544.691885318792,3490.905448147103,3470.6829949996786,3481.3115952436465,3511.9258743022565,3545.2791316537932,3570.1397033183407,3583.830096982788,3581.4923745940628,3546.8626883074803,3468.693376703902,3367.711622077011,3269.809694634189,3192.7985201077304,3146.564524875264,3138.080532721348,3155.402889423334,3163.798339408386,3139.297775754566,3086.459916840917,3014.1621273293563,2922.04250155
7kg_10bpm,9CA,3110.68764863,3304.7634711797746,3543.926718306602,3732.7623750070397,3857.618892440477,3980.3384210467707,4064.595465586114,4200.843268665194,4359.737750406692,4484.426180284392,4549.877238059607,4550.307249021789,4515.097792246552,4498.516234631152,4501.754904107216,4511.209707092279,4509.951187491592,4473.852280001727,4380.887275586386,4243.539022130791,4077.4671439007334,3900.242891388092,3723.212447162787,3554.363151750548,3375.5354400989168,3181.272414877857,2970.49416196067,2768.3318709204177,2582.694757804117,2407.875109329129,2225.937701969317,2033.638206085007,1854.641405443395,1724.8383318417566,1652.6981577097097,1606.9215368677847,1544.865492925608,1440.1678839124008,1302.3307214785045,1166.5431906221804,1076.6900436715414,1071.3652087742753,1163.1258573332507,1320.9820477009828,1491.9017569091166,1654.7675446821124,1809.294165808165,1944.5181960986333,2051.338716974484,2127.421630694413,2182.006711360857,2238.586407627003,2309.7270267164563,2396.968237129686,2493.841857359077,2585.3290774194215,2657.51295854392,2718.081898581766,2788.7710777749035,2876.5621383761886,2972.182075920337,3069.054329415979,3159.793255971095,3238.870775874256,3305.571674995021,3368.8842308652934,3464.73885873926,3600.946185390714,3730.520188388322,3786.647238493806,3736.548873649617,3602.746518205875,3441.6649923936234,3308.9437676371012,3240.76727721013,3244.3226555594224,3293.450311758519,3342.1172811776332,3367.86350859756,3380.439509638875,3405.1422164550627,3444.4800582684497,3473.421062588027,3468.228907914103,3426.5583610615554,3365.255777437778,3304.305989624123,3248.927449806367,3195.573653733972,3149.253144216345,3121.1723219757882,3121.1112248449253,3145.949211581432,3177.501506198326,3206.5758921402876,3252.5263622392004,3334.4021613913405,3431.3133231486436,3478.7830892088355,3414.1664259883455,3219.01221784
7kg_10bpm,10CA,3533.50738288,3762.874647146102,3948.2264313238193,4002.4275978165733,3931.1694468967444,3945.5682990420173,4075.525226693623,4254.397966117021,4397.132535969796,4463.223862164639,4442.50613135897,4365.483816159293,4281.302513266252,4248.932288026672,4283.633303310255,4351.660693290905,4392.909535321734,4363.663310183639,4265.242110356958,4108.298040981781,3930.273592402684,3757.320238211163,3602.59886882762,3474.7903455965693,3374.0143747478187,3290.886063327657,3215.090433528344,3134.355185342644,3022.6237393849274,2860.658660739811,2653.772505059122,2431.975173977116,2229.2390667374048,2065.0859084854064,1942.7440194588619,1849.2433229031649,1771.869122099924,1709.3869831102388,1656.8570817930372,1600.3690479548798,1523.4793091078855,1427.0376198151503,1333.2341990382013,1273.304421235192,1274.9527353929957,1345.2328246569914,1460.8516361278032,1590.1637322841623,1710.1475052477565,1811.3066381163678,1895.0653795844107,1967.7421139005319,2039.2451643921984,2118.661076089061,2209.558100915756,2302.410878766862,2389.8717386331655,2463.797589778126,2533.9665443531844,2609.7004648362104,2695.3363492941776,2788.386461680244,2891.5480018833896,2991.5053344697003,3063.7705951416006,3098.7507202667266,3108.0902533386466,3108.1348711252353,3120.361060156066,3164.374313405685,3239.7088141734966,3338.109718057461,3446.847017780085,3536.9133723838204,3580.2912355176213,3573.4412299477353,3532.32382345175,3474.8230580003165,3410.6569069877196,3345.381202513439,3294.0284694067695,3272.2307676458777,3273.5551402803867,3282.867386433208,3292.109571499429,3299.9039104916596,3309.9648212628613,3321.6802074259313,3330.5769110668584,3329.5041416385634,3314.053087746079,3284.1852168847586,3244.93162039327,3208.874966412738,3193.0556388212326,3210.3698840621714,3261.09607279853,3328.1761847418857,3376.5474367163506,3363.574224041917,3259.22289236
7kg_10bpm,11CA,3376.74617819,3509.692345552382,3656.798656770121,3782.5946164507145,3886.02533111,3978.920617841532,4121.72134751189,4261.30864566639,4368.57939607,4423.7410719826175,4433.768671740496,4417.180523647501,4389.34760593,4365.924681152579,4341.0719113320065,4301.787102154034,4241.158228889999,4167.746540762192,4091.527036598851,4019.304116881526,3954.37955723,3886.616667397816,3806.347303412633,3717.2070036022415,3624.8047348199993,3535.854388395502,3454.5134187938343,3381.5485193923255,3314.61629892,3252.1062195435825,3179.4220641216098,3080.8296782528555,2949.72485594,2789.5904235684197,2610.4476239791848,2430.7869726464032,2274.04786891,2151.1059317948775,2050.6726838281857,1966.0522912288568,1895.9853327400006,1835.4428831357197,1775.572440106926,1706.7154376943465,1625.7238772600003,1544.7187798211205,1490.4697578276052,1490.6080792813875,1546.9937009,1640.5220576035608,1744.1217484041433,1837.2956242806408,1912.79312422,1974.8413032335304,2031.4410778924766,2086.957078403323,2140.92086123,2195.5613412723233,2262.1600895607216,2341.5801502394957,2437.28342492,2549.0785550006353,2670.6919312660552,2791.7000403368097,2901.58455221,2992.8617721762585,3064.409362902385,3121.120153758658,3172.7307015199995,3228.369780690443,3291.6778529255116,3364.5969036835445,3445.16749994,3525.03939540945,3590.430660621749,3630.4678493161673,3643.58194931,3638.947401169132,3630.2126878337453,3625.9775984150533,3627.17014849,3628.7074444544323,3619.967791180452,3596.47418695818,3561.6633082,3523.939068105671,3491.4530010262497,3470.5309771788557,3462.94531385,3465.2089705134204,3470.62138947587,3466.3316403034146,3442.95385664,3399.8226487805523,3356.8103871203966,3341.335574207576,3370.07658297,3434.5188843742067,3506.5496209383823,3546.5272324386647,3525.0905986
7kg_10bpm,12CA,3611.13087715,3783.858463069972,3951.912300089637,4110.562417070206,4119.622610488202,4133.3758518519535,4202.071930787241,4304.414980330711,4435.7190994609,4567.763791708769,4673.575837975707,4729.938833643592,4732.307217723619,4700.381831498372,4654.2843880705195,4607.547635843141,4559.792853724579,4509.203192787314,4453.008721111251,4387.284734417945,4308.0621174576545,4213.453665245797,4104.912449083015,3986.5771875072824,3870.2185660398036,3755.7544162500003,3640.755712488692,3527.2766652320083,3417.949729251687,3306.4728884873884,3184.5280763909695,3040.7437048020956,2866.8303303676603,2666.4317668785843,2454.471971170287,2243.2146501383518,2050.0447513116073,1884.8473224583217,1741.580912079273,1588.663877376519,1422.6110436447543,1252.1170910557341,1098.3781092435954,964.0243890969008,856.4669871382629,777.9903011526565,727.2948807715438,694.0386723326242,670.8925729335745,667.7021468327067,696.6565074400003,768.3542665075266,876.338837887312,1001.418734737769,1129.7865766681734,1266.4074242420288,1411.0339015558814,1558.0225484561417,1712.8154603374876,1892.7313007524647,2098.6886427842696,2310.2863740613775,2509.3147618517482,2684.484369693108,2831.6328477973293,2958.77447104729,3066.8974368792015,3144.3136126482395,3188.3099464744637,3199.4586069857583,3191.342197770666,3181.9417695947327,3190.1598140788315,3220.9950629860655,3274.0299913078543,3342.3811021800007,3414.2405548864454,3484.9668002586623,3553.331052264142,3621.7584199088665,3684.814478679247,3733.3884485384297,3764.1250239618826,3777.1054218914765,3770.0191082645388,3740.314151613091,3701.390223268644,3660.990813945873,3622.3036313275065,3583.306072464438,3545.833362450886,3515.990684421974,3500.7450090161196,3498.8771425447194,3509.4547006804046,3528.257900761851,3550.9652175861333,3567.383660491809,3568.1294261580774,3534.63669045437,3448.51632511
