cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-19.89126791,-21.13700606224893,-24.133435222626,-28.490810145535633,-32.550772389866516,-35.8075768253013,-39.48598499191791,-42.93958270831857,-45.83719604525341,-48.07425954123889,-49.52989315278322,-49.92255821720297,-49.133277932247665,-47.66156973702406,-45.53006282713659,-43.17574973073697,-40.609199278736355,-37.847876074850234,-34.823728233679745,-32.28334794284038,-30.92356835970709,-29.807827215334118,-28.037391719791103,-26.30632980190103,-24.362999944940615,-21.55506997758929,-17.832334056571383,-14.337680732140118,-11.495550095550946,-11.126971529738237,-10.629624207754444,-8.854419216112813,-7.307550968224223,-5.981617071444191,-5.261560568354386,-5.135133102903568,-5.400945874377571,-5.800156989602164,-6.050072051568582,-6.018428571702514,-5.799933831765161,-5.520783292921947,-5.5169585447278715,-5.9508831353506935,-6.604838147412279,-7.586601091056644,-8.858469659139754,-10.222404110004168,-10.719266298618344,-10.350403525566136,-9.777970340000001,-9.743982701906335,-9.975674003415678,-10.731736971692687,-11.043703930993708,-11.22248155694616,-11.597186922406681,-12.540786283265914,-14.016322347642381,-15.518583776891333,-16.593708746094173,-17.39348132977269,-17.972089577194875,-18.653610477137683,-19.904138703720797,-21.69341812294644,-23.605042486349355,-24.976415605489617,-26.050035145797192,-27.643387385760185,-30.24594305805747,-33.41750856154964,-35.75007678807532,-36.810146350846566,-36.83275349445871,-36.1471870046943,-35.15923809234064,-34.22460826695341,-33.63209706504678,-33.12179101499644,-32.210950049588135,-30.79719024499195,-28.977227266497923,-27.09310537715383,-25.861429505327905,-25.97386546342479,-27.454752449638466,-29.55649463902139,-30.939519921233792,-31.030601646569576,-29.578517763708746,-26.787101449541453,-24.1007225237412,-23.17142186438431,-22.952717932170124,-22.77808701462971,-22.673287628120757,-22.706221168032894,-22.77866405565268,-23.53836776706205,-24.1276761
7kg_10bpm,2AB,8.4335804,7.293617049790406,3.0628985306748713,-3.0562836157963815,-7.853428583199044,-10.685659804449127,-11.7109725845294,-11.695171674009348,-11.333971789353996,-11.4296288332092,-12.279225973773706,-13.771367066848516,-15.536482366626757,-16.877095942638782,-17.37567920529255,-17.067020043485265,-16.22336822497442,-15.216386083121503,-14.232104713261311,-13.274429821673454,-12.451110977092986,-11.86324344987708,-11.453875766833484,-11.039383615126434,-10.50699549394819,-9.860817862846298,-9.137546674026341,-8.351997716972136,-7.428799073831682,-6.28352325429356,-4.912680578476561,-3.427317999706812,-1.8793665661513388,-0.3395772132063922,1.1868303146553152,2.18703117648724,2.5855756987788134,2.4793631311851025,2.024900550236744,1.4428761482866563,0.9531608395828899,0.6815607874557088,0.5551400120674725,0.4394285282382631,0.20973849803333128,0.02030330951341538,-0.06298612849489534,0.154852701372987,0.5839433696763654,0.9136468047494652,0.7319733676096563,-0.028265924482139142,-1.530712305480829,-3.3983988376111465,-5.231445269550516,-6.868283741294317,-8.342951453196532,-9.621191578918063,-10.702938044126105,-11.566564482686225,-12.023553854113153,-12.03790038664236,-11.803034881141844,-11.382273344895435,-10.97972587684352,-10.617017484665322,-10.247934804917092,-9.897954188628647,-9.725518793944717,-10.012271269434839,-10.958913555375558,-12.410821941286681,-13.989869388483896,-15.240453902729314,-15.916421805602674,-16.0698935053831,-15.891819017629171,-15.543359109593775,-15.120377404132833,-14.709413554875702,-14.492983742614749,-14.753890414523473,-15.740427962069482,-17.454109146238967,-19.533637786205563,-21.289556016250717,-21.89976401947137,-20.27529164779242,-16.41807637211259,-11.701454202170602,-7.577826307896341,-4.966303900256423,-4.201110999188952,-5.192207696913321,-7.624540713006553,-11.181897667219523,-14.823802688073055,-17.76570787796596,-19.76485498637062,-20.64403039076035,-20.62771014
7kg_10bpm,3AB,5.5153598,4.254961245819493,0.28161559094911975,-4.924137020815587,-9.201204458004366,-12.232539433010944,-13.864534551372733,-14.389451888105876,-14.362012619208645,-14.359483025204918,-14.65748251215263,-15.248776368701972,-15.849190142330125,-16.32820589558474,-16.741945987278616,-17.137980435458374,-17.177585056808322,-16.83629467707709,-16.285725603762437,-15.562982108820739,-14.700805039127776,-13.789807112818037,-12.923070799997378,-12.091122259205518,-11.214365904647973,-10.261525603200068,-9.23768766563324,-8.190464454315137,-7.068571124308477,-5.808663473029488,-4.512468838589178,-3.3384090829840947,-2.3106090281143903,-1.5023020119830286,-0.6570616682139109,0.24531110332229367,1.193095615283156,2.1498608674811526,3.045125498160153,3.7924447975918625,4.380612103684866,4.890385901856204,5.324099496750679,5.605315211032545,5.626520736795575,5.264899682434851,4.430695954206816,3.190501914687257,1.7782033983536154,0.5685665634108503,-0.09287501,-0.1929432927064971,-0.07633241174311242,0.0736032598583301,0.145030073197804,0.025239648873353844,-0.370596376495833,-1.109862112146576,-2.257983515901639,-3.9369654532987592,-5.982025229386539,-7.979386327128523,-9.479421142998715,-10.119744267409601,-9.86696523735234,-9.116401374889872,-8.35240529951875,-7.9696660186748804,-8.019886525121096,-8.34984970558878,-8.88095078942237,-9.726154446594661,-10.598519405145009,-11.40886684836798,-12.089350328401473,-12.696582407941639,-13.301383895316002,-13.973416518058306,-14.679168220487485,-15.572845942846799,-16.581790620853276,-17.980120428677438,-19.811708445803536,-22.09448218896248,-24.261136269325203,-25.723637135594903,-25.97910041623053,-24.78834035647086,-22.29662848769914,-19.034249953835335,-15.857293207757865,-13.638291600399056,-12.91100122254579,-13.715911556336698,-15.637765546135368,-17.99831225354337,-20.063784031951133,-21.35738636058774,-21.80141979903732,-21.491645277749683,-20.60963839
7kg_10bpm,4AB,2.25061338,1.613650631958598,-0.07630137060990483,-2.136120173510232,-3.930959717635391,-6.006115139666968,-8.169944685955958,-10.230726731262658,-12.052196598900887,-13.749054536951615,-15.268538664045467,-16.575931965436304,-17.54924593461819,-18.05058388205523,-18.31848591121051,-18.56049829986456,-18.716009890556357,-18.445095321095206,-17.89136058148536,-16.94764134226753,-15.730938788037923,-14.414728063390589,-13.179170230552348,-12.066007505915433,-10.940299227604948,-9.691657093439797,-8.190404415661064,-6.345353587228505,-4.194881828344672,-1.8641126156628847,0.6101840512353142,2.7761536080883986,4.209677165430956,5.203596640106057,5.829554431853243,6.1464480665549335,6.221672084868057,6.216164387068217,6.2420263558250815,6.218897934130906,6.098386856310444,5.818027738762322,5.3352379547367095,4.677497535301134,3.8759553979396046,3.004125269316709,2.1290739630689313,1.2497408523090283,0.4069518631011046,-0.3953915397058885,-1.35498709319853,-2.6182562122363313,-3.9762823635059474,-4.978210029828037,-5.401164514653438,-5.485620551972927,-5.427763005808166,-5.6970352969805536,-6.190646334539301,-6.707405966400765,-7.255352228451003,-7.883859614297855,-8.607428803538012,-9.448327532850735,-10.438308501484409,-11.541588195768167,-12.70642762074174,-13.8595805203974,-14.804506405492317,-15.303836973025902,-15.136570393347759,-14.237818914880704,-12.852812953837004,-11.561181355185706,-11.03381705529645,-11.584883556137857,-12.973870364984426,-14.829026229595254,-16.749977689983577,-18.40978583708457,-19.68364400860837,-20.600199275738895,-21.278787471348966,-21.955875389093723,-22.822646122786125,-23.751836471032526,-23.42153548323157,-21.237312718177755,-17.56966506251217,-13.472369243549041,-10.782320234730602,-10.554122979999159,-11.68253333381446,-13.137714997155385,-14.759383119849586,-16.360722427028996,-17.603893015754785,-18.354043247176225,-18.72545877460977,-18.79691821467037,-18.53090337
7kg_10bpm,5AB,0.60790066,0.46327798315366947,-0.5680403526884868,-1.9241648196815972,-2.7038768428624924,-3.58829637,-4.94930728717338,-6.750897804992755,-8.812552939703897,-10.834081116318938,-12.43994266,-13.412334350581773,-13.695019147359083,-13.544789519476007,-13.323546555630955,-13.239414649999995,-13.439228255685205,-13.819546093622813,-14.2397239865638,-14.549421989613915,-14.411692240000004,-13.843363033886398,-13.041080347422678,-12.076164092188765,-10.966416112433773,-9.78920476,-8.664931666855342,-7.591160962989178,-6.486580286837982,-5.249929403362492,-3.863882570000008,-2.2460770596623516,-0.788457375402068,0.6509669185812801,1.7402771736950429,2.4755725900000005,2.944019242415818,3.3020339453758534,3.7333663748378743,4.327736086870417,5.03427554,5.739005198135352,6.288163858443516,6.552633070348607,6.56550995026062,6.4611722700000005,6.399782442674167,6.409099470274022,6.3287152869093735,6.026335850724271,5.4092876,4.563501126415369,3.7191005775000487,3.0546912981528638,2.5059577637979817,1.8186192699999997,0.714670947932497,-0.6300861825597224,-2.048379291530135,-3.3874018449677967,-4.813916259999983,-6.446942552800016,-8.240098115789278,-10.02330450566398,-11.461441183928983,-12.324666789999998,-12.578248040066836,-12.38547396067483,-11.986160720670139,-11.603318575316436,-11.460724249999998,-11.699969936116464,-12.322531331073531,-13.172247075089338,-14.033017499668897,-14.74964628,-15.284302677444133,-15.703013425359815,-16.034784259629816,-16.21946134546247,-16.15812085,-15.813462792850727,-15.293935209726898,-14.781575707043482,-14.350059306922601,-14.039770980000004,-13.790755397102432,-13.447401559338577,-12.77933546153386,-11.603147466478289,-10.09471776,-8.739854817970752,-8.079881022615076,-8.694628160216924,-10.381264361593175,-12.54241192,-14.699772885651067,-16.457753229471347,-17.40720881870895,-17.32823046670866,-16.27757757
7kg_10bpm,6AB,4.17622828,3.490294091729343,1.1939162546296627,-1.95720281697126,-4.509972817483375,-6.548210102990953,-8.018063904772069,-9.006722079298008,-9.85877821183357,-10.849689496558874,-12.013587625008414,-13.189956059713335,-14.242780687136182,-15.144402125096875,-15.886339782689209,-16.436114088812655,-16.5990057157766,-16.474946991149103,-15.791812775992035,-14.8358921598156,-13.786538092196968,-12.728123487072006,-11.699824732087029,-10.622791761414614,-9.381082385698832,-7.959314746405355,-6.434183325587303,-4.902190715974732,-3.464353803435596,-2.099692909533106,-0.9562647733851705,-0.05456400448465392,0.6690518419675388,1.140394874621449,1.4003627501226863,1.5578277622979673,1.8259391824647775,2.366995456161272,3.2144155055451176,4.258007462316775,5.329371634025976,6.2633624630617915,6.9170880832572745,7.124450278935572,6.823101178015813,6.025367815023573,4.789707809932391,3.3499922138276172,1.977098156245717,0.843899511797368,0.006938659999999999,-0.5924226277768124,-1.1672515125564924,-1.9337395237405535,-2.9684916692896537,-4.179262553126959,-5.391693121387409,-6.5092913929430125,-7.476868587416356,-8.389949371898913,-9.301976086712125,-10.255858042867402,-11.25559684609886,-12.36379035433872,-13.625877789240091,-14.991421297464203,-16.30042798469183,-17.36379627707115,-18.011985698188006,-18.1586464830689,-17.912696025916276,-17.56273653781915,-17.40375812237478,-17.590579808330617,-18.16081458448145,-19.06377538240857,-20.148963650670098,-21.247509988356168,-22.196778327752227,-22.837016683413566,-23.062425671621025,-22.955427999481657,-22.50819403459113,-21.624843236971024,-20.622473493866455,-20.063622887048002,-19.976505991596134,-20.369545008717093,-21.181227269813316,-22.13005949745111,-22.75072895694337,-22.688402398091625,-21.934576151866164,-20.956709283921118,-20.380756424216287,-20.213438510408956,-20.39515511172936,-21.00560033307422,-21.900049935783752,-22.72855686462933,-23.10186772
7kg_10bpm,7AB,-0.1078113,0.6198810154890102,0.783065642901405,0.37285013444761694,-0.4915000658075892,-2.3010172217627325,-4.862165825383583,-7.754862859172609,-10.474549958562392,-12.608102413181504,-14.028596789680954,-14.886376751344104,-15.417904456483207,-15.849828883428259,-16.063974399666048,-16.054535763856745,-15.914885353866877,-15.47351818544852,-14.713274105353001,-13.841718230362012,-12.949591048311522,-12.022910390548908,-10.999232770193817,-9.950273390444835,-9.005238494073906,-8.19072107806027,-7.392826442046381,-6.400116102196363,-5.153356648354456,-3.6516212341850847,-1.8568033883213204,-0.042939540406643606,1.8523010684916417,3.3848460946634726,4.415317112856155,4.902876766394244,5.0077517192232595,4.937933961973271,4.891679848810062,4.933775062425823,4.939375059789114,4.679996168212011,3.9958560186386602,2.8415829002457267,1.3591065136112892,-0.2024785617992063,-1.4226877837137037,-2.1128092084975076,-2.292179128783641,-1.9820545103074871,-1.1334717586163485,0.18653443079301782,1.4372545909295216,2.0408682912764045,1.5315316219648392,-0.20387434592943335,-2.8750891011051083,-6.035645427609587,-9.194346262925414,-11.880310768229073,-13.787426557205743,-14.899818020591253,-15.434857384023454,-15.53388381745652,-15.361398113243803,-15.255516437040606,-15.52847191891394,-16.257062729534734,-17.28243883492519,-18.37348976992727,-19.31296985941505,-19.966026531581775,-20.352105748518053,-20.57679073868258,-20.72587965981887,-20.741612454693463,-20.57144477724774,-20.17651023682286,-19.555430711154074,-18.817930601326193,-18.368909037078048,-18.459185466022454,-19.36347471774235,-21.109110039700088,-23.347161301477897,-25.503655185601666,-26.96583618635565,-27.29058729414887,-26.380103235496563,-24.47064423254601,-22.078344418244107,-19.938728041870135,-18.579518491925455,-18.05672107194369,-18.16039010132092,-18.56246704964401,-18.920053896039047,-18.97304474917557,-18.629193950548522,-17.93033912474942,-17.02026228
7kg_10bpm,8AB,1.75798349,0.7002979934092857,-1.894978889675369,-5.358152187879571,-7.909267853794545,-9.36123236403323,-10.295142712763683,-10.893553520272855,-11.316811356745436,-11.719758355863664,-12.264704667975936,-13.03144064321234,-13.836921039040854,-14.449092167635268,-14.819334199701048,-14.926822967185569,-14.874678067056351,-14.769172532841907,-14.493806501190718,-13.989726217115766,-13.373754536424968,-12.683777542624679,-11.920523853413576,-11.09709102593212,-10.317558090967832,-9.637269349971415,-8.83151730076878,-7.676749083371317,-6.133022685398566,-4.331351259605714,-2.468889219477025,-0.8586488563725099,0.6917800283486618,1.9241428843837955,2.734313482610502,3.22074872955206,3.4962570961099013,3.6692065379719274,3.813381487309137,3.9466586202679084,4.079393620576904,4.202652557928692,4.266105999629771,4.183710477775203,3.944314202215499,3.6347979007124787,3.3779819008076193,3.262627828632799,3.2511407077821395,3.0899911923842627,2.48120984,1.2649537631875796,-0.3291431617148045,-2.021348588729573,-3.4810680868379946,-4.698241317261548,-5.935275853314405,-7.450666683915164,-9.328462780327731,-11.255957849819682,-12.994026936853478,-14.329733706196784,-15.239038399836357,-15.823961699793395,-16.130292569652298,-16.179074776447354,-16.056101213912616,-15.941456448414948,-15.933409246662057,-16.06855687835349,-16.124641674690164,-16.01577210900928,-15.931317622831326,-16.05308703053151,-16.47727216794082,-17.27317291850008,-18.339684228109753,-19.431978360732785,-20.33814000468183,-20.951649763978878,-21.29240357146955,-21.48681809426762,-21.686392720738397,-22.047706967278042,-22.731453631590707,-23.772400314726443,-24.906623527068728,-25.930924526087455,-26.46120757789535,-26.21444397840619,-25.116545950658292,-23.430680718298614,-21.63096047337694,-20.25930810216311,-19.651104281957238,-19.75020425897677,-20.193561950967787,-20.674924148777627,-20.97780631828009,-20.810299660758577,-20.0387019
7kg_10bpm,10AB,2.65933089,3.878821997659505,4.597463342363992,3.98361733600269,2.5764282043842908,0.4686036266288599,-2.7048456676418953,-6.6243805854341495,-10.329986369705823,-12.822200810333737,-13.68000516135397,-13.18123609667828,-12.025045030917182,-10.849766998214303,-9.935437175924514,-9.56432978209639,-9.78893919168669,-10.286002625934707,-10.655002543076145,-10.64335834035273,-10.407838205608797,-9.82434438135129,-8.811881258211027,-7.397413281436459,-5.695734783288507,-3.9819054756619154,-2.791945816574323,-2.256077941627544,-2.0641784258497764,-1.9062576825319901,-1.7683861751304673,-1.5086342458127497,-0.8073178238638049,0.18384701342311222,0.8950801799247282,1.1961484330601406,1.1262533182490078,0.8032260162119854,0.46872609676156357,0.31086334411247046,0.41834791794049164,0.7480780538026813,1.0267420880442462,1.0575083885875431,0.7364538562596464,-0.07062980262056381,-1.3026425852697219,-2.6104525471707265,-3.4938587373289107,-3.9913881268390803,-4.35727143,-5.034035340534691,-6.51015022134855,-8.534659224462535,-10.390307760582553,-11.699679209465744,-12.691567033170074,-13.74872799295761,-15.219959641184515,-17.159144906522137,-19.408423423439068,-21.66434774754696,-23.964134083257743,-26.383827115255546,-28.8146308008651,-30.68026735183857,-31.72221057931318,-31.523145338998255,-30.446654336330187,-29.08594551762024,-28.326704190270565,-28.886645958226797,-30.516235920122096,-31.922970684775958,-31.612583905487966,-29.47671369735609,-26.785909276725864,-24.23682093796663,-21.935390881613834,-20.461135467544093,-20.509567002450567,-22.378432246999946,-24.875844188837327,-27.021365956119485,-28.17419852011345,-28.378286878034118,-28.39420840243259,-28.98442189267565,-29.98869239905918,-30.53943118411256,-29.855907492331536,-27.768461801997127,-24.823440829812803,-21.934175352404015,-19.86970411446867,-18.707224326787287,-17.822959549333497,-16.60561185938233,-14.998034992516946,-13.462634399946126,-12.18179689
7kg_10bpm,11AB,1.95747095,2.148604442838711,-0.011743025732343126,-2.493429512798118,-4.243772249911867,-4.94563471116914,-4.837006637367957,-4.937217348973958,-6.148450194133751,-8.576148802703218,-11.537728184240702,-14.002692055206499,-15.252917351245937,-15.235554391222957,-14.383023023927898,-13.346946405938201,-12.330165744716252,-11.162045115796516,-10.112086060532297,-9.350526087846472,-8.98417915,-8.870890191027359,-8.775754458494587,-8.452694324108336,-7.722283350460323,-6.592638212701425,-5.368571487041002,-4.302985488646953,-3.4251166693870756,-2.757798461810967,-2.227092205920327,-1.7594834626586593,-1.2964963718052662,-0.6267867747318794,-0.08604492814514143,0.2687200417633169,0.49881230011870265,0.6699949910920052,0.7896489841332303,0.8833393631113605,0.8960539499999999,0.7687610079702718,0.5624969400453671,0.20545059043385733,-0.16641923789557128,-0.4623479593521939,-0.7273970916457055,-0.746448354453477,-0.657084476382119,-1.2209499504599042,-2.882984423406225,-5.372173177176848,-7.982372269320583,-10.168973045604796,-11.691785099999935,-12.580734897018466,-13.340295043868108,-14.642975379953425,-16.547109463195373,-18.53612496492541,-19.90287481,-20.54004288922655,-21.160918370752643,-22.08925123666751,-22.709457527380277,-22.347855918149158,-21.25179266438483,-20.982671726573642,-22.128667634734033,-24.101845309299097,-25.627965992477986,-25.81563456425825,-24.837130280530744,-23.4478483547904,-22.045190401403993,-20.794377134086446,-19.985376645751934,-19.7643372596641,-19.819038583609462,-19.695023175515942,-18.922663290000003,-17.615140222015533,-16.61125260369656,-16.756296813758514,-18.40236077319917,-21.337304602107345,-24.668312106905418,-27.217416536893538,-28.172826643834224,-27.09160730229933,-24.387414812228315,-21.005710953698692,-17.971811291564748,-16.15335753486398,-15.905324087670103,-16.688119683344716,-17.56556204465163,-17.637761459241858,-16.58108096444541,-14.804340527692357,-13.05320266
