cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,-20.33975217,-25.86044408234907,-29.236344532290794,-26.537694677717173,-20.63237345151652,-15.152001790000002,-11.003750863107577,-8.588476006389259,-7.774327213059067,-8.041229325883569,-8.75452363,-9.479796787051516,-9.918614036468076,-9.981489032493728,-9.557583614696929,-8.54532507,-6.86456143092844,-4.507946661417837,-1.5974354027857602,1.5686279688019358,4.51646897,6.729367943457505,7.935087989121731,8.128711520100472,7.600370304392145,6.73732268,5.918738961337533,5.414948386985358,5.293978000699664,5.5172725765415915,6.059971499999995,6.827606815731889,7.60401138259006,8.15858885325708,8.270315078900577,7.814156690000001,6.8108671039529005,5.4566117427183,4.009818393538608,2.718461016133297,1.5202852199999997,0.4735328081595347,-0.3309699760391507,-0.809656111754767,-0.9482998629137881,-0.8897441200000001,-0.848749162790721,-0.9447741365863297,-1.0915921136855116,-1.2629198123507734,-1.37003457,-1.3785706611946922,-1.199415784196109,-0.7275199034329375,0.059320552917205255,1.06796332,2.173852611052502,3.2712791780922497,4.282905122389743,5.168866286218892,5.900671259999993,6.535400730901475,7.171751868458013,7.860520621697678,8.513787556650733,9.01975834,9.226117992252343,9.06977750822788,8.653541686919931,8.142516613805636,7.772265439999998,7.709168462128797,7.97271985198647,8.476687260705658,9.034405048772303,9.56910539,9.951557459075287,10.298154554684865,10.53821070351949,10.81738444248318,11.08142081,11.201592342621531,11.266871083352257,11.314114864280747,11.517266236958191,12.055751109999992,12.98397337836851,14.304596374720104,15.8519896740467,17.36292798110883,18.49217946,18.882985226722283,18.370774155165158,17.038111228998318,15.44577031593244,14.28331704,14.223286667098186,15.437828474485162,17.517055134687997,19.641559793219553,20.93094706
7kg_10bpm,2BC,-17.32893356,-19.960340964654502,-20.720560260347607,-18.908440815007204,-15.737298402062635,-12.815235131518566,-10.310611572988586,-8.236518285033846,-6.52265013699194,-5.080296215556981,-3.7585353051992008,-2.4377811479334968,-1.0528916689312624,0.3852573196710428,1.7621728046560583,2.8957439798742004,3.7726093117726385,4.582952074155053,5.488023692712822,6.582946259732798,7.8521911499999995,9.211194980399819,10.406030720210877,11.21652002674903,11.518053036976186,11.412041292342161,10.964608411891934,10.18500373414755,9.239419543804873,8.380046605341311,7.724276493668345,7.229606582351179,6.731537080120995,6.06059042282115,5.222160195818173,4.3330047953598445,3.4891467134955603,2.7527212109804737,2.1553958649737233,1.71380454368358,1.3883245599999998,1.0787312766702635,0.6883593348303266,0.18605594423673988,-0.4345179894496485,-1.1501532043974096,-1.9342997570472265,-2.77833651715094,-3.640271472123782,-4.435243232101621,-5.044015655247347,-5.260310508718305,-5.008746597673414,-4.351826855860112,-3.3486732607602896,-2.1378638127184026,-0.9169700440703641,0.2159896434068484,1.2866857351367504,2.3690392890029575,3.47316957,4.581088856893108,5.688227349379287,6.779233706227976,7.823133185850974,8.780157733200523,9.656220938930936,10.462281348450931,11.189958499530217,11.82541720740692,12.304230729847417,12.595969771217485,12.730377912008004,12.825779753962394,13.0301209216163,13.49366827300806,14.323173772955162,15.427373496573686,16.670351125106198,17.849709330772956,18.73465932,19.278310811816393,19.52259493980693,19.591394541606878,19.622678026464857,19.69097253766512,19.798370591926545,19.839839302208798,19.70128722103898,19.540507410018257,19.380439594641288,19.27933905247079,19.338722978001655,19.57485877413653,19.897074745827954,20.380334474506142,20.909123416406945,21.49103942743503,22.04538467712187,22.64206182788017,23.27417656
7kg_10bpm,3BC,-18.78753463,-23.087958758711277,-25.001523729281782,-22.889076952841805,-19.27536082163404,-15.483543427918963,-11.891794739898796,-8.8086555862959,-6.4272198670473815,-4.749493452793192,-3.6000464115900073,-2.7007867481312333,-1.7843196953067815,-0.6524985994445661,0.7986007579461918,2.5439956061063214,4.471285611640279,6.4306037542305665,8.381307973558089,10.201688006453297,11.785502627006776,13.065629489103692,14.018455245962347,14.5971899559127,14.712118381299511,14.314962883967416,13.474240086987418,12.40957927397568,11.332855011668508,10.45330986027951,9.829424914942207,9.389208939466561,8.923374652820913,8.266735865335917,7.44020710780829,6.417568548819157,5.194472208427921,3.812015294321518,2.3209387263119665,0.7714499969806456,-0.7539505843842966,-2.1843937222908796,-3.461392607986097,-4.472640635909694,-5.116542242129955,-5.396693056964122,-5.495074191097187,-5.54599653957349,-5.657614789220288,-5.82681513420449,-6.027567558450083,-6.226397731778406,-6.369561415735112,-6.337413190822175,-5.983339246426301,-5.155888764424107,-3.830994842333951,-2.0664037405019524,-0.018432336301274683,2.0780695073180233,4.020241133548365,5.62237506845341,6.775334029559996,7.504321874217231,7.90944017649151,8.147574155183989,8.435869834721373,9.006302255985638,9.947541521604121,11.182550907019635,12.521974670815663,13.783048928600852,14.73214236834317,15.245934754205022,15.267529024136339,14.842956435077987,14.134687896112386,13.417575917649705,12.940669014758765,12.857795464521482,13.25464630855607,14.05299258453654,15.065962441633747,16.18858324895822,17.213666127235687,17.996367391495816,18.35919327792033,18.337967853905575,17.987648566171874,17.52849638559681,17.16176024574342,17.162274296545867,17.56532778202864,18.41791052540438,19.565214784229077,20.91119700269331,22.167287912534583,23.197344999310864,23.82432421686097,23.798915191948254,23.13046397
7kg_10bpm,4BC,-26.79628901,-30.27287670368899,-27.998075251647606,-21.290231266870478,-14.41155017449666,-8.485336022135312,-4.195345028714,-1.8436285277063578,-1.2783876890969175,-1.886050817935612,-2.8646497280515213,-3.446326630216927,-3.125053547959325,-1.7359724348471144,0.4963505872867745,3.1203745818210566,5.678639108847915,7.8569906079208245,9.495298179149989,10.559102126492846,11.148477589767825,11.27269587367492,11.021514485659274,10.458340744107737,9.700850144207402,8.937796076046451,8.306913254724329,7.877878827754476,7.56522128760619,7.10384396164468,6.51678576679222,5.71902494904629,4.902336500838038,4.19310228840203,3.528373528408409,2.9030798775223543,2.257923212580592,1.501754851055438,0.5998425252736976,-0.44927564508564566,-1.6339622920866776,-2.8934697467366832,-4.0944567742882025,-5.154447544800318,-5.955331725464497,-6.629574521316868,-7.304983605239626,-8.034964233273744,-8.815893366974755,-9.665220239306146,-10.336435710680687,-10.842168860021165,-11.141512903759528,-11.214214669132996,-11.009414121393363,-10.379156971689834,-9.286817737779769,-7.797298795910686,-5.909915358079891,-3.66701108376803,-1.0885666910052179,1.7093797604609402,4.585428058469957,7.366642398733466,9.871553139080348,11.941674169090424,13.451128931775305,14.356384129161265,14.70814712747454,14.656305134458819,14.41213465418462,14.167755552567092,14.116483781574782,14.318169580062738,14.817764216102068,15.575221474938079,16.53479186247158,17.629642948087188,18.54163181554716,19.3433154987429,20.03470638548928,20.69398243642954,21.339838816015302,21.976598640077196,22.528766850354497,22.895756782967144,22.932728284325606,22.583147704640545,21.910345768992723,21.058473389302755,20.26026689800284,19.759511686998945,19.62717456742418,20.076929374249282,20.930254868523924,22.03646969897239,23.17860650847592,24.171555617608018,24.773258047442123,24.876038023651038,24.23183393
7kg_10bpm,5BC,-17.18144279,-22.231209699847952,-24.694091078553846,-22.940051217302333,-18.71007751866138,-14.340485859246368,-10.385110333119979,-7.295675402142151,-5.240199264550988,-4.1182789735751015,-3.6377638217865638,-3.4607575622668665,-3.265663757181035,-2.8450032166892285,-2.1476555709144227,-1.2046140232921636,-0.04269403578359169,1.3357816283098742,2.9112837780192957,4.601263034840871,6.297547799260148,7.758631225400933,8.741372712544427,9.047317690318796,8.780271523055353,8.087006215150874,7.360103132561002,6.758510706319034,6.379775898023048,6.080860131135085,5.621264936069018,4.885408467705342,4.010148176445222,2.9500507602842236,1.7460054000266672,0.6536594246556724,-0.2337389224873128,-0.9225499790504461,-1.4956659098148266,-2.038538686331597,-2.528812857384554,-2.9383199319019067,-3.3165793967155204,-3.7198849308721513,-4.167064554017252,-4.642876577906405,-5.209137068370064,-5.853365990268276,-6.468018560358478,-6.99711946630007,-7.3958201759832525,-7.546271806651683,-7.313998968287226,-6.62916794317291,-5.515568506242096,-4.1032973370343235,-2.6354632999181744,-1.375027200723808,-0.4571694112570577,0.16067112837940667,0.6088931196862946,1.0524945716803873,1.6547485191648754,2.4754493556480535,3.40901036337399,4.28402235574191,4.965460530313495,5.419524393310866,5.719858638490047,6.018082404726856,6.419744947790381,7.004860052523808,7.768754928559108,8.5885974382937,9.446005475001103,10.389142299220769,11.437619111651056,12.561177143849244,13.651591995161004,14.565332913349351,15.217211077508026,15.584693370185576,15.77269810595022,15.956787928181654,16.28557035865157,16.69508721639068,17.142211329831625,17.56968459172143,17.971366107248862,18.39733704779504,18.917443143343178,19.571261833472878,20.345336467712617,21.128549786782376,21.697905346785173,21.78563639083515,21.31589749906136,20.3840248486718,19.20438749432043,17.9970466151776,16.96396466
7kg_10bpm,6BC,-26.36232988,-31.018912554122892,-31.31282628965253,-25.433760984378896,-16.45789985882812,-8.610598510436658,-3.2549867016335794,-0.6927633162196167,-0.5390665828637481,-1.916533177426252,-3.754801178819837,-5.133247254642609,-5.556409266798227,-4.992011895494844,-3.7047688451209777,-2.0667627217812563,-0.42543117526902885,1.0376850406605076,2.310830035294787,3.471582938422314,4.6213306991142895,5.779329719504088,6.750202232627559,7.289131928286795,7.212113570731231,6.54046844,5.465361600364835,4.299539139676513,3.218352057858293,2.207638307111432,1.44902493228907,0.9687469104473654,0.7459628843853783,0.5391455841125368,0.1801177879738041,-0.32763744391435506,-0.857076191177409,-1.3028860611003288,-1.6301160360105587,-1.9499999796729504,-2.3404384579128292,-2.8475057476476535,-3.440247422254929,-4.121169845088184,-4.967041934145616,-5.98676677749389,-7.059088169030112,-8.012757248047093,-8.685314113276233,-8.941028045903673,-8.668834110000002,-7.902939334253186,-6.820365498265454,-5.707032675658577,-4.791520734123191,-4.189464092289432,-3.8930213392499153,-3.787801050403552,-3.657311649595336,-3.2484307935298156,-2.3668696832898832,-1.0520101115682923,0.7669726079928421,2.6174565898446063,4.43428631348714,5.953297494626432,7.079862144894948,7.756419941332304,8.169691156766135,8.516059143101813,9.001852811151096,9.743726026451757,10.74060729715836,11.945716821404215,13.271769771881587,14.579889249999999,15.681947601961093,16.42075832073466,16.72778077964438,16.642933646941266,16.313383013979575,15.943460240729848,15.797529608638131,16.070041201438993,16.7526287973456,17.669387829944206,18.52638750552385,19.06383467682547,19.13892471299374,18.758809640075647,18.169193358225037,17.521993357821508,17.048386018766774,16.844318890886107,16.938395593619425,17.282943005326302,17.805404283342266,18.338932232660262,18.69663140677979,18.66139479563815,18.1684531
7kg_10bpm,7BC,-16.69413407,-20.24215917146102,-23.37907340094068,-21.57114208202219,-15.661228194707894,-10.338888437755635,-6.419489155308167,-4.122397131831778,-3.2003582879044443,-3.101514851036958,-3.2197710692055432,-3.077269024958339,-2.4480799296072213,-1.340446977339364,0.08460031962362997,1.6157879621175382,3.0667366722168024,4.257799902022658,5.0837141916003254,5.454259138818642,5.355112360000001,4.90852402790495,4.30461185201662,3.853324892366599,3.765511527757872,3.793278836468049,3.7330891304491756,3.3804741897099246,2.5789439458020627,1.422513990160973,0.24206951866422652,-0.7590238982171932,-1.7332684663592388,-2.616557634620302,-3.321820845302804,-3.7952076177400302,-4.090203521796195,-4.2488640706265315,-4.316404750640923,-4.25675289815611,-3.98309873,-3.505070269927209,-2.899860307393553,-2.3297471918586594,-1.9119342722302437,-1.5401070609096126,-0.9663310200149466,-0.06810473427174263,1.0602151950834187,2.156429196818231,2.9044844854232617,3.022523074288773,2.7840355565944384,2.228974156136043,1.759995538940631,1.716949181435656,2.1977030654938616,3.159267868691453,4.486040485617819,6.06662738141862,7.65921971,8.86985819281269,9.340268330420027,8.960783803306642,7.958803342213281,6.843487137830314,6.1848027129116065,6.453960889699142,7.559934495210642,9.238812835581978,11.141197912502927,12.892929690328016,14.3227125072188,15.415170846557603,16.285361942125277,16.96902813036069,17.50420048182922,17.91196187346898,18.23147492884715,18.51060845407392,18.79014125,19.118367956342396,19.49740186552751,19.892127089002493,20.18953830259343,20.004038819441593,19.479730554408004,18.773957468247673,18.155102547557394,17.788374881368572,17.66181361445563,17.69079147157934,17.533800915390465,16.979724979667772,16.04715863611438,14.944938097508864,14.099506124298024,13.896080386775976,14.678455805045653,16.26630424284264,17.91200477
7kg_10bpm,8BC,-12.31612498,-16.360110123226193,-20.78465393793641,-21.95090749185141,-18.268219327863424,-13.092435796168646,-8.259658117578159,-4.67803798556211,-2.730800917668134,-2.1953314165604043,-2.534666438162582,-3.1385993203486597,-3.505689445916066,-3.339067852182697,-2.579996086264787,-1.3544998439891975,0.1632424776430044,1.7469449396465995,3.2806907745335705,4.6576066227011745,5.8540888733601575,6.635954107330393,6.894085083712471,6.5953000433512585,5.839968640412801,4.866382690510668,3.9150403253926433,3.0709680017943533,2.3238788685492864,1.6267606691492842,0.8333815546017687,-0.06507905193020888,-1.0153380052395518,-1.9921168082022258,-2.9991955857588,-3.9634002728120628,-4.792272475767366,-5.4374522757412596,-5.9133639280478985,-6.370646302561018,-6.930036676746871,-7.412433454242135,-7.539125432216018,-7.3016187862007,-6.843331069542557,-6.248098732346489,-5.5350991120882655,-4.729891328088978,-3.892120632749321,-3.068935553204055,-2.300449535541472,-1.700299774147779,-1.4465427076005033,-1.4986011952964067,-1.7231477563684183,-1.9735647483507597,-2.1016425957070535,-1.9796808519392288,-1.480795128463443,-0.47499091268293725,0.9742933511569937,2.6337377764967456,4.146264593032622,5.164004999607508,5.575796229413418,5.522768897874717,5.39161292285982,5.655656713863453,6.624262098356283,8.303765399120211,10.222730617975765,11.914037760579232,13.176524040545889,13.90598464934031,14.191296461887354,14.294634441864154,14.269002460712128,14.208628945609034,14.111684278507113,14.016509546809095,13.970193900455161,13.98171367813338,14.173088635863781,14.580451242270717,15.251870841026268,16.15024854541262,17.206111087148788,18.226625974022284,18.93108303602445,19.10234319069622,18.67446890010225,17.673992536284835,16.268565537128005,14.646347478452288,13.087389664341625,11.959577218182288,11.751547152311522,12.880792138913037,15.338540473314117,18.453984689456878,21.10917778
7kg_10bpm,9BC,-10.90927621,-14.250331521699072,-15.855869411385775,-14.526817141253025,-11.335379247522999,-8.721621200000001,-6.999418039846783,-6.028931962197854,-5.471243129381697,-4.881582295891127,-4.02114748,-2.906882110600919,-1.6136131018546123,-0.18452086039226698,1.3611836883798392,2.9264984299999997,4.245989052506608,4.994992401257817,5.018406062811382,4.501998937375001,3.90551937,3.715429789328083,4.129299947010722,4.951359019395413,5.797359962935727,6.41954825,6.623556058557282,6.39163694853303,5.741433886020706,4.702240766695154,3.3886900100000004,1.9957278552142639,0.6805194920954699,-0.48579253311525195,-1.4150205433773326,-2.12510234,-2.7608122429266526,-3.593444728106118,-4.7978424266260795,-6.261540781769426,-7.69704519,-8.747289190861865,-9.012849740765441,-8.254134205638417,-6.754001804353491,-5.16488558,-4.024521097546578,-3.5585198531758198,-3.691102690751757,-4.108772115875946,-4.38671616,-4.182682345675969,-3.4677488924740563,-2.4679178354110975,-1.470258147589071,-0.70019775,-0.28960670428457785,-0.2074064414309801,-0.23763151775436964,-0.15847840088243936,0.18857964,0.8972168822199084,1.958313199214981,3.2161338666186694,4.487176887983053,5.59043182,6.450226744124285,7.0214836522166255,7.404477477258484,7.6497385466982655,7.9068217,8.3442354609645,9.134230046120473,10.327129671938197,11.738178092661279,13.186016389999999,14.4961622539824,15.5489398373074,16.264556548772376,16.641918701038378,16.74797864,16.751694842755178,16.777531038731485,16.876689193685216,17.119156354683273,17.52559814,17.993733514567573,18.344791205588987,18.302422142466234,17.78819157512526,16.908142330000004,15.897515600183787,15.075172146140135,14.646182938395837,14.604503454616015,14.80130595,14.942414426655441,14.824573719116001,14.54446534935152,14.10928075673858,13.33265885
7kg_10bpm,10BC,-16.34216659,-20.049905014886804,-20.425789757570488,-16.646051911035524,-11.21365347322917,-6.693037216832791,-3.848425177489468,-2.8344511635764986,-3.2774889629638904,-4.420010976295587,-5.46380708214601,-5.808145265779936,-5.212868937130589,-3.8694215466105457,-2.2073226437540763,-0.644887461111424,0.5941824145711267,1.5301979906430583,2.3254630502856606,3.1391297094044313,3.9972297355842334,4.8216841054530315,5.505391956800768,5.926361669154838,5.9005760440189094,5.570732136862841,5.007594156723548,4.334028549621814,3.564763791525686,2.596654344824682,1.3688422588045035,0.041378965143517715,-1.1173799934825734,-1.9369541012853908,-2.427178702572635,-2.7660966602866077,-3.179515562606186,-3.749106352044607,-4.429896298539138,-5.1297123803975,-5.828243777642655,-6.584686681467741,-7.363111049810213,-7.991343637617579,-8.433897590527792,-8.701862255077712,-8.882639287991491,-9.01671280843703,-9.091657722138226,-8.949791545918725,-8.42237274901158,-7.486898318368326,-6.195886378500777,-4.8666653537577025,-3.7657769573795754,-3.031274061873347,-2.717666060279596,-2.818381473492793,-3.205011036363056,-3.5666823881757876,-3.6589324049124152,-3.3586300480352596,-2.7270645875478854,-1.9833645858399898,-1.301651480303434,-0.7555119034040488,-0.2482997438763141,0.35698332385685155,1.1935079090900418,2.2316179612863283,3.3482340083437743,4.461236550753167,5.508968245929323,6.661338535930007,8.042135223577658,9.600870679570399,11.117995122479385,12.36072713174469,13.121785901695146,13.318191872781068,13.127986842021562,12.85118966911529,12.728342477136344,12.912714248122567,13.475549825240948,14.369686976801162,15.379139271454466,16.160387571856756,16.496689227145,16.383097711062753,15.971106169214863,15.504122121542817,15.195641019139577,15.200311990231675,15.462621500759381,15.748861467526973,15.698948312016247,15.007375827510947,13.687588458114073,12.151036699854485,11.04739144
