cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-15.00199062,-15.829574872460787,-14.776623705875156,-13.542724664674939,-14.131062651698347,-15.100469906840617,-16.093025155840945,-16.78470119445229,-17.58570554135347,-18.520814780613946,-18.848666903937367,-18.253306477534814,-17.075020813495232,-13.970662899705495,-10.483417987876276,-6.076116985890143,-2.6813861876109057,-0.12304218500563632,1.2000877779155243,2.1537930171598054,4.6916851945421145,7.159110009793803,7.517147110064821,8.316114594664539,10.583732543302146,12.408809351723601,12.274504956827798,18.13831268275268,20.182437445826935,24.58740858619317,26.13406240868706,19.88375977192217,14.107552152637654,9.085074948302758,6.063372598054293,4.674888179627222,3.8495614008137533,2.71680820970365,0.6589068584936686,-2.5128401543755428,-6.38364062397156,-10.770471940721741,-14.106112194812527,-16.31861018174287,-17.744073483142103,-17.705078379091095,-19.026347712098968,-20.809715050017044,-25.496163424180924,-31.127955373104626,-37.234136580000005,-41.76070870065347,-45.30481831086235,-47.196720318153226,-49.36684223014628,-50.951055380321584,-51.868956773718224,-52.48916924367239,-52.690491357143,-52.87315602211022,-53.97492948764233,-54.499852469010705,-55.17220709222657,-55.74455440107244,-56.07298807982375,-56.2921448434576,-54.86573884339979,-53.577500054827695,-52.587159649598405,-52.342697403269305,-52.71340639907405,-52.90608605601755,-53.7020326964302,-54.19309603320807,-54.2520058789693,-54.31831686645765,-54.871623818806356,-55.660104312342014,-55.51786275219329,-54.61635297869779,-53.81949599259434,-53.35422026899511,-53.33894515191125,-53.6634931553459,-53.99532049701946,-53.85101423217927,-53.181949489184156,-52.57229572513157,-52.22985940264573,-51.64331520418992,-51.059998183986096,-51.17937839712189,-51.36416311484291,-49.60012240373598,-48.552350965455,-49.76243325736039,-52.67684582873683,-56.384245055457185,-59.70255656189188,-60.157033518427156,-54.09169863
7kg_10bpm,2AB,-2.13541387,-1.4075616712773982,1.434401487266392,6.026967099529524,9.96657826027888,12.705618281932463,14.401352056005582,15.341747061606277,15.655743676584438,15.671664178791445,15.610029092382563,15.720456662248738,16.113668327361292,16.289208590838676,15.969914688889487,15.227692110571489,14.166801702964802,13.067088599617032,12.052942450527098,11.134637911408735,10.347974770923745,9.71900919589707,9.208112824019949,8.719176003263357,8.148282629323042,7.3919375951970325,6.498361242719278,5.516527299305899,4.435708815934137,3.3013373825139523,2.0979076911371486,0.8622095140781071,-0.4932579233175725,-2.0166356248910513,-3.2233528630722006,-4.210152547919971,-5.116852363581004,-5.98393056765592,-6.824080808247579,-7.6454402349741795,-8.475751518495372,-9.342568788835584,-10.232996715323189,-11.107405331111211,-11.905953701350695,-12.78894361179111,-13.648379446237177,-14.485823382284938,-15.286447917660434,-16.070288614793053,-16.909993135728545,-17.769527918868526,-18.652820233022407,-19.512015454384287,-20.330239822234244,-21.112481431917075,-21.839484732104175,-22.498126663548096,-23.12546945513207,-23.740720215609976,-24.29962337013372,-24.761786504210487,-25.10979790873373,-25.368423534560304,-25.552535578375373,-25.768215643247007,-26.089524333907676,-26.451733526531374,-26.72565170656549,-26.77419502645956,-26.49589871540001,-25.916967603534744,-25.14645770497937,-24.391898625506325,-23.76897332528357,-23.291567620501567,-22.893169742103616,-22.522704758984904,-22.167410588941433,-21.767802242914588,-21.250643886025774,-20.640512018712535,-20.06519033690861,-19.651987288212286,-19.479523217618645,-19.5982317427696,-19.9773502509593,-20.14357415821098,-19.816411461809214,-19.089335050984168,-18.070556288840006,-16.86665893052521,-15.654743193437783,-14.679372743603139,-13.97918457139677,-13.306721381380633,-12.624243681018251,-11.776660526041637,-11.003835045917397,-10.761648203900547,-10.92770267
7kg_10bpm,3AB,-0.92050247,-0.006941654084481108,2.488284398329371,5.539807304700014,8.101424936734901,10.285093564178649,11.947582053443675,12.935294091525273,13.400007130303667,13.650276525276041,13.816666157373975,13.909483829827685,13.77546069453624,13.41627052131901,12.975109326630207,12.535545382374224,12.050378318813411,11.463196165565732,10.78182123150108,10.040237718517135,9.289030515312458,8.628083189165213,8.157861879512398,7.880947917434493,7.614493732132748,7.164409529712919,6.50325764614909,5.707658616329636,4.692146092800876,3.3826678021647516,2.088904707477585,0.8744429435374627,-0.12786955841835318,-0.8598152806116613,-1.603318898245288,-2.3125324746108236,-3.1045621459953807,-4.076457491411748,-5.257019508623836,-6.581027254325537,-7.937993256379194,-9.217540317394187,-10.344307873060975,-11.291447690720315,-12.123775582767147,-12.889355332126295,-13.571515353962374,-14.196453707584602,-14.808627335205964,-15.371424774517008,-15.82178283,-16.161371856637412,-16.49712232514133,-16.89675292729416,-17.443949011843152,-18.198858926160554,-19.17857349537836,-20.277773447739555,-21.4816129658711,-22.75192138747518,-23.968990177311035,-24.96572751894393,-25.634228089060702,-25.954989641587765,-26.028575204206028,-26.026645537462915,-26.09289455366023,-26.195131384714795,-26.168249778665505,-25.8639624023728,-25.45211610239823,-25.19724631096573,-25.13893561765948,-25.238143045382643,-25.44511983205284,-25.678272106224135,-25.90885508947407,-26.09529885969549,-26.17954835132276,-26.148308958338696,-26.062721792458472,-26.031831170402533,-26.212567806243662,-26.52500470332077,-26.882401349036996,-27.27258364737519,-27.545725071349242,-27.579387310118015,-27.303232785798194,-26.71206780315357,-25.8241298676434,-24.680879426127905,-23.472458804427408,-22.30465076449977,-21.285902920215413,-20.509983916800618,-20.10482387749414,-20.116841737041955,-20.41956947284067,-20.82200545006239,-21.02630487
7kg_10bpm,4AB,0.88454085,1.504574799704242,2.582856234822004,3.7610866287159928,4.9058915132510945,6.439767561915442,8.286394332854725,10.261144749650507,12.123210081896469,13.70191572095193,14.914898275460082,15.769806423153048,16.255488825931753,16.313211161812106,16.170904054648062,15.933169936133202,15.590135538066592,14.916713805124042,13.968514294047024,12.73883863285703,11.34597644119141,9.979508137622325,8.839778024734393,8.042677203661334,7.543998379226828,7.169821690487122,6.618108411023632,5.653812951864405,4.24095226242594,2.499824009989814,0.5278476830604937,-1.077302421202485,-2.277015949102582,-3.2182035575421417,-3.991464943225357,-4.708491645379794,-5.431289403950758,-6.2594629773449935,-7.254844832376758,-8.355736688006077,-9.433152248891298,-10.339903537359696,-10.97120457022389,-11.317546838940256,-11.441561143931901,-11.472273469919472,-11.565971959507092,-11.78140383832607,-12.111269145603996,-12.524236331819838,-12.983896232996381,-13.498478065893346,-14.121422405451966,-14.903069824418566,-15.821242330506843,-16.871515403751378,-18.07836545463776,-19.33447587339222,-20.601886825235663,-21.7998520682239,-22.814726801771073,-23.56864857690643,-24.066512689444902,-24.35116073843866,-24.516030648617317,-24.663443833511028,-24.89680877445461,-25.212954185793446,-25.558536726670805,-25.820709547195577,-25.88419419084641,-25.583245815691484,-24.888312317355474,-23.97367353616277,-23.168996156235046,-22.516156877834742,-22.077230264948277,-21.883035005649806,-21.85031342462845,-21.84235460231483,-21.745084615353218,-21.49580895696946,-21.15461892787216,-20.868484705076515,-20.710570641119293,-20.582516030680388,-19.914129975508477,-18.651276463103564,-17.05223048332256,-15.471490631460535,-13.990731835171633,-12.784026743283178,-12.189456158233632,-11.880503673463474,-11.933946540883912,-12.215406305519702,-12.696154757820448,-13.322299381974037,-14.009101688002522,-14.791683714036594,-15.7082892
7kg_10bpm,5AB,2.14498447,2.30609158439059,3.207974725637652,4.411748584084656,5.24272073573578,6.209982350000001,7.3936116287934475,8.730227912217753,9.89674663998175,11.035672964268768,12.16304548,12.802397935685274,12.961692838015841,12.813608503025566,12.529518002316893,12.193040279999996,11.940448219295453,11.739166314097883,11.533644711954913,11.26803612383604,10.85832344,10.28485672378145,9.602930201585501,8.858198132683071,8.070624107228518,7.279669270000001,6.497086305736243,5.781156350566073,4.988848191835229,3.8993334916043474,2.517377390000008,0.9833857411398322,-0.5831510586769384,-1.958784079368099,-2.8838450669492692,-3.4521076200000005,-3.8743104251579985,-4.384172570854909,-5.136979627997145,-6.190180678841891,-7.506653559999999,-8.930181985351066,-10.26572152962871,-11.354459902308964,-12.149915823387438,-12.67479298,-13.00454648980954,-13.243245717141033,-13.45130101540613,-13.68713460304824,-13.96781426,-14.354064503671593,-14.92271901865769,-15.73159204365098,-16.797965045569963,-18.09348966,-19.504426131130245,-20.9682947271501,-22.347760829574092,-23.614572460915806,-24.764663779999992,-25.831512271193343,-26.80783231619453,-27.649517653059327,-28.283193715474887,-28.69597745,-28.93810970360354,-29.06806048889767,-29.130473571758248,-29.159828602887202,-29.15856058,-29.115768840620426,-29.01734106832198,-28.829068561376484,-28.502752087850325,-27.993122669999998,-27.270244364280142,-26.367105090445065,-25.363112687317848,-24.350267887325614,-23.414672860000003,-22.632425733266125,-22.07396360164224,-21.783224782911603,-21.699812006896767,-21.7400596,-21.75725712123102,-21.577587107775194,-21.05419531907102,-20.129792290876736,-18.87103164,-17.46512470069444,-16.111117360525892,-15.046713744725897,-14.250810563981227,-13.75947123,-13.69313413894176,-13.966353730719181,-14.46270514389575,-15.104618356243503,-15.7439286
7kg_10bpm,6AB,0.74184819,1.1349403608540876,2.443686100707478,4.253812745760657,5.825036772288177,7.386399320791051,8.95258221482988,10.480499402905767,11.897614768108957,13.187573667215466,14.266365853342082,15.076089550614036,15.567966953774583,15.692914641272962,15.503153499426864,15.09851588063937,14.43229085846571,13.752000547220371,12.992128600896361,12.204815797675579,11.402673747949695,10.599552190844149,9.80110195389197,8.959962512821726,8.013480238898673,6.925890355309737,5.704834984015633,4.45666247063304,3.33449789872731,2.324680380824614,1.4525463969661498,0.6248274485589477,-0.17639262843829398,-0.8790350232485602,-1.5431687657416755,-2.202097193074,-2.979804485949043,-3.9561619825781387,-5.125056997705987,-6.403703138377273,-7.6620483047404075,-8.785351762054683,-9.66043924113885,-10.241081834122692,-10.559731048318636,-10.725328706622893,-10.848074614520764,-11.021109718959565,-11.35311635256661,-11.879344388843224,-12.575618140000001,-13.385199883412204,-14.242621601132655,-15.091961805210376,-15.897036426510539,-16.641894226229912,-17.31488123045059,-17.94397468364068,-18.553952905221795,-19.225342140363523,-19.96717961161111,-20.730715638258996,-21.40708554668628,-21.94224647966081,-22.281326880137392,-22.40845617925455,-22.34854918535113,-22.155806720991343,-21.919458898470253,-21.685242722523125,-21.50060400885119,-21.36524157350904,-21.308039627121623,-21.36284437002315,-21.553246370745214,-21.794133637503826,-21.95260035461997,-21.96297463820047,-21.810105737456976,-21.47292340431561,-20.994368042093146,-20.46168299586202,-19.97335456018498,-19.711100453755005,-19.78283205510617,-20.029316652404283,-20.320963055475886,-20.54823464035132,-20.594534736167343,-20.37763615477027,-19.773638043811474,-18.791315059369538,-17.52917224376637,-16.247365281656432,-14.948111181555685,-13.725535909852491,-12.820646915312414,-12.274873959448385,-12.06994773726106,-12.133989762438093,-12.39714107
7kg_10bpm,7AB,4.16089586,3.4734396283261177,3.371321523052331,3.576814707738732,4.04176846316786,5.220872866855891,7.01295779635787,9.071251615411416,11.015623778319807,12.604639937418415,13.62485398858972,14.134852715508785,14.285156849516161,14.269481718712406,14.020497027124403,13.584627945126009,13.005912114616795,12.177746178748485,11.122871289805463,10.005119450379071,8.983056101005433,8.137696296374791,7.441602741921205,6.911338538625733,6.588300511254954,6.396890689801149,6.113530268762856,5.568352007219987,4.790625662928129,3.594353973981035,2.044450550021937,0.40159503178653844,-1.2328695003981744,-2.607643014821188,-3.7432201242195164,-4.638491785951012,-5.425129767199865,-6.212490088065433,-7.0853979004988155,-8.054846669442005,-9.037615241913784,-9.896065028638828,-10.533827436661015,-10.893316130045113,-11.000033964871134,-11.043768547338185,-11.192006847011895,-11.573040977516666,-12.245148085008447,-13.179767414913298,-14.222546327727333,-15.293374642847063,-16.32485011381843,-17.23134501927153,-17.998171194116075,-18.664266389116772,-19.26895430946471,-19.856536375915223,-20.391139660515318,-20.84262315509935,-21.200486997963885,-21.47659070582604,-21.71635765561949,-21.95108107821526,-22.18248258048782,-22.426872635927406,-22.6797005942736,-22.909707052368898,-23.10282629055152,-23.30355377034826,-23.536329173130245,-23.77408616581532,-24.016031433713703,-24.270503321706006,-24.47153875187766,-24.48839148571397,-24.24065583969017,-23.73366841817977,-23.000432772816627,-22.110496876860815,-21.199336191897235,-20.442356376787355,-19.940874362136103,-19.728324534763004,-19.686283882478453,-19.702850237109843,-19.695752401795982,-19.52313226234314,-19.0871782514306,-18.405727735140673,-17.591593057921465,-16.848146266736016,-16.14489377354583,-15.638323733693543,-15.347005736099044,-15.303020270550341,-15.53728432296015,-16.00543963709396,-16.57918546348195,-17.157995645910173,-17.5271761
7kg_10bpm,8AB,3.01337796,3.5504591725464563,5.064974267795425,7.145531752684931,8.584087596370294,9.64453225957821,10.620596660066221,11.493496809179137,12.254416260766343,12.842869698150116,13.228086494829354,13.43611065844235,13.443788247620894,13.135558116168982,12.732142575745618,12.320229203949783,11.959541043446409,11.694026695781147,11.497999470223421,11.2915640833743,11.016651449682383,10.59922821289655,10.028234981167913,9.366112042520092,8.775326729540206,8.424757290157048,7.781683261594663,6.695909607203356,5.193794646706519,3.259719507898376,1.517162327922518,-0.08231298339539424,-1.5739434102080962,-2.698253656144309,-3.6175156395538286,-4.477168087028027,-5.3168705817724025,-6.131879663491905,-6.904954314263535,-7.596613756641309,-8.199160564932765,-8.744287500309092,-9.296610307378065,-9.909175389277777,-10.588895443633957,-11.279270947440317,-11.94161795782134,-12.58229561456805,-13.283123763254538,-14.116494910965079,-15.05227281,-16.028264695786323,-16.984546708446533,-17.867044436084793,-18.62077792543061,-19.25119201116447,-19.787667821112045,-20.258074489996098,-20.702277690739933,-21.146362271724254,-21.522472139754953,-21.82564315817416,-22.0794864811536,-22.32416447659872,-22.596371167514263,-22.86981917273347,-23.130607152674312,-23.37731099958389,-23.559013914131544,-23.64704059354034,-23.607568078997584,-23.43254353464993,-23.184949668776866,-22.894254252704947,-22.63249125426254,-22.415349593551245,-22.17273287402539,-21.798850428005196,-21.25687481971347,-20.587708415673323,-19.914579374869238,-19.3624569442809,-19.000481565612496,-18.821168925800905,-18.816044753384183,-18.916615481038384,-18.945017572473105,-18.660805017673564,-18.300201448920724,-17.90450013036524,-17.48804510821736,-17.059876048727904,-16.632126309736243,-16.31679527510707,-16.192277417073942,-16.304739300419342,-16.679862104875163,-17.279753394556433,-17.92516421019735,-18.452131444135706,-18.49646185
7kg_10bpm,10AB,1.54248806,1.0614907603711972,0.7870486956043009,1.295805912412614,2.259466705185229,3.9929578025673016,6.8102216023581725,10.377986390614518,14.11450870759214,16.554594274662335,17.493367871794597,17.02714419959439,15.597981704429722,13.85873123754858,12.166822777796364,10.94827441705058,10.305032477433809,10.018282612273577,9.774998817505072,9.417014895054681,8.952084429862667,8.255283402476088,7.140653253104477,5.655529664262938,3.8811428257167258,2.3745597289844573,1.2997520446279642,0.6246137953867679,0.062298854730384726,-0.5592371298689457,-1.1710022399884983,-1.846036942119616,-2.771813632869937,-3.816669898936327,-4.661812990807473,-5.246135419924024,-5.704983483408765,-6.096296770379991,-6.480696683867328,-6.899185869070118,-7.368467325632644,-7.863241812048961,-8.327956819836544,-8.748769931806601,-9.146497483399356,-9.51320279948727,-9.875415163902,-10.343765441771328,-11.108040964340052,-12.212632860899813,-13.478865620000002,-14.647546818186148,-15.486246709086634,-15.99596367819743,-16.368022136361358,-16.80558560559427,-17.446275901070603,-18.203991149524324,-18.89592638999777,-19.635380035909627,-20.462275156557777,-21.430388828089182,-22.579124024873895,-23.793701691427223,-24.704005604618466,-25.355527953437765,-25.151444639551084,-24.297652694015387,-23.036468120504047,-21.22515226160939,-20.13235101713028,-20.51326272067199,-22.27135305757285,-24.540132658805543,-25.661515312849723,-25.087844146879057,-23.231551089844444,-21.31067584570779,-20.209665070139792,-20.10523994338552,-20.336161193531492,-20.033663856618077,-19.139091111654402,-17.987714742815832,-16.9493078155263,-16.45337293045934,-16.379168498646894,-16.316227786473277,-15.893991735581578,-15.020420122227755,-13.934922497928136,-12.993026301796444,-12.431763041971719,-12.288528594044125,-12.280836822679209,-12.205778467171596,-11.752772606843441,-11.032359252085962,-10.44917360666548,-10.196359009161329,-10.35072932
7kg_10bpm,11AB,0.58671561,0.8984574216567337,2.9055050393190536,4.895772870499112,6.575534777894402,7.918721111925341,8.902616557181142,9.856423018269423,11.121194241167842,12.748723796264798,14.291122510350911,15.355364088485445,15.513501745331023,14.750237330913759,13.297019564588728,11.68439608316561,10.241790021750543,9.071509927961714,8.313570200500848,8.013058788029747,7.99546985,8.209921585151204,8.301337307554665,7.929012822464182,6.943855120456499,5.436923060556868,3.9597746008172683,2.5992487061780833,1.3823371710273344,0.2730111072521075,-0.8336650278716843,-2.0424516083005244,-3.305618653602501,-4.514044392768003,-5.548682930767094,-6.4185741089972375,-7.229414665340557,-8.025476299548146,-8.812500289310046,-9.583652031693092,-10.33986818,-11.095779086081208,-11.867141322219064,-12.582654829613269,-13.18980159648093,-13.731259660499385,-14.27251875975522,-14.873533504779543,-15.504097810369098,-16.14542877697488,-16.7258196731711,-17.218265174667987,-17.667360714166595,-18.059992813964385,-18.295819482525612,-18.3645016166743,-18.36262680615516,-18.489891967532056,-18.899448851773222,-19.563409440823914,-20.316225770000003,-20.980696861655755,-20.90158913893323,-19.94627860288678,-18.400107812013445,-16.42438528166429,-14.41560652307595,-12.979735278288667,-12.608276015567784,-13.822257924373035,-15.97615939361432,-17.886431876116095,-18.00876241055965,-16.849286802519984,-15.22463371769587,-13.880275594908028,-13.103442652186223,-12.889189867235455,-12.933751121649188,-12.886617346613196,-12.61677586,-12.314049696051063,-12.09554488183474,-11.995237556334962,-11.938306623224634,-11.860898960577906,-11.734404230848817,-11.36176733136095,-10.805968515602094,-10.351691518285463,-9.845461438578404,-9.264966699056554,-8.802438437949704,-8.520670396295017,-8.315836746106106,-8.307418669074352,-8.345476734108846,-8.338948121876722,-8.255096508523671,-8.227305474032265,-8.20931056
