cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,-18.55359825,-20.86868768617695,-22.876318150476255,-22.574958060855344,-20.919029402535735,-19.51518889,-18.400045865128856,-17.745177773432893,-17.527685544391485,-17.5788734364851,-17.660581360000002,-17.528647065880897,-17.115201780087368,-16.36286315715797,-15.332215474053255,-14.2783579,-13.166212517838867,-12.036481460943275,-10.98237715743203,-10.111477827652106,-9.5371439,-9.186707962652648,-8.919303540468515,-8.665671960249092,-8.385345353689644,-8.0765854,-7.743641661444278,-7.425854594761136,-7.129434613233543,-6.8059150357119105,-6.378358150000002,-5.796308557534126,-5.05938348337504,-4.2113522221977036,-3.335008154916513,-2.5634345900000004,-1.9602904091225688,-1.4947297106429422,-1.0757087618296812,-0.6566997035212201,-0.13598846,0.504086291805181,1.2544391283582232,2.082664826421361,2.9249839839733616,3.7115214999999995,4.385152528490198,4.968409396756408,5.50050320696858,6.048045226098346,6.665022750000001,7.406481300018633,8.301032224275707,9.331040261192667,10.422254187948278,11.486002539999998,12.431018283754742,13.251084270804942,13.96061134405726,14.643942193124836,15.322897059999994,16.055132202986485,16.80739239707573,17.50936841858478,18.12419258734657,18.54710934,18.783405356630624,18.846587166321644,18.783388180285208,18.699327898227295,18.68305215,18.801866995917077,19.073632388660858,19.441316732014503,19.804774718079855,20.06872733,20.199859687200547,20.20243097313822,20.060958403832345,19.81803214704568,19.50139609,19.126228207724544,18.71846544627748,18.34072687072085,18.104701940638996,18.06788582,18.276513842282,18.793624789501763,19.555859950857563,20.387980759897477,21.07482562,21.402740877281982,21.29047475803849,20.748581016060363,19.99040832041488,19.17565155,18.4571369676892,17.949000562925953,17.707122209872267,17.73389205700273,17.93664086
7kg_10bpm,2BC,-18.47093702,-19.935361541091165,-20.820888717533368,-20.615918231662345,-19.60739608167845,-18.755036689636977,-18.198468880556923,-17.9818616930012,-18.048989448916597,-18.285175779648952,-18.47692382251937,-18.426193819278446,-18.050890091107856,-17.386584834421516,-16.478618445460214,-15.43402690357355,-14.32600252018395,-13.175841171514186,-12.030858936882815,-10.942199818816633,-9.95782546,-9.072044346170156,-8.315416945471206,-7.689219605112246,-7.195319407214262,-6.791986901244717,-6.46508751036142,-6.175783791506994,-5.8851447494137785,-5.597556817386615,-5.2934812782002325,-4.965394793859232,-4.641451945983953,-4.313878525577101,-3.9755097430883635,-3.614985084895801,-3.1803016380238347,-2.6490376392412545,-2.050841380044002,-1.4031923977745384,-0.7239963999999999,-0.05129717340484563,0.6236208835750838,1.2731765185379953,1.8381901194270724,2.3072669858878236,2.6981339868471346,3.0622638405370113,3.4884398408011146,4.051440994976704,4.773316710874975,5.641675377742823,6.5914930000799865,7.535550682480546,8.391046366709501,9.11690196747936,9.72411385067278,10.266917128463064,10.83838024729132,11.565339883650799,12.4816396,13.556206763952686,14.68444845472297,15.799850618114059,16.774314569801355,17.577283365959445,18.206624077829442,18.630168031661306,18.870112240910267,18.970768138902777,18.995505866742203,19.007596553972324,19.050866444874003,19.163802748971396,19.38602889516265,19.739991617208954,20.21883816773398,20.798170919499917,21.39842033815526,21.87622944240125,22.21341797,22.403649627854783,22.501563365662992,22.56025174914422,22.59984179448169,22.606209228472604,22.53385657539143,22.35349909959373,22.088848113342074,21.754399973642094,21.447147707037615,21.300305714806203,21.262420838836672,21.3563834816317,21.668680267913157,22.012551078008993,22.327705986339627,22.565173135600816,22.810773414412008,23.15010328171368,23.67018116
7kg_10bpm,3BC,-26.57845324,-28.964450838440104,-29.999029060282133,-29.370575502052162,-27.96182230684179,-26.66925241157221,-25.603180170077458,-24.88047038867973,-24.437672802341314,-24.16333182610122,-23.89728874245779,-23.470214466217,-22.741843213395683,-21.699066694496977,-20.38321017243785,-18.897198337962827,-17.339128531598877,-15.826798367692248,-14.402166968327517,-13.140453588080574,-12.093813163834026,-11.246496757569611,-10.595344044924676,-10.098599217612513,-9.709870444773667,-9.382879553194552,-9.067416021049954,-8.719744703008065,-8.311552519827353,-7.79189062074629,-7.133704828642463,-6.384249647782099,-5.585617247067697,-4.753135971124197,-3.9397708661950537,-3.211082490377386,-2.563937573883626,-1.9438890259188766,-1.3100429369926203,-0.6310163134158374,0.10015441494774109,0.8788691796015873,1.6179887697512585,2.315510435766846,2.9588197042065865,3.540762080653288,4.066332296061449,4.555631653445836,5.0345728511747545,5.532453937880458,6.080041976232783,6.7026490837407335,7.413394186959356,8.214972255879326,9.11498591678785,10.1243306289018,11.235399864676989,12.42398095813654,13.644106262155471,14.812481649723487,15.875821663654895,16.778671459234598,17.48548038727702,18.009452134298822,18.37504548598558,18.6286502147381,18.83338890544585,19.078028096837258,19.422818409229038,19.872467442087952,20.397270293635025,20.92116143570333,21.373847769032018,21.687581166222255,21.82180311419377,21.797530406685464,21.701974572942103,21.662417308450937,21.771259363917572,22.012732371514073,22.378695795326593,22.77860023343076,23.1314488826947,23.33644681365901,23.322520959340434,23.115150486541886,22.804108695119634,22.49092445019606,22.27490411490917,22.20537314412665,22.270054094609634,22.475174218474592,22.75812188154339,23.0051145387925,23.15718809277213,23.207573010011803,23.25426819909356,23.41523216392629,23.721286993960256,24.13122661185847,24.5511451
7kg_10bpm,4BC,-21.69582742,-23.195391823271954,-23.076246627067437,-21.342956717208803,-19.681087404751214,-18.43156733873287,-17.792683994029957,-17.830611013817872,-18.388446491359925,-19.11455949826853,-19.683945307138444,-19.826443393177538,-19.400490060726884,-18.413698722866236,-17.049387424484625,-15.468403348901898,-13.803929102392685,-12.230080201445407,-10.877271569597756,-9.83497331660358,-9.08790967249233,-8.643722791015676,-8.425981225133107,-8.345608137956882,-8.342229220993689,-8.345860869047575,-8.277984061353159,-8.08517448496652,-7.699894298248273,-7.072393960561539,-6.260181368212065,-5.345317893079841,-4.460768678942117,-3.688903895185501,-3.012252462055597,-2.3651547518618834,-1.718647451827609,-1.0244353250193239,-0.2408084321847105,0.6250734586924098,1.5719703804017047,2.536651792016736,3.382629509773238,4.025493412185466,4.424450871132908,4.617560499553389,4.683324087338536,4.756158525594152,4.982283214488033,5.4137197481415225,6.070741023737376,6.932536129343599,7.915872924308086,8.928272105717145,9.911379603676982,10.852648517394973,11.77535904609977,12.754130911819747,13.828417045280647,15.072903921247065,16.505718032520967,18.08110157393527,19.69426580925603,21.21582944040641,22.507942105798385,23.47467468074282,24.08533519731287,24.361734718159624,24.366940011425577,24.262633156807727,24.226373785027434,24.407520226040116,24.8306300364054,25.44809365724499,26.125134866889674,26.686174074056467,27.025330168603166,27.16245023122414,27.103803360984152,26.920466964121072,26.695992041030717,26.511559528632958,26.375146600159933,26.318536393313146,26.36259850662594,26.438140703967115,26.460752267145438,26.344691559991897,26.05233228732387,25.664292985298907,25.319643052150923,25.18686639287268,25.4268351031567,26.050971581788545,27.00347824646447,28.139554513274348,29.28766677534224,30.16931262870121,30.829630003672058,31.09762288089402,31.126689
7kg_10bpm,5BC,-24.47027703,-26.834235405190494,-28.12750279725399,-27.696485941537,-25.986148553453678,-24.17427148517144,-22.651827750972803,-21.587620437373143,-21.031304775531627,-20.893705722553303,-20.979056845626843,-21.06590682146221,-20.942478495881023,-20.46092521094465,-19.615507000799667,-18.48914674524568,-17.199012704778863,-15.875131588550813,-14.601314139745455,-13.421812216072613,-12.35448450329035,-11.398348944228243,-10.555211398531151,-9.860214290351681,-9.31618014793619,-8.927220210276097,-8.680894687769971,-8.600012915933581,-8.601795464457235,-8.589337999510871,-8.429256535949756,-8.023226521603455,-7.419793997739032,-6.712437028662436,-5.9037594060988825,-5.016027519115719,-4.030821290503263,-3.0031739813796894,-1.9993705903157555,-1.066398315369021,-0.22655482765241433,0.5212684197327929,1.1852061054014906,1.75282966657737,2.2626374912381007,2.6910957676310527,3.096595771539975,3.532801968726685,4.019031845109697,4.515848654101136,5.026628039650257,5.5600308418950375,6.122546834206154,6.7125954979970075,7.316504880075813,7.923559556305657,8.525029471188677,9.127312871850943,9.740434505948107,10.37868402265115,11.064794979718679,11.80843109748361,12.593091902129567,13.399763775845429,14.203982939869151,15.011894239727178,15.774474529266946,16.40590880434798,16.823729149856497,17.006355288545713,16.97378529544317,16.819758031160028,16.65343449931303,16.53738779760063,16.522693641696506,16.649046083073014,16.879516570279396,17.163698978772825,17.419673385167126,17.581550138151847,17.633537877848468,17.594607365725295,17.52904332868639,17.477192033472832,17.474128214251618,17.40829291696706,17.35150485934498,17.263110707923726,17.153037146813027,17.13178587800194,17.31536398397737,17.761840463798578,18.459798562710226,19.289814175336993,20.14098169518938,20.753734059927332,20.845607300433205,20.449940057523026,19.67377850345187,18.74995142655759,17.88670831
7kg_10bpm,6BC,-23.28285464,-25.10949007045319,-25.81746002546465,-25.640812120605965,-23.982757541928642,-21.83708124856969,-20.076908458828452,-18.98937460543786,-18.572895675532628,-18.633892016230185,-18.843872647813363,-18.903024339106487,-18.629663837020406,-17.987155786750503,-17.062425084723298,-15.984051819354153,-14.880225509492954,-13.796477201950553,-12.753140622329315,-11.738231893092172,-10.776440357494836,-9.903710643051644,-9.14217099086024,-8.535010608905635,-8.095816455989729,-7.8238193,-7.712502526176922,-7.691295457540743,-7.654148730221467,-7.417161126806481,-7.0181767803311175,-6.472332242105719,-5.690297425162754,-4.7138577328265985,-3.6225652277636677,-2.54198640051574,-1.552097062902552,-0.6898582243714417,0.040077064661167644,0.6916847453570255,1.3069393425780775,1.9238139010755777,2.595332564194296,3.3447434034182395,4.15103697786877,4.965393032020029,5.739055780347656,6.416892355859603,7.042745479778866,7.658011100522814,8.25945411,8.827675805926336,9.346753305458304,9.76940814644909,10.071279012369068,10.255824574116149,10.386504077188645,10.571314657046361,10.929266232988628,11.55044370341539,12.463032097328442,13.630368546786706,14.902509156838756,16.137248638205783,17.150741794418447,17.84401025437848,18.20922981615836,18.335341134375145,18.32390761231715,18.292259814367227,18.325595296508244,18.474282382605008,18.72767288832602,19.033416428074126,19.316194870825967,19.50740189,19.561645315287116,19.457547943141552,19.23618449987621,18.985823013095086,18.792847361227064,18.72579990121868,18.820611275210847,19.082853729751374,19.451491214457146,19.871796203277903,20.22792715183411,20.408172599955595,20.389760802262415,20.216815680432827,19.945094997354875,19.724754207133582,19.627483895650826,19.677944285444987,19.82812235722829,20.047125078285248,20.390905579136525,20.973030203699,21.817137196362438,22.737593650556498,23.61484635
7kg_10bpm,7BC,-20.78061026,-22.17142784665251,-23.28306595133941,-22.780738824107623,-20.447171369062435,-18.424540915030594,-17.256138293748776,-16.98115405539864,-17.373082801495183,-18.044806857640335,-18.593080932000394,-18.715195716929372,-18.321799059207038,-17.50517064514982,-16.430413619457926,-15.23418117656129,-14.067118634418055,-13.032561365348602,-12.113529333024564,-11.307640346745382,-10.60699375,-10.037806664562488,-9.61811830588389,-9.36332831923664,-9.212319899643767,-9.036543380386066,-8.806241837861112,-8.548427155944944,-8.292154242112762,-8.032877477395802,-7.6957227122031435,-7.273724593759953,-6.755563891906542,-6.116260673133565,-5.3590793290847705,-4.541339146957452,-3.749665753366334,-3.0164069460020415,-2.303039826095504,-1.5680245202388379,-0.70731208,0.27596140764358895,1.3263530641923138,2.324974278765746,3.1872537926174704,3.9332176973415036,4.67943371054162,5.515454245166672,6.511348713555328,7.674381889748661,8.961201294506365,10.338114112714132,11.498801571919365,12.372139643807436,12.97934758232947,13.421846345990987,13.854083214208964,14.445476513311764,15.228392292683617,16.186120767919686,17.21442976,18.14412996879056,18.76421616937017,18.97471377597638,18.82713783623599,18.50221352772139,18.238856424514157,18.29922718222005,18.638723146727855,19.23805971102825,19.886831340718754,20.40902106144338,20.765885820592242,21.01036296717478,21.23016236632924,21.452718446118613,21.646239804726136,21.727439484606826,21.660185627626504,21.43249671299153,21.092069109999997,20.70961184626006,20.392147036586376,20.24599844112446,20.232621667244075,20.145323831523875,19.9631707089311,19.762996676250896,19.57755331973712,19.462126973782176,19.44251461462944,19.42005437509535,19.359402082703912,19.270198900317506,19.156708757886697,19.050637817304988,19.1588357525544,19.690857489675818,20.65493628769728,21.686434942756602,22.28738951
7kg_10bpm,8BC,-19.90679221,-21.65776434709289,-23.824101244643302,-24.732863628750945,-23.670942508821355,-21.995357592595152,-20.535578947704124,-19.459818215813307,-18.83248949829531,-18.52984288890181,-18.351045731239086,-18.0846386391689,-17.59654815093778,-16.867771123379633,-15.961051674723619,-14.979466532143517,-13.98339641759547,-12.975631281614756,-11.981354342512256,-11.068430894409618,-10.32141985559607,-9.81021610562522,-9.53655330839921,-9.402429799697153,-9.250627276541437,-8.945127571141079,-8.418515847432845,-7.702986746436134,-6.896402141480578,-6.088187825619819,-5.32232020228149,-4.5871152745221835,-3.8707692891681043,-3.12302003642996,-2.308541281806243,-1.3824036293495603,-0.392844709728401,0.6035529246407418,1.4831936174239044,2.263283999892777,2.9824958623768425,3.6037451213358285,4.103186280609343,4.545174948057364,4.95193144967359,5.321968671945902,5.664017235189756,6.0027481761887005,6.395967738053067,6.939990919877525,7.695102526153844,8.643607854459358,9.69839303720319,10.685816344525534,11.488484124712608,12.093792518388781,12.579225599963339,13.062723318701913,13.645272233403489,14.336126763832251,15.114629469031719,15.932075626259103,16.731472397352164,17.477700736810633,18.17277850547077,18.927357624860914,19.818132544699647,20.827289638305114,21.891626925205262,22.94871032005329,23.808261881445095,24.330511722112227,24.406659128333704,24.04912380519252,23.395372056281886,22.77271551780499,22.211886262870294,21.736974680857394,21.38930091654074,21.121926093733837,20.88290182235153,20.708357310671904,20.637763293976455,20.703459406257895,20.876445643590976,21.154468041898554,21.462669540832728,21.703943775700097,21.80387399481708,21.736743605737683,21.513446175384985,21.19281962101757,20.774789506668327,20.28581383048153,19.785666419335797,19.41650336581278,19.31430418874393,19.632060750304618,20.457797352230696,21.706312795721715,22.86836632
7kg_10bpm,9BC,-16.30163865,-17.93312986470832,-19.38295468432759,-19.892783240717577,-19.407075081697535,-19.07566628,-18.991179056375955,-19.072625876580464,-19.0296247124681,-18.892761086993524,-18.6108193,-18.06680431536861,-17.2851747059809,-16.37910156482259,-15.504655790925927,-14.780087550000001,-14.254496993171081,-13.883668211690917,-13.62190383239642,-13.385634273621761,-13.138628650000001,-12.807134889040562,-12.314683792388802,-11.615147851611276,-10.747643211179204,-9.86698709,-9.112453138544048,-8.560792103238317,-8.215971384169888,-7.992695457412805,-7.72920751,-7.268841639038385,-6.622546337072573,-5.832671409187062,-4.91012956402452,-3.874146529999999,-2.7725688752567215,-1.6655718328393228,-0.6012844291715539,0.3896739891556655,1.2948365500000003,2.122717450757489,2.938033831903739,3.78681555837028,4.6387817544345085,5.3936924,5.978722725620289,6.410796815782437,6.779614833226775,7.210586058680671,7.80496706,8.586500400402153,9.498144161366195,10.446398159607183,11.355391432046492,12.16782605,12.851493665234896,13.408398745800406,13.919571688483018,14.448983260940773,14.98170509,15.453138993157296,15.888960005404504,16.31868940925905,16.73802667701469,17.140440249999997,17.490830377775954,17.643742108158637,17.618019615890884,17.333789953732857,16.8947645,16.4169323277024,16.06101174228035,15.957414277939959,16.024812519782493,16.242092229999997,16.518992089384575,16.76967470089167,16.894090644290742,16.859462839888376,16.713160860000002,16.52697345945176,16.368044770538784,16.363634285012637,16.558380168802337,16.97025657,17.504654471242723,17.93923304120525,18.098814226827844,17.91644612965302,17.454794870000004,16.851000711513294,16.24356763218363,15.763598940934145,15.519997561355632,15.56437213,15.958566640491828,16.79963821220796,17.735246830467787,18.486610150684417,18.79211883
7kg_10bpm,10BC,-23.3326897,-25.305411057288538,-26.15372372261048,-25.30361190483076,-23.707234325718364,-22.665571023104047,-22.230395326811514,-22.218373646238984,-22.37354674965375,-22.467874731733037,-22.29061734862299,-21.727412431386746,-20.841265017015687,-19.774328840738182,-18.648375965102986,-17.536260667618997,-16.50415471763788,-15.579534174730268,-14.751555572073448,-13.94229701368486,-13.128003275256233,-12.360004161126318,-11.70113586080738,-11.180150516588279,-10.756771331575097,-10.353846042901385,-9.918611226460442,-9.423216830304264,-8.87498622589835,-8.262340850991134,-7.662546848928083,-7.064690661103597,-6.415833738095916,-5.685584358153949,-4.8822171946613855,-4.0387524720799926,-3.170475040672993,-2.2743298760078234,-1.3134768373276944,-0.25734625096666947,0.8726458019804456,1.9272200642173078,2.8014885142046912,3.4557176897125315,3.9475225777166583,4.35614858085501,4.78497510257951,5.249244334294403,5.815275269225785,6.538849188894594,7.437533590332196,8.463551202030835,9.558161746642819,10.595583396655151,11.416440481184264,11.952566157424327,12.226932139689053,12.353472208341172,12.50053621717194,12.821775116933964,13.380204110410663,14.162702466310314,15.0680193187991,15.899155789913346,16.50537537877249,16.816510761624464,16.86486261244054,16.77105635513368,16.67346504391806,16.643158537732933,16.707953118160695,16.851158579965485,17.031916027928737,17.310639960180023,17.692933897008093,18.142195706151963,18.560827558980336,18.84718573212484,18.923745788337857,18.767404799536365,18.43958546796502,18.0895570979637,17.81956227225575,17.656819856767537,17.59204415578137,17.630594404390383,17.738680237919485,17.844100278341585,17.919459048835495,17.94896020571718,17.92438878597103,17.851691219241193,17.781078693152278,17.743048443826066,17.79890450013843,17.93670705781732,18.078217392474823,18.101052064151688,17.88677744463204,17.447640878315234,16.92270976
