cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,1163.67751313,1111.508006029479,1041.3732313370554,963.6928806422394,890.9885672844762,839.6031169453449,813.5928101188317,813.3682610725241,831.0223413631628,851.7124016799715,863.09911214,861.3664602167759,845.9438451647216,821.0737252250709,789.1004224664306,753.3497880020087,716.525181626761,680.811085280922,647.9505163105193,616.1119571152351,579.42915956,535.0326076523944,486.2434770985328,437.17879617164476,393.9665786165987,363.1842704676006,342.79390327147826,332.87603891326603,331.2915002915025,338.03931177780544,354.4175809100001,375.85773500435107,400.0587733229587,424.79523673027376,449.68254074610314,474.9284362555216,501.3144750434656,528.6056855984742,554.6119335159846,576.4911153209096,593.8174076200002,609.575824283002,628.0109058774643,652.0249829487782,683.2803060349564,719.7651549978143,761.8024596287843,805.4340023095571,844.6427866437215,878.1768377386035,906.7646988500001,930.9235491889647,953.6393649573803,977.1922930725415,1002.4483617208712,1030.5221366559997,1059.2439358720694,1086.1939024866176,1110.004001065628,1131.879826748214,1153.9462277200003,1176.393051222208,1197.9942356281344,1214.5162864384313,1223.8228085453843,1227.8489113243038,1233.6625968688047,1246.894627694905,1260.2677560892669,1272.9158792174735,1281.7858667100002,1286.6392307667406,1288.1127523211114,1286.5142155610658,1279.9159903933146,1264.7479523986538,1241.6642293170587,1216.3150351654804,1194.67529923256,1180.7932672941852,1176.10498359,1180.7116982215198,1193.0238889399425,1210.8210138356628,1229.0063318133011,1244.7036415255964,1255.2372453593189,1255.921171278376,1246.61286670512,1227.1673771535347,1201.14179941,1186.2267996588416,1199.5517157210222,1252.835064663173,1349.2391551990843,1478.8597033783328,1591.3073019096278,1643.3028644398912,1689.7776351031282,720.683182516134,770.39776143
15kg_10bpm,10BC,824.31521377,1538.8674876151883,1479.6278774232987,1402.1502145214276,1327.0779034888888,1223.5571227649002,1122.5306991181315,1074.167064863482,1072.5971908065503,1088.6521894207754,1110.7849717717481,1129.1432922284457,1137.8041492102086,1134.623990277576,1120.5432785784126,1101.5915089661137,1084.424740543048,1074.0687307407018,1070.1801697053015,1071.9146297948503,1075.1607965400003,1073.2352918304525,1061.96226502873,1042.120950117336,1017.5477353753474,995.0051084599899,979.144402548102,970.4163043328235,965.5282006531693,960.3700621241211,950.5548404268095,936.1375210676347,918.4534782518333,901.2251162292995,886.6913595492497,875.994526584685,869.5158904781916,867.7998638742138,870.8288661408893,878.3413597723772,890.6592089,905.0996769896786,919.8132008833275,933.537513254812,944.0984361142786,951.6069244254486,956.7149532803569,960.4672275304077,963.898740660168,967.8602096848635,972.8848923771106,978.7871607915334,984.0794833856723,987.4469298349048,988.1608101007348,986.9875170334478,984.519058611213,981.5507262144254,979.2584078824465,978.6574302589127,980.2228466000001,983.9450827674453,989.6909161218188,994.6498279853008,996.3102588869841,992.7081353183142,984.9071717725856,976.5139933611358,971.4200244773681,971.5528697451731,976.481494925048,984.6929147294616,993.9472919019585,1001.3447755688991,1006.1314115609011,1007.8042548939916,1006.1751244146445,1001.7067017940508,996.384982013245,994.4429595432771,1001.82592215,1022.9008493922879,1060.22562227666,1110.6820742386778,1169.1221560287986,1230.3957149115886,1299.055772442436,1354.594796950972,1380.890500827633,1377.794886039003,1352.3135754649256,1320.4567769593095,1302.5339497797954,1315.6735319755476,1363.6075573272885,1432.0927309054791,1590.164895116321,817.7498970370515,904.5771684091319,896.5296994376267,871.91995719
15kg_10bpm,10CA,766.1801883,797.7623953684707,1276.5294761295343,1142.3740272101224,1015.9685542206886,939.3643046905386,923.4659560352995,966.9596999694496,1056.5391599569268,1174.3010754075676,1294.4360759800002,1396.5978940040175,1463.3775749228234,1486.7167361687682,1472.5100390744847,1438.5256857626516,1404.7087361375482,1382.7643056226455,1374.632245943624,1379.2600236255453,1388.2494355400001,1407.7544453789278,1431.4116665841163,1445.4983910770375,1436.7177448980854,1395.6949919579977,1320.2851007627266,1223.867051873857,1129.713985335172,1051.334401676729,989.1212975300001,936.7425628275067,889.3015348886213,843.3132345562586,795.3780372381932,743.0222521425915,686.0121102714946,626.5937149495459,569.1996677660743,521.3697099616213,489.7343829,473.7082432281917,466.56339297377207,457.7683293927575,441.5757042425967,420.6898820420737,403.2393130830975,397.7786131561989,407.2379249206979,427.2192187430768,449.02684490000007,467.8494390157245,485.11871222044095,502.1964434037317,519.553634077626,536.3086780795637,553.0282699275198,570.000915756818,590.3224210241693,613.7009962902456,640.1490345400001,667.1222843814002,695.4898512614233,727.1129987442479,762.9072184097737,799.6894390355995,834.0049439466458,862.092038920996,880.925670003417,892.4043550841836,902.5651391900001,914.3359367801256,923.1416848089449,926.0216225981566,926.2856909193022,933.2457631234188,951.1694464195768,980.2231384919966,1012.8958202693044,1040.2079387798378,1052.92925217,1046.2839866706156,1030.277871722088,1013.5624706122037,1005.6783191822595,1004.2237788974666,1000.3309250242004,986.9739147666849,969.8848250334063,961.5525922346503,972.5288929199999,1004.7361744372178,1052.8617973525181,1105.8971691588945,1150.0839677237798,1171.73183601058,1165.6448244812211,1137.5194408339391,1097.9392004414137,1053.4287291071716,999.25087975
15kg_10bpm,11AB,1219.83129682,1171.0364082235787,1095.2299636616922,1006.5315821582248,921.696644430847,855.8955810805812,817.4589105551838,807.447463834947,821.7565750069432,847.5752737034046,875.7215915015981,897.6023670987081,909.0160245396617,910.6359387325833,900.9695222538232,878.6499785950637,843.3329740937913,798.1697023339445,745.1270430107197,691.2916522539083,636.5495111825799,584.5384529922218,539.7795749796388,503.89406828534004,474.00570587090317,446.65137081999995,421.3867175313123,398.8220985148366,379.9276275785719,362.1186881985392,347.108991477357,336.6735112958231,336.3247005772049,346.1798315150983,363.82734512790745,385.99756693415407,412.52253662112344,441.0891140544925,468.3924163268669,493.75867412586325,519.9997936259477,551.4460416979317,590.6742321921067,636.6536280126784,685.5089600718123,732.1523232886096,774.7380318547719,814.8058701635142,854.5266691506808,893.8369925352698,928.6895030400001,954.3876787506599,971.1830485362699,982.379521566446,992.8106351581903,1007.4221955593431,1027.0419148757276,1050.4151879334636,1073.6242134633922,1093.7214047596117,1110.9059645547193,1122.4467400149765,1127.0794469702262,1124.8899606737707,1119.460351409695,1115.6826862125295,1116.005885897891,1120.4004718438669,1131.0214492104737,1151.8936080805447,1188.4557626701862,1228.1368905181941,1258.1549406108481,1276.0776148020295,1286.2291056575214,1297.0196049900003,1309.238839386659,1319.281554948357,1315.579941295192,1289.5850347523701,1239.7188717905938,1171.9891068626985,1106.9169501374604,1065.2569813059965,1063.9733492322312,1112.5290792820729,1207.286771325882,1327.3968353663604,1437.35380869842,1504.0961052458829,1503.9878911919755,1442.3435689755427,1352.1031617707995,1275.0679321601253,1246.9563087800868,1280.7149186411339,1365.612618536945,1476.8945052213637,1579.1365553966884,1643.1862056970033,1639.650164
15kg_10bpm,11BC,1481.69513069,1437.0463687940369,1356.8511027957413,1258.6790476942062,1162.7165795386102,1081.8081144370497,1029.5726014518664,1017.8444400774156,1032.7146468188316,1057.9901556449277,1082.150080716504,1096.7154531436938,1098.2615179798474,1088.2878417866268,1071.41476075471,1052.0171979465488,1033.157348545153,1016.3351721114135,1002.2726457772667,990.2854502438128,980.0226089894657,971.9801752510398,967.2104655007698,967.7337586822944,974.2750806895517,984.995344881711,995.7786723624016,1002.2568612291475,1002.3129833910933,996.503961035735,987.2988136851385,978.0477984225812,969.9034966435862,963.5728564927592,957.6032531052841,951.404959611433,944.128087466739,936.0295178853097,928.2065968830542,922.0787382959504,917.1327395664027,912.8432114728121,908.0595432835397,902.9839325924977,898.4445148659776,895.1009904010024,893.2529519587512,892.2367103227638,890.2254701161711,887.602538582989,885.1108602251346,885.3207504198849,891.1923343646295,905.4221859718054,928.9063428688819,959.6414865196326,991.5476042729805,1018.1157982299899,1034.4317920454473,1039.278475293931,1035.6633748170223,1026.2556516493296,1016.2090110704432,1008.2135179490735,1003.6687924899949,1002.7001457697982,1004.4791981889543,1008.5166335294548,1014.3404280198504,1021.8892848863151,1030.048181003389,1037.0771213507094,1041.6864695988324,1041.9452233455415,1039.88154788884,1036.6076581479222,1032.9538200260652,1029.2464053082083,1024.5640688630908,1017.1625462747089,1006.8098990106723,995.9424351086531,989.8330933594682,990.4730026090472,1001.6390410721763,1026.0150320887255,1063.4133518900273,1108.9129122961294,1155.3448124393942,1198.002969131342,1235.142789357026,1256.5339007877942,1268.440995271305,1284.769524623532,1319.9989519709627,1380.3357941240017,1458.47711350411,1531.115536288181,1652.8310800006573,827.5531811056844,909.1331758
15kg_10bpm,11CA,700.38107354,1235.5821712027378,1150.2321268429657,1088.5855584274036,1043.1110241957867,1010.2381500687201,991.9517005854259,998.4370989303364,1007.5142548270676,1016.2164538123474,1038.0721714697206,1087.3106400737965,1166.1926136188465,1259.3090033335081,1344.1082005489104,1400.8978771628342,1419.7261390005858,1405.6232408976782,1373.5109910492743,1340.341210673442,1321.3576798316417,1320.4713918180169,1333.0605050002812,1351.7124081540512,1369.0899348798391,1380.9120135178684,1385.9754406918432,1385.3960526958765,1381.1070841022488,1374.9872966685202,1361.9512614390237,1333.916788671828,1286.268983720349,1229.735772099734,1172.9471087895326,1127.372590405525,1090.5029642628058,1049.4172889392778,1000.9890338533522,948.913626936193,897.6154576558376,850.2519809945679,807.7709501235149,770.021297234799,733.3422457083577,692.9817285058812,649.5122161223117,605.7446568864505,566.6023745837037,535.4462268525823,513.00889448,496.84973053085236,484.0165472412354,472.9416816480942,463.7623853177187,457.947354183257,457.96005241196434,466.44506207132235,486.2729392792688,515.0225046353193,547.7490470772119,579.9188045291071,609.3002120514167,633.5934213703609,652.2304384806907,669.206328138567,692.3961367968359,723.7698333593078,764.6465052339983,810.6202304020545,854.5675267888033,892.4745840641783,918.8345553008317,932.3885031629485,935.9797132796222,936.4458563876688,942.2458221561506,960.8757250992769,994.8227501551046,1038.4293946008743,1079.6395140921147,1107.6073839649496,1115.5706030810256,1107.1240180618843,1091.9390520919374,1077.5835602375494,1068.9384116323772,1067.669904859329,1072.1536051489404,1082.5130213138048,1096.8343141625774,1111.3143152548078,1121.7664283724796,1128.805493642945,1135.289919696916,1146.1357648335945,1162.1109858698173,1177.2199937198995,1182.7372870457077,1170.6709242295894,1137.44844416
15kg_10bpm,12AB,475.6336556,991.6233869887091,914.3813831871433,830.6254193593891,761.107957313786,715.9895373817491,698.0823077943805,704.0947544903794,718.6688222925279,735.0946328927176,751.5208196980471,764.5697918085443,770.0970144845618,764.0974674849941,743.5805716690578,708.1651524377212,662.3274533718915,611.359233968032,560.6526147876486,517.3936165431263,484.05579097,460.0306625018261,443.9079564592051,432.17214449090505,421.1275010547869,407.9191307281959,391.45028328928476,372.13211566082765,355.46650536223416,347.530420167083,346.8659512590722,351.1173193368923,359.8530137088522,373.3491286179491,390.2558077498499,411.02409724818386,438.6780780712399,475.3864756983786,518.4959297367668,560.9967489017903,597.2898097,627.6686002357278,657.3059915134857,690.8964097024318,728.753378233265,766.7269170695188,797.2568957743023,814.9174227090853,823.4554037369927,832.3215192803743,851.715730971596,889.0027085061388,938.1169429862571,987.1826518431078,1026.559777539034,1055.5684893324528,1079.5108345979233,1103.5621272906967,1128.0156539984084,1148.985015425415,1161.9504351400003,1166.867457979463,1166.9651136136122,1170.6532680789844,1186.4509476512355,1212.532990914063,1228.064687004568,1229.165190760918,1220.9524793951161,1210.449590101849,1200.3280052569119,1190.8638971218643,1181.340330463667,1168.3844627296946,1150.8346044061443,1131.8170182778565,1117.3705803189534,1109.5321450985123,1107.6877785991628,1110.535632126042,1118.5135538700001,1136.0148494320406,1167.9121343520108,1211.6277188677084,1256.6769893398966,1286.3437677662807,1287.45532816368,1248.6800102897878,1178.2544343362822,1100.7472543996769,1044.2685815634316,1034.6016338316326,1087.2578191282016,1196.4073202057302,1333.2053035909014,1475.6637596814746,1560.4667658084445,1537.1892215491669,1434.7859537873724,1326.114229592105,1211.02066976
15kg_10bpm,12BC,698.07359502,681.5145978788048,677.2122689544135,683.3855019952748,694.8973128619145,723.3992031757712,916.4164504354545,1367.5481729780338,1262.371379090382,1137.7899351627939,1026.7958832132947,967.5699096558736,954.3270117639303,968.5317056783105,1001.5240018448802,1044.6559455354418,1085.5565274098499,1115.3858516832195,1132.8441634755695,1136.7487045389823,1135.3833670203733,1131.780818696399,1127.0744891023958,1121.0306038738768,1112.0002727540405,1097.57339901,1076.37583216052,1050.8704614071664,1023.2838441505573,997.6437216619859,976.9033029301505,962.8865619300452,956.4708127341304,956.8486332044133,959.8959144393676,959.360580314644,952.7964520177472,938.9636538183444,922.4231957062998,907.9495806270563,897.3588034195527,892.3519448908487,892.1991605364767,894.6893635442825,898.123535431082,900.5820748051697,903.4982640680204,907.2374204025031,912.7154123128568,920.2122150824988,930.6821784500003,940.9813831509044,950.0297676575027,958.4956456017893,968.476130325329,980.4871108014167,992.6931442215141,1001.4699243225558,1004.88776280273,1003.5361393361547,1000.3409248149983,998.804879293403,1001.0330648763169,1006.9017363264802,1015.1383439055529,1024.6209537404832,1034.1170893814415,1042.017181513615,1046.542444833448,1046.9132039760239,1042.920385908062,1036.9027301744068,1033.6973615567053,1035.9609467149141,1044.0093267379211,1055.01139174,1062.4496414411408,1060.0280108398124,1048.1937365091815,1026.6751688738982,999.1654956368155,972.9423011166557,956.2899847261541,957.6234758458465,982.046604980805,1031.1241676835318,1103.723530143781,1189.4045526754326,1273.0545157967942,1354.4010072502963,1399.1039650333962,1400.415340381998,1375.8794017165592,1343.184282962988,960.0544669545382,838.6949945495857,848.0392137313077,866.482101081305,871.0079194580337,856.5660288326914,825.30875109
15kg_10bpm,13AB,1076.50328474,1034.9785013571015,992.6043965555924,951.5385478595315,912.9741258509998,876.9406299566724,845.8268221169996,821.8185210533996,806.1700471687225,800.8232287476874,805.3831932134166,818.1327701778599,835.2360320977573,852.0595664332504,864.3426385824108,866.1454274308807,853.8115708119102,826.3584863881725,785.1102112978601,736.0672745118627,679.3471948778042,621.25128466477,567.132425075646,519.2755406148099,478.7556691459237,448.4497936496791,429.8593349993738,422.5320959596213,421.6385914349785,423.74668074415695,429.44966978418574,428.964474044502,423.2931588188877,417.50522482230053,417.3477389652666,426.9642903805412,446.2616164667337,470.0565391719584,490.85116048160546,503.7932903131302,508.8909539304381,511.689455387572,520.3922106014192,540.4028667523942,571.9264971773538,611.1685296830965,652.280449716394,692.889089522062,736.3840083807494,785.9909244547455,840.94996779037,899.6819684934255,956.472979968782,1005.9791041807457,1046.4946046605296,1080.9789256208,1108.5204885384167,1125.8698800969105,1136.1811119436388,1144.651369137003,1154.0765526845305,1163.1235685461918,1169.249416485256,1171.7767418835015,1173.0484389817725,1174.088473113139,1171.2956306965184,1165.0929444137453,1158.1519431401753,1153.0647512435785,1149.4853792890983,1145.6338172501407,1142.3340374945935,1153.4045669981358,1180.0531711789129,1194.9483788696375,1195.5905500459721,1188.3568437297424,1182.3857189487346,1181.891142356737,1182.4055959838365,1174.6863516670142,1151.5684940464917,1117.8887735526143,1089.7947285211483,1086.532758800957,1126.651279176551,1210.5420905957794,1319.9712496243235,1428.5645641530166,1498.373329650129,1499.0527712039961,1432.7923784157347,1345.1330593883686,1299.1053157435763,1325.011619274912,1422.3588894367372,1554.218561150771,1674.5891395817998,1717.7799559906277,800.25159899
15kg_10bpm,13BC,1424.54894823,1424.671322658988,1391.5034488546166,1337.0326857869975,1274.4050260994786,1212.4021571852202,1160.007105389815,1122.983654180681,1095.5374840791587,1081.5944312301326,1075.127110992286,1073.785615036072,1073.5775563053926,1073.872614708315,1074.582023853162,1074.9434067435848,1076.754635040108,1082.2984771057227,1091.9894267644609,1105.331503813334,1120.7500193777064,1135.3152720614335,1143.7101077610523,1141.176087651582,1124.6263439075565,1094.228786518333,1054.6673408624604,1013.3194185288693,977.8122229781718,952.4343399339887,936.7874149202116,929.3241390215971,926.2592933084851,924.9829890479281,923.2850600064319,919.1581880981323,911.3124762783832,899.0150372039924,881.4548340992537,861.1535491176965,839.8913510274784,820.7373796743203,805.3274901546569,796.2547466281704,794.6442363875697,799.5934373387655,810.9692174169172,825.5034472805739,840.5375379210717,853.8893471915326,864.7601217044897,872.4403129957368,877.7917039052123,883.5612840612099,891.4043342326516,903.2673868665432,919.3282509062168,939.3481380939868,959.4988587596965,977.9967921061959,993.6661094784558,1006.24436631201,1016.7515348756132,1024.5489157345282,1030.8988946254851,1038.4841919383914,1047.6893640831297,1057.1213066010616,1065.3274261541635,1072.5003246390795,1081.771712089602,1093.1063581964927,1106.2617779723155,1118.1440225904291,1125.8667266482253,1126.6472552605442,1119.3379003309815,1104.6287823445148,1085.3949062937033,1067.7643397698864,1058.4136953424259,1062.7728007306407,1082.6127851251842,1116.7197812617367,1162.305393248154,1215.5358612229231,1268.1034532874296,1313.5037116350306,1339.8101820462866,1333.1008209911338,1301.31395392801,1264.6843787183916,1245.2898570355742,1259.2480049281708,1311.8929015199453,1391.3930325452784,1474.2553562676442,1539.9001708079077,1549.4830946610734,1332.9725554722058,839.12572378
