cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,958.77023908,907.2018122233163,857.9033921870771,827.1761586883566,822.750997278354,845.3959293595569,876.1882478671922,906.5232593613187,924.17901108052,932.2121224790201,929.3150912649704,914.5395491927588,886.6842367245414,838.5493468303022,780.2123972544086,711.5142359532738,646.4733544784787,593.7890983282532,564.909394617616,543.8854903859126,502.97562558821454,464.479863912482,450.31746452354713,438.3494029381821,416.50502938031076,396.2438539798186,374.52067425977236,338.31970803833286,311.7127477454244,290.00692215305156,284.5085930427618,290.36651508037835,297.63279459574596,302.5009808096112,304.4338424578542,312.4208135769082,326.56505124068246,343.11199733909484,359.01612888631865,373.73496497287556,390.28323695661675,410.0856973371396,435.0121254295613,467.90061625957674,508.50737455929635,560.3337107719966,619.7918486589538,674.6673051887014,725.2723785265816,763.5148365960451,805.1151259800001,847.5797811838345,888.4893254138981,939.199821873311,980.2037786666825,1008.8960282903356,1030.981098982681,1061.2557388670443,1088.042155282325,1105.0461655015738,1120.9900413362946,1135.2147205638398,1149.2841958219146,1160.1195519011483,1154.3401824735322,1143.2463094769066,1125.0113354384341,1109.7979450355497,1093.2324040812557,1074.6784840485332,1065.4189704155265,1068.88149505162,1075.0436057482614,1083.548426610462,1077.767216365046,1066.8864363165455,1064.1623568280286,1067.206505199092,1070.2815766187875,1070.5933450477985,1066.1135563869373,1059.396897598106,1048.971848398696,1037.3694664767474,1032.9104679513896,1037.1771620013624,1050.1323201753726,1070.0976659988537,1095.7355956382494,1125.9076193525264,1172.1719617502022,1209.1809944447145,1232.1267592576303,1259.2685311168595,1289.7710390745042,1330.9797614352565,1319.1478935072364,1280.7104108869894,1260.3895034574725,984.9360552136404,982.76267288
7kg_10bpm,2AB,845.93212185,818.7335495612414,786.5196041360975,757.9326563798851,740.7280007119342,738.5909372954577,747.6279623038621,760.3502802887427,771.1926071817828,772.6936786460286,762.6052595314038,741.5681736798524,713.5632232527978,679.9255335221873,644.6031844001199,610.9636108544456,580.6864647671911,553.1201577182703,527.0971161096418,500.3836638723405,471.25677571199077,440.599538965879,410.2565740617922,381.8928135121366,357.44250165325593,338.3061784208573,324.2455736988776,313.70077416811296,303.3953265541141,291.35944993857754,276.92441814401917,260.0540037716248,247.60440414073946,240.37845526653206,239.2674836282382,248.63860828565214,268.77326192914364,297.65720129936744,332.7390276110089,371.10768100811,410.76563107015875,450.860794816041,491.32962913077534,532.1750705787017,573.8679203497901,614.1640467112923,652.6814621745336,686.8639783476531,717.9277985460444,749.199152180687,784.6467645691014,819.2629719724475,853.0960952657692,880.5727713597032,900.9157386238287,916.7785527886005,931.1877606246933,944.9542499865315,959.9020575647668,975.9488327625884,991.7483786346045,1006.0643345890885,1018.3871902746796,1027.0662351119204,1034.20415033251,1041.1128946334497,1048.9776193348448,1057.2785226210106,1062.8599169118638,1062.329275851383,1054.4150889094615,1040.5529670441767,1026.476573221832,1015.6933760823936,1010.5615190320591,1009.2810166027349,1008.1338052434974,1004.0655257119934,995.571642147269,980.2001199840145,957.6838422366169,929.272211592552,899.0830691800865,872.4267473557918,856.8358208330887,859.6122613061347,884.0834908134372,929.037369185348,985.4529106284715,1043.1477096044405,1093.3140639897824,1131.7519460268595,1154.173975805461,1143.9901644844906,863.178068407062,901.4562509002856,933.5784327298966,955.3761422864455,962.964974182462,959.0937469543056,945.51823357
7kg_10bpm,3AB,924.15064298,862.874661733205,801.0475681316075,749.7267470795725,717.3098006264594,708.6402877874104,719.8642720923657,740.2245921265705,759.9847556381965,770.8444661481894,767.0880056068413,747.6055895677617,714.8383707602533,674.2759923311787,631.387984200067,590.1997573558328,556.4606536976988,527.8840795237285,500.5062610640514,471.92484300405465,439.4448160471502,402.2939699696573,361.9560654131347,320.6806128516812,281.8914184553226,249.40094143675788,225.42878797689676,212.83489039129455,209.9622170232122,211.89766813870193,215.1126521771483,218.02101529017222,221.8628961928722,226.79706348891384,233.13229723126216,243.40342159866518,260.43642774672156,285.6700693971367,318.3135953797778,356.0486503219512,394.95732138076903,431.6659597097456,464.80850736131,495.81668028159606,528.0735319000802,564.4984788659847,605.4010667560542,649.4071242835962,694.051330918648,734.3778017899715,766.06539976,789.6311968282145,810.7296852068229,831.8838562821461,854.4101556471782,877.7432012287904,899.6040741702095,919.511668043802,937.4533102732335,957.2242618417812,978.8075203258454,999.563830455888,1016.1552156182776,1025.7553062242412,1027.997015089685,1025.129631048707,1019.4065821450017,1014.6461721748768,1011.10520307421,1006.6950479874578,1000.4266816895081,998.398973322914,1003.2655085487751,1015.1951262369906,1031.9914912924726,1050.6075385841573,1068.1488442439195,1081.5352080000366,1087.1090622453944,1086.1178267875432,1078.898122683535,1067.4790608793155,1053.0452648894054,1040.8880306211956,1033.4092263742828,1033.079730823927,1046.431264281799,1068.55042632991,1094.6920478896654,1118.7362562527067,1135.6973458822583,1144.3542773133604,1148.4421399907892,1155.9023390978846,1174.657548075274,1208.5828864064997,1254.9063470568578,1307.600615282644,1360.5324378228838,1401.9247944951303,1422.18768122
7kg_10bpm,4AB,977.61634927,919.6403535475541,859.7644294506454,809.5228178288942,777.9400833645022,768.9258400899937,780.782882906002,805.8824698213307,833.1415400732589,850.7660354523891,850.3998544919289,829.8638951169338,792.2125308373555,742.8753248056829,688.5985461851579,636.0717078915272,591.1907398209979,554.9873903309746,521.3161933590726,487.9101342343989,453.02316275420014,415.6983542378212,376.6775348606549,337.28645429039534,298.72334838844205,262.0639761347069,227.49881208775022,194.93424624616551,164.28646353202961,137.78134790166598,124.5377445466919,120.09110402465755,124.08061601512799,133.48754104754218,148.56085995430425,168.99112455601954,193.8429373109097,222.00259356200584,252.2586294870249,284.07350464701494,316.309879528451,348.59008239662234,380.9180620601965,413.1198307594816,444.8678261886287,475.69026424235113,505.43231622878886,534.467199905185,562.5514467604094,589.976326083819,618.7996757380271,650.5490320106707,683.8564714481454,715.7634751488454,745.9281997790043,777.3692511820308,810.8826026482589,849.1608010182864,890.3138145711999,930.3169246102077,966.4175431581172,997.4521868980372,1022.5691705873359,1042.7969703135234,1060.3985655806398,1078.1504730014967,1098.4305170669345,1119.9485458177405,1139.283143621205,1152.3811186149355,1154.0696941887386,1140.4775679425945,1110.1775408105466,1067.8673456137265,1023.9903491313818,989.2216061063717,967.1161619859122,957.8541321653521,958.9381201076598,965.2052177679685,970.9358084362337,971.916272572012,966.1027389201039,954.3972532782698,941.5060271938831,935.4936764468813,946.1849038252761,980.291007678007,1034.1143228544524,1092.6571069858828,1138.8759762044108,1170.991339012618,830.478627130383,812.0411450207554,789.9843424539257,787.6616141110632,806.2807598700311,843.342699212125,890.2567702286058,934.0430655562109,963.55180131
7kg_10bpm,5AB,884.96405543,829.5771497231868,772.2721180633401,723.222181146817,689.5535108017502,674.88865606,677.707125637694,689.9662211613892,702.4015159041838,706.825107422204,701.93939379,685.7024727958751,660.8809194311186,631.7042169617889,602.1436783492167,573.9089779799999,547.9587993070672,524.602551781342,504.06693434158086,485.5333176385626,469.14184140000003,451.0784802131797,427.3883996373613,397.6228683040507,363.34665997101933,327.6471995200001,294.0097011774483,264.43971416555956,239.558716933975,219.1502525737832,203.93825908000005,197.6750052708697,199.89749720569966,206.68962128549862,218.51451014218313,234.02588051,252.97853157716344,276.3348948915057,303.20332311978575,332.07238051691746,362.15428628000006,392.9965704239893,424.4539988174249,456.8859061605786,490.1622421698525,522.91135829,553.660024314086,582.3940954307046,610.34904932081,636.6281981209851,663.10517446,689.0145259416079,714.5581653558068,740.7631548488067,769.8311639399328,802.2363790100001,837.7386772246256,871.1827196947136,903.5152277689344,933.3772172607474,962.6935033499999,991.5669549310148,1019.3033197951281,1044.3817420586734,1063.6178158371592,1075.9452642699998,1082.4787361123645,1085.393118823768,1087.1441821649134,1089.3548249517648,1093.06640346,1097.2034438480596,1100.6880011397382,1102.3297370614878,1101.2221479570862,1097.1847845900002,1090.79686242473,1082.5808647737967,1072.8822092029382,1062.6204115604805,1052.8050026799997,1044.470949693957,1038.9154957596788,1037.5869048526088,1041.7113682967165,1050.7038238200003,1063.1031213904923,1077.1479394550029,1093.0174833398232,1110.8472594913,1132.36717876,1161.086017717223,1199.1513637974367,1253.160087307701,1312.2366077382057,1368.5638926599997,1413.1727885994326,1440.625512711956,1446.9543880462945,1429.1309458348483,1386.78754739
7kg_10bpm,6AB,953.1264646,883.1675670916583,809.4395937890193,743.938984541835,697.0125071642829,674.3771595365763,675.8785864661743,695.4156214687197,720.7583906988381,740.3259323259283,745.8695460303582,733.0333687461116,703.1702857583425,662.4579728330001,617.2245710416005,573.6753434487508,535.0178106054938,502.1652205812859,477.2481396561271,455.17319319129615,432.34681752447693,407.25486601616257,378.87902878219893,346.19680244482316,309.6221891746876,271.93408530177305,236.67753675155353,206.20066666340293,182.2468406564006,166.46846306844816,158.17657966186647,154.72958296249118,157.7120971582333,167.09400959533983,183.35778334785854,205.8894655221515,232.8654435622636,262.75634054878014,294.2687030932126,326.14145017280634,356.4842127374771,383.6306498227442,408.1609460928126,432.6860344057535,460.1350206903534,492.52114007886127,530.2696165317282,572.3267821005644,616.4948160244764,660.3831220416172,702.19625427,741.3995808797555,778.2359392638518,812.6731156919772,843.7775002087112,870.1929968549745,891.472583242249,909.4908766936514,925.944281538067,945.0151675271655,967.4799597462385,992.1434975868136,1014.6469910849842,1030.7810686514667,1037.93107130419,1035.9749325407097,1028.0454817556567,1018.6148146843835,1011.0724590593667,1008.29670526017,1011.8021691793601,1020.3131707198646,1030.7962411864191,1037.2335497869592,1035.4819398754448,1026.909467326252,1015.3062319061246,1004.6251662161869,999.4686684782329,1001.9922864579044,1012.2813653437208,1029.14526545401,1050.6578691545806,1074.8425448618466,1097.9317382631598,1115.4076776333577,1125.369943165365,1127.5803044019835,1123.1022839806453,1113.4751163833166,1102.626819941025,1089.7110554244514,1075.94565255382,1069.6667639589575,1071.0483412486967,1084.5495999454115,1110.59798349239,1151.9695206067836,1205.7289841068286,1264.7784401853696,1318.55994802
7kg_10bpm,7AB,897.85654338,839.0031730630044,783.249560040188,738.549238789977,712.3577048279301,706.5143812281932,717.6377631892437,738.1549034224524,756.9585009681988,764.6141881708551,752.9199370194766,723.5291352532234,681.883213587201,635.5276992070682,589.5431122904783,546.9964802258379,509.3951394929942,476.78572259656704,446.8412276906192,417.50151758405764,387.9507150320315,357.74428593924887,326.0307300129736,293.37589419511295,261.4584197600072,232.34564050539996,207.77549965866885,187.53448755506363,172.58446417465785,161.66820893150674,158.7252674585581,165.7064846803822,179.22372606292402,197.5229926633094,219.08286861492547,244.69224237713766,274.13736136763976,305.3957390313451,336.39545179535503,366.3126495154924,395.77637654680365,425.7990067884244,456.8735759703113,488.61162920419645,520.2516684633596,551.4383054812586,580.639778508131,609.1878929781396,640.3456354472688,676.2205077284063,715.1950108775404,753.3827785029288,789.3069102136436,819.2758205291861,844.1843554759972,866.4837934031654,888.2322614022447,911.5498720368362,935.8136147654521,958.8878610340458,978.5496102481587,993.4924033042555,1005.5712989473972,1014.8850892241328,1021.08237849193,1023.325165545188,1021.9304313340889,1018.3945394761055,1015.004720634496,1015.4704764505287,1022.6002565241972,1036.7813686867796,1055.5653762698034,1073.9764439559885,1086.6801888624207,1089.3285086973315,1082.1673137619166,1068.2430729504845,1050.2222773986248,1029.7727531919302,1009.2917386139967,990.5392906288674,975.4384268591459,965.5427430772991,962.5002243356483,969.2735372273411,991.40366941508,1021.762780128905,1052.322158891463,1072.5710335338704,1077.665317465285,1069.4818040073371,1050.8802010072295,1032.9000786773413,1028.9758914190427,1050.6692913347697,1102.575358130831,1182.1343494542589,1269.9785504522615,1340.1030968996338,1368.62485459
7kg_10bpm,8AB,940.82269129,870.8089644092164,796.4705618145866,726.8797398815598,674.8605479688591,648.9081462369883,648.1013737281887,664.057140125506,685.3653621765324,701.079895479277,705.7377341102982,697.1022231034922,674.8977630877326,641.9791854795793,602.6037351921939,560.994828921833,519.8525094000323,479.76672883710125,443.11468849098196,409.4167567022097,377.13030397098095,348.1037747921478,323.2420121207735,302.08209892540077,284.5086950663154,270.5585554554335,256.81911525453705,242.79042407191656,228.95617293129055,217.70600531447596,212.34984356559983,212.45488277445958,214.5051302139933,220.18378383025544,231.54366511631883,250.2087044169727,275.56612966864043,304.4876296925766,334.0216535207234,362.3498710649543,388.8067463790326,414.90219803682794,444.1013020438666,479.4504175594799,520.5048437971235,563.967172782419,606.236606258905,645.2320143730632,681.6750657699932,717.8731811544338,754.66588882,791.8112636523277,824.7435058872828,853.3955137372286,875.1558831993866,890.8495200308985,903.1048826151514,914.2846291889629,926.787669622573,940.3924682163721,956.4633050521545,972.5468342893937,986.8955606376377,999.0592424809455,1008.5813063069816,1014.2590683044102,1015.0664770645816,1013.4698978452008,1011.836385014669,1010.9309638892262,1009.7545864191317,1008.7036305813066,1010.1939529768615,1016.1040888409459,1025.5266294636708,1037.206375749553,1047.5080846964906,1051.6540338745174,1047.4555208467934,1035.41936929122,1018.2314011737369,999.0897943045605,980.0565622476098,962.8675827344067,950.4448776646933,946.3057360088668,953.8128329521841,974.8119658064468,1006.7778095050586,1042.8386368935642,1074.5068709729098,1092.82320994227,1093.7052273730897,1084.324627816377,1076.2167221622074,1078.8885157558466,1103.3234338028935,1156.469051696377,1225.9137977276228,1291.056253676209,1329.12791852
7kg_10bpm,10AB,868.78563795,812.7699964775531,741.9284983460664,674.8259043979572,626.7009642518158,606.4192092069125,610.2305221244861,626.5207062145203,642.0926063041638,646.3569962637642,637.0792307679156,614.447535948039,581.1136355640176,539.8699430452158,495.37733852627304,453.62298599811425,417.5092854508232,387.66269619885645,362.1171159742675,340.003436807434,318.14561825793857,297.0524793444521,278.22643423394544,261.8140246901239,251.4091621590417,252.5357354043505,261.65947721723865,276.5757973522495,294.93168916728524,312.91209709573064,327.05251942928646,336.75576086121896,343.39084543633777,348.8158954182061,355.1547741096699,363.77549687072656,374.99358572127807,388.48213514681294,403.50308364261326,417.9718763555862,430.3770828800388,441.1490825840914,452.4717828854899,465.61823444956275,482.58926363095077,505.35790208485395,533.8845038005312,566.6961955254066,603.0335479887724,644.4857496489149,689.14557708,731.779414070183,768.481829190872,799.0581906572594,828.8333598397846,864.2317058056635,904.6606556737229,942.5918722086052,969.7049615508098,983.2374385305045,990.0990034708574,994.6997543513277,1001.6370149461359,1015.9565983005696,1043.612869492694,1074.2773626157639,1080.0387184462502,1040.7220165972576,962.1884325096602,873.8428609051643,819.5554901258821,827.6807769657618,895.1342497413816,982.0310554254623,1032.544362858881,1016.799196813027,961.4295316658347,912.573559937688,905.3495951433682,935.6427398468004,980.0881009334817,1006.8341926132313,1000.2342743767441,969.9391935731161,933.7533100793147,909.3623011231855,901.1928068219621,912.1019595969475,935.2642391375085,959.2568671655549,978.9926272914868,994.0695314511247,1008.4271016597028,1025.8689245412083,1045.619786614167,1062.4406310863067,1072.2425513469518,1069.396012248801,1063.7728735487942,1059.2099970287568,709.36063348
7kg_10bpm,11AB,857.1804721,776.6553208174007,693.4968329849661,636.84463543187,620.4338604784999,636.2215933220263,662.6779870041897,677.3501002504173,670.7521869991623,647.9254093861034,618.4477513502055,589.3312928816052,563.0755757527598,536.0624926228357,501.308891519212,454.6215547134798,398.6680637331504,341.8213502512387,289.762949433404,248.8166374437356,223.47824784,213.92486015894812,215.7100322349772,222.3956451428455,229.0438990469787,233.30099999733935,234.17937409788505,235.52140710919127,243.7667633788235,261.74453306870686,287.07931693462075,314.65350705370145,338.60295304509305,356.16144524585684,370.10112990445384,384.33151127682976,402.18693961996075,424.54574875934384,450.81208675679363,479.8902397873831,511.94404600999997,547.5282267578418,586.3385565258214,628.7636497279733,672.5304989718659,715.6769038427644,757.4115691540464,795.2437981252925,827.4816309803465,857.5459869418904,885.6923666650363,911.1639974628222,935.9809844587492,960.7380172800903,981.5448765316067,994.4660427024269,998.592884663336,999.1976552225079,1001.6491047218359,1010.8206391737752,1023.75810028,1031.5428508395082,1029.2514130013533,1006.5056737910168,955.6147962366276,881.3438229160574,804.9596701744134,758.7671891809442,780.5678343747934,868.2218943380911,969.3621493184689,1030.2576513029903,1038.9015740925834,1001.12125905534,949.6732748573511,916.2230096412235,903.5173305621407,905.525122443178,913.4645557174856,922.1205520148396,931.6799190500001,944.9182752493882,963.5449808614396,983.1537942532045,996.9157044301398,998.9727544512197,986.8076359620823,970.1443870961539,953.6841539168795,939.9347709799662,929.0447051360976,925.2268116856743,928.2557080890191,934.4518556012778,946.4616873119193,962.741685651846,984.2490289233755,1010.100145608288,1045.3788444880379,1086.3902777505941,1122.7944779
