cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,1184.55420511,1162.1695916643607,1114.9140092239015,1056.8355115065663,1007.3248584666679,978.7510440500001,961.9187944027144,954.4878493801012,954.3338301269811,956.7679221911152,956.02178017,946.543359901728,925.6308590356807,894.1232402092812,855.534203723541,816.3231335599999,779.7251202117448,748.6802296142831,724.7858360503218,709.3268686484589,702.0486839800001,700.6568172866967,702.2470250633178,706.3967255104557,711.2057148831929,714.7098228100001,716.4875859014686,717.5387379017359,718.7791487356801,720.4798272680309,722.9429278599999,726.5591214582197,731.567788400852,738.1059899901182,746.1020784440775,754.06337722,759.6813558213889,762.0016648192925,761.0853406549722,755.3291199708777,748.2697086399999,741.1991255160021,736.044048780087,733.6050150637665,733.4642762061317,734.7021302,736.3491301082852,737.957530706017,739.1429208711361,741.1473213681958,745.9701278,753.8618614507333,763.6962226656004,774.1098302427581,784.2932146609525,793.42807011,801.874875365596,809.9963970075399,819.0517839145336,828.7112519141039,839.97658065,851.5296005198231,861.612362333977,867.9466383990363,868.696823410415,866.2427062000002,862.6983322854595,860.4049294549886,860.3362956406498,861.8533102338849,864.3856280399999,867.361031618588,869.6742360748036,869.663654921933,865.36643070389,857.2321118,845.7421079319491,832.8203082896321,817.3685390734424,801.2142166314292,785.0041639,768.548275719291,753.5584784394018,741.5460907214358,736.1159675362541,741.63317054,761.8219478369432,798.8177886081262,851.4738552006921,914.7408027011899,980.40270627,1038.3435135918364,1079.6021725634052,1099.2869510036526,1095.9242935346858,1076.57109671,1049.1352113580494,1021.2753793587054,1032.799096675029,718.7451437834466,762.12604816
7kg_10bpm,2BC,1039.94732657,1012.7834536149544,988.8413525309006,974.4943217931926,967.6714258270906,970.3170862377834,980.3347203345926,994.8824448010936,1009.3514137618217,1020.3552767599507,1025.1496215203827,1021.9156915333086,1010.3597640978447,991.0667313231436,965.6059014322981,934.9358359089872,900.1333375431974,863.3114058624691,826.8059433692747,793.7543842679818,766.2074676499999,744.7908214741879,729.7631657336572,719.0663575674515,711.8064733449053,705.355128689819,699.0516625062767,691.5709699763017,681.6353815884189,669.5635842763127,656.8250897613116,645.0372564138521,635.0755250746209,628.0146877799314,624.8372653349672,626.0056627669007,631.195277231675,638.9166669172654,647.2083497983352,654.1275258665539,658.1125077699999,658.6312584605686,656.4841926261765,653.2131684634835,650.2503028866157,649.0132964147696,650.0674857923166,653.2103140941837,657.9033834756023,663.0609782895788,667.556053232959,672.4226868293857,678.9579039318921,687.9323086643079,699.8207771504053,714.2367011855201,730.2633326408858,746.3584966001122,762.1522727971528,777.1840225113949,792.01251318,806.1009778215954,818.7918909087633,828.6710205107541,836.3111594904972,842.7371566658999,849.1569391349615,856.8495504229209,865.077832701517,872.7712480562207,879.7485474948089,885.343484469719,888.8654052727546,889.4390664507147,886.1889704245872,880.6636850734428,874.5263197715817,868.6847028656252,863.5734990853396,859.104358543963,854.96351139,853.1618902266844,855.4498082213006,863.6435773503686,876.588718856386,892.5306298893088,909.0948940873134,923.307745844918,933.4135865592386,939.8345267309222,944.7792522086048,952.1452954970931,966.0010901236532,988.6184192811781,1020.5727105669947,1059.9267044160665,1101.0249881211776,1140.9391161302901,1175.8124414888453,1037.1569071457354,898.24894125
7kg_10bpm,3BC,1163.18719929,1128.2873386399456,1084.3924235664367,1041.1380681488424,1008.5398137304632,989.959455756117,981.5924382042673,981.1510473405683,986.1275764629537,993.1490630752206,997.2398048935111,993.0777422437541,977.7651552037762,953.1364540671555,922.8537207209708,891.1581531189772,861.9482083236853,837.7307366640306,817.371096993986,800.4897356133946,786.7401571479497,775.0138486926526,765.47759856058,756.9689849456216,748.056997168419,736.7919007310741,722.8667757525516,704.8278024101145,685.5170053477732,666.7225036443383,650.6939406779995,638.6964366161787,631.1453674434703,628.5015646019671,629.5488559462187,632.848309431234,636.5211970228745,638.260911152806,637.5340111727367,634.5780228624446,630.3652996670511,625.3262231043332,621.2828617586302,618.5415202218024,617.7583604915219,620.5667485673407,627.7375257550528,637.8944382630085,650.429380107647,663.8443447210565,677.686339718414,692.4411716476205,708.5688289153218,725.5677022373147,742.8504616010426,759.1686035586736,774.608489596569,788.8567796897979,800.8533023227436,810.3317657011892,816.6531420980846,820.3090965562327,822.1203977418481,822.9962058568893,824.032583692415,825.0408423614167,826.0229132594817,826.9579584277323,827.5230457535183,828.5215575659965,829.244728630062,829.3706271366016,828.389308999088,826.4217230356455,823.246695668469,819.2835320484963,815.9246619138047,815.7668844979794,821.2361593229358,832.763949909055,851.1471526754138,874.6933537005525,901.6903949095639,929.1720256435242,953.4591342112568,971.8611953445348,982.8358602594024,986.2604134896098,983.9904680434126,979.8311399725538,979.003897550082,986.7302860558209,1009.7227857477712,1053.358231897747,1113.0111518079595,1182.2292096155907,1245.8023095397657,1101.4452901490436,964.8638420108133,978.0727431863977,983.61449958
7kg_10bpm,4BC,1116.40764544,1066.0032321168958,1005.2322536286233,963.2277991954339,943.3900874824585,938.2910444450586,946.4608836981279,963.6849294971017,983.8296094377354,1000.3915038836532,1008.0918857569683,1004.5664124486508,990.1722810050271,966.7166558529196,937.6076705733389,904.3244404812655,869.395613180678,835.5590228552569,804.2918019649923,778.3011281213545,758.6782514815807,746.2118426429035,738.5902163776873,732.6896529277041,727.5073002371994,721.9062370554238,714.1983462156502,704.0720913282864,690.0630013984767,673.2559946420645,657.6663081475156,647.036003630578,642.3259459017272,643.8712441655613,649.2064323431513,656.1445196109629,662.0676606569152,664.9325118760349,664.38242978021,661.0556086244345,656.1910460073758,651.5633711693883,647.9767031930846,643.7678664547942,637.0287578636392,625.5320345065659,609.3637505926639,590.8014404536302,573.97446544752,562.41937954445,561.0997650622891,569.2160922095441,585.992395921484,609.7698242278781,638.2453035717207,667.1880596819724,695.331383429305,722.0159858550116,747.0383263156194,771.3058374563687,794.8494030097394,818.0488933675118,839.2846242830093,856.3246032642774,868.9761902547687,878.4057566899739,885.0000635488155,888.7308636017071,889.7524292353937,887.9265444625153,885.8051119530711,883.8872464903889,882.3592448811299,880.2818056811552,876.7391797579991,870.531713449931,861.848889395316,852.513897300208,841.8982696766512,831.6333934552268,823.1048661094482,818.2879166405735,819.5208019347533,828.1074259108274,844.9529613318291,868.1624346069698,895.0625868364185,921.1541264463768,942.8804355279459,959.45998007931,973.1645650403882,988.8916687002571,1011.6190916291819,1047.168305111049,1102.1015394790536,1170.8876262134252,1245.8880573166036,1301.7886913780972,1347.661753510555,973.777556910275,1030.37372098
7kg_10bpm,5BC,1128.25485961,1094.9733558284354,1044.0964107176617,991.4662898732853,950.0851415246864,921.205327363776,906.3764569218281,907.0534542329448,920.5608270837643,940.7545280571275,961.0538719292055,974.9859903895253,977.5898697784155,966.7553620617985,943.9884805241385,914.4839883118592,883.6767918572123,855.9242507299734,833.6295054755642,816.7664378161081,802.2072765780648,788.8265187642972,775.0838691525685,760.8356373880779,745.1536729706621,730.7819582246689,719.4183638522574,714.6514612418988,713.4210616141875,712.673035681231,709.9490532605802,704.6388393879217,698.8461262635584,694.2682407578977,692.2085669019548,693.8751610640887,696.4791690234241,698.6817204958484,699.1255450349215,696.9850638950369,692.6030646284021,686.5966632032913,679.6138857188548,673.0713670575805,666.7548644538311,662.6352266916986,659.2735947561032,656.7612809599683,656.369682577689,658.8276812500737,664.3929847039858,672.914445158366,683.6830329126986,695.9793375476022,709.067677602068,722.3863611560745,735.6303433058071,748.3614423196925,759.7649918892357,769.295504556853,777.0627861034088,782.7410066996741,785.629376429318,786.4263568933378,788.0487324272495,792.6039881729876,801.4949062938895,814.145760731064,828.3097109030014,841.1287743553129,850.0176637984279,852.7026297469598,848.0443848997588,836.5731455721443,821.8542044188215,808.402434749909,800.2455374079909,798.9393777081909,803.736859836045,813.0279579511886,825.3649689770305,840.1051698959624,859.2065150959472,883.1857945578081,914.1654261023723,952.7165492976155,997.0825369731081,1044.136553987146,1088.2949135816823,1134.616267356929,1179.5658734816377,1214.8379516566572,1241.4615776871522,1257.4788179362567,1303.8878338690522,939.398143498292,1007.3768965122177,1025.3376104325187,1022.5936507831149,999.8519459911207,961.42973966
7kg_10bpm,6BC,1193.19804863,1174.7833270330932,1122.3310914150904,1052.108038944276,998.7186761011078,965.5976480859762,942.9041195116873,934.4487972119138,938.2432677472665,947.6861650575854,954.9575236248938,954.4681306299187,944.2568494066367,926.8516349293313,906.6090719638428,886.6277622027538,870.0653290376954,853.3264690036866,834.3771709971938,811.7909162436656,785.4690289049051,759.0931643773973,737.1204537213885,721.635407852421,712.3901177751438,706.42117133,702.08293621545,696.2866972804609,687.4010711697013,675.6885089777376,662.8626965320339,652.0430565207573,645.2878434405478,643.2647379990495,646.884998995341,653.0411960695045,659.9691209750625,665.1191264406432,666.6141542669552,663.4112996819988,655.022772130623,642.6879995685554,628.8859593131352,616.4509407676405,608.0371371682564,604.990221205077,606.6162607626698,611.4971677911477,619.1605192734384,630.0567672337233,644.13015534,660.697456351812,677.7628820783956,694.6750571723702,709.889896562213,722.7173434636948,734.1106750090314,745.5503728907624,757.7339889992915,771.0203916844736,785.8807292813132,803.6994985936949,822.8101613583243,845.7188858336281,868.7171622831322,889.5136056226851,905.5923707934014,917.2643481022974,924.5170925864351,928.7280332656743,931.5878706421308,933.4747123249072,933.7738131711502,930.8629467152474,923.7273492278285,912.0018902,897.0384267684882,881.0878975525251,865.5560720431513,852.9660330388565,847.1711844919196,850.4917546481183,862.9702649793309,883.4839942766691,910.0369165460894,939.0441629790879,966.9402876773835,989.0442540010001,1002.0002303376684,1006.1666884962056,1004.8467116711471,1004.2752336278857,1012.4626374902018,1035.2767120801832,1077.2901707065466,1135.6952373805166,1194.7394497262085,1167.896994852659,945.7793590741736,974.375812451085,989.05152835
7kg_10bpm,7BC,1197.38275627,1147.5484074171638,1070.8477370195233,989.5723292856176,936.3953967852746,906.274757057679,899.7340389322304,912.6476244978487,934.0974717148113,951.8375356776307,957.6829433104688,949.1551952632551,930.3060250771487,907.6498229864853,886.3099350194345,867.9109858834925,851.6180223395836,834.8046789770251,814.784056782187,792.3808849967306,769.55058862,747.4593470668837,728.0839669962492,711.7269854361218,697.168125179939,682.6100754035872,668.1798393019445,656.1774059983305,649.6123833500925,651.5456020985746,662.353160297137,678.8161487054265,697.2776300072118,711.3666717551865,718.2227252500086,718.4094773346342,714.3972316705107,709.0587637898191,704.0999927220627,700.2652713145486,697.97792818,697.1011967893915,698.852698331833,703.5462205990486,709.789460065185,715.0939988611294,717.4717382264157,717.0292330295143,715.8906360797974,716.666707754858,721.2812375931879,730.0060116622458,741.8413670689824,751.0162279142295,755.31179036959,754.7291920959759,752.6486011415225,752.2279498466525,757.2480279364507,768.2192675488996,784.33968634,803.7590591931154,823.5954844108577,840.9249135242072,854.5471276646497,864.350893478004,869.8873868406723,872.4497019437301,870.2552496961903,865.9499414949216,861.6698390830451,857.7993188199324,854.9965863981135,853.4000991300959,853.8403780967633,855.9905066036065,858.4104942288802,858.5321904688019,854.5162639127526,846.2940918934509,835.1036994699999,824.7811337384074,819.7086153179674,825.018334117033,844.5080738325154,876.4888153507115,916.0997772934822,956.0008195017418,989.8330924538585,1012.6333567222692,1022.5414770139936,1023.2008517477935,1015.0326414354652,914.4657320397174,795.4788264255237,819.9946996541747,859.4495332255494,902.8296352923388,943.1741251840509,970.2028061268653,974.96044749
7kg_10bpm,8BC,1114.93538895,1085.0355315862755,1039.8426266230417,994.7496429857368,964.3239691887137,950.6645423412903,951.6790382456084,964.1818771469573,980.6872765219479,991.6461727881962,990.5710864281156,974.6014283127041,945.4118102199359,909.0621897151614,873.5359158015343,844.1514940969693,820.5209616301086,800.4225952922137,782.9984396295209,769.401564230978,759.9724331289101,753.5756187976785,746.2174873974028,733.9397688701852,715.0881413054674,691.4134100086853,667.4218629628996,648.3419508517053,638.6069815699636,640.0355156951082,650.3646157410296,664.059396035603,676.1066138175993,681.7336210748693,679.0205508276009,670.6561024893211,662.0157773509566,657.4554365846654,661.0071952726987,669.7186900520016,679.4600335730775,687.4654235418175,692.7196974404453,696.4124377195934,699.4894118673134,701.7656067209714,702.6824111748001,702.260313569843,700.8902953273978,699.3100638569463,698.4498242081063,699.6985139478527,704.1553514439138,710.3691123211037,715.504788993651,718.8027669728525,722.2916273245962,728.8529030908372,740.0899851407346,755.2247593348269,772.4864695775002,790.1858512520884,806.5206220883318,819.7405395267333,831.2899472530404,842.8972492667359,857.2712109362609,875.0786525465362,896.0977709109611,919.1984846175884,938.4377424506971,948.3377463230536,947.171635969815,935.2101486993407,916.315356879705,897.3005853353401,879.0100613142532,862.0141820177807,845.6209362385621,830.442577424271,818.0788420194734,809.6935713164769,808.2535952708921,815.2055869921035,830.8953825709763,853.144179719493,878.6664153306835,903.257637259222,924.5727531543067,942.1762665977537,957.9430868339886,974.1891023886747,992.5551244242889,1014.0430776123544,1039.1388235207826,1067.077796106098,1096.2115326629228,1124.8467112628052,1160.0063762000418,1207.634642991336,911.78618461
7kg_10bpm,9BC,1051.91920084,1010.686078439209,972.2357801686994,941.9109340566572,924.6054580811872,920.70880904,923.8549656036479,927.9022123913408,930.6272486095846,929.0269476777252,920.6598622999999,903.8967954968598,880.7625912936543,856.3322887365805,835.9938057434202,821.7976978100002,813.114621931122,807.4077485008401,800.7406566074286,793.7897891185299,786.4155364400001,778.7888387405134,771.8686551719845,763.8285328189844,753.359527595928,741.45750069,730.5628482925262,722.6258184670077,716.9244415947929,711.7708906708298,707.48277777,706.545014686771,710.88293632821,719.761340726054,729.7725607359818,738.45718769,743.7277748923333,745.000919173442,743.2804506803001,739.6975694335981,734.75481744,728.5648019116755,721.6511773019848,715.8806515000304,712.8053443627449,713.26041545,716.174976603815,718.9019416707237,718.7807639705146,714.9459907364775,709.7885087099999,707.7632939077596,713.0935447136477,726.4097761211706,744.3846865115728,761.93241774,774.9168217169008,782.9560913881919,787.5209507329569,791.2836748295846,794.6149886799999,798.4553801646088,804.6462852623074,813.1643126397532,822.6691639669267,832.0730445699999,841.8855355737852,849.9225196013268,856.456934534739,859.0327380308742,858.18632573,854.1725071475355,848.6669047955346,843.924265186815,839.1439758696608,836.7849263999999,837.4529217957208,839.4370357255092,838.2301208587179,831.7044704406733,820.3664368299999,808.5861674998641,801.8297979877732,803.9123816313086,817.8899165443743,842.9946200399997,875.3365599782923,907.2033136363208,932.0333711386675,945.3904374362462,946.8862700799999,941.1327177437367,934.0753275140943,934.4388726158147,950.5850708366199,987.98076708,1046.0877932573771,1112.5696549940044,1175.0408304360699,1213.9541032136551,1201.99177431
7kg_10bpm,10BC,1098.46822621,1031.3029631728111,964.1951374135883,919.4906808027711,898.2697372528742,899.198966508218,916.3606862568456,937.4283108068365,950.80548962752,949.3435772315901,932.7272093944192,907.2337447960829,880.413656584343,856.4000727269251,837.6707842880317,823.0190079770147,810.5371509465612,797.4887497848108,781.5531277799083,760.0352244710982,735.9016847038434,709.9638997935698,689.0761106751559,676.1839810599662,672.2760250403956,673.9491691529159,678.684786425272,683.8888093748062,688.7411712823625,692.8067004810777,695.8064218638058,697.8442704851276,699.0102969233354,699.0210452586495,697.313032086109,694.0346350004968,690.2706722331915,687.2223801478239,685.5971760632743,684.7266684238589,684.2047693949138,684.2727966156335,684.3167753951943,683.7921590683619,683.2960490260492,682.9316914268982,682.2801959224308,683.1501161925429,686.0093416392626,690.4061419796185,696.173359518378,703.3576944478087,710.8278650047084,720.1609984623578,731.5187969508269,742.9851533914294,752.8751917731435,761.6326194730107,771.6329409397896,783.1965458257307,796.9236605061824,812.9806506285157,830.0427619165744,846.4634018149281,858.1263655225517,864.7233780365599,866.3962190319986,865.1647287057683,862.7208160527159,860.3526875510954,858.7251700509619,857.196475081265,854.2290906862647,852.6476091602742,853.5131469081572,856.1447262237728,858.3000259426102,857.8852712596583,853.2010865838309,843.9864016035159,833.5433081155766,826.2974955841227,824.3670735593383,828.531624376852,839.7590296937411,857.8833967696947,881.6824116127246,908.4621348701897,935.3528321788962,958.6525906797042,975.2064200303436,984.215998707834,990.6130675659334,999.8855797451687,1017.6573761462154,1046.3920954998212,1082.762390400648,1115.130659767849,1151.1409698927778,848.6423064710549,862.84007031
