cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,1164.20737931,1117.4613455417748,1076.146940872427,1053.342466315753,1056.5598298967757,1085.1284412998923,1128.9754424933535,1169.7632297558775,1202.768817110951,1221.7041055795657,1227.3207336660155,1222.5841586193571,1214.6217476687978,1206.3056230868035,1198.4328240845923,1195.292146724372,1188.4984465204118,1175.7278731907984,1153.972234443285,1126.5834655014298,1097.0354041638927,1069.023372807157,1043.5128051974625,1017.610121038065,988.2386305403722,950.219108240459,901.6824763518732,842.1097025286282,773.9696939935096,700.7380292096468,627.716871101164,560.184775272885,501.5803574215774,452.1084079242243,410.1695989219585,372.44506032414154,336.75797741413544,303.83667975139366,274.6278694270555,249.17056948479558,227.5011466300623,209.50238658655277,195.06135021273275,183.51316731563293,173.77436544254857,164.34068174627933,154.71504926500526,147.2284880563278,145.41462881704638,151.77010372900386,167.12102864879964,190.24063966384378,218.24331359843634,249.86137691494872,279.9618644039516,308.3565087059061,336.0735276242313,364.2158034546017,393.4316181336801,423.2182606252693,452.6955213571948,481.3106575713722,508.3120371246882,533.5230566458608,557.1918405861658,579.0043646156789,598.1318436079267,615.5457436964383,632.7399919197293,651.5546653330724,671.1127474038315,688.4950333034914,701.4975388463254,710.0629421895967,715.2121801675138,721.1713388026387,730.7599617365705,745.4004671956377,765.2329440385771,786.0247247302475,806.3517794546314,821.3907815703378,826.2908354174062,819.5896104668146,806.2512563488442,787.7387135249423,772.5392131997941,766.3297330827232,772.2589353208422,789.2607355881713,813.0608624385605,837.339542534242,857.2676425125929,874.1457940023365,905.4423662527182,572.9148812915084,573.4534268490992,566.9073234115099,561.3023410827986,546.0157900513466,519.72062419
7kg_10bpm,3CA,1205.76804166,1188.1247282162092,1164.9185495189283,1147.5498922590427,1141.705606067353,1151.924439434978,1173.8070205503197,1197.9721198509606,1216.8129799789979,1224.8104600124968,1218.541337864331,1202.3960654875339,1182.041101425643,1165.2631091954597,1155.4628015788696,1153.174477346218,1156.7608653661725,1162.4553253946453,1165.6248209061227,1163.3190798990515,1154.4545338639603,1137.8140975261954,1112.5681257221452,1076.9374249695818,1032.3570595719416,981.0274231206549,926.390924729985,870.5642561316139,816.075690847559,764.1550241281666,715.6428796044636,669.8282829377151,625.3746011993805,580.5979671172122,535.4399286428566,490.997365302183,448.9462963442162,410.2713964099484,375.66142937792813,345.47317218661857,319.72691346385295,298.08551911359336,280.10602134441075,265.23258675612436,252.15152078500373,240.02593784772384,228.86577975583697,219.0243279099275,210.86091751710333,204.23416231295397,198.97792661,194.9613767280179,192.50634020822514,192.35197557672498,195.52925032784555,203.09794721865848,215.68876654025289,233.0711922138564,254.18623116580338,278.42868636960446,304.0741882236481,331.1099196995524,358.61938047045146,386.3570082606022,413.798939693835,440.5447075694612,466.71995168554827,492.5196559669613,517.8760885108883,542.8532709474914,566.9460361494648,589.7641128763065,611.4759726796184,632.5956992139589,653.9039344840761,676.4696638136189,699.4901801980803,722.0782113681612,742.0063798158526,757.7880468738613,768.3042022171545,774.2236105247435,775.659108711825,773.6209092075474,769.1518739243182,764.2741766227963,761.6605694928365,763.8356872795887,771.8780925144705,786.8395295882907,806.7129955571556,829.2045315102698,850.0058116502114,867.8850062792661,877.9838543145836,881.7056420638933,881.7402650622009,663.2035454632949,551.2482774243812,536.6065573991601,525.20268574
7kg_10bpm,5CA,1101.71357004,1080.9051276707746,1049.9563132066119,1029.6135330845295,1036.637174971684,1061.2800683945818,1099.6089618861704,1140.2371587968419,1183.3319069780123,1220.381206934353,1242.1668208421088,1245.7908166766213,1233.009375264916,1210.4705904588864,1181.9609244240642,1157.5174751490604,1140.0764508427897,1127.4229751782646,1111.4114574219916,1084.7574557009532,1040.324705995701,980.4734176491656,912.047282599328,840.9059225416456,774.1356444347296,720.3593254166766,684.0673024994161,662.2004105418986,644.9423387243747,623.1881330985225,592.4645127574804,550.6480535315513,500.37146381327153,447.80912007468936,399.9506285538409,362.5949258091515,337.25416507685884,321.3050541673366,310.1677719736634,299.690648304104,287.3727892572108,272.56570963062404,255.5868505244603,239.06775136642275,226.32434608116637,219.72979688987357,219.57276120826072,224.44649514994964,232.19840568567898,241.2035086590294,250.99474322,262.1432630254741,275.3400367606565,290.9469569806913,308.7279384079774,328.5032366722041,348.69823917433587,370.6475721277801,393.90992866088845,417.67686205095964,440.4675416696503,460.56970062077454,477.28265891789397,491.0449748334413,503.8099807027029,518.7975465513131,538.7972539009115,564.4241715056675,593.1318014478694,620.4283862129188,641.8675565087472,654.5195234851309,656.9852696584029,651.4455763745716,642.393336008279,635.0308199314867,633.6765888923921,640.467874033958,654.5473187820367,672.3623426623586,686.6408941148811,692.6114671724255,690.1268837026087,680.1290978180355,665.609823090653,649.8915014138234,637.6996042748519,630.4503917787924,629.9765828677009,636.957080114159,652.5115235388387,675.2623229227527,701.9479601276839,729.2170702561446,754.36893956917,773.1879449352365,782.9551210082876,781.7000128105772,767.4070999077146,737.9684033170959,690.34701644
7kg_10bpm,6CA,1152.5962222,1113.5727999718565,1069.0467854740682,1034.3467083957237,1021.3866020652365,1034.5017065256236,1069.5005942132095,1114.4290283731743,1155.3829608238852,1186.5835269416764,1202.6861555405067,1207.8500221468737,1209.3225013361837,1208.9841312612598,1209.9177961143873,1207.6881956150157,1200.719594570032,1187.0062850054967,1166.8752468220152,1143.4086759006093,1115.681914951407,1082.4856708647844,1044.9886233663772,1000.9235258618802,951.2795767561087,897.4096219899999,843.9812423400911,795.802377512765,754.1256383429183,716.4447397845562,679.3737264623495,639.6656474239805,595.5226031544162,546.8246579430073,495.16212848009,442.8951340154455,392.6613553216257,347.0899559225444,309.2234551674244,281.224751112637,263.93031387743457,255.1835093844259,250.20546021942226,244.07354532094402,233.96948846807965,221.08158645219143,207.73147474601586,196.05903163298464,187.94322911446744,184.7587792670444,187.35969574,195.78336993054478,209.1600508530558,225.97942008770917,244.7319149280879,264.2116971662998,285.01104958333286,308.4254121420446,332.41375648172533,358.16077414433744,385.70353097491835,414.15963887836784,441.8729089939181,467.0113827112543,488.64590537184404,506.82828279818705,522.3411597800931,536.6908504308628,551.6866325307611,568.3098669879081,585.9245492895097,603.7004887863478,620.9794957708042,638.9080511846744,657.1237011985401,674.29999401,688.4307326968196,696.9901779640855,697.4798304976815,688.9636812968058,673.0284588433037,653.5728793377122,635.7698210957986,623.9490245227247,620.184034457838,624.8686271903091,636.0042968798112,651.9182189114224,668.9957180557766,684.635335277001,696.0068014873273,701.8668117229363,701.4890306284748,696.8058556392092,691.2217634547276,688.1171642541128,689.0866458125194,693.3072178578528,696.0994776189403,691.5295892784815,674.10290498
7kg_10bpm,7CA,877.80038534,1169.6642484126417,1135.223200092685,1083.9822075171628,1038.169920559752,1016.0859015880363,1017.9431751102901,1043.3322642975786,1078.995005399582,1117.0406714641258,1145.292296955559,1154.3694440227473,1143.882659827537,1123.9515735134485,1101.5725215000884,1076.3097596862974,1043.8024699896473,1003.1494603053424,959.5471838271093,923.1387809465627,894.1436520952956,874.0001118393607,858.3498586031662,844.9247788922438,831.696678315382,814.7183759879031,796.9157190961334,780.2368844135691,763.8496214684994,745.0743250085347,719.8841255089909,684.1282570099017,636.6832813347497,578.9232346527072,517.3060279099653,458.91333984028586,407.6206282100379,363.5772012828067,326.8870935428808,296.5889267904801,270.6611939428959,247.4978376380397,225.62062127740998,203.81688364919353,181.95761678041808,162.2037207361064,147.23063532760082,139.75673950321192,141.30860387798927,151.0982565816103,165.64287440456664,180.16383306272772,193.41943736318947,206.9960382892202,221.9492163127865,239.5643344950889,259.53109457230886,282.0988780332162,308.21397437865437,338.3138825173757,371.90607340401834,407.21782595957825,441.7630255119876,473.2750805473905,499.173265481231,517.7484579429781,530.5825192336164,540.5257993169524,550.1123491201832,561.0757456081852,574.0090666649194,588.1690154581397,602.5131930544595,617.1428348509568,631.9122365494346,643.9538009356893,652.1351039173237,657.6662361436896,660.9193987735814,662.746498580163,662.8385569856357,662.9068265850333,661.5014048331966,658.1509691661602,652.378924053777,644.7515433739799,637.3972022677558,630.5806161496207,627.3435659192656,629.4479449168334,638.6229269904265,654.2382173156002,675.178446420998,699.6733446531116,724.0213009473241,743.5736942838449,754.9143906159823,753.920427773524,737.8988854553265,707.3455666310105,441.04873416
7kg_10bpm,8CA,958.48516965,923.1708335888756,895.9414488229623,876.4205271176621,868.8205421802104,877.2798644130272,899.7418862940068,936.4774544482227,1009.4439765200888,1087.883941446028,1144.4503905412548,1165.513265816082,1155.0298860930393,1130.9063818967013,1113.656750102542,1114.3095048155242,1131.3112979247458,1154.465409051908,1166.6197809109938,1161.522485406704,1142.363909693246,1117.641286869342,1088.3208557638388,1052.9793571641324,1010.4150645726194,956.8536935102821,895.7681121339585,835.1219602023336,785.5008017503671,748.983189402662,720.8622770711168,695.1890143674922,664.5382190869216,620.872214555065,562.0945218311239,494.68186808696805,428.9967044561192,372.554097998373,327.84390331869366,293.40045056336913,266.68536065993163,244.08909759959994,224.26124542947454,210.27010537962218,207.42731696138412,217.33290875881968,235.28976484882054,254.3304120733649,268.3523043334661,274.0577015249633,276.24264403000006,284.2114206743975,300.91759352836823,322.8065866752889,345.8241688803936,363.1015002709077,377.63984120721483,394.74965874985435,418.47431511436906,449.9523626886905,486.77476649277696,524.2629915881882,556.5105098354508,578.6132896935079,589.331964951394,593.8107256457881,600.1095316046988,612.4590346451233,629.3379083858276,645.1721664270825,656.9217140925412,666.8821818714865,678.2024331103956,691.8317909639563,705.6298631789314,713.5921763531918,710.6401604656403,697.5185963231917,680.2360256663435,662.7080333063843,650.6259655697278,645.9287137913477,648.2297532492765,655.2444514265769,662.9687252842082,668.2703285873007,670.3080304082227,667.8856523736364,661.1193910891291,652.0912994545006,644.8533657737449,644.2342739532583,653.0075434869814,672.2137924654405,701.3863272463424,735.3980556353655,764.2597139742104,778.9767110055803,777.2544025923246,757.572749024791,718.18457975
7kg_10bpm,9CA,973.88668962,958.4409469207025,938.6739093686331,916.2040281248102,905.2543399723774,924.3340044450582,946.8200699125675,970.7025849579188,1009.5453224803018,1047.2830493490032,1075.979162509059,1093.0289719949099,1103.5941126117814,1121.0025508475833,1131.2501862903728,1139.4549068691447,1143.5525783806245,1138.7877860386454,1116.2771421871191,1076.311752593198,1024.8667831210698,970.0326264535854,916.4214583223769,865.4492472395649,810.2763190613257,748.7686644766877,680.2773076922609,612.5532204529777,549.7127527807232,492.06847914060194,436.2543714415709,382.1513444552798,334.78278819391505,301.0000680034014,281.3713290533896,267.91793290012356,251.33400483091367,226.46059495674243,195.77707666286005,167.33809014711383,150.05834865713055,150.04726377209838,167.61519309010032,196.27845476712443,226.65246481555914,255.42551805678917,283.52906613832374,308.36960413449765,327.62201219274425,341.5396205704581,351.38065594158394,361.5655489160467,374.94896959717715,392.07258836426456,411.61590500270665,430.6808110335244,446.48359764211887,460.14575115066236,475.6368546448531,494.68743429210804,516.0404729358364,538.1274897004339,558.4892767676616,575.319647221506,588.6245300225469,601.1830814966814,620.4840543843887,647.4371474155223,672.6996972997197,682.9590813438679,671.2708104821893,643.2987219894084,611.1851488167797,585.2749710764042,573.212881647966,575.0397125506298,585.273374080764,596.1719879046491,604.4357941310233,611.1092560198483,621.0622644765092,634.2500345802324,645.0116357333378,649.2886579914948,646.4287733233962,640.24269925878,635.3630599186432,632.7127837704704,631.9748395384837,634.3878035708996,639.8517559497136,649.6778105737674,662.0500995297245,674.0963516803338,686.5655913217527,703.9318264390463,729.7328553185522,754.703288446134,760.9087361022019,730.9453265050232,661.72820522
7kg_10bpm,10CA,1140.41415404,1109.671117376384,1050.2741059608863,984.5552649230441,940.4671462946752,940.2728772350907,977.6862086125758,1033.244120291908,1084.9529333729072,1110.041122782859,1105.6545891676735,1087.4808265399301,1073.96863493254,1079.0241175748517,1105.13558051367,1139.3367295121302,1161.2342440667658,1157.6217957956364,1130.2610712865476,1081.9965079475728,1025.0641912464503,968.3007780672635,916.6228367342916,873.0405671640603,837.982740128057,807.5550223964743,777.307676474706,743.0400279072284,698.4765863307223,640.3419926712736,572.9002617174216,505.651070465612,446.8967286707042,400.01822613994045,363.8820324522415,335.72042454585403,313.24923823140296,295.73509915160724,281.47656726586257,267.6591899024762,251.23432269446388,232.02874336193796,213.60232236189586,200.9434070706686,198.41128694810945,207.39188951784953,224.62038240630199,245.05138862194775,264.50559239435046,281.0086324437446,294.5875397788557,306.19919621269065,317.7443532170984,331.17481115328485,348.23696896134186,366.12193436859604,383.8674266095457,399.97796629900677,414.8525159193055,430.0739534490722,446.7956056537008,465.13602249871354,485.56437220435237,505.71754859391496,521.0900091947489,529.7744264879675,533.7576811175293,536.0143172572036,540.2719841265064,549.7824442547587,564.7993636507528,584.3266552472414,605.7930277975345,624.0217522094891,633.6417638734059,633.5999926448704,626.5126363704362,616.0528589328612,604.3419603689284,592.9421926473973,585.0515273834864,583.2943988569431,586.1314820583519,590.536537632367,595.6360558313899,602.2745150259167,610.9578641844531,622.2371478323154,633.0540356200241,641.5623608789159,645.3504839034201,643.7871207434073,638.2099965935448,632.8344411834479,632.3255536815815,639.8560538060218,656.0968090980798,676.038786621646,689.1673135427941,684.6988866416167,654.2005933
7kg_10bpm,11CA,1022.816215,974.2079126604209,935.9269834895756,918.1829159856152,923.47233932,954.0224907922053,998.9166187694807,1042.1229414435875,1076.8882779,1098.4508659295102,1109.8810392199277,1117.012771075571,1120.42950562,1123.5555051735585,1122.8593306104692,1115.711067626835,1101.78603028,1084.9955119228239,1068.5900299186414,1053.2050648335473,1037.9749770100002,1018.3412741319844,990.8714698783658,957.1403266026339,920.0870555699997,883.4821376143476,850.4786869179625,822.0236365167774,796.97749096,773.719240374047,748.1254802565778,715.5031012754412,674.25484712,625.7781609947801,573.1659927112297,521.3560681747555,475.9063781,439.26399956448915,409.17160312482184,383.84544637729925,362.57463455,344.21057179775966,327.186762808344,309.749184156851,291.14102799,272.86980153841273,259.81431970626784,256.8034482435958,264.19604957,278.41969913427715,294.5564910982664,309.0290484835026,320.76927339,330.6523937552241,340.05056134466486,349.60252007991767,359.10393558,369.056475878278,382.63594666492196,398.51638880957466,418.3868533400001,441.25843657839187,465.61117284783893,489.5146410283685,511.35628692000006,530.1140147982778,545.6405353213305,558.7114565748252,570.97169161,583.947905158641,598.5444439437359,615.2773869423456,633.69013402,651.8572161678162,666.7898173338175,676.6527686806587,682.0486758499999,685.31925836728,689.1461230503633,694.1841247816936,699.91040826,705.1195907430247,707.3386031364678,705.9026637531399,701.90602212,697.6433742974442,696.0247235405682,698.2819485274437,704.8248372199998,714.0778406931768,724.0354988716753,731.7487491082929,733.72599786,730.4825717555415,726.4156137174417,727.9535735866765,738.46218314,755.376003124916,771.9227279159801,779.1512806668107,769.20494142
7kg_10bpm,12CA,1041.7835259,1021.9424625471866,999.9773997356496,980.4439422108609,971.3060362941359,975.9086100895711,996.8697710279013,1030.1425064905095,1066.4405775349019,1102.883046906998,1135.2639040437825,1154.3257938945499,1159.0812647679231,1154.2551279070244,1146.6706399330978,1140.8940137833606,1136.3061936128006,1130.435516548536,1121.9738154852685,1108.7941555790355,1087.8842897625125,1057.3169717453254,1018.6696461151342,977.4912792308552,937.1233615835124,898.9049744900001,863.0637987710305,829.2562032147414,794.6052249521039,757.7465504259936,716.0657606220213,667.1806048926993,610.9364792975887,549.2671901587336,487.2873403231556,427.83108795967144,374.00473887726116,326.47970694768196,284.21515895489205,243.6983569994354,205.2694111367035,171.22610949337815,146.75734858416055,127.23862145675872,112.31166382169887,102.71853028146694,96.21966006243362,91.31391926155301,87.14033429402457,85.47283249257644,88.78947152000002,98.9495696229873,114.43613870372577,131.70745700236972,149.02444851223976,168.5310591571117,190.31056951997024,214.13801081501248,240.11716438619783,270.76696049452204,306.728143223837,344.70809556639495,381.5961353457886,414.8471157395653,442.9480044415921,466.85684649092076,486.93460837424254,501.76255570482886,511.1206364780791,515.3809526280277,516.1404451384992,516.0239096187341,518.3270658943203,524.5201828373674,535.3000393318446,549.8707722800001,566.1910964715914,582.4866135256285,597.978023958186,612.3980614022121,624.7294740917723,633.8012676497419,639.6316285173654,642.8475568935953,643.2712484151788,641.4184519334137,640.267675868658,640.948475056115,644.2597547692516,649.0815074321968,654.9147873853321,662.5706192729037,671.4098954049663,683.0000951782408,696.2487563745432,710.7694114083523,725.8328298285114,738.6766414216021,747.5528540531002,743.7318721354463,722.77280332
