cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,577.48985717,562.9856080688473,554.3628317426208,562.2097696778626,582.4643361291572,605.1484582815392,625.6456326600717,644.014052972626,652.117611477157,650.7219827406371,651.8064730484367,657.7279377893199,656.7622875872294,660.9945582654975,661.9287472300917,665.0937838984504,657.6327656740139,647.6378467304606,639.5763541695985,631.062455872268,629.7820433335909,627.8502190575385,613.7373011442187,603.9068158407703,599.9986669659329,584.609848544166,541.8376306074449,540.3572624180637,499.26934134112,486.7567795013794,466.3430939417416,401.62382963783153,332.108707102296,270.06623496852217,234.8902473263699,227.46657419250676,233.4104410384269,238.09116103285686,232.5025018968278,215.0722187612908,195.18147097832562,182.10045567850023,187.49276488019112,206.16567987090667,231.63904816900157,266.7695018595643,284.33515106156165,285.56355070318665,262.15248145522503,233.56703174053874,206.23563341000002,195.8016190282935,199.45004074058505,211.71627432826236,221.8051935067983,229.12404980250017,237.1266548076909,250.01232981038083,274.8266530879896,301.3798371198661,313.702036459211,323.31030906980635,326.6405747896749,325.0310627586564,320.1016322030532,316.3951659873565,334.7769921249064,348.1465622167353,356.6090359206135,361.05254665145156,368.3476867654676,383.65490613651923,388.0402787429411,390.5365658813874,386.58500064959696,377.9228759107617,366.39237086987913,353.3506848670774,347.6618965767584,345.7577783850773,338.77874318453667,325.832840760866,305.9628012867385,283.1712299929482,267.31583413165333,267.5395191590785,284.85426728720796,309.16682770839236,330.8283923955838,348.4836445333557,358.3352450628461,343.62768355310516,322.3057507082564,311.3595476944054,315.29258928540696,334.010328021383,325.12424079576533,305.3036818204572,300.6250390940503,188.83630426674605,217.97276969
7kg_10bpm,2AB,-14.03908129,0.7524935380452362,22.99177449865223,52.26492334595368,80.27577225254366,103.22583929732974,120.17608681217362,132.3940929295865,138.98430923866246,141.93146815223315,142.43627745478028,142.92687505750908,144.41859795460508,144.35033408044703,141.2466085669982,135.01936428138433,126.16553378446628,117.08445022708179,108.64430242421568,100.76873527376952,93.41261958178785,86.53543520671384,80.03268848759096,73.75320926976902,67.46705035376385,60.31454698401323,52.78087779060147,44.936168065196206,36.43195241565751,27.62512020405036,18.33462762657424,8.796678198796593,-1.412087454659016,-11.735682809254888,-18.47412687082999,-24.762324544673124,-31.36272800442723,-38.2501138386001,-45.36470585865726,-52.40862353871814,-59.183626332550446,-65.57238693736035,-71.40969254334838,-76.43468730787862,-80.03236004789697,-83.26591953667781,-85.5865603838895,-87.19133411406679,-88.14765556161147,-88.58827282591857,-88.71879985730493,-87.87001165329899,-85.86472498067486,-82.73174912996949,-78.98034072098469,-74.98728655774391,-70.68831369114662,-66.12567180985644,-61.41696878074445,-56.64970982080331,-52.46074386391413,-49.17857733571728,-46.62239005432123,-45.11944579021845,-44.24024936089202,-44.42680888867634,-46.141746492700065,-48.52566837538635,-50.346744926698086,-50.14285974632338,-46.73960064260333,-40.69075326146717,-32.85214551973259,-25.646262738581594,-20.3337232116969,-17.2078117219223,-15.951136523928318,-16.31701081589762,-17.89030887368328,-20.095429922919507,-21.36194167919242,-20.77594887873765,-18.284627895499224,-14.436090225826316,-10.196192168020517,-7.48722457162946,-8.531469296007995,-13.083323351123086,-21.555840700259544,-31.72200324513738,-41.19785131658638,-47.5668769548624,-48.03714776107262,-41.266653217604755,-22.29950607611055,-11.96669687341624,-1.2523092201146198,9.730309779950431,18.51339065491858,20.314045778868852,16.61746078
7kg_10bpm,3AB,5.15194894,13.797141142053196,27.466839388491042,42.43027143338521,57.81804128993138,73.30890549851173,87.37494103015068,98.22507442127834,105.97345714943238,111.72544110896038,115.56416974954305,117.14561846754215,116.53864325944168,113.01925930216228,107.85795362539862,102.17356866398556,96.67421950087082,90.8018728778914,84.0869659631371,76.62672488662339,68.69780855890201,61.15452349242591,55.04055358117315,50.81629673360899,47.386145980678734,43.24566454815259,38.513707496614195,33.71522777965831,27.787514756818634,19.751440744133404,11.77939537278326,3.4125725585005156,-3.9089276165354687,-9.457727011708208,-14.175972955272062,-18.30191912486067,-22.99423280614227,-28.961226013739555,-36.29983484853564,-44.861258828159485,-53.88700613021255,-62.390737549516224,-69.84525455134292,-76.07524781700201,-81.34456502736715,-85.67348188253546,-88.54116571438749,-89.79440159787318,-89.6846217246699,-88.1201206980841,-85.28156173000002,-81.7505869232559,-78.49096782927461,-75.84929819439614,-74.24406749445062,-73.84571758499729,-74.75442896522874,-75.99657557457732,-77.56993746878601,-79.07862660640198,-79.64994263181305,-78.93905822054933,-77.08148328972202,-74.8255312398792,-73.11503326658195,-72.53158840702734,-72.78938564595903,-72.86097809426498,-70.94479118966919,-65.88075206931998,-59.53614301895483,-53.34036554577947,-47.46683645659195,-42.00214771465312,-37.205396520874764,-32.88097304233273,-29.079413998912468,-25.409972628858668,-21.57439872457271,-17.003934551201564,-12.405498742786085,-7.566124619456726,-3.347474517429222,0.9833347363441413,4.067745667514956,4.652639373788609,2.9424087521140025,-1.321297210374837,-8.067778979577902,-16.436776174629454,-24.650338326860197,-30.246905853986412,-32.333918015319774,-31.010056054307015,-28.022482842826943,-25.980598015406933,-27.729341987586594,-34.85870706984182,-47.62645873459656,-62.855336367145725,-78.23400542
7kg_10bpm,4AB,24.81733208,27.571216753859492,31.13443162196923,35.74201114731558,43.203623378033264,53.64805836487909,67.03354910996018,82.39643469939907,97.9198049628451,111.54295296505423,122.0892761524441,129.20590180128923,133.14642347029422,134.53570961817275,133.7605395995759,131.57793444648155,128.46005742203172,122.87929407106219,115.21678984674679,105.70790390297621,95.13934782573207,84.60071731767304,75.30670181063574,68.18604955833896,63.267789777874334,59.69272303043952,55.5174832211494,49.34475210931553,40.93492327072042,30.887436939545708,22.036888877923797,15.726580837806099,9.8220700589587,4.445915479466194,-0.9426326869609529,-6.763636556346516,-12.839675420401,-19.45760529273144,-26.923593992094684,-35.11441796342778,-43.365033137794406,-50.798356896512445,-56.63548909847259,-60.53691306332484,-62.56303044007507,-63.21626837684428,-63.35510902360342,-63.41579742563888,-63.53012733155933,-63.7599979249262,-64.09717528363286,-64.56163203573404,-65.27351190303247,-66.52158836678925,-68.6608302521752,-71.57000799311493,-75.36101415061123,-78.35903409061757,-80.2411340637832,-80.93946329803306,-79.95797874284298,-77.10128165354384,-72.71379008771135,-67.06368753875037,-60.45659616975607,-53.30706715219633,-46.090649628004066,-39.014073964050276,-32.55964794961174,-27.21321839168121,-23.537420747035693,-21.37149394698511,-20.344173954634496,-19.80090871332448,-19.134573686855383,-16.509115448581333,-12.42272913806272,-8.176078122392527,-4.717545303873886,-2.5203406403091946,-1.439866327421699,-0.7169928438019847,-0.23531879736143044,-0.47547642389145467,-1.3015592853693896,-1.8265971197922382,-1.4312110778485134,0.1471110657836834,2.240763107947375,3.8984013495337755,5.967206490545701,15.219446950061094,17.052018020913426,23.433592911707695,27.53263772275732,31.11963785408687,33.91857500835295,35.518535522404285,35.65717393764743,33.02934710383093,26.32751842
7kg_10bpm,5AB,40.6498746,40.13432678333421,41.81844344308391,45.173174580409935,50.101047014693975,57.22031127,65.26197438350596,73.7052902529573,80.63591090068674,88.14982814554783,96.61269074,101.97359475650774,104.32401738620317,104.14816472950426,102.34842527776401,99.41202519999999,96.62710286578061,94.13310767170225,91.70059566470162,88.9595728700197,85.74257139000001,81.49464346609398,75.88247949349953,69.23526987272355,61.96331947835935,54.69843615,47.59953619533491,41.73393190786941,36.067034375369836,28.999825666323662,20.427910600000047,12.009110299663348,2.574274831651553,-3.9295289709428447,-8.93396574686171,-12.5211465,-15.440478497631359,-18.759136345807473,-23.22650817849408,-29.390158804198407,-37.51474020999999,-46.92389819847554,-56.51497628930102,-65.14505171651815,-72.08234654905739,-76.88611187,-79.77503971281935,-81.51682608363916,-82.55101732349193,-83.65150820273495,-84.54840555,-85.7431303067951,-87.75818406703978,-91.16407428625011,-96.08510161556057,-102.10967946,-107.8885420850846,-113.30701763930207,-117.20939774882649,-119.84040188293959,-120.89733477000001,-120.71047164192187,-119.33045023443086,-116.43737459316718,-112.62021608550651,-108.77736277,-105.87072558331933,-104.31580566960399,-103.95845408342173,-104.46502209823556,-104.91664852,-104.5758530969784,-102.97496906303247,-99.994127487061,-95.7320010103128,-90.30285553,-83.58958813929591,-75.7545355514439,-67.52955879361785,-59.86875216854597,-53.895682699999995,-50.323789224424125,-49.21348250027392,-50.20571782772521,-52.66711604004164,-55.817400969999966,-58.71343159214813,-60.74231067618404,-61.26010259292603,-60.311270789975275,-57.89165889,-53.97987027028004,-48.95455913629378,-45.63950267214109,-41.54240500284916,-37.58997138,-37.787779192941855,-42.091895263428434,-50.399841987545756,-61.81591060314348,-75.20427647
7kg_10bpm,6AB,25.64650086,25.946419212984544,29.656416945411724,36.39263273140792,45.15241239753843,55.49554866389047,67.46964818069192,80.64522567326412,93.89779774039451,106.19217305724119,116.34261323842367,123.88290503473709,128.1800182346822,129.29931544513212,128.0360182004091,124.73092379351534,118.8721216600855,113.02131062396167,107.27344143350432,101.20130949768813,94.42925810850868,87.03634738259717,79.35820194593525,71.49862841422892,63.41685778572786,55.08098801819074,46.42650587446658,38.160765716862066,31.212788455436115,25.39363516329342,20.20997602791453,15.580355556327579,10.204093873069294,4.478908840976304,-1.4081624174688008,-6.999077248288877,-12.807174572656029,-19.173029876386877,-26.153412507888543,-33.55201519930654,-40.823645970235226,-47.445192373690766,-52.644080208024945,-56.21607591932074,-58.264284724185615,-59.143319677175654,-59.03490722259186,-58.48131030889732,-58.17880260971755,-58.47185449957823,-59.35709671000001,-60.58778152868833,-61.6394711220783,-61.89507897633621,-60.99082371015658,-59.00089386006371,-56.36140982645953,-53.680302523965146,-51.26066904529635,-49.381184991088546,-47.877499876842755,-46.35129170182314,-44.26464872403134,-41.17403728672646,-36.72884947027816,-31.073429615926912,-24.70391281521104,-18.356051081693284,-13.29647730790551,-10.070779702865794,-8.716865767521329,-8.945906456042708,-10.164873597805443,-12.024588009430202,-14.199959889412288,-15.851335928225192,-16.00519076830399,-14.591874398764059,-11.835037391484809,-7.841573298616859,-2.9856705437217608,2.463271855543257,7.477615713041511,9.618964406091193,7.939532566637137,4.4481078060960115,-0.018274168231847507,-3.9231146803857078,-6.148879668473526,-6.097980137000747,-3.4783078017872997,1.4843377598686764,6.592107246429,10.086686643039414,14.458296698041364,21.101669902640413,26.745650359432734,30.717780815535146,32.52947667248739,31.19928258089226,26.31868223
7kg_10bpm,7AB,54.72929808,43.16519812451678,37.381355182317634,35.07126715844164,37.296602354550224,44.213606292860526,55.04118327762245,68.22735998616436,81.52074084255409,93.17967391281337,100.94761637918862,104.95106822718247,106.3601619340326,105.80521059519089,102.74914292389565,98.17151573193365,92.54759230307717,85.4728781479325,77.08565660923713,68.22814335466477,59.95551658446984,53.04184448229737,47.38966831636841,43.19252906988955,40.80238620146907,39.74462921101063,38.39403045871413,35.96923826863423,32.6949017266683,26.65853947394179,18.667183897300895,10.394942393597093,2.857970437608883,-4.629084871021847,-11.641626923683523,-18.124550323195905,-24.77586200623599,-31.819441810953165,-39.338448136584724,-47.207422464288015,-54.96520872600463,-61.908271408955144,-67.53334537609815,-71.47163820013098,-73.69019661760382,-75.08166662569579,-76.17787181159383,-77.74355464121516,-80.28469972734398,-84.01299370787052,-88.64423653269863,-93.95623582030267,-99.65461265295662,-104.50008815624643,-107.13266178497835,-106.61470280683636,-102.7499042406329,-96.20142789530064,-88.21385974472386,-80.31318546945894,-73.66038014613015,-68.72190241667056,-65.21577758843779,-62.82872348421373,-61.355636569218326,-60.64972222052701,-60.5188989789805,-60.7021167771437,-60.914966264952994,-61.20465826252314,-61.61794003329092,-61.874650993104694,-61.987153598645605,-62.22156406921605,-62.49829292554997,-62.327500438222984,-61.37155937135057,-59.69036780181455,-57.32387450956166,-54.27404455913272,-50.22884571259932,-45.60247757553148,-40.355888596817294,-34.921904461358494,-29.90323786555015,-26.01422878021194,-23.748754053776146,-22.7489708034253,-22.148593827151647,-21.90557276317905,-22.144595332629528,-23.193214216799383,-23.621762614034875,-23.602334772371837,-23.364300490840694,-23.26648737365696,-24.341049120214162,-27.937105344213624,-34.77133950661637,-44.00520244637219,-52.69531296
7kg_10bpm,8AB,26.23832758,27.639640953573082,32.20221725116979,38.50399324324414,45.01800032413338,52.62739699988536,60.70024342256418,69.01615957335572,77.2117533600094,84.47256548254036,89.7229523197952,92.70264123810738,93.76176945732547,91.29906967242479,87.44950954852209,83.17401963961805,79.02796892247909,75.35126128587429,72.62642927139191,70.59137215354187,68.55527489730606,65.8936912009709,62.41711789852205,58.469970806247424,55.00279996433027,53.21626746562929,48.67668466611755,41.12332180485913,31.379425841120987,18.95942588887967,8.844326109544275,-0.6295883323374688,-8.032120558358722,-14.117564120410249,-20.01841793029989,-26.11102636337356,-32.44442361518694,-38.839758353468675,-45.06087825244165,-50.76958781770083,-55.68295793975208,-59.85230121478644,-63.66202913425572,-67.39858395819799,-70.82682746330997,-73.41078974607973,-74.78336103104564,-75.06366273325625,-75.11937568726466,-75.73251685816393,-76.53501939,-76.7272459084132,-75.91609193541194,-73.80713090572655,-70.77920781407369,-67.45987020795286,-63.83585637842934,-59.555120246301314,-54.413034583936174,-49.10330136367024,-43.53472079179632,-38.307069514355796,-34.03295160240805,-31.18685038309726,-30.27012830516788,-31.33671469906764,-34.02613305947065,-37.65301879644376,-41.175756217008114,-43.88843323150504,-46.172736989886985,-48.057102779138226,-49.02913602202414,-48.47446077530525,-46.86867604104089,-44.23106921952903,-40.60937739513921,-36.25860624216875,-31.59290398030972,-27.07171108708127,-23.377909252292596,-21.01940676988338,-20.061136486203754,-19.85533236581188,-19.87064503033764,-19.639315353600246,-18.63582167605905,-15.305297882021994,-11.845388304755758,-9.291446083947774,-8.016473023114163,-8.099674521008305,-9.174162928141296,-11.461405118443349,-14.795758481098284,-18.97670117461232,-24.343319006989788,-29.122566893955458,-33.84680360984257,-38.82906268674544,-42.03018389
7kg_10bpm,10AB,32.73038731,28.882070231392856,23.986278540834615,22.206275498941114,25.283671703374342,34.77352978784057,51.3175219099903,73.49630425400638,99.24309457936423,119.36275414910581,130.40741357797583,131.45506528358786,124.36566639611199,113.34936952156359,101.08871553029842,91.30264169085788,84.54419076198421,79.54729303941022,74.35143854410408,68.41340724903722,61.48643757663414,53.347090644754005,42.96307714317008,31.243927275370197,18.80014983829124,9.915152973440541,4.243492240103614,0.8194106438240091,-2.9807690029192724,-8.009606716599842,-13.40255616098347,-18.97907809742037,-24.74471570092628,-29.769894980214346,-33.79536243304406,-36.98228261539,-40.146473242502445,-43.326079363364606,-46.37327424484402,-49.19164239536957,-51.815463673076366,-54.137869774736075,-56.005430363576544,-57.363070988207014,-58.381457565954015,-59.127912924598434,-59.63803343689706,-60.21327396877737,-61.842719204564375,-64.91034134292303,-68.2898745,-69.79955223648024,-67.17678938038333,-60.06169884140852,-50.70574555052818,-41.69945796651744,-34.3647605871963,-28.330408930976198,-22.250652243605828,-17.341163761026273,-13.903550508062931,-13.02284968751135,-15.29721064717746,-20.59025336383146,-27.721291947577495,-36.08469337189463,-43.4565454639717,-48.036340308131166,-50.702988826168884,-47.98237908846534,-44.70829241020201,-43.23334866520789,-45.23813461841338,-50.909684778497855,-57.969459008494056,-63.491001221270984,-64.81704446730349,-64.31966603580665,-65.4040074803744,-68.56975032185065,-69.02794612000132,-61.58103955815101,-50.048933196123805,-38.18240817584368,-30.22312465713858,-27.66472865424926,-28.342687914790385,-26.84618871981736,-21.94665887759831,-15.006910396480194,-9.5859323561833,-8.339004924455047,-11.569204450334942,-17.45346027563346,-22.699582811708545,-24.387587809636205,-21.783838463203512,-17.416980819971812,-17.419020846945465,-21.18062682793466,-18.32783942
7kg_10bpm,11AB,-2.95294584,0.5858839330988578,9.81194594839256,20.72264343348896,32.26985127662107,44.30931746075742,56.3914964394619,68.08392228006925,79.09651320997527,89.87789730054196,100.06964507953444,106.09643293193967,105.74149069849679,99.29114238332458,87.84095881932033,74.55924187619887,62.290475655920204,53.278497211818625,48.24249856382138,47.06771625881467,47.20665465999999,48.70135460961544,49.20480507395547,46.50398905039443,39.81040395926924,29.73364782410047,20.06136830239014,10.575884832135424,1.615968802013015,-7.197521307874186,-16.50993328958087,-26.81757198221346,-36.95195170606115,-44.547298520074115,-50.67216754240711,-55.72814233390717,-60.48155235693871,-65.27985049716024,-70.06687845316141,-74.48838315778812,-78.31065866999998,-81.40801860465533,-83.72294415959091,-84.92722138737132,-84.60940300683284,-83.10313809158104,-80.8601798470592,-78.61062156572595,-76.26848603406546,-73.053349464053,-67.72251895888611,-60.05785413691738,-51.263462551008,-42.774085947449244,-35.38250655524202,-29.6084221968088,-25.087016383709855,-20.704540066489898,-16.603586062528894,-13.223079879838473,-11.99049634,-14.612212181357718,-17.07763123616804,-17.267078697314524,-15.741548789979142,-13.023315915931951,-8.835155714061614,-2.3959119283126538,5.2496323064349,8.347078947635094,5.22561887050258,-4.364940484806216,-10.735804731048367,-13.89157235902588,-14.981498599882247,-16.030905128925493,-17.6806266464577,-20.126428516931195,-22.56181419901469,-23.802695698036004,-24.223892720000002,-25.355108810973075,-26.490443437027945,-26.044026957301945,-22.395887211942423,-15.479097970032532,-6.98690735594195,2.5186290987354676,10.305453685151964,12.080721113849018,10.163976900587578,7.0279626949014045,3.5365080918735345,0.8840864051089861,1.2635353725453455,1.8524762156369532,3.379969737011911,3.609918370808022,3.227842126574936,0.3296767197203734,-3.11828963
