cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,-65.0274234,-68.29261705187871,-70.12042364342132,-71.56605975497794,-74.6437841643312,-79.53715959916936,-94.71362476359685,-123.3058800739077,-141.130944167423,-143.0268510213355,-133.4670348874102,-115.83242687169783,-96.34231769051725,-75.71855581202814,-57.02287887869896,-43.07162074044344,-31.283441337852334,-17.972158382198632,-3.964687154941534,9.08090316912244,21.05403316223687,32.064880239084026,42.84175937838413,54.044029269584996,65.94374346728226,77.7710584794977,88.36614077376969,96.34426436867751,101.40413964304763,102.359167511626,99.86532368812634,94.21298275702262,85.79619113549415,75.5629032225292,65.74866469480054,56.618069355000465,47.19138793358347,38.0054635155177,29.855375216379585,23.5694538543683,19.48967033109246,17.542895250489863,17.07164820443258,16.921673717713382,16.17095312843889,14.025944395070203,10.597540602065422,6.769120125408071,3.458079611309047,1.5541339442492372,1.7006824419414157,3.3351848839965306,4.740718453953195,5.131581283297107,5.673740155507249,5.0165755882908565,3.8799328117879988,2.656047502677597,1.5595335549702745,0.7064702757740083,0.07679527289536985,-0.5330434756311505,-1.4230810849962385,-2.7473454798964965,-4.325234687255002,-5.8890747946889,-7.056325214686653,-7.404146458308874,-6.882864550153565,-5.812977296754319,-4.619069119963972,-3.837383611313023,-3.663169257626648,-3.9177110183995283,-4.184570506654533,-4.269521183220613,-4.126891733160838,-3.981624815578714,-4.632895816842425,-6.273138303331086,-9.800362476149916,-15.139866141786635,-21.94987097635793,-27.582989212563998,-26.948062042997424,-23.18508069270007,-17.63930392796923,-11.474711443893144,-5.203937004798852,0.8403081155279363,4.612697596274462,6.578558830636504,7.797584949749323,9.012221267745804,11.410229890963647,5.0756420229102615,6.692006871707511,8.539816722927213,10.586188967775765,12.17440310016326,13.06415225
7kg_10bpm,3CA,-58.78110979,-66.83758795418613,-72.31920880552053,-74.85249835654176,-75.3523259680835,-76.26535873613317,-77.38198017306179,-77.84805406055334,-80.09717356131284,-79.54203335706487,-75.25087900678919,-70.3258932277243,-66.96799891067396,-63.09100616842265,-58.31615193254316,-52.32158242865694,-44.82475486343777,-35.95900398453909,-26.156045081290912,-15.830145480333568,-6.048591419537402,3.5284064993045314,13.657261199171996,23.758547389308347,33.21827169444163,41.63959209823218,48.878021674652636,55.02127700840805,60.203262109160434,64.35914132875125,67.98338195997763,70.4667947564503,70.38129482172917,68.46864054834957,63.15534874202595,54.41111096004651,45.06706601407409,36.97337710555631,30.444700009987244,25.249441804690953,21.289171626937133,18.1478352027053,15.542548127908566,13.193515556596044,10.61207601640527,7.9829359923334104,5.50134930243728,3.2615449389810047,1.4581291898492559,0.12847867931359827,-0.7168817399999999,-1.3102742080193355,-1.8620755899881622,-2.350221933435241,-2.6526747368793444,-2.7222859807760593,-2.5559533697274555,-2.1434998423426475,-1.3063752228546064,0.8911137394710144,1.3076430327687254,0.12681894637566365,-0.6056219209942494,-1.369419219501073,-2.548436520025463,-4.430197190502488,-7.356204124182021,-11.418783064041266,-15.720303804387902,-19.650408810125924,-23.063695247350896,-25.943295519978886,-28.362181795985528,-30.51487944835248,-32.62377124785574,-34.97301206490597,-37.503796598509616,-40.26101014016219,-43.13177757053016,-45.901569218726365,-48.509560223925995,-50.93945024493909,-53.39524956280694,-55.9843575003732,-58.76410913968571,-61.38738044387501,-62.78081285099721,-62.52999554232301,-61.77682416601741,-60.21589588048125,-57.54206398888649,-52.534806675925395,-45.47366556182981,-42.22087191842926,-40.38453982862724,-38.83822169450068,-37.52826626609693,-33.53364859211785,-31.16101216778057,-29.29004535296032,-26.21834642
7kg_10bpm,5CA,-8.40570686,-16.713681491900385,-25.58197523555273,-33.54883954963317,-39.98117981484394,-46.551038197239976,-52.51157065747703,-67.29146180221791,-76.49668764125411,-79.40111628610366,-76.55989756765833,-68.25419233573196,-54.30178700229845,-41.525895609329645,-33.47185044770261,-25.53953394315159,-17.09945073885034,-7.9959682811839405,2.6217221751554862,14.561093559306649,26.639056751876932,37.53655413641639,46.63756832604227,54.150564899994265,59.64647970832889,64.33367107576814,68.66112813458396,73.52982844299929,78.0871834208404,80.7764947759074,79.35183592070427,73.43366383286508,61.693473769939345,49.356313062363604,39.06311660036672,32.12348521857137,28.17483073767616,26.501339273515143,25.804076378733516,24.747711374418156,22.475543713116302,18.902095831966747,14.517732420076818,10.332260947505015,6.730102137505156,3.765897098939431,1.4147129095603537,-0.4366745706024625,-1.6875392259978979,-2.009215689485175,-1.1364118,0.8227358673659899,3.455161436837889,6.146991354643074,8.812552490139687,12.53136844726592,13.406431113582489,12.034176429529316,11.13144027075954,11.076362755946336,11.971129528056998,13.55381864371953,15.20658423803716,15.9645468226232,15.760886994834257,15.085339681533423,14.335944750703451,13.64812405521338,13.08987026201608,12.524448175867816,11.581151061951779,9.916613541588479,7.597890780182571,5.277875055857335,3.7225672109633043,3.3172465704711547,3.8018709894863063,4.602641972360351,5.106014296498957,4.442883881604916,1.738489977868128,-3.30275567591443,-8.19416618241737,-11.235796640225422,-13.669736291752896,-15.147710799733522,-15.90856027069186,-15.996235942364928,-15.491451461140821,-14.117328453045387,-11.352507789426374,-6.736035025024334,0.23673325291983555,7.49958351875576,11.05701243566781,13.344715066005483,14.14398935271367,13.65023661281528,12.289368559576646,10.793997972914983,9.65176122
7kg_10bpm,6CA,-37.60400301,-43.776947026899585,-48.210538498951856,-51.51805832664731,-54.09781997107334,-57.31477925900643,-60.794796421554985,-75.3011416068791,-93.31592902721623,-101.99523151192449,-97.95333457298747,-85.05144717682985,-68.30971392086019,-51.787217833222655,-40.82939069752232,-32.51929557666176,-22.129845281347055,-10.217703011144003,2.351592609021213,15.761946288669781,29.527409423780863,42.78569675967761,54.949439347383674,65.52197937646966,74.29263371934948,81.01526201,86.01965255038205,89.50831767165916,92.4319474353787,95.34436386583447,97.8060946139321,98.97990724292522,96.98990785709158,90.26305367170204,79.79515086880133,67.75296497735562,56.560592081251926,46.23762540360929,37.49036012953798,31.03954430869459,26.873585946031,24.301980024015123,21.65030527851216,19.00757065666751,15.79911253824986,11.687410226717654,7.21031399874585,2.94862113709686,-0.482377605064247,-2.6296401824736737,-3.5291280300000003,-3.5293897153267517,-3.0698156856690666,-2.5234092281278118,-2.201763008562172,-2.4681281265434722,-4.930944374263,-5.170859210591567,-5.298160626132129,-5.397907390845037,-5.492115152704204,-5.810666781483454,-6.49194683651988,-7.507451164058417,-8.82002354976545,-10.164858643890204,-11.36708062002159,-12.299378838581514,-12.724017539461618,-12.371963247855332,-11.111599566870728,-9.507058495005273,-7.624010272197537,-6.350244302518576,-5.8836406761562765,-6.051318640000001,-6.2894587950800815,-6.033031153794706,-5.054826629853868,-3.536010431712075,-1.9821217180583113,-0.8080220885695388,0.08120039302609505,0.7965600028379626,1.374252303188009,1.7455360115595138,1.6789287355129352,1.7087890641463244,2.0516706825916504,2.6994343964724896,3.755199058577136,5.103243709698845,6.625556451461848,7.454716064965224,7.8597076644667405,8.714332528349575,9.868392625515158,11.31353657065023,12.968748230217079,14.512711386254255,15.52017888
7kg_10bpm,7CA,4.19890303,14.987705508239829,10.000007368484539,3.12046637237538,-7.209421197521639,-16.808471102254327,-25.882625574355963,-34.45988354588574,-49.32022933616758,-56.59694579144583,-53.83719182841016,-45.706764638332984,-41.53237829138462,-38.40633221187176,-35.64167683926025,-32.345185055709685,-27.19293290353011,-20.021865400756738,-11.78727463310137,-1.3766770760696447,9.925334468751986,20.384800403171038,30.45272046410171,40.94488257514351,53.13318460468209,66.33595758745072,80.54594266805194,95.12142941869544,108.74501856605345,120.40158378491903,128.13243781920877,130.09569216877966,125.0978687523455,113.47454287026004,98.53705808855025,83.82675850845376,72.02429261167954,62.29568200407778,54.26288611558487,46.91651554152452,39.93554946240632,33.15796226143072,26.514895154943858,19.944186904387173,13.528206135766847,8.172345125483663,3.5043518624363155,-0.8933197332615906,-4.757452220082877,-6.406057438207342,-6.223671341886223,-4.754955519133448,-2.8265061121839534,-1.4680142057876613,-1.4048867492847747,-1.2458373593197671,-3.652989178228796,-6.349963749036265,-8.417666626383886,-9.75514585012707,-10.203685270129624,-9.675259337394198,-8.39315725306714,-7.178320722350298,-6.766654320711004,-7.486560254467908,-9.134193044673163,-10.904341820021275,-11.700462153898853,-10.815415526351982,-7.960422742000398,-3.3347313882151877,2.4904804378312106,8.36396824568039,13.039707529250393,15.426143489995985,14.20491677018168,9.03452939402955,0.43033988806663104,-10.082094192871027,-19.990176074703065,-25.28072107050745,-26.249582224992594,-24.570970697327297,-21.575152077863017,-18.565752622093783,-15.639687644046136,-13.13312669767713,-10.397398536359258,-7.418147954093919,-4.198547415969988,-1.6068164889916385,0.25288502812618474,0.8033556382275209,0.8293130252008082,1.890338881222649,4.262150775036566,7.993943011396844,12.148572421916207,15.625868495564871,3.42475159
7kg_10bpm,8CA,7.24724069,2.172388274040187,-5.982281162411116,-12.891841343965824,-17.345305543998926,-19.71405841557546,-21.395488512590976,-23.70228094194568,-29.460105907911643,-36.49288349889785,-44.48747759139952,-65.6079438286231,-73.96886129937354,-69.7415777474336,-59.60587319520744,-47.79724288009771,-34.43786305487834,-20.115863151908595,-7.119734176411136,6.832971276917705,20.27777960685109,33.270862008969324,45.93443588493766,58.14284289103639,70.01766324362318,81.05295562645632,90.52542110145271,98.03267556221304,104.62319063066079,111.19109671462569,117.67550583605627,123.60896542395642,126.70167576833333,123.30905287315696,113.27187025499245,98.207317695856,82.21916793839418,68.40649261238556,58.43852375350155,49.899400561357695,42.76635501699036,35.36632898020734,27.253603849420553,19.080026110439736,13.028139398947545,11.555050777191065,11.929044912911776,11.714201302004948,9.8656082023502,6.935247594011523,4.077121079999987,2.0867856257943687,1.5032097481577007,0.8764557317674438,3.5276076046928364,5.766398731355768,6.986468762601038,7.796525150806204,8.49714820327231,9.334475198553061,10.406823699674453,11.775875762864363,13.51227897902221,14.630999650987507,15.273633343762102,15.457170304147828,15.32083913221939,15.140429593096872,15.058536478151112,15.005241118562514,15.024323179986819,15.126862881072315,15.003169619987618,14.235590024813305,12.300130689983614,8.076976412821768,0.7190621289273397,-5.966482573169666,-8.72028560077576,-8.973994954188067,-7.640726953828107,-6.636434682514721,-7.080674090730827,-8.730236065162766,-10.336394330439637,-10.256748632483088,-7.7437570263322355,-3.7667235831216157,-0.873268147144291,0.47544472305265867,0.8496476620336276,1.3039850978748675,2.6259302316272572,4.498723363291354,5.040237074471976,4.018118007648559,4.1624486521496085,7.344922190876822,12.974495102207598,18.459272667626493,20.78803559
7kg_10bpm,9CA,19.44978055,14.26452602446997,8.697461826795896,3.2415075087731386,-2.6303603460944545,-9.832109816844445,-25.139092176683153,-71.66313631268085,-102.30425191854859,-109.57452839590619,-99.78069029961797,-74.91209173697521,-38.95276643919193,-9.04934746075018,7.684970441222273,17.076555305312894,28.7216960408636,43.04863388799117,58.58580246056355,72.92539836585846,84.79210776127364,94.83165638300936,104.20235194218823,113.12902312762412,121.46367084137256,128.17509591666888,132.70759057087773,134.08127587750386,132.42004536363984,122.3646577604254,107.63031775106059,90.00437214335915,72.99021887259056,60.422819259808165,53.66465723192987,48.88929467834734,43.11212387401145,35.013278166224445,24.88248429387203,13.85182302810596,4.08896432784474,-2.1587441848816042,-3.3631172996330454,-2.8493897348294137,-3.255791714628794,-5.178608564022548,-10.137856524471507,-14.517356251798763,-16.958179842387775,-16.82321435879246,-16.408541289711977,-17.70567078317077,-19.87037623951512,-21.182711620964593,-20.749727689063626,-19.011063777342603,-17.26180510431487,-16.365379046433986,-16.355082987352368,-16.584148015713982,-16.180862178593646,-14.888755163271949,-13.662870739692787,-13.121853071006505,-13.143747152850699,-13.473175352817924,-13.573352305655115,-13.472235709400897,-14.123184033890913,-16.626825007760004,-20.383293143762874,-20.481872503281014,-17.057095028727336,-13.16383776250062,-9.182232841427048,-7.842511478159877,-10.165371086412915,-14.723135278903282,-18.21166353303391,-20.327082748803107,-19.512726810142688,-16.576442614511137,-13.789542229195659,-12.51019046816428,-13.534872796197789,-16.372394705109816,-18.450388208805002,-18.77613765638714,-17.802370147137168,-14.997690117316244,-12.538073379274545,-12.13128887414492,-13.633467532335148,-14.38184491448181,-12.566611957133501,-7.87843845203494,-3.483841220401269,1.0399270653952495,3.4518556362252224,2.0439093075707824,-3.20735811
7kg_10bpm,10CA,-37.65808846,-45.22376339603325,-52.10604891972595,-57.056564067086896,-59.789830848007874,-61.68444410672017,-65.23246420704069,-68.32544700457346,-79.84830558631775,-79.41221718153855,-65.1721272271607,-51.74903753350711,-43.44576493301085,-35.90046788839533,-26.851368754651,-15.861650421417252,-2.82979851284588,12.069464833507933,27.428874723324682,42.57587190926281,56.2548440113834,68.24551662277165,78.72068259638512,88.40259359461616,97.63808436273214,106.29228130672145,114.09359083113384,120.35088456462306,123.27176236684463,119.38924423231506,110.10083197257707,97.77674769457565,85.99963838714142,74.55252866647206,64.01161273834606,53.48534395242565,44.044376941605194,36.25727690383586,30.47277994951649,25.585344782228233,20.292919509270515,14.305867199059902,8.010352786999718,1.2643227565855568,-5.045583741062555,-7.860082267141547,-9.356603140041083,-10.30577874446153,-10.767514571236704,-10.875807250406597,-10.99874260518191,-11.307115707241934,-11.569740016631634,-11.569019222594221,-8.867633163679587,-6.187649856082482,-4.03095119391528,-1.9733704629692461,-0.4503113463035482,0.15545524695040217,-0.5326704181273829,-1.7899478620191906,-2.50889295788264,-2.4841297542825997,-2.396588477400044,-2.9603554900569184,-4.489636749439794,-6.500580951878105,-7.772259056317666,-7.505894078961128,-5.982947954252376,-4.137627308058214,-2.254633106883875,-0.9926526594661256,-0.393594610909427,0.09101295166598995,1.0837771405531027,2.941368156563483,5.231108099570779,7.101686100744567,8.335662286900602,9.02139842350433,8.951395391767354,7.804952100570392,5.961491200545069,4.949792979253234,4.08439641513743,3.5213772451857133,3.575113323520328,4.194019505347249,5.453048544372562,7.49997675258101,9.851215670370452,11.478044093612143,13.131611894157725,15.419676240711315,18.443517699613157,21.790168915987234,24.41375162526132,25.0589742382503,23.57897604
7kg_10bpm,11CA,19.36785074,15.149623564884918,13.263958899981809,13.808566976541156,14.792325789999998,13.991954982782346,10.94766719170405,5.328491008747998,-1.1259360699999998,-6.769622441291369,-7.142617938585691,-0.7469037927888224,7.25579078,16.64709128815297,26.517007856421202,36.02939794313096,45.33357783999999,54.837831535028144,64.44994888353074,73.99338701598364,83.36612971999999,92.44791250639074,101.26584662335813,109.84507786598286,117.97374954999997,124.48056929821428,128.36157185164748,130.80261341367313,132.08153196999996,130.96584927009764,128.55289227718012,123.76783773562795,116.0521482,105.70359196722295,93.17132609568745,80.78623603090182,69.54375986,59.7320866229964,52.393794175285564,45.61066707648903,38.54705598,30.875717165998882,22.47864654351329,13.697886151131774,5.37803269,-0.964683884892718,-4.359687241749137,-4.939738985413283,-3.26356558,-0.697034417020598,1.4322127297313791,2.287957517193473,1.75927086,0.35109341056494753,-1.3128732057754333,-2.7024579473181176,-3.4392362099999993,-3.5093241224040317,-0.621355040370424,1.0551666915009759,0.32419887000000003,-1.346099685519006,-3.2205180127641206,-5.029349423961897,-6.639910709999999,-7.871501547151321,-8.86064715248732,-9.24846493244106,-8.70276548,-7.283428559443503,-5.611162357620201,-4.587423271614289,-4.824335790000001,-6.620745859536947,-9.782659120332584,-13.544554207644937,-17.150919490000003,-20.30950352597112,-23.349919053582155,-26.228197545894908,-28.74262885,-30.78108484372391,-31.3091788761545,-29.842970567747404,-27.25466664,-24.80375289326859,-23.503000864347733,-23.60993114121442,-24.33768509,-24.789264924299967,-24.391108525035026,-23.69665662893155,-23.31776468,-22.749066575206495,-22.028847072347464,-20.89560210630578,-19.3952227,-17.947563978893395,-17.348628969303395,-18.367669206819585,-21.95569205
7kg_10bpm,12CA,-35.2908869,-38.43941069572199,-43.3335497901941,-48.39143643620628,-52.95713338875433,-59.108307781190014,-67.39636582505013,-87.98282430145144,-111.34511853619593,-132.8138567014125,-143.27185479771123,-140.9843130940869,-128.12357938786,-108.68904538592088,-85.778850652949,-63.14035328979351,-45.45289931699911,-29.50388471958121,-14.137391905576346,0.6802894762774788,15.021486585117733,29.338286684934463,44.41618087981,60.97229105082795,77.92971822150497,94.97237547,112.01957618646055,128.79280409431055,143.16983360505665,155.4008905973044,164.90009257589,170.13589676556384,170.6567543158276,162.87116131828333,144.84778437170098,125.26849454403353,108.25337969475592,93.63664271512202,75.59415986016744,58.706310926268785,44.1781703788636,32.46855714443269,21.465423107792642,13.55180843194863,7.971392688567764,2.9977668004829456,-0.9377498525204095,-4.426494976201008,-7.934489987162135,-6.936913946392363,-4.42569735,-2.5134696245029624,-2.4966146483967133,-5.051957784788361,-10.374140212376307,-18.457971249502236,-25.87180794944813,-28.63902054284719,-29.328600118906976,-30.464909288726602,-32.21672714338882,-34.24290953926655,-36.485294709948825,-38.36268681288378,-38.996284499493086,-37.75399158094951,-34.333829416426504,-28.90730993036289,-22.575705310090783,-15.360207459595765,-8.397488417215367,-1.9825305593455846,3.0874087660060274,7.066224443220863,9.86943000154359,11.395601790000004,12.102613333392895,13.523137823111279,15.250426749208087,17.261593189941827,18.575061646129665,17.67786935354621,13.635346479729495,6.514540674302007,-2.400724229416154,-10.493394535823438,-14.508243679222488,-13.550081159039518,-9.030041536326404,-3.7853066649149802,-0.8321832080806093,-1.1941937858676535,-5.087433356126342,-8.00272081157615,-8.906417343516242,-6.470661011067987,-0.11742289188350731,9.936575882467938,17.647803709495374,23.322059739097085,25.85790351
