cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,6280.008997765007,6036.617579551363,5712.615667287054,5353.91957223731,5023.5388726048595,4796.504668985901,4706.828951309682,4757.809861803487,4898.054964502437,5042.475259358427,5121.419924672478,5112.259361896062,5015.0224360234015,4854.65614097278,4666.221391165164,4485.415737907896,4320.148035940376,4170.073565773248,4027.7159937726647,3877.5409637286984,3694.5238524597594,3459.156779066793,3181.8915018265598,2878.566083325245,2596.8551999896076,2368.587834120291,2208.272759441175,2117.0217156348663,2083.7385851825825,2103.252172262105,2174.500636754489,2280.2323035670483,2401.149864506412,2518.055375447666,2623.793992448711,2717.7889921455144,2804.9236412633213,2888.2836160257066,2963.9442956092885,3023.947306215082,3067.3404408017805,3104.1108831084584,3147.815320261596,3208.521913777718,3292.3057730548408,3395.4690810918037,3518.9429745909033,3645.4160616054164,3752.588535960483,3836.281189054094,3898.583923788162,3941.388687308581,3978.7084744760728,4024.3784994509783,4084.738204626553,4161.216295505436,4241.65317110179,4312.7573911124255,4369.033182272516,4417.8329622479405,4470.835268569079,4532.027171736932,4599.5846498987175,4660.984745850849,4710.020531816077,4751.047806203746,4803.110200538229,4872.53179954505,4936.122688353522,4993.299515750344,5036.949264741271,5063.897199532294,5079.362289672736,5084.787078015805,5071.418419339729,5028.053823771267,4957.043369441167,4875.08933936287,4802.124014059031,4754.90496150743,4740.298470117203,4758.061310056517,4800.298972110101,4854.021849789894,4907.568422610687,4959.762924144932,5010.954251644996,5048.4653793294,5052.736890230992,5015.963315497783,4959.690784520367,4933.647093160924,4991.292363508836,5161.08540323397,5439.508628883841,5777.895111804775,6077.13171336632,6304.193715247572,6496.425662044762,3128.474135140314,3295.5006394168527
15kg_10bpm,10BC,3426.869815989929,5985.0486472742305,5765.736078273403,5502.1733881661585,5189.835317171121,4816.786988710642,4468.497127265475,4274.398735872092,4246.4273362235845,4287.850246978594,4361.391333470155,4431.475336133457,4470.82929704686,4465.852601724496,4417.837202551525,4345.95331203871,4274.249017074512,4221.222813409436,4189.425876294614,4178.374725448088,4176.586811918543,4162.664692116624,4121.576726117634,4053.5483540442947,3969.7548940882357,3890.3619038922698,3830.116229092895,3792.259060309342,3768.1043900080454,3746.1874796091183,3714.5141841460327,3672.15286120655,3621.8669947700037,3573.31980805387,3532.451397478976,3503.221992385679,3486.5198013758645,3484.6058098023645,3498.4744908708703,3527.6165316456,3571.6411877185988,3622.9753638469824,3675.138443212529,3722.2761340624197,3756.805744573935,3778.5237742974914,3789.4211693360353,3792.830592732815,3792.8466113568684,3794.2434971432294,3800.192713632993,3810.876679027017,3823.1768173280657,3834.5941772706556,3842.736899763785,3848.1548573704868,3849.6889434884456,3847.047984819647,3842.3093178074428,3839.150232842766,3841.4475387817265,3852.27311505139,3873.593187720665,3897.206158072541,3914.1180663422347,3915.738916824212,3902.359329793965,3883.108056860371,3869.7371279707713,3869.2248966596912,3882.153330271978,3905.1528816898535,3932.9354938969204,3960.376941362338,3984.3159132594556,4002.5799942252484,4012.8280184046994,4015.1649923778677,4014.07509611704,4020.2677811593585,4049.8479500643607,4116.887018410248,4230.841267230667,4387.885831927186,4573.959788723874,4777.522569325429,5012.40489198253,5213.707668613944,5337.079623441262,5371.371572176703,5333.094655381652,5268.223361062007,5238.636852705257,5299.324938178627,5468.059463342878,5705.798390760365,6268.615266525306,3424.638426987177,3755.0741516563303,3745.885435166257,3681.0419297855237
15kg_10bpm,10CA,3371.8580305932906,3479.3498768376344,5279.909874350017,4804.959329728381,4365.106039699142,4100.382252910551,4048.972694745217,4200.697065200794,4519.470585923283,4930.882142012272,5358.782625626396,5719.605332624582,5942.030999529995,6005.069169362613,5938.409939475245,5801.515797229835,5657.160909940524,5547.602371125929,5480.602114548828,5461.570731737091,5464.299905237143,5508.31535775051,5573.24260967736,5613.2386741771315,5582.67820109277,5446.522472040155,5195.557486497672,4867.827968502521,4542.587163794832,4275.789812330592,4077.6324546621386,3930.176509381483,3812.4084842915286,3698.357342508551,3566.2413782051176,3398.499727377243,3191.3098500317046,2957.0058116923556,2722.8679125369003,2526.074994521061,2399.2437503740016,2349.0992386851863,2347.243800473126,2340.8868445704907,2295.892068734297,2221.1742359974755,2157.429157857107,2150.758591006485,2220.359998631045,2346.6044846462273,2484.7436204413675,2611.601149046254,2736.7954523158605,2864.719281038102,2990.124851364521,3098.228909743678,3184.5640955746208,3264.580119300108,3360.921018018923,3474.9544667928812,3602.0402512260425,3732.447741295828,3865.2243742715764,4009.244148420624,4171.810467495816,4340.320863220523,4495.643963733352,4616.363820543704,4686.1040663407175,4716.075859440599,4742.615327336874,4784.417821824651,4817.482146415978,4818.9041874667155,4800.754115143524,4806.832808271582,4864.622604137549,4981.60703461419,5127.595181456651,5260.318662766642,5339.445933657502,5338.09744610421,5276.170178655402,5202.71379398236,5164.844634302323,5157.201860851375,5140.2879960401115,5081.1857202391775,5001.719254899709,4959.76046714358,5006.848124071959,5156.92246517361,5392.181366578715,5664.030825391898,5909.078565017691,6063.928557253877,6098.1098568771295,6026.754100519748,5893.878736339369,5733.322468014721,5530.309211321577
15kg_10bpm,11AB,6381.080644827004,6184.308679777985,5861.168605322471,5466.285924474142,5069.899554090745,4747.767494591187,4564.760823669359,4535.861007171274,4640.438262326614,4806.946012592562,4971.14057798501,5088.058410472242,5140.174645107987,5135.17794256437,5076.635090408794,4967.211071188238,4810.500464703123,4616.051235220943,4383.643518159026,4123.23537416264,3841.457100824808,3564.9698427455046,3322.245248096696,3126.064288156185,2961.7226793312166,2805.0063896425618,2647.9378379563086,2491.6665872332887,2340.294645362519,2199.0938788756234,2086.0041058619295,2013.7260918405025,1998.1448950552904,2036.2788439711305,2112.757128355648,2213.0050874772737,2334.256607885404,2461.2399129899145,2574.244546319888,2666.913587615275,2753.9382610144808,2858.5591672295122,2992.817979129775,3149.0716572255646,3307.055057461594,3448.4200319636043,3570.83767580009,3685.3052734824837,3802.694101857258,3921.395018297865,4025.0592361705058,4093.3204503856487,4124.387045694912,4130.906144089449,4133.793057502297,4153.16017701186,4195.707500793742,4258.0039924852845,4325.956465147338,4385.682476319323,4431.472001511961,4452.746938529298,4448.98148180711,4427.429416247806,4404.72659597858,4396.477800556608,4406.5540186702,4429.604423713767,4470.23810595097,4542.252705242267,4664.734817508807,4797.588845119286,4900.7913819172245,4967.3215290919115,5009.311822090632,5050.077682873036,5099.304942377038,5139.491165118291,5131.554412507611,5045.971931010977,4883.868134076999,4674.868133519095,4477.131798113837,4351.754156335916,4350.349152717414,4502.339343197826,4801.022611500886,5190.720546816895,5567.822918579874,5811.857354689367,5845.661869774308,5680.211420855338,5411.79499399382,5176.335913171788,5094.5319291981605,5215.385379208827,5506.390668723622,5885.833294951928,6238.451707110618,6466.6048612209215,6493.099100734367
15kg_10bpm,11BC,5923.754188416344,5769.316206339346,5480.402284769974,5117.484533543506,4751.580893617754,4441.465269344157,4234.740708990019,4169.021906702207,4198.079899890088,4265.387555154939,4331.534793176416,4367.496858107547,4361.387825773909,4317.794747072312,4251.764017892482,4177.675300405892,4105.60969045479,4041.110132865468,3987.199880707245,3942.735346679608,3906.145713788272,3877.0259559223828,3856.629189981527,3849.9678385377815,3860.0551021984606,3881.5077082953985,3903.3920470142093,3914.2402521641534,3909.0200919123404,3890.442214478865,3865.582739719941,3842.4474061285455,3820.3797665255006,3799.317464064684,3774.3133277924258,3744.168535322862,3709.5256513636073,3674.9705004520065,3646.3902510638986,3629.453867896188,3622.2957175092124,3622.9392583153503,3624.7077791082697,3624.3257460804894,3621.7241638922833,3617.363426867649,3612.0781309251493,3605.39728921935,3593.4423760219624,3577.9938330201785,3561.6123419918636,3552.4803627198035,3561.588402491237,3599.692582612018,3671.2873081491907,3770.137152499952,3876.261623249246,3968.0321363700486,4029.037358472259,4053.9965446252368,4050.3409656638473,4027.5067884683676,4001.5877518148022,3981.9446854275525,3972.865027910063,3973.932141754153,3981.941980080856,3995.649586026367,4014.968974404193,4041.4405743537604,4072.549056403594,4102.904184462954,4126.60167756923,4136.651074430428,4135.182875666693,4124.04409866484,4107.270073687299,4087.538924783536,4065.28705817696,4037.3354530749825,4005.0808639901406,3974.1924756149797,3955.1820919484285,3957.253290656694,3993.681788399687,4073.3141305156623,4197.2183303970805,4354.103646680116,4520.9494640232615,4681.891347704782,4824.634445336367,4912.959496835635,4961.7073289498485,5012.963485686837,5117.2736142525855,5306.064254478057,5564.190249773264,5828.889229877242,6298.553463330579,3367.4983679367892,3696.3898976567307
15kg_10bpm,11CA,3076.787295905305,5005.1396120760855,4741.512917943263,4537.390440532574,4386.323336940772,4275.842329126902,4209.65813107624,4214.471501714428,4230.655113230072,4254.307637172496,4330.445487280297,4502.353183871886,4772.404726881954,5086.149611766509,5365.885472679056,5540.8176067147115,5581.640688229791,5506.943367530848,5363.976877369016,5223.82315547087,5137.499912998466,5117.770563399268,5149.592295991446,5204.887861402832,5254.1810920691005,5279.195636095859,5278.912924114775,5260.124147580194,5231.674367891781,5202.701011452159,5161.14598541792,5078.513300648008,4935.4885737468185,4760.416256178489,4585.125428350978,4450.727523087879,4345.855602789592,4233.019692722989,4098.3738618181615,3949.079313675617,3797.059410710969,3651.5526333267044,3521.321682414381,3408.9692998977193,3301.801053053995,3174.621943850584,3023.8676940738433,2861.5246273547914,2710.581697935338,2588.423680032228,2499.7479065228645,2434.9903762483177,2384.4497925720034,2344.687719958271,2319.6883119700124,2317.836673982006,2349.678589606469,2424.9442635347505,2552.977739528506,2722.4106074825327,2906.9878421165445,3082.432216254978,3237.1452863940503,3356.524058684283,3437.580478227056,3503.8299605991415,3595.449267673458,3735.216665417832,3921.7352104703427,4131.024138964724,4329.656544259142,4497.368476383342,4611.235515408479,4664.071321446328,4669.362263708869,4659.5184644662995,4671.23496526996,4736.950167712557,4868.440125471274,5042.937668360221,5210.999157661322,5329.144511795382,5373.107866914732,5356.1764070459185,5314.402822296747,5277.709683813621,5261.3856369619425,5268.671434199862,5301.807382834229,5364.433900424824,5448.103263409329,5534.352192263917,5605.60457863263,5662.764868613188,5713.424044959124,5773.560952117648,5847.928304507989,5917.148408025553,5950.183084651545,5920.391484305167,5818.0448604546345
15kg_10bpm,12AB,3140.713498649496,5812.580178639701,5398.188731376463,4928.781223188661,4533.635981286633,4292.302168067387,4226.815289006682,4296.583525866111,4418.397751321621,4537.801535670613,4633.7705132828305,4694.193276869839,4713.086941139018,4681.180861027188,4585.440426656268,4424.3189106278305,4206.579655011104,3951.288758121331,3682.3050489899506,3429.870311045303,3212.250254003415,3043.3912305833787,2926.0903861238894,2847.590348789941,2780.461305426228,2697.5521972170604,2588.2492535915903,2460.8638685241103,2344.2372678395395,2267.9388393540335,2234.2748204812124,2234.71353169807,2264.4033842202866,2318.6031554147744,2388.6935843612987,2472.8345597294,2578.6397272298827,2710.354742920253,2855.9202972641506,2990.236277050198,3097.777993708438,3185.071621439746,3272.0290377960287,3371.8191111432725,3481.1203153816564,3584.0746224303175,3657.198478186011,3684.6507419362297,3683.6601180721664,3688.990280638619,3732.659017848949,3833.5710936359947,3969.8713855597234,4102.352407480465,4201.4239588028195,4266.388941942285,4314.593908574592,4363.966089469648,4418.713159685099,4471.626080265924,4511.3178683508895,4538.358762782699,4558.3229706327365,4592.251257679308,4663.589732612622,4764.6758027962,4832.430663638883,4856.7518613573275,4852.797059508884,4837.694373427974,4818.589571873019,4799.302195354313,4773.389230710723,4727.138726031373,4664.490181651255,4603.7336709259625,4566.259219004376,4555.591401131243,4561.696960357491,4573.374572412439,4589.274766055365,4626.814290430501,4707.806032177964,4837.721531929967,4989.3139092013935,5114.17004211849,5154.756218994794,5066.825314301424,4869.328908857054,4635.5220023828415,4454.673883811228,4409.842135248213,4553.89767891511,4880.378997815638,5303.852257954602,5688.898424530712,5895.196686614937,5888.518616553722,5694.07701186981,5386.060803190265,5052.798434460908
15kg_10bpm,12BC,3053.6912383203316,2991.7263586684626,2972.8351771441194,2993.304243085691,3039.39475293043,3148.095409275751,3842.4992148978113,5482.640282635326,5142.100292465753,4720.639425086771,4342.992411534681,4113.224617717743,4035.5989924064534,4052.0002164621897,4135.374876546389,4249.545054239741,4356.162423346259,4430.008669388136,4461.872472926732,4449.589659380071,4414.59923233427,4371.8064340132205,4329.875256243703,4287.897472048856,4240.184962160732,4180.190126188576,4105.005304672502,4021.868802721275,3936.74285693306,3859.4817647925543,3796.658349265183,3752.964541918987,3731.0166488493114,3727.615431466342,3730.2036888800494,3722.304399965892,3697.3822220255665,3655.559697593964,3610.5026868338855,3575.3157994654607,3554.1210032770095,3549.996966434308,3558.358705942193,3571.49198288959,3584.9299572532555,3593.050729320073,3600.0174459439777,3609.285909717452,3623.890382603153,3643.1358749791148,3666.9244101906816,3686.963484939172,3702.786976978338,3719.3486771285866,3745.31044052776,3782.7353427423022,3824.801180451761,3858.2518226598854,3874.4246589789304,3874.6955953785973,3869.533810585648,3871.884411233275,3889.5285944815487,3921.4185249482284,3961.3344825084805,4003.517587426254,4042.7664375198187,4073.813319879971,4091.637885085012,4094.533384095493,4082.611700450673,4063.661098751418,4051.5753693435963,4060.456482118177,4094.357395760224,4141.054665163705,4179.017620522144,4189.056544588246,4163.785998287735,4105.729155730472,4027.959501550307,3949.7623385637594,3895.1588890033236,3890.9281502708723,3955.5651495769152,4096.899068707016,4315.938057395391,4594.549868017212,4886.425297512717,5184.294439954864,5381.491166223641,5439.931498025797,5406.667492038337,5331.533435814723,3931.0227389213674,3480.1069036412196,3515.505560668284,3592.0038685392947,3626.9578945938842,3599.319211902144,3510.2872208742315
15kg_10bpm,13AB,5803.177941961664,5627.330999432728,5415.43110470038,5194.557280053628,4989.238666302735,4814.857798910922,4683.173994202439,4598.7779986520545,4561.820395093993,4578.428480748611,4629.523837625817,4704.245579204069,4787.903431113675,4861.591680932124,4906.153566418306,4903.180520028225,4840.313334667736,4716.90257211596,4536.032012173022,4303.658472398968,4025.628263105265,3731.7631965428723,3450.882320383249,3204.2919974843117,3001.625317403074,2849.989058478207,2752.663617846884,2695.8602650118282,2662.4948988327997,2641.9909795582744,2624.5493199648727,2585.6103515162918,2532.857307893206,2488.418992042103,2468.8981596325084,2490.7285098289494,2549.46364684006,2623.192873758394,2680.8516438341717,2702.9122791934765,2690.833998562878,2668.4078543691044,2668.869362223602,2712.9679460843513,2802.452708080326,2923.803140487008,3052.8443934127295,3177.360111861785,3309.8150632590837,3464.522726946406,3643.9664015205576,3842.2554383112656,4034.086673671262,4192.533661775756,4310.029758871333,4396.964179489647,4452.512900903561,4474.175922622204,4476.904024072916,4481.889549858037,4497.077149709155,4516.077434224501,4530.512937849667,4537.37252775955,4542.125318007109,4547.448885464266,4542.896902993952,4529.743670096447,4517.831359773849,4515.166768777766,4518.250039811148,4521.989491813711,4531.92110790679,4591.521743493129,4703.602570679354,4776.687094377098,4795.483550934508,4779.877087005261,4763.933451430386,4763.013608984137,4764.609905154825,4741.5426687461495,4674.37959062232,4578.1807550268795,4499.691765105849,4502.448086217552,4641.121722437035,4918.896153904803,5295.412542763493,5672.980794755734,5917.112729540478,5929.398265878385,5724.528586376903,5453.6463412877865,5309.701889032948,5404.8645982720645,5731.385087638177,6161.103234837548,6517.18154133683,6653.251562532711,3472.8418588177356
15kg_10bpm,13BC,5671.197843768006,5610.620871952394,5452.008242182188,5233.935236350753,5001.440016940146,4789.616327257436,4620.413778889558,4500.9769401791145,4417.1593660275985,4380.366886096042,4369.036132402434,4370.3511704269695,4369.944324917052,4363.731674139862,4350.754302949189,4331.827305102889,4317.13657964068,4318.003489413326,4336.8365466551295,4370.532167695797,4410.683955174641,4444.522270889156,4454.122771669906,4425.595227234394,4352.07921561813,4236.945923492822,4096.29329492936,3954.185846686729,3833.898550065677,3747.6995435255535,3693.3184824129626,3664.2129931098284,3648.077683692958,3636.2714014069393,3623.3044724227284,3603.8412149851974,3575.2939864462337,3535.36196543211,3481.541136026528,3419.9871687370537,3355.7183795531378,3298.0264340964927,3252.1669807666512,3227.229232402424,3227.2412055308137,3249.4425453231206,3294.1297563432076,3350.3228668690062,3408.849990081134,3461.434141313956,3503.487589787657,3531.098301545594,3546.2780498753473,3559.4265007998474,3577.384731287825,3608.710569245558,3655.781293542513,3718.7343675220263,3785.9028999439915,3850.1662524711564,3905.8516065220665,3950.584106927006,3986.066815723794,4010.301888382106,4027.8232724615004,4046.860122434032,4069.6625348787697,4095.668349596536,4121.791237993524,4148.809191444449,4183.443967437429,4225.576748423551,4272.668176365006,4314.487936045049,4340.94318981892,4343.286651484606,4319.15619783467,4273.268992749036,4216.629670808004,4166.7266969519105,4141.627749372743,4156.356683101314,4214.793752891761,4313.537399861644,4448.745875707954,4612.340726469546,4783.35779181695,4947.162527674078,5066.338831987286,5093.450179073704,5042.1680476048095,4964.971697636231,4925.6615014449835,4976.974005774337,5142.60986750022,5403.2068591070165,5698.575838187988,5950.662710178761,6021.67000495978,5287.297663162236,3485.902838988974
