cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,5352.744818899672,5161.749559890804,5004.10963761647,4943.371766192081,4977.81190012376,5096.15323556238,5224.298256494581,5357.602369011438,5441.37236659293,5451.763600681131,5450.717514461868,5453.601806447872,5355.820225707308,5198.099062358994,5017.127940664849,4816.764553136583,4615.916521866167,4436.4980136752665,4296.064397474171,4172.8292339905365,4027.0201765783772,3887.6495325560163,3784.676960383391,3724.682187785105,3660.563376174076,3578.278118579103,3410.22706139525,3001.6976456776415,2599.2049959231,2278.6294011315294,1966.54653857128,1724.1627812109716,1507.670084801965,1328.1431333355783,1242.880823960263,1255.0349061117793,1329.79281132151,1421.0008942917748,1493.9750802053175,1540.691316708622,1584.8811614608444,1650.3411255464473,1764.3918069585645,1926.9521474366725,2130.0689517434694,2410.9842635952386,2735.87727389162,3023.8043062737943,3184.5224100715936,3251.15277581641,3331.368316615455,3461.804266473676,3646.70768401295,3882.1317585426723,4085.82173670534,4229.970122284445,4367.48098924967,4558.500346547808,4809.92635762151,5005.911127502178,5129.34066386018,5215.624504894329,5268.274677139381,5290.5455289473675,5293.460904205056,5294.504249327683,5287.137106583668,5268.193977966335,5240.81863911086,5223.605157343278,5257.033320718797,5334.527658223063,5380.387114841634,5420.86349814278,5431.735675266782,5421.857844455226,5405.350615237695,5402.550213400761,5407.771361948696,5410.489474982366,5403.29803958472,5371.868716666569,5316.731512277984,5250.565611544367,5214.282701007442,5236.5065049859195,5319.385878621157,5425.29881422255,5525.130773033621,5641.72258599582,5774.284074480815,5820.423068190645,5841.769444703267,5943.67518457975,6033.148082455193,6100.700821844244,6088.308113959281,6051.498577634083,6034.535721377792,5084.163325765199,5175.065565794477
7kg_10bpm,2AB,4592.59443470259,4443.2549645749905,4271.243668693782,4125.738838637759,4041.134784179306,4032.580592997603,4085.858698715349,4160.891484531402,4222.465011946309,4235.507645594826,4188.385745284015,4085.865214697498,3944.8622613426223,3778.281088901162,3606.252724780133,3446.708240641593,3310.394829089102,3184.441007952671,3060.7279576711767,2926.474629688939,2773.330344268414,2604.9694171077444,2429.3508424135985,2256.766986039751,2102.2955821668506,1977.7135519991587,1887.056948435512,1824.3732088667573,1773.7633305579345,1719.9648634047876,1653.200295327376,1572.1977930640148,1497.5073184206344,1439.5598796685392,1415.2793615330386,1444.4042553481188,1526.9669468560041,1652.6450366132672,1806.1585440997073,1971.2352097684711,2136.756765916915,2297.0768582698997,2451.382411680736,2600.185579729606,2746.6725876751116,2885.90752146243,3015.523781508929,3126.1394526318054,3221.638236154072,3313.5701816830287,3414.987764443535,3514.8344920876298,3611.2722055580384,3686.2083242328267,3737.305163814337,3774.4345822130313,3808.180328053792,3841.802004215826,3881.12620865368,3926.234546413649,3972.253956215812,4013.8680646564144,4047.9773526848985,4068.123777158142,4080.6249465537344,4090.866841228636,4104.693298721983,4123.631967486691,4140.523113112696,4145.764184579065,4133.266170743474,4103.40202864364,4070.8527039642577,4045.3888322010193,4034.0477002491334,4032.6230499137437,4030.7815364641433,4018.5767835799593,3990.191846760714,3937.084656321506,3859.617639322589,3764.297563320978,3668.070631965356,3589.069355022635,3550.1407409874237,3571.184149068223,3659.2435084448275,3809.353350137778,3994.3183076641626,4186.155876453797,4358.636399344493,4498.374107897568,4586.5980142282115,4560.845657629885,3582.119980254494,3716.770448187333,3825.56109572122,3901.554448491076,3937.7957261744223,3939.2021497335236,3904.4049955109735
7kg_10bpm,3AB,4950.311331110814,4686.120691250358,4406.066862962956,4168.966375157587,4020.7919409251263,3983.3358769359183,4044.1119590776607,4159.902451555396,4281.08092414406,4361.123438470071,4369.672230979903,4298.98338943616,4158.196365187728,3978.925515207396,3784.0964586921923,3591.6162866992977,3418.0758881146417,3260.284351018471,3109.688245864276,2953.5118109382825,2774.8226190208316,2565.1579194949527,2328.8053403929453,2077.592382580765,1831.3441100199109,1615.719609536498,1453.2570536631144,1358.6032678725492,1322.7078919007333,1322.2718460569167,1335.1388774457023,1349.617885211496,1363.737315390976,1379.4393249261102,1398.5695399210642,1435.1947863714013,1502.3443309296324,1606.033167505739,1742.522038989608,1900.295864820154,2060.6686881207993,2206.552195353054,2330.9526394344107,2439.273284510889,2546.1121328419704,2665.3630454595973,2800.94133659821,2949.076501691107,3100.585220917185,3237.1045780570244,3341.7336012137052,3414.7447616920017,3471.5480943233574,3519.876833351279,3564.562438513256,3608.1594368025685,3648.641112808956,3687.6317536807305,3727.967538104965,3779.9440478838123,3840.252381189099,3897.6172374813323,3940.2115804337454,3959.753568575249,3956.6940177097836,3940.7100262292424,3919.4774707365814,3904.0802742845744,3895.0010619862614,3886.602449651988,3876.795590972351,3875.953501319404,3890.53590072815,3925.217406125819,3976.1628273385427,4035.024334494291,4091.415144105858,4136.7339160130405,4160.826348055766,4165.239025028779,4147.057414322733,4112.865354781682,4067.032260706263,4026.340036761602,4002.8320916336424,4006.3833944888647,4056.624115396511,4135.032194744997,4225.5686833524815,4309.131317211348,4371.384215784707,4410.258598502842,4438.7028665945,4481.837753221325,4564.623632506252,4699.645394313856,4878.7335204495985,5080.314038558134,5275.097250577807,5427.931512409398,5509.985541710946
7kg_10bpm,4AB,5066.236086312421,4819.448679023829,4550.086439701423,4325.127774767241,4190.4545092606795,4163.974354736111,4238.924898409413,4379.566550155731,4531.448747255592,4639.1238913017205,4665.417503400867,4599.121758204665,4449.307429479322,4233.448211531594,3985.9161527117603,3740.2590119315114,3521.431744040647,3341.920157288815,3182.3593639535575,3025.5414488461447,2855.328256084213,2658.4112851044165,2433.3370128138986,2188.449139130722,1938.0456854805327,1693.6460689993742,1462.7646719656377,1251.9492115501919,1065.4865308857454,910.7978077754562,808.0238795670269,755.0905644374909,753.1101000759253,796.8693252750495,884.3648072997968,1008.5553358238894,1156.7800227072605,1316.1941459667848,1477.4083609688396,1635.453208750647,1787.812304574244,1934.4289941319491,2074.1866768518375,2204.605749025258,2324.2969911354962,2433.261246811717,2533.672643638795,2629.6662094910243,2721.4940872101965,2810.3513307851404,2903.5000329077243,3005.3601423237933,3110.2823162548398,3208.2954671222337,3299.5118944817377,3396.116784890749,3502.741422340486,3628.014005005678,3763.3495482885482,3893.11501059083,4008.187134341751,4103.41373660766,4175.9298291436035,4228.993260312317,4270.777574546689,4312.25113395779,4364.022044510784,4424.475520502007,4483.555321994555,4528.5071502857145,4540.992146890189,4504.508148604058,4411.334363948176,4275.554164638525,4132.691527919334,4017.819497972344,3947.401843723598,3923.453510030626,3936.2188291762445,3965.900466259048,3992.2648305644,4001.6615517220007,3988.961456105593,3959.9944776257125,3932.1568188626165,3932.2226628913468,3989.6748064089043,4121.43081520946,4310.0091503367075,4501.375452150028,4640.86773331098,4745.046533436194,3532.8582340966873,3474.479052188583,3404.55854691438,3404.956051484124,3475.001442913608,3602.6822703171665,3756.9202130992794,3895.6224477940514,3984.991470111317
7kg_10bpm,5AB,5033.738319181526,4766.593901018352,4473.104868259315,4209.265459576732,4021.5328935802345,3936.4785351743603,3948.8914969980137,4022.5277686795366,4109.394200805522,4161.701506173077,4157.543524577869,4090.8940612009337,3975.3846166601816,3833.532611542177,3686.0075137465105,3545.161850227259,3415.737337523675,3298.3198878247704,3194.0111793645133,3097.681121443122,2999.735149810909,2881.958181122457,2728.0588926509545,2535.2789546155327,2313.983054896962,2083.7306341179915,1864.9233194705107,1670.1754213963927,1506.835017048616,1379.3772327179213,1290.2735363017496,1245.583458673145,1242.499760255536,1268.746918138134,1321.8494150354913,1394.2563797172647,1484.5361176670885,1593.7689642021496,1714.40773637199,1838.159287122398,1962.7330977063443,2085.957522379413,2205.922119259449,2322.2065691410853,2432.844275098359,2532.0844421169054,2615.492788899844,2686.0990569295077,2752.4564442251103,2815.7788749927763,2882.9873869580297,2951.003640784861,3018.9592331942144,3089.0880319525986,3168.3974907806214,3259.3725457965097,3361.1741931229258,3456.496614363291,3546.9115645222946,3628.8149325627223,3710.2122940303852,3792.8846519147064,3874.7682309075585,3951.1939240119054,4012.0663334073374,4054.2900559767345,4082.1512941875026,4102.991210913501,4123.766452558183,4147.432823432461,4174.993670456288,4201.333476522281,4222.043678892841,4234.068895932485,4235.977050222047,4228.029381531109,4212.114768565521,4190.46519971673,4164.6946265402785,4138.082002432523,4113.450642203417,4093.7159924833118,4083.4852960991107,4087.9351946097595,4111.325780449371,4151.1457688467235,4201.312879841338,4253.856688984854,4306.981109910806,4360.409743884854,4421.436501025513,4504.374881217786,4619.053538549543,4775.842686654914,4954.870317525221,5136.824113421253,5304.907749234408,5438.434187532567,5516.339373563809,5521.511659761754,5444.1351361137185
7kg_10bpm,6AB,5064.990278695155,4761.459609810976,4434.828177854418,4145.169193657174,3941.073264942992,3850.2125290421204,3873.8564493948397,3981.6028835861584,4118.0998632753535,4227.638714071561,4268.90114864326,4220.659301849066,4087.628583822908,3896.522785795108,3679.0488383530574,3465.3183167359653,3281.197841143828,3120.4112134439165,2981.6560163343966,2849.5565004847795,2710.82593653508,2556.312830804322,2379.0528088203873,2173.7789646289825,1945.2061328680456,1711.7113223084516,1495.9652519053334,1314.7680672334939,1175.813953220636,1081.056109161709,1026.999015963555,1006.2775520050926,1022.283153248477,1075.1262427682602,1165.318920012947,1283.9687807870166,1417.740562137568,1557.1184050677657,1696.4560193200548,1830.246364024036,1951.9099952557558,2058.436433176806,2151.5997156185367,2241.094162163608,2337.3533540733324,2447.291576063551,2572.973553368893,2711.673098089312,2856.4105734688983,2999.6246635108373,3135.557212921347,3262.007573444151,3379.0962854495647,3485.9767416013956,3579.1487068132437,3654.2422278533477,3710.109954932815,3752.3036347155416,3785.785291798903,3822.8376987426536,3866.1246828895423,3914.2909012686896,3957.7875833229978,3988.9641108380397,4003.511190935205,4001.650984787598,3990.36802680904,3979.194703476442,3974.6040772355664,3981.880958965851,4005.0327892912246,4040.2598553662992,4080.3533611435914,4107.470118636546,4110.253525670009,4090.5413514309002,4061.2347567954407,4035.9489124715233,4029.9562635700827,4048.712263195004,4092.4015663860287,4157.974495365937,4239.081340506327,4326.486382679801,4408.334382406329,4476.086836224009,4526.275709521076,4554.187483898777,4556.565971841358,4535.414346427583,4502.815386196469,4459.07997787805,4411.136938507983,4381.378190875637,4377.071461604242,4410.996798646775,4489.618248314241,4621.602273132669,4797.699807644927,4995.4474154225245,5179.5250071328
7kg_10bpm,7AB,4880.4713584490455,4630.477913199656,4378.896675348751,4168.649291467468,4040.6978231560684,4011.872730431535,4071.734068989953,4187.636870389356,4307.209868984532,4378.743959455182,4359.748421984159,4247.018902477819,4060.5531496694302,3837.1459731066193,3609.0902291831976,3392.671550833902,3198.6968493836425,3026.5280729388965,2866.5081720961552,2711.2226900202177,2551.713767500328,2379.7897830871193,2188.2383057468,1980.101115596578,1766.496126254617,1562.8151491698015,1385.1310579007782,1241.5090823799135,1136.5417951338266,1068.92865265936,1045.3419104696131,1070.9716215772858,1133.882728458138,1225.3700235371878,1338.1368741686686,1470.6989188779833,1615.331485043621,1759.4141038799103,1892.407558005315,2011.4661493598635,2121.7358218023314,2230.0335036224897,2340.5947555207326,2452.823199509117,2562.79382549095,2665.190729880414,2755.430933919849,2839.1240252827333,2929.159639382169,3033.802271273497,3146.886434407742,3254.9660754597962,3352.0174077255792,3430.4150989402283,3494.472479374274,3551.5274341999825,3605.6181111871083,3662.0415128293384,3720.5669693747527,3777.863631611725,3830.618595609353,3876.5017051359537,3921.1231958657986,3961.9225333307645,3995.081490353394,4017.0546143125753,4029.147803904432,4035.1887341028964,4040.8970454338814,4056.654637233826,4091.3761285217424,4148.945708065535,4222.394468258031,4294.5078664534085,4345.284772986496,4360.624253642627,4341.044549199232,4296.66932583628,4235.791458011407,4164.052072246035,4090.478055138804,4023.202356589989,3971.5493263750277,3941.6670773823816,3938.7858695851323,3971.029286578161,4052.688537144012,4157.842909244612,4260.184665862357,4328.4869113728955,4342.838106637773,4306.745037753453,4235.295782891969,4166.479444713575,4146.626641734079,4215.584224232577,4388.539504220544,4657.570240708628,4961.332778722758,5213.759705146537,5344.214518290301
7kg_10bpm,8AB,5185.546689967022,4862.989241710709,4500.57332191065,4161.63698896963,3909.925753261811,3786.7622435600483,3795.9286637497908,3897.3388789844175,4031.210590766879,4143.018474705869,4201.5352579054825,4191.550829680243,4107.002476611504,3969.419712348233,3790.060299204321,3585.943132600744,3370.8976426802587,3151.096858431575,2933.918617252155,2721.8261979137806,2519.3045837210607,2338.8544939651383,2185.909913404921,2056.168912647806,1943.886517188772,1842.8627073314747,1741.9706822836881,1639.8901187725876,1542.592544227823,1462.0700819646736,1409.6253935388138,1383.626810026318,1373.6480691664399,1386.3231299291829,1431.55297810615,1516.7417144021858,1634.884717019337,1767.7675766234295,1900.3152308269803,2023.2416295150008,2133.7095732610865,2238.544985012439,2351.8973187154597,2484.449163690918,2631.7435673951218,2778.4205716275033,2910.6615395007857,3023.295000622751,3122.866487575965,3220.387251213909,3321.6022069228657,3424.6976102549693,3511.8522911725313,3578.8541409655,3617.436476994718,3633.236383634325,3639.651151577974,3648.7068827279336,3671.263968106433,3706.4588900673107,3755.796641329172,3809.116864116354,3858.8339018559814,3902.2263118351866,3937.02293231413,3959.307499497794,3967.241901878148,3967.2102908948386,3967.746227639431,3973.7041281377847,3980.098705999637,3987.000474357235,4000.279735901458,4024.8508104786642,4059.0340058193333,4100.448994630857,4138.908421333555,4159.991146180121,4155.808843594155,4126.725774862404,4080.058688741989,4025.2198035060146,3969.6186914304826,3922.3763471510883,3894.9846723163805,3898.5481755164283,3941.55043334033,4026.0874909073054,4142.154587167716,4266.825321388371,4372.339397480357,4431.4783934581865,4432.918587167913,4400.01362883005,4368.508012489232,4375.806087354601,4460.082955817387,4645.926723366418,4891.495577865564,5128.602075358838,5284.734859310937
7kg_10bpm,10AB,4890.5737283227545,4627.020276798727,4285.8553870683745,3965.165181744732,3747.4258927163487,3676.4106016078563,3729.4014110694006,3846.6943383266625,3954.8492625473546,4003.493818137187,3982.6102201248764,3895.446940139683,3747.1555105668194,3546.560717267303,3323.989278411846,3100.4457798959193,2896.838382943957,2722.3702902435775,2569.486655623799,2424.2068188172757,2270.569627453105,2111.7338740728173,1963.8991099953987,1839.5315660925269,1757.741201230359,1738.466834306757,1773.8782091597802,1846.689159245916,1937.3446919115052,2022.5609139886371,2080.6944527638957,2107.193267501073,2112.9965513221005,2113.577207443395,2122.4034243067376,2145.336616914192,2181.1595798222934,2225.0280153767,2270.656813116158,2306.354937069748,2325.4402151260124,2332.287859894753,2339.6570244220075,2356.033512179682,2391.4953096973063,2453.369793727754,2538.102367161657,2636.5859541076265,2745.6766231519405,2873.1048123891565,3013.628988649004,3149.374347911337,3266.6080925358997,3363.868900095654,3456.816692372604,3566.4159976437145,3691.9146613831253,3808.7525958727406,3890.6398680889347,3934.3754948811984,3963.658034775745,3991.000854682214,4028.2180750920097,4088.954315721692,4191.4192035891265,4300.828109903933,4323.876036226553,4204.976818029976,3966.6982157791235,3701.466022586701,3548.8400419821232,3590.825404635595,3810.9590237434,4091.744760853336,4257.7852207426295,4214.176909702727,4034.319248301569,3866.4195826848318,3829.553519836581,3919.175692803296,4063.855303003509,4160.361653337434,4148.084835558709,4050.3063959075353,3922.9482755151716,3831.124019369509,3798.3473567277524,3832.953173331112,3911.595057470044,3994.37803530608,4064.7648000826157,4122.359012248333,4180.02722158367,4248.4873573774275,4318.280016823397,4366.578844302139,4378.529983333767,4347.199956883765,4301.263988408324,4265.6968542117975,3047.277473272094
7kg_10bpm,11AB,4931.569693782522,4551.734178832099,4146.53416849007,3865.2490277894562,3790.2437349688994,3886.998616264453,4045.3823221113903,4150.33818954866,4147.211643362676,4051.299568155293,3907.928550775741,3766.0301109655857,3640.570957818136,3504.815332275053,3320.570269794845,3060.211591797608,2727.530562068193,2362.0705359916046,2012.9350708260872,1725.9795855105197,1532.9120030826552,1442.83794729451,1436.0034602217177,1471.0490761024573,1508.1084078378549,1524.8423172137889,1520.9198538795233,1521.1638273260753,1558.7324107250572,1647.8567800293092,1773.1922854535242,1902.6518658705775,2008.6546375207731,2081.5586623074732,2133.638739976321,2179.9231659305347,2234.5169497385127,2302.4759819251203,2382.4299865201656,2470.600762861329,2567.994991328264,2676.9116442702275,2796.7981918420946,2929.3498659130273,3065.1333698429,3196.242079105108,3319.569105106303,3423.114282737022,3505.0671556612183,3582.9269612686126,3662.4862915732374,3741.427139733479,3821.1624033617513,3896.959851593657,3951.2927652556878,3971.63467235378,3961.843317213565,3947.545925921734,3952.063912096398,3989.933741658061,4047.4825171574043,4090.106735379666,4093.0622782125215,4027.5761170121377,3871.191717184374,3641.433828838373,3402.2309464932096,3266.9295165951276,3346.522662918227,3628.1262716671563,3953.819495533763,4152.536251368511,4189.809202656636,4076.2286738176417,3910.957707718419,3797.276780271761,3754.415106577593,3763.9144509051644,3794.097774171914,3824.9991824807817,3855.669660602412,3895.6140068364375,3953.871192122656,4019.1147395371277,4068.597145930692,4079.5608571209564,4040.55550342271,3976.967049677133,3912.463198637245,3862.275349055855,3835.0518983058637,3838.953796534887,3867.8961845506647,3904.866110090327,3945.442422957386,3989.874302873912,4048.912996605365,4126.428367402476,4236.590964152009,4368.335998856469,4492.382732972527
