cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,4876.863498142227,4779.238903099378,4596.914512744155,4376.112968347858,4186.882210479188,4070.1843829392897,4000.589531579063,3968.8032745473206,3961.5694632552404,3958.0749844837787,3936.636740282769,3879.546444943236,3780.340836648244,3646.7855099036906,3493.355708817055,3339.8182227797215,3196.2148562171583,3073.9253989468416,2976.9823317676883,2907.4701921551887,2864.2639141605378,2843.5657034532974,2838.8563843830516,2847.997203732956,2863.773354980117,2878.731145560141,2889.632651179187,2897.430895217237,2903.3737017595677,2907.819875734406,2912.126923524642,2919.4151917146023,2933.0160632833376,2955.609504350554,2987.8396336148476,3024.4860822302217,3056.450176332156,3077.2357336867476,3084.52054234724,3074.1456743421377,3055.900892843827,3035.458808662844,3019.7147841484884,3011.777612512995,3010.8670125617946,3015.1041014068655,3022.055236568413,3030.1574061134506,3037.4622215578365,3045.9747023923906,3059.4946617252103,3078.378464390447,3100.1598380292276,3122.8146847664248,3146.752238462331,3171.573353715014,3198.7704995037775,3228.718154086481,3263.00538845703,3298.619379798031,3336.470999103979,3372.5650883366543,3402.102835365377,3419.5842844010804,3421.474205108463,3415.984380110796,3410.4597435691426,3411.9212450441914,3422.6054741893954,3439.3667388168888,3459.61951636878,3481.365786494536,3501.2366055449297,3514.3697219189376,3514.4258056671097,3502.301738302226,3478.665980369552,3448.073813933129,3408.277179294663,3365.1937191556,3322.0767390488427,3278.3790497631385,3238.5391836040862,3207.361688551122,3196.0987737485384,3217.952231665545,3284.488795970549,3402.330044017265,3569.241870085972,3771.4841737725683,3983.14052537321,4171.175263546273,4307.4966319926925,4376.89654214193,4377.266447866124,4333.637376422397,4271.995300611054,4211.087819681418,4287.416208696908,3137.195146197974,3304.841906126421
7kg_10bpm,2BC,4320.811513033698,4217.337393287523,4125.672904669607,4064.5559309598552,4031.1446650486378,4028.8527943779973,4050.413415353115,4086.296009517988,4121.7741942351895,4144.5957528926265,4143.969100611727,4113.013657053375,4051.273268918629,3962.5077715174766,3852.7990948318165,3725.5857349639377,3586.4021171986683,3444.0225455452323,3306.7478548632507,3184.640889980087,3084.616569388191,3008.8013229979306,2956.9923141907484,2922.6274124266292,2900.8816578036985,2882.7562555517306,2863.8080626010405,2838.709295269829,2804.6879538603266,2763.6611257743557,2721.3496816480224,2683.781405308059,2654.646616857278,2637.1011552319032,2633.286296022112,2643.618496468666,2666.43340863421,2696.7986564982757,2727.5542139593467,2752.44706558372,2767.127448927165,2770.4131695809738,2764.672697099474,2755.1104973523366,2747.2694743989505,2745.7997662465527,2752.2814252638473,2765.5203155336876,2782.4123027671653,2798.884498208065,2812.15768004217,2825.6800610811893,2845.504367407561,2876.547245026994,2920.532265867691,2974.694286875886,3033.34541362325,3089.0844846406653,3139.236408392957,3183.9414396021475,3226.9885912330565,3269.4972588972864,3311.8828758678264,3351.4147333997985,3389.709293462853,3427.7936776093984,3466.764048146999,3507.434701824561,3545.864170815348,3578.2649704585624,3604.5635573588042,3624.147527582484,3636.4725811190947,3640.5086208766074,3634.238113420497,3623.3642880896587,3613.1683823271014,3605.7491997611737,3602.2372877538055,3602.230887153727,3603.78865298194,3612.617705092536,3633.1635197511946,3670.793505879369,3721.496742601091,3779.9711990176097,3839.9960894474175,3892.425182181721,3932.151683770928,3960.7943204178473,3984.1966999535734,4011.047638761031,4055.1863170088172,4127.555728574073,4230.537294727308,4362.494781347886,4508.47268675249,4661.259481898184,4806.988945528252,4326.504565762398,3837.458210953387
7kg_10bpm,3BC,4782.0291839704505,4638.0864480978935,4460.404643633029,4279.76695813913,4140.42744341432,4056.533462907864,4012.290155553927,3997.1502101898395,4000.173594194077,4008.150090479556,4004.226762398731,3971.747276855112,3901.566408258496,3799.279965443484,3677.5227972627526,3550.5403392789867,3430.603264383087,3325.9424249235653,3236.895961845396,3163.184240012143,3104.079851416153,3056.627054651633,3020.693451196066,2992.100435302746,2965.1753381747712,2932.6792144649507,2891.811708241569,2837.871732408089,2778.545665637543,2720.581340995896,2672.718771461694,2639.9650480836367,2622.8193721382795,2620.8240062483237,2630.0374999522664,2644.7256431445508,2658.8556168478312,2666.4539164576763,2666.4684237390047,2659.7830096526113,2648.7943750459403,2635.163236325682,2623.8744100519157,2615.717306159937,2613.099782669092,2621.741255678563,2644.906229423322,2678.7876356697393,2720.409166089958,2764.5109236078706,2809.649892292571,2857.971644345134,2911.6661493385423,2969.973118431054,3031.4685429316955,3092.421266542675,3152.77591513371,3210.6464772079466,3262.1080021339417,3305.556429519207,3339.145284795674,3364.247765703428,3382.988381907751,3397.864410155537,3411.33531150109,3422.124317736137,3430.4536644159703,3437.358804500388,3442.918785363611,3451.0580145787712,3459.890783759232,3468.429721517378,3474.2146900420857,3476.507455181156,3473.603723775671,3466.3256325685584,3459.588323513071,3462.0208153931476,3481.2824963173725,3521.2150259708405,3584.3629538732976,3665.31996289866,3757.1581888292462,3849.95626061039,3932.0191843150274,3994.4906026608824,4033.2530853730673,4049.569553533218,4051.2172076225556,4051.7155222083065,4069.30091376283,4120.383904320202,4221.418373086743,4385.61299257076,4600.328017925726,4848.1405336119915,5079.688484831093,4555.750694259574,4060.857166591798,4116.216114760647,4148.488692833359
7kg_10bpm,4BC,4581.093574529216,4386.4121905783,4161.915788063946,3996.4679964711645,3905.342349484489,3868.6322247304047,3882.3443327792966,3932.582339468772,3995.9337321032494,4046.1108951171823,4062.6312235094906,4035.016431862977,3963.7391029099635,3856.3202853167986,3727.1951788711417,3586.482731434,3445.022753409265,3311.7538648240566,3192.7595552583716,3095.341679812124,3022.091916859419,2973.559391864264,2944.2132326444203,2925.434704037419,2912.073204130953,2898.629422213442,2878.5134685798625,2849.7825892208343,2809.409559129767,2762.7198077166017,2720.2861375939037,2692.9273792294757,2685.6828429496827,2698.9031714099697,2725.065452489629,2756.1396833997624,2782.5991137289484,2797.3750847823553,2798.283574906529,2787.9116590893914,2771.5579080075995,2755.534084218292,2742.8767450196638,2729.2559145542705,2707.702405215847,2671.4995366796957,2620.092647651361,2559.683055132181,2501.847512813916,2458.8432822304208,2445.1571333790266,2463.0088837623734,2512.1195810695326,2588.287648553835,2684.460359075223,2786.6239709806478,2888.1991939445857,2985.7645201514774,3078.4646457373483,3169.840623788563,3260.6658531179514,3352.2801993726243,3439.4386882651734,3514.225500254067,3574.221193674173,3620.430939994505,3651.943533328339,3667.379149116147,3668.119362896549,3656.7668402809622,3645.53918595209,3639.6588230090188,3641.4755694224627,3646.951667103564,3650.3918102184743,3645.9631593659246,3632.1472429584705,3612.3178672707904,3586.7105004997584,3562.198256204768,3544.1631081576725,3539.1954404247713,3554.258140147197,3592.649209941778,3656.6070853631545,3738.973877999471,3830.55860525961,3916.5310156747887,3986.2479784207,4038.9123674146103,4084.4979726585484,4141.4473403860875,4228.49618096839,4365.131831085533,4570.556510298476,4825.852029796784,5104.497553336275,5325.080202264096,5517.422401113668,4132.324727795811,4355.38973971438
7kg_10bpm,5BC,4641.458275645886,4496.463107993741,4293.563477289314,4085.9096709859828,3921.9627336091257,3807.625832888086,3746.7644200764676,3741.8696810115457,3778.932418474184,3834.499076084991,3885.3142414064387,3910.438190053934,3895.1974326787445,3834.2775162804805,3733.9474170606272,3612.0026691991675,3487.6079236672463,3376.1195629428175,3285.737756629163,3216.160819176946,3158.4057344524563,3106.589987191975,3054.7942400381626,3001.1496749584276,2945.9228487283053,2898.02882645007,2864.0845317102435,2851.289195617746,2850.597307653848,2851.5166364041966,2846.381279328763,2833.570872454212,2818.0108339000103,2805.583871627519,2800.269634358338,2805.030559486786,2812.4670768107094,2818.2075882292534,2818.007110819423,2809.2019467890213,2792.781312210127,2771.4918644732725,2748.635502833282,2729.0713518810176,2712.682017623365,2703.00361342242,2696.13519871554,2692.4251308490266,2695.6162332002446,2708.50220446426,2732.613972624955,2767.481832691084,2810.6038850631276,2859.2061677201987,2910.3616066502045,2961.063589280043,3008.756704143539,3051.062414964255,3085.702706461054,3113.0216426141988,3136.2155201430032,3156.0581548643945,3170.713536833977,3181.6057903842534,3196.081704738106,3218.563763115344,3251.3803028755488,3291.5678500266968,3332.8758653874556,3368.3773948907483,3392.744429949743,3399.6880568544275,3385.9606344517606,3355.141425187577,3317.6635386383086,3285.6470632103355,3270.27278295729,3277.1222789864228,3303.920923087907,3343.961706691662,3390.9936289633615,3441.7065627980846,3501.221773786441,3574.5049510260956,3669.312478222728,3790.4352212487142,3934.8448724979976,4094.1581251115203,4252.513688910887,4421.184353903479,4585.279338492247,4720.820336022531,4830.223084386069,4904.539728148922,5085.91791003408,3808.315287924064,4049.196145294861,4116.933505298102,4115.69337680858,4046.770372082389,3924.7051823146335
7kg_10bpm,6BC,4890.7174627630575,4796.400494045796,4605.039423542519,4354.3719824501,4145.419997782821,4014.855259730196,3928.30085543225,3894.5045455219406,3902.1579543886232,3925.116915324637,3934.632312712203,3910.888707069126,3849.010188276479,3760.172894438874,3661.944525516492,3568.787517723004,3490.79353985085,3419.395780069439,3345.4447910364847,3262.563529001533,3170.3675242574373,3078.957088753664,3002.0043039170214,2947.6972223084977,2916.4693887373014,2899.3730849777953,2888.4624231882503,2872.439250560486,2845.09548231024,2805.831747688723,2760.2664825105535,2719.1470312647434,2690.819204364622,2679.1459972707153,2685.2874539867776,2702.820927772736,2725.6724793791936,2744.7181413739154,2752.0954423621283,2742.67919672899,2715.4868115107984,2674.6358854503364,2627.467690648201,2583.7540960666547,2553.0412032193535,2539.6448175256337,2541.080052202008,2552.9494466292836,2574.098346587395,2606.7548780851935,2651.994223376277,2708.0513959925415,2769.2901664886026,2832.871709279491,2892.8362047919713,2945.434084531558,2992.3816995172256,3037.7024706732986,3084.0970497274006,3134.3616960257364,3191.850274071615,3261.3577588909698,3337.2361797986623,3423.6248426159345,3507.194589989205,3579.0526493660673,3631.6768923869677,3667.8711074207436,3690.1005997466996,3705.3761835766363,3719.919454072751,3734.108990293936,3744.596152163579,3744.6930941310097,3730.177182695993,3699.4688722569035,3657.5009222335484,3612.59229766981,3569.340679244074,3534.4880222856177,3518.8978745622076,3529.9295580172598,3568.6464978865424,3632.7045873114603,3717.3805984032624,3812.992717177919,3908.6605030144374,3989.536384351825,4044.433947909872,4073.339072829206,4086.0616051477,4101.4732386611695,4143.455304870275,4229.51924476661,4374.521220570212,4576.175689274568,4778.569467121174,4675.584217236405,3878.636747873851,3984.280618284658,4037.9490783763304
7kg_10bpm,7BC,4919.834695106618,4744.992087893724,4475.522537104395,4178.313521195855,3968.8790302133903,3838.8987221029442,3790.4198954607805,3808.7401520505964,3855.602747131052,3888.9369008721596,3880.758029621083,3822.537035103659,3728.335435459187,3621.2804817106266,3520.6266160482605,3433.5316666872286,3357.7630992679206,3285.3082451027162,3206.0197387814014,3121.190077029482,3036.1337995516024,2955.2230606944063,2883.877045068021,2822.756140907631,2767.8256854816277,2715.4228141755507,2667.3143596822106,2630.95934328065,2615.6788503833504,2630.229439794536,2675.562651317136,2740.818773523303,2812.578688898174,2870.2783942888295,2904.093845499258,2915.303893480778,2912.110455875832,2904.1215102341007,2897.890094138361,2895.609084098971,2896.8798790280653,2902.5401224281454,2916.4226808303647,2939.205704191248,2965.6867527085055,2987.0009345930885,2997.0312554144657,2997.460119496793,2996.169287813392,3002.1189904268003,3020.5082575236434,3049.716549012453,3083.0777255409403,3106.50751743757,3114.686567249002,3108.837769478961,3099.96451635947,3098.669762802396,3116.7908109910277,3156.3504032312085,3214.346385472977,3282.701062433711,3349.554720700793,3404.186733304729,3443.3854969284694,3470.2483687568642,3486.3862874913584,3496.006819204484,3499.556076695635,3501.2756140911956,3501.655099466826,3498.691421658363,3493.9900992953185,3489.962497804306,3491.104237151059,3498.7250102259673,3509.7420744225633,3516.2510965683327,3511.116932359083,3492.486571708098,3462.0651825244686,3432.069665439194,3416.0131403464857,3430.5237955946122,3488.9331182948476,3587.2413209270144,3712.4228251499285,3843.76396935136,3960.7942258850067,4047.151376519156,4095.605820108156,4116.687888828005,4107.597510626613,3760.3137485352017,3335.776365479754,3427.0396904269937,3567.7908726585724,3721.496009386494,3866.2087423845387,3968.0003169106035,3996.122172777902
7kg_10bpm,8BC,4634.770825112164,4542.134499367507,4384.918845086116,4213.154836475625,4083.0293843596633,4007.7404534947764,3982.7797897945266,3998.1453452546875,4027.599420408925,4038.427142054847,4007.7052837583396,3925.1389865473266,3797.2951402048157,3645.4886727819708,3497.7407021810923,3373.2210301629916,3271.377713292165,3185.665229288528,3113.261457391639,3058.101053071737,3021.455725290201,2999.0354881829194,2975.8943260176748,2936.608754534638,2873.776328671733,2792.885836607689,2710.6834294808464,2647.2070352306177,2619.00610165425,2632.5319888590657,2679.0949258810806,2737.6885751648574,2788.54900802337,2815.140353143352,2812.4907672935283,2789.18350281312,2763.1170996752576,2749.2941889030994,2761.4014634764626,2792.7133403783705,2830.7931608710337,2864.988021453844,2890.256679331509,2909.087295978634,2924.9269568142995,2936.832090224256,2942.028138721011,2939.875466466806,2931.526463698014,2920.927606499797,2914.13865162629,2918.3867093518234,2938.5800469175892,2968.948020368722,2997.3113670642883,3018.054127798276,3035.6951211368155,3059.111620962136,3094.7557601373533,3141.730173015516,3196.171949824903,3253.2005850219434,3306.573367479638,3350.0386417733253,3387.104783838931,3422.6655273742704,3465.1312593036655,3518.6491414665684,3583.7243771322874,3654.717342011107,3714.578344559439,3746.359142493803,3743.420267400737,3706.749958868341,3650.36012881036,3593.881498939457,3543.595907022481,3501.618225443821,3463.374484009044,3428.5812718368334,3400.8007105358406,3382.4211385240205,3381.573206858148,3403.5054081075023,3451.1261891628947,3519.400778549156,3600.3862987767384,3682.430417143829,3758.18129131597,3824.71057776461,3886.8736767389646,3951.2089580301886,4022.689377499469,4104.976024547452,4201.645065516224,4314.335992183086,4439.947511599297,4571.70548434436,4727.556270184105,4922.971917338712,3813.402177906343
7kg_10bpm,9BC,4335.25966801529,4181.300631999709,4032.9803560391347,3912.311748584592,3838.5618841143987,3811.5138438282747,3813.302566307294,3822.4829283557247,3825.76312311649,3808.2645460561703,3759.5953086842787,3678.2664409436393,3575.701201107781,3471.8923844168958,3385.0945781398414,3320.2586115880836,3272.8884546700087,3233.353351371693,3191.4497227483225,3150.510739923663,3113.804360608285,3083.1640107164676,3059.018001315117,3033.4823150604857,3000.2938001357147,2960.832135466646,2922.730571605995,2892.839468316386,2870.970859247209,2854.3933462428045,2845.119158339053,2850.246705054343,2874.4947621708325,2913.774301161123,2953.846574523515,2985.413815437799,3003.520564495291,3009.5419381547435,3006.8277325241793,2998.5344408173823,2985.476378965455,2966.9404354447984,2944.0835313625535,2922.5877303742427,2909.513406713255,2909.7365319384735,2920.39798243866,2932.1833706230123,2935.407109559192,2926.5226945016157,2913.5783528145985,2912.2334287335707,2936.6083191621838,2986.778446295163,3048.12741685478,3100.9507815026154,3132.2005220928068,3144.6794722297464,3149.2184406259116,3158.5076775591106,3174.1308729367547,3196.8510876462806,3228.868102697893,3266.783965088304,3304.52420329556,3338.1812689686567,3370.0882721854405,3399.128176914254,3427.6018573838146,3448.8914313128525,3460.23488945445,3459.93547242877,3451.610084019937,3441.8136171245264,3431.230600814818,3428.3823398139216,3435.3463770115422,3446.8844664995463,3449.474250160871,3436.421511284375,3408.8874885584323,3379.3502278886212,3363.778831374966,3374.632407430548,3422.3442218633554,3505.665174321459,3613.643124173465,3723.392363783014,3813.690378310506,3868.658768920785,3885.08015063787,3874.0996978992025,3855.8121636534443,3858.176795617492,3909.4439629814515,4031.1335297020814,4220.483331248554,4448.208061803789,4673.548195624014,4824.815627118312,4816.146410533717
7kg_10bpm,10BC,4541.973471812702,4327.490728623679,4103.7408347179635,3946.203428060967,3854.791983446549,3835.5860822579743,3871.8260134701254,3923.5458256019165,3952.1075807192155,3931.952680939082,3858.9578541318147,3751.5189274950603,3635.9807684930447,3530.186113579387,3444.3289726644407,3375.6778907433195,3316.944047532246,3257.815745303775,3189.7685669663497,3105.6153881837563,3013.7612387460777,2920.9760254290213,2847.4905555887394,2803.079469444704,2789.57203980689,2795.5016310715673,2811.5185859149524,2829.3631409578834,2846.500422538142,2861.762658602768,2873.4178237327833,2881.178700074335,2885.6602794491164,2886.4718111695074,2882.7828794154934,2875.6551677764505,2868.3133403446336,2863.7254191909074,2862.6460403486562,2862.9253144407444,2862.3670706669645,2861.2020954068994,2858.3688258837406,2853.874175026005,2850.5619443671053,2849.2217406227824,2847.926517903491,2849.0644051088157,2853.2607984891533,2859.5730690550035,2868.903652922276,2883.528438811367,2904.3215861379786,2937.5194026539302,2982.5871500138765,3031.454497454328,3075.180351561443,3112.102906721967,3148.224911254515,3185.896631533017,3229.530424478963,3282.24845818687,3340.419807226529,3397.0511688974702,3437.5191790673553,3460.388112583977,3466.8323291292763,3464.824667387948,3460.941669497985,3459.83458177971,3462.47913160641,3465.26846305088,3463.7247915029398,3464.9910296676517,3472.6708144027916,3486.1405771297805,3499.533301640826,3506.746257730221,3501.6356443229133,3482.2823281567207,3457.071831032415,3438.5673037494685,3435.37820233534,3451.9448481188233,3492.1848486000276,3556.1015041669066,3640.2945845202644,3737.550619203501,3839.5032299767395,3933.870862260141,4009.9426539589226,4064.1021737559704,4110.9809359715555,4166.453046781028,4247.477684440974,4361.46356842439,4498.788224276677,4620.417775302865,4772.890460756488,3595.4953953720446,3662.0549224650717
