cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,4866.983574622766,4697.601796061505,4545.823124025259,4462.629228170697,4477.580558527178,4580.942472374486,4732.876700040554,4898.040062582494,5035.81079474712,5108.3469158379585,5114.340561824633,5069.061376835837,5006.014626469571,4943.299343309641,4897.840260644735,4865.566302574008,4827.774900616576,4773.533732752842,4690.667547912284,4591.457879885098,4486.830268286697,4390.328631585767,4304.912088834651,4221.691613344521,4130.560456354728,4012.038958566804,3856.940579258504,3661.3486157082075,3429.979552536649,3174.4262134036403,2913.6028161093327,2668.9092140889456,2457.5163351850606,2284.8287491507604,2142.5429348142725,2015.0972283014073,1889.979787597195,1770.4697726023544,1655.336180566318,1541.6819399944343,1433.6808240047446,1337.1905714170964,1257.7909687106671,1197.498423086284,1151.9990194536958,1113.3858887459119,1077.097925226432,1054.5960657825888,1064.146957522607,1116.8204486116936,1214.0879114561992,1347.4463508702127,1501.5617242319931,1662.3474302169982,1816.591983500533,1962.2523122206742,2104.4045208229772,2248.702249941016,2397.9524313746883,2549.2756817154373,2697.833005918134,2841.021352582957,2976.409052689778,3104.4532041903576,3227.4914328506948,3342.8372630656377,3442.996948294391,3528.7172030841316,3608.685736265657,3691.6764754448473,3773.705074824897,3841.4483386668085,3885.6890676870607,3908.1048348701993,3916.3854522032225,3929.4495174095123,3961.7148284066675,4020.912550160315,4105.613486335492,4198.717807583353,4290.024177241597,4360.175397209991,4390.1385521296925,4371.174526450559,4313.55123185677,4233.129912179223,4166.098189161606,4141.4182192997005,4175.616487275421,4266.799534155421,4394.483187802959,4527.6486483332565,4642.336020973337,4742.939382266989,4911.582834523207,3363.2293716704794,3381.1834468902207,3368.9359323702665,3364.8036338717015,3317.1657906711016,3214.6082785417516
7kg_10bpm,3CA,4982.692978123485,4907.006598215636,4815.835718146207,4750.069321145815,4734.265382064078,4775.471574068732,4860.185787637762,4958.94042470778,5036.47289698313,5068.235527376427,5041.354873626335,4967.135288759375,4870.224555908514,4780.441126298442,4712.763761855347,4672.694988402677,4656.089315512548,4650.804498482571,4642.926556816544,4621.411650440081,4581.998160687954,4517.8928360667505,4423.370457441974,4293.983085845936,4135.465240037247,3955.4129263245077,3765.5189033728966,3572.137403333585,3385.4188752014625,3210.5884136598465,3050.3071505812586,2901.924297421034,2758.8806081901234,2613.793616912,2465.600833696434,2315.944708144895,2167.5612643712147,2024.659778136374,1891.8654297291923,1774.7961716497261,1673.038093094914,1586.5446825970641,1514.402981915808,1454.3753760619988,1401.6527448431905,1351.4832862152937,1304.6327396349,1264.9858968735548,1236.7044975775982,1219.3734272698607,1211.2418334289662,1210.5081784945928,1217.6225996573276,1235.838342301413,1270.3419499965885,1326.6647223923565,1408.0301766227392,1512.6435459118688,1634.0258405776356,1766.4919565277078,1903.400236165872,2044.2314684555924,2186.78173581585,2327.935195717917,2464.3865648821456,2594.1559625180735,2718.3362568920893,2839.406237843378,2959.2271908659754,3079.2909912796604,3195.4673734041658,3303.6599081327877,3402.957003586383,3494.9735615027002,3584.055883207579,3676.8866427308253,3773.0787391519734,3869.832478699074,3957.6107976396147,4027.7354749199567,4074.3686698621423,4100.08957349834,4106.81283680809,4098.864770297064,4081.3059634211095,4061.2080583029183,4048.0197032733936,4053.2865219343985,4086.337249668014,4154.542980871585,4253.102139863774,4373.348363669244,4495.996348017123,4604.989093133823,4680.802274844018,4728.162969275184,4759.956247306708,3749.4358215302564,3236.2192422653657,3187.164520139653,3154.4909704318725
7kg_10bpm,5CA,4610.623827071983,4513.632795500182,4393.742388359925,4320.452783692901,4344.606589146685,4439.2178289653275,4579.886178027898,4725.987281590354,4875.683253829254,4997.819726449701,5060.0541760045,5049.682719721251,4978.200145346849,4864.579789896564,4731.876812881057,4616.458591827803,4532.296824799261,4471.395867860411,4406.347717070377,4311.647445726162,4162.7801495850745,3964.3972258649337,3736.8061207068936,3497.410059658532,3272.13360280359,3092.0759551639353,2978.467512489589,2924.014503996708,2893.6101100684828,2849.6782137816326,2769.052630032919,2638.900030002167,2465.529978750804,2270.8966505112985,2085.6598180188853,1937.4270697367228,1836.3200446649355,1774.0838343227715,1732.0940833088923,1693.0487812605306,1647.8322313095587,1595.1077161778219,1536.139734414853,1479.9873239389321,1439.9173061032143,1427.0405772584083,1444.182963138441,1486.0939093821498,1543.8415118726484,1610.2579742338548,1682.794911436328,1762.4571602215644,1850.290387317532,1946.5147647373572,2049.883083723197,2158.2576527280207,2267.90766324683,2384.379581827868,2507.226092210633,2630.5380989578684,2745.8934831970028,2845.000469539259,2924.574051496765,2986.967818114166,3042.109572472665,3107.1684602243367,3196.8501952230563,3313.14020214753,3442.3130695301393,3561.40875959299,3650.4310455853624,3697.431708015858,3698.086408055995,3663.6976832720325,3614.3583702908663,3572.090774396244,3557.535929856908,3582.9780570300136,3646.313338017203,3730.8552351445005,3804.672901108373,3844.5904410873304,3842.8439296056636,3802.0424233010835,3737.578697988656,3667.550332412274,3612.2574844548017,3579.654893264419,3577.0673622802237,3610.1662644834414,3685.6614554344415,3801.6007025663102,3947.5166541827243,4106.795121522834,4263.838580557986,4399.3601386944565,4496.672198564564,4544.435455418897,4532.412617832719,4449.789854505932,4277.378770901792
7kg_10bpm,6CA,4816.9478843517445,4675.73224413815,4519.922273486875,4402.631004890226,4364.853678818862,4414.943615562066,4535.364492603036,4678.656619931186,4818.139949084171,4911.401200819647,4942.1891695250315,4925.210587601507,4887.360631238355,4858.219394065557,4836.413669879065,4809.8688171357,4770.33276176325,4708.4338818689075,4622.060118616925,4522.437045336203,4410.938032093372,4288.4039785471905,4159.365530789918,4014.9540880578343,3855.328964091835,3680.164413322556,3506.91325540291,3353.6272197290746,3227.1924070675227,3120.0048183495983,3018.4160076517287,2907.275385201294,2776.5110193170403,2621.9237880511027,2444.3887110971227,2251.201394329078,2052.933134522478,1865.0306208765787,1703.9648140076592,1579.3900684859175,1501.6949438908925,1466.368140326567,1454.7907263968166,1440.2530160398069,1407.2758950026225,1359.624497402839,1307.6284042674952,1262.5481849175499,1234.9939811221843,1232.18316999522,1258.122573903952,1312.9478052434265,1392.553173675799,1489.8331727372156,1597.5335863810874,1710.330081960345,1827.8129088685696,1954.446510340524,2089.446515937978,2233.903780402575,2386.3091569984426,2540.9252121734935,2688.0467832859667,2817.1886610011748,2922.853413234182,3006.576607601769,3075.022216356413,3139.0672034581416,3210.653589456954,3295.6415348225214,3388.9544101649476,3482.2632979023706,3570.1663953693183,3655.946138608124,3739.277039408941,3816.8100648683003,3882.2816898814494,3925.1581189939184,3932.5734913828805,3897.345060640566,3824.0220579381103,3729.610258123864,3640.3259845433445,3577.6117777600953,3552.9917459621315,3569.4508414088027,3620.99072272081,3699.1603077408595,3787.6843696564606,3875.096606814196,3948.5169926783506,3999.8375277396617,4023.9696147763843,4025.3511846808337,4018.7921743963457,4023.513403980716,4048.0610963081012,4090.318715747795,4129.711115209921,4139.2618965798165,4093.0425471817225
7kg_10bpm,7CA,3774.3195892111166,4829.10380858561,4697.5651494753965,4526.120189681462,4387.181656253586,4319.669085008163,4334.836215319588,4429.359678400256,4559.9310879512,4693.279753095803,4780.963337709142,4801.573538216238,4751.9374651946155,4668.095988101594,4573.163734976912,4466.820200666629,4334.602257322164,4171.443714814364,3997.2212299986327,3844.751914844275,3729.945762264597,3668.5609127022444,3644.293824275657,3639.5665759187877,3633.201436636487,3610.943585743303,3581.1105527794098,3552.698213378814,3525.164352283579,3487.114737641317,3420.540259306914,3306.466791597311,3137.9418798595125,2922.3753966425825,2685.6179304882053,2457.841745783239,2255.353117382829,2076.6014768768196,1926.1086532928794,1797.9764445635242,1684.033194864778,1579.6409263358082,1476.7931501131218,1366.6734643355007,1248.7792421067093,1140.1519620960155,1062.876826868376,1035.3498830494705,1064.545836967006,1147.445607092126,1256.918705856682,1359.1644096371592,1447.758415105378,1535.2225884326053,1629.2749999723535,1734.300245616731,1849.8794591555732,1978.2097093362572,2122.8888389554018,2284.5807465228363,2460.1941159325434,2641.708647056576,2818.043847564797,2977.818221919246,3106.326735623971,3194.7836235529057,3252.7667099252744,3296.480337465705,3339.439650682018,3390.1679522288214,3450.5501617420996,3515.401704505308,3578.4176358526133,3639.987207261018,3700.6734978191976,3750.281069770386,3783.5471840615714,3803.725480813964,3813.8657083587127,3820.671766512187,3824.4297299190243,3824.9545524126756,3816.05021062724,3796.88127467116,3765.5887462499854,3724.9850818712284,3686.2166751259288,3654.5814540075403,3641.8935936338667,3656.857109439807,3706.4552393017098,3788.484749298404,3897.568686268125,4025.0153306146112,4156.134670778946,4273.0772404139625,4360.085025214883,4399.791072787642,4376.9751773179305,4290.421662102295,2926.1593463500285
7kg_10bpm,8CA,4023.29597828204,3905.244900402222,3821.4137587589657,3764.709627101948,3747.208058329025,3780.3838423893644,3864.4325597087873,4000.645659538676,4250.512519292715,4512.8870240826045,4698.992651094699,4757.992007856302,4708.818381230869,4599.02045353596,4506.126679631556,4474.0895477005515,4499.700074767233,4545.276681175174,4557.270643347652,4512.578980183267,4428.570549240334,4336.50813000407,4243.091249833409,4138.466374687583,4007.7559206041024,3829.203327535305,3613.8837107364216,3399.06251103221,3235.0931128608177,3137.849482352201,3087.7521026717045,3054.1349800732432,3000.19214969739,2888.5291364240597,2705.825733974993,2472.782911508869,2230.5784224692998,2012.175318668815,1837.5469545802523,1694.064608026451,1567.6034287851976,1450.2406444122814,1344.5155129228103,1271.4903672835683,1265.144456185985,1334.8528285414654,1452.2697328878114,1580.1496479221746,1683.6298671165823,1736.9171634422523,1760.3924832089838,1807.151368067209,1899.6383884600423,2019.6716270300878,2136.742410184932,2227.9405549994044,2301.4714951097612,2385.1611323655848,2502.8590567664405,2661.8558720062565,2847.2717089341736,3032.4640381166455,3189.60238070088,3296.0540758039842,3342.3445157354995,3350.7775834750864,3361.068771995714,3398.045651527115,3460.0669042123127,3522.9090553846668,3570.386629824368,3610.645355979369,3657.9965171350163,3718.9417649208476,3785.134677337509,3827.7986228792274,3822.033878950126,3767.9480645560693,3687.366979227289,3606.120215518665,3551.02708805174,3530.284464068274,3541.15551344725,3572.5403922278283,3606.7490197287802,3632.1602117633684,3645.9851697919694,3643.24364884632,3621.854488544832,3586.9069345333173,3554.4285425265516,3547.0551773877883,3582.036258244033,3668.9098880851884,3812.0088627250516,3991.489046706481,4159.6426995334605,4271.79420735552,4314.80555695641,4279.945561845842,4156.271042886788
7kg_10bpm,9CA,4197.766010641373,4160.331414965327,4103.448787894285,4038.245812688876,4014.307184187267,4085.839014744176,4173.495655598758,4312.134240878262,4476.2666408517125,4606.396315401328,4676.437730059041,4680.344015897057,4648.176562434454,4636.094915913666,4641.722270516022,4652.919867601475,4652.762317818292,4616.713649231771,4521.24764751334,4378.514421977355,4205.149195289709,4020.180456974829,3835.7524968004636,3659.958735480413,3473.548698325008,3270.7150612420173,3050.282510416603,2838.4609355854764,2643.8667987170716,2460.6842736588933,2270.8370287053253,2071.189181822692,1886.02811718815,1751.9472446719042,1677.3374405836553,1629.8364966083348,1565.7703642881675,1458.2845778875148,1317.1989958319623,1178.5656525213426,1087.1042703533362,1081.8235807080173,1175.145912438805,1335.4875057225395,1509.0237601190906,1674.3729023409314,1831.4030220810985,1968.8711442006675,2077.4056601499647,2154.728543090877,2210.1789269297888,2267.66669830106,2340.0471149343803,2428.914644801056,2527.667980245337,2621.0253384672274,2694.813665946299,2756.804516311427,2829.088550952688,2918.835457451825,3016.691214736085,3115.910357531324,3208.7988978227863,3289.5970549060576,3357.5967141548763,3422.131438188522,3519.8863656929843,3658.7114961641264,3790.7130214412227,3847.77947210057,3796.4216569801574,3659.7862297929746,3495.553766031622,3360.3315876768283,3291.082135157815,3294.883636344284,3346.8211506477805,3403.342311931384,3441.6819364795715,3471.3981854735935,3517.9803092670927,3583.585867284609,3642.5659789233077,3670.3237942591168,3661.9924547906717,3636.2331340427477,3613.2797046263167,3598.4165474639885,3590.9592801885074,3597.194157154251,3623.5143993072543,3679.883648367743,3759.294917179393,3841.284088387297,3922.0930665827736,4025.994595827033,4174.339047241127,4333.922244849502,4423.184214725272,4354.470491416536,4100.258194891002
7kg_10bpm,10CA,4700.708137936653,4586.162779701622,4384.741520907294,4174.36533935555,4041.548023912295,4056.439647674715,4191.654391568123,4378.601441552052,4529.709259108911,4599.8766836477025,4578.491813112508,4499.1936309194725,4414.164415284685,4383.9488463961325,4423.975576975308,4498.3653234804115,4543.800956824099,4514.619740721364,4412.542626962082,4248.604741635919,4062.138869456232,3880.6854502296105,3718.2137130725605,3583.878175523779,3477.8903435911984,3390.187934889685,3309.6874591355745,3223.4725472536834,3104.7253860948576,2933.881331886849,2717.1392207717518,2485.909617398937,2275.2185430430814,2104.7927880974057,1977.5647703256172,1880.2313290206364,1799.8847661695245,1735.1592651365427,1680.8726969491393,1622.7991639134425,1544.1890058174604,1445.848661299496,1350.2605351761629,1289.0632253449976,1290.3088695269912,1361.148247484698,1478.049176618984,1608.9677087965965,1730.5154251572637,1833.0073293918588,1917.8570288335677,1991.455455159406,2063.8837673969265,2144.4196000946267,2236.849251262933,2331.3471399127693,2420.507686759983,2496.0538526546507,2567.7011619423974,2644.900781123481,2732.117242531536,2826.9159503205465,2932.0349443986906,3033.951315024577,3107.769425217639,3143.7120936680267,3153.591991213437,3154.0221914220992,3166.7976512898945,3211.7879552387135,3288.5783123846168,3388.8687271125677,3499.677790823995,3591.5401037022198,3635.9300003292637,3629.1768310521593,3587.488088379044,3531.440871861884,3472.3534037006757,3415.7549511875636,3376.823745952859,3371.219606156689,3392.0975341632543,3423.832740557637,3458.5271624806805,3495.948092548098,3539.167786235037,3590.686972596088,3640.318443109938,3683.0956496350714,3709.8706469705476,3717.8031336360377,3711.1075526544664,3704.848646731227,3721.167049541491,3775.926725731997,3874.4855645919765,3996.6456538679267,4095.283930836665,4117.5907618589645,4020.360984768248
7kg_10bpm,11CA,4355.963917716871,4189.7769341252215,4052.5737177192614,3982.937622327167,3994.7769134237224,4092.017303348608,4241.094433144734,4386.892341091536,4499.352794623957,4558.0835032458735,4570.579087179814,4556.226714135973,4530.097938142106,4508.209429490816,4484.018439635924,4444.263886153837,4382.169635269874,4307.009834108959,4229.2590403623335,4155.661380660081,4089.188140333341,4018.874797361817,3934.5089536055825,3840.0275200647043,3741.615608394834,3646.6837686580775,3559.9794106732857,3482.485091094923,3411.641813152512,3345.4429245493748,3268.7829924346433,3165.244805879367,3028.029792739316,2860.8715999186043,2674.254516439769,2487.380922429311,2324.353012204867,2196.3099745420027,2091.7516507180394,2003.6914078425013,1930.7269675200066,1867.6950545679945,1805.606271209076,1734.6497764384305,1651.5962419756156,1568.6347201357596,1512.951614936081,1512.5755718351722,1569.3946967200343,1663.980361381911,1768.8205805307189,1863.1047728939288,1939.5034307390167,2002.3309675335524,2059.70603794313,2116.0385335882665,2170.831545511391,2226.3656883788813,2294.292558167191,2375.250280192599,2472.933108181946,2586.989048828714,2710.977597406767,2834.296913547947,2946.306544507979,3039.457914612236,3112.620576031581,3170.7467635208905,3223.7097442311897,3280.7651006794777,3345.658387793231,3420.39468199414,3502.96525289927,3584.808200084988,3651.805640090531,3693.931243738711,3711.895969974583,3715.193500766416,3717.7711951713145,3728.015809217145,3747.068220409401,3768.9476278464317,3782.283125358767,3781.919547593523,3771.24747110815,3758.6720019985623,3755.3986790800877,3767.639698128398,3798.020268936952,3841.7857915249783,3892.137286558041,3935.139108980634,3954.114559393182,3949.6432482075124,3940.8826944914304,3958.9498619147435,4022.864778021191,4124.823217826017,4234.766835231003,4309.615539856813,4310.054807188498
7kg_10bpm,12CA,4536.466079342204,4453.463159347264,4359.269457059132,4275.013605409312,4232.237118046212,4247.259377378339,4319.209974823002,4426.840968561861,4563.474443201712,4700.899401625329,4811.617344993094,4870.79727363822,4873.870925021004,4841.2507644525695,4794.223080767933,4747.1172044461855,4699.464743697289,4648.835165136659,4592.201191027996,4525.228427655171,4443.322747590359,4344.188260195324,4229.653323102513,4105.119378836704,3982.821278931836,3862.996394060157,3743.3312964889087,3625.732071609978,3512.018664332972,3395.746213559417,3268.2046555794946,3117.723360006046,2936.168153237607,2727.284316858114,2506.5640065643706,2287.0819438983062,2086.69174779551,1915.2050667590324,1766.2383789912444,1608.318472147545,1438.0226992046844,1264.1872304429448,1108.3468694655028,972.4794800341892,863.8362006234071,784.7476439167502,733.6326644922376,700.0339539632636,676.5746096810927,673.1862646048701,702.3058069020458,774.703576670142,883.782564887623,1010.05537765584,1139.6199440274663,1277.705583735345,1424.0449942994812,1572.9302382600533,1729.8130509134085,1912.2433511175927,2121.2293830253707,2336.112021800232,2538.4261654858224,2716.620356682683,2866.333586489106,2995.617973086165,3105.502214212327,3184.22823604283,3229.098055415795,3240.7389711229525,3232.8218917971167,3223.5133275411754,3231.995063067285,3263.430794507714,3317.5165355774566,3387.3292072306695,3460.8896914603306,3533.3365486424013,3603.327886209865,3673.20887434111,3737.4443793009673,3786.847390042844,3818.1098015130033,3831.3564984215004,3828.7121119649305,3815.6188491184685,3804.7088772196034,3803.1696663110124,3814.19762987382,3834.613131351594,3864.80988606027,3911.6245335985486,3975.7336617905235,4057.3592535807898,4149.8324783875705,4249.715723659067,4353.456103235654,4448.934437856237,4523.241173883268,4549.250373606637,4498.467686656607
