cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,6170.85574501,5932.984694173385,5616.57962967832,5266.314245310895,4943.854324768432,4722.445720199258,4635.9743877740975,4687.736916907947,4826.962678378835,4969.871726589392,5047.89261711,5038.687513657213,4942.346279359575,4783.431883243326,4597.3143469375145,4419.814246081013,4258.490566844706,4112.535013302524,3973.930775777612,3827.1615907931373,3647.8414067800004,3416.6634412737158,3143.6464523555564,2844.2409157440625,2565.7113291997875,2339.335815235582,2180.3246689245793,2089.729124859165,2056.638595192819,2075.6281518038104,2145.32655829,2249.031744584617,2367.5816448390115,2481.9041288160124,2584.812129924311,2675.6753839722583,2759.298849522489,2838.855885047457,2910.77110629947,2967.514317227971,3008.2324589900004,3042.527511561311,3083.360764779393,3140.386120443647,3219.4365112224264,3317.1176876624772,3434.3189706261023,3554.182836418556,3655.1989529202747,3733.3851433182604,3790.7406058000006,3829.075977729626,3862.0675851179626,3903.3982017225767,3959.395881882576,4031.2738761684545,4107.0476974987905,4173.607689062539,4225.616404153122,4270.3544444791105,4319.3469632100005,4376.683070938519,4440.817129695738,4499.931490725655,4548.177780663721,4589.534876735026,4641.803747428432,4710.020867041437,4772.155748726574,4827.8641162733165,4870.62275224,4897.234276117305,4912.901050866642,4918.98864191499,4906.910889517434,4866.010676886111,4798.569621165774,4720.408130741756,4650.615607597607,4605.459663506796,4591.625544380001,4608.794845800454,4649.214042842381,4700.057906999567,4750.630975198413,4800.479089531106,4850.684516005384,4889.353833146478,4896.278435553105,4863.38164390342,4811.94917748,4788.820924116746,4844.847996319451,5006.418715884823,5269.00587100681,5584.546878296912,5863.888529350176,6085.500445530294,6272.463441464012,3044.420459148677,3204.16016031
15kg_10bpm,10BC,3325.65460174,5783.366589789677,5572.408726626442,5320.429639405213,5017.069363634619,4658.538489635508,4324.919828281406,4136.867171319057,4108.318186885912,4146.898999805895,4217.101163700001,4284.7321451920325,4323.150049314919,4318.859685861854,4272.93759350804,4203.622198964898,4134.02863764307,4081.9570331368495,4050.125517231026,4038.2489781211298,4035.5373903600002,4021.634478362206,3982.104551969011,3916.9729151882466,3836.7794011938063,3760.5977522189587,3702.471883106136,3665.6243999420717,3641.9327236571876,3620.636316985189,3590.4880558647433,3550.506399174422,3503.185962399177,3457.5340107085503,3419.1029287553,3391.6931178060236,3376.127634999979,3374.608503550695,3388.1727170451413,3416.3628630953044,3458.6924988300007,3508.02229994751,3558.132350599086,3603.296912379775,3636.2425122468217,3656.7292706654316,3666.647028898971,3669.171523996678,3668.2676061591847,3668.6476342704764,3673.4485358879438,3682.9062052652325,3694.189229639541,3705.0727880631325,3713.286176071026,3719.198400274108,3721.4496124369653,3719.521276337141,3715.244057425975,3712.1480423295734,3714.1143657600005,3724.3206292735545,3744.8371255397433,3767.9272642684377,3784.9598376603694,3787.573895419516,3775.7918932122593,3758.107270001809,3745.6501243519388,3745.1260329808683,3757.2415533687604,3778.9012361773216,3805.2222596551815,3831.6709760777644,3855.1772251762677,3873.624071812385,3884.635939494673,3888.196514608626,3888.4224170616117,3895.287898231113,3923.9053077300005,3987.6815969794716,4095.707512575617,4244.814347496576,4421.805906522132,4616.116368714403,4840.8656209356195,5034.378949279071,5155.06164815081,5191.378739314295,5158.505111640694,5099.734544867851,5073.733748979521,5132.90846498036,5294.673945581949,5522.402082493964,6062.701968007362,3325.1358193956034,3643.936501659905,3636.4713238332806,3575.7633221
15kg_10bpm,10CA,3283.6555498,3386.5971982911574,5123.253825435911,4667.167708559297,4245.195030240327,3991.2684488550153,3942.142683164854,4087.528580494455,4393.6472913863745,4788.3860648911195,5199.54783573,5546.005650786244,5758.549573793654,5817.586913844635,5752.32660176676,5619.674929257513,5479.3936083586395,5372.078426433709,5305.215771898552,5284.507970319778,5285.00696316,5325.382651813733,5386.238293395438,5423.791707255876,5394.370035942865,5264.201515773927,5024.307214186489,4710.519854802749,4398.718051445721,4143.204217733128,3954.3631163300006,3815.244197476129,3705.3814407007158,3598.9573762270416,3474.434553070763,3314.368070634881,3114.912781233445,2888.2744577578383,2661.444677932135,2470.752123963458,2348.04251198,2300.2913375167386,2299.9174043114817,2295.2392079140286,2252.6312031708485,2180.6606230861926,2119.196572926452,2113.5157263084043,2182.5895251398365,2307.290042725127,2443.72884205,2569.235849396101,2693.3364261935126,2820.2450727330133,2944.539147690614,3051.366464596617,3136.08500949704,3214.3686317803936,3308.629719824101,3420.304669051425,3544.6854921900003,3672.336605588033,3802.1344920830534,3942.7573118484893,4101.459702377731,4266.01472326714,4417.606679455288,4535.151342029036,4602.554062514546,4630.867919882465,4655.93599483,4696.2352225474515,4728.2063496628425,4729.092323205167,4710.544182833624,4715.366662106962,4770.725292584865,4884.215946620156,5026.556521496544,5156.443234409149,5234.589532580001,5234.511715524171,5174.524604946911,5102.920033862896,5065.856135392342,5058.356189113784,5041.9144345152,4984.347713826873,4906.753177897289,4865.647639805909,4911.483902490001,5058.095885483155,5288.3919740265055,5555.018754017763,5796.077634599093,5949.644662299191,5985.665682085577,5918.424904529973,5790.7029321642985,5635.7038570984805,5439.27796685
15kg_10bpm,11AB,6262.80192964,6071.56117932513,5756.977301501353,5372.060751256105,4984.995472210693,4669.862651155315,4490.948686974525,4463.413850278387,4567.091701567275,4731.616325589271,4893.366207229438,5008.188976825855,5059.008298586375,5053.480499607465,4995.500534728853,4888.086535212059,4735.034315412586,4545.483211811025,4318.8469638887145,4063.940351687637,3787.4968548157394,3515.919054592848,3277.3336466225633,3084.4484242514295,2922.8284214361947,2768.5014908500007,2613.466053003608,2458.8056860394363,2308.5058448682753,2168.422149295811,2056.508436086518,1985.2046603566087,1969.579522071994,2006.6329238886174,2081.1714542959594,2178.9711742668683,2297.247401236833,2420.9079411634716,2530.5394031789715,2619.8278454247243,2703.1974774397627,2803.46791498504,2932.401380216541,3082.402123420568,3233.5483138124937,3368.1385041626622,3484.1711484382067,3592.560629072194,3703.9715498582577,3816.790254128647,3915.19937531,3979.3927462749807,4007.4845539109547,4011.6578714682037,4012.235424067014,4028.708822645289,4067.7792456792654,4126.23259804513,4190.530339386523,4247.094040593905,4289.968762650182,4308.936246953658,4303.802916542652,4282.071928029454,4260.017481068731,4252.4827569650815,4262.814756647342,4285.484624100599,4324.690887633031,4393.638567511515,4510.617990836992,4637.469471965168,4736.186998359579,4800.180926067913,4840.873005338856,4880.128511050001,4927.791382341281,4966.694607947981,4959.495612279971,4877.924528149612,4723.517648680437,4525.265659641353,4337.866287310165,4219.085268176676,4217.919198877941,4362.33916853998,4646.298828984773,5017.636379727484,5378.61991970614,5613.4265704862555,5648.5179469527375,5493.7596463207055,5239.952675962653,5016.6642263489975,4939.41605397255,5055.539925573639,5334.2016695920365,5697.350733323166,6035.100864842412,6254.200554616648,6282.56269055
15kg_10bpm,11BC,5735.39257282,5587.40241543493,5309.685063168892,4960.164862723856,4606.985757317628,4307.524627339257,4107.444890930582,4042.5694292556836,4068.7214270887735,4131.68231255866,4193.721610122718,4227.063855305602,4220.333234556346,4177.887723473785,4114.065401624495,4042.5798234415424,3973.046301043327,3910.7962164646,3858.759255819141,3815.9259439301745,3780.7638581182464,3752.72674381903,3732.8353838424014,3725.7447211097897,3734.405333717379,3753.735435939401,3773.5244596315792,3783.072590814995,3777.730376430573,3760.1413707229585,3736.9557060312563,3715.5610049100765,3694.9602178413693,3674.904600929304,3650.6603659977413,3621.1502565555643,3587.2667120440337,3553.6868023248626,3526.2101513688804,3510.3238798546668,3504.2329243891204,3506.029406979631,3509.109833120375,3510.0340525179226,3508.5155588564244,3504.861162089729,3499.8575430924448,3493.192870399584,3481.3381021401624,3466.0363576389386,3449.7449428498117,3440.249951746092,3448.1274720787237,3483.7750991675775,3551.5899631250713,3645.6492786907443,3746.9010174466657,3834.7188427283563,3893.4520294989625,3917.9712590567433,3915.1716205648954,3894.091384552486,3870.0039648078987,3851.8678330632065,3843.7413102261094,3845.1585131004545,3853.0233533737396,3866.1758159169804,3884.650337435769,3910.0569607696257,3940.090869612158,3969.6396596154746,3992.939464271811,4003.26879323692,4002.2957026607946,3991.6392161955746,3975.256190834309,3955.832228343109,3934.05748206872,3907.0993519433177,3876.4571907046015,3847.3473269988235,3829.2634410560645,3831.20270903574,3865.9053658839475,3941.813221443016,4060.0718863523634,4210.291110638108,4370.552415051829,4525.70097022561,4663.4884034070255,4749.160631823029,4796.414059391321,4845.110723771419,4943.690388582983,5122.989723521804,5369.263399992718,5623.820226188756,6077.445116436962,3263.918906037275,3582.42242391
15kg_10bpm,11CA,2996.01098254,4850.209856396063,4599.877620708282,4404.870673753639,4260.487141514923,4154.779179211289,4091.089027568473,4094.4185764120266,4108.789017375879,4130.933045118733,4203.896118282577,4368.751684206058,4627.338832526419,4927.330708476437,5194.318236689207,5360.314211942743,5397.6724853280275,5324.247842230969,5184.901753385548,5048.7402349149515,4964.507055031096,4944.375455745655,4974.001868117404,5026.290059504069,5072.672828939959,5095.365150279643,5093.636735146933,5074.220680675028,5045.74727789744,5017.182759212078,4977.408480679352,4899.083417138728,4763.460125069607,4597.079976142798,4430.5969884926535,4303.481350052284,4204.662224422068,4098.768189521728,3972.2432382105567,3831.4680371594695,3687.615288892595,3549.461404349512,3425.8259620801214,3319.4324044224145,3218.104940443943,3097.110513493961,2952.6475718492934,2796.3034534821154,2650.5013590535177,2532.323963447302,2446.46217289,2383.692549485753,2334.74274957906,2296.4343195753377,2272.805945713339,2272.10561575012,2304.5835676084753,2379.6329720241506,2506.219316096491,2673.23876091415,2854.9112660617625,3027.3883183755274,3179.2832346186365,3296.1528327623346,3375.0560856670763,3439.206188662139,3528.040058017041,3664.3447053300115,3846.414589713208,4050.670240687453,4244.450256842374,4407.894209970607,4518.730643987654,4569.880552059654,4574.523933478769,4564.342126728104,4575.075404919499,4638.319210552578,4765.577894678862,4934.750907655457,5097.837013909339,5212.693555673304,5255.95632136128,5240.441434041617,5200.938055671006,5166.412833839912,5151.47043386183,5159.121702115371,5191.984916460776,5253.775597287018,5336.273752571822,5421.380940191582,5492.001672572156,5548.9270869096035,5599.322270518423,5658.5004984508605,5731.160269073285,5798.74336096399,5831.346202938262,5803.397506056571,5705.6670238
15kg_10bpm,12AB,3104.10307173,5726.527672889244,5319.450844255721,4857.787632504331,4469.028678636875,4232.086980561208,4168.770621447772,4238.4533835476195,4359.3894830496665,4477.520809200115,4571.855419595564,4630.669276743909,4648.634465072431,4617.09493495198,4523.3495077768885,4365.933306949853,4152.879545364894,3902.572971064947,3638.302450960536,3389.5285665710026,3174.37991263,3007.1107904111145,2890.7591115356827,2813.0784415534845,2746.91567772138,2665.2248404582724,2557.3904720624587,2431.71219755391,2316.612421750652,2240.84386115541,2207.0197678422983,2206.893522975754,2235.618378031544,2288.339847208887,2356.525701238027,2438.2384885293773,2540.7002671718546,2667.8294833552472,2807.7991971325337,2936.3280605474943,3038.6697240900003,3121.444832859491,3203.9667113284613,3298.7602706104262,3402.3946933056604,3499.5527130011915,3567.827180419582,3592.167386107481,3589.373735469481,3592.9086735157853,3633.2631180763274,3728.1463196356253,3856.5586915467916,3981.0443220301477,4073.495770479031,4133.346869978165,4177.12320569035,4221.99176259721,4272.23415163844,4321.449513147177,4359.090399570001,4385.777336931957,4406.414873872409,4440.532518837889,4510.131642840388,4607.775731727956,4673.736263453814,4698.593137555481,4696.660918156311,4683.794338959373,4666.680726527141,4649.193957581815,4624.865183357535,4580.399542154043,4520.1603880055,4462.254983317722,4427.245593430078,4418.2417420454185,4425.020904322503,4436.356165050541,4450.742506050001,4485.016230330195,4560.438438375031,4683.307764444893,4828.2239363774315,4949.544264351965,4991.241902153926,4910.460134105018,4724.57618019685,4502.909584477278,4330.528431508661,4286.734302638973,4422.138942847649,4731.311890073679,5133.273349439953,5493.523550641276,5683.785102379921,5683.790971160414,5510.328995962141,5220.22034945354,4905.29850251
15kg_10bpm,12BC,2972.7493938,2913.010893697945,2894.6252042671754,2914.2039508503603,2958.836415984444,3063.7413796921483,3731.273882631757,5309.339969710172,4984.723865097609,4581.442090852919,4219.826339886728,3997.745776199182,3921.0667126494163,3934.4584593358522,4012.1481027170717,4118.972253957713,4218.494212965234,4286.979922830911,4315.2863485717435,4301.518470093632,4265.668101795627,4222.351658234211,4180.22463232708,4138.3972182494235,4091.4126520804784,4033.1487985600006,3960.9772100209534,3881.741310179692,3800.997245924879,3727.858973396006,3668.339747516484,3626.821007522148,3605.7851411638326,3602.1391211890304,3603.992157923932,3595.971827204887,3571.9825378680043,3532.463522403908,3490.3372114453878,3457.8684826157278,3438.8263836676383,3435.9444185579637,3444.6715201802454,3457.612490433723,3470.5936518750887,3478.3066569418897,3484.684643099501,3493.2119780584126,3506.7967900288,3524.6486064716705,3546.39858999,3564.27636298815,3578.075640510287,3592.7590765952805,3616.756030849073,3652.0996953217773,3692.256353099836,3724.4918938250307,3740.348627281156,3741.0720630238625,3736.692862253511,3739.650727800021,3757.4253901527304,3788.9607828890485,3828.1550804565013,3869.3445196329844,3907.47452027454,3937.5279935765457,3954.7962358915725,3957.7360086857298,3946.5229266121614,3928.57971420708,3916.9700932141805,3925.5700730744893,3958.4989612742306,4003.8950337000006,4041.2366633381434,4052.344439076529,4029.414539608979,3975.1027780547,3901.9433264287877,3827.973761450328,3775.887729393743,3771.196427674774,3831.6800948574996,3964.9853879120856,4172.400345468762,4437.91353893318,4717.669287990572,5004.243321564119,5196.4334005170385,5256.584732202887,5228.67314772937,5159.56155697932,3811.9159351781504,3377.5142916654695,3411.6709788589797,3485.9030261202015,3520.7780910183105,3495.8519800406866,3411.81567395
15kg_10bpm,13AB,5702.39735412,5531.252580115157,5323.613667689214,5106.605160620528,4904.957257232923,4734.308844133703,4606.158558326945,4524.729149479229,4489.900006930038,4507.526544749219,4558.3242648519445,4631.630964477952,4713.250900548901,4784.828367508407,4827.644155251377,4824.087102606872,4762.227900621329,4641.63443991954,4465.312373224031,4238.135531003509,3965.9937327956727,3677.9395641894143,3402.3025243702077,3160.3746785586536,2961.798640025395,2813.3200979835615,2717.950342114955,2661.7489610248886,2628.253774201615,2607.333185390729,2588.917761296876,2549.6730653087584,2497.218288371809,2453.141947332945,2433.3123341835612,2453.6974979241863,2509.7833423747156,2580.2149283815424,2634.7921396348606,2654.59948380252,2641.168478351333,2617.6856601917407,2616.390278788724,2657.2607557863626,2741.9661542217227,2857.4736825170203,2980.3538693776172,3098.668265554652,3224.465390587866,3371.688011830358,3543.063836723094,3732.9217396305785,3916.597016832016,4067.689237296154,4178.814335008821,4259.960404236079,4310.478749067886,4328.646833144033,4329.090524169071,4332.342928734464,4345.871137418099,4363.380081767939,4376.8620979117595,4383.390820598972,4388.021257633178,4393.268431952521,4389.293420198382,4377.312442485144,4366.806980598858,4365.370340388556,4369.461188457615,4374.268571307162,4385.285509643185,4443.828811637131,4552.544134223927,4624.116322528012,4643.404651301856,4629.255546660469,4614.426303926697,4613.66511508175,4615.203917899824,4593.358784205761,4529.911656728249,4439.1785381618965,4365.323471530538,4369.0316779718205,4502.014476690241,4767.391634661311,5128.092537241621,5490.030892884333,5724.1471296829,5736.6867734345415,5542.22542446669,5285.0385546614425,5148.179281139307,5239.729756921395,5551.7879573110895,5961.405858248454,6297.728356141457,6426.898237842457,3379.36154333
15kg_10bpm,13BC,5489.17946974,5426.525052903713,5271.271561760556,5060.156529130283,4836.270738940175,4633.578213343535,4472.397094836777,4358.620209684817,4279.140527319029,4244.731249015258,4234.686341145472,4236.383867730672,4236.017387192167,4229.533265676509,4215.961867104518,4196.334175582211,4180.701401679218,4180.16530566191,4197.107218295106,4228.450322196009,4265.916896887152,4297.070879080139,4304.774309753115,4275.919881091486,4204.23668889647,4093.1762367157053,3958.1515620300065,3822.09719531136,3707.0638112578426,3624.6073295174397,3572.485581279492,3544.340778632071,3528.444812896989,3516.5555530731945,3503.5937998572667,3484.5731211147468,3457.151122560649,3419.1276520990127,3368.109757422724,3309.7826147224127,3248.8666543987797,3194.1728929091855,3150.7174302009007,3127.2258048126478,3127.574197069403,3149.1598228351463,3192.317113750249,3246.5587092349265,3303.098722915474,3353.94861259778,3394.567793315364,3421.090399322722,3435.372915457236,3447.443552662232,3463.9505749346035,3493.2334762395644,3537.7067777995208,3597.5763870299525,3661.7833204990475,3723.429385217392,3776.9493126899524,3819.947009666505,3853.9100215141816,3876.9402100731277,3893.395526426248,3911.0797486553956,3932.2257943791183,3956.6362218131612,3981.5143308953907,4007.609857086721,4041.027343336964,4081.6485180765226,4126.905890833924,4167.037816445815,4192.370449653749,4194.59620776213,4171.579051695739,4128.017913112093,4074.5327267021685,4027.5855587557194,4004.0995869492326,4018.1839709806404,4073.381033412383,4166.478335631479,4294.226958714541,4449.287399815409,4612.203969539477,4769.604056648397,4885.968498113274,4915.89857283771,4871.347342345838,4801.19885660385,4765.64730599545,4815.034457487982,4972.456520848,5220.970642513037,5504.549187951234,5747.916352681254,5818.807034819807,5116.317979380501,3383.25728847
