cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,5234.41899257,5050.117847863813,4898.754609449153,4841.138738842954,4874.672053205524,4988.9757578658,5112.157470031581,5240.931610880401,5322.515304861167,5331.910355346651,5331.214241620639,5335.989445217745,5240.922039587011,5087.254456474777,4911.688674975609,4717.265739107598,4522.861561606808,4348.619250418571,4210.461510956766,4088.8211744444643,3945.5413746337235,3808.3952758524756,3707.333194778816,3649.1644680007475,3586.955413713055,3507.891624356048,3346.0307043488956,2933.2388774314736,2531.6755522360563,2207.071585521305,1889.161808388458,1651.398662043705,1440.2024258929573,1264.7237835471096,1181.9055761504908,1194.0539845094638,1267.7632645362823,1358.24531819501,1431.4368532096644,1479.1198526439234,1523.6242216656158,1588.172769593822,1699.6142926331572,1857.8776083343444,2055.4701893138963,2329.7432346147375,2649.535043645149,2933.712966207656,3089.731233390262,3151.584659051828,3226.03027859,3350.725172604624,3531.187202420514,3760.854550854672,3960.295755724521,4101.497052618228,4237.420987570879,4426.188885707588,4677.179689916751,4873.1087137571185,4995.508766575871,5080.304805616749,5131.000872609095,5151.538641626041,5156.138429381861,5159.90985926914,5155.201711186962,5138.1914846453,5113.106221553198,5099.093791192036,5134.744415623115,5212.244037858382,5257.591752214169,5297.0902563155705,5309.681966934958,5302.4024204087145,5286.883013187377,5284.294053163548,5289.387461317165,5292.228034549379,5286.233128538152,5256.280518555744,5203.237256003311,5139.27203002596,5103.9575236839855,5125.786410292387,5206.913165182199,5309.724477367263,5405.273913165452,5517.238378153129,5642.688081072228,5683.055661711239,5701.250534717344,5800.394347949088,5885.232419618622,5944.366053846529,5934.783588286977,5906.540903782473,5893.788388419395,4984.284830610933,5076.21601301
7kg_10bpm,2AB,4513.99217889,4367.172024769593,4198.1404453794785,4055.1852234580497,3971.857374241153,3963.020948264792,4015.0780220537627,4088.6864430322694,4149.115064544183,4162.009722232556,4115.910626735937,4015.463008475896,3877.1006135967864,3713.7948535650294,3545.362410320843,3389.438090124523,3256.6239244863455,3133.849704106594,3013.04176368101,2881.6168372717502,2731.4011680420804,2565.979215975193,2393.121357064157,2222.9969799456076,2070.586835601026,1947.629857347621,1858.241885323022,1796.638603976724,1747.243650484906,1694.8821946095093,1629.7387048088292,1550.5163708619066,1476.8946363249931,1419.300550808117,1394.7851642642997,1422.6276061197918,1502.7991791290556,1625.1685307007442,1774.6648934176965,1935.277930339349,2096.067350360387,2251.441061081656,2400.5773463209744,2543.995523648193,2684.861607431266,2818.5690728299123,2942.7989123637744,3048.501829614291,3139.3888751306768,3226.5462393684734,3322.438913667149,3416.891616733262,3508.0110166848713,3578.5302690843305,3626.2325974086525,3660.635244086331,3691.900550099779,3723.1883284515357,3760.0474248665582,3802.582332614232,3846.09991271399,3885.428277330782,3917.5035910180814,3936.080561960572,3947.146382723659,3955.9198287274544,3968.126003145481,3985.492194123197,4001.4654358786283,4007.0316798405593,3996.2374151147897,3969.068151855925,3939.1760881118876,3915.722162983484,3905.367179487325,3904.2418453800037,3902.6416174430847,3891.085393406654,3863.9549732246533,3813.0616967434516,3738.854592955244,3647.733222174238,3556.1295559873674,3481.390803801316,3445.174551799491,3466.1746941098036,3550.8290010471833,3694.3052523801157,3870.787614348733,4053.977997734313,4219.085031496682,4353.417197148125,4438.738936885019,4414.820620211323,3476.5027261373093,3605.7769932777564,3709.8986329217114,3782.762081949723,3818.1921395254394,3820.6072952035306,3788.15225393
7kg_10bpm,3AB,4863.2809215,4605.972127947456,4332.550360702403,4100.779198762382,3955.868014193535,3919.1095385130466,3978.567886024209,4092.3352506867614,4211.751022317663,4291.003820777629,4300.262351130106,4231.857862509978,4094.6333214492693,3919.7483114788606,3729.4908030270904,3541.317748400943,3371.090120278346,3215.9831392091137,3067.9934559070753,2914.5578244980225,2738.94312151694,2532.677405438479,2299.846218817863,2052.065213161107,1808.898299248677,1595.769045719308,1435.149676852649,1341.4050655792034,1305.641631559273,1305.0333604274867,1317.6432771187865,1331.8872578531432,1345.563451958662,1360.6345816403839,1378.9289890076357,1414.285636511948,1479.4196764449066,1580.1570826697778,1712.8169672989632,1866.1032304319747,2021.7468462858014,2163.0174485649386,2283.071374097791,2387.138991054295,2489.419288218,2603.490288221109,2733.298805309366,2875.2842522455485,3020.5757949531094,3151.471106905025,3251.6233361199997,3321.1867309794625,3374.641086177082,3419.3200060978475,3459.852122876899,3498.989614652829,3535.2094922910037,3570.343258215834,3607.3405927999206,3655.8781816729797,3712.5638149582874,3766.4387579608456,3806.146919888427,3823.856106013205,3820.1183097009025,3804.3454011372146,3783.8889469293604,3769.221030605462,3760.806605047205,3753.3855881000977,3745.0160761575435,3744.7790080007762,3758.6533379560697,3791.4306502248137,3839.7239695603785,3895.710979814853,3949.4164485442625,3992.768895278874,4016.242562396412,4021.1037128049284,4004.2365600400444,3971.9130033422625,3928.337529702623,3889.46848295005,3867.1324738799026,3870.8955731085575,3919.333136846226,3994.582515930406,4081.3006291665793,4161.342535872453,4221.206436021425,4259.098407577103,4287.437264041572,4330.10368061898,4410.803024801053,4541.510677030963,4714.496987812102,4909.028020386932,5096.403997022366,5243.385835791201,5322.70629564
7kg_10bpm,4AB,4970.95548722,4730.812251713998,4468.010973044532,4248.543929731689,4117.384088891035,4092.0114276044014,4165.8574811959015,4303.994319042105,4453.124140589641,4559.081711340269,4585.633543658006,4521.7864459254015,4376.186442775462,4165.587617166454,3923.705836390129,3683.427309475059,3469.0738091821195,3293.2233163034984,3137.2544603927963,2984.069470006687,2817.5553133288627,2624.3452839624188,2402.825827390423,2161.2260805659503,1913.8397598687554,1672.1830691391933,1443.8984062738484,1235.6951734910008,1051.9488300883957,899.7864637347411,798.0644686735992,745.3129457542718,742.7531182518034,785.5966583165848,871.7969468891387,994.27366596674,1140.3508659575036,1297.1905285993992,1455.4642482542085,1610.2100315296188,1759.0737196625048,1902.0830732555808,2038.122719493554,2164.706398101636,2280.4681491099414,2385.4732758778014,2481.939034266912,2573.9983728079574,2661.959779464721,2746.9869319680943,2836.0696321023293,2933.395186873554,3033.469262486869,3126.726305166043,3213.3558094704413,3305.175301590348,3406.756156795183,3526.3680149843694,3655.6397656346094,3779.4581333527117,3889.1140122460542,3979.5915300659035,4048.1421578045174,4097.860532908493,4136.597751298554,4174.956258853212,4223.2705915600845,4280.2075671397015,4336.270530790282,4379.344048157912,4391.830920541479,4357.688352608762,4269.304711499014,4140.003705073537,4003.7753470765433,3894.1034432340507,3827.0763386905337,3804.725489604108,3817.621524105431,3846.652967447162,3872.397199685941,3881.83892252954,3870.2014096097187,3843.2644827699937,3817.7770955979804,3819.322349611392,3875.853087296706,4003.1514723237583,4184.110683346831,4366.74550119284,4498.954613271322,4598.280455441439,3433.8090813717126,3378.1629684088466,3311.5223283766773,3312.453321921322,3379.9994219248097,3502.4036145763766,3649.7425581640496,3781.8443752217486,3866.65641153
7kg_10bpm,5AB,4955.16979268,4693.6775075150645,4405.73651402107,4146.423125010664,3961.657813330879,3877.7718339000003,3889.755559814904,3962.227122969858,4048.116968022997,4100.291087481587,4096.72005807,4031.72761534825,3918.6778116618543,3779.692469574684,3635.0514800970855,3496.987028649999,3370.113633064206,3254.9723832493864,3152.652039684554,3058.099354700939,2961.5815222800006,2845.271479386069,2693.3039796821963,2502.9466453956557,2284.4380758864518,2057.08258203,1840.9865602786617,1648.5799407132463,1487.2332140795272,1361.5484140436959,1273.8907666800003,1229.7391451074843,1226.311741469882,1251.7917632575982,1303.632391268533,1374.4184081,1462.7409010318886,1569.5179557287222,1687.2232190366535,1807.6763350288638,1928.66744931,2048.06508483437,2163.9633190796444,2275.8854900742613,2381.8640551100243,2476.30851454,2554.9753115997196,2620.9349471366595,2682.6620785051327,2741.590304680417,2804.41783051,2868.1578792381256,2931.862884867319,2997.569682325593,3071.9489504703974,3157.45147197,3253.313043886494,3342.9883164680086,3427.9008025862304,3504.6744818370503,3581.1004341999997,3658.988633467254,3736.3899322062075,3808.889941185986,3866.873426733785,3907.40030348,3934.588971458178,3955.4490094506023,3976.526112197956,4000.4489947101547,4027.9983221,4054.1844375153823,4074.743537985999,4086.833706237176,4089.2110143707264,4082.1885544200004,4067.5650969171543,4047.5027473574605,4023.5612205660436,3998.871882944291,3976.07508324,3957.9108858481745,3948.808021376609,3953.7459396630234,3976.815718676709,4015.58427711,4064.159745462098,4114.77331556099,4165.5307302605415,4216.106512131568,4273.58091779,4351.8222926323115,4460.414086018656,4608.273008141667,4777.765968390751,4951.01826274,5113.077477803042,5243.986366771339,5322.948683599292,5332.996667744937,5264.00721841
7kg_10bpm,6AB,4974.43652314,4678.764808291722,4360.232678445088,4077.7025330215856,3878.684491170953,3790.2865584774504,3813.843202145497,3919.5732636196203,4053.4475162028684,4160.95779735842,4201.6258356297785,4154.669678573708,4024.65267856545,3837.6191790819034,3624.6434571515965,3415.2261295675075,3235.1020523174934,3077.665129236134,2941.2581071982836,2811.147082052501,2674.4600584443588,2522.1624525509897,2347.3485520841286,2144.842817648074,1919.3590859258288,1689.0747702951808,1476.39437441336,1297.9368776304968,1161.18486041217,1067.860369020201,1014.5435253464321,994.1885649079089,1009.9930099626574,1062.052694263314,1150.8024117332077,1267.334354438768,1398.426951326562,1534.6690942905736,1670.5343410847481,1800.6409307101114,1918.646671462863,2021.815279538318,2111.874669593932,2198.2096367778167,2290.8735835903453,2396.4893200112274,2517.046263177756,2649.9420565904948,2788.4817981822544,2925.44412877194,3055.3422379599997,3176.05875378287,3287.680201069485,3389.360594588378,3477.7327535028408,3548.629219937949,3600.9743222554694,3640.017463619686,3670.44544666258,3703.8622929846415,3742.8078094432344,3786.1822547207676,3825.2600488278586,3853.262222246897,3866.452141173815,3865.1003839345244,3855.5867494399204,3846.5669660893145,3843.8305360709273,3852.091938594391,3875.1087785137106,3909.294142062583,3947.991811665834,3974.3317501457504,3977.6575445814524,3959.5118642540083,3932.241706580741,3908.88717555154,3904.03250510973,3922.7568063858753,3965.2273743404107,4028.598492993865,4106.808100752769,4190.835889213642,4269.41388598483,4334.881693567713,4384.1434941926,4412.388343658605,4415.981964348753,4396.603152923074,4365.724250054878,4323.878078349765,4277.899803100137,4248.786408934567,4243.984175360177,4275.535080955375,4350.00330320465,4475.626211779917,4643.606670717216,4832.582846505468,5008.81086586
7kg_10bpm,7AB,4796.85928625,4553.629112326409,4308.115527278367,4102.554330214123,3977.2345087014787,3948.9245478269027,4007.615828493263,4121.50153362755,4239.389653403455,4310.4618489524255,4293.055728357968,4183.618088568449,4001.476514417958,3782.670872160496,3559.1310457611175,3346.8458673991977,3156.5190619279488,2987.5143374485706,2830.416864788537,2678.0152293616534,2521.3374785244455,2352.1490187854197,2163.2949555850605,1957.7705192329163,1746.563257773844,1544.9359377299638,1368.9204561328334,1226.7362458519463,1122.8859774633152,1056.2961341532018,1033.0531714177353,1058.0234332483626,1119.6249143924533,1209.3364449274704,1320.0293367333109,1450.0870755816152,1591.706833125513,1732.4141959395822,1861.8530961917975,1977.2664357892927,2083.7712868587923,2188.1297957122756,2294.578303822136,2402.6011141119616,2508.3500656385904,2606.4382135488204,2692.4810148501033,2771.90752204076,2857.181834262263,2956.2854839375095,3063.25525630665,3165.1842925772257,3256.2376630433105,3329.5065070693613,3389.2791687516496,3442.5551953104837,3492.98840109559,3545.4717784933787,3599.873565438426,3653.263948427085,3702.789965718719,3746.4003488290773,3789.430086555768,3829.215451965148,3861.903984563571,3884.0513630557994,3896.925413242583,3904.0921988115515,3910.8699345888144,3927.0243885665236,3961.0416029686335,4016.8403513718267,4087.8544950859305,4157.583540133434,4206.746951115198,4221.909826630758,4203.547931476143,4161.329244562879,4103.130075852152,4034.346544381349,3963.6874283734023,3899.090869259188,3849.687698077124,3821.4195036773817,3819.258221668691,3850.831841556295,3929.483322754928,4030.278013456385,4128.111066231868,4193.436602374703,4206.945434606322,4171.777030499841,4102.782370809336,4036.348761153683,4016.8613674827357,4082.4873606662936,4247.706915927578,4504.9681791707535,4795.911652821131,5038.40039471679,5165.72531489
7kg_10bpm,8AB,5099.41748512,4784.307080017144,4429.419631398222,4097.485289859677,3850.981187056898,3730.377596818937,3739.6997854436563,3839.7284992365726,3971.7718064663586,4082.395556274922,4140.867378066956,4132.136619385131,4050.085326045456,3916.097532672416,3740.82588313756,3540.812761852898,3329.6334237025194,3113.447825993062,2899.3539419543777,2689.931713568964,2489.973584550414,2311.8655127265597,2160.976826661921,2033.017027704966,1922.1665784997174,1822.1166655828345,1722.247479406885,1621.296217505826,1525.1844251047598,1445.6465309475525,1393.511283868537,1367.2183574726703,1356.772665785091,1368.65320187348,1412.5617662412392,1495.7336823391747,1611.1668747211024,1740.9138213194801,1870.1863599614421,1989.8823369203246,2097.2470709831623,2198.9446372385005,2308.710078215346,2436.8160357084785,2578.7850763806364,2719.5905483663687,2845.845257120557,2952.68585461428,3046.63279696405,3138.4417922779253,3233.8310110599996,3331.0209264757837,3412.790763682747,3474.8331728219123,3509.264801415877,3521.6818964672093,3525.249924604357,3531.7982900231277,3551.9408119606173,3584.8414629963345,3631.7063532270636,3682.6697538731337,3730.3455582626893,3772.038992174194,3805.521913262455,3827.063158576845,3835.0346025759322,3835.390256879206,3836.3396411340923,3842.709584367312,3849.6038077094054,3856.991091101606,3870.315531733085,3894.1760049060704,3927.0670388912017,3966.8537315990334,4003.9531247963855,4024.703148710994,4021.5153800155963,3994.626325126056,3950.890681166076,3899.201490027906,3846.681587585292,3802.3056135646525,3777.1901224808544,3781.9039683173764,3824.357947913907,3906.262654621132,4017.9226897780713,4137.414604057729,4238.245212659984,4294.6097114723625,4295.869174312291,4264.296974197937,4233.8399720377865,4240.674283615546,4321.391497898727,4499.5962368154305,4735.26335103254,4963.287811554207,5114.69207021
7kg_10bpm,10AB,4812.67614007,4554.984895199749,4221.080801293867,3907.2562993895663,3694.5645908981155,3625.884930680763,3678.7797373716107,3794.6182773537284,3901.1154353235233,3949.1692974049,3929.1612488306696,3844.4350232878232,3699.7316639219516,3503.3961578257513,3285.313843017543,3065.722435474868,2865.3465600563,2693.4531532307183,2542.755342871749,2399.269877674782,2247.3293569983794,2090.055987323397,1943.6162599636755,1820.536838196723,1739.5675162590514,1719.9984649131502,1754.46862202754,1825.860333491707,1914.7613053445782,1998.192809044886,2054.7862224322403,2080.023756027225,2084.76016629625,2084.3823664880565,2092.2044013035447,2113.946285816799,2148.3075167853303,2190.4232829439034,2234.036067738547,2267.631537688148,2284.680046802379,2289.5465144251243,2294.8044935929606,2308.8531885519124,2341.569777615707,2400.0292968657136,2480.5995784038478,2574.2601410238603,2677.921981218415,2799.134871414767,2932.9804888300005,3062.382355410731,3174.21665100643,3267.0342114526316,3355.5991816134506,3459.8681860367274,3579.195696665787,3690.1645298638255,3767.7919439352454,3809.4952511946294,3837.9806776560768,3865.034363476592,3901.670175388589,3960.676150517244,4059.322415507202,4164.342469186174,4186.589554582183,4073.870458548963,3847.897733461018,3596.518949400964,3452.621700331899,3493.8665038090107,3704.065066969074,3971.8256327285467,4130.281716337399,4089.177808430597,3917.548164580045,3756.6305861025853,3720.422658308547,3805.234398792294,3943.295886084536,4036.2237264188925,4025.3737917729,3932.269312918168,3810.0806421604766,3721.5327700174053,3689.781945748535,3722.7515477335164,3798.0751573860875,3877.454947759141,3945.097516406344,4000.6999465598183,4056.546376195183,4122.733698250048,4189.714347321921,4235.284645256258,4245.155616465065,4213.577613242741,4167.607848986305,4132.044326549372,2963.50663591
7kg_10bpm,11AB,4856.50209132,4484.984978196883,4088.118295252091,3812.3679123259785,3738.979538363363,3834.3209210013297,3990.337823299444,4094.12611775374,4091.845537282383,3998.1424221554694,3857.38432013229,3718.119824870206,3595.2081444682162,3462.1537979472027,3281.335130648942,3025.3355357110036,2697.5185977206593,2336.5994023412013,1991.3858685640357,1707.302082095302,1515.7995295200003,1426.0595071098446,1418.8565864737395,1453.3970433454072,1490.0821219485795,1506.595697592628,1502.6492450618307,1502.783112055369,1539.552494779859,1626.9204049135303,1749.7211449801814,1876.2617761525628,1979.5646232561724,2050.378255620036,2100.683642318847,2145.052140153459,2197.192219101269,2262.055504616216,2338.339527725589,2422.4006628184748,2515.22941498,2619.053556076121,2733.363807068229,2859.8136799921035,2989.2451491650872,3113.978790570441,3230.9950237417493,3328.531163647305,3405.136268106682,3478.0229445875875,3553.134997482178,3628.2847362320836,3704.401958696901,3776.433383981813,3827.274785576566,3845.002286557979,3833.8473182709176,3818.9388596303797,3822.987380337382,3859.7458535209676,3915.85115994,3957.8629223746316,3961.5033333332244,3899.7458078940635,3751.356727561436,3533.143545108468,3305.6220960089945,3177.5925693404365,3254.212576891967,3522.700583158771,3833.144553937901,4022.6989487975284,4058.9493343545473,3951.3546722711303,3793.8748528286915,3685.049434190651,3644.033018371941,3653.3096213849053,3682.4246651335284,3712.1080090487912,3741.3332200100003,3779.1923817967,3834.576475093058,3896.9236131982448,3944.507604320499,3955.3293925057806,3918.1948285356893,3856.822568838024,3794.436534966478,3746.1376852425774,3720.8057911782707,3725.7848028577405,3754.8568233429405,3791.4084823627945,3830.2381718197043,3871.979057320781,3927.4595993762214,4000.886864387207,4105.590767078434,4231.089156641534,4349.80751944
