cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,4730.81691014,4635.783218545264,4459.661476947608,4246.572312843429,4063.8661517309715,3950.6817158900003,3883.1158288989395,3852.1792563637846,3844.7432997115657,3840.524482798973,3818.6096688199996,3762.135855697103,3665.1118796470223,3535.341879952451,3386.8650586462127,3238.421309069999,3099.55432636121,2981.259085831717,2887.289252760056,2819.4678513798867,2776.6899396,2755.629508556326,2750.321542394567,2758.684277985969,2773.754682978822,2788.3283745600006,2799.1591078904808,2806.9645161821713,2812.7978817788635,2816.9646536869395,2820.7929623399996,2827.4065310869723,2840.186300290822,2861.864837448849,2893.122348514846,2928.9445065,2960.5241953063687,2981.3963955562863,2989.1489633753126,2979.9003243256325,2962.85268639,2943.5318742527616,2928.5664924420157,2920.9662590818,2920.037169390623,2924.07525457,2930.8135133360825,2938.748391611862,2945.9687196961377,2954.2299650487475,2966.94726005,2984.419185816519,3004.379388207582,3025.0832815552585,3047.16429362234,3070.4305161,3096.3395637388057,3125.184624366324,3158.277242135169,3192.580456708466,3228.7720882899994,3263.0618886460375,3290.952770775153,3307.3618581909113,3309.116946134194,3304.0902737999995,3299.316503496418,3301.437674376678,3312.5102514942823,3329.4465195919397,3349.7233048399994,3371.4244446364078,3391.3540925852194,3404.9179733623364,3406.072612376038,3395.62941376,3374.152828864058,3345.8578418648035,3308.7012084600697,3268.326211889575,3227.9213689699995,3186.9654836404065,3149.6107605909438,3120.438112957972,3110.161849332836,3131.32092832,3194.916583886631,3307.2250463159276,3466.188056748868,3658.865072204086,3860.5870272,4039.853336627139,4169.990448080267,4236.580747701066,4237.834904925971,4197.7655792,4141.13680542779,4085.31877734415,4161.090521631802,3053.666380224365,3215.6287205
7kg_10bpm,2BC,4193.77294566,4093.902253000231,4005.3986553851887,3945.993212352104,3913.2694189082363,3910.258036351728,3929.9862571097547,3963.332994487434,3996.2654514255155,4017.0005754369026,4015.1054586787327,3983.9507962359216,3923.147524685129,3836.429545975575,3729.679304862704,3606.203221878551,3471.4401292593416,3333.904041062411,3201.5594483221616,3083.9832963184226,2987.78550792,2915.0023570281037,2865.3601789913055,2832.6163879952032,2812.021148629507,2794.957822020909,2777.0090033110564,2753.0177735301886,2720.446879117358,2681.1861651983722,2640.764390620425,2604.9912654817526,2577.4522284478717,2561.1357307943313,2558.006550322572,2568.3798836106503,2590.621720993105,2620.012851987351,2649.6552088083063,2673.585618386819,2687.71053796,2690.947335861762,2685.539185320976,2676.468470532468,2669.096707028829,2667.867698448259,2674.270671063143,2687.1229168309746,2703.3534959211174,2719.029997207309,2731.566858049921,2744.264087805452,2763.0445745498246,2792.7917911487502,2835.1721406838647,2887.431513079121,2943.926122107047,2997.400148059217,3045.178911323286,3087.513854578023,3128.16987309,3168.4393467104296,3208.9270160941137,3247.1824074554606,3284.7403316165787,3322.4027986673414,3360.9935239083384,3401.029113820211,3438.6247492803545,3470.136272552626,3495.526627454874,3514.3296834243874,3526.1604523193573,3530.1810079422326,3524.533324729093,3514.7081322039226,3505.7315545266715,3499.538711452954,3497.186206812153,3498.281741356917,3500.90144403,3510.4294483534923,3531.017182022963,3567.750345110478,3616.78250304732,3673.082068542862,3730.8221454548825,3781.3159255025607,3819.738098363915,3847.6513975413377,3870.5346073648343,3896.380094363876,3938.4326847667,4007.3974600749266,4105.578939908921,4231.763963495869,4371.953271572439,4519.4584893424035,4660.957040215496,4200.276277472523,3730.81393992
7kg_10bpm,3BC,4638.03610791,4498.388906842613,4326.194549070462,4150.763124805423,4015.2163339342524,3933.2979599318137,3889.67776280578,3874.0618182287394,3875.8113048474584,3882.1641621086487,3877.0008637489414,3844.490439067087,3775.9390809459255,3676.6444495202077,3558.7101657323637,3435.753846549672,3319.4406957468204,3217.61773369967,3130.927629425553,3059.1728164009014,3001.686054187121,2955.7040281253453,2921.0447606984435,2893.7010643230865,2868.1944952915833,2837.5633382203455,2798.9930854405275,2747.997497511213,2691.766644722172,2636.8058377220295,2591.5650008247976,2560.8871864878465,2545.1932798474045,2543.9041766784217,2553.2501350562698,2567.665711412356,2581.3974731117805,2588.8601933244136,2589.100285557839,2582.968321644966,2572.6929679723985,2559.880852454835,2549.2247321132354,2541.4699875196134,2538.94211267927,2547.1337793347407,2569.215051216816,2601.600048241089,2641.3696766687412,2683.4741089813697,2726.53753398617,2772.648709769604,2823.948975272549,2879.781406744747,2938.8271486662375,2997.5563875530984,3055.894025119667,3111.9766609769576,3162.0252690582925,3204.4540799064944,3237.5173250128673,3262.503784741441,3281.3947323058883,3296.5343232670375,3310.183884343335,3321.0747200260403,3329.436066545282,3336.3398218244665,3341.9461391358764,3350.097964215751,3359.027198046841,3367.7968486634095,3373.9986795062086,3376.8432657914977,3374.6305557062183,3368.1049690878544,3361.987049582127,3364.5272058075484,3383.0191457624774,3421.311735015685,3481.8283941125246,3559.414159671905,3647.3509491595087,3736.1478990833584,3814.6663746045974,3874.4521006642394,3911.653607350276,3927.611292548895,3929.880174729924,3931.438940625079,3949.77111432702,4000.4851456899705,4098.876343498301,4257.222977847001,4463.629255207904,4701.729524539155,4924.454273834483,4420.421386560636,3944.420963895281,3998.1850268162952,4030.07900328
7kg_10bpm,4BC,4442.81656966,4254.788476178795,4038.624316053814,3878.6297795438386,3789.6838598637137,3753.117187071854,3765.185728556797,3812.625019572495,3872.844438748737,3920.3800346010694,3935.439392671496,3907.8117769361806,3837.8918732841366,3732.981698865585,3607.1064609779287,3470.345861260166,3333.2522859704973,3204.348241502176,3089.5291872943303,2995.6274124501615,2925.0326031285585,2878.104939415951,2849.734842344956,2831.8371484567397,2819.352183121419,2806.8936027646605,2788.0924923899383,2761.0214664811483,2722.9405273308344,2679.079970257371,2639.3171880539544,2613.853796055132,2607.626637574887,2620.91222114295,2646.57601084724,2676.8909397624443,2702.6882264962596,2717.1875576746897,2718.223939316166,2708.3027438184927,2692.573515090987,2677.1030666285233,2664.837812588572,2651.747727161906,2631.1393883799374,2596.638750682289,2547.6453181953784,2489.9686051282715,2434.505795423056,2393.0129775899386,2379.211371643752,2395.5671340142926,2441.9835213179626,2514.5486307673937,2606.5751979465076,2704.679478981701,2802.396600893472,2896.347398728479,2985.6922760456096,3073.8444103468423,3161.5941513346693,3250.233201365139,3334.772794099932,3407.621667617243,3466.342266043519,3511.680029309718,3542.590959689195,3557.6466801181155,3558.223045459608,3547.026615002773,3536.009519574625,3530.427996775142,3532.6629273333424,3538.78933504129,3543.175485954792,3540.1221106187195,3528.0288927309425,3509.92189801581,3486.1851531616144,3463.4927074019033,3447.0399783798425,3443.128432860557,3458.3594621990987,3495.8139585255753,3557.578280310443,3636.7417138756527,3724.487970161806,3806.642420669094,3873.116094113942,3923.2826799031814,3966.8583243993826,4021.633561275699,4105.679241907239,4237.631227182558,4435.64918739401,4681.608662659592,4950.078589441126,5163.4749903353295,5350.276258369037,4015.9653786901913,4231.74588221
7kg_10bpm,5BC,4502.07809632,4360.944791770472,4164.499056280458,3963.5628741145015,3804.8583678955206,3694.1675617080596,3635.090523057278,3629.8382581736923,3664.6356792775446,3716.829917715303,3764.0889954119825,3786.4475759812926,3770.0320350929164,3709.9065733886005,3612.1638308341285,3493.8453167740363,3373.339301444908,3265.3760881233516,3177.798783227349,3110.3028756303293,3054.4167988490203,3004.3601286287644,2954.424276263049,2902.717178959508,2849.753420382825,2804.027889855584,2771.926657675498,2759.9454763956373,2759.536890593193,2760.6633210977143,2756.0641339295494,2744.2401084248268,2729.7246310797495,2718.1407645724203,2713.255067522245,2717.8044399944765,2724.853054259214,2730.226644666849,2729.8918691913723,2721.314734498318,2705.4359459796246,2684.941062166076,2663.077846784575,2644.5028190484377,2629.1488606980824,2620.166292049113,2613.8919881159304,2610.654813459097,2613.992390834644,2626.61356169839,2650.037775063522,2683.825240638732,2725.5798072313837,2772.623088160882,2822.118891985714,2871.0999179796736,2916.996610859074,2957.4546427487567,2990.3234976582476,3016.097285576231,3038.051009892219,3057.0734938065484,3071.4567668112663,3082.4951165136204,3097.0254330805587,3119.0709689625687,3150.677854648151,3188.9378471240457,3227.975454528,3261.3725911662577,3284.294282030935,3290.8275674951205,3277.9036893399107,3249.074265833706,3214.1871954922985,3184.594018696503,3170.8140911553514,3178.2185825655006,3204.654860656191,3243.6137116261484,3289.012904112878,3337.5983699117687,3394.152504996798,3463.6561235297777,3553.561974245686,3668.657360597724,3806.272173911848,3958.564156953084,4110.618402085387,4272.781760289495,4430.597272314001,4561.469188805279,4667.61385748015,4740.2748711733175,4915.644171425681,3690.2964975386794,3921.4942494648876,3986.77010419926,3986.1453396688335,3920.786960583437,3804.59714985
7kg_10bpm,6BC,4742.80777609,4650.292940773557,4466.179557538059,4225.336889439803,4023.2276320287006,3896.835407395873,3813.216401767112,3780.456393838228,3787.3980324440945,3808.7237335809327,3816.7319960055233,3792.3814164810587,3731.134783617688,3643.885964111553,3547.6610062788463,3456.602865560013,3380.3296553898836,3310.920354300923,3239.4489197076086,3159.6933591749103,3071.269979540573,2983.6554688198794,2909.8304846773563,2857.7205161595666,2827.8423049506223,2811.7162148,2801.555831967392,2786.484639067024,2760.516506332967,2722.993320087715,2679.265470868546,2639.629518891284,2612.1799533999047,2600.718705732538,2606.193804436875,2622.741916155321,2644.5447911113242,2662.846798135247,2670.0255071092415,2661.061783211312,2635.0619353621146,2595.956169980786,2550.6867388892915,2508.6124223315137,2478.904940076361,2465.681239172411,2466.568207604453,2477.4215101556715,2497.1780716291582,2528.0288025567274,2571.10591469,2624.7623027126283,2683.6763576240055,2745.075811561535,2803.190214602101,2854.3134091342495,2899.9581136592383,2943.885263634361,2988.697735981712,3037.1926177007595,3092.7223897056615,3159.8973598829452,3233.3336489176754,3316.6726800704605,3397.108098958171,3466.0411917683873,3516.3411486742702,3550.809856591893,3571.990601927672,3586.7636305410524,3601.1156544992696,3615.33745911154,3626.1295138158644,3627.0065335170675,3613.8732012164014,3585.1943732299997,3545.7152230784454,3503.4449852679218,3462.766987376001,3429.999603766814,3415.384298185387,3425.9325745314904,3462.7294155707255,3523.6334233120638,3604.268449079911,3695.550589474066,3787.162707587013,3864.9827513965683,3918.329151473636,3947.0963668967765,3960.562092791402,3976.608806885786,4017.8443290980185,4100.8500138646095,4239.78601518255,4432.9912309278125,4626.772962241032,4527.294962945881,3761.4994410916197,3863.245705948719,3914.9134117
7kg_10bpm,7BC,4771.86066692,4604.11057007802,4345.5100576751365,4059.435380084301,3856.8331177089913,3730.3890102205983,3682.079218303225,3697.759096251172,3740.69912714817,3770.5884443532564,3760.640158686373,3702.699756623793,3610.2578929515366,3505.5238471763582,3407.0632461165515,3321.852296174397,3247.7987127250417,3177.3059869169333,3100.588792660324,3018.7700602501463,2936.8336681,2858.9904859272797,2790.3222220343214,2731.4252474055475,2678.4463804078696,2628.0797051119957,2582.1189576140077,2547.672563261587,2533.5948976086784,2548.145399279874,2592.210882216742,2655.3933587864053,2724.768200986188,2780.7288332132694,2813.861903801971,2825.3450667638144,2823.0198838786564,2816.076751204134,2810.8457100266905,2809.4034521750414,2811.2283042900003,2817.222879965059,2831.039241189575,2853.3071592286874,2879.017930137218,2899.6545520831883,2909.3995715738793,2909.9573257011707,2908.910665249097,2914.835450449181,2932.6049532860047,2960.469611381079,2991.8477121803517,3013.667429831652,3021.0166107738087,3015.160539468505,3006.5843091149263,3005.405422178315,3022.87526622139,3060.9497041178347,3116.7349871200004,3182.3656993390023,3246.340141954859,3298.3391487083622,3335.35410734046,3360.6097568340224,3375.8835038425946,3385.1811388415645,3389.4293635252325,3392.318833842968,3393.815997998573,3391.7625557657325,3387.648601552901,3383.922653927028,3385.0083983988056,3392.3379960004477,3403.096974001428,3409.7842287889584,3405.505060837815,3388.3650973988106,3359.81025301,3331.4756312845243,3316.1983108189115,3329.8383141786917,3385.1825064090285,3478.513841519836,3597.6119970575674,3722.97382463447,3835.1107672997764,3918.4159080615373,3965.903894345956,3987.5030208532185,3980.204517136343,3647.3899455852634,3239.5362837651287,3327.487430648245,3462.7117599149665,3610.29713365849,3749.3653065754365,3847.52006397798,3875.31095345
7kg_10bpm,8BC,4498.57655798,4410.552956395752,4259.756154780903,4093.9324184067123,3967.375384271138,3893.160928382395,3867.1564128510745,3879.8473523161265,3906.056347730452,3914.4481085689454,3883.02220546001,3801.887448247326,3677.3928513569567,3529.9887584892563,3386.5601444258887,3265.535940025475,3166.4454802028454,3083.1078594993296,3012.8298704679373,2959.3751315622676,2923.9606295705644,2902.4520459673117,2880.444477277175,2843.0383411521852,2783.024197950109,2705.621248386608,2626.9579326455905,2566.3732849793114,2539.8090032325244,2553.4547956827237,2598.9170440383714,2655.9215246416525,2705.3434779800614,2731.328889342559,2729.2293579841494,2707.214349546133,2682.3949901296846,2669.1621144942987,2680.6388939504445,2710.62361710407,2747.3187958265635,2780.4519058117903,2805.1068497900906,2823.5471087313485,2839.08101991451,2850.7815589076213,2855.928909612463,2853.852962256706,2845.629927331925,2835.121960374637,2828.3289570699544,2832.3500477582315,2851.976856753022,2881.653834374255,2909.5643636143636,2930.11927231616,2947.4649287856455,2970.018336427712,3004.0160840274348,3048.7258902708313,3100.598989884773,3155.01826213205,3205.9857726413056,3247.4883873627446,3282.782754979886,3316.4780496358267,3356.5768497953895,3407.21744149332,3468.9988697148583,3536.3809280201685,3593.2833145890854,3623.6138002141993,3620.971342314265,3586.297100743569,3533.045807077806,3479.6961759709347,3432.527638382352,3393.5822270478884,3358.3089682384298,3326.2664108358895,3300.7373564811014,3283.8994242929457,3283.4052142828377,3304.3040837088292,3349.502976502069,3414.344723536638,3491.4574745264804,3569.8831721869933,3642.6374541657988,3706.813121641582,3766.9465941120006,3829.197636079086,3898.283078878529,3977.7282490240227,4071.100207143127,4180.2832216891475,4302.492886058192,4431.161936420256,4583.01882668478,4772.531456264315,3702.75013573
7kg_10bpm,9BC,4205.69210937,4057.301657412626,3914.0183418567976,3797.1975605380844,3725.4798008298444,3698.547398659999,3699.5789190491296,3708.0090326413656,3710.7003336267762,3693.0535972191583,3644.9565141000003,3565.2878957831517,3465.3228661160997,3364.4037473984404,3279.994254679944,3216.67551499,3169.9684035095565,3130.589994873047,3089.0214773310236,3048.544409010009,3012.56115009,2982.909781694481,2959.7805392179016,2935.5046086457537,2903.9547439261196,2866.29377698,2829.7763740312407,2800.975805656643,2779.88403433075,2764.1171499893667,2755.67514774,2761.2466834829684,2785.1945262088734,2823.4773358501734,2862.2676183925896,2892.5987368999995,2909.891317452682,2915.7128320105753,2913.2593104942757,2905.5014529524065,2893.1624004100004,2875.496410417893,2853.5840767793416,2832.829899917471,2820.122483262797,2820.2637370499997,2830.5576207895497,2842.0525627763345,2845.4236793578298,2837.2295750188027,2825.1707678099997,2824.283086946225,2848.0748215943017,2896.4720113890617,2955.2363818577005,3005.3158887199997,3034.28006989479,3045.1112158332207,3048.6192965265764,3057.234743393179,3072.51356126,3095.0147889605933,3126.529802240657,3163.5423852730246,3200.1123697106536,3232.47889681,3262.9269866532595,3290.885343184325,3318.6570189140243,3340.0390423329713,3352.02430666,3352.7872017205477,3345.6278729661854,3336.739110919429,3327.0372455012616,3324.69455539,3331.704996775496,3343.0995239412446,3346.0674139431903,3334.237700446397,3308.67603259,3281.150737079157,3266.764520412119,3277.4193358772204,3323.110560736755,3402.7337389099994,3505.957743707505,3611.1190075124546,3697.9877781524483,3751.3136271550757,3767.8764445200004,3758.002874152753,3740.9157355978027,3743.2542515177993,3792.047779480492,3908.0979676100005,4088.6758606492776,4306.710299396606,4523.313049480878,4669.499561720253,4663.64330494
7kg_10bpm,10BC,4406.69659545,4202.317188358861,3988.3187815491524,3836.983046437295,3747.985130442557,3727.9221403950405,3760.985614411982,3809.0472526618637,3835.1708853912637,3814.7852981791566,3743.7139550984684,3639.356660646391,3526.9811063185657,3423.938668850963,3340.1254000059416,3273.0334584107695,3215.625064826253,3157.94635954651,3091.786964748823,3010.4103420024853,2921.750098098946,2832.5716896963013,2762.0278541669895,2719.467448015014,2706.5551496849675,2712.3157929890885,2727.7358214215405,2744.933274801051,2761.4900896501867,2776.3133176045712,2787.6728165610143,2795.2431181577163,2799.63464627032,2800.515023634921,2797.1675633279438,2790.646362528016,2783.999841826204,2779.983491215273,2779.1980747421658,2779.5963676233796,2779.0209475557194,2777.666162231011,2774.611515764455,2770.018467498381,2766.667659861197,2765.3368117135724,2764.1241975890503,2765.0441947848435,2768.613806613996,2773.969791356435,2782.0849253865954,2795.305966010697,2814.8258801456677,2846.6928429002473,2890.3281489473393,2937.8878962736053,2980.5622541437974,3016.5052905734537,3051.2918699467978,3087.2582175377297,3128.808837354015,3179.130104946034,3234.821493947765,3289.0978087192734,3327.924203367748,3349.902121822419,3356.2079051748383,3354.5454404514862,3351.258281659183,3350.8071070272085,3354.0189071676755,3357.334672272273,3356.530921730274,3358.2641716002827,3365.99211039065,3379.246274614725,3392.541492445362,3400.109875305811,3396.04012848299,3378.4137925809305,3355.0474917717966,3337.7895455917037,3334.9905722252292,3351.0336225932188,3389.7134231948835,3451.0701448726386,3531.900389630827,3625.44211664568,3723.7945536182747,3815.229870857711,3889.498232751701,3943.0682210539567,3989.77836116891,4044.620691285354,4123.67607147171,4233.970399193068,4366.41991555361,4483.690652076226,4631.842593453235,3493.734318682718,3558.75699073
