cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,4725.24303373,4562.244928310796,4416.050119512307,4335.943699720577,4350.49869220411,4449.854582455554,4595.273669605932,4754.707014675172,4888.028308022398,4958.0430401873755,4963.098790183753,4918.0537533983415,4855.470443429878,4793.255822295316,4748.6148325996965,4716.265150662395,4679.092103672321,4626.441963788913,4546.503534751453,4451.091183699407,4350.599480731504,4258.068401344198,4176.303856875202,4096.855985588616,4010.058055162172,3897.1133033837464,3749.0199430072416,3561.8874090591544,3339.977204072085,3094.425741568982,2843.4274025058003,2607.756375430412,2404.2549669940922,2238.37676953816,2101.8868129743423,1979.5696019058473,1859.1370637234231,1743.7894346619257,1632.1231563307258,1521.230337111244,1415.3812567333962,1320.560343553276,1242.456337981603,1183.232458405391,1138.7022066459358,1101.1010519241813,1065.8756413257756,1044.2465183214692,1054.1590898902953,1106.4589180482124,1202.529454300048,1333.9448711908226,1485.609571576499,1643.454464510848,1794.8803778334704,1937.8661510350066,2077.3920978230103,2219.009146267853,2365.456611097065,2513.8998203836354,2659.5807427599616,2799.953949690187,2932.6826768993606,3058.2634438796445,3179.028073786927,3292.3062203394525,3390.6366030158856,3474.606971078986,3552.7742745771243,3633.719560649949,3713.5476852542597,3779.2440032232776,3821.840822980307,3843.0558604356193,3850.5232049416577,3862.7020548764,3893.7330387368884,3951.2150102631126,4033.6657359168457,4124.48263735666,4213.550535179594,4282.080946665814,4311.621283972636,4293.562548933729,4237.446996097557,4159.1247704591,4093.805795589614,4069.883526623779,4103.579179173078,4193.166438254985,4318.610113967777,4449.541667216534,4562.489837080787,4661.6827767845825,4827.415573755924,3314.0535297379656,3332.1803622424986,3320.8834375232373,3317.6395362844787,3271.8965979481486,3172.29036899
7kg_10bpm,3CA,4834.24218726,4760.525807228727,4672.259451942131,4608.761782465847,4593.919776048758,4633.830208263643,4715.675460693254,4811.433534116215,4886.615374813475,4917.3695983902935,4891.293606117927,4818.893130556431,4724.12755251517,4635.816950262764,4568.549842260506,4527.86146644024,4509.88502013652,4503.041943621443,4494.15189227774,4472.570168500241,4434.174719833678,4372.267402550708,4281.146093377548,4156.673179141173,4004.3986049441605,3831.5979411447224,3649.457960010711,3463.9942623135944,3285.035295736021,3117.6597861193013,2964.3899110891552,2822.6812275904144,2686.145101856362,2547.574450763567,2405.9304764961685,2262.6446155183726,2120.079773428246,1982.3111710607673,1853.9434727667935,1740.6642939134972,1642.0651377982385,1558.1847506822578,1488.1920071647983,1429.924955371719,1378.74487482301,1329.9740186497825,1284.3896505148507,1245.876008395111,1218.5949115374835,1202.1480575684334,1194.7861942,1194.7043127502718,1202.3072135990456,1220.7750005420055,1255.2011575529498,1311.023685256584,1391.4096460015421,1494.578098979756,1614.1339316543201,1744.4112839556215,1878.9542171693245,2017.2378281071583,2157.175505529371,2295.6499434461257,2429.396033040587,2556.4713738998294,2677.9601014569134,2796.3407847191766,2913.517256059761,3030.9993759043346,3144.6863119085892,3250.4882761209196,3347.448146785676,3437.110946612297,3523.7482722650734,3613.9536790149823,3707.4829892284506,3801.6556210461345,3887.1904289265385,3955.5408474921787,4000.9793221881714,4026.0051531226286,4032.5443039717707,4024.8066833517405,4007.7438148126785,3988.1734433225993,3975.2226780690735,3980.172944702591,4012.2985942875075,4078.9073257927066,4175.497685690669,4293.6972763996755,4414.680785927456,4522.269023981963,4597.544974547384,4645.065886510321,4677.435985536808,3690.08434454448,3188.766992999929,3141.535423509586,3110.35175177
7kg_10bpm,5CA,4477.05356551,4382.264906092264,4266.36959016711,4195.841159969646,4218.9324574785605,4310.24047132793,4445.611796289548,4585.879518287897,4729.287642368513,4845.881468685474,4904.621124150748,4893.121786438001,4822.780492474956,4711.387570273753,4581.757967710368,4468.913819941514,4386.530251675426,4326.919750127882,4263.878270767448,4172.935767611797,4030.6020843644105,3841.055607345976,3623.4948179499816,3394.3809539215054,3178.681261201227,3006.306221959952,2898.0348670207945,2847.094092204325,2819.739586895619,2779.528334003306,2703.7642973491324,2579.7649278464055,2413.4333304915467,2225.7588784644468,2046.5801992631489,1902.9231927343117,1804.864846241027,1744.544123892798,1703.901414258934,1666.1294224922233,1622.4249648003822,1571.534053072006,1514.6583567100988,1460.5144187331746,1422.0034655994332,1410.0175342296768,1427.392809168881,1469.0468638688135,1526.2790269975148,1592.0890599562777,1663.9708715600002,1742.852682116856,1829.6858784224003,1924.6380527857611,2026.4820987679454,2133.0740263333228,2240.9004086491864,2355.3643948619574,2476.064162315143,2597.1434391969556,2710.3092167881155,2807.4400292626,2885.3255284222564,2946.285239458059,3000.059624479707,3063.513894940053,3151.0860271164047,3264.6802261535886,3390.802637104124,3506.9280546857003,3593.538487666389,3639.0255718933213,3639.2520808418385,3605.311570478677,3556.810842967909,3515.18951907485,3500.643000035717,3525.2675738805315,3587.079976174486,3669.7670243484067,3742.199494010757,3781.686619758367,3780.358088840464,3740.6984574113803,3677.8079635759254,3609.4787893709577,3555.4873473277007,3523.6636577557383,3521.1220436030626,3553.5034586196716,3627.4233458232607,3741.1419821211703,3884.6051440742453,4041.528585593892,4196.561066410978,4330.862725392915,4427.9613908964475,4476.678719482641,4466.956400131436,4388.156320046908,4221.29091513
7kg_10bpm,6CA,4676.86805545,4540.981337926269,4391.4134706690265,4279.092483564629,4243.32305620336,4291.648675895518,4407.04022934218,4543.368650309077,4676.628454158473,4764.816800657763,4792.6177460860345,4774.051099291642,4734.887922189863,4705.099851859358,4682.449099731769,4655.670816849578,4616.693374831153,4556.342957442125,4472.341259151797,4375.477701433988,4267.406254638402,4149.313519947525,4025.5808079896046,3887.6362855104853,3735.386180048312,3568.1511468499993,3402.7542808724884,3256.6090445478912,3136.4823717571026,3035.135317754632,2939.340143544886,2834.3043210697315,2710.1585066284138,2562.678235656925,2392.380275903698,2206.164442214933,2014.2374494412375,1831.8649623803062,1675.2526206128366,1553.841102948999,1478.0751869932458,1443.7888548577428,1432.9496008107394,1419.2940699653707,1387.6001338726098,1341.4786978951543,1291.0025941805893,1247.2289618489351,1220.6093715653853,1218.2498308927502,1244.08854212,1298.2635945921634,1376.7523341631993,1472.5928896282162,1578.6750966482844,1689.7974095979343,1805.4484741030128,1929.9503273079367,2062.828101126247,2204.99837193323,2354.9254793855603,2506.9381650373257,2651.471608950614,2778.200128750998,2881.7042636180477,2963.532467043175,3030.3122182844995,3092.823073218682,3162.8747103872356,3246.2476740683583,3337.9006759051094,3429.5208021449102,3515.7381053450326,3599.680311349351,3681.079541461067,3756.77015146,3820.750540377206,3862.775499459965,3870.223585480624,3835.963380284522,3764.3290851332335,3671.897945450123,3584.3786080621708,3522.78199846261,3498.4454061608817,3514.3300253684197,3564.6976788004386,3641.261671930292,3728.1353732001844,3814.1369774698087,3886.688415553178,3937.773123755793,3962.3478765298933,3964.575419764826,3958.8939445797987,3964.224881962469,3988.967391896998,4031.1170046136012,4070.6008453269283,4081.0618000818754,4037.12047016
7kg_10bpm,7CA,3670.8224166,4685.290254807758,4558.321149923161,4394.398530959033,4262.571431182167,4198.431532170239,4213.540925470237,4304.590732515774,4430.159302283362,4558.0578744988525,4641.445555419267,4660.52023465032,4612.018731642128,4530.604591497921,4438.366165746039,4335.088673285874,4206.960131334826,4048.979243156168,3880.323164706261,3732.2821290527313,3621.174398786778,3562.870669046687,3541.636018489641,3539.8969828025656,3536.3271864567755,3517.207275112407,3490.385433643775,3464.6568262561964,3439.6936153434613,3404.4583934988104,3341.473389995391,3232.300484301445,3070.1244913259507,2862.2105651259126,2633.4822096320486,2413.1634100187966,2217.0421122894772,2043.5765598222322,1897.391657557774,1772.7247802792185,1661.6604574535925,1559.7790947461333,1459.2156470774037,1351.2428611414484,1235.3776637542646,1128.5254130164024,1052.6243139933492,1025.8736131192506,1055.1147179158945,1137.4355735371662,1245.9407376957379,1347.1623021777013,1434.7771115801622,1521.2031099807782,1614.0860488203407,1717.6743377082387,1831.5797626784379,1957.9820035516495,2100.3786054517896,2259.37108869415,2431.8998404242516,2610.115822660216,2783.1899161428214,2939.959274177121,3065.9494561495167,3152.542289605103,3209.188375012152,3251.8449482928863,3293.796696627547,3343.3988355944816,3402.461850699877,3465.8469723611684,3527.328227150119,3587.2791491809235,3646.299661050185,3694.5491673185443,3726.8951225206665,3746.427773032211,3756.162542540505,3762.7380856346686,3766.498038746342,3766.98719952004,3758.186537384993,3739.3235998913137,3708.583942140888,3668.714307965772,3630.657462596714,3599.7446035921716,3587.4393217472907,3602.269309855637,3651.02089125459,3731.566220221996,3838.642429991919,3963.736247836107,4092.5845027407986,4207.883516760802,4294.231896224264,4334.709036347204,4314.3108449143665,4231.688173474312,2892.72757193
7kg_10bpm,8CA,3907.44983153,3794.560395291897,3714.8965155458504,3661.2510566034325,3645.0539417446657,3677.1311300087514,3758.1705324026616,3889.423495465036,4128.802782529364,4379.649239968729,4557.27949010707,4612.5664318759445,4564.362580986103,4457.261055280535,4365.9356034764205,4332.840548287371,4355.02581352632,4396.173910197332,4405.412975743173,4360.526140154456,4278.648240161111,4189.877536750076,4100.886630238598,4001.844315868749,3877.6625037745002,3706.8395704942204,3499.9371581064993,3293.4156794998817,3136.537877060245,3045.1206995486323,3000.120510245016,2971.3925272542083,2922.9246615201446,2818.31743180855,2644.37367357264,2420.8057376263905,2187.3916122023757,1976.2019893168108,1807.1199385001714,1667.7173565802134,1544.1601226837693,1429.1142858540038,1325.400306624614,1253.838143528712,1247.9563080758485,1316.9908872662288,1433.0330785742915,1559.5036813587667,1662.0767845154494,1715.1459150676963,1738.5784634700003,1784.6611962175398,1875.6525139358632,1993.707281102636,2108.5686288019765,2198.1454056682305,2270.266588926757,2352.2554177475035,2467.612307922064,2623.5343372157863,2805.3338861652232,2986.778829974867,3140.6491064650254,3244.836678898828,3289.9424641616133,3297.7053105871382,3307.0254176311996,3342.3612832939225,3402.3183301989634,3463.295530622414,3509.4000652826044,3548.4925275741325,3594.5451561863297,3653.996982640822,3718.7604970958555,3760.6865153231233,3755.387164789731,3702.8185523719817,3624.069292555095,3544.6918853246443,3490.9054481464095,3470.6829949994776,3481.3115952584085,3511.9258743184164,3545.279131178846,3570.1396847763476,3583.8296616423627,3581.49952928189,3561.0041229046096,3527.1345395698804,3495.443559786217,3488.0597672442655,3522.010504926178,3606.800259661958,3746.924517666971,3923.1566815864685,4088.82833214436,4200.162740033572,4244.202427644182,4212.324397668336,4093.69854153
7kg_10bpm,9CA,4083.18575403,4048.4002828955986,3994.634865108471,3932.936462610407,3910.90401223991,3979.898310594803,4064.5989294235665,4200.844974805033,4359.737907277987,4484.4261904217465,4549.8772385519205,4550.307249021554,4515.097792235125,4498.516234628276,4501.75490409125,4511.209707072944,4509.95118749323,4473.852280004454,4380.887275578273,4243.539022135756,4077.467143899529,3900.2428913923472,3723.212447155075,3554.3631517518393,3375.535440099648,3181.2724148698176,2970.4941619535966,2768.331870927129,2582.694757802158,2407.875109329247,2225.9377019685944,2033.6382060847075,1854.641405438084,1724.83833184135,1652.698157710904,1606.921536868225,1544.8654929266927,1440.16788391109,1302.3307214784086,1166.5431906221752,1076.6900436715412,1071.3652087742753,1163.1258573332507,1320.9820477009785,1491.9017569090279,1654.7675446807593,1809.294165810068,1944.5181960987193,2051.3387169751286,2127.421630706287,2182.006711359933,2238.586407626982,2309.7270267167123,2396.9682371396807,2493.8418573584277,2585.32907743574,2657.512958531561,2718.0818985580486,2788.7710777856787,2876.5621383759203,2972.182075931164,3069.05432940785,3159.793255976539,3238.8707758815735,3305.571674995676,3368.8842308552134,3464.738858748204,3600.9461853964845,3730.5201883789546,3786.647238491334,3736.5488736537563,3602.7465181479092,3441.6649892771925,3308.9436938817557,3240.7660161396566,3244.306706848909,3295.2334613564276,3350.6866569885597,3388.1411141794715,3417.1241769204357,3462.670404043472,3526.973175819048,3584.9765342288133,3612.4153255814326,3604.460485160931,3579.387181061393,3556.9317680219415,3542.304848856304,3534.866253316418,3540.78141022633,3566.5514313305416,3622.059527111401,3700.5137484013812,3781.64656294791,3861.5131475343687,3963.9690393384167,4110.058920929486,4267.704757886012,4357.242774044983,4292.683081170453,4046.50747683
7kg_10bpm,10CA,4560.12000102,4449.659979044096,4256.7790282317765,4056.1954857322917,3930.147246396579,3945.476505801548,4075.5174799431425,4254.397344721533,4397.132488374506,4463.223858664076,4442.506131115318,4365.483816128764,4281.302513254395,4248.932288026391,4283.633303310234,4351.660693291382,4392.909535330599,4363.663310161414,4265.242110361049,4108.298040983747,3930.273592403985,3757.3202381876854,3602.598868842872,3474.7903455991436,3374.01437475497,3290.8860633201607,3215.0904335245486,3134.355185344376,3022.623739375096,2860.658660729896,2653.7725050593863,2431.975173977148,2229.2390667373834,2065.085908485013,1942.744019450842,1849.2433228954255,1771.869122119923,1709.3869831145455,1656.8570817918944,1600.3690479577358,1523.4793091067818,1427.037619815091,1333.2341990381992,1273.304421235192,1274.952735392994,1345.2328246569564,1460.8516361271832,1590.163732267273,1710.1475052497326,1811.3066381166345,1895.0653795857634,1967.7421138944635,2039.2451643797503,2118.66107608715,2209.5581009032862,2302.410878768587,2389.8717386337707,2463.797589788046,2533.9665443530594,2609.7004648356433,2695.336349273725,2788.3864616581777,2891.5480019063343,2991.50533446846,3063.770595120158,3098.7507202758375,3108.0902533491235,3108.134871134629,3120.3610601384758,3164.3743134042875,3239.7088141755016,3338.1097180725756,3446.847017696079,3536.9133695379137,3580.291179127927,3573.4402909267646,3532.3577863541936,3477.2898724253987,3419.353969236022,3363.889266696532,3325.745606192027,3320.3626144291684,3341.062022207727,3372.5118694307416,3406.8449186144308,3443.6744878126415,3486.0324757692642,3536.359914304911,3584.8498092822792,3626.7855892134685,3653.304426806914,3661.631055372941,3655.8049790789573,3650.3824755346864,3667.0255068530514,3721.2859445226304,3818.485982766998,3938.9939421983063,4036.8060308494078,4060.186349369097,3966.70745877
7kg_10bpm,11CA,4234.13433055,4074.9135111735186,3942.996137524238,3875.6343465804507,3886.5437876900005,3979.227178605508,4121.762604004361,4261.311508531573,4368.57939606,4423.741041573872,4433.768667664099,4417.180523373734,4389.347605919999,4365.924681130421,4341.071911341463,4301.787102164782,4241.15822889,4167.746540766266,4091.5270365932934,4019.3041168818686,3954.3795572199997,3886.6166674057517,3806.347303411449,3717.2070036037085,3624.8047348199993,3535.8543883967177,3454.5134187878293,3381.548519392002,3314.6162989200006,3252.106219542878,3179.422064108911,3080.8296782498874,2949.72485594,2789.5904235764256,2610.447623970579,2430.7869726563567,2274.04786891,2151.1059317948166,2050.6726838281775,1966.0522912288563,1895.9853327400006,1835.442883135697,1775.5724401065977,1706.715437691751,1625.72387726,1544.7187798033099,1490.469757830129,1490.6080792815624,1546.9937009,1640.5220576035574,1744.1217484041185,1837.295624280459,1912.79312422,1974.841303230832,2031.4410778920521,2086.9570784026837,2140.92086124,2195.561341261422,2262.16008956536,2341.5801502575355,2437.2834249199996,2549.0785550006212,2670.6919312673085,2791.7000403279417,2901.58455221,2992.8617721854853,3064.409362907617,3121.120153761322,3172.7307015099996,3228.3697808790694,3291.6778558865262,3364.596925638308,3445.1674999700003,3525.037328440526,3590.401101128412,3631.4027053003806,3648.6555252099997,3651.381634876163,3653.2663608712005,3662.7206107442435,3681.00795029,3702.2729682512795,3715.4215761838973,3715.336631995452,3705.25203024,3693.276824170506,3690.259669356568,3702.290343378133,3731.96832639,3774.75779207806,3824.1221623977613,3866.432730091086,3885.3731340400004,3881.4378059256796,3873.2920722136137,3891.3919074086093,3954.45804778,4055.027935584776,4163.7824632632055,4238.557758256448,4240.8034789
7kg_10bpm,12CA,4415.0839321,4334.4539023709485,4242.805425725941,4160.784698755526,4118.930809109783,4133.197037726169,4202.056036082693,4304.414725037482,4435.719248004404,4567.763813032749,4673.5758392663665,4729.938833561822,4732.307217714487,4700.381831490721,4654.284388069707,4607.547635835259,4559.7928537328735,4509.203192766665,4453.008721111553,4387.284734396559,4308.062117488073,4213.4536652553525,4104.912449080237,3986.5771875201103,3870.2185660297264,3755.75441626,3640.755712490969,3527.276665230972,3417.9497292604988,3306.4728885055065,3184.5280763859896,3040.7437048021193,2866.830330388025,2666.431766872145,2454.4719711655093,2243.2146501382863,2050.0447513110703,1884.8473224627976,1741.5809120834451,1588.6638773750553,1422.6110436520007,1252.1170910534843,1098.3781092383554,964.0243890962169,856.4669871377937,777.9903011526043,727.2948807715418,694.0386723326244,670.8925729335746,667.7021468327068,696.6565074400002,768.3542665075198,876.338837887226,1001.4187347373427,1129.7865766779482,1266.4074242426761,1411.0339015512423,1558.0225484557513,1712.8154603381283,1892.731300759597,2098.6886427746426,2310.2863740511607,2509.3147618556286,2684.4843697015945,2831.632847798326,2958.7744710470424,3066.897436889714,3144.313612657819,3188.3099464743455,3199.458606984861,3191.342197760105,3181.9417696055316,3190.15981408947,3220.9950629720415,3274.0299913274357,3342.381102180001,3414.2405548963943,3484.9668001260006,3553.3310516175784,3621.75842435702,3684.814587621343,3733.3894257146762,3764.126445485427,3777.035535890118,3774.285802601415,3761.3055851653967,3750.420835300711,3748.746588750916,3759.3817727331543,3779.2772773251268,3808.9160409401757,3855.1012191121313,3918.627445934503,3999.4513313368734,4090.9984049425534,4189.850651133833,4292.522134482155,4387.171705826802,4461.004738174298,4487.98371538969,4439.94846496
