cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-33.1805743,-31.137178494288268,-30.011672127636555,-30.475156827386083,-32.56293644949678,-35.80866998337868,-39.486081027163415,-42.93959085567404,-45.837196549058504,-48.074256665771124,-49.529901806416895,-49.92259532590711,-49.1331965819623,-47.66155361862598,-45.53008730958514,-43.1757514648798,-40.6091995319802,-37.847876071954424,-34.8237282248297,-32.28334795641274,-30.9235683724626,-29.807827224517712,-28.037391648680387,-26.30632980526763,-24.362999951469263,-21.55506998423751,-17.83233405898378,-14.337680792645372,-11.495550085987988,-11.126971527310626,-10.629624207579095,-8.854419216100199,-7.307550968223319,-5.981617071444126,-5.261560568354382,-5.135133102903568,-5.400945874377571,-5.800156989602164,-6.050072051568582,-6.018428571702514,-5.799933831765161,-5.520783292921947,-5.5169585447278715,-5.9508831353506935,-6.604838147412277,-7.586601091056618,-8.858469659139487,-10.222404110001445,-10.719266298593732,-10.350403525399791,-9.77797034,-9.743982732056791,-9.975674813933793,-10.731735538358704,-11.043703789268573,-11.222481546225264,-11.597186922665491,-12.540786283286524,-14.016322347644449,-15.518583776896776,-16.593708746172894,-17.39348133092834,-17.97208957460578,-18.653610476612254,-19.9041386951656,-21.693418123773313,-23.605042486482528,-24.976415606483336,-26.05003513390475,-27.643387385948675,-30.24594329132909,-33.417510916891395,-35.75010943965034,-36.81001292627342,-36.832745433488455,-36.14718638083884,-35.15923806388133,-34.224608309946,-33.632097061818136,-33.12179228686007,-32.210942030640425,-30.797189838274388,-28.977227261270297,-27.093105747060594,-25.861434766927964,-25.97393416249292,-27.45564250803209,-29.602588637695995,-31.613424878731564,-32.99703979374271,-33.04546172663665,-32.3021020231677,-31.389829545387453,-30.982592160570317,-32.361778055231156,-35.50050604664537,-40.546702337372764,-45.24025441398766,-48.488428609263096,-23.19747958218885,-24.1276761
7kg_10bpm,2AB,13.76526154,9.002027876110981,2.9036589708142393,-3.1483658185173535,-7.850605015748077,-10.685244018193123,-11.710953148020163,-11.695174342447565,-11.333972324260225,-11.429628868088546,-12.279225971729808,-13.77136706619173,-15.53648236657176,-16.877095942639556,-17.37567920529332,-17.067020043485346,-16.223368224974422,-15.216386083121499,-14.232104713261311,-13.274429821673454,-12.451110977092986,-11.86324344987708,-11.453875766833484,-11.039383615126434,-10.50699549394819,-9.860817862846298,-9.137546674026341,-8.351997716972136,-7.428799073831682,-6.28352325429356,-4.912680578476561,-3.427317999706812,-1.8793665661513388,-0.3395772132063922,1.1868303146553152,2.18703117648724,2.5855756987788134,2.4793631311851025,2.024900550236744,1.4428761482866563,0.9531608395828899,0.6815607874557088,0.5551400120674725,0.4394285282382631,0.20973849803333128,0.02030330951341538,-0.06298612849489534,0.154852701372987,0.5839433696763654,0.9136468047494652,0.7319733676096565,-0.02826592448213818,-1.5307123054808343,-3.398398837611281,-5.231445269551496,-6.868283741292421,-8.342951453098602,-9.62119157801248,-10.702938054117418,-11.566564481891362,-12.0235538540152,-12.037900386639189,-11.803034881142663,-11.382273344895566,-10.979725876843526,-10.617017484665322,-10.247934804917092,-9.897954188628647,-9.725518793944717,-10.012271269434839,-10.958913555375558,-12.410821941286681,-13.989869388483898,-15.24045390272932,-15.916421805602678,-16.069893505382954,-15.89181901762721,-15.54335910958607,-15.120377404222543,-14.709413556438275,-14.492983751618185,-14.753890368900757,-15.740426771169703,-17.454100123231555,-19.533651464150257,-21.290420822536618,-21.912225205396396,-20.800438415618988,-17.904869346817534,-13.953189794211582,-10.08215153995981,-7.450011466033533,-6.853323787794342,-8.315254696966894,-7.5197516165629095,-11.15695740145006,-14.82198172876702,-17.76577531236992,-19.764885019837497,-20.644033631380097,-20.62771014
7kg_10bpm,3AB,7.60838551,4.331839154158728,-0.14120256823649052,-4.936752997448424,-9.204354977048437,-12.232655974667974,-13.864498857897402,-14.389447357726382,-14.36201270141218,-14.359483097686027,-14.657482517223048,-15.248776368115063,-15.849190142210826,-16.328205895581977,-16.74194598728012,-17.137980435458534,-17.17758505680832,-16.83629467707709,-16.285725603762437,-15.562982108820739,-14.700805039127776,-13.789807112818037,-12.923070799997378,-12.091122259205518,-11.214365904647973,-10.261525603200068,-9.23768766563324,-8.190464454315137,-7.068571124308477,-5.808663473029488,-4.512468838589178,-3.3384090829840947,-2.3106090281143903,-1.5023020119830286,-0.6570616682139109,0.24531110332229367,1.193095615283156,2.1498608674811526,3.045125498160153,3.7924447975918625,4.380612103684866,4.890385901856204,5.324099496750679,5.605315211032545,5.626520736795575,5.264899682434851,4.430695954206816,3.190501914687257,1.7782033983536154,0.5685665634108503,-0.09287501,-0.1929432927064971,-0.07633241174311242,0.0736032598583301,0.145030073197804,0.025239648873353844,-0.370596376495833,-1.109862112146576,-2.257983515901639,-3.9369654532987592,-5.982025229386539,-7.979386327128523,-9.479421142998715,-10.119744267409601,-9.86696523735234,-9.116401374889872,-8.35240529951875,-7.9696660186748804,-8.019886525121096,-8.349849705588777,-8.880950789422366,-9.72615444659466,-10.598519405145252,-11.40886684836973,-12.089350328394339,-12.696582407778093,-13.301383894776007,-13.973416526414034,-14.679168311971141,-15.572845888999229,-16.581784029847977,-17.980080610562755,-19.811947970467163,-22.101892457353273,-24.42285519845978,-26.259275790699466,-27.05509494703384,-26.427350418222296,-24.38542446463315,-21.397812591146852,-18.37248681531802,-16.350394084397447,-16.103715217540056,-17.84282099536271,-21.186273072370483,-25.30324774664241,-29.184912096629805,-32.03521621625135,-33.52695146840922,-33.39237191817409,-31.68753605
7kg_10bpm,4AB,0.140911,-0.03254695812109004,-0.8241555403586595,-2.1593729929708285,-3.9358929692721834,-6.006375193357411,-8.169899490333984,-10.23071926896021,-12.052196480935248,-13.749054632481386,-15.268538674022853,-16.575931965097325,-17.549245934447907,-18.050583882044087,-18.318485911211834,-18.560498299864822,-18.716009890556368,-18.445095321095206,-17.89136058148536,-16.94764134226753,-15.730938788037923,-14.414728063390589,-13.179170230552348,-12.066007505915433,-10.940299227604948,-9.691657093439797,-8.190404415661064,-6.345353587228505,-4.194881828344672,-1.8641126156628847,0.6101840512353142,2.7761536080883986,4.209677165430956,5.203596640106057,5.829554431853243,6.1464480665549335,6.221672084868057,6.216164387068217,6.2420263558250815,6.218897934130906,6.098386856310444,5.818027738762322,5.3352379547367095,4.677497535301134,3.8759553979396046,3.004125269316709,2.1290739630689313,1.2497408523090283,0.4069518631011046,-0.3953915397058885,-1.35498709319853,-2.6182562122363313,-3.9762823635059474,-4.978210029828037,-5.401164514653438,-5.485620551972927,-5.427763005808166,-5.6970352969805536,-6.190646334539301,-6.707405966400765,-7.255352228451003,-7.883859614297855,-8.607428803538012,-9.448327532850724,-10.438308501484322,-11.541588195768302,-12.706427620748732,-13.859580520437772,-14.80450640523674,-15.3038369674141,-15.13657039401826,-14.237818914683032,-12.852812953810727,-11.561181355185832,-11.03381705529944,-11.584883556155964,-12.973870364907587,-14.82902622781464,-16.749977683081493,-18.40978592214652,-19.683645091233796,-20.60020022096332,-21.27871699434761,-21.955299500402905,-22.824152162608932,-23.846769586251437,-24.653042592483636,-24.73363685058057,-23.832258860340552,-22.197742312373315,-20.24293046464793,-20.04734348349531,-11.906346558969897,-13.330720028630084,-14.773899998857921,-16.359421073029228,-17.603578957615447,-18.354030709373607,-18.725462073227337,-18.796918760242843,-18.53090337
7kg_10bpm,5AB,-1.28140627,-1.434657321168761,-1.7468186755394228,-2.151567885397754,-2.699143462951772,-3.58829637,-4.9493794948457674,-6.750903065914378,-8.812552255410743,-10.834080990544905,-12.43994266,-13.412334352500455,-13.695019147498874,-13.544789519457824,-13.323546555627612,-13.239414649999997,-13.43922825568526,-13.819546093622817,-14.239723986563797,-14.549421989613915,-14.411692240000004,-13.843363033886398,-13.041080347422678,-12.076164092188765,-10.966416112433773,-9.78920476,-8.664931666855342,-7.591160962989178,-6.486580286837982,-5.249929403362492,-3.863882570000008,-2.2460770596623516,-0.788457375402068,0.6509669185812801,1.7402771736950429,2.4755725900000005,2.944019242415818,3.3020339453758534,3.7333663748378743,4.327736086870417,5.03427554,5.739005198135352,6.288163858443516,6.552633070348607,6.56550995026062,6.4611722700000005,6.399782442674167,6.409099470274022,6.3287152869093735,6.026335850724271,5.4092876,4.563501126415369,3.7191005775000487,3.0546912981528638,2.5059577637979817,1.8186192699999997,0.714670947932497,-0.6300861825597224,-2.048379291530135,-3.3874018449677967,-4.813916259999983,-6.446942552800016,-8.240098115789278,-10.02330450566398,-11.461441183928983,-12.324666789999998,-12.578248040066836,-12.38547396067483,-11.986160720670139,-11.603318575316438,-11.460724249999998,-11.699969936116423,-12.322531331073305,-13.17224707509108,-14.033017499692797,-14.749646280000002,-15.284302675877532,-15.703013416836484,-16.034784325158146,-16.219462244857734,-16.15812085,-15.813403835411062,-15.293614442539985,-14.794074878439359,-14.472069316373469,-14.361110070000002,-14.375675138784684,-14.360770547961861,-14.091568354829969,-13.425267104826581,-12.559357219999999,-11.962675719500524,-12.088222365795906,-13.579145595683338,-16.054076465637554,-19.05521325,-22.122063839987035,-24.66111857707352,-26.088951382099964,-25.99705111399556,-24.24653734
7kg_10bpm,6AB,3.68675961,2.624821236478528,0.5561155707544756,-2.0121133564421068,-4.51274620298752,-6.54756886685786,-8.017996298681213,-9.0067309487948,-9.858779653189647,-10.849689393182473,-12.01358759676434,-13.189956060497657,-14.242780687654475,-15.14440212510131,-15.886339782680253,-16.436114088812285,-16.599005715776745,-16.474946991149114,-15.791812775992032,-14.835892159815602,-13.786538092196968,-12.728123487072006,-11.699824732087029,-10.622791761414614,-9.381082385698832,-7.959314746405355,-6.434183325587303,-4.902190715974732,-3.464353803435596,-2.099692909533106,-0.9562647733851705,-0.0545640044846539,0.6690518419675388,1.1403948746214487,1.4003627501226843,1.557827762297972,1.8259391824648936,2.3669954561612148,3.21441550553841,4.258007462306623,5.329371634391543,6.263362464427247,6.917088086863352,7.124450279245656,6.82310117796911,6.025367815016783,4.789707809932966,3.3499922138277523,1.9770981562457122,0.8438995117973656,0.006938660000000013,-0.5924226277768124,-1.1672515125564926,-1.9337395237405535,-2.9684916692896537,-4.179262553126959,-5.391693121387409,-6.5092913929430125,-7.476868587416356,-8.389949371898913,-9.301976086712125,-10.255858042867402,-11.255596846098848,-12.363790354338718,-13.625877789240587,-14.991421297465475,-16.30042798466559,-17.36379627694407,-18.011985699476384,-18.15864647434323,-17.912696026449396,-17.562736537918695,-17.403758122361914,-17.590579808185737,-18.160814584623413,-19.063775390813902,-20.14896365910077,-21.247509523300103,-22.19677688516126,-22.83704083517634,-23.062557989603018,-22.955076105764334,-22.557581819231583,-21.806040569248985,-21.02842626690607,-20.78011951345892,-21.112514222505357,-22.079639319414337,-23.651540490392804,-25.525520847983586,-27.10833901936782,-28.039279055924908,-28.25708160538593,-28.137478665963833,-27.862149369574926,-28.10406619976144,-28.718339331573944,-29.599204456171226,-30.56834684332775,-31.184518407899915,-30.99148822
7kg_10bpm,7AB,-2.81157326,-1.1380060491164876,-0.03443202161487147,0.2588219523118054,-0.48915680009550555,-2.300536604530773,-4.862129467756536,-7.75486338675932,-10.474550449223694,-12.608102467976787,-14.028596791611488,-14.886376750955623,-15.417904456414501,-15.849828883424392,-16.063974399664012,-16.054535763761038,-15.914885352901472,-15.473518195389769,-14.713274103603991,-13.84171823640382,-12.949591048600029,-12.022910390533433,-10.999232770188588,-9.950273390444345,-9.005238494073897,-8.190721078060276,-7.392826442046383,-6.400116102196363,-5.153356648354456,-3.6516212341850847,-1.8568033883213204,-0.042939540406643606,1.8523010684916417,3.3848460946634726,4.415317112856155,4.902876766394244,5.0077517192232595,4.937933961973271,4.891679848810062,4.933775062425823,4.939375059789114,4.679996168212011,3.9958560186386602,2.8415829002457267,1.3591065136112892,-0.2024785617992063,-1.4226877837137037,-2.1128092084975076,-2.292179128783641,-1.9820545103074871,-1.1334717586163485,0.18653443079301782,1.4372545909295216,2.0408682912764045,1.5315316219648392,-0.20387434592943335,-2.8750891011051083,-6.035645427609587,-9.194346262925414,-11.880310768229073,-13.787426557205743,-14.899818020591253,-15.434857384023454,-15.53388381745652,-15.361398113243803,-15.255516437040606,-15.52847191891394,-16.257062729534734,-17.28243883492519,-18.37348976992727,-19.312969859415045,-19.96602653158177,-20.352105748518046,-20.57679073868267,-20.72587965982063,-20.741612454706033,-20.571444777227057,-20.176510235526848,-19.55543069730328,-18.817930560332805,-18.368909801294507,-18.45919795613763,-19.363554629798976,-21.115367937335186,-23.47969604920512,-25.94984676472288,-27.862556003718268,-28.757528233078403,-28.503230365485898,-27.245043290567033,-25.435118116870093,-23.74192960001324,-22.721651202893124,-22.569562213004225,-23.231357542746487,-24.466752044883503,-25.876475851674055,-27.008529308237065,-27.396510563063824,-26.757184153099324,-25.05644201
7kg_10bpm,8AB,2.15341844,-0.19014913989488036,-3.0364988819819945,-5.704987051006884,-7.893664007788525,-9.359718365685508,-10.295170966470614,-10.893576388095335,-11.316813401924447,-11.71975829572305,-12.264704634938024,-13.031440640466764,-13.836921039154346,-14.449092167682798,-14.819334199704707,-14.926822967185368,-14.874678067056283,-14.769172532841903,-14.493806501190718,-13.989726217115766,-13.373754536424968,-12.683777542624679,-11.920523853413576,-11.09709102593212,-10.317558090967832,-9.637269349971415,-8.83151730076878,-7.676749083371317,-6.133022685398566,-4.331351259605714,-2.468889219477025,-0.8586488563725099,0.6917800283486618,1.9241428843837955,2.734313482610502,3.22074872955206,3.4962570961099013,3.6692065379719274,3.813381487309137,3.9466586202679084,4.079393620576904,4.202652557928692,4.266105999629771,4.183710477775203,3.944314202215499,3.6347979007124787,3.3779819008076193,3.262627828632799,3.2511407077821395,3.0899911923842627,2.48120984,1.2649537631875796,-0.3291431617148045,-2.021348588729573,-3.4810680868379946,-4.698241317261548,-5.935275853314405,-7.450666683915164,-9.328462780327731,-11.255957849819682,-12.994026936853478,-14.329733706196784,-15.239038399836357,-15.823961699793397,-16.1302925696523,-16.179074776447337,-16.056101213912115,-15.9414564484119,-15.933409246676954,-16.068556878708353,-16.124641676759094,-16.015772110374737,-15.931317623164292,-16.05308703055133,-16.477272167938715,-17.27317291850029,-18.339684228112823,-19.43197836070419,-20.338140004201275,-20.951649762047758,-21.292403593538666,-21.4868184323302,-21.68639389853442,-22.047690124789113,-22.731216723839232,-23.790212700170343,-25.07213236412018,-26.41582170621846,-27.473508537876707,-27.961957526438155,-27.747097559518508,-26.938071686660198,-25.902697849347454,-25.109314986682246,-24.834926374996307,-25.15332521668259,-26.02805444824933,-27.857967931062543,-30.033746834233256,-31.815569563070955,-32.4747423
7kg_10bpm,10AB,3.34072557,4.134755424624637,4.323273002639664,3.8195723293708674,2.576042977761061,0.4685703309149816,-2.704848428214165,-6.624380807785191,-10.329986387235499,-12.822200811692996,-13.680005161457972,-13.18123609668615,-12.025045030917774,-10.849766998214346,-9.935437175924516,-9.56432978209639,-9.78893919168669,-10.286002625934707,-10.655002543076145,-10.64335834035273,-10.407838205608797,-9.82434438135129,-8.811881258211027,-7.397413281436459,-5.695734783288507,-3.9819054756619154,-2.791945816574323,-2.256077941627544,-2.0641784258497764,-1.9062576825319901,-1.7683861751304673,-1.5086342458127497,-0.8073178238638049,0.18384701342311222,0.8950801799247282,1.1961484330601406,1.1262533182490078,0.8032260162119854,0.46872609676156357,0.31086334411247046,0.41834791794049164,0.7480780538026813,1.0267420880442462,1.0575083885875431,0.7364538562596464,-0.07062980262056381,-1.3026425852697219,-2.6104525471707265,-3.4938587373289107,-3.9913881268390803,-4.35727143,-5.034035340534691,-6.51015022134855,-8.534659224462535,-10.390307760582553,-11.699679209465744,-12.691567033170074,-13.74872799295761,-15.219959641184515,-17.159144906522137,-19.408423423439068,-21.66434774754696,-23.964134083257743,-26.383827115255546,-28.8146308008651,-30.68026735183857,-31.72221057931318,-31.523145338998255,-30.446654336330187,-29.08594551762024,-28.326704190270565,-28.886645958226797,-30.516235920122096,-31.92297068477597,-31.612583905488187,-29.47671369735924,-26.785909276770692,-24.23682093860203,-21.935390890586362,-20.461135593763487,-20.50956877109646,-22.37845693009341,-24.8761872114218,-27.034132768377532,-28.368314449478238,-28.99596993786539,-29.66064246564791,-31.030849177253668,-32.94214843422906,-34.66764091054427,-35.47880145013648,-35.076409218378856,-33.7711162577362,-32.330820202481675,-31.58987548305457,-31.7785906018761,-32.32832945247084,-32.37878871993371,-31.153822645000027,-28.430937180187566,-12.18179689
7kg_10bpm,11AB,2.34539512,1.6784783029451809,-0.2138766688977064,-2.496341736926673,-4.244023846567058,-4.9456549719941485,-4.83700819359704,-4.9372174643398825,-6.1484502024417464,-8.576148803286507,-11.537728184280697,-14.002692055209176,-15.252917351246115,-15.235554391222967,-14.383023023927898,-13.346946405938201,-12.330165744716252,-11.162045115796516,-10.112086060532297,-9.350526087846472,-8.98417915,-8.870890191027359,-8.775754458494587,-8.452694324108336,-7.722283350460323,-6.592638212701425,-5.368571487041002,-4.302985488646953,-3.4251166693870756,-2.757798461810967,-2.227092205920327,-1.7594834626586593,-1.2964963718052662,-0.6267867747318794,-0.08604492814514143,0.2687200417633169,0.49881230011870265,0.6699949910920052,0.7896489841332303,0.8833393631113605,0.8960539499999999,0.7687610079702718,0.5624969400453671,0.20545059043385733,-0.16641923789557128,-0.4623479593521939,-0.7273970916457055,-0.746448354453477,-0.657084476382119,-1.2209499504599042,-2.882984423406225,-5.372173177176848,-7.982372269320583,-10.168973045604796,-11.691785099999935,-12.580734897018466,-13.340295043868108,-14.642975379953425,-16.547109463195373,-18.53612496492541,-19.90287481,-20.54004288922655,-21.160918370752643,-22.08925123666751,-22.709457527380277,-22.347855918149158,-21.25179266438483,-20.982671726573642,-22.128667634734033,-24.101845309299097,-25.627965992477986,-25.81563456425825,-24.837130280530825,-23.447848354791564,-22.045190401419706,-20.79437713429103,-19.985376648292387,-19.76433728906979,-19.81903888460394,-19.695025475509315,-18.92266329,-17.624729250379996,-16.69464334103113,-17.006384319406745,-18.93600054680951,-22.318504211254066,-26.265106349955975,-29.451915926903332,-31.119714560074968,-30.748331138774958,-28.724563520085088,-25.930087056131644,-23.52545951279993,-22.54418674586593,-23.299635174359445,-25.083111455240214,-26.73719640932046,-27.28789116994163,-26.422425501841037,-24.562324311465392,-22.7408597
