cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,-35.42868502,-34.89803916940124,-31.739895995025552,-26.549925534137316,-20.633829540434146,-15.152001790000002,-11.003728650844117,-8.588474388043547,-7.774327423558855,-8.041229364573722,-8.75452363,-9.4797967864613,-9.918614036425073,-9.981489032499322,-9.557583614697958,-8.54532507,-6.864561430928424,-4.5079466614178365,-1.5974354027857605,1.5686279688019358,4.51646897,6.729367943457505,7.935087989121731,8.128711520100472,7.600370304392145,6.73732268,5.918738961337533,5.414948386985358,5.293978000699664,5.5172725765415915,6.059971499999995,6.827606815731889,7.60401138259006,8.15858885325708,8.270315078900577,7.814156690000001,6.8108671039529005,5.4566117427183,4.009818393538608,2.718461016133297,1.52028522,0.47353280815953464,-0.3309699760391507,-0.8096561117547677,-0.9482998629137956,-0.88974412,-0.8487491627902186,-0.9447741365835968,-1.091592113706523,-1.2629198126391612,-1.37003457,-1.378570665970186,-1.1994157850232077,-0.7275198941774437,0.05932055155992279,1.06796332,2.1738526110732077,3.2712791780937573,4.282905122389547,5.168866286218855,5.900671259999993,6.535400730901475,7.171751868458014,7.860520621697678,8.513787556650733,9.01975834,9.226117992252343,9.06977750822788,8.653541686919931,8.142516613805636,7.772265439999998,7.709168462128794,7.972719851986459,8.476687260705754,9.034405048773623,9.569105390000002,9.951557458988786,10.298154554214236,10.53821070713774,10.81738449214471,11.08142081,11.201589087193417,11.26685337169002,11.314251033503417,11.519604778483137,12.094917029999992,13.195915933468372,14.874541502061128,17.007527696121887,19.308131947314415,21.31560656,22.522864299473067,22.516564850719437,21.34049782426102,19.53358445622905,18.07653749,17.92278830811324,19.55420017687549,23.286751013026663,18.913905431125922,20.93094706
7kg_10bpm,2BC,-28.74652224,-25.725619552879422,-22.351314960745196,-18.964848995330478,-15.737235317195823,-12.815224666270142,-10.31061344727834,-8.236518434204836,-6.522650089596298,-5.080296214399945,-3.7585353062729734,-2.4377811479072364,-1.0528916689091417,0.38525731966936094,1.762172804655647,2.895743979874257,3.7726093117726447,4.582952074155052,5.488023692712822,6.582946259732798,7.8521911499999995,9.211194980399819,10.406030720210877,11.21652002674903,11.51805303697619,11.412041292342181,10.964608411891803,10.185003734147015,9.239419543811906,8.38004660534966,7.724276493326965,7.229606582719029,6.731537072869302,6.060590423208315,5.222160195912749,4.333004795346801,3.489146713494241,2.75272121097895,2.1553958649689924,1.7138045437793576,1.3883245599999998,1.0787312713235577,0.6883593338991435,0.18605594387095298,-0.4345179894057266,-1.1501532043422622,-1.9342997574013467,-2.778336518629701,-3.640271476801294,-4.435243232200185,-5.044015655155874,-5.2603105087205435,-5.0087465976753,-4.351826855859969,-3.348673260760255,-2.137863812718407,-0.9169700440703645,0.2159896434068485,1.2866857351367504,2.3690392890029575,3.47316957,4.581088856893108,5.688227349379287,6.779233706227978,7.823133185850974,8.78015773320052,9.656220938930979,10.462281348451093,11.189958499528094,11.825417207404398,12.304230729950449,12.595969771106464,12.7303779074602,12.82577976827596,13.030121101462067,13.493667268824678,14.323167719704234,15.427431155464935,16.67666999833874,17.91428243099888,18.91001887,19.640576504872655,20.11244576560933,20.48840283549473,20.87811499883266,21.36718026075191,22.01571198278345,22.588984274818575,22.998936144835525,23.34740651992596,23.585428662074335,23.714640043409382,23.818372044282,23.905027012777097,24.000788371763537,24.21340733604551,24.55083648070302,24.98797404915067,25.486516945834214,24.306914860032798,23.27417656
7kg_10bpm,3BC,-30.69713011,-28.71121809684563,-26.029258161410226,-22.841119697738044,-19.276263299814083,-15.48448562098827,-11.891767983710892,-8.808637244346611,-6.427220570288737,-4.749493808487733,-3.6000463943047265,-2.700786741260789,-1.784319695713697,-0.6524985995767261,0.7986007579554844,2.543995606108853,4.471285611640072,6.4306037542305186,8.381307973558094,10.201688006453299,11.785502627006776,13.065629489103692,14.018455245962347,14.5971899559127,14.712118381299511,14.314962883967416,13.474240086987418,12.40957927397568,11.332855011668508,10.45330986027951,9.829424914942207,9.389208939466561,8.923374652820913,8.266735865335917,7.44020710780829,6.417568548819157,5.194472208427921,3.812015294321518,2.3209387263119665,0.7714499969806456,-0.7539505843842966,-2.1843937222908796,-3.461392607986097,-4.472640635909694,-5.116542242129955,-5.396693056964122,-5.495074191097187,-5.54599653957349,-5.657614789220288,-5.82681513420449,-6.027567558450083,-6.226397731778406,-6.369561415735112,-6.337413190822175,-5.983339246426301,-5.155888764424107,-3.830994842333951,-2.0664037405019524,-0.018432336301274683,2.0780695073180233,4.020241133548365,5.62237506845341,6.775334029559996,7.504321874217232,7.909440176491519,8.147574155183964,8.435869834721021,9.006302255987036,9.947541521621352,11.18255090694167,12.521974669976483,13.7830489328953,14.732142408962112,15.245934520028879,15.26752707146943,14.842969095670819,14.134781047525639,13.417052897736943,12.944541509032057,12.888754231149191,13.403373944897924,14.415223077773856,15.813827338151677,17.485512560196412,19.166138221928232,20.553767800028925,21.415693420068987,21.65834952935654,21.373000138445768,20.81537731418447,20.425019293833344,20.607151264259883,21.673582372557117,23.733250244578564,26.49090922853325,29.36804146201532,31.610686995850834,27.70131128601232,23.856342825060008,23.710759610895867,23.13046397
7kg_10bpm,4BC,-39.21419602,-34.56767502246267,-28.199026705901723,-21.310158128916818,-14.410365200135969,-8.484952864981643,-4.1953808253840945,-1.8436355929509165,-1.278386744565422,-1.8860506945080107,-2.8646497510430695,-3.4463266322086574,-3.125053547430332,-1.7359724348191952,0.49635058727512543,3.120374581820784,5.678639108848164,7.856990607920822,9.495298179149984,10.559102126492846,11.148477589767825,11.27269587367492,11.021514485659274,10.458340744107737,9.700850144207402,8.93779607604645,8.306913254724321,7.87787882775451,7.565221287606343,7.103843961642792,6.516785766787473,5.719024949143218,4.902336500929786,4.193102282267731,3.5283735282421658,2.9030798771648763,2.2579232125944615,1.5017548510624812,0.5998425252732024,-0.4492756450857793,-1.6339622920866634,-2.8934697467366806,-4.0944567742882025,-5.154447544800318,-5.955331725464497,-6.629574521316868,-7.304983605239626,-8.034964233273744,-8.815893366974755,-9.665220239306146,-10.336435710680687,-10.842168860021165,-11.141512903759528,-11.214214669132996,-11.009414121393363,-10.379156971689834,-9.286817737779769,-7.797298795910686,-5.9099153580798856,-3.667011083768064,-1.0885666910054153,1.7093797604628018,4.585428058476854,7.366642398635365,9.87155313888717,11.941674175733212,13.451128931620056,14.356384129506445,14.708147127467956,14.656305134451975,14.412134654184708,14.167755552561962,14.116483781593338,14.318169580293379,14.81776421493143,15.575221465361611,16.534791930217562,17.629643316879097,18.54162811235157,19.343302930999542,20.034900223130297,20.697926526762753,21.42254576433508,22.24650928003812,23.16318612871288,24.042921880526745,24.700442793553304,24.964152805110103,24.747498423341383,24.07870195981387,23.128738700717463,22.207522858062468,21.690293418504492,21.870135168678,23.050173395101595,25.109068140786142,27.716451362701246,30.00105692541519,31.838511665347998,23.939918854796762,24.23183393
7kg_10bpm,5BC,-29.57747763,-28.780892378533743,-26.428759777637943,-22.9555122775821,-18.709921792658097,-14.340651363592825,-10.38511466689293,-7.295672326341973,-5.240199157418758,-4.118279030507181,-3.637763824267611,-3.4607575612174846,-3.265663757125917,-2.8450032167084855,-2.147655570915613,-1.204614023291812,-0.042694035783566536,1.3357816283098676,2.9112837780192953,4.601263034840871,6.297547799260146,7.758631225400935,8.741372712544445,9.04731769031867,8.780271523054452,8.08700621515722,7.36010313261189,6.758510706001804,6.379775894943288,6.080860128943775,5.621264935716034,4.885408467741497,4.010148176452127,2.9500507602836095,1.7460054000265337,0.6536594246556808,-0.23373892248733635,-0.9225499790503647,-1.495665909813398,-2.0385386863353268,-2.5288128574622273,-2.938319931737124,-3.3165793917695403,-3.7198849302453376,-4.167064553657476,-4.642876577914754,-5.209137068376892,-5.853365990268182,-6.468018560358346,-6.997119466300072,-7.395820175983254,-7.546271806651683,-7.313998968287226,-6.62916794317291,-5.515568506242096,-4.1032973370343235,-2.6354632999181744,-1.375027200723808,-0.4571694112570577,0.16067112837940667,0.6088931196862946,1.0524945716803873,1.6547485191648754,2.4754493556480535,3.40901036337399,4.28402235574191,4.965460530313495,5.419524393310866,5.719858638490047,6.018082404726857,6.419744947790372,7.0048600525237426,7.768754928559667,8.58859743829745,9.446005474972866,10.389142299007288,11.437619113067749,12.561177155892908,13.651591924650052,14.565332238794694,15.217214554596055,15.584730906928549,15.772528511872604,15.954904328123082,16.356511673351378,17.105033806266132,18.23579108268195,19.699114533838912,21.35698124775388,22.78494813667112,23.83738318292068,24.245376273840233,23.92312042894714,23.002457140849874,21.691497105454893,21.816163327607594,21.31533497892046,20.383446630071965,19.204392771098632,17.997060380919116,16.96396466
7kg_10bpm,6BC,-46.81291683,-44.12175677305813,-35.76548604482463,-25.819849735997256,-16.466233181820833,-8.609613924675516,-3.254805778553718,-0.6927701820395905,-0.5390699037244759,-1.9165332323231596,-3.7548011257104026,-5.133247251280762,-5.556409267522022,-4.992011895582205,-3.704768845113419,-2.066762721779477,-0.425431175269061,1.0376850406604763,2.310830035294786,3.4715829384223147,4.6213306991142895,5.779329719504088,6.750202232627559,7.289131928286795,7.212113570731231,6.54046844,5.465361600364835,4.299539139676513,3.218352057858293,2.207638307111432,1.44902493228907,0.9687469104473654,0.7459628843853783,0.5391455841125368,0.1801177879738041,-0.32763744391435506,-0.857076191177409,-1.3028860611003288,-1.6301160360105587,-1.9499999796729504,-2.3404384579128292,-2.8475057476476535,-3.440247422254929,-4.121169845088184,-4.967041934145616,-5.98676677749389,-7.059088169030112,-8.012757248047093,-8.685314113276233,-8.941028045903673,-8.668834110000002,-7.902939334253186,-6.820365498265454,-5.707032675658577,-4.791520734123191,-4.189464092289432,-3.8930213392499153,-3.787801050403552,-3.657311649595336,-3.2484307935298156,-2.3668696832898832,-1.0520101115682923,0.7669726079928421,2.6174565898446063,4.43428631348714,5.953297494626432,7.079862144894947,7.7564199413323,8.169691156766126,8.516059143102034,9.001852811152295,9.743726026441626,10.740607297055814,11.945716821741549,13.271769778973288,14.57988925,15.681947178447766,16.42075699388578,16.727802740398268,16.643082191545354,16.313813915508952,15.998454780319447,15.997846114260355,16.510893659883806,17.53958247773131,18.895152845794108,20.259867471594916,21.319021479204473,21.879085338470873,21.931922883821162,21.61435408466702,21.160889983840644,20.85344501465615,20.879218659469238,21.271681923142708,22.019837963908103,22.895868218626955,22.440501215542362,18.557338651505216,18.60675841318131,18.1684531
7kg_10bpm,7BC,-35.65354102,-32.696785041456025,-27.748259994003515,-21.76545687127221,-15.672148026145035,-10.339780801213685,-6.41944122933077,-4.122380562588864,-3.200357189008217,-3.101514954876415,-3.219771093738884,-3.0772690262197124,-2.4480799294097975,-1.34044697730388,0.08460031962491038,1.615787962117191,3.0667366722167526,4.257799902022657,5.083714191600326,5.454259138818642,5.355112360000001,4.90852402790495,4.30461185201662,3.853324892366599,3.765511527757872,3.793278836468049,3.7330891304491756,3.3804741897099246,2.5789439458020627,1.422513990160973,0.24206951866422652,-0.7590238982171932,-1.7332684663592388,-2.616557634620302,-3.321820845302804,-3.7952076177400302,-4.090203521796195,-4.2488640706265315,-4.316404750640923,-4.25675289815611,-3.98309873,-3.505070269927209,-2.899860307393553,-2.3297471918586594,-1.9119342722302437,-1.5401070609096126,-0.9663310200149466,-0.06810473427174263,1.0602151950834187,2.156429196818231,2.9044844854232617,3.022523074288773,2.7840355565944384,2.228974156136043,1.759995538940631,1.716949181435656,2.1977030654938616,3.159267868691453,4.486040485617819,6.06662738141862,7.65921971,8.86985819281269,9.340268330420027,8.960783803306642,7.958803342213281,6.843487137830314,6.1848027129116065,6.453960889699142,7.559934495210642,9.238812835581978,11.141197912502925,12.892929690328021,14.322712507218718,15.415170846556364,16.2853619421217,16.969028130427393,17.504200482645466,17.91196187469099,18.231474877182148,18.510607930455993,18.79014125,19.11840657821089,19.49772736665502,19.891584154003993,20.286463979178638,20.590062061110057,20.79337772643685,20.849014466495607,20.752707098582224,20.499054627602092,20.089802163625915,19.633001083313847,19.202543486976573,18.087029088450482,16.07545756254454,14.937251442685833,14.098398372782489,13.896058942134513,14.678468689584815,16.266306056316164,17.91200477
7kg_10bpm,8BC,-24.09455905,-25.664740816033934,-25.21482583575491,-22.64533884585432,-18.248439191270048,-13.08950920094734,-8.25952130979715,-4.678056767901408,-2.7308046827132535,-2.195331662065703,-2.5346664237761978,-3.138599315725741,-3.5056894455289505,-3.3390678521881565,-2.579996086270176,-1.3544998439897622,0.16324247764299546,1.7469449396466055,3.280690774533571,4.6576066227011745,5.8540888733601575,6.635954107330393,6.894085083712471,6.5953000433512585,5.839968640412801,4.866382690510668,3.9150403253926433,3.0709680017943533,2.3238788685492864,1.6267606691492842,0.8333815546017687,-0.06507905193020888,-1.0153380052395518,-1.9921168082022258,-2.9991955857588,-3.9634002728120628,-4.792272475767366,-5.4374522757412596,-5.9133639280478985,-6.370646302561018,-6.930036676746871,-7.412433454242135,-7.539125432216018,-7.3016187862007,-6.843331069542557,-6.248098732346489,-5.5350991120882655,-4.729891328088978,-3.892120632749321,-3.068935553204055,-2.300449535541472,-1.700299774147779,-1.4465427076005033,-1.4986011952964067,-1.7231477563684183,-1.9735647483507597,-2.1016425957070535,-1.9796808519392288,-1.480795128463443,-0.47499091268293725,0.9742933511569937,2.6337377764967456,4.146264593032622,5.164004999607508,5.575796229413418,5.522768897874717,5.39161292285982,5.655656713863453,6.624262098356283,8.303765399120211,10.222730617975763,11.914037760579234,13.176524040545987,13.905984649341326,14.19129646188934,14.294634441799566,14.269002459858367,14.208628942250048,14.111684317624444,14.016510228153878,13.970197826316708,13.98169378479195,14.172670185600367,14.613498414076455,15.418168030191437,16.583650647346285,18.01802218702437,19.455430615521486,20.577965870000728,21.041739473890008,20.699457847812045,19.57402370890959,17.874322508974043,15.979210911685987,14.416504170262012,13.794883207062837,14.697422351172666,17.44538201694041,21.621650600956524,26.321893421397057,21.10917779
7kg_10bpm,9BC,-22.97259259,-21.009011763601457,-18.075098020929,-14.666504258499687,-11.338922932623607,-8.7216212,-6.999384946522816,-6.028927138903084,-5.471242692670744,-4.88158227066055,-4.021147480000001,-2.9068821108365386,-1.6136131018889535,-0.18452086039537635,1.3611836883796598,2.9264984300000005,4.245989052506611,4.9949924012578535,5.018406062811783,4.501998937377748,3.9055193700000004,3.7154297890339234,4.129299939759164,4.951359020761222,5.797359963024802,6.41954825,6.623556057458696,6.391636953210464,5.741433886386263,4.702240766716275,3.38869001,1.9957278552140665,0.6805194920954413,-0.4857925331152546,-1.4150205433773326,-2.12510234,-2.7608122429266526,-3.593444728106118,-4.7978424266260795,-6.261540781769426,-7.69704519,-8.747289190861865,-9.012849740765441,-8.254134205638417,-6.754001804353491,-5.16488558,-4.024521097546578,-3.5585198531758198,-3.691102690751757,-4.108772115875946,-4.38671616,-4.182682345675969,-3.4677488924740563,-2.4679178354110975,-1.470258147589071,-0.70019775,-0.28960670428457785,-0.2074064414309801,-0.23763151775436964,-0.15847840088243936,0.18857964,0.8972168822199084,1.958313199214981,3.2161338666186694,4.487176887983053,5.59043182,6.450226744124285,7.0214836522166255,7.404477477258485,7.649738546698267,7.9068217,8.344235460964253,9.134230046116183,10.327129671890829,11.738178092336288,13.186016389999999,14.496162288783426,15.548940439671288,16.264563201636417,16.641964347222107,16.74797864,16.78541148883143,16.912522893308267,17.178026447388607,17.617136023055536,18.23168897,18.931670343593133,19.42427491464047,19.57290186180202,19.364587048404797,18.961514820000005,18.59156820812589,18.481549883558706,18.683956774934853,19.052020157749133,19.44371347,19.563688409608783,19.44834713134383,19.143437653392194,18.98095302477949,18.74368114
7kg_10bpm,10BC,-29.03254339,-26.46029181603757,-22.11614263088801,-16.665075222161978,-11.219247469653453,-6.693332101327139,-3.8483739285028435,-2.834442701797381,-3.277488829200058,-4.420011084523549,-5.463807092636687,-5.808145275292046,-5.212868935768795,-3.869421546521444,-2.2073226437647073,-0.6448874611135712,0.5941824145710624,1.530197990643083,2.3254630502856637,3.139129709404431,3.9972297355842334,4.8216841054530315,5.505391956800768,5.926361669154838,5.9005760440189094,5.570732136862841,5.007594156723548,4.334028549621814,3.564763791525686,2.596654344824682,1.3688422588045035,0.041378965143517715,-1.1173799934825734,-1.9369541012853908,-2.427178702572635,-2.7660966602866077,-3.179515562606186,-3.749106352044607,-4.429896298539138,-5.1297123803975,-5.828243777642655,-6.584686681467741,-7.363111049810213,-7.991343637617579,-8.433897590527792,-8.701862255077712,-8.882639287991491,-9.01671280843703,-9.091657722138226,-8.949791545918725,-8.42237274901158,-7.486898318368326,-6.195886378500777,-4.8666653537577025,-3.7657769573795754,-3.031274061873347,-2.717666060279596,-2.818381473492793,-3.205011036363056,-3.5666823881757876,-3.6589324049124152,-3.3586300480352596,-2.7270645875478854,-1.9833645858399898,-1.301651480303434,-0.7555119034040488,-0.2482997438763141,0.35698332385685155,1.1935079090900418,2.231617961286329,3.348234008343777,4.461236550753114,5.508968245928752,6.661338535930177,8.04213522361882,9.600870679855472,11.1179951212674,12.360727103659109,13.121785792828614,13.318193214463493,13.128003918276754,12.851204578144026,12.728093802604752,12.956897293774844,13.690336428060395,14.876134695222065,16.319827579592165,17.658163826439495,18.583657017773906,18.978423208096615,18.900083658107256,18.498197531959885,18.13009514756076,17.95247643705637,18.067683305839502,18.339396411032027,18.3057607449843,17.743871039495815,16.830059597158055,11.778889526088188,11.04739144
