cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,37.39776475,36.455976953233616,36.48446326447126,37.25548324684027,37.72667034480304,37.33841556000001,37.319782651392835,37.607329514020755,37.91850059482772,38.07231175129092,37.853703360000004,37.21373603816376,36.186778405013385,34.85564119903552,33.315838534846385,31.66142974999999,30.139456137815806,28.766325591780465,27.581721126496888,26.549590289852304,25.590119810000004,24.710782163293768,23.995628653807103,23.4437006352724,23.068239354268268,22.863235180000004,22.79934317552111,22.810501377510846,22.827841883005934,22.806650011418103,22.742659449999994,22.653304595816874,22.585726302353002,22.608572267929063,22.779372885925536,23.07928422,23.484253150323426,23.891733360973774,24.197818002599707,24.39608175943889,24.48411739,24.52901819000201,24.5610663872148,24.58559380703742,24.595171645550515,24.62747171,24.74406406855857,24.9689115888566,25.268710888242932,25.586790028078966,25.845114469999995,26.024721030184125,26.128732197286524,26.184309505164467,26.225070882059008,26.33331972,26.49917525286266,26.743845676665686,26.98876312590376,27.213937155446015,27.33009357,27.381590196818223,27.361677927159633,27.279130721154413,27.231350896527893,27.20122146,27.27966137703887,27.489911082117217,27.811469439947604,28.203607238081904,28.6155054,29.01993650830222,29.41149385055898,29.78561119987152,30.12780555501825,30.43243458,30.677349441366882,30.817154576152994,30.863057862819378,30.85511324324783,30.863986339999997,30.931504102535875,31.03365358328491,31.194127559373456,31.44663717329319,31.817183609999997,32.325598974030456,32.97393576566761,33.814330338701424,34.89632529034184,36.12731348,37.328927617672285,38.271978915106104,38.874041570662065,39.43964089453641,39.87870032,40.229485865768325,40.52248096508598,40.927993623294896,32.76615592162998,33.96068405
7kg_10bpm,2BC,38.83386957,39.32880354172289,39.364049174291644,39.0086871232632,38.925821532396654,39.055283774885424,39.38220641635239,39.74889806692971,40.06556601661553,40.20502318693353,39.987587458974765,39.29920937254376,38.12561391105865,36.571349182949916,34.75545989760736,32.85799847257925,31.04821814262986,29.420812031666948,28.065108397615006,26.972885566792943,26.169559439999997,25.643829698147506,25.285930701678872,25.080878398382744,24.91063047126246,24.73617836104082,24.446108687745635,24.071107233701103,23.666423136812053,23.210795561639042,22.753639399885312,22.349338461993604,22.054241435532564,21.913476004092246,21.88688434442429,21.89893288720519,21.892282266176114,21.825940150720093,21.68967064201133,21.46489749288722,21.16193675,20.819522892708935,20.50074613697272,20.243389228993177,20.113791537867247,20.14725487241361,20.350892041698483,20.706818698670585,21.159379303681696,21.6491773873296,22.137786815634737,22.57588135301468,23.010713708288502,23.534156631244052,24.171043107590485,24.88605660522726,25.592202074078656,26.1684189998545,26.511371563111474,26.69426332099735,26.77226935,26.855410133069114,27.036510202629778,27.439735914019995,28.075483079264504,28.920283102395263,29.882709690452714,30.774007000029687,31.511470098573426,32.06304977782985,32.42980683402966,32.648604643170714,32.74040644867635,32.73857027100066,32.728547510036556,32.76067178343529,32.92511052097244,33.245037226604005,33.701079891305135,34.24301353602951,34.80608276,35.343757587401846,35.86017776338307,36.33694781717504,36.82157289517258,37.30110332440538,37.79460361117781,38.21074809046222,38.51324743126058,38.68045221815776,38.57440354863272,38.25597779622898,37.78679533911822,37.23591016045689,36.72674551569835,36.20534148279363,35.89817593867063,36.07272042751615,36.7184800885829,36.69737213914959,37.18760592
7kg_10bpm,3BC,37.99991803,38.050245903296265,38.362798460212574,38.82709687763106,38.75715448774099,38.20068104678847,37.803305387041306,37.61391884322268,37.471864003356,37.24839274577652,36.86310610446355,36.19684337400368,35.20664658419674,33.85913283423789,32.26041824656475,30.582314106380352,28.942378968032276,27.415309801253464,26.15231104440148,25.14825450168558,24.360259921430682,23.782738846670096,23.307087632408642,22.876479440235713,22.408036852406134,21.91964627616874,21.40354809758366,20.981868817851232,20.606712377621427,20.32231811569967,20.180896478571466,20.14384439242339,20.176824568449103,20.249513202949945,20.28494710548675,20.254914694506688,20.185667539491817,20.131649199494284,20.119820299888854,20.159363687193803,20.21714182566453,20.308796937841652,20.399535043721446,20.505366536504628,20.637398120179473,20.824456734039796,21.11305055035799,21.517289701957928,21.969079484948033,22.400831309740177,22.784237590225402,23.14832941965081,23.544626563292635,24.01077298289951,24.534457446513564,25.128486387073536,25.757452636855938,26.378594615713745,26.969023033817283,27.48816044443786,27.98527543330526,28.468265478562948,28.93359894353639,29.39392655824573,29.807152011609045,30.12940454475362,30.328889957191095,30.465133789136218,30.619062328983212,30.812311986971487,31.096438000316883,31.458890667817034,31.85753991907732,32.23849523063502,32.545093520957266,32.74911893727699,32.89704851820022,33.01823893701578,33.154612980549345,33.43704330858865,33.847053241758346,34.4202958750119,35.07440483377063,35.75999567403747,36.44439070688443,37.08882941480376,37.66012947891197,38.16021512242016,38.614646353885234,39.064889736108405,39.56374014986188,40.10928466444548,40.37496626471543,39.82664535111128,38.778422287954086,37.814180464271196,37.24953293122899,38.34171487124216,40.02649334543887,40.50519019470058,40.67326562
7kg_10bpm,4BC,37.77741201,38.167680205818016,39.2881227132644,39.206939001287665,38.482817696793944,38.46691037628154,39.03877342818083,39.877764942345465,40.69046801350811,41.20198150350143,41.217638871260476,40.62807339324881,39.42137859805326,37.769239545619754,35.839360057733174,33.914271862504386,32.09330990453441,30.464471425517146,29.118484840998114,27.976885049542283,27.014213464344763,26.160227669740102,25.448878288240213,24.928155247902517,24.52503113258326,24.19846016936204,23.936902344472692,23.60053171893423,23.29098266822857,23.18636615385945,23.11342548483543,23.07462386594923,23.034299275210415,22.90808830845177,22.735990716122153,22.50124221523322,22.197368650675337,21.819976143903546,21.392558111729382,20.978999526808483,20.64659157320773,20.40827003404937,20.257443232933152,20.204596549924016,20.135239480243406,20.060191282072562,19.975603497261368,19.867874307503214,19.70722924091923,19.55108172252645,19.378155641233757,19.329574543386684,19.464402316448346,19.813744576984277,20.35740792914142,21.07038220178046,21.816182353078126,22.55558187363805,23.269039489202946,23.975762130102805,24.73528081140043,25.536222609872166,26.428201142585557,27.404433434389652,28.373739271641853,29.22099153835494,29.87764890645882,30.269384170670126,30.374581306383114,30.331732674063655,30.239871984010733,30.238206376691497,30.390642400414524,30.65727727456818,30.964071503074265,31.26184923657784,31.543257306141708,31.79214004961704,32.038428466100605,32.34178123293497,32.727406698997235,33.19689705479529,33.72623999882508,34.335575639771584,34.958694186217464,35.59227727180805,36.124263180040735,36.52527054800256,36.733527486724995,36.759872586945,36.748909679416855,36.85371817872418,37.19950714913703,37.53840450402251,37.19013956375017,36.591049728973616,35.93894422653136,35.63967425426643,35.77856901684632,38.61904548124371,39.03933289
7kg_10bpm,5BC,40.59866737,39.99112824270422,39.8727585786913,39.46241761266698,38.32980067470962,37.44816213043512,37.18440732248821,37.335967392340656,37.702681524678546,38.08176171620378,38.25150496050488,38.101560418098956,37.55489166005365,36.56816036181083,35.23838227066151,33.70243493803347,32.176671473053865,30.808672277360788,29.630202716624694,28.642903311896436,27.859416650072745,27.141606475439442,26.44874033859661,25.76269261236475,25.177371055228075,24.767122392189354,24.61750587677241,24.53296665398044,24.49987779917257,24.444073683899614,24.403520881514364,24.452118673402794,24.425380459460943,24.369164276738378,24.33983009695935,24.20657497697019,24.01684350488116,23.726369846683234,23.319106841856154,22.84014526776022,22.314068541292787,21.78727467875531,21.340970354508713,21.025111699042643,20.939867837202996,20.975681583983636,21.18668644601419,21.575348106610626,22.0679820286582,22.619953389542502,23.192215384345747,23.736234039316418,24.216540240029854,24.621175477504533,24.952001349568807,25.199943970119893,25.362784191979248,25.450934604416858,25.474888532114473,25.479178310921117,25.555239127310482,25.75508799397271,26.07812108070848,26.504195429255592,27.001842680776708,27.594900527784183,28.20865025819837,28.72944936862406,29.075083417717366,29.269107823833902,29.365364068261457,29.424313360411276,29.481654889221495,29.570063315649197,29.68595575938945,29.903719300221148,30.262992579396563,30.824179827372777,31.605066400661542,32.52537660463089,33.48814442674434,34.456397469297855,35.39806176616354,36.44119471973142,37.63707966116816,39.04429965800865,40.66527360709997,42.39639751219938,44.207494785854365,44.85961265208446,44.58555744172017,44.526320176242486,44.88744575940852,45.42920513882241,46.133086996264666,43.77236605815647,44.364849992378765,44.07875559626836,43.51365012073607,42.717649917445954,41.59376288
7kg_10bpm,6BC,33.01899401,33.402255281087,35.5304926217479,38.676724003810456,39.870189873064355,39.04563261348138,38.51504486790782,38.26920453778702,38.24975934854626,38.308614204222465,38.20928779230775,37.72953094937064,36.81913110210153,35.55478698863667,34.16693550707204,32.928543178839945,31.823115831206703,30.972013354804798,30.220928396138458,29.449921204502726,28.678931656761485,27.874035068618326,27.085863756490102,26.408638463414047,25.914805796369116,25.664727059999997,25.514350931544346,25.41983316811681,25.332388002125477,25.278978237892538,25.103657395787504,24.75599037296156,24.257030780780003,23.584295828552627,22.82500718778138,22.245421076135106,21.82765755335123,21.495294851782763,21.127845252502734,20.666123951201293,20.1627544293849,19.666492180353277,19.2093182280387,18.850790478896418,18.667692221718557,18.668756710644395,18.809159081064795,19.019191982853915,19.30636662533038,19.71416936809884,20.22650339,20.786476757855866,21.389175085848365,22.013813805867553,22.64923222205705,23.23947334516198,23.74514077781638,24.174494888336778,24.5894336878194,25.082993602853843,25.737638564310238,26.59453625065891,27.603859163359573,28.649497786014177,29.591154753115173,30.342279575495596,30.93549321521845,31.461169512021446,32.04060777653222,32.70916117783721,33.42410662114067,34.125855085967025,34.70022668058125,35.113589935103136,35.3288973378455,35.38331451,35.33374903437427,35.225520976948,35.11531834665437,35.04206943094101,35.0144043009398,35.104670727363754,35.35489603323898,35.7588089840223,36.30186427549129,36.99816622335775,37.75475940765316,38.467127580592106,39.05712913425423,39.50512113076178,39.87177090315567,40.248332643609835,40.67908970692893,41.283000688117426,41.778429888727956,42.02285206565212,41.65212529046595,40.82549091587114,39.982300253805626,40.72102217170161,40.78535721
7kg_10bpm,7BC,37.57900588,37.72077579943924,38.74749992274513,39.99955402062645,39.19889715603511,38.45959313916107,38.27239017684935,38.39723397326979,38.60860457795031,38.67369429754248,38.3443950069368,37.54702358621975,36.32289027400131,34.84026195025437,33.297840301415,31.858625658362058,30.579493056766644,29.405252656425585,28.31247515842648,27.25889512405848,26.27362446,25.44180930219143,24.744926075094796,24.135161775468863,23.554122886788964,23.124637478598068,22.796388673512627,22.484658057384216,22.240990586701063,22.151259287097034,22.2351257434229,22.464164816167905,22.795898402753178,23.15874422098043,23.453967887395027,23.606467115071684,23.623830511286755,23.562658671258717,23.50608578204938,23.395104461244294,23.17819075,22.94878066885604,22.796772693340966,22.789164243677895,22.94781145048233,23.237701563434243,23.597795489732857,24.011952236134686,24.48618475125923,25.029460371141326,25.634141230300735,26.2875721488008,26.678329705347668,26.863219170595258,26.868092298322146,26.754307830029905,26.64927121147176,26.72378241571031,27.00007327272802,27.495043155267638,28.154524809999998,28.862060952483944,29.452868000015663,29.84879019712683,30.083825369692292,30.232517718182933,30.439933727809905,30.682032359301587,31.099289358384038,31.580718641948355,32.05695837004021,32.4887768913089,32.85675406581471,33.19336781455889,33.523780019046704,33.84634960129632,34.133307933530695,34.357931981681155,34.49257552383636,34.49398067413448,34.40846845,34.261887433731616,34.16724369001216,34.23541676206784,34.55237922861514,35.15166851357787,35.99697823105573,36.99833286214644,38.010417558414744,38.89204470698298,39.5717764067392,40.083993156976554,40.39638336190876,38.04769441655213,35.0513853556251,36.28823927389915,37.87706906919554,39.4466824841329,40.76279605810041,41.617138932486114,41.77442424
7kg_10bpm,8BC,42.52592024,41.86219088418146,41.77266431939421,41.72751831903358,41.03296487090907,40.29773726778542,40.04608646128208,40.12882913001665,40.247362138452935,40.130786139283096,39.551550636317685,38.43651244067774,36.87773845858338,35.09100722244916,33.30253102712031,31.69787724329162,30.33325233079353,29.17435391267372,28.204393157014643,27.480444889920964,27.00792489576202,26.724345638248415,26.42916842102347,25.95180672447789,25.21292682148162,24.26605510576096,23.2855309009599,22.49417892047553,22.061631010466087,22.0481576249585,22.401729686674162,22.96004714943281,23.517926252583766,23.94096332135333,24.146017941702613,24.104643668462785,23.867446285482334,23.603165412354453,23.27252664038299,23.07272942862808,23.096326586077073,23.307058773599103,23.561009323349445,23.877254101816412,24.28728517470484,24.704343264958432,25.00313828801425,25.096096272883035,24.95628822169851,24.646970943367336,24.303638429019742,24.092416923094753,24.17123915024267,24.506716759423018,24.989959177235303,25.481806934995934,25.89442472584858,26.207839605980972,26.47365412227192,26.758757867139032,27.112560889339193,27.529791721576274,27.916998759132483,28.241993177503833,28.469896243962122,28.694343553768636,28.982313535769702,29.448247514677384,30.083526560513707,30.729314150074565,31.347927256948058,31.918769689392196,32.429326780370765,32.923019299497696,33.326508576633564,33.37229741386285,33.25966539906918,33.22803116361107,33.34523545278752,33.54721964583091,33.72449147915301,33.8319557506395,33.884333086574706,33.969198674561234,34.184567144265436,34.59588714746018,35.183274000034615,35.86631954214935,36.53581799039655,37.13985457942009,37.70501401435738,38.32166916044908,39.08908043950575,40.07446644832087,41.340017756814774,42.90671908862875,44.757443904919946,46.793882145708736,47.39293112281707,45.35209310498129,41.31907499
7kg_10bpm,9BC,42.37491421,41.728983800921625,40.28606282466484,39.0921115980939,38.44656440171933,38.31042662,38.556081078198076,38.93352418396429,38.984552615178174,38.62941853556426,37.82101038,36.612018130751466,35.21123047431889,33.88481151482246,32.749340290941404,31.80296188,30.93592520769895,30.056162840162383,29.256791746486297,28.554935420183742,28.088097190000003,27.869622673530635,27.697183748001365,27.46925333055843,27.08786363685622,26.463477860000005,25.710297579623866,25.00198237112742,24.51972162473599,24.4059713863961,24.66391091,25.156761596368703,25.715510500921898,26.13083689579193,26.307891727684346,26.19633644,25.907880980169743,25.629612172444666,25.506629269225986,25.549125301315122,25.719044699999998,25.95354778647467,26.157357262292393,26.25057904046469,26.296450248413542,26.39811484,26.564158185643542,26.70607014518716,26.71341619362212,26.523071613057798,26.18987752,25.875025413021476,25.771394524511166,25.98574701449946,26.46194353708095,26.99507063,27.35300733358288,27.430743874415604,27.386463908745217,27.381240217243004,27.55626764,27.880233853510063,28.332548195705424,28.871577044598197,29.33683794651715,29.66523301,29.908486444964687,30.35994327029744,30.986636921012717,31.736869113402882,32.39794668,32.94262275087324,33.343772323425405,33.56510155175994,33.777434409499655,34.03193794,34.38153213453691,34.72435290286479,34.97433261789666,35.05748625602034,35.03867361,35.018338856315005,35.0444533632703,35.225308796515726,35.609821018823624,36.204398559999994,36.971438549986196,37.80557429399,38.52518206011927,38.98621921740996,39.17482089,39.16529658002733,39.191882748139264,39.4245307316729,40.074341872905556,41.33532913,43.05344251029111,44.941215733111164,45.68331199761938,45.19562592891606,45.08378143
7kg_10bpm,10BC,36.35757154,37.351530944821285,37.813010576805986,37.049328479197115,36.562724708254045,36.51014106209892,36.67168385541296,36.91855794848333,37.06385746058234,36.92451556044339,36.41656939306159,35.51620226420061,34.34090297802555,33.13674207469985,32.01727661736866,31.092691425345862,30.28330005065236,29.496135229944812,28.657639695887855,27.812453137037796,26.860623702915674,26.051904415494025,25.347398700661646,24.860028878054216,24.598689145470594,24.465975454965754,24.32381491637935,24.136158552477077,23.928715470539267,23.767576326477712,23.69630353938188,23.703606631345682,23.746638835830115,23.769233414127743,23.725515885926395,23.608762271132246,23.45636688359103,23.31405660886008,23.167896156165963,22.998514870777726,22.808409251712384,22.643440243912533,22.544030406217868,22.518408157819554,22.664807030146342,23.018299544794807,23.542196007452954,24.08989665504176,24.526267374221373,24.74070662799063,24.724139925675107,24.603781245846136,24.616195746644895,24.8685784902757,25.301283839851216,25.816364336411343,26.29219639287238,26.645502254210427,26.8622808956076,27.032471874278492,27.234362337166658,27.559291592258273,28.06128075123322,28.562697650710607,29.023169107245106,29.3630391494639,29.6442236110244,29.881516539891376,30.149997855124056,30.48017950343338,30.787782107846798,31.033343539766562,31.283720817348854,31.484205468999697,31.730803663442906,32.06179915444096,32.4563934678582,32.882350835296435,33.30257044122039,33.63063607706299,33.816725834785196,33.90139100501855,34.014977363047244,34.27344669957179,34.74177711804214,35.42121888826967,36.2746543959917,37.279149311996065,38.39006797440334,39.5285864065595,40.61190988509874,41.631618586068555,42.59395589901907,43.59101771711962,44.682043579891825,45.66402006563991,46.052049538982466,46.01022070951014,47.22167274812676,39.201622235664594,39.76867741
