cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-16.08603275,-15.047859297862235,-14.356116690388344,-13.997524937851454,-14.137537776270685,-15.101057269944858,-16.093076799312847,-16.784705880153158,-17.585706270290462,-18.520821354289843,-18.84864541500249,-18.253204402253008,-17.075240054704814,-13.97066237929759,-10.483462366653848,-6.076120439277677,-2.681386330719808,-0.12304221550955191,1.200087754864378,2.1537930449751723,4.691685241061817,7.159110083883313,7.517146834696129,8.316114600834245,10.583732543626557,12.408809466794365,12.274504931526229,18.138312343819347,20.182437520574457,24.587408572184092,26.134062408097964,19.883759771879788,14.107552152634618,9.085074948302545,6.063372598054279,4.67488817962722,3.8495614008137533,2.71680820970365,0.6589068584936699,-2.5128401543755268,-6.383640623971364,-10.770471940719311,-14.10611219478281,-16.318610181386198,-17.744073492868225,-17.705078379517712,-19.02634770224565,-20.809715049917134,-25.496163424316517,-31.12795537405966,-37.23413658,-41.760708527514474,-45.304813647614665,-47.19672852582825,-49.366843040105564,-50.95105543697983,-51.86895677981006,-52.48916924332649,-52.690491358761896,-52.87315602196477,-53.9749294784345,-54.49985246958658,-55.17220709202999,-55.74455439351214,-56.07298811216739,-56.29214484677312,-54.86573884171491,-53.57750005070807,-52.58715974625773,-52.3426973034195,-52.71340456954223,-52.90606416012346,-53.701730847352344,-54.194328334531434,-54.252080629876595,-54.31832246066433,-54.8716241902132,-55.66010429486376,-55.51786267075831,-54.61634957176036,-53.819517560705954,-53.35422137942636,-53.33894529124121,-53.66349298897684,-53.99531820836758,-53.850986998275715,-53.18156554264494,-52.58127602638213,-52.37128035079636,-52.06076931691865,-51.804074633398315,-51.50610231284165,-50.8148152588604,-51.06379108715949,-52.02372788976656,-54.34478617578946,-59.41893731519592,-65.45802115067683,-70.04195236319372,-60.03081581943564,-54.09169863
7kg_10bpm,2AB,-4.27618231,-1.9243493284067887,1.7329946873519664,6.10230370165167,9.964600400658561,12.705327030931482,14.401338441070767,15.341748930800584,15.655744051276898,15.671664203223818,15.610029090950851,15.72045666178867,16.11366832732277,16.289208590839216,15.969914688890022,15.227692110571546,14.1668017029648,13.067088599617028,12.052942450527098,11.134637911408735,10.347974770923745,9.71900919589707,9.208112824019949,8.719176003263357,8.148282629323042,7.3919375951970325,6.498361242719278,5.516527299305899,4.435708815934137,3.3013373825139523,2.0979076911371486,0.8622095140781071,-0.4932579233175725,-2.0166356248910513,-3.2233528630722006,-4.210152547919971,-5.116852363581004,-5.98393056765592,-6.824080808247579,-7.6454402349741795,-8.475751518495372,-9.342568788835584,-10.232996715323189,-11.107405331111211,-11.905953701350695,-12.78894361179111,-13.648379446237177,-14.485823382284938,-15.286447917660434,-16.070288614793053,-16.909993135728545,-17.769527918868526,-18.652820233022407,-19.512015454384287,-20.330239822234244,-21.112481431917075,-21.839484732104175,-22.498126663548096,-23.12546945513207,-23.740720215609976,-24.29962337013372,-24.761786504210487,-25.10979790873373,-25.368423534560304,-25.552535578375373,-25.768215643247007,-26.089524333907676,-26.451733526531374,-26.72565170656549,-26.77419502645956,-26.49589871540001,-25.916967603534744,-25.14645770497937,-24.391898625506325,-23.76897332528357,-23.291567620501464,-22.893169742102266,-22.522704758979582,-22.16741058900336,-21.76780224399326,-21.25064389224099,-20.64051198721845,-20.065189514811554,-19.651981059486776,-19.479532659721396,-19.598828732302135,-19.98557987437831,-20.466407167206516,-20.95434394544689,-21.315876604055948,-21.426892147208633,-21.254457793577544,-20.695233228570626,-19.487817898714024,-13.821125180783596,-13.269102551346272,-12.621497023894925,-11.776762241211982,-11.003880347114116,-10.76165309191275,-10.92770267
7kg_10bpm,3AB,-1.35500686,0.31301137407935686,2.8066054393184428,5.54844810547236,8.103580938353412,10.285173317386826,11.947557627249292,12.93529099124072,13.400007186558195,13.650276574877234,13.816666160844019,13.909483829424623,13.77546069443212,13.416270521279232,12.975109327970653,12.535545374027912,12.050378319006585,11.463196165652418,10.781821231505994,10.04023771851632,9.289030515312323,8.628083189165213,8.1578618795124,7.880947917434493,7.614493732132748,7.164409529712919,6.50325764614909,5.707658616329636,4.692146092800876,3.3826678021647516,2.088904707477585,0.8744429435374627,-0.12786955841835318,-0.8598152806116613,-1.603318898245288,-2.3125324746108236,-3.1045621459953807,-4.076457491411748,-5.257019508623836,-6.581027254325537,-7.937993256379194,-9.217540317394187,-10.344307873060975,-11.291447690720315,-12.123775582767147,-12.889355332126295,-13.571515353962374,-14.196453707584602,-14.808627335205964,-15.371424774517008,-15.82178283,-16.161371856637412,-16.49712232514133,-16.89675292729416,-17.443949011843152,-18.198858926160554,-19.17857349537836,-20.277773447739555,-21.4816129658711,-22.75192138747518,-23.968990177311035,-24.96572751894393,-25.634228089060702,-25.954989641587765,-26.028575204206028,-26.026645537462915,-26.09289455366023,-26.195131384714795,-26.1682497786655,-25.863962402372792,-25.452116102398122,-25.197246310965667,-25.138935617666682,-25.238143045434782,-25.445119831840252,-25.678272100101964,-25.908855089860864,-26.095298865501665,-26.179548416945448,-26.14830891969776,-26.062717062735118,-26.031802596812582,-26.21273968980932,-26.530140818279243,-26.986311657105826,-27.592689413194144,-28.033872751448822,-28.33626072044078,-28.444627418898595,-28.305408708210734,-27.904422095454745,-27.258725193431424,-26.504173754169223,-25.766269630003023,-25.205113288257763,-24.962347272664857,-25.146894069702917,-25.764660962578553,-26.747256432778727,-27.655507688661086,-28.17647475
7kg_10bpm,4AB,2.13538269,2.501162219445182,3.0368081206826942,3.7741315483970155,4.908660926939143,6.439913550059361,8.286368961074944,10.261140560486021,12.12321001567328,13.70191577458014,14.914898281061157,15.769806422962752,16.255488825836157,16.313211161805853,16.170904054648812,15.933169936133357,15.5901355380666,14.916713805124042,13.968514294047024,12.73883863285703,11.34597644119141,9.979508137622325,8.839778024734393,8.042677203661334,7.543998379226828,7.169821690487122,6.618108411023632,5.653812951864405,4.24095226242594,2.499824009989814,0.5278476830604937,-1.077302421202485,-2.277015949102582,-3.2182035575421417,-3.991464943225357,-4.708491645379794,-5.431289403950758,-6.2594629773449935,-7.254844832376758,-8.355736688006077,-9.433152248891298,-10.339903537359696,-10.97120457022389,-11.317546838940256,-11.441561143931901,-11.472273469919472,-11.565971959507092,-11.78140383832607,-12.111269145603996,-12.524236331819838,-12.983896232996381,-13.498478065893346,-14.121422405451977,-14.903069824418672,-15.821242330506905,-16.871515403744365,-18.07836545458273,-19.334475873556997,-20.60188683175289,-21.799852067230823,-22.81472680191387,-23.5686485769324,-24.066512689445492,-24.351160738438477,-24.516030648618493,-24.663443833509138,-24.896808774357243,-25.212954185231105,-25.55853673615759,-25.820709545882146,-25.884194190798276,-25.583245815705673,-24.888312317357336,-23.973673536162767,-23.168996156236304,-22.516156877843642,-22.077230264910447,-21.883035004773145,-21.85031342123031,-21.842354644193865,-21.74508514836841,-21.495809422337228,-21.15458422952544,-20.868201174490878,-20.711312118352236,-20.62946148384131,-20.50985576442194,-20.296616321163217,-20.02753836722458,-19.721583864654885,-19.27020096202037,-18.557172384980746,-12.329447875134122,-12.001227822437254,-11.94302681123047,-12.214592311952098,-12.695958315264988,-13.322291539610866,-14.009103751279296,-14.791684055290771,-15.7082892
7kg_10bpm,5AB,4.17569165,4.010594844291349,4.1790510067110676,4.592091153828469,5.239120425766379,6.209982350000001,7.393666551493013,8.730231913787227,9.896746119493745,11.03567286860235,12.16304548,12.802397937144669,12.96169283812217,12.813608503011736,12.529518002314349,12.193040279999995,11.940448219295494,11.739166314097885,11.533644711954912,11.26803612383604,10.85832344,10.28485672378145,9.602930201585501,8.858198132683071,8.070624107228518,7.279669270000001,6.497086305736243,5.781156350566073,4.988848191835229,3.8993334916043474,2.517377390000008,0.9833857411398322,-0.5831510586769384,-1.958784079368099,-2.8838450669492692,-3.4521076200000005,-3.8743104251579985,-4.384172570854909,-5.136979627997145,-6.190180678841893,-7.506653559999999,-8.93018198535093,-10.265721529627974,-11.354459902314622,-12.149915823465113,-12.67479298,-13.004546482557846,-13.243245718238883,-13.451301015263331,-13.687134603021992,-13.96781426,-14.35406450367199,-14.922719018657704,-15.731592043651087,-16.79796504557146,-18.093489659999996,-19.50442613103229,-20.96829472661717,-22.34776083879132,-23.61457245955149,-24.764663779999985,-25.83151227121416,-26.80783231619605,-27.649517653059128,-28.283193715474848,-28.695977449999997,-28.93810970360354,-29.06806048889767,-29.130473571758248,-29.1598286028872,-29.15856058,-29.115768840620397,-29.017341068321816,-28.829068561377746,-28.502752087867638,-27.99312267,-27.270244363145174,-26.36710508427011,-25.36311273479156,-24.35026853891602,-23.41467286,-22.632383017848195,-22.07373124232886,-21.793304387048163,-21.808059416039743,-22.042366599999998,-22.34550038894922,-22.525690742201366,-22.40678463689033,-21.907348058624827,-21.06602666,-20.10015398710471,-19.28345993467848,-18.765146600750302,-18.34585477361855,-18.12841351,-18.42003819716167,-19.076456566576635,-19.995589605437818,-20.97978940306618,-21.82168707
7kg_10bpm,6AB,2.00609117,2.178688665501709,2.987268714586078,4.292928126868337,5.826970779319229,7.385952158815998,8.95253507014861,10.48050558799344,11.897615773229527,13.187573595126581,14.26636583364625,15.076089551160987,15.567966954136473,15.692914641276285,15.503153499394786,15.09851588057298,14.43229085982978,13.752000537862171,12.99212860166276,12.204815797765486,11.40267374793944,10.599552190842276,9.801101953892084,8.959962512821761,8.013480238898673,6.925890355309736,5.704834984015633,4.45666247063304,3.33449789872731,2.324680380824614,1.4525463969661498,0.6248274485589477,-0.17639262843829398,-0.8790350232485602,-1.5431687657416755,-2.202097193074,-2.979804485949043,-3.9561619825781387,-5.125056997705987,-6.403703138377273,-7.6620483047404075,-8.785351762054683,-9.66043924113885,-10.241081834122692,-10.559731048318636,-10.725328706622893,-10.848074614520764,-11.021109718959565,-11.35311635256661,-11.879344388843224,-12.57561814,-13.385199883412204,-14.242621601132653,-15.09196180521034,-15.897036426510384,-16.64189422623173,-17.314881230463104,-17.943974683557588,-18.55395290434335,-19.2253421499659,-19.967179610246795,-20.730715638296886,-21.40708554671131,-21.942246479661023,-22.28132688013696,-22.408456179254532,-22.34854918535114,-22.155806720991343,-21.91945889847025,-21.685242722523096,-21.500604008851322,-21.365241573510627,-21.308039627116706,-21.36284436992335,-21.553246370844263,-21.79413364336961,-21.952600360503457,-21.96297431365333,-21.810104730720745,-21.47294025902714,-20.994460382409617,-20.4614050455557,-20.00812075144166,-19.83933285910439,-20.08189782741662,-20.572637055450947,-21.168892595368618,-21.71999705042682,-22.068679787062518,-22.14801601528518,-21.846171295298742,-21.036240736522522,-20.029582850360757,-19.10356087231306,-18.110426745733307,-17.118538169381065,-16.496406426319247,-16.200885251200333,-16.25103734217112,-16.606245920431764,-17.13294614
7kg_10bpm,7AB,6.99810648,5.145179886742099,4.0900248837957305,3.6687166774555346,4.039949371410635,5.220499760707267,7.012929571705696,9.071252024980263,11.015624159223227,12.604639979956339,13.624853990088408,14.1348527152072,14.285156849462728,14.26948171870875,14.02049702712452,13.584627945126064,13.005912114616798,12.177746178748485,11.122871289805463,10.005119450379071,8.983056101005433,8.137696296374791,7.441602741921205,6.911338538625733,6.588300511254954,6.396890689801149,6.113530268762856,5.568352007219987,4.790625662928129,3.594353973981035,2.044450550021937,0.40159503178653844,-1.2328695003981744,-2.607643014821188,-3.7432201242195164,-4.638491785951012,-5.425129767199865,-6.212490088065433,-7.0853979004988155,-8.054846669442005,-9.037615241913784,-9.896065028638828,-10.533827436661015,-10.893316130045113,-11.000033964871134,-11.043768547338185,-11.192006847011895,-11.573040977516666,-12.245148085008447,-13.179767414913298,-14.222546327727333,-15.29337464284706,-16.324850113818446,-17.23134501927203,-17.998171194120886,-18.664266389125117,-19.26895430914087,-19.856536370303427,-20.391139661545463,-20.84262315502587,-21.20048699794307,-21.476590705824204,-21.716357655619476,-21.95108107821528,-22.182482580487825,-22.42687263592741,-22.6797005942736,-22.909707052368898,-23.10282629055152,-23.30355377034826,-23.536329173130245,-23.77408616581532,-24.016031433713703,-24.270503321706027,-24.471538751878054,-24.488391485716786,-24.24065583968554,-23.733668417889795,-23.000432769717573,-22.11049686768872,-21.19933636288733,-20.44235917139605,-19.940892242109612,-19.73266965298425,-19.770985487404186,-19.95997228549765,-20.266238999987305,-20.471151401333778,-20.427339275016546,-20.131462892921757,-19.69794285415428,-19.300844306141244,-18.941100882931277,-18.76783916934148,-18.90271627255414,-19.404168719726655,-20.309533064240593,-21.339332187111644,-22.393990195386305,-23.363464484204435,-23.95017796
7kg_10bpm,8AB,4.30274432,4.979521209760515,6.117556149306895,7.41956748592525,8.572441538717237,9.643402804517512,10.620617737561004,11.493513868760388,12.25441778648649,12.842869653284728,13.228086470182802,13.43611065639413,13.443788247705555,13.135558116204436,12.732142575748345,12.320229203949653,11.959541043446855,11.694026695784197,11.497999470208526,11.291564083019438,11.016651447613459,10.599228211531093,10.028234980834952,9.366112042500275,8.77532672954235,8.42475729015752,7.78168326159469,6.695909607203353,5.193794646706517,3.259719507898376,1.517162327922518,-0.0823129833953943,-1.5739434102080958,-2.698253656144307,-3.617515639553798,-4.477168087027937,-5.316870581774071,-6.1318796635135815,-6.904954314315297,-7.596613755389077,-8.199160572184457,-8.744287500425237,-9.29661030732304,-9.90917538927073,-10.588895443633847,-11.279270947440398,-11.941617957821352,-12.58229561456805,-13.283123763254538,-14.116494910965079,-15.05227281,-16.028264695786323,-16.984546708446533,-17.867044436084797,-18.620777925430573,-19.251192011164164,-19.78766782111246,-20.2580744900224,-20.702277690945287,-21.146362271290798,-21.522472144432495,-21.825643158509692,-22.079486481139732,-22.324164476592912,-22.596371167513812,-22.869819172733493,-23.130607152674322,-23.37731099958389,-23.559013914131544,-23.64704059354034,-23.607568078997584,-23.43254353464993,-23.184949668776866,-22.894254252704947,-22.632491254262558,-22.415349593551582,-22.172732874026913,-21.798850427991123,-21.256874819477048,-20.587708414723252,-19.91457938572676,-19.362457110600317,-19.000482145062463,-18.821160639663468,-18.815928199934465,-18.930225187140724,-19.07135109033817,-19.01024859037302,-18.959722055684818,-18.97010135838153,-18.98549967384068,-19.052749597857055,-19.2153335190161,-19.449230343537707,-19.807815467068984,-20.40614955287765,-21.308798696245553,-22.232146410638787,-23.217148203641262,-24.08075307878613,-24.43026689
7kg_10bpm,10AB,2.79071081,2.0604380060334457,1.46897093895721,1.4893449202677802,2.259953438075183,3.9929998706933407,6.8102250902576245,10.377986671548323,14.114508729740352,16.554594276379724,17.493367871926,17.027144199604336,15.597981704430467,13.858731237548637,12.16682277779637,10.948274417050582,10.305032477433809,10.018282612273577,9.774998817505072,9.417014895054681,8.952084429862667,8.255283402476088,7.140653253104477,5.655529664262938,3.8811428257167258,2.3745597289844573,1.2997520446279642,0.6246137953867679,0.062298854730384726,-0.5592371298689457,-1.1710022399884983,-1.846036942119616,-2.771813632869937,-3.816669898936327,-4.661812990807473,-5.246135419924024,-5.704983483408765,-6.096296770379991,-6.480696683867328,-6.899185869070118,-7.368467325632644,-7.863241812048961,-8.327956819836544,-8.748769931806601,-9.146497483399356,-9.51320279948727,-9.875415163902,-10.343765441771328,-11.108040964340052,-12.212632860899813,-13.478865620000002,-14.647546818186148,-15.486246709086634,-15.99596367819743,-16.368022136361375,-16.805585605594583,-17.446275901075996,-18.203991149613493,-18.895926391479886,-19.635380033051213,-20.4622751575768,-21.4303888281663,-22.579124024879675,-23.793701691427653,-24.704005604618498,-25.355527953437765,-25.151444639551084,-24.297652694015387,-23.036468120504047,-21.22515226160939,-20.13235101713028,-20.51326272067199,-22.271353057572853,-24.54013265880555,-25.66151531284987,-25.08784414688108,-23.23155108987317,-21.31067584611499,-20.209665075889845,-20.105240024273364,-20.336162326970236,-20.03367967480667,-19.139310938068867,-17.996905767947347,-17.085263539132686,-16.766509656004807,-17.000056294493564,-17.32239205778695,-17.41724445425699,-17.128191260125536,-16.643757902453547,-16.320682114768505,-16.412808186048036,-16.93531541041553,-17.6622117361248,-18.20572581626281,-18.156982009049884,-17.676242127442904,-17.426703176170747,-17.30436492263837,-10.35072932
7kg_10bpm,11AB,1.12381114,1.5953154731605652,3.0967353771704786,4.898390648304502,6.575760936359624,7.918739324235068,8.902617956005436,9.856423121012467,11.121194255887506,12.748723797146159,14.29112251040493,15.35536408839555,15.513501743993219,14.750237335284428,13.297019573155687,11.684396082498992,10.241790021713017,9.071509927959758,8.313570200500758,8.013058788029745,7.99546985,8.209921585151204,8.301337307554663,7.929012822464182,6.943855120456499,5.436923060556868,3.9597746008172683,2.5992487061780833,1.3823371710273344,0.2730111072521075,-0.8336650278716843,-2.0424516083005244,-3.305618653602501,-4.514044392768003,-5.548682930767094,-6.4185741089972375,-7.229414665340557,-8.025476299548146,-8.812500289310046,-9.583652031693092,-10.33986818,-11.095779086081208,-11.867141322219064,-12.582654829613269,-13.18980159648093,-13.731259660499388,-14.272518759755242,-14.8735335047799,-15.504097810374674,-16.14542877706021,-16.725819674445145,-17.218265169321246,-17.66736071387668,-18.059992813945435,-18.295819482517686,-18.364501616585827,-18.362626805057303,-18.489891969010728,-18.899448851839356,-19.563409440826156,-20.31622577,-20.980696861655744,-20.901589138933225,-19.94627860288678,-18.400107812013445,-16.424385281664293,-14.415606523075974,-12.979735278289018,-12.60827601557336,-13.822257924458366,-15.97615939488837,-17.886431870769357,-18.008762410269828,-16.84928680250241,-15.224633717706437,-13.880275595060317,-13.10344265407816,-12.889189889134606,-12.93375134580732,-12.886619059475853,-12.61677586,-12.3210095704088,-12.152411605428274,-12.151020798193763,-12.236371959796635,-12.346245632335208,-12.432472896858503,-12.322956268012403,-11.979861423728092,-11.721093293569838,-11.380605559583541,-10.986301877546934,-10.7907196852747,-10.85487667115843,-11.014483027996455,-11.49588817388785,-11.928121910252413,-12.325597323000402,-12.530446839272749,-12.83352409705706,-13.14798056
