cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,-24.97485801,-24.507633780987963,-23.744970573365812,-22.582786331075404,-20.920181952321254,-19.51518889,-18.40002828262993,-17.74517649240353,-17.52768571101621,-17.578873467110956,-17.66058136,-17.5286470654137,-17.115201780053326,-16.362863157162405,-15.332215474054067,-14.278357899999998,-13.166212517838854,-12.036481460943275,-10.98237715743203,-10.111477827652106,-9.5371439,-9.186707962652646,-8.919303540468517,-8.665671960249092,-8.385345353689646,-8.076585400000003,-7.743641661444143,-7.4258545947604,-7.129434613239202,-6.805915035789584,-6.378358150000002,-5.7963085502824345,-5.059383484472891,-4.211352222054905,-3.3350081548902657,-2.56343459,-1.9602904091229694,-1.4947297106429713,-1.0757087618296772,-0.6566997035212194,-0.13598846,0.504086291805181,1.2544391283582232,2.082664826421361,2.9249839839733616,3.7115215,4.385152528490201,4.968409396756422,5.500503206968472,6.048045226096851,6.665022750000001,7.406481300116587,8.301032224808639,9.33104025197544,10.422254189312591,11.486002539999998,12.431018283733932,13.251084270803421,13.960611344057455,14.643942193124873,15.322897059999992,16.055132202986485,16.80739239707573,17.50936841858478,18.12419258734657,18.54710934,18.783405356630624,18.846587166321644,18.783388180285208,18.699327898227295,18.68305215,18.80186699591711,19.073632388661036,19.441316732013124,19.804774718060955,20.06872733,20.199859688439687,20.202430963239944,20.060958409601216,19.818032219648416,19.50139609,19.126223761780324,18.718441255879462,18.340912849341194,18.108393079724838,18.14470198,18.553503469539265,19.424079239828135,20.722067814532934,22.314379483407656,23.92476972,25.20052205721369,25.862963936811635,25.90930893417189,25.491940164136746,24.809403549999995,24.027441994047823,23.43164067408569,23.763891838587103,17.003264760628248,17.93664086
7kg_10bpm,2BC,-24.13776067,-23.16093728106085,-21.917850361008462,-20.670666357188296,-19.60654235714552,-18.754895063922692,-18.198494245231945,-17.981863711725218,-18.0489888075136,-18.285175763990843,-18.476923837050677,-18.42619381892306,-18.050890090808494,-17.38658483444428,-16.47861844546577,-15.434026903572779,-14.326002520183858,-13.175841171514206,-12.030858936882815,-10.942199818816631,-9.95782546,-9.072044346170156,-8.315416945471206,-7.689219605112246,-7.195319407214262,-6.791986901244717,-6.465087510361421,-6.175783791506997,-5.885144749413742,-5.597556817386572,-5.293481278201992,-4.965394793857335,-4.641451945906279,-4.3138785258215675,-3.9755097464300184,-3.6149850875887126,-3.1803016383180025,-2.6490376391724313,-2.050841380040546,-1.40319239777618,-0.7239964,-0.05129717340481018,0.623620883575082,1.2731765185379949,1.8381901194270724,2.3072669858878236,2.6981339868471346,3.0622638405370113,3.4884398408011146,4.051440994976704,4.773316710874975,5.641675377742823,6.5914930000799865,7.535550682480546,8.391046366709501,9.11690196747936,9.72411385067278,10.266917128463064,10.83838024729132,11.565339883650799,12.4816396,13.556206763952682,14.684448454722968,15.799850618114066,16.774314569801327,17.577283365959197,18.20662407783123,18.630168031668614,18.870112240814162,18.97076813878869,18.99550587265718,19.007596554504353,19.050866449204722,19.16380273646385,19.386028738351463,19.739992492739916,20.2188434454583,20.79812064771537,21.407236240078017,21.950862987952025,22.41847423,22.788975223433404,23.14846086033967,23.534073929045487,23.9938658904124,24.493540481407997,24.95292474723831,25.357449781304584,25.664770725508298,25.822481255436315,25.9151526596088,26.077390659978537,26.24893001568706,26.488224728207225,26.888033831915713,27.22963482397325,27.45916562794101,27.717097997674774,28.041993383858618,25.747358695709863,23.67018116
7kg_10bpm,3BC,-32.36312574,-31.494947071318045,-30.44325263841229,-29.34755014229228,-27.962255604466133,-26.669704777100407,-25.60316732390244,-24.88046158234709,-24.437673139981396,-24.163331996877204,-23.897288734158785,-23.470214462918364,-22.741843213591054,-21.699066694560432,-20.383210172433394,-18.897198337961612,-17.339128531598977,-15.826798367692273,-14.402166968327515,-13.140453588080574,-12.093813163834026,-11.246496757569611,-10.595344044924676,-10.098599217612513,-9.709870444773667,-9.382879553194552,-9.067416021049954,-8.719744703008065,-8.311552519827353,-7.79189062074629,-7.133704828642463,-6.384249647782099,-5.585617247067697,-4.753135971124197,-3.9397708661950537,-3.211082490377386,-2.563937573883626,-1.9438890259188766,-1.3100429369926203,-0.6310163134158374,0.10015441494774109,0.8788691796015873,1.6179887697512585,2.315510435766846,2.9588197042065865,3.540762080653288,4.066332296061449,4.555631653445836,5.0345728511747545,5.532453937880458,6.080041976232783,6.7026490837407335,7.413394186959356,8.214972255879326,9.11498591678785,10.1243306289018,11.235399864676989,12.42398095813654,13.644106262155471,14.812481649723487,15.875821663654895,16.778671459234598,17.48548038727702,18.009452134298826,18.375045485985595,18.62865021473805,18.833388905445165,19.078028096839986,19.42281840926273,19.87246744193551,20.39727029199424,20.921161444099912,21.373847848450957,21.68758070835655,21.82179929630182,21.7975551609204,21.702156704379256,21.6617050522205,21.802138615282942,22.146446763304155,22.711698953368995,23.409382836929932,24.180079694333315,24.919142171192437,25.517526757254632,25.941241527448977,26.20176508854716,26.34733913128221,26.4540476023371,26.60232747618404,26.846404314952547,27.184608997413527,27.696343572637716,28.146965264789362,28.309109254239385,28.401157130883373,28.40479813092311,25.73678635152542,23.73775402815055,24.08588857098451,24.5511451
7kg_10bpm,4BC,-25.50634737,-24.49022800306411,-23.1525427255633,-21.34672070597221,-19.68086357328818,-18.431494963648223,-17.79269075571248,-17.83061234838169,-18.388446312946066,-19.114559474954117,-19.683945311481356,-19.8264433935538,-19.40049006062646,-18.413698722859547,-17.04938742451292,-15.46840334893311,-13.803929101091253,-12.230080211443227,-10.877271568273393,-9.834973316648336,-9.087909672518578,-8.643722791013975,-8.425981225132604,-8.345608137956932,-8.342229220993698,-8.345860869047574,-8.277984061353159,-8.08517448496652,-7.699894298248273,-7.072393960561539,-6.260181368212065,-5.345317893079841,-4.460768678942117,-3.688903895185501,-3.012252462055597,-2.3651547518618834,-1.718647451827609,-1.0244353250193232,-0.24080843218471218,0.6250734586923857,1.5719703804018137,2.536651792017755,3.382629509766783,4.025493412145091,4.424450871491804,4.617560501032059,4.683324091747293,4.756158525758933,4.9822832144041245,5.413719748140343,6.070741023739137,6.932536129343574,7.915872924308051,8.928272105717145,9.911379603676982,10.852648517394973,11.775359046099796,12.754130911819635,13.828417045279668,15.072903921253618,16.505718032559233,18.081101573574053,19.69426580789044,21.215829435865142,22.507942105652855,23.474674680732356,24.085335197269142,24.361734724032356,24.36694001176867,24.262633157169734,24.226373785009198,24.407520226022395,24.830630036443644,25.448093657713173,26.125134864514006,26.686174054622274,27.025330306084772,27.1624509796391,27.10379584583297,26.920441459529417,26.696385409174898,26.51732354976956,26.468626583276176,26.62979984495701,27.010454576861935,27.563105149019478,28.174111182383683,28.70923147824217,29.06795296280625,29.25227681179344,29.39598893351803,29.670939486211644,30.24807168777917,31.21859695396056,32.2008774133749,33.28162178014446,34.355674068326444,35.10949737155475,35.72204043292182,30.463191339141392,31.126689
7kg_10bpm,5BC,-30.51044333,-29.931822300803063,-29.063957717851086,-27.724504497122837,-25.986325656640158,-24.17408326132625,-22.651822822284064,-21.58762393540174,-21.03130489737036,-20.893705657805906,-20.97905684280521,-21.06590682265565,-20.942478495943707,-20.46092521092275,-19.615507000798313,-18.48914674524608,-17.19901270477889,-15.875131588550804,-14.601314139745455,-13.421812216072613,-12.35448450329035,-11.398348944228243,-10.555211398531151,-9.860214290351681,-9.316180147936187,-8.92722021027613,-8.680894687770232,-8.600012915931947,-8.601795464442489,-8.5893379995919,-8.429256536772803,-8.02322651231422,-7.419793999078449,-6.712437028543182,-5.903759406072818,-5.0160275191177135,-4.030821290503767,-3.0031739813796565,-1.9993705903157462,-1.0663983153690215,-0.22655482765241453,0.521268419732793,1.1852061054014906,1.75282966657737,2.2626374912381007,2.6910957676310527,3.096595771539975,3.532801968726685,4.019031845109697,4.515848654101136,5.026628039650257,5.5600308418950375,6.122546834206154,6.7125954979970075,7.316504880075813,7.923559556305657,8.525029471188677,9.127312871850943,9.740434505948107,10.37868402265115,11.064794979718679,11.80843109748361,12.593091902129567,13.399763775845429,14.203982939869151,15.011894239727178,15.774474529266946,16.40590880434798,16.8237291498565,17.00635528854573,16.97378529544303,16.819758031159193,16.65343449932018,16.537387797648666,16.522693641335117,16.64904608018464,16.879516569010665,17.163698989459316,17.419673320650155,17.58154952053986,17.633541061451286,17.5946417542677,17.52888799521722,17.475466924274528,17.53721594848448,17.743125669271432,18.215032570772358,18.89689800072917,19.70124148943903,20.591835905447642,21.26144486157047,21.966821449556335,22.65351495758965,23.15568290130349,23.644770066928807,20.4073239530417,20.85199060296391,20.456501501253225,19.67371862422406,18.74979521723056,17.88670831
7kg_10bpm,6BC,-27.26155073,-28.015129518689843,-27.110691474976697,-25.792105874550053,-23.985359714454674,-21.83677380074613,-20.076851963590226,-18.989376749366293,-18.572896712508218,-18.63389203337235,-18.843872631229356,-18.903024338056717,-18.62966383724642,-17.98715578677778,-17.06242508472094,-15.984051819353597,-14.880225509492963,-13.79647720195056,-12.753140622329315,-11.738231893092172,-10.776440357494836,-9.903710643051644,-9.14217099086024,-8.535010608905635,-8.095816455989729,-7.8238193,-7.712502526176922,-7.691295457540743,-7.654148730221467,-7.417161126806481,-7.0181767803311175,-6.472332242105719,-5.690297425162754,-4.7138577328265985,-3.6225652277636677,-2.54198640051574,-1.552097062902552,-0.6898582243714417,0.040077064661167644,0.6916847453570255,1.3069393425780775,1.9238139010755777,2.595332564194296,3.3447434034182395,4.15103697786877,4.965393032020029,5.739055780347659,6.416892355859627,7.042745479778789,7.6580111005211995,8.25945411,8.827675806022734,9.34675330576032,9.76940813830613,10.07127901357858,10.25582457396769,10.386504077091729,10.571314657196602,10.9292662387326,11.550443703115759,12.463032097618314,13.630368546805055,14.902509156834805,16.137248638205303,17.150741794418494,17.844010254378496,18.209229816158356,18.335341134375142,18.323907612317143,18.292259814367487,18.325595296509636,18.47428238259318,18.72767288820631,19.03341642846791,19.316194879104433,19.507401889999997,19.561644820900472,19.457546394249665,19.236210135677045,18.985996416062257,18.79314269663631,18.781944964822134,19.02643870250654,19.530266443664672,20.256948589516437,21.150437639264013,22.06198894671751,22.835262270522477,23.37324236810421,23.658673046018055,23.790217648632286,23.8920347178069,24.090293647125236,24.453122240397718,25.018539503532487,25.67093651887995,26.017122661478492,25.098944876928662,21.677982069017087,22.683011251461675,23.61484635
7kg_10bpm,7BC,-27.18743264,-26.37622922760415,-24.869719753535183,-22.898037322535345,-20.449007674158775,-18.42469097701442,-17.256130234400324,-16.98115126904927,-17.37308261655935,-18.04480687601459,-18.593080930121175,-18.71519571689702,-18.321799059212104,-17.505170645150734,-16.43041361945796,-15.234181176561279,-14.067118634418055,-13.032561365348602,-12.113529333024564,-11.307640346745382,-10.60699375,-10.037806664562488,-9.61811830588389,-9.36332831923664,-9.212319899643767,-9.036543380386066,-8.806241837861112,-8.548427155944944,-8.292154242112762,-8.032877477395802,-7.6957227122031435,-7.273724593759953,-6.755563891906542,-6.116260673133565,-5.3590793290847705,-4.541339146957452,-3.749665753366334,-3.0164069460020415,-2.303039826095504,-1.5680245202388379,-0.70731208,0.27596140764358895,1.3263530641923138,2.324974278765746,3.1872537926174704,3.9332176973415036,4.67943371054162,5.515454245166672,6.511348713555328,7.674381889748661,8.961201294506365,10.338114112714132,11.498801571919365,12.372139643807436,12.97934758232947,13.421846345990987,13.854083214208964,14.445476513311764,15.228392292683617,16.186120767919686,17.21442976,18.14412996879056,18.76421616937017,18.97471377597638,18.82713783623599,18.50221352772139,18.238856424514157,18.29922718222005,18.638723146727855,19.238059711028253,19.88683134071875,20.40902106144337,20.76588582059235,21.01036296717639,21.230162366333897,21.45271844603186,21.64623980366459,21.72743948301757,21.660185694818008,21.432497393968536,21.092069109999997,20.709561617642706,20.3917237149756,20.246704540423938,20.309345603621956,20.615932801763364,21.128833828190402,21.811029871972924,22.550181440461888,23.237030282045453,23.795353179245097,24.152063623509292,24.18068361487786,22.114171685294494,19.22888470532948,19.031033130325536,19.156010450493486,19.6908027954697,20.654969149502968,21.686439567991066,22.28738951
7kg_10bpm,8BC,-27.12708019,-26.88713014620799,-26.33408968502374,-25.16507004010269,-23.658787041420265,-21.993558607547808,-20.535494851610107,-19.459829761628022,-18.83249181894042,-18.52984303868599,-18.35104572246161,-18.084638636340912,-17.59654815064263,-16.86777112344867,-15.961051683021326,-14.97946653478988,-13.983396417274358,-12.975631281824851,-11.981354342518541,-11.068430894337205,-10.321419856693707,-9.810216099490884,-9.536553308123182,-9.402429799720855,-9.250627276547462,-8.945127571141533,-8.418515847432833,-7.702986746436126,-6.896402141480576,-6.088187825619819,-5.32232020228149,-4.5871152745221835,-3.8707692891681043,-3.12302003642996,-2.308541281806243,-1.3824036293495603,-0.392844709728401,0.6035529246407418,1.4831936174239044,2.263283999892777,2.9824958623768425,3.6037451213358285,4.103186280609343,4.545174948057364,4.95193144967359,5.321968671945902,5.664017235189756,6.0027481761887005,6.395967738053067,6.939990919877525,7.695102526153844,8.643607854459358,9.69839303720319,10.685816344525534,11.488484124712608,12.093792518388781,12.579225599963339,13.062723318701913,13.645272233403489,14.336126763832251,15.114629469031719,15.932075626259103,16.731472397352164,17.477700736810633,18.17277850547077,18.927357624860914,19.818132544699647,20.827289638305114,21.891626925205262,22.94871032005329,23.808261881445095,24.330511722112227,24.40665912833394,24.04912380519493,23.39537205628659,22.77271551765212,22.21188626084951,21.736974672906943,21.38930100912842,21.121927706423833,20.882911114559843,20.708310224683203,20.636654990002018,20.739715408148186,21.048152856040947,21.564540942977224,22.21559118002492,22.9022675231989,23.491315911410783,23.91228218041662,24.131697889453427,24.170611734534006,24.071018078942643,23.90769274583473,23.82034381941335,24.0043578341753,24.626903970559738,25.787395100668807,27.153657211056082,28.190135893167906,22.86836633
7kg_10bpm,9BC,-22.12613703,-21.461850478863365,-20.714762808891592,-20.000794090559168,-19.410053460265136,-19.07566628,-18.991151242271716,-19.072621822819972,-19.02962434650534,-18.89276105657062,-18.6108193,-18.066804315604912,-17.285174706015376,-16.379101564826108,-15.504655790928851,-14.78008755,-14.254496992877316,-13.88366820444626,-13.62190383383841,-13.385634274233512,-13.13862864,-12.807134889572755,-12.314683792466367,-11.6151478516183,-10.74764321117961,-9.86698709,-9.112453138544042,-8.560792103238313,-8.215971384169858,-7.992695457412606,-7.72920751,-7.268841639059513,-6.622546337438276,-5.832671413866097,-4.9101295629369215,-3.87414653,-2.772568874169124,-1.6655718375183577,-0.6012844295372565,0.38967398913453744,1.29483655,2.1227174507576865,2.938033831903768,3.786815558370283,4.6387817544345085,5.3936924,5.978722725620289,6.410796815782437,6.779614833226775,7.210586058680671,7.80496706,8.586500400402153,9.498144161366197,10.44639815960721,11.355391432046687,12.167826049999999,12.851493665213775,13.408398745434841,13.91957168380548,14.448983262038622,14.981705089999998,15.453138993147045,15.88896000540301,16.31868940925892,16.738026677014684,17.14044025,17.490830377775954,17.643742108158637,17.618019615890884,17.333789953732857,16.8947645,16.416932327702302,16.061011742278687,15.957414277921606,16.024812519656585,16.242092229999997,16.51899212022698,16.76967519921593,16.89409614490402,16.859500580214178,16.71316086,16.55427976561928,16.4820861663135,16.615568750573964,17.011411231195098,17.67266361,18.486389520487474,19.29020826234634,19.83353911321891,20.022618067711516,19.92552935,19.672771518792636,19.413692447344197,19.29795590741531,19.454003751488727,19.911727410000005,20.764252471222708,22.039887671569215,23.339102661377613,23.931503740590713,23.99581591
7kg_10bpm,10BC,-29.69614903,-28.95518814608359,-27.251855883312327,-25.3222162318591,-23.712786555852848,-22.665863705911036,-22.23034446046357,-22.218365247636278,-22.373546616886884,-22.467874839248996,-22.290617359852245,-21.727412431005234,-20.841265016824035,-19.774328840725644,-18.64837596510448,-17.536260667619302,-16.504154717637892,-15.579534174730265,-14.751555572073448,-13.94229701368486,-13.128003275256233,-12.360004161126318,-11.70113586080738,-11.180150516588279,-10.756771331575097,-10.353846042901385,-9.918611226460442,-9.423216830304264,-8.87498622589835,-8.262340850991134,-7.662546848928084,-7.064690661103607,-6.415833738095955,-5.68558435815353,-4.882217194655577,-4.038752472071643,-3.17047504103188,-2.2743298794813254,-1.3134768378577026,-0.257346251281265,0.8726458019210626,1.927220064485696,2.801488519684711,3.4557176890975714,3.947522577922009,4.356148580881176,4.784975102579281,5.249244334294011,5.815275269225753,6.538849188894597,7.437533590332197,8.463551202030835,9.558161746642819,10.595583396655178,11.41644048118428,11.952566157422448,12.22693213967431,12.353472208385325,12.500536218496302,12.821775107509884,13.380204110943597,14.162702466407243,15.068019318801333,15.899155789912182,16.50537537877244,16.81651076162433,16.864862612433544,16.771056355093304,16.673465044173636,16.64315854334474,16.707953117490195,16.851158580163112,17.03191602795453,17.310639960180044,17.69293389704005,18.142195706375897,18.56082755802815,18.847185710059602,18.923745702807654,18.76740585361948,18.439598883801658,18.089568811134512,17.819694399143145,17.707462190192118,17.786475299716827,18.06735875505342,18.51242409138359,19.059340158582774,19.651699626362678,20.20675484004165,20.649882470195696,20.982917508997524,21.195677685000373,21.418296074956448,21.72964081061214,22.072416409339336,22.462287793871287,22.51385634092235,22.871256247981457,16.857383746435584,16.92270976
