cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,150.79658764,123.66558644382967,90.26513182964521,59.364951897157276,35.86818850992716,18.41281928504306,4.40129541994545,-6.186595371870549,-12.38269225761632,-14.421418001822731,-13.95133819,-12.930378705418686,-12.170453022389884,-10.855711089964572,-8.270944064399174,-6.141665698856513,-7.111461575908753,-10.657712384924404,-12.170385780154627,-7.717104348727606,0.6286945499999997,5.679827588921792,2.3811936969653837,-6.5420762001220645,-13.609530686593157,-15.00486456805954,-13.072904185827586,-11.365482311143825,-11.236535851458747,-12.739853601243484,-15.36877183,-17.853455733899846,-18.811327812656184,-18.13637095832734,-17.068076774137413,-16.516265290014623,-16.389723028516634,-16.540897314364997,-16.694634317788275,-16.12280731822063,-14.950367280000002,-14.766323977339347,-16.265453977344567,-17.51349215584073,-16.409626517077264,-13.540729638943198,-11.160030808342576,-10.598162677892349,-11.61037507469521,-12.824433667553265,-12.548601020000001,-10.54203519834305,-8.44090077543716,-7.86492125219054,-8.080328733892461,-6.752214056035855,-3.5489813285183667,-1.5208931840610151,-3.681100961966845,-8.612695736361863,-10.723583110000002,-6.380149735990651,0.5926203264775255,2.514896568976356,-3.329549771244374,-11.782468568308854,-15.298650082784185,-11.585480515468214,-5.782730929314978,-4.750425408579796,-9.7598154,-15.318096521020548,-15.133004262335906,-8.983900851541193,-3.1766938731127157,-4.25314094599561,-12.42163045393906,-21.566225407656518,-24.822252154301644,-19.904554331375095,-10.66669028,-3.1937090921381435,0.003187136185904667,0.8082936710798357,1.692655237423941,3.8374075866667456,8.80969934769701,18.594866394309868,33.07594584955586,49.2205598864392,63.211078380000004,73.32826654079047,81.84471796537999,93.22493430413772,109.52645545927841,127.8814606700773,142.6134386110812,150.5058789881359,153.5386794583503,156.44514500138098,161.90516148
15kg_10bpm,10BC,167.15297039,150.45842626730845,122.66745272585288,88.41681262162032,53.73372686320399,23.647651751259723,0.7772159685620592,-14.713214963822665,-23.78112596574467,-27.12125274144895,-25.467712574632777,-20.887008733735346,-16.641180523502236,-15.27922663767374,-16.913831496303576,-19.37637745602357,-20.16268958284544,-18.423574207610933,-15.28269633421803,-12.580483081904289,-11.371259160000001,-11.285896645763287,-11.31167402343835,-11.067818513548843,-11.054389553115344,-11.866000831248702,-13.466389847844992,-15.065011149017062,-15.554777109620447,-14.3548260323936,-11.880359220108108,-9.341918036569817,-8.01330495724016,-8.525302159064143,-10.57422031797864,-13.041121050988052,-14.474972999329733,-13.831921265221155,-11.148328776539714,-7.654451047840985,-5.1267075,-4.77539396346648,-6.412570368918714,-8.648861101969686,-9.932271913833228,-9.76232009894695,-9.193929816026168,-10.01227668309082,-13.116372244416082,-17.512789112089656,-20.697763033232512,-20.16896085937177,-15.107032131997602,-7.104392790831155,0.5462998811434332,4.559944878020833,3.325890906799777,-2.36805650371385,-9.759770435240284,-15.335580033499863,-16.34776262,-12.178803716190943,-4.822414684808971,2.1658230712980684,5.632494863876794,4.394924586505176,-0.4370992999155315,-6.228262987395228,-10.121126936289144,-10.304722542213185,-6.707843036847434,-1.0101115969337067,4.179001325154235,6.686293539120086,5.794428978213167,2.3312478679076287,-1.9270119588843881,-5.266254485937314,-6.981031866938361,-7.390303360755698,-6.99770554,-5.555961943287431,-1.7083804037101744,6.236159784914586,18.83079574945401,34.79692829501947,51.7778742841645,67.54836557255642,80.71797701395228,90.89425031201517,98.51509297748885,104.6536634107768,110.87863120995014,119.04265603800157,130.6919026625571,146.0009012633726,163.26233924856,179.95650570701505,194.3490960871713,205.5796756662005,212.43912771
15kg_10bpm,10CA,194.28095972,173.85673287897643,133.38247381360782,82.59059157606687,36.7825494142089,5.7143927677843385,-11.46356139571067,-20.638143470881047,-24.742007247899085,-22.233441644734917,-11.71419872,2.6371907798370495,12.674768042947331,13.889887989912767,7.649216372782989,-1.4072296382541496,-8.791247435517144,-11.869090901249127,-10.366301482848685,-6.746677217659686,-3.5913588900000004,-0.852640782901895,2.620857087672501,6.475634506680483,9.218266339066156,9.068217290010558,4.594047193651924,-3.6284354004431165,-10.93967152445568,-11.232219135424787,-4.144318900000001,2.542727100101946,0.7574839620989876,-8.054493777552711,-15.203282810013878,-15.868057826674752,-14.119547994107185,-16.331190433678668,-21.767694886252155,-23.91420817590322,-19.57504577,-12.713746885842674,-9.276561088983021,-10.56358980549051,-12.601205101698856,-11.772313068361242,-9.479504541039095,-9.19544538971761,-11.256786737142424,-13.226136114750567,-12.459564840000002,-7.868071699077108,-2.766602568127145,-3.6019772038486257,-11.42156052712859,-18.283597035877268,-16.265518658329352,-7.437027546793968,-1.1284493734692427,-2.4428735218427406,-7.13803364,-8.787901534462664,-7.708245972482106,-9.235074996798227,-13.624449607200422,-14.020793660230304,-8.030696031608644,-3.9035362077389526,-9.404250832619526,-19.38779349426775,-21.604363950000003,-13.505500863222332,-5.22193384660119,-5.441397253563257,-11.440289701249503,-14.837822485704544,-11.901739212501804,-5.034368374862898,2.3608119400338734,8.03203403772167,8.7236292,2.3706171764040085,-5.571763015089354,-4.890743547422132,6.427737746608726,17.931481006699194,19.68783963419844,14.404496269266712,11.907456138795123,16.378004037225942,25.19409434,36.91465229091206,53.84524390710469,76.5152133159036,99.68356461920284,115.93781576804929,122.40096319694317,123.19333944057657,125.76828632890141,133.0859551205082,139.54491659
15kg_10bpm,11AB,151.24672564,133.3396671096935,104.41855851941973,72.11507600786288,44.886601144954206,25.69875373570847,11.797828898071817,-0.6320697968575137,-12.387149562967956,-21.508812389310577,-25.741608258660833,-23.656722425603792,-15.574538895714303,-5.356455660588886,0.5333485445885617,-0.9778881242674631,-5.378637052483331,-5.650919447170193,-1.0524194314738882,2.1598514019673005,-0.6226349819356511,-6.067686132030217,-7.7221426030079465,-4.857172270537942,-2.400417667399798,-3.5567414400000006,-6.811749300661343,-9.331592765372143,-10.544555079030209,-11.935982220630251,-14.751203146100853,-18.40356057449373,-20.831896231967058,-20.844798305728105,-19.65304263194999,-19.207587781723895,-19.45966513563045,-18.35728735774126,-15.045398095750688,-12.15416645494144,-12.993940406789235,-17.126960840175883,-20.494853201578724,-19.631173693470366,-15.041119951290403,-10.24005730558652,-8.488891286443987,-10.9626794384155,-16.010938294903042,-19.361716320348222,-17.201823210000004,-10.41472684831308,-4.707995943085532,-4.97882936019219,-9.385036575337637,-11.351086199681282,-7.806865022978344,-2.971680112552949,-2.389992797867148,-5.483603910441122,-7.36703295528618,-6.4316266846538745,-6.159216815448976,-9.397617991943306,-14.079571877543934,-16.02516913384653,-13.801771207862641,-9.777290916273765,-7.431551657545594,-8.06313315384409,-10.08356803793868,-11.24037600045562,-11.54507390441829,-12.656930539090693,-13.904070811635965,-12.06136957,-6.356184141224524,-1.3690685919897212,-3.2871263148154113,-12.636602956489016,-22.408447862693972,-25.39941933869577,-22.059859536410332,-18.963829836134636,-19.853409924656457,-20.2595461483501,-11.852564982248419,9.222131332893747,38.300899615666104,64.76219923832876,79.0225572672598,78.66750979050092,69.36988320933732,61.21892122242251,63.26879609333328,78.60246912292925,103.73629559795485,132.19381848668976,158.18839082781767,177.76625833327662,188.60534115
15kg_10bpm,11BC,150.08736526,118.72868488082739,81.33195119212785,45.18417886104078,15.74509726559566,-4.910129148857732,-17.438373595773502,-23.693045656086497,-25.441350277343183,-23.97312441033344,-20.573679949234137,-16.824248046437702,-14.218822608014046,-13.472525406376427,-14.242999140266534,-15.40319470692437,-15.733759603833493,-14.713842537629317,-12.837797122643032,-11.083572832457131,-10.20521423934493,-10.58242631460526,-12.274290148692014,-14.692080581959347,-16.50288036123846,-16.444378661116016,-14.444688558467538,-11.781676283167164,-9.962737297850836,-9.38412139904162,-9.182711783748234,-8.156913397910946,-5.942060571342357,-3.644539312126441,-3.2624323372077177,-6.198711914130297,-11.934220917845083,-17.889168228998948,-20.787909248438318,-18.85520700289549,-13.321254521892072,-7.915147776006721,-6.533180738085578,-10.659487836190243,-18.196973349854122,-24.444152364077933,-24.872189098123076,-18.155851295885277,-7.557000727737614,0.8075351831898567,2.0814325921541683,-3.8215506101638796,-12.4343767154619,-18.25532706229637,-18.5021032250689,-14.155362149187981,-8.220713226676878,-3.265802744897604,-0.23877531162255095,1.002973534544866,0.6942358869610707,-0.9967660994825057,-3.456307894065993,-5.467811052959661,-6.1294560148446084,-5.934434658355515,-6.2581359767476075,-7.535262031739398,-8.416098708887171,-7.109270761557053,-3.3578243542808366,1.1244920636667513,3.995424410378966,4.017860923682409,1.8527739025384178,-0.6368505475660066,-1.9399849202244017,-2.1158492572920613,-2.4327740822465587,-3.8169063338820077,-5.925676649731162,-7.618854379895329,-8.01709863597847,-6.95210706478061,-4.460668486824889,0.0022683779284717875,7.70030208536224,19.82640498560151,36.29139087912995,55.08017399212531,72.98749761595505,87.22265785112376,96.84875824867264,103.27709474601059,109.51624528095357,118.44995094556192,131.17700386562387,146.7012411994871,163.13512612019707,178.8807261054581,192.37702773
15kg_10bpm,11CA,145.73448004,139.1072700031087,131.83182430778606,121.25970316550094,105.90971648364344,85.75419351434815,61.68594304763857,36.81391938100886,15.006700320456849,-2.2641224749403057,-14.881460178270958,-21.316483602581457,-19.948919910051405,-12.520223289944328,-3.491983227547617,3.610669360851617,7.1519117445429545,6.312583988948102,1.290566070601542,-5.377488235865021,-9.737554159080695,-9.61156919060616,-5.8412416600221695,-1.069828205373237,1.7977187263085597,1.4798916155654922,-0.2984368243719228,-0.771317986204151,0.6319532630592153,1.971904186648236,1.061460885860063,-2.3024417564457753,-6.413149874961762,-8.475034245683654,-6.328958681357674,-1.580054962940546,1.1776598327579175,-0.5549692289824861,-4.931718068035373,-8.430550417334391,-8.723048185814566,-5.955822276180537,-3.4367865622449183,-5.133070938408738,-11.083643664648408,-17.114806064161243,-19.381862496615565,-17.922104431603096,-15.638176351257032,-14.95932936469001,-15.695688900000002,-16.174062728112027,-15.276239304499889,-12.70762313704882,-9.310495992216861,-6.810962283669456,-6.178851294993339,-7.179762940002781,-9.115030430561385,-11.035779097054998,-12.246361872541792,-12.45126701165335,-10.866451760277002,-6.666651736749849,-1.385795340052954,0.988579741579474,-1.649945212876871,-6.913901634322599,-11.164082446382281,-13.15491286345552,-13.564945192486714,-12.828362832064629,-10.607629444006204,-7.075255855608693,-4.2780335507160085,-5.549072083927714,-12.020700299955825,-19.26707668197787,-19.26144642529787,-7.865105038496699,9.547712265570633,21.024803977031674,18.128544188768103,4.18531082497644,-8.630534226422581,-11.082079055110347,-4.2455908705718866,4.610764508420717,10.830495763459721,16.015612576903415,24.272101016539878,36.59149322506356,49.86788343720589,60.72501911831126,69.14575979908963,78.67739873052473,92.7886158993931,110.70949557635684,127.69866194159866,138.676719903901,142.33190046
15kg_10bpm,12AB,164.2287812,139.44837722986009,103.20289912214612,62.82515404127254,28.13905284491391,6.028786543356926,-3.792080042668858,-6.69391211177043,-7.880308491157845,-9.043448589496757,-9.412163283700995,-8.211377495723998,-5.668584006181923,-3.155232720183436,-2.2977672395297466,-3.5257059456340265,-5.826346862915322,-7.364054013348096,-7.24297400916808,-5.905444270020155,-4.29410161,-3.678341386695004,-5.252452413132111,-8.216913103161689,-9.67658654805241,-8.429328493371555,-6.819541821166708,-7.906113630831948,-11.465744938632103,-14.662813500632375,-15.989977608424331,-15.898776071397172,-14.829740989712134,-13.371568936348522,-13.227112862595286,-15.469141827385037,-18.42694036452556,-18.838332922688153,-16.28509678179732,-14.02193306355642,-14.091487690000001,-15.180497029099293,-15.577156898118401,-15.330766380981634,-15.512104137283025,-16.276395302689593,-15.902839459514885,-14.04574812338238,-13.827542272770636,-16.569866889244047,-17.604107760356175,-12.77913500634447,-5.966333475620409,-3.9924992019565138,-7.224582969752918,-9.700295530057062,-7.691602856863657,-4.484543456951611,-5.459101296700148,-10.72735447609259,-15.155381789999986,-15.232340321783374,-12.673128105900474,-10.629039494980132,-9.55159969352823,-8.240911038515488,-6.69331534379407,-6.882878316780617,-10.435059012689303,-15.758020565074727,-18.196314269732994,-14.980096413995593,-10.185179189601334,-9.948331037310016,-13.906601301297291,-16.896501587258744,-16.151892515756845,-12.575299535334809,-7.808625971589755,-3.6080290033451807,-1.68768911,-1.7444231261231777,-1.9412688578763153,-0.3767858183157775,4.787142521031672,14.738486806368458,28.078990856206723,40.11985292580827,46.67342274218155,47.48537183030365,46.15492300738865,48.606445916092156,59.18639083564365,77.53668584693521,99.47582507266755,120.39549539163981,137.16653739314881,147.6222534305878,151.45704864006348,151.34033395317925,151.26789936
15kg_10bpm,12BC,150.87993266,150.25555075214874,153.829473680592,162.09704041222147,170.76274629897145,172.82878577275707,162.90041872886604,140.29169000260927,108.76762499400057,73.83176060271845,40.09113509934619,10.623396365360659,-12.173525828652997,-26.316879424894108,-31.308657817380094,-29.132212521186545,-23.592716967796513,-18.38036004286317,-15.410015938126412,-14.412404365582075,-14.090355080623118,-13.52989269246168,-12.725640054822188,-12.329889702305577,-13.031816985473817,-14.894325970000002,-17.178302837550724,-18.83841352767674,-18.98075311958837,-17.22796576538802,-14.114703175915064,-10.842270389329444,-8.324534730224018,-6.685668939195164,-5.717652295917392,-5.473124764370269,-6.092741062929852,-7.379658157760786,-8.793239303410278,-9.752515863963115,-9.881319527953602,-9.30909987564451,-8.76983203474845,-8.99815228306919,-10.112477484857044,-11.54624226272859,-12.297325093867974,-11.439325257349044,-9.022197065067388,-6.462920907084919,-5.478420830000001,-6.456114411374893,-8.088088690665622,-8.73943656015497,-8.024122306637892,-6.74743761184844,-5.48530812789514,-4.203152820310855,-2.9892569176322863,-2.441214256177057,-3.359609413441696,-5.767897076578644,-7.992375577012717,-7.581270815178389,-3.9106745345964353,0.4888765437128876,1.8983252177310577,-1.0952530747659577,-6.186553175500384,-9.412619372474039,-8.682915827536535,-5.355275346745044,-2.5550338711600133,-2.268347312443489,-3.9831704525503704,-5.463702890000001,-4.452732870112687,-0.3761936744762306,4.696625411754116,7.000797684016255,4.103292534283431,-2.569912580644255,-8.609032916674298,-10.206206914009075,-6.68311390484526,0.6534809031822231,11.617267669825228,27.77879036505838,49.791651485007684,74.95163061071277,97.69457069215281,113.31158918765101,121.5752430302849,126.97407259737277,135.29216737858636,148.89656913841176,165.0097919901439,178.7821996757761,187.86415820586072,193.41742286613595,196.88057068
15kg_10bpm,13AB,148.99925162,131.9003973642633,111.38982765372396,90.57811064708764,70.47599054462157,50.53003971690382,30.959096479825178,14.368977916818011,4.226016869441312,1.2915439172840228,1.6156421746793923,-0.6288567688483553,-7.356658566605275,-14.388645416531888,-15.059495853496244,-7.262876827878145,3.349821805973817,8.001758670646682,3.43001290365689,-5.360748799335985,-11.117297894098753,-10.495001579522782,-4.741467506540851,1.7732005991885764,2.9875655225261597,-4.865632081740274,-17.96168118497753,-26.135824526641215,-23.19903882955043,-13.428594898654355,-6.269244198558002,-6.706637959416403,-12.371832740186996,-18.634023972074083,-23.12640894685326,-24.8220129719296,-22.955549072365827,-18.5643552800631,-14.210967465282001,-11.817257705842028,-11.816760893100465,-13.62469238138639,-16.05913949226518,-17.31430987427802,-16.013333896924212,-12.750788533738474,-10.374821571672625,-10.846707346241686,-12.08048700880728,-11.374688632930704,-9.95063252516362,-10.575363458202474,-12.68500527499176,-13.512094633723086,-11.993620519191255,-9.81035753292801,-9.147186344397912,-11.114331405704613,-14.363842931821356,-14.488437264369013,-9.104883671677575,-2.7310971493550777,-1.790080580426022,-6.27825623870071,-9.558104656576882,-7.263393605149099,-3.8459623616346823,-6.01500551022945,-12.20995392579747,-14.983396766547347,-11.220770431322753,-5.1450661849187265,-3.667561786009251,-9.176298532655096,-16.59064375602749,-19.339505046452935,-17.2700103188125,-15.424954942284895,-15.30394207816872,-13.020208528324982,-7.409744422789564,-3.9451918984339307,-8.060860684000431,-17.951004248971216,-26.66906694944934,-28.864664432149173,-22.450453085340914,-6.3513043103188735,19.272888890824596,50.10825170172935,76.55455859083463,88.23904229991851,83.10309927141535,72.11651269916368,70.99360144986687,86.55688966011266,113.92340445971803,144.17892631631184,169.63445111491401,185.11608539813534,189.07749258
15kg_10bpm,13BC,150.65361206,131.07597469686675,105.82502264631059,77.10088704343654,49.225502182683975,26.32754271109801,9.95825789611556,-1.2257063609571484,-9.81540530344189,-17.422584084112973,-23.645081559369462,-27.04119653119533,-26.887876370614848,-24.01563944961615,-20.28548967661137,-17.339282473449224,-15.688638405537317,-14.839785703044518,-13.861045561618576,-11.980069003359791,-9.135942371171906,-6.053424927184699,-3.810818079708556,-3.2226104550953343,-4.638955264630153,-7.917810183281906,-12.134638265914488,-15.615063779191043,-16.784614021958998,-15.31307443601483,-12.3538971892712,-9.620048327105016,-8.146752097993474,-7.7879094480428925,-7.747128579882612,-7.371969004137664,-6.39252070238892,-4.992030293759658,-3.923983362823972,-4.09905790113116,-5.737129568066984,-8.087616299607658,-10.002730174001803,-10.697252807942917,-10.218327519917278,-9.371932780252427,-9.12065201104916,-9.820184045210251,-10.723455544272241,-10.361677175186587,-7.867767566179608,-4.181448925981005,-1.8534548426555348,-3.162308232020424,-7.881964610071709,-13.054916729080064,-15.06892402394098,-12.170685792146752,-5.704297965252732,0.7389508616041138,3.8598421541613566,2.860417453190282,-0.5097309311078737,-3.757331872059099,-5.351265606552613,-5.00930413396379,-3.1123513750513636,-0.5446046830297839,1.062509457655453,0.03247114389606698,-3.580985033938847,-7.325756865588734,-8.197319589818346,-5.383934028338802,-0.952433123985568,2.024722094739776,1.9276571085140848,-0.4572442395606534,-3.122030873336361,-4.700910560228329,-5.213343744705924,-5.278339288047151,-4.699404966777256,-1.845731350358173,5.530139495417314,18.59506066849554,36.132832187627656,54.71478692866626,70.18660288205288,79.82732033400838,83.90854370903827,85.42634846632974,88.34482436835113,95.70123767120059,108.28179438478017,124.56481928840506,141.84761183204517,157.80145141055422,171.330081417021,182.38152307210564,190.85815406
