cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,64.44110225,48.77724400247292,28.079422548134094,7.183395582346769,-7.039527150180378,-10.810832009048324,-6.649069934550855,-0.7130801242267881,2.064259452290693,0.30131646395742745,-4.28571252875488,-8.480604457337343,-9.707437551619801,-8.447275709824723,-8.342752036323162,-12.198961197004365,-18.22029178877607,-20.993814705262963,-17.199632802690136,-10.142733708076664,-7.146547709735994,-11.740093196535943,-18.585580870210684,-18.921950573132882,-10.855833437029101,-1.9850575993044517,-2.3175296878267364,-14.372280275393095,-29.89629047835109,-37.32051556408658,-32.733370329239655,-22.207518617071553,-13.956763772123917,-11.798543534785798,-14.841583457599913,-19.4373004974942,-21.881145281382015,-21.24933695650794,-19.41928179666021,-18.54646307700672,-19.08867825279611,-20.207710853010802,-20.852835406706895,-20.586993829345474,-19.133449183648086,-15.64180589709381,-10.675316872958652,-7.472327688982906,-7.9944446531158615,-9.375071400416875,-6.933529509999999,0.15119523729284767,7.556888622738919,9.634601123825227,5.168237817078266,-0.8236386707951269,-2.762910738831737,-0.9020741722365331,0.09670986712836105,-1.789963293210916,-3.5556586955507834,-1.9318038267539293,1.8756934271366816,2.7265577515873107,-2.5634867407833166,-10.526220274744851,-14.764146581674254,-12.8829571117585,-7.6000073232592396,-2.7724080817374848,-0.8373626612274698,-2.4560634404983155,-6.24033596225594,-10.015546760726926,-12.270593459914473,-11.452648754266042,-7.5699094116320635,-4.39094367219796,-5.920105326494223,-11.569893530878543,-16.987010313457002,-18.68911403306203,-16.46843123932364,-12.758573819102956,-10.405322336748434,-10.187279834466878,-9.942241168444108,-7.179604852537366,-1.4472145458594907,6.122098219094448,14.158982311790682,22.15101436577651,29.995381976056137,37.300078151308696,44.044323806016884,51.44382333029648,60.451038629744076,69.39315599959006,75.4119696745221,79.07402140693613,85.9294647
7kg_10bpm,2AB,58.61801894,39.04651138418089,16.50875143937651,-2.5378907575645164,-13.427596404451567,-15.394765597144618,-11.28612873699543,-5.617810978149258,-2.1150529511732463,-2.077748833678423,-4.445311958569454,-7.458251043411505,-10.445433373025978,-13.836179714866244,-17.588052437032456,-20.133460691419103,-19.308445521583355,-14.44008230381601,-7.3984206194362105,-1.7067182832516097,-0.2672920788125046,-3.409740337583248,-8.85303114266863,-13.26786309671753,-14.711920500518781,-14.068580847115763,-13.690208722298449,-14.819673396459525,-16.65696745553759,-17.720935936472408,-17.681668515397963,-17.643885437463776,-18.840285664271214,-21.329337380163125,-23.694857237299235,-23.99361331265721,-21.405122115763334,-17.15547533719553,-13.448116092065236,-11.104619289526681,-8.66386412705559,-4.465885994822315,0.7626237876689322,3.7938773694758625,1.6017526788004173,-5.607223635720378,-13.957287958222928,-18.31529556321969,-15.912268330886674,-8.61228867834004,-1.2125048789661625,2.872607268435974,3.7479371000864075,3.476194260232411,3.466005482610533,3.609991896468162,3.048549910155261,1.1233605083093257,-1.9712553651147566,-5.200583608634694,-7.054668785359486,-6.116266374459936,-2.5038571776995004,1.0399596036859218,0.7062698969023621,-5.043742006611108,-13.36454256831709,-18.69046470425196,-17.131309587008452,-10.05310268867862,-3.5945280480643933,-3.598878389832836,-10.590588521088133,-19.640178342108207,-24.418953245893473,-21.413813940736897,-12.175175180203448,-2.6913272402477,0.3459597227461145,-5.34555486138148,-15.529708180049552,-22.811594024575477,-22.532295995038297,-16.072153587986325,-8.807459265543875,-4.8013925853437875,-3.007607387576136,1.287911520692514,11.601194855415095,26.79980236464127,41.95006965667979,52.07823440075465,55.543534995304896,54.958705205528204,54.89483635279144,57.80766267152013,62.33437616367447,65.54667114248426,65.94654980846445,64.39680013215823,62.94817039
7kg_10bpm,3AB,58.22381097,34.90386557830267,11.341744677226812,-6.907039282216942,-16.952000760146774,-19.40290612585341,-16.87311991782943,-12.033992702245838,-6.885571403045835,-3.1405303265201687,-2.263590767795376,-4.657592671281678,-8.948335119739273,-12.566967318866944,-13.541652932946036,-12.115034082391771,-10.608215642041415,-11.2228011778394,-13.704507744396961,-15.495519170993976,-14.255060435930151,-10.325771090802844,-6.962266411709691,-7.773980936224933,-13.369574354013968,-20.518423440202472,-24.766158543495397,-24.10869846450574,-20.223924228061577,-16.34121524999488,-14.692017164476583,-15.687744379757785,-18.457686130436137,-21.487731076901436,-22.987268090383765,-21.68496243731028,-17.890421228322175,-13.300002492758177,-9.757299431526882,-8.342027464645032,-9.035462449263859,-10.62109428696322,-11.301559252068373,-10.012597995638027,-7.441411778431016,-5.531449970672118,-5.5906989083732155,-6.418556403099045,-5.149793621878456,-0.7949616568593597,3.89597403,5.062985815407356,1.8301023391426507,-2.981144388705066,-5.737597253646965,-4.961968367312311,-1.733578350306192,1.9472239839575594,4.789302025677028,6.247562847551335,5.824277387457855,3.1571387317429482,-1.283425735410107,-6.053523968329489,-9.257110272072554,-9.438641246495024,-6.344277903741881,-1.283431760924071,3.0094158966577638,3.64683197817024,-0.3002728196355911,-6.900979307853236,-12.832738602843344,-15.603201711676052,-14.522516293362347,-10.580769205647238,-6.225337788422707,-4.366664498101773,-6.400593624976737,-10.951754194145073,-14.903094360993533,-15.877753322451905,-13.705331539496111,-9.758758568331798,-5.422558810889374,-1.3567521113295335,2.594244635293783,7.370978946786687,14.076533483920663,22.613404924507424,31.028253514622005,36.56017697981638,37.761939273528654,35.92000320933674,34.423984245433644,36.44132928421508,42.93869108580346,52.59665834767909,63.2725209867001,73.26288656517819,81.38712747
7kg_10bpm,4AB,63.61114317,39.77479558715075,15.554349912973894,-3.740408642518071,-15.455995192608134,-19.54772674623948,-17.765317715905233,-12.902880295277162,-7.956613906285879,-5.058005739586403,-4.669279397586062,-5.9376356339140735,-8.00575220058713,-10.79504664723346,-14.466089247356495,-18.288381855905026,-20.063696463770867,-17.301364887124887,-9.966360374540143,-1.9605629565722602,1.2396821923539587,-2.4501770475750937,-9.791080472892851,-15.883684516275864,-18.771203032481175,-19.688500241814484,-20.05491178358319,-19.87365609160859,-18.767458821289665,-17.00974241285596,-15.309863344057467,-14.251474371497254,-13.961159453200386,-14.101575374997598,-14.129086802968521,-13.684648016497535,-12.98655124462095,-12.801254636627313,-13.624764535336933,-14.905444088677026,-15.292108181071875,-13.970285415478171,-11.683365300284946,-10.057857572839008,-10.031719622455574,-11.222474177259445,-12.390565944190172,-12.270371468145033,-10.574737505725803,-8.175616941702994,-6.314356400413822,-5.9101990577136485,-7.069477497499957,-8.874831473785074,-9.623473578642928,-7.913790156984032,-3.7273420499858303,1.488248967750607,5.667806839206929,7.39024846649267,6.602044410351441,4.451876020672426,2.5433016916992477,1.5373980810734853,0.391312822045051,-2.2118744471136105,-5.6334482922615585,-7.197502766781275,-4.264895007929025,3.2494407631401967,11.383252477108778,13.504775103810632,4.616424328639714,-14.099358119548977,-34.41343340212002,-45.81734598574305,-42.69118415886348,-28.004562983872503,-10.920151386387268,-0.34633746419259936,0.7203409277709364,-4.186145876089577,-8.992102007869386,-9.739236580929408,-6.333020300968219,-0.5617041393682185,7.132283008402304,18.27167567989187,33.426589678911306,49.37228902157828,60.12908069513669,61.09405444792177,52.56630194347984,39.91530475937917,30.518217290616025,29.559978381723116,37.338837156064145,49.8669118292068,62.042929678715765,70.53298345660063,74.46806192
7kg_10bpm,5AB,62.8334063,42.44141479372605,20.85822666144717,2.424738668851682,-9.479220063519113,-13.85971869,-12.565663683258435,-9.218369336083871,-7.249232937436883,-7.956777434253458,-9.896271090000003,-10.494249767519804,-8.620185041882113,-5.803202361638336,-4.966223351887204,-7.666230099999987,-12.285947259566202,-15.049457622058569,-13.12026161701139,-7.004277979785427,-0.31489970000000017,2.737918697337539,0.04678032197732089,-7.179758758676786,-15.429611362594054,-21.409545380000004,-23.87240532663509,-23.550558813671007,-22.051922719165027,-20.931436066412466,-20.881414649999993,-21.267305496136615,-20.656486719433715,-18.229985556651755,-14.880710168289328,-12.538494630000002,-12.259416781003411,-13.286077215247232,-14.080719504653443,-13.79374697915223,-12.705769229999998,-11.594979672156548,-10.81547143696458,-10.128489703869363,-9.262588555258052,-8.22066806,-7.061121275822518,-5.7537231596308995,-4.414921946828572,-3.391053733154114,-2.99531197,-3.30275747391682,-3.9269440858222966,-4.139202545135213,-3.696895710863948,-3.1979869799999996,-3.331630988401956,-3.786786376786922,-3.168870040616502,-0.21932752054171847,4.562443579999946,8.38311928221753,8.113511958505892,3.2989680363160456,-2.9166728482927735,-6.019577739999999,-3.7202420636368236,2.1439015652880853,7.238952801959164,8.107885224421068,4.327359279999999,-1.9487308727000174,-7.976371341816466,-12.010693657193444,-13.648329947466747,-13.58243917,-13.119279742853664,-13.328098163014499,-14.4174589500519,-15.90320901930192,-17.1447057,-17.589343949303085,-16.628901219050093,-13.776681811926878,-9.2186462554642,-3.718406740000064,2.3311968333923216,9.280347274497773,17.47919736474828,26.400613767334043,34.39006216,39.15337455432119,39.16355799159118,35.58333105454941,32.613698423273206,34.84484292,43.96160600783445,57.85735351051808,72.50772010366445,84.27530629234323,90.91879653
7kg_10bpm,6AB,64.25571354,42.008405224738496,16.898520785298313,-6.554017386217255,-23.438270133125112,-30.415249765944854,-27.33510825066996,-17.56873422806146,-6.623037875663359,0.5287732973464376,1.6664874656575313,-2.110200078525114,-7.48804215602689,-11.075971601639454,-11.414354704291018,-9.623545045795352,-8.115889494286156,-8.332674972497133,-9.502854273723877,-9.530795201363272,-7.426941202671776,-4.753887769011858,-4.4209215857714845,-8.048641823358597,-14.482228976012696,-20.89900939931127,-25.022299975662452,-26.160603254944203,-24.84435811848266,-22.11078905897188,-19.175967035399935,-17.17642931365639,-16.64898389171409,-17.265407409865723,-18.217929758989435,-18.871174140652734,-18.888660486001346,-17.829171628328385,-15.15469894216395,-10.901367920121583,-6.339435245756182,-3.68931661923099,-4.587412152792889,-8.53027082014354,-12.903572241471291,-14.675571145158631,-12.514254352824432,-7.631944017879257,-2.6476790113265127,0.37192604377023575,1.05275424,0.5011143510607727,0.4677785938616347,2.29014276710364,5.852558568159007,9.223988369564806,9.60293047672866,5.435206255966922,-1.9822764952965077,-9.02317000458781,-12.28531613644017,-11.034075047110035,-7.486345021582451,-4.777218984539367,-4.285302013903117,-4.8246574447036865,-4.3896356603565065,-2.331627058288815,-0.12021800422470652,-0.11801375276772788,-3.352574316433772,-8.503595608709844,-12.93692711277597,-14.825878006903858,-14.445632426680486,-13.467755422566277,-13.196365924543585,-13.595962005831081,-13.716814188649705,-12.746938146742664,-10.598062479660742,-7.74274084787548,-4.713069455603667,-1.7985595562745444,1.0094048720966309,4.087890592043226,8.059770844963303,13.23149455231218,19.109524428374648,24.495819919030087,28.185590595237734,29.69866661997237,29.28655722471539,27.529297077597136,25.3798902059997,24.313919492994895,26.141899676898422,32.3827765402529,43.22842103441781,57.001968454364864,70.84794176
7kg_10bpm,7AB,60.34495531,38.68988479214058,18.207411390553872,0.9058282821739857,-11.619789113320978,-18.141733467031294,-18.74894963975066,-15.209301930091241,-10.16993504467806,-6.04060459591332,-3.883449455885724,-3.369135867299596,-3.960935837941839,-5.882688779181793,-9.746104168697151,-14.939291968879717,-18.9375817807048,-18.866261296661495,-13.867484987440632,-6.292139870145898,-0.6560493435874029,-0.6714039922077681,-6.178156929056595,-13.019717394754744,-16.869110648367602,-16.703530466893714,-14.54482798632527,-13.109524877052149,-13.796156294273501,-15.783830718113615,-17.037417078389623,-16.708821665830715,-16.09254856768713,-16.734306247897933,-18.40068179424402,-19.40883199709596,-18.584354799057948,-16.452533388528188,-14.617747378400736,-13.924535582118182,-13.100874444965415,-9.923363993824564,-4.109108257511291,1.1005098649607032,1.084250417150098,-5.732144615139719,-15.306635076949195,-20.548754824193086,-17.265953221548212,-7.802773526904985,1.1966922869702947,4.384450616673616,1.360668451663091,-4.1739952491931165,-7.584426029910778,-6.291767330128322,-1.225341101536058,3.9896173472110164,5.853578645615312,3.8203295501528887,0.4489741212206713,-1.334534425021451,-1.3509688877077701,-2.2919235208582074,-6.023770128199057,-10.73763461148883,-12.7365092125599,-10.245616726973209,-5.09965344785311,-0.7881471466676185,0.6145511052750315,-0.6063693562564441,-3.0312502300105733,-5.5124792623709435,-7.5067929450689945,-9.123725468392708,-11.227118943180999,-14.811437294623296,-19.76302196110271,-24.481394949210333,-27.22480481649209,-27.671360335786616,-26.532790021665555,-23.982446799340174,-19.28568250445507,-11.609159238947981,-0.7935095130171756,12.110627142435185,24.60956598517339,33.65053873860693,37.16024069893609,35.146739554074905,29.98050900222988,25.424587751350476,24.672872080030377,29.131089684273043,38.870625622095226,52.93287189252416,68.89193093426283,83.21689753798367,92.65181298
7kg_10bpm,8AB,68.17203558,48.189910723836164,25.523834207367532,3.707371718714761,-13.190408202316231,-21.773329887616743,-21.499348889733636,-15.559311438417108,-8.510561532398269,-3.280976933504946,-0.21496979570150265,1.5018517500171795,2.0275793172712517,0.8074264945212466,-2.369909099281019,-6.727336586697805,-10.775309921890615,-13.133898018251616,-13.47276305313691,-12.841546194392373,-12.896435096508155,-14.573794795366814,-17.06990244606986,-18.174678912250975,-16.485971635103603,-13.416574508873248,-12.18706332557041,-14.491832106258574,-18.55411968090915,-20.763022778998604,-19.502292013137986,-16.687480236178125,-15.047602163152774,-15.167195579664623,-15.650292685403631,-15.406356315458407,-15.042071547626168,-15.641597135261785,-16.568476344662383,-15.76572261467099,-12.56091307476978,-9.09493949915839,-8.067789616016794,-9.622073790009903,-11.308721453305774,-10.815284940856003,-8.063219572892871,-4.650063887226092,-2.042394847865366,-0.7403103489393797,-0.49024012999999994,-0.6158158347267787,-0.2734254301748367,0.8663209045322051,1.741834429329644,0.5705639484339801,-3.0842203894869544,-6.873539830071104,-7.639142612845406,-4.931409441148619,-1.6151261270874293,-0.8011321608470899,-2.856018213261308,-5.430169575651251,-6.231703559524816,-5.479848909254315,-5.222548580297276,-6.455921475903689,-7.856277812787096,-7.821479884418436,-7.0939359023620385,-8.287818202617835,-12.380061943822136,-16.835162390812854,-17.843121079382268,-13.849921778149012,-7.083939612173177,-1.9146103030677233,-1.8327084005155478,-7.271109877666879,-15.461180756311657,-22.286453110392856,-24.814000506768608,-22.79617099452735,-18.113601019430316,-12.765620119820587,-7.373038832358115,-1.3500187711990543,5.974967108263524,14.541834433489132,23.157365471003516,29.61754058728347,31.942645608589256,30.25291480242138,27.218825870000128,26.58726400142588,31.211323292050366,41.91260829009297,57.291406700466034,74.2213965368793,88.81677834
7kg_10bpm,10AB,67.25406826,46.53336345125152,24.037971387553824,4.543424123822137,-10.005963356722233,-18.308344056980566,-19.29348071298165,-14.709386936962945,-9.184288000569385,-5.680368473500852,-3.152746467777881,-0.5669572291790782,-0.2022911452829148,-4.890079346079132,-12.605581248008972,-16.549584905438234,-12.7011233774355,-5.568431383789062,-3.6300255231901826,-9.223591188915655,-15.295075745437304,-14.213271380802162,-8.290614299621586,-6.7113613343161544,-12.570728258688124,-19.259318345678675,-20.0306616523807,-15.530488256508772,-10.37385284572611,-7.806501275132341,-9.003035525841739,-13.296943287645732,-17.650483535732953,-18.479288480357862,-15.114695405808028,-10.625110664466522,-9.170040189252386,-11.867969197541543,-15.582588801916513,-16.75777571839337,-15.064772350186967,-13.097892476988108,-12.953253186639092,-14.361568645822254,-15.635131679522562,-15.65442413825464,-14.611534891715856,-12.821519000155554,-10.425750593568377,-7.801388947478472,-5.450351630000001,-3.3556495542797173,-1.5557758023995818,-1.311890519087668,-3.7433497347951477,-7.137543621960198,-7.829838122958209,-5.093494146788164,-2.0361310969597874,-1.268863650673504,-2.23387196836417,-2.6657393298137753,-1.2807641245008596,1.2758297729501535,4.594227872452311,9.093232506208546,11.60735609941127,5.135427429306835,-14.034426931263493,-39.91185091035716,-56.61209054292197,-48.99131210924549,-17.193334635217134,20.932842976136193,42.52244909928666,35.864844659756926,7.24652195247387,-23.238867906376562,-34.204222533598646,-18.340617699380708,11.227225864331443,31.88886125950306,30.51739770698237,12.214911474187865,-6.815190266911234,-12.450257715246202,-1.0585509282874193,20.109010935388525,38.095712078938064,43.05941514546344,35.36191013177417,24.349719963217773,20.716145752769236,29.105184395494916,46.011272119354864,63.01814956857908,72.08585815084528,70.0155533807256,60.546353351712824,52.075598296584296,51.15534984
7kg_10bpm,11AB,68.51243664,36.84533927754632,5.1202758973393765,-16.13349008856664,-22.777193285228563,-18.686069591354407,-11.286925226319978,-5.906416505395793,-3.7224942581424614,-3.0814210696923277,-2.3226969408964813,-1.6276369911366642,-2.01958411561612,-3.2290013329083833,-3.687608941051679,-3.0336954501228637,-3.6519025682994384,-8.093352697508951,-14.760062236760795,-18.266123120617696,-15.791234350000003,-10.99304727355863,-9.343910590484835,-11.187110370977205,-12.77431311724509,-13.245420593546733,-15.317252788365836,-18.926989927621744,-19.74793167833559,-15.499394954050596,-9.497032219955635,-6.588826853923113,-8.064798044207711,-11.491311093825438,-13.919325735246387,-14.813885735510063,-15.837255164149152,-17.358293724553086,-17.127198561588603,-13.992018233207585,-10.09715782,-8.627866620580907,-10.104095929965633,-11.537176319147452,-10.694800387032574,-8.568296323450328,-7.634778973483463,-8.730237998222222,-8.850784153140792,-5.564992964168338,-1.9270824968380724,-2.3217357679505946,-6.026034443507658,-8.546492065130552,-7.86073806930397,-6.172824365716384,-6.032239526900445,-6.943104327440238,-5.917185759074148,-0.6216543552416967,7.56905381,12.740544800781802,9.387059303031297,-0.6818912164181179,-10.871918644755947,-19.420995395805683,-29.87250208564626,-40.13010730395344,-38.295443180766675,-17.390589158291547,10.89302057210976,28.169757265679937,26.885914618997788,11.857892891297197,-5.743611615261483,-15.728902177774877,-15.100648899447968,-9.260861484080285,-5.558439069132413,-5.786515200025067,-6.5155533100000005,-4.564145718892865,0.9326496685750568,9.447979004851137,18.749006317381752,24.703241880503576,24.087107954482093,17.856264975234726,10.777999613374233,7.781603866572698,10.821573085246587,18.63453355005526,28.256349413052202,36.76620120561842,42.1937324357765,44.456259353915875,45.472534745602836,47.501576805469234,52.00684699308556,58.859616226657764,66.06298301
