cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,64.87916712,38.08082604279546,12.893060509139538,-7.096474043723096,-20.719403799486532,-28.77717886,-32.563384574444626,-32.98418909590808,-30.979804215914996,-28.075938240288835,-26.195822370000002,-26.63204029301655,-29.093164385745204,-31.949127535893755,-33.26723209651713,-32.056944949999995,-29.05440277401315,-26.150057266357287,-24.823525994892698,-24.97427299991407,-25.24930947,-24.374294169248497,-22.043055828854776,-18.69734991598733,-14.75299373173462,-10.340571440000002,-5.890523935422805,-2.637231797164033,-1.9749068015412652,-4.150990752945662,-7.73525654999998,-10.621771881348964,-11.50919690105009,-10.419851790804517,-8.237778686321052,-6.06410068,-4.698808902989581,-4.3581305906789884,-4.756112383922989,-5.3558358861515964,-5.61718477,-5.3362176499418466,-5.05691782041793,-5.922946727256671,-8.610485273173236,-12.192748179999999,-14.455171235024283,-13.723322285613465,-10.472865812090964,-7.016109426420353,-5.56137274,-6.615055536549734,-8.881682740208522,-10.429984723802267,-10.032439759260226,-7.7923122,-4.758966391498613,-2.0014308638256706,-0.23365372875447182,-0.01893047087870734,-1.7386243599999707,-5.0643091674014435,-8.776554251303645,-11.338914353983975,-11.609396279398826,-9.448604429999998,-6.01739977678231,-3.428624197469838,-3.4364992738562883,-5.893847962044114,-8.62571132,-9.164591137080468,-6.765709004732756,-2.7779621154601197,0.6174379413635109,1.9861816900000002,1.2379651952696311,-0.8380952918577916,-3.3210946185759864,-5.646969029801568,-7.65475553,-9.324505816511534,-10.499469892566893,-10.769691490976001,-9.744607192649038,-7.313030330000036,-3.3530558938817516,2.617542519072782,11.091721946459767,21.577587438180572,32.22401743999999,40.788302518567995,46.200720615355436,49.37153120360845,52.38912289663294,56.51706616,60.77626282839858,62.75657909449334,61.255781205713056,58.08396505437181,57.0376508
7kg_10bpm,2BC,51.43938974,30.841084102615984,12.409145204377642,-2.428588830553855,-13.295228968020309,-20.301460300538054,-23.77866596144788,-24.300043443728182,-22.82651724200757,-20.776226220314317,-19.761631959984133,-20.973010084828157,-24.532237364372865,-29.37150043358454,-33.83017853975564,-36.433716029520276,-36.44922841513089,-34.199249211389954,-30.861819127706973,-27.68877147794907,-25.276244099999996,-23.476313220186213,-21.70819275906684,-19.379339807394373,-16.254339191399147,-12.606412432179738,-9.135076707493946,-6.720411691816146,-5.94711843537847,-6.750918118592824,-8.369511479570852,-9.850498937156344,-10.643247935172754,-10.713691430290998,-10.289069788997796,-9.603769808851698,-8.75663869797658,-7.794602284648122,-6.911411731670619,-6.476666113163161,-6.72316721,-7.37312086693113,-7.672197543135245,-6.930604622396735,-5.1338084380043485,-3.076295415972089,-1.8503439185847639,-2.1181008832852397,-3.790222811715186,-6.152789461545469,-8.238890441533274,-9.220672563936118,-8.64957476537551,-6.6104014837530505,-3.7718333327225064,-1.2592049164674801,-0.29327572250999046,-1.546856190926444,-4.527125860892635,-7.758219950828528,-9.89775627,-10.679666352094191,-10.636932692716826,-10.013603216255541,-8.268963777537545,-4.896091805338582,-0.5689166196130497,2.891506029146389,3.8552419965633264,2.165177251775333,-0.8703436362778056,-3.553923771688484,-4.906479900377092,-5.114284939917774,-5.136254476486557,-5.782318874183645,-6.9962524537116275,-7.969950893009966,-7.856529738813947,-6.217755665153762,-2.86177961,2.3658613801199024,9.363347152241444,17.314646428039577,24.617911546124,29.553947449066687,31.269259915691567,30.288451768128798,28.258715802768258,27.184088537824444,28.68327122804214,33.69998593589311,42.441933922011025,54.08782639812104,66.55970873167125,76.88656769508965,82.46383803815833,82.49632864277247,78.46983294460657,73.38445507905752,70.34892945
7kg_10bpm,3BC,50.62090031,27.191746838870227,5.519234165660162,-11.230724619110092,-21.80720873933943,-26.75540656671951,-27.660482826265493,-26.295741432647738,-24.211713402897033,-22.57101826652303,-22.00648997545331,-22.526992084131273,-23.54713442877919,-24.286018926680274,-24.33305960148474,-23.82055318323113,-23.132340430731155,-22.60748020482263,-22.486810822204447,-22.7449059360187,-22.927012441521345,-22.309924541150142,-20.34762264568689,-17.03871136852694,-12.915168421019303,-8.790891324952195,-5.488306103121482,-3.632015044504486,-3.530855253929678,-5.075060215233146,-7.6801893631494815,-10.354930208886248,-11.96909801756156,-11.816328540276839,-10.117945021327047,-7.868597334392196,-6.10686684418806,-5.254987797912328,-5.158260509189285,-5.647763923624669,-6.843593782588487,-8.83695773030018,-11.274922765520577,-13.271457509701765,-13.694659294544007,-11.850691157399693,-8.12585083791264,-3.886717719404608,-0.6496846814796621,0.7258763120251701,0.36495212395314564,-0.9610140057367533,-2.583406182159548,-4.277230981927552,-5.908103225289869,-7.07729110467997,-7.3088958001702125,-6.527706929802834,-5.298165882914566,-4.521355937964713,-4.7584984667538714,-5.670188051344263,-6.045009167660104,-4.576293163249043,-1.000998489501867,3.371396338458745,6.450868305918711,6.766337818009276,4.358202995632337,0.7056663753152389,-2.3021763025044994,-3.6962318312554725,-3.974872983069095,-4.388932656229087,-5.688170805974368,-7.417349368825651,-8.21348610584242,-6.8255425547823405,-3.0702629256489904,2.034844070523579,7.0212059929695885,11.02504690124025,14.175811111200371,17.01330005308014,19.791330247138372,22.528251400910584,25.463813913614988,29.08129183262504,33.68086356907174,39.20545495022551,45.53790762717608,52.7359263420124,60.81127331284836,69.25547867950857,76.78491942278221,81.76390297322067,83.22644208846116,81.87308701466871,80.14483732544495,80.92251450978368,85.58797934
7kg_10bpm,4BC,40.76295238,17.593414033604567,-2.9682801003808654,-19.15159658869737,-29.892546455968624,-34.77333017390115,-34.266648979670286,-29.874307647949454,-24.002357955979598,-19.305372556931687,-17.66732249398849,-19.45321426014431,-23.39821313520445,-27.2612326588341,-29.116361902626338,-28.479358701387618,-26.399180989931864,-24.493545599997077,-23.757354970762687,-23.940114997453758,-23.908856691092854,-22.590059033297354,-19.62781210725027,-15.465613751092695,-11.083655052486815,-7.538108494403875,-5.506371365795689,-4.992900201846432,-5.4751399893865855,-6.291048037932636,-7.0054235387741075,-7.535156439520039,-7.983796588038798,-8.412857596369689,-8.78198840630426,-8.991384247193965,-8.96522345879104,-8.79237571123401,-8.648137228985526,-8.768133202424345,-9.249454390816169,-9.845141684874186,-10.025683101685043,-9.420967775970178,-8.276990716793494,-7.400831483461619,-7.526389387118065,-8.62569022334221,-9.800966816519516,-9.931432547234522,-8.51831836317956,-5.906316397705809,-2.899322202105974,-0.29944724542811674,1.2939460681420003,1.5050319170972095,0.4001690702984607,-1.4378038508986286,-3.3147684887987645,-4.66381725660573,-4.950050315113568,-3.69585559052758,-0.8204514633737966,2.8490818093485597,5.449626160185277,4.983238819171003,0.9766184823205509,-4.605713978707249,-8.404550364753604,-8.04985812073333,-3.8705332283826426,1.4099096627313872,4.543955733657956,3.8260279305550653,0.06247163018683882,-4.1408020527577305,-6.2895495763334335,-5.704844607418431,-3.7139541007373724,-2.2151412147470833,-1.874322006984056,-1.551608585364029,0.59945422616365,5.428287712256204,11.908563834414519,17.727476034745433,20.763936688185325,20.329967939408533,17.733046992274076,15.964064720165151,18.257835153432364,26.209801396100776,38.84613555844772,53.28620233754899,66.32625967160725,75.8283391390987,81.30041249276586,83.62674350192626,84.49254465949878,85.82411311365773,89.06354087
7kg_10bpm,5BC,50.68777555,29.716119460341012,9.8566148943143,-6.006638684024036,-17.031091593031743,-23.964819795594977,-27.76809730271264,-28.91890143027232,-27.830446318801904,-25.353704849833782,-22.659548756801705,-20.74264867117441,-20.04141412997431,-20.293227538281666,-20.695157455893746,-20.51904834226232,-19.70305704893721,-18.86394002745203,-18.726731412114965,-19.47695847913141,-20.559138277924237,-21.08377516025839,-20.46134128698042,-18.810549974847028,-16.84596932222428,-15.263529818628967,-14.189038205581031,-13.150940548227197,-11.604963781685855,-9.475725484650026,-7.192498280134182,-5.394888991521078,-4.6719010629461915,-5.339332417707749,-7.186337369957432,-9.457579596731405,-11.200568328104305,-11.716128851640475,-10.893514912527184,-9.149359374992766,-7.261196372412203,-5.925732632410343,-5.365351688128391,-5.374894064123893,-5.76724311668323,-6.589200174392499,-7.857987132056366,-9.207873788567637,-9.973577996562184,-9.663011949824444,-8.305818330738463,-6.373188102844418,-4.293929829090553,-2.1520963957552177,-0.05169373696088608,1.3020107640116136,0.7755136528773665,-2.2552832438490107,-7.051499742361872,-11.529120771020747,-13.44166163800255,-11.927015437806961,-8.021168076997608,-3.857746973765714,-1.298544225902221,-1.0793931259945404,-2.837335067155452,-5.448710031575426,-7.347858864094133,-7.047564818137546,-4.0805160500767075,0.3423318885324946,3.8667906989026424,4.488115161032796,1.9192132195694873,-2.2453292558626874,-5.565147963373923,-6.186814330378908,-3.910150497139747,-0.2673698939886778,2.4766722771934786,2.7490555865464055,0.6949269333022678,-1.8659670960369539,-2.443104149610317,0.8919515961637344,8.544412454198747,19.173964193464414,30.444732430886898,40.22078982649873,47.44741647495816,52.4241950465326,56.63944038410746,62.23653703628802,70.91624081089013,82.50661063974687,94.35494700258114,102.43315889101655,103.48193776948762,96.71742891955637,84.26173603
7kg_10bpm,6BC,55.85444581,37.51516969037688,16.69996585308488,-3.071748358102835,-18.821835130726015,-29.03790324946062,-33.69213330182901,-33.74607393876194,-30.78919712931946,-26.690919913181485,-23.1333051449343,-21.11382067102829,-20.759007033338392,-21.526261448239897,-22.556048864959596,-22.966098378289065,-22.202920550203228,-20.31661999356668,-18.04093778740526,-16.366529844655698,-15.798611760448692,-15.995744529364007,-16.06092408271051,-15.203607679128233,-13.240960676967479,-10.86794337,-9.031040110271704,-7.982114580615526,-7.1993346858088545,-6.276291644580117,-5.6359023186690065,-6.171794256608807,-8.042287560367855,-10.211824397274546,-11.25614429959073,-10.406857442509793,-7.806706937255382,-4.541814134764518,-2.2914092036941702,-2.3966303114854037,-4.923690390295076,-8.635282439607815,-11.884044834459953,-13.407997664704228,-12.768637485201877,-10.632164377047033,-8.467714415894948,-7.504426676177341,-7.691227979872213,-7.699619162708298,-6.065143709999999,-2.5709758282646042,1.2336748107764386,2.936012872205609,1.100416533428291,-3.238483451531101,-6.8380807406133535,-6.7178755631333065,-2.790163084110501,1.9201733291061878,3.779891430403392,1.6216735099656583,-2.249600136527474,-4.398997681794149,-3.608094061124126,-1.6925034814547408,-1.1016170687812366,-2.2324113244955672,-3.397517558109029,-3.0676201632875966,-1.579843931438465,-0.6231836114294079,-1.3393491407146374,-3.046480465151582,-3.913927695849606,-2.8230796599999994,-0.6271329072670417,0.32974864925037917,-1.6904457415851528,-5.857132214998092,-8.983354813699561,-8.041915997723486,-2.6315423387872747,5.116288058945927,12.643955074736892,18.643385029996335,23.04619193905423,26.26066398927657,29.06301483894871,32.84137945616596,38.94610012798922,47.31568699387344,55.95469148837651,62.21153125215331,64.88806860914185,65.25830892095564,66.16354024277348,70.18188059338281,78.42353253328535,90.1088706596677,102.38651972
7kg_10bpm,7BC,73.45298883,47.942863541129924,21.439410308955246,-1.8622156715497722,-18.93721259469995,-28.266371619517003,-30.297636312305052,-27.34232235932912,-22.67506337241635,-19.427232463789505,-19.489706331262212,-22.593978885995295,-26.446576491836744,-28.1987541445424,-26.458619098557367,-22.36444149654713,-18.691434456200355,-17.747516444514325,-19.49474681167537,-21.487386223351848,-20.954128319999995,-16.974941418326797,-11.045932116596022,-5.862955045427378,-3.7055243520121444,-5.1218552019166035,-8.693269017928703,-12.076663998992956,-13.60106045838352,-13.020439309016187,-11.064992097473644,-8.644176647723368,-6.368937981757569,-4.413857789028588,-2.7712932210823826,-1.4563208182153515,-0.6661617934164786,-0.8529614728143579,-2.468947079474563,-5.536913727881431,-9.233589890000001,-11.975829140263103,-12.424697393890476,-10.717405598655876,-8.616822825989997,-8.097936043213823,-9.456184598006166,-10.880738062268241,-10.218000265560606,-7.035501160389318,-3.069378093455839,-0.8160559068017476,-1.4533727036177764,-3.953837331463665,-6.253463403377121,-7.109390155584667,-6.510125559009589,-4.929054691733171,-2.9385445217392347,-1.3002862381552431,-0.86759064,-2.0067698033140853,-4.159656315703069,-6.005497414210644,-6.24162688128425,-4.594472699834104,-2.1394687187431525,-0.4265946165739274,-0.1673726914684835,-0.883990090857381,-1.6332886928888564,-1.9762960435409713,-2.3253267409508838,-3.416917150680514,-5.357868552780118,-7.081601180688582,-6.933086152836471,-4.126236843120279,0.34272091692492734,4.247245259122578,5.689785990000001,4.228640374286551,1.0307992538295694,-1.734318755104157,-1.8944541981436058,2.033633610826482,10.457855880964383,22.310695359810875,35.071157428187135,45.70648466234709,52.052715413629734,53.59013739933527,51.3431993092804,47.319685578277095,44.09531699436902,44.62074329217669,51.60238835310909,66.02838275970782,85.84444419636873,105.78741893668648,118.7899485
7kg_10bpm,8BC,72.48699221,49.985720138806535,25.392104632227706,4.583496717221297,-9.260951809587853,-16.5208836570055,-19.78831205838067,-21.551128210250262,-23.058276135433083,-24.433793355961843,-25.1359459957474,-24.567999809329415,-22.720404825795125,-20.383721201592774,-18.696486068448145,-18.47396184814668,-19.6582775308779,-21.084547966584196,-21.087326346504657,-18.52924575390271,-13.581114339346016,-7.735409000383182,-2.967840143330874,-0.6265170462688366,-1.0638824914948475,-3.8430634969336452,-7.932853624726917,-12.043737131870321,-14.94038615845972,-15.681880468727925,-14.022788770463626,-10.53022526676483,-6.580665490078363,-4.019321511580567,-4.151176037855147,-6.874461957867607,-10.651493427058469,-13.43257545153658,-13.985662188782927,-12.557087128548199,-10.503106464792106,-9.276705795790358,-9.309341109375481,-9.444508266161591,-7.8815621260450355,-4.110117234444493,0.146441066686928,1.8541723487657518,-1.0399354479155776,-7.579974880346475,-13.91432529580208,-16.030865251539634,-12.638206185727983,-6.087377439148078,-0.7166718840821571,0.13544891287861982,-3.681962913487206,-9.085970830797704,-11.810161039514798,-9.382182722829493,-2.97714779875328,3.4037198766221866,5.732146962761319,2.9033280729099533,-2.650254980195008,-7.265583677309349,-8.81787798211587,-7.466161425675687,-4.427984701943449,-0.889169279898321,1.877107331183992,2.4321014144121125,0.12857793600394973,-3.947066976796065,-7.615362218229257,-9.331572249761162,-9.020212137998653,-7.216995817786443,-4.318357316459361,-1.0036369303055197,1.4425304687460732,2.053699637219772,1.2607818057648792,0.5545780729164732,1.2272525250686181,3.624300412672045,7.34720711434481,11.90268864920304,17.285113846164883,24.023287579679273,32.32813550379179,40.89726164525077,47.131788720481275,49.17495428180728,47.8307751998551,46.33649484737891,48.39017246653156,56.23483004207933,69.79824971246231,86.68769513716092,102.42940646
7kg_10bpm,9BC,55.91012369,36.372855898414564,14.584130497983294,-3.7421349151765138,-15.619262702697842,-21.516380269999996,-23.401996420869494,-22.92029901563634,-21.089232761503474,-19.017902703646367,-18.07557893,-18.728446170585148,-20.00041226098357,-20.465050855921536,-19.553687702375925,-17.902614410000005,-16.559760824079365,-16.124971332319454,-16.12497391015828,-15.278941902039675,-12.874545899999998,-9.79310553584794,-7.653148822569953,-7.182836536884118,-7.7636211146347245,-8.382444909999998,-8.775816976555628,-9.33420905057554,-10.179728572996298,-10.856999017936662,-10.92869808,-10.469870285810261,-9.691731327076372,-8.652164373001632,-7.448772324126818,-6.324300279999999,-5.365940820156472,-4.441157253618188,-3.670390045460694,-3.715332136624627,-5.31114764,-8.479441775975486,-12.184936676892017,-14.72845710937589,-14.600127118884709,-11.66962503,-7.6348103829328124,-4.90330130149275,-4.871867902913505,-7.001588496036959,-9.24057926,-9.547625917428165,-7.271132002024347,-3.5974255130152666,-0.5602655424182744,0.54409554,-0.257147400553593,-2.1117079292156866,-4.152202184530292,-5.722997799411535,-6.0838428,-4.720074218193313,-2.1645782691494757,-0.3659601865927702,-1.0516559345689425,-3.6005365300000003,-5.590164345827832,-5.473522404014496,-3.9159819243325926,-2.4720312278627268,-2.0808649699999995,-3.0288163721409873,-5.140831742400824,-7.352920094013726,-7.981417814072221,-6.32484604,-3.7077598534831466,-2.226841538090968,-2.442627581068476,-2.9368399227474207,-2.20528157,-0.4538727154182678,1.0440934192983704,2.1432323500011536,4.3153017888211505,8.881708639999998,15.470952340958215,22.361937099792474,28.19532402222591,32.80985749162872,36.55934847,39.15694228437036,39.67893103073692,38.630411347249755,39.11111390903019,44.65275323,56.24960714675388,71.82895894701663,87.86308465136554,100.67412896990817,106.50227495
7kg_10bpm,10BC,52.69917978,31.19104077136347,11.285199516819736,-4.559178228096101,-15.219174505678957,-20.513499975105855,-21.175888329322422,-19.009291090156722,-16.44204036911383,-15.5788527789462,-17.178814383515512,-20.17433222389021,-22.40655929912368,-22.290090098846363,-19.712415540831575,-15.700005142580006,-11.8206331699147,-9.667793352824901,-10.280737430484313,-13.459301241481185,-17.500383705994903,-20.09004634325635,-19.630829169591493,-16.03079690923928,-10.643845228833804,-5.4896483388513815,-2.4264524802398957,-2.36119591735879,-4.778535471706145,-8.13771143972935,-10.90807814256487,-12.25972711866613,-12.17323485655336,-10.971491354893006,-9.052781108533928,-6.927521090690404,-5.267366988606959,-4.677830251507514,-5.351026605139571,-6.964007317031789,-8.964274252088021,-10.886124771985802,-12.389427890672113,-12.90129667245728,-11.74339158050092,-9.05832274995483,-6.233508412069526,-5.074538156567619,-6.525083680297696,-9.910149322336641,-13.141591490306984,-13.97716818154453,-11.305672122709247,-5.7813180575112915,0.26676093875628537,3.8468938112432394,3.063786649462037,-1.5012809032275785,-7.080550463363937,-10.688545946990592,-10.896532957250752,-8.246652565429386,-4.519943756408374,-1.527342050654669,-0.2485416935928578,-0.7666587132730398,-2.7327212072029896,-5.326590106731893,-7.02810354191082,-6.573809424834328,-4.503373087431563,-3.003449456917987,-3.8766248202922955,-6.681840251312929,-8.983009480467528,-8.504086316416736,-5.179940049792657,-1.2663320353680099,0.5870280244828857,-0.42297440400386666,-2.608120002033439,-3.575955394083729,-2.4811661765107966,-0.18106223574236757,2.4071193385423246,5.543783806858647,10.252813718102374,16.971312460777746,24.609342083727725,31.048219125764827,34.98266699246674,37.15137661659098,39.69089646058616,44.678076150451034,53.174855352142295,64.793119655931,77.46171977332212,87.76850674259661,92.46329797221092,90.50123703235177,83.81163236
