cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,60.46258675,37.113921245223125,16.351450704076267,2.20084376351489,-4.207682858288892,-4.861282569254092,-3.29486961453572,-2.4905136294038774,-3.9565494854184458,-7.961729576488087,-13.607764834155994,-18.968959280197687,-21.900269595223175,-21.332079288312396,-18.206088530609204,-15.00613294349244,-14.063748389014089,-16.396993126525675,-21.35007394515552,-26.730526647476896,-29.678794688836707,-28.086607585031892,-21.56624239668548,-11.789483140361591,-2.246686381297082,3.4683045677916917,3.7054989975341286,-0.7574755140627017,-7.52256781401582,-14.093285904069921,-19.076539724576314,-21.84985940915089,-21.820481314381542,-18.54099813192337,-12.681067739827036,-6.43645044833296,-2.44611397938193,-2.2275692175416326,-5.269931175780713,-9.378749213748875,-12.205222079430326,-12.691350203230707,-11.29965278570011,-9.376034409732597,-8.434772499235487,-9.512383876383735,-12.310217409220952,-14.826433033755013,-14.65372215035182,-11.023296407535302,-5.459558176461283,-0.6192213402639462,1.5541188378438175,0.8068481868224653,-1.8747943666986377,-5.127902713663692,-7.514628648758005,-7.842673221084685,-6.2170160552870986,-4.5166476304460845,-4.658278221352738,-6.2828830021147,-7.170477958832989,-5.883334465845228,-3.392986467597925,-2.2028339375059747,-4.0094160576637465,-8.022868705956508,-11.296664243590504,-11.072202880577713,-7.120730848666425,-2.0900962181273126,0.5033664773370227,-1.1830559657522526,-6.101970236234711,-11.116486440200248,-12.992486082579154,-10.26237122964375,-3.8874983656977102,3.6122100770805696,9.6569036787119,12.619047432995403,12.202858253604727,9.313797899379455,5.360312027306653,1.5750748208567689,-0.857238438049552,-0.2810736429459715,5.176858387874175,16.151023413939793,30.50980895709992,43.75471039501286,51.865542413948965,54.24734292329427,54.09705140086131,55.89187373890533,62.026791898625994,70.93765235831073,78.16015648558475,79.43092681214738,73.46562529
7kg_10bpm,3CA,58.48041432,38.33119301107513,18.314888937716375,1.8983790193173349,-8.691305117652899,-12.875542084707991,-11.687243030540786,-7.662074744059191,-4.206267270743604,-4.206049613025028,-8.512552889128196,-15.46770046447173,-22.0651653722517,-25.940958667092776,-26.36281842211197,-23.838349752311778,-19.425267620377877,-14.433796758799119,-10.138273480413503,-7.43413190149274,-6.496395771856231,-6.872126361927491,-7.957804409738696,-9.525265488286225,-11.515036220222175,-13.436828844959015,-14.224181518406589,-12.956277770413005,-9.873406420642512,-6.602579172194996,-5.070338006925331,-6.232245303807081,-9.547160601141517,-13.473916740068054,-16.5706766859376,-18.19844795967351,-18.37232193916847,-17.334122815856244,-15.380766159914966,-13.014867229440375,-10.970612982240999,-9.796764939952677,-9.473681494398454,-9.601443506542628,-9.865434743593735,-10.192161570854234,-10.551755121688192,-10.833520673603271,-10.858187151741628,-10.4203660774087,-9.46996351,-8.3752137277086,-7.839999063421379,-8.354330618666065,-9.628934987652823,-10.674474321774133,-10.547550138234874,-9.0475724593076,-6.744843304511389,-4.518923690829622,-3.1770162927221093,-3.295438525385154,-5.078964760809835,-8.153077943438591,-11.499166224104979,-13.817735258268243,-14.069313159359362,-11.93350055824707,-8.040561010681435,-3.79858167706098,-0.8310794124199609,-0.13173811007197245,-1.5333785851948039,-3.908315919169335,-5.840470178516124,-6.321966890463323,-5.164861932784092,-2.994588697051351,-0.7843215666295538,0.8639863847566214,2.136715864609791,3.6925090267627554,5.755725882019002,7.613359408664557,8.110804063215772,6.618077640063584,3.6816213627935364,0.9307732927399012,0.3689355785565724,3.570716109989923,11.062163722699392,21.999630010820386,34.329390743608315,45.46402934405313,53.40327029626708,57.61957945522477,59.010357046811485,59.04952165961523,58.797633667869384,58.39800868583551,57.12279411
7kg_10bpm,5CA,48.67516256,30.388573151023188,16.92860886829276,8.458318302578485,2.2246780513226962,-3.9047203924084477,-9.456260468320803,-12.408225248477416,-11.849108149589991,-9.478368622126206,-8.062230836053619,-9.111066796149023,-12.152343477372563,-15.45680647235064,-17.20568942582587,-16.056960487113706,-12.012241413208928,-7.109980520615212,-4.048282561379352,-3.832934249513807,-4.869630351492754,-5.13301979831127,-4.148187794407456,-3.3103712563490197,-3.910191192602876,-5.424305979159687,-6.139521794032543,-5.404625715085183,-4.610175377677005,-5.434282302022697,-8.199874031379105,-11.83971555502095,-15.019040751783246,-17.411798885859174,-19.31139528557927,-20.077369311452244,-18.449563991786864,-14.380768889783079,-9.774669891776863,-7.122135857865136,-7.865003445928949,-11.518040381944811,-15.659315009313776,-17.440718203558983,-15.65233485418286,-11.336371809358049,-6.7754720555319015,-4.032062989840542,-3.7703151307396396,-5.443940719177536,-8.347638080000001,-11.693084851904429,-13.943645806198829,-13.415105774413949,-10.19682258602561,-6.801571611066559,-6.064748121799831,-8.512289112053145,-11.852325159210755,-12.984346988319766,-11.074572485418841,-8.299271245491044,-7.227975955660604,-8.358651843980304,-9.955645706397036,-9.845862063045459,-7.769680097686523,-5.639181741838362,-5.451310373001296,-7.198448209521364,-8.820633838913276,-8.369908506990841,-6.244392615356084,-4.981336364150255,-6.703055270468379,-10.582970546032048,-13.328245049287556,-12.253419380204194,-7.5896329010815835,-2.0451836194887245,1.6014029872471072,2.3981319911316916,1.050200109011478,-1.3207317934678837,-3.670112918551,-5.096681478100936,-5.194040897903919,-4.282663501693383,-2.5831953513868675,0.65369043809117,6.521885072914557,15.085065735009051,24.64644877784176,32.86449776212844,38.67267532876037,42.998508901169245,47.70057129597977,53.64257770725988,59.4468861463845,62.04824459297541,58.94607506
7kg_10bpm,6CA,62.69032058,39.25660665199096,16.176725600064195,-1.4063158653796524,-10.740009154052,-12.373835569193329,-9.460101224034842,-5.9921377152498625,-5.093474124348898,-7.823752589805694,-12.834841861135633,-17.606448969900487,-19.974852209834673,-19.132961016612267,-15.85820924830586,-11.32908658108492,-6.578459813972523,-2.9517724999413373,-1.9306660853212414,-4.065720604646845,-8.131511360976619,-11.337989324737284,-11.031272376046749,-6.875600455618547,-1.6385306309401004,0.9890225700000002,-0.6125861149695027,-5.033193024947255,-9.352457185284925,-11.232720754348245,-10.104179459004705,-7.336824015178939,-5.311510323117852,-5.907641805839365,-9.385745009437434,-14.36617077935178,-18.87744957170389,-21.363864571394572,-21.23224654104592,-19.04907516953363,-15.937929341540148,-12.72308615677119,-9.824717689035007,-7.720375766644529,-6.891074548414099,-7.370030420734255,-8.652393099046382,-10.089660069015899,-11.500205472726995,-12.915178551145154,-13.65390682,-12.528347811562016,-9.367940744700022,-5.840458159589725,-4.391687569545598,-6.328967694305961,-10.768622662072518,-15.24457071505678,-17.22659290774451,-15.418638316596983,-10.465326840100797,-4.697512538176756,-0.8467484747555296,-0.3523242101372024,-2.6953895359292517,-6.302062314997638,-9.770111256006443,-12.196085053764477,-13.06787512235979,-12.416565243311716,-10.905370956041203,-9.340505021725424,-7.9499109058963775,-6.307550322224933,-3.886140690423033,-0.67471477,2.5846702076739936,4.645737398503728,4.514613440648451,2.348554248366297,-0.36644516609477495,-1.8934645997022408,-1.7239508482646841,-0.9631222386197097,-1.023064664948439,-1.9237385151325128,-2.060362839784878,0.35621243347157994,5.790346106509017,13.056580946919485,20.117057548295747,25.356489233301875,28.339954424901627,29.5924796796651,29.962890898105027,30.412156094818503,32.14174028530751,36.16636062874688,42.36915420653625,49.120743869541556,54.08966875
7kg_10bpm,7CA,74.6293045,61.6466253373963,44.179993523676735,24.59588696232674,7.037682361639071,-4.7691290789453715,-9.651063892331996,-9.3315435860859,-7.120861259576367,-5.926321722646864,-6.533398342662174,-7.626190313050978,-7.615497642765472,-6.244970853900682,-4.912885956152626,-5.262640451335314,-7.110705912945845,-8.532662519984951,-8.009534208631939,-5.515122125052493,-2.474659040566657,-0.27196718509624307,0.43377829165595794,-0.18753150919447653,-1.3681676578208497,-2.0843697245900388,-1.8373112969190177,-1.303349181661913,-1.7889988397796304,-3.853263660693069,-6.844450063464867,-9.866656965068069,-12.398538544309165,-14.329352116515087,-15.590993107883113,-15.957472756252963,-15.333633871011102,-13.992487798351023,-12.608213980232463,-12.332936290709384,-13.783106401260977,-16.13663578699874,-17.78755532576632,-17.572427262122172,-15.371603709670419,-12.039344318898662,-9.190470585135696,-8.334142704502192,-9.361456997362906,-10.366641843983242,-9.87723854395199,-8.738976105237166,-8.788041033436787,-10.401845336456963,-12.168341617960868,-12.538091589813334,-11.396287195213157,-9.950055902569893,-9.363319582186877,-9.790575852259392,-10.356616835708222,-9.844965055135138,-7.810164615609411,-5.135296516957648,-3.6732068985367468,-4.977296026040308,-8.770357433202527,-12.715223361975802,-13.947840195500198,-11.493747149682441,-7.383363338248076,-4.894143271415059,-5.4222409692457125,-7.387717070413969,-8.39077321201872,-7.5305650605460475,-5.336907495522656,-2.7357318987460806,-0.522285785631718,0.8990315763871187,1.6513501943218059,2.3422585970367376,3.406656221436236,4.371313821954897,4.400378769287278,3.626633978924773,3.3618523895008634,4.683028378856491,7.339524045701029,10.371486682273108,13.48655344451472,17.579173869402183,23.67466947959678,31.81510142472117,41.221801496843575,50.865361732436774,59.18193863780181,63.9569084287721,63.65558908667913,59.07409717116872,52.74320169
7kg_10bpm,8CA,57.93520961,57.309931095711896,55.53426816927328,48.59686579005362,36.0327711001389,21.253222449102818,9.270027676075506,4.247231796712571,6.276072737148864,10.401575203507372,10.106951356180494,2.0318729761267553,-11.766994280194826,-24.497808443037457,-28.507753401552684,-21.19663163637549,-7.463706459015045,3.7237031189732477,5.747638584419314,-1.185885262952448,-10.275220828514463,-13.87726730255399,-9.280724014376158,0.573101964814525,9.620439398264313,12.218893714782306,5.712135927137079,-7.655272995461269,-20.892490431360674,-25.499151165602164,-17.72971671637402,-3.252815627330061,5.646811446736608,0.6865097544556167,-14.123643545936517,-26.827321910530593,-29.087723559963173,-21.45554714738794,-10.52902845781215,-3.3199668541458918,-3.615904865109348,-10.648633901633724,-19.38540630135219,-23.13385121106141,-17.902729626453464,-6.346623881226279,2.677594643257599,1.5313930651693213,-8.306844860366306,-18.05158012771774,-20.718119459999993,-15.92930479248008,-8.011527383410687,-2.16833705699671,-1.339880335482561,-4.7327242955399464,-9.86122020866953,-15.337196137571826,-19.7277342470181,-19.10840632681864,-10.230384840445435,3.0067063966681515,9.59335377573645,1.2659239476543898,-16.691741899266077,-27.98717596185516,-22.44812179624364,-6.658660802046083,5.0043843721190235,5.26301059281055,-1.8662123414140475,-8.542731311916542,-11.178354943044086,-10.19164689368132,-6.110406680944195,0.16010335566209577,5.46558365895963,5.7201192449949545,-0.5216779783966667,-9.734931451892052,-15.145482020166888,-11.83949298122212,-1.1227931634751576,9.612091209136095,12.900901243296634,8.138976850605717,1.388459055257201,-1.4562653550828484,0.6641777894383892,5.330085731403867,10.316872385487365,14.80273684203812,18.55662372537517,21.920920848890958,26.470996078979162,34.27487141997584,45.45278048364538,57.376820442861685,66.49256947471757,70.02091024188586,66.82730369
7kg_10bpm,9CA,70.89102387,58.366656209725534,38.6716662716336,19.01042002303319,5.888744949873193,-0.6706575955473815,-4.225796605040128,-6.8918103865687455,-9.417290725378484,-12.495044196038545,-15.242779569920266,-14.933559960729887,-10.874369288037492,-5.384113814951231,-1.1376191607507449,0.6365632694085797,-0.4283353574299067,-3.4979148109935627,-5.534773328274529,-3.5870818207726494,1.313603872892904,4.027207803782086,0.5230663169403119,-7.664288996803012,-14.902632662979448,-17.12979060279382,-14.473058898960836,-10.462965335285968,-9.122696277434644,-11.063148389045413,-13.616462304682344,-13.725743727026058,-10.94253679517941,-7.616053771381053,-6.606680541709239,-8.672414312743683,-11.668444246282561,-12.655742619398218,-11.027127421251198,-9.608666732928574,-10.791259359676582,-13.13266215807758,-13.434459980501652,-11.383842274194873,-10.230273727190557,-11.305807821290813,-12.225641489587636,-11.154301510913776,-8.931902329467224,-7.421795440371001,-7.893260093975366,-9.875174274062253,-11.545128849768778,-10.98435983602815,-7.75923918519389,-4.415727890804279,-4.826789467888976,-9.538243275945,-14.501677269375028,-15.47369628099546,-11.83676644310516,-6.472319706217357,-3.382126028793913,-4.561398829734897,-8.131738348419848,-9.609069780591208,-5.739884724746416,1.78770507329967,7.799123454434151,8.950562782708168,5.936372790167366,0.9362267367195171,-4.392111382718663,-7.7281486928178955,-5.53988587038928,3.2154543355576606,13.060455802545128,16.332211309197955,12.229006712105827,7.808456364474499,9.291561876149196,15.399588067719053,20.109707364075607,19.890896569594982,16.469783631403406,13.832496108264696,14.204685272676043,16.8740803325665,19.86125561150288,21.825984581562142,23.179706877666113,25.42920101469836,28.655892902649292,31.381034246514456,33.92238081944336,38.91295284073043,47.17798208059647,55.73877004093839,60.386946500110625,58.88766470978213,52.40849401
7kg_10bpm,10CA,62.86669466,44.12687306217952,21.91687421467853,1.6871460625901564,-11.686573864944766,-16.169563174211532,-13.077076751449836,-6.152031711704994,0.0013945515933762864,1.70609370598731,-2.080469687011927,-9.316674925233798,-15.739902692425238,-17.031192358843807,-12.26561340517275,-4.799889772611542,0.9558033962918462,2.6028493872718763,0.5353953702560195,-2.929833755913317,-5.550374597292615,-6.3686357620961545,-5.465214736274838,-3.5171421064767143,-1.6897917828520688,-1.0658796768039318,-2.226171808462736,-5.121182427946959,-8.96898495870161,-12.124411399503922,-13.309389117952543,-13.16044168925257,-13.110216126187673,-13.398594081866985,-13.475202194291091,-13.093149607751563,-12.361755262628751,-11.423717675285761,-10.53525916885365,-10.060250756387028,-9.882666830282353,-9.54147161300783,-9.37419838800954,-10.583366320698516,-13.615724991668685,-16.691755463712642,-16.87181193076015,-13.306936274947718,-8.361064125103741,-5.131776603978401,-5.001600158923556,-7.46753141296221,-10.59596131567259,-12.05235375895059,-10.789639719827843,-7.178098664206569,-2.696437218507706,-0.38257256228897984,-3.0420233996535457,-9.46923471623596,-14.456515993275755,-14.020160423974046,-8.95803919961357,-3.7586546569459176,-2.718249165364998,-6.599516367802378,-12.43402968245243,-16.451790558796308,-16.564838122119898,-12.555804133222539,-5.735458208728698,1.4314140488109341,6.15547210243121,6.481035796290696,2.670517223853158,-2.4635860259306996,-5.212514367596077,-3.381024603947581,1.5580849151752159,5.2844573778028305,5.063968194895814,2.3716180456390292,0.4787929537941964,0.7711002391608067,2.091078983214232,3.333290603420723,5.466074154129206,10.035515069243749,16.154544702147255,20.739958332948916,21.88660558492009,20.8457737679509,20.60524522287026,23.094537728525285,28.031914479037606,33.89059241695161,39.39380375727477,44.30438846716933,48.99134046124078,53.36144223191749,56.27897567
7kg_10bpm,11CA,65.12032558,48.221611277092705,27.781078053272555,9.110223988232699,-3.2922835299999997,-8.197327134535298,-7.821438210929669,-6.10190451321846,-6.37538286,-9.610021045197952,-13.84435763100676,-15.503850359071462,-12.318766839999999,-5.1835295132422745,2.5158866880463355,7.3112356676522365,7.2095093,2.2170725797472213,-5.458598733164288,-11.922477268010606,-13.58830428,-9.21770717375692,-1.076952205654971,6.525900054782134,9.9873165,7.9450788730455475,1.4501471466449793,-6.647493631489264,-12.76706821,-14.420072579780241,-11.927349292569975,-8.102980386525704,-5.94085655,-6.800101713930775,-10.086120861161621,-14.010287966343792,-16.69960259,-17.172771707670965,-15.45392593503396,-12.283134234927468,-9.213744190000002,-7.984431452862811,-9.221424530155266,-11.991475314864246,-14.68892721,-16.22799553251375,-16.331890642939523,-15.15626358140767,-13.13137481,-11.135723486486144,-10.31700746519989,-11.069038880481775,-12.28025002,-12.141433961845289,-10.023142831383966,-7.36330865369085,-6.271386229999999,-7.131381808418074,-8.219904461189454,-7.944796927534118,-6.66659809,-6.090547524611162,-7.589174341625144,-10.826364901483695,-13.401323939999997,-12.43828869042595,-7.507560012084349,-1.9703724778632281,-0.49345838,-4.504386252307581,-10.06684433562696,-11.053933197082038,-5.0745580200000004,3.740215302815657,8.105701189164462,4.430437794198947,-3.49282848,-8.043247510429895,-5.115050844944603,2.637092089751303,9.25676119,11.26976294800572,9.75141713766217,7.593730899460655,6.14356591,4.949563306916186,3.8529400244736114,4.079096381010918,7.078977559999999,12.852877880127986,19.705458225414986,25.33491348173407,28.17237936,28.3993697394153,27.98306072876059,29.524912517382834,34.55111243,42.243754072889594,49.967155550335804,55.30324520384774,57.54763559
7kg_10bpm,12CA,61.62615772,39.85598565561894,19.249850668113563,4.352210030825521,-3.4259295989612615,-5.836176097173706,-5.891931513193562,-5.90583239262475,-6.7889540423686245,-8.36126149862425,-9.74622391011848,-9.842908053129898,-7.901574710320867,-4.025516941672623,0.6331488434269543,4.451924317916636,6.172373636259067,5.318962778290163,2.474764893840118,-0.7128928550562954,-2.3653203376905876,-1.1123494877910698,2.736963501867979,6.895204137900025,8.320714968849439,5.204540960000001,-1.6574154857409749,-9.353151725666496,-14.752556323903582,-16.130790620923936,-13.962595598656888,-10.17698115606532,-6.525071367350604,-4.087816893784117,-4.038293597294558,-7.492530757460148,-13.738564295235133,-19.472770923986584,-20.818453205699623,-16.538983797940055,-9.363839020649387,-4.122548276119811,-4.067041528386771,-8.544333170325707,-13.86881450390875,-16.49937721149515,-15.616421880905834,-12.834199593047767,-10.09797933168697,-8.23972849327487,-7.11986251,-6.672815412144759,-7.399517425396565,-9.754763684004834,-13.12169547610815,-15.591247338057949,-15.63187556166914,-13.635466873169257,-11.157432880314873,-9.350581427977772,-8.67391591571916,-9.081749096345064,-9.924856468933447,-10.38882470275574,-10.252943641029582,-9.743521318908567,-9.066690425145369,-8.211111146321866,-7.0421482809711655,-5.920825280476792,-5.94413374932438,-7.837840265982799,-10.994724841348173,-13.85592090257562,-14.890195110174249,-13.465587830000002,-10.179815836515456,-6.281268691911505,-2.8942889338974402,-0.6177468029433909,0.3076012066912449,-0.035695491226296644,-0.8950078581975993,-0.944041680976493,0.9289628955325664,4.495080390424123,7.768727761529562,8.44934377618223,6.2800295439452904,3.8227330084243354,4.669196806473128,10.516106787870742,19.70312921380669,28.446326989877015,33.800110305685315,35.89126392586311,37.54764494478179,41.698354218734586,48.857006217643644,56.713254945423,62.02738521
