cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,-10.13934469,-14.349747329566206,-18.143043522777326,-15.327197195364022,-6.072861473670534,2.3092015305413667,3.160658012274964,-3.031120518907589,-10.581067588868507,-14.85702532100959,-15.20951423,-13.283088797095377,-10.368212268493535,-6.568073116256026,-2.394144177462052,-0.5059512307646213,-3.599952398360001,-10.196323353392433,-14.379547839632123,-11.566638814454794,-3.8157631200000006,1.5660520759921268,-0.5609241482408293,-7.907383388108951,-14.104412107562679,-15.986144935483697,-15.11226063859522,-13.870563126961537,-13.21173226293036,-13.557122909545706,-15.233539680000003,-17.483818053167298,-18.630246730528132,-18.071178232523387,-16.914491388375453,-16.139893592099874,-15.770454843981398,-15.844629275259035,-16.124543137948116,-15.633739137789243,-14.248790780000004,-13.560780943223936,-14.406331791036642,-15.03512033515948,-13.770777516587499,-11.48287697719467,-10.008751449057861,-10.115449080124082,-11.398405970986854,-12.742150602912465,-13.00641327,-11.861008590485554,-9.934144702544437,-8.473091756191467,-7.532208255456293,-5.683475876756083,-2.859670101208137,-1.8030373306549368,-4.9374087108110345,-10.438503718392612,-12.74977031,-8.660401465093576,-2.2674641352072604,-0.8625252800726199,-6.583992136801994,-14.412120771701659,-17.482795518974527,-13.667966988412786,-7.44129915575486,-5.394251156814348,-9.72340969,-15.975157033900063,-17.47162349551212,-12.558373896467383,-6.584926827027308,-6.574437347164159,-13.927368770974876,-23.188915442542253,-27.30845357994645,-23.465623122832252,-15.04835677,-7.654663246880869,-3.6990493383506093,-2.424762694938296,-3.384124624898771,-6.810439194420379,-10.399677901801418,-9.891892249488954,-4.780052634698248,-1.0913426043958312,-5.0101254200000005,-14.417449718757533,-20.231232708539196,-16.961195146352665,-8.10727876476999,-1.2761457185048186,-1.1820210548713526,-6.58728832798919,-12.914949927466589,-16.32592582953662,-15.69401013
15kg_10bpm,10BC,-17.95004908,-22.279188589339,-26.845583123170496,-28.442807153415693,-25.2979380452142,-18.546222891838614,-11.737788306525374,-8.500683901819816,-10.089744822700252,-14.717045048784005,-19.33045505569525,-22.11886673303301,-23.412138764588402,-24.596092401878632,-26.305868687153314,-27.638943939794125,-27.2551650155116,-25.13667395787377,-22.720904080464567,-21.340644033891518,-21.119527320000003,-21.164078666248642,-20.45928266163616,-18.778429504447107,-16.73787776433062,-15.028382542599688,-13.821738261169266,-12.879079848160584,-11.91984715473844,-10.82590527699441,-9.664572590548213,-8.703260332382625,-8.29832715089713,-8.754988348395148,-10.092862430236753,-11.709095020216202,-12.390661467501024,-11.016278407092143,-7.541749103285611,-3.3840223368172033,-0.65069186,-0.6898331346665993,-3.1464120057213307,-6.30295020789304,-8.305800797784485,-8.464681566442417,-7.762961744467097,-8.086650839648799,-10.653908615556258,-14.884600019481319,-18.51834076901901,-18.89843267609625,-14.742569849705532,-7.2502051137213455,0.32925092377058324,4.490937963934951,3.414313836700981,-2.130226485444063,-9.308250467183253,-14.703809854987439,-15.845356079999998,-12.335821867238517,-6.162654322254527,-0.699807444389344,1.1544532093499251,-1.5008472486336704,-7.346129681368528,-13.668903006488268,-17.68431777041796,-17.762426855387574,-14.036214094413033,-8.343636769314072,-3.3807670128243963,-1.3390648971166426,-2.8660761625774347,-6.921327705114691,-11.43036560071119,-14.49653243257061,-15.461781550048205,-15.015243610447142,-14.288078910000001,-13.66075729386477,-12.382068253235003,-9.359560153167916,-4.398053117721192,1.271694626549989,5.4399460003618545,5.723588718539151,0.8149176509089215,-7.860976946591514,-15.872388867773097,-18.393705200200174,-14.158071421542973,-6.610250833587859,-0.539389471369123,2.06185083739052,2.730099614535218,3.9724872624213154,6.4666738104540915,8.589987410367653,8.08116562
15kg_10bpm,10CA,7.43227477,-1.2006367938013853,-11.136827536443857,-15.524046515901665,-11.685045048317916,-3.5477619988038867,2.560475721510926,2.5448990964426574,-3.5169380160588473,-10.988503743709767,-13.040002550000004,-7.332217814775994,0.806276557617864,4.583570483094071,1.600300633008356,-5.807274657020852,-13.172922936312649,-16.399351521080845,-14.104729317768314,-9.156753298627581,-4.797190750000001,-1.0072400647714241,3.1774658436572736,6.76813940351826,8.254197474406753,7.232973337348134,3.8456417292389147,-1.8973746151711621,-7.377000445407536,-7.592189110131679,-1.7045231300000003,3.820479874141384,1.9102364883360192,-6.122827330121673,-12.55888338415789,-13.35319670607394,-12.00784559008545,-13.88373126982211,-18.543280094892204,-20.389451189825632,-16.593638370000004,-11.121669177903074,-9.683609487449859,-12.647440511029215,-14.631120626241945,-12.08145707932651,-7.997465589671825,-7.089512455413615,-9.741412461404549,-12.641807066672863,-12.547457570000002,-8.299274454305454,-3.090354970661103,-3.2639583298360626,-10.136981501338413,-16.95814617687003,-16.57880926906716,-9.826036991556924,-4.232758023046129,-4.4353065399107034,-7.17109321,-7.554376047302579,-6.55872844784132,-8.641368016432898,-12.941352337540973,-13.046456705500685,-7.469460728597298,-4.394870936510378,-10.758771239111692,-20.605692749629974,-21.883099680000004,-13.309081706558375,-5.351244945663782,-5.719515796632506,-11.292019530763787,-14.784488399714304,-13.857869164877615,-11.53774923131866,-10.29516734249853,-9.256387957183556,-8.50510042,-10.93619538657231,-16.10699229573519,-18.12289873826253,-14.044448275183472,-9.473915083473443,-11.223142696194783,-17.750795881342388,-21.72178224539159,-19.81399161206565,-14.7569305,-9.875563901630084,-6.468360435054549,-5.938915995424455,-9.297082698130692,-13.420129351658568,-13.27266048046803,-9.39345791631129,-7.038643854865885,-8.591450908187499,-11.8567769
15kg_10bpm,11AB,-11.75333961,-12.50367523813215,-17.807538200584602,-22.062373670368984,-18.882389040370654,-8.440095883532864,2.3005805120508764,6.031247144126611,0.9564807755131635,-8.868985005747478,-17.082967128097966,-18.75593911686729,-12.968451751968749,-3.8881101688082302,1.6085954441920596,0.12372694429814568,-4.457796901007139,-5.687499569150048,-2.649530801430977,-0.5605269138969378,-2.9811535342672233,-7.01316412132182,-7.900075472389909,-5.72483194225166,-4.499004019342986,-6.275446020000002,-9.418941161113846,-11.883424825594789,-13.362004657217966,-14.777199600706432,-16.989896817109724,-19.57781290439307,-20.743605714586653,-19.571826563365565,-17.641664637900334,-17.248107294473783,-18.309715710711338,-18.0332336505297,-14.642180083461714,-10.485230479158231,-9.596012128871317,-12.697013514779279,-16.402835307001844,-17.017204671426498,-14.181389914405946,-10.54400090873993,-9.092923583752658,-11.276685230078128,-15.716945545801696,-18.403817130919183,-15.965598820000004,-9.440836015662297,-4.280794243896737,-5.165647442558082,-10.370156991135456,-13.474682299739166,-11.053970933609463,-6.828918402067313,-6.366958114228968,-9.607054085557058,-11.960822460283538,-11.487430919537271,-11.226806622367304,-14.224413974818923,-18.70434262736756,-19.885319481429235,-15.451888780032341,-8.401999257540144,-4.346901424011687,-5.794782814889841,-9.842093427834747,-12.327249465302607,-13.043523471363619,-14.573581819264973,-16.73849931720929,-15.949069300000001,-11.081809685885883,-6.580192588185587,-8.44699733670642,-16.635572082558674,-23.853537360938045,-23.338154786628813,-16.302877995948485,-10.637682251900975,-11.9240278912309,-17.147285726377785,-18.928251648362572,-14.67207777270719,-9.85886002977595,-11.473175099526879,-18.731691899202435,-23.621488678980295,-21.241926605367528,-16.14951786185574,-15.889133058343305,-21.022518598449714,-24.27147820694717,-19.80189503393648,-10.441368164852049,-4.08804793051786,-5.48381336
15kg_10bpm,11BC,-20.26640305,-32.13926849274404,-38.973878770068616,-37.05661482474305,-27.8436246706624,-16.52853262737806,-8.339717584045546,-5.7307565381406125,-8.028703910779974,-12.726413664303204,-17.329318874587216,-20.452557615010164,-21.867230016006907,-21.98369405871345,-21.351692887102622,-20.359565115586086,-19.253441995770054,-18.21425403905628,-17.303509007415823,-16.447496755175536,-15.519928978008831,-14.648228284256565,-14.1743239655891,-14.010536823169,-13.507017589716193,-12.109958040021683,-10.063354531538932,-8.36685084999005,-7.898569743399529,-8.632846721882506,-9.672764366745154,-9.768546226593756,-8.209918707032594,-5.635859878838794,-3.897327495759275,-4.811872216263326,-8.59749504554336,-13.279237534356799,-15.80999238451095,-14.309035611963974,-9.67019242910222,-5.174508677253504,-4.363905542617993,-8.656489082588937,-16.167715136950733,-22.479787860908097,-23.15629682736773,-16.70456924185437,-6.170755085947801,2.3517341491469694,3.8822419651750537,-1.7948723118440297,-10.27977289775394,-16.122895924647636,-16.60839883444945,-12.69548608453169,-7.324090009569352,-2.996312703386673,-0.5021796799665929,0.5634813106245561,0.6365286775313209,-0.22332031685274908,-1.8729331060052192,-3.6729969429935685,-5.033573837529947,-6.239252362675133,-8.104493377442799,-10.568227621031493,-12.07758815789775,-10.97281905876442,-7.227999960281241,-2.7733423209710235,-0.11947124835579495,-0.4507476584831973,-2.8595539818581464,-5.273628376063967,-6.148708919448459,-5.719957317549583,-5.446302335269859,-6.208854805313747,-7.502968195968993,-8.29813842407145,-8.080801923617035,-7.015098469259149,-5.3523846170318405,-2.964751697179772,0.23027195535479905,3.209946502634219,3.562302808723932,-0.9330259893455679,-9.49425383794919,-17.079712862504923,-17.37619190282139,-8.243523986061998,6.025603936924594,18.079781251051546,22.6937138019491,19.321006464400433,10.79907226256744,0.6999828624278861,-8.28044609
15kg_10bpm,11CA,-3.82111042,1.0307453915723543,1.8204036424893129,-2.228113248355423,-8.399592277698519,-12.410016786748542,-11.759993269911476,-6.6114071604819005,0.5691582509800563,5.3727975924488725,4.372459633396292,-1.3934931332612746,-7.541640792266118,-10.4142300532351,-8.958645084355247,-4.163811947300305,1.4161093764335533,4.355506308086965,2.1991060536210987,-3.972601656575786,-9.841758592890127,-11.534042187474965,-8.43191588022864,-3.097791118610724,0.7733920852330096,1.2347279623361553,-0.2581164918366925,-0.7287363818002046,1.001814349541026,3.5839032713160677,4.668228708457763,2.999338246846529,-0.6579050530682883,-3.24664798110544,-1.7320349447061194,2.3569401038904276,3.929630346347486,0.7550700599702689,-4.323020549247147,-7.400357628157948,-7.016831654664195,-4.219730552994797,-1.9202468904494616,-3.4533805726803135,-8.993349983222322,-14.773048585161572,-17.012645126197572,-15.536883005353516,-13.153494225606842,-12.63930788149274,-14.188713170000002,-15.677088503314772,-15.132243176844456,-12.405051816334803,-9.087014676530698,-6.825003221511011,-5.915693273690214,-5.88750725922069,-6.477246745034205,-7.449111311509934,-8.739969824985767,-10.015735075381663,-9.735015927594802,-6.9171256583160545,-3.1548736067515826,-1.4548162594071377,-2.6788937126057255,-4.881814802237714,-6.582759648178067,-8.515892123074531,-11.27767065404771,-13.149918084283474,-11.64269584191259,-6.631594491948663,-1.572655780436204,-1.2624207811645933,-7.552159759426752,-16.587573805636957,-21.139422974193728,-16.99561226057566,-7.248214756926572,0.1038517194244131,-1.1261513242635084,-9.793058173276515,-18.480862530085478,-20.633796653966186,-16.23374393729879,-10.763416075314977,-8.949858769244047,-10.479299131954175,-12.360838036740962,-14.336002820579392,-18.136281645434835,-22.135951250810596,-21.872884852221503,-15.91541064714824,-8.324206054176326,-4.420568976776652,-5.416882539849868,-8.967608484518774,-12.79918625
15kg_10bpm,12AB,-8.75443484,-11.76453900751344,-13.034029431537924,-12.031195362262284,-8.481088681690958,-3.7826770834378354,-0.7844674538752214,-0.9695377634856273,-3.7174075769242103,-7.032262804979962,-8.59720148841062,-7.495658798208697,-4.86979473137164,-2.967309177401249,-3.8409753141253438,-7.583190786828606,-11.614865277427105,-12.607797061227817,-10.05679719735356,-6.548815482227807,-4.578256830000001,-4.918853905694336,-7.710403069093934,-11.584891900687696,-13.324328764125736,-11.29442637862028,-8.420840365579354,-8.861409668079826,-12.38123760629296,-15.221931328974268,-15.652716893242237,-15.006889967165941,-14.462705650061608,-13.945400475532674,-13.593225220671306,-14.110031408034027,-15.253154082745528,-15.465225568883252,-14.498532517575013,-13.889997142083331,-14.21809568,-14.468415269748851,-13.87763047167805,-12.843649936927136,-12.583465376550409,-13.613361907376621,-14.232264564704435,-13.461876493097234,-13.682270950357982,-16.165676636155695,-16.881439305951822,-12.280120458865122,-6.471525766413367,-5.92528008051986,-10.071105295232037,-12.289546197164759,-9.197885689155834,-5.218329569565675,-6.680689685258049,-13.48837420053229,-19.32386197999998,-19.794993114101956,-16.481946007927412,-12.725510808528451,-9.57150401069552,-7.050892903120653,-6.116245363389846,-8.033340458391917,-12.823705045853929,-17.88677688692398,-18.99045891673275,-14.830036220931822,-10.354641057554703,-11.130636831715693,-15.919267040652308,-19.50367307416402,-19.36531564931291,-16.38628257173805,-11.705106012213996,-6.57161499241266,-3.32855318,-3.2099155951034355,-5.291251588443642,-7.789353258055485,-9.842519811829387,-11.028935224855141,-10.849736821166188,-10.462207690190976,-10.90378019288761,-10.763978469840747,-9.325893910110889,-8.758683165064935,-11.174018117584488,-15.07559685672045,-16.508577997179433,-13.80867641019018,-9.275626158535442,-6.088033749068772,-5.224999841116741,-6.079127818494994,-9.02567711
15kg_10bpm,12BC,-18.70380077,-23.64269221317983,-24.83985947876136,-21.305844031806078,-15.983595568088013,-13.284871651810477,-15.168463412468386,-19.50788368626059,-22.109128295487917,-20.327321176574824,-15.374640621125582,-11.17140695439568,-10.506959345223045,-12.927395416723286,-16.404203346061717,-19.6203694392682,-22.231391595221318,-24.085894901987807,-25.07240640667291,-25.120126092978268,-24.29797490413458,-23.014139910493448,-21.86273686899598,-21.31783922553564,-21.650726335274967,-22.681089590000003,-23.525150274657054,-23.179202114371545,-20.996259377883668,-17.056057138536246,-12.538432058943592,-8.982926757427188,-7.0393587285552,-6.186926899644655,-5.5872517265947765,-4.978853497773362,-4.640526199159893,-4.85973279623689,-5.586539614973906,-6.41395609517163,-6.80130748302114,-6.606505893078723,-6.384246693711787,-6.733121544928916,-7.604119463604021,-8.47738226810658,-8.779017435976566,-8.118916024621033,-6.693566202913741,-5.4158915799107605,-5.143949760000001,-5.717010707477299,-6.079063815443158,-5.478527867311697,-4.385881484133764,-3.8649330301219167,-3.993703506300413,-3.8423405630740217,-2.927236857714175,-2.025415098022066,-2.5365473080008853,-4.902768254169204,-7.544876748563528,-7.920917602181077,-5.244179856110456,-1.7564320332493004,-0.8323635006388838,-3.8023156858603957,-8.526596646379629,-11.29099673854827,-10.079263316019754,-6.136172678573495,-2.6402302928889116,-1.9857145034901271,-4.181403102110004,-7.120770340000001,-8.038183191185514,-5.487074071358774,-0.8283473234776482,2.416635859970881,1.544864099493001,-2.594205680045481,-6.19950511344221,-6.085174593614901,-2.3203654382045555,2.8617503160468365,7.700720771389382,10.519564657324537,7.968616903336656,-2.64438186361913,-18.069758397078257,-28.015346687276757,-23.608281344299435,-6.485515815900092,12.456820236167019,22.569484052511402,21.186872825173204,13.150632688501243,4.579173238338856,-1.7545058098830524,-6.13888644
15kg_10bpm,13AB,-8.04820339,-10.576283233591424,-12.082937481025757,-11.721137631605544,-10.582114933311724,-10.258181006672647,-10.897906408164218,-10.83995340510439,-8.296269514046218,-3.423338488173849,1.0263427986067752,1.1457979944751295,-3.908246855877512,-10.046292029686077,-11.223767177265657,-5.527345282690767,2.1928796111460396,4.770542594507052,-0.1666692477959933,-8.858824859889582,-15.517154442414887,-15.728359979501418,-8.79988814231114,0.6173704948877511,3.96660493628437,-3.8734718943690787,-18.008297214180548,-26.654001029259163,-23.3070381266466,-13.062082736713782,-5.455776803902627,-5.0178186994163125,-9.827749691020612,-15.886500605206114,-20.542702094024,-22.500209699400195,-21.216363927349672,-17.51911208954715,-13.390340960063801,-10.708206301636935,-10.198398623885103,-11.420244352161893,-13.376889535466248,-14.451338007282517,-13.008986563822651,-9.268128933140357,-6.139448135459668,-5.759601283489646,-6.357290101430133,-5.718703607638896,-5.089098997165861,-6.462150566931783,-8.950721747766504,-10.45687695295947,-10.361174233790969,-9.99712968297992,-10.819640363312118,-13.618792781354797,-16.934759599377102,-16.360054273252132,-10.111901197133266,-3.657330747111715,-3.7820058411421513,-9.62201750912278,-13.330314120016101,-10.60036907729091,-6.794499988186539,-8.833162839963823,-14.25166813900286,-14.923321041544186,-8.739897960514865,-1.830340197311464,-1.9554229196108752,-10.312070719429197,-19.68275866510441,-22.47595987271898,-19.31501475223338,-16.7972076102109,-17.22182106668759,-16.541826743723142,-12.726576383265924,-9.752035010940615,-11.817598596299664,-17.207795913655083,-20.987911573816437,-20.93242465203008,-18.217818533297365,-14.585366136494669,-11.692333001466205,-12.922353572121342,-19.09395860840508,-24.66146718003138,-23.66326086176866,-17.58717378061714,-13.703369179216619,-15.259029804271812,-16.955152501615153,-12.659239100866143,-5.583386020198995,-4.534661319856271,-11.90743839
15kg_10bpm,13BC,-24.02985485,-23.249026126028152,-20.50969834617394,-16.981860074444935,-13.553958555528904,-10.790902820557664,-9.209710205685948,-9.367761468117203,-11.854672338352415,-16.713922992831844,-22.71633716254822,-27.72344697595994,-30.01197917181043,-29.285193659871165,-26.725985840344993,-24.126715925199708,-22.514581301921467,-21.742220626873486,-21.095630297833342,-19.841296677361182,-17.695973904848362,-14.946763344405237,-12.18689561131643,-10.064905004929416,-9.203374177258612,-10.012553213224228,-12.262022497418062,-14.80153934477461,-16.051944401437236,-15.275214480049264,-13.082350323319524,-10.724787342084023,-9.068890544221984,-8.088791891932322,-7.212411268173661,-5.96815485259319,-4.192716996273609,-2.0974965921585933,-0.38264408879287,0.10481339386060433,-0.8910648563799891,-2.7691907900140507,-4.52181650892258,-5.3557547271231725,-5.247330894724826,-4.982730986698304,-5.497169072314557,-7.052434771134587,-8.724048128346789,-8.847575775742863,-6.4903807321199825,-2.7328006052387033,-0.3848501585028999,-1.9563989816306653,-7.278789972733235,-13.191001855884387,-15.742937345272532,-13.026750019155777,-6.554730264811934,-0.1968688692962149,2.5654784939834343,0.9851590091715564,-2.961703022708603,-6.614686958335284,-8.374667072001984,-7.944150115941913,-5.765236349480457,-2.8234012166680147,-0.9315829959690782,-1.9351751825338646,-5.825466847539067,-10.168665617254302,-12.00910196207836,-10.404659015612562,-6.956877947170954,-4.165419904843901,-3.3643906931516083,-3.9951505278415285,-4.668192780743542,-4.71121802145145,-4.633512160427688,-5.175664427494186,-6.051413331434655,-5.694418674376805,-2.4394366978949913,3.406998960905284,8.597165284352126,8.831505732851653,2.2756850432575266,-8.07933204599603,-15.884017880078478,-16.624945371365033,-11.517652299018108,-5.464973988043054,-1.923604993064055,-0.621537283942778,0.29839577962825775,1.104198403998745,0.07503447233364866,-3.9179327307645475,-9.20716073
