cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-3.44357169,-5.333123488428971,-8.453697497085756,-11.79382256319765,-12.785750077974804,-9.72373346269742,-4.094443636628401,0.6975398885622935,2.1462758349475632,-0.04595019434112754,-4.112878818059259,-7.214989769516344,-7.474833279310837,-5.699428523026503,-5.364507301397616,-9.09336777710637,-14.986523734141624,-17.735343684875524,-14.164110951182257,-7.52376849587155,-4.899755276558442,-9.78112254433849,-17.037148203877123,-17.8600966431057,-10.060427397804693,-1.0798346802548304,-1.1174868700417542,-12.89228930542226,-28.05443202659925,-34.97625311908268,-29.82499605186508,-18.98448497195148,-11.027446732173209,-9.670284953438102,-13.520575458004563,-18.57382922875785,-21.241143150448167,-20.86465202583716,-19.399532011867365,-18.793638452778634,-19.3486894350927,-20.253588130237215,-20.560100404364785,-20.065202074391696,-18.64984101270641,-15.450045771537107,-11.00733772574822,-8.471914901599305,-9.403516004210148,-10.55249305579274,-7.524574729999999,-0.3297963767812706,6.217833533289873,7.031141574279049,2.026885255059157,-3.1479305941157745,-3.4487714644181935,-0.40004407564282973,0.4521600502196308,-2.596269986300971,-5.549528460655459,-4.522495623748245,-0.8143085869511507,0.12628627785809832,-4.663631569109754,-11.405621098766527,-14.181842930642707,-11.673802235160293,-7.025365025015958,-3.4082939941528663,-2.6027548101211395,-5.072028812156183,-9.209483829695118,-12.723524502492166,-14.271571955858118,-12.564858268149843,-7.984420858494436,-4.673205923615963,-6.604965046443109,-12.750523953362178,-18.361397834503418,-19.990725344732823,-17.690580407261425,-13.93623864075768,-11.490111161804546,-11.311194524922348,-11.64807520546733,-10.645018056616657,-8.862769700680815,-8.390968359060658,-10.038542928168381,-11.689056353337635,-11.062758526396324,-8.46347026411814,-5.094825556578055,-0.357923724995703,6.43837838544701,12.519373865054853,13.27193852193082,7.967804452295121,2.41136636
7kg_10bpm,2AB,-5.2842554,-9.523448245570368,-14.201916260659443,-16.938641554374513,-15.995791311747322,-11.688163415628054,-6.076076928786132,-1.6858976622663284,-0.23279866563517704,-1.7703261540357702,-4.7295586543766985,-7.264372998560138,-8.934320660991077,-10.739953059417214,-13.42940797270679,-16.060869333713047,-16.441694295483533,-13.078371583428027,-6.838095504122528,-0.9573693513247092,1.1197506465257991,-1.6281761738139873,-7.163314457909986,-11.835007291503334,-13.276570502683228,-12.371650765936467,-11.817791456218993,-13.187046917634103,-15.664682087580568,-17.328123447668162,-17.341391700916954,-16.669098857928155,-16.89959542948133,-18.61220105069851,-20.654993296546927,-21.09419037074268,-18.94902044212294,-15.158268145404055,-11.707285343851067,-9.370818410948928,-6.737698909374665,-2.293136105947092,2.977072512602937,5.633160508195573,2.745497229696454,-5.187327648229648,-14.113712085104073,-18.829055127658464,-16.55976737892392,-9.33306940745002,-2.1847284095790838,1.2907221870448726,1.2185285457426882,-0.04405572131160343,-0.6598447426553841,-0.564006432310439,-0.8677469755055968,-2.595264334068368,-5.748538491713363,-9.311722621377095,-11.643996057612215,-11.170922192018562,-7.952202968588397,-4.699219675163766,-5.165558517032684,-10.86267835061358,-18.936068944753384,-23.885062354568806,-21.916199431818317,-14.459235035232659,-7.645994712410993,-7.248932830627936,-13.729768717549838,-22.14272278720333,-26.2127818975405,-22.623217834303475,-13.230481359867493,-4.203543564928958,-2.0799766255336456,-8.644440600822753,-19.13708332756412,-25.996273714981594,-24.88727344041619,-17.893023355654094,-11.262392668188665,-9.918117093432224,-13.341139987412644,-16.55628517871025,-15.009187648064868,-8.887603424729285,-2.705887843276743,-0.7230713131910396,-3.38889511187384,-7.7987384900900425,-10.47272795894525,-10.175478913776544,-8.75408222999394,-9.128975229781291,-12.526492578283081,-17.52385901474223,-21.59595232
7kg_10bpm,3AB,-8.8789307,-13.84500881029842,-17.55104179946758,-18.249287622242186,-15.96803020082145,-12.354934494783874,-9.145388267196505,-6.907090515392773,-5.307869659479935,-4.28539177088681,-4.491735528219776,-6.380390861202251,-9.052963912135972,-10.52335911311221,-9.487402178083098,-6.879655549428942,-5.3966252746029495,-7.049677963535798,-11.037314461357054,-14.219706025035496,-13.811442767911393,-10.010422086892182,-6.2320606612941285,-6.393358606662696,-11.343510626196895,-17.96424515281537,-21.852128438213036,-21.058468686083692,-17.41593804831377,-14.19857598429293,-13.369167656566162,-15.001408428410771,-18.070870936112172,-21.032555279884377,-22.114294736743712,-20.138275389363212,-15.587241944413543,-10.42422860018735,-6.747003170276949,-5.68110978381166,-6.931100730286719,-8.88798958879431,-9.604217084840645,-8.147751166096223,-5.44096974130764,-3.6311786076394013,-4.137263776927214,-5.7034727100708285,-5.2993395052289385,-1.8057896026685003,2.09953564,2.5935575054790396,-1.224075074512473,-6.541419769739519,-9.583105323736655,-8.713285549982869,-5.071937174946354,-0.8719378357929496,2.365808846513594,3.879838103970668,3.035902073297136,-0.42042945782369834,-5.5982901712345186,-10.543758276689134,-13.083578409137392,-11.964500033017785,-7.5230986683160275,-1.7000395674185524,2.427624909749868,2.1304118903561253,-2.9293834217720733,-10.216569368507663,-16.164495037285253,-18.481366615505927,-16.921022291888143,-12.77318112614293,-8.373241278428171,-6.299069259971084,-7.847160815362648,-11.907501938656345,-15.736937939491225,-17.16383196578669,-16.02216799911915,-13.736861769912457,-12.080993506655275,-12.42644304010847,-15.14622795119913,-18.908366079334552,-21.145928396353433,-20.245960878275216,-17.148435478004874,-14.717768094362446,-15.539382108418017,-19.796996528831993,-24.98049810201424,-27.81757154452307,-26.545499051058314,-21.64474824540923,-14.971875347131858,-8.640068014758322,-4.32353212
7kg_10bpm,4AB,-4.68682524,-10.577890576302758,-14.093755943450105,-14.127177567322349,-11.877218937317025,-9.163365712349337,-7.105447392420376,-6.072056744288053,-6.140488980295284,-7.101790099035399,-8.242273152827302,-8.706968503428005,-8.417445412855281,-8.472329982169605,-10.108067177251405,-13.084236911367542,-15.137812744549493,-13.379378206753824,-7.182043914721688,0.07422841423357496,3.0774435923110475,-0.4672159442673869,-7.666061910021311,-13.825165657167647,-16.9721534731013,-18.243557475290384,-18.902224763638976,-18.73785178667349,-17.315966744991314,-15.119694363688117,-13.075526880365516,-11.83254215200695,-11.541941404958713,-11.908111393047289,-12.28341289439071,-12.054418333080982,-11.286564429969534,-10.805368873814318,-11.27203683272295,-12.241179352595791,-12.388507824755594,-10.956788743764958,-8.770898262804698,-7.4568917029967645,-7.849408583915704,-9.419399854827919,-10.798657333954212,-10.733348623507911,-9.097233600342031,-6.879442041789344,-5.374403254295659,-5.586700343894307,-7.610230710904966,-10.227880082849584,-11.340932735261294,-9.59513241086194,-5.522071701443405,-1.056845681605739,1.8176022353910581,2.311502210023011,1.0460521110487153,-0.5915953231124386,-1.2653566180358664,-0.8932259846061834,-1.1260217951321259,-3.6434851783999935,-7.814479891897304,-10.725348208806826,-9.27915547865099,-2.7663921610511135,5.287808757732566,8.178973436046494,0.4030515617398186,-17.357749303009303,-36.927690909083545,-47.54620123740806,-43.58805608711728,-28.381309179915377,-11.424316125728941,-1.6512809190769793,-1.7810396771950028,-8.026514156251404,-14.462745021879424,-17.861577486436094,-19.12941873178709,-20.530830512259186,-21.694030022428706,-19.35775041906475,-11.712299344158158,-1.9289692084199903,3.924257592155595,2.0264620580328754,-6.684159096100549,-17.878716150692096,-26.5348460313358,-29.201877269260102,-25.499981589387826,-18.178913132223915,-11.491146354212397,-8.858824428564722,-11.08501774
7kg_10bpm,5AB,-10.7949582,-15.355222077861955,-17.872797964378794,-17.53501788360254,-14.463642867484083,-9.866634650000002,-5.790677666835989,-4.069967296995947,-5.2648024923763135,-8.35498792665713,-11.0948857,-11.276661820894374,-8.445935675481532,-4.636602489829594,-3.0681501409558316,-5.4119421199999875,-10.014683422112752,-12.926898454648295,-11.098880042664389,-4.948683739161747,1.7913482300000005,4.658516317421411,1.3546121476453516,-6.811722311074402,-15.908680149268893,-22.16533186,-24.11533851170535,-22.70885847192251,-20.05330589507735,-18.18066770398258,-18.006841079999994,-18.776092205117305,-18.697000849466722,-16.64894399966751,-13.460807234106712,-11.1831233,-10.994365377506718,-12.127388846486747,-12.966047839882343,-12.639204007286423,-11.477133329999997,-10.278393508823237,-9.330911372270075,-8.332920447441936,-7.101560158560842,-5.89113083,-4.955110682572403,-4.2276405811455025,-3.6230833843217316,-3.2322133712164973,-3.16894869,-3.5016415687948235,-4.007464294205566,-4.088500866438393,-3.4689576248275333,-2.71863416,-2.719874758568605,-3.41231268499933,-3.4544955646175177,-1.35835708821656,2.6840770099999527,6.028218172519239,5.594547442449575,0.9736176926217923,-4.675242139185906,-6.93370064,-3.81140937357842,2.440906735887666,7.290438193947593,7.448357751243801,2.8572088500000006,-4.009843263295204,-10.273960432928924,-14.229077806959296,-15.573556572664877,-15.109548779999999,-14.330187368528524,-14.563416295175623,-16.120449828243036,-18.274840249755165,-19.950655490000003,-20.303949973638936,-18.86618058335119,-15.929855597020687,-13.12105807981804,-12.826028249999984,-16.076421184517198,-20.944310973958792,-23.662810620496128,-22.029627212507908,-17.858122639999998,-15.638250446572531,-18.3918369425386,-24.58979152857553,-29.358915040954894,-28.727156049999998,-22.33845360551206,-12.834369355142522,-3.652275788849318,2.448315849322372,3.93396882
7kg_10bpm,6AB,-5.14961105,-6.477408523119094,-8.786727725378077,-11.866738208536091,-14.67379410247107,-15.55843312107684,-13.303463919290843,-8.354594940830983,-2.9954772777990843,0.07447495263110354,-0.4255358722273099,-3.600461729485852,-7.12933966633377,-8.814452069124124,-7.97138767630485,-5.893825774233973,-4.7842736950622955,-5.760153125298334,-7.754349672555762,-8.41283631313249,-6.5820676454183475,-3.8680493969261507,-3.3815980770234666,-6.939597570009279,-13.388699936536849,-19.709122615298977,-23.513393079921027,-24.25216424994339,-22.722571725164176,-20.082037455562748,-17.37699388666337,-15.476500845795192,-14.8294064916012,-15.255859168965037,-16.123356999199544,-16.837345060928737,-16.970382760650896,-15.954987838825593,-13.231720777218724,-8.94077576023402,-4.432106162187769,-1.8596607223828359,-2.7396848378961263,-6.566776993076903,-10.84139406756129,-12.641952665776888,-10.6749526197749,-6.102924699314856,-1.4495297820262458,1.2551704942421262,1.54406627,0.3629718083448072,-0.6552480460877494,-0.12467306891944896,2.120632077314281,4.530887684171814,4.56683009356579,0.6677885946135649,-6.066459364749618,-12.256914726258476,-14.732274669755505,-12.888604046668359,-8.93145444031885,-5.871959632549679,-5.011134759372688,-5.232533448226714,-4.629947548811311,-2.5782052454983364,-0.5242094692823979,-0.7508186172086553,-4.157765784269048,-9.383045145823948,-13.914237953295792,-16.06674443805851,-16.10572337126141,-15.518214114672155,-15.374526149042941,-15.55491017593836,-15.327526937976797,-14.304706131397404,-12.64794260509656,-10.630215167849302,-8.346918876185983,-6.051199733449963,-4.690790079604875,-5.776829559493246,-10.249316907795121,-17.056454466180472,-23.0194643865089,-25.000745147036277,-22.673071996570172,-18.854109028402835,-17.288963010488906,-20.072165964129027,-26.269442200222294,-32.69894375929587,-36.00601124411093,-34.27908952416429,-27.71469470855669,-18.327654881811217,-8.90597005
7kg_10bpm,7AB,-8.60856008,-11.957901325958426,-12.441429375245644,-11.33730130214071,-10.184546764734375,-9.68178840479622,-9.628968958033397,-9.462174373119009,-8.726155366874073,-7.428457896703797,-5.901860319733893,-4.302831753948611,-2.939004044105004,-2.9001133072328154,-5.619967560585205,-10.941503698868551,-16.01003179261505,-16.96262566930963,-12.121003401075887,-4.097333321389255,1.6095817985822007,0.8755718089266018,-5.527116582939344,-12.544014515230607,-15.625333590038935,-14.400699342090105,-11.747907354173327,-10.756255634770426,-12.463079443792836,-15.348917056856232,-16.9330959366163,-16.364733805096375,-15.180387307354469,-15.155246053583816,-16.23370499439243,-16.895801338999334,-15.973768189992231,-13.841383173348584,-11.987031776033138,-11.327654595983018,-10.722137152292413,-7.926097147320203,-2.5097725226396936,2.3329294205888593,1.9128817016634725,-5.256224829869519,-14.871158118307202,-19.811125656167803,-16.345065584201233,-7.3762386504910635,0.394444182190248,2.1825938053570324,-1.7392718492897548,-7.4591843365854436,-10.599477578282983,-8.978534827242633,-3.7235421042016643,1.5923978988861105,3.5704729365613304,1.6997497695162118,-1.3945498655808,-2.637046513734608,-1.8778765743975372,-2.1089586852850415,-5.5481836370521265,-10.558406609065544,-13.204911064701154,-11.272514589299849,-6.395429356300096,-2.185094564272353,-0.9413306753329471,-2.479983532436927,-5.310534300452033,-8.0838529979544,-10.017083141537949,-11.208870714264295,-12.802402866950581,-16.075759127892006,-20.9826789179359,-25.798736486981177,-28.608263673971937,-29.06935320039401,-28.261592745630338,-27.222244669515295,-26.268177960616992,-24.99590715074048,-22.462076731812715,-18.16556196530387,-13.516802232072322,-11.117504306510352,-12.06107856103289,-15.152896969149463,-18.784807873101943,-22.06851290015431,-24.29499530728344,-24.30386599697875,-20.605591186914726,-12.809336637543117,-3.1571111410867263,4.241346294868535,6.13864552
7kg_10bpm,8AB,-10.33628668,-11.78724817962755,-11.827391925364006,-11.648872245482409,-11.938043767541625,-11.76660183113052,-9.827669562548989,-6.478872248977107,-3.387227698241107,-1.5534054565252895,-0.4506030931523671,0.7950164590415782,1.845787839914292,1.3652385384606094,-1.39454308657321,-5.607486951151159,-9.43292637251999,-11.315149652319036,-11.076128399004466,-10.013162643905268,-9.863344745176773,-11.466446187352007,-13.95579351249432,-15.207591182282952,-13.877445068980524,-11.24673857730973,-10.37422120175024,-12.883631908661973,-17.03359373810762,-19.282206871440355,-18.053123561278486,-15.281498643092013,-13.700564921940371,-13.89221458966131,-14.361457318178926,-13.971512529088066,-13.49221818066067,-14.062740888612128,-14.839169840009427,-13.625123703850765,-9.889318759329557,-6.06310027846559,-5.04860256844818,-7.009442218392071,-9.401593254236827,-9.738866056360278,-7.737026768589697,-4.8779723848514385,-2.6959656763360753,-1.9698280146185574,-2.7654753999999997,-4.45878386248263,-5.76687777605714,-5.6038095542464035,-4.486272673964668,-4.3471948268271365,-6.420650503330911,-9.155455885114456,-9.62198501322686,-7.097389926518648,-4.0584385363735125,-3.309878670908149,-5.032435202804083,-6.892129282735304,-6.929653809272405,-5.868194386756356,-5.982205619420156,-7.942546791382868,-9.84176651407219,-9.70104680448587,-8.280622630465514,-8.64356936218132,-12.398831831352693,-17.302088001918094,-19.088337821362934,-15.498513255453373,-8.673790848250297,-3.3992498419346164,-3.4128917420177394,-9.009083364365939,-17.158526696707348,-23.667723044042877,-25.79775118474538,-23.7161550588661,-20.040663472921967,-17.869604327901964,-18.56432360122502,-20.96093935935778,-22.57335851865426,-21.664728678096417,-18.74770828430209,-16.12801279175302,-15.971354756292502,-18.675683363776937,-22.65749011391085,-25.14626937628282,-23.64715280900674,-17.580875487592227,-8.862851250898812,-0.7633967599867018,4.02330136
7kg_10bpm,10AB,-7.2828443,-11.148749596394968,-12.523675572966027,-10.00825220420288,-6.954394012626498,-6.599525059914884,-8.121501346906095,-9.11785688160131,-9.010874743287767,-8.040903822469163,-5.44823268511366,-1.5480002863441993,0.3790952324265635,-2.9734641366085213,-9.89195689563385,-13.82108800844674,-10.627419040072493,-4.118643059307583,-2.3475204066939086,-7.914651693994046,-14.09215955030142,-13.160281369257739,-7.1163551826909615,-5.197456301164394,-11.006048247900269,-18.159067176334574,-19.575039918351465,-15.561400874857123,-10.795669567059694,-8.621299942671211,-10.010896174168412,-14.151083036285108,-18.170953445522127,-18.68101688658848,-15.148714601157696,-10.773919584564823,-9.637857825008062,-12.47353125730344,-15.823310886072875,-16.240940961874415,-13.822851108493733,-11.500324603130105,-11.373202371769649,-12.891997103062948,-14.023781134308605,-13.65571908153632,-12.299981747629095,-10.45152608922193,-8.039598500587356,-5.433613929824172,-3.5559008500000004,-2.4060713144260855,-1.3792849317991058,-1.347406628412317,-3.8972006578118514,-7.7832411383996565,-9.077362979676959,-6.695530497086826,-3.842329155342156,-3.365081464722211,-4.762757561262234,-5.533794980644062,-3.840972601279501,-0.12061081541326964,4.330209306350607,8.213078965814038,7.431905723952715,-3.224922795606457,-23.858492223493382,-46.72068746449522,-58.6548516606168,-49.485864083611844,-20.25095099540293,15.631814163244703,38.41989051748529,34.47782714525518,7.122969584082476,-23.595831386810893,-35.181935828826084,-21.369567539435362,2.9740779539866224,16.325690041301318,9.383617545582156,-10.239821564068617,-27.54240622068629,-31.297941822477927,-19.869698849939596,-0.9571760586869692,12.736279611428362,11.671217799285245,-3.205007018410731,-21.542625575090476,-31.32769843454394,-26.863418980250426,-12.001028110993724,3.0664270140897525,8.820608009726849,2.5129705106931652,-10.377613527169224,-20.589442975061537,-22.39489892
7kg_10bpm,11AB,-4.75256069,-7.0492542349367975,-7.467831417577102,-6.9619717117208575,-7.024851365758152,-7.605283807680461,-7.699531102006116,-6.993600242437095,-5.850937149799926,-4.216468466381918,-2.1492115742172477,-0.808662560877957,-1.5681732339081407,-3.5873447642233,-3.9952525608518705,-2.025761926849626,-1.0651536898612017,-4.7195811056516845,-11.352853470972173,-14.964845955879376,-12.5635894,-8.216439266763409,-7.5756766780444895,-10.547993947651767,-12.868632699723564,-13.588348033296242,-15.626116596464776,-19.154610474270246,-20.031354817998636,-16.001570375099654,-10.434137677458082,-8.01422187467862,-9.575822940732508,-12.576281881541302,-14.43832830428364,-14.99858793016299,-15.890720828789494,-17.12782858994016,-16.281663880049692,-12.43575547055302,-8.135233500000002,-6.7815705870113625,-8.603541774969205,-10.174738442124154,-9.28728056093868,-7.222041637127317,-6.6513123581076234,-8.176223057106183,-8.423199604201619,-5.126391577371471,-1.737642756463537,-2.69242471861352,-6.987704985599368,-9.945891674308335,-9.725018300804432,-8.618915515897779,-8.927566390664555,-9.892854338125378,-8.584539762614709,-2.6424975144024194,6.80880989,13.380919508739554,9.86751283678331,-2.952344494458603,-16.59416985286803,-25.927289052450828,-33.30395003004916,-39.683295707686604,-38.1318766185696,-21.352789101309828,5.269821403878582,25.487747879371035,27.345384790900628,12.544029734753735,-6.720429534901724,-17.712471514491,-16.613621885996864,-10.113277659648523,-6.613710769860551,-7.649907217109156,-9.308966380000001,-8.868566268960262,-6.779754808473561,-4.244609304543205,-1.631306672344222,0.3336488235580021,-0.6069078436664466,-5.575023490083892,-11.93335553923694,-15.45723825661846,-14.476789443063485,-10.734606724925165,-7.2622546423828105,-6.045763043859032,-7.116664932404729,-8.937233162298973,-10.106077694721508,-10.619641741973101,-10.663368567743653,-10.02460386538376,-9.21125768
