cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,-17.75872401,-25.729664642988805,-26.43671426164961,-22.14836398404628,-18.090563959241443,-18.42688853,-23.09881893875847,-28.466962507835174,-30.996248954075817,-29.99416150225974,-27.465882140000005,-25.905423273469385,-26.237124734450752,-27.66508509385358,-28.702640653083773,-28.312283799999992,-26.722939118349668,-25.11037811059399,-24.38686908471175,-24.304832699635774,-23.79124927,-22.019225993312094,-19.0350572896136,-15.414850666873832,-11.49688821680489,-7.29745664,-3.2127368222034063,-0.4608970661395072,-0.3193721255624492,-2.8027578349423994,-6.29270805999998,-8.71880560904667,-9.051789273177272,-7.634446878404042,-5.518693393358946,-3.7217173700000004,-2.80193560012842,-2.7979149179299996,-3.3968042373630705,-4.107670640377466,-4.407984779999999,-4.061954065181185,-3.6103825478790053,-4.302414165616779,-6.987261850217506,-10.81924702,-13.46791896932146,-13.063466461585179,-10.0076633846521,-6.685205340795521,-5.376819389999999,-6.580696047087914,-8.946366639675407,-10.519401785937845,-10.101791756640823,-7.863221519999999,-4.932246651977072,-2.393857361090579,-0.916916294013519,-0.9847504302725704,-2.88735713999997,-6.230298422698476,-9.770940168222872,-12.036153396294399,-12.050709601408702,-9.854926879999999,-6.682221680048277,-4.603879197559321,-5.27347778545643,-8.407011427249753,-11.652035269999999,-12.369731287355204,-9.828447071138486,-5.679214757038584,-2.50606898887281,-1.88156693,-3.6958632457517284,-6.838797872796092,-10.074929549197886,-12.55147370293331,-14.011001239999999,-14.68889076726115,-14.924010071758241,-14.721811142345551,-13.858760817193458,-12.202418860000025,-9.563246492467762,-5.5028367905677325,0.04678161122233049,5.518966165738427,7.84238098,5.041628731803933,-0.8910719036778965,-4.652641826801091,-2.2338929063280775,4.90241054,10.615354231482037,9.337840429042078,0.9367454617285237,-9.345958905526976,-15.43460515
7kg_10bpm,2BC,-23.71974536,-28.71054353879721,-27.916839834635297,-23.12687499123821,-17.7569472535853,-14.679702591625778,-14.711569462754156,-16.660776775234524,-18.710382446488925,-19.919533570200546,-20.66721993583547,-21.97465282981626,-24.443443056056818,-27.70128014474201,-30.744823607661658,-32.602486067570794,-32.748607910157666,-31.345158425512153,-29.13569266190788,-26.881668509014627,-24.816913259999996,-22.700541578228492,-20.166795334423234,-16.99194259686956,-13.258246349256662,-9.376598839519627,-5.9888512703523995,-3.797690502354461,-3.2231568797099985,-4.14024945038021,-5.803152479690343,-7.291241280139776,-8.065259150684483,-8.089915381471663,-7.612799067444078,-6.931722326293155,-6.23043132942967,-5.581190992827569,-5.065074682670043,-4.825674920860884,-4.9009623,-5.018320792673812,-4.673696576106359,-3.533850564407083,-1.838230045232801,-0.39695683366426243,-0.08248882190298625,-1.222335507242077,-3.4472228555624898,-5.954975596047437,-7.908303951351678,-8.717601479061766,-8.119146819147426,-6.261976986283364,-3.795049368167212,-1.7599014705170783,-1.2724055744174485,-2.9326214035128944,-6.186973840967461,-9.52209629303275,-11.633189510000001,-12.36580606130207,-12.380508173593766,-11.973714327453619,-10.528109985500382,-7.396278750535146,-3.165439403911538,0.29629212724243814,1.2250114173902267,-0.6101723398517125,-3.85720309403449,-6.752916348666076,-8.330634195068921,-8.849862461101843,-9.281405590711387,-10.292493100739021,-11.625882730544804,-12.407850027894073,-11.956006350347485,-10.203634561471178,-7.44276609,-3.9822042911205013,-0.18534073522389588,3.278619165307541,5.441929591969591,5.345296973149862,2.2493015991967984,-4.227962391686238,-13.493525667334207,-23.064736179494194,-28.69538589677103,-26.51115900096165,-15.920377946696904,-0.5710438025487865,13.666940527291223,21.862861309803513,22.236315733364407,16.224469416146817,6.88762730132493,-2.6542758610986033,-9.98107872
7kg_10bpm,3BC,-28.44656278,-32.66564357735387,-31.757559719024105,-27.278986987069768,-22.38253482987683,-19.563158933063505,-19.259078451012833,-20.293310497933064,-21.400316810717086,-22.189315196813432,-22.916870736269285,-23.773756620761436,-24.472004811410187,-24.51513450055987,-23.773349543820817,-22.615181200789735,-21.548180894424927,-20.870080917578978,-20.697037200163777,-20.93290418208098,-21.107396561862565,-20.453079761123142,-18.345999436603893,-14.795107596598749,-10.442625478174431,-6.1776407073371855,-2.7994292814744552,-0.8537036001584986,-0.5837299183940512,-1.8631380340941888,-4.161791380793081,-6.612778169669861,-8.218629205600964,-8.332984468299427,-7.128707956314527,-5.461117746593316,-4.205957740665743,-3.6675460873754986,-3.6333802984456782,-3.9293279475385288,-4.734622997475729,-6.263044679186852,-8.317703640994164,-10.174985206706879,-10.810463182543488,-9.502208513054155,-6.4909272010206225,-2.9696167787205763,-0.32657209312207347,0.6506732165256786,0.14272431010727704,-1.041282209083105,-2.2726630382903044,-3.4887159982341354,-4.7648116787495995,-5.844852241604511,-6.286983395671919,-5.926948576548359,-5.168939812857117,-4.775102522225246,-5.26015021816743,-6.359043539724764,-6.991636673788439,-5.942206694293616,-2.9681921290050566,0.6807581523812685,3.08134569160118,2.9610627582023024,0.4296446065442746,-3.1316859815365428,-5.986749934218201,-7.2634020957574075,-7.451367628045136,-7.74800491015679,-8.899172270107622,-10.512633979440054,-11.353476413766415,-10.349886341895202,-7.434520143120503,-3.6066873176041225,-0.3429536860395024,1.2181298899126884,0.6247901292553145,-2.094587784496212,-6.418490941370646,-10.817856296468024,-12.857360787374196,-10.76449774820147,-5.21177744295626,0.8851805443531744,4.670919954875528,5.513604396884282,4.991717501966049,4.858472689554565,5.260473000890134,4.992965540219174,2.968898605863746,-0.7353336827735029,-4.865537324192748,-7.731560895583236,-8.13282213
7kg_10bpm,4BC,-31.66281751,-34.2453649028302,-32.10663296765203,-27.87294925502814,-24.428329073065022,-23.033599664252833,-22.98648922121885,-22.834285310898142,-21.92025076567858,-20.826601498852146,-20.60205693796571,-21.799388151580377,-24.009355730440706,-26.034319275501897,-26.653635790216544,-25.560876722885233,-23.581392698957803,-21.972005734926803,-21.49023089683475,-21.794029204911602,-21.701907680218305,-20.15172566904099,-16.932113257862916,-12.699226224614266,-8.55331839652431,-5.471776296291017,-3.891296634852342,-3.557076885254533,-3.8346290685723528,-4.156040864153057,-4.298601943659531,-4.40387826053565,-4.7529463899930935,-5.481883605720927,-6.466887788578036,-7.385038088460584,-7.888265878329223,-7.844164492616735,-7.339821516314123,-6.70784980789794,-6.304610911377961,-6.187582229916163,-6.0349557414261055,-5.504316949091202,-4.709085258363968,-4.2626691878737235,-4.7393879839450115,-6.055150083466597,-7.361950543961341,-7.640279455349852,-6.471854799368266,-4.19268669910663,-1.5246464405685163,0.7933368361832591,2.142175135261601,2.0815578619656856,0.674918424526312,-1.434543630831776,-3.520041370149784,-5.035088835599778,-5.477935133420951,-4.376542556083924,-1.6282027626696116,1.9594469558541452,4.53815478932717,4.106511465165093,0.1360515761255565,-5.483811904485823,-9.415124891733372,-9.244596928998634,-5.288238228628544,-0.3542528761529333,2.2394796464291606,0.9038119104976136,-3.2694772075840293,-7.412470020882898,-8.987180897656224,-7.593178441792461,-5.068962387358614,-3.7943757112351086,-4.623924961160737,-6.179962595672675,-6.082335934610188,-3.0891179826810116,1.5031365811558148,4.3358263873541265,2.125463369722136,-5.935443732407,-16.859214458387726,-24.88913540138465,-25.110236362591955,-16.992231864977132,-4.571737600116168,6.674272542690012,13.19487695534868,14.413599431852582,11.69785365569126,6.920792230001334,1.734247340096567,-2.5948046507456253,-5.34460896
7kg_10bpm,5BC,-32.20680561,-35.03265094960639,-32.74527852265336,-26.721423031328765,-20.366604823643957,-16.834342391817007,-16.892687984484326,-19.02806182044137,-21.265170424666636,-22.60835740755134,-23.082646266691636,-22.995776988563488,-22.513500175165635,-21.69206716046285,-20.53084046163089,-19.10271608593279,-17.73430214139489,-16.966260288761873,-17.173613989771198,-18.15908494121635,-19.106158681489013,-19.05544010724719,-17.570987185486704,-15.147054548594442,-12.921951365804967,-11.739608456990291,-11.483752166350946,-11.264441190327192,-10.223157858085864,-8.198452296445554,-5.719739201810637,-3.575323424046545,-2.458277357213717,-2.7808505607237586,-4.468336191021639,-6.8672878160203465,-8.97997537452129,-9.919071433477546,-9.380655315896103,-7.70716275583813,-5.729926447234698,-4.263230015486042,-3.633701451151453,-3.6635053521745493,-4.0937054703973965,-4.857800700664788,-5.918305239740053,-6.970615894598018,-7.521443850798524,-7.281677267770602,-6.392298063377453,-5.2623191536562475,-4.101713052083659,-2.7323178590071935,-1.094719880901477,0.12206715124328632,-0.2767885170236247,-2.9951403802120433,-7.394096957593574,-11.499311215716759,-13.157686430413577,-11.591896998251524,-7.863750945565443,-4.013281532403221,-1.759738829364812,-1.7883523827547307,-3.8038145177970923,-6.775152297878514,-9.135381400958043,-9.295348939314366,-6.6983221749344235,-2.5240231027787465,0.8590752082564846,1.4187610549503076,-1.1725976647705874,-5.39425322675915,-8.84310947066231,-9.576480527374729,-7.221967450065365,-3.252449626096756,-0.13239903472764125,0.24034645432876986,-2.2222262268689774,-5.823175219324758,-8.215159773403482,-7.8131548731534,-4.864689662413704,-1.4389139071105488,-0.04272154667862636,-1.865631315252793,-6.003812437735626,-9.98438203970174,-10.882938920575723,-6.548088826752989,3.093848229452438,15.230614101461434,24.894414935731888,27.358025315718866,20.668786419460183,6.510167391213001,-10.85703562
7kg_10bpm,6BC,-28.06457167,-27.397497925029878,-23.154427430691943,-17.993077224262205,-15.317920719762004,-16.71005480839207,-20.8582381790776,-24.9149862166285,-26.822611219272783,-26.376090250812396,-24.688122570063218,-23.04341316918111,-22.07829364785493,-21.7849212787876,-21.87128424696909,-21.86907804582837,-21.253527301251346,-19.723229871767742,-17.60476451150219,-15.723519363698003,-14.682083862828373,-14.37461476121453,-14.084163696336043,-13.057372451527655,-11.062498288986045,-8.71412665,-6.8960244094403995,-5.8516241792163015,-5.080320649321349,-4.170205881792042,-3.490858116182723,-3.882628192181685,-5.518913299394449,-7.457708592150748,-8.388310857756522,-7.5953353842260265,-5.175570400795249,-2.1021455577815003,0.05124270594390334,-0.02592601710204237,-2.4544416175807515,-6.082310724924128,-9.301707312688118,-10.798696569380706,-10.042566981787866,-7.6985545193668985,-5.393205222365817,-4.560546590208906,-5.199525252682049,-5.812430356160693,-4.70131925,-1.5362249690146332,2.1227872420406286,3.7885667647501,1.9230419430519141,-2.504513566259879,-6.253981910237817,-6.331944762763441,-2.6373123451513276,1.8475372406253479,3.574095815283935,1.4514775217561888,-2.2323055889915295,-4.1722195701072105,-3.3525382681332556,-1.773634342161217,-1.868907598879942,-3.763254864456368,-5.466556798334197,-5.349787150605074,-3.874561304867103,-2.9549620646482664,-3.888953951002249,-5.980349382038908,-7.275444268680798,-6.51301784,-4.42772101386786,-3.2954249235713107,-4.9088169364281935,-8.683971521473207,-11.802202878072368,-11.547617317786461,-7.61837200166381,-2.1552183687330855,1.9364718664226457,2.489042960908333,-1.291059567625889,-8.326640306179074,-15.204299766411715,-17.411222558973346,-12.6232572236895,-2.993592498852249,6.237936224405121,10.592589039559234,9.241795380581364,4.788946512201585,0.6597963558880802,-1.2711585971116246,-0.9380268021625963,1.0165791946563036,3.80896321
7kg_10bpm,7BC,-21.19256074,-30.30888919743298,-31.194459876136076,-25.016465732393964,-17.010388119468608,-12.42384899660757,-12.928803329038693,-16.37024620596321,-19.668823459954258,-21.640135298489707,-23.15545518823498,-25.17514170980393,-27.193022331678865,-27.572381828557162,-25.308928377014887,-21.359649965908467,-18.02403070142914,-17.161695524063415,-18.564521054157776,-19.95779849642105,-18.93789532,-14.831407900708365,-9.08806771940103,-4.139970245395512,-2.0258660886013926,-3.2789030345093946,-6.6440136842998445,-9.9297290880136,-11.480283052698978,-10.981568547475376,-9.134042991749972,-6.885535989552714,-4.868268837222683,-3.1810638735398697,-1.677859887000357,-0.29700659683373287,0.7029328790844398,0.7389236833720652,-0.7004111370257623,-3.6034266009349136,-7.15806354,-9.88913703423124,-10.551898674805136,-9.252146987901241,-7.630196042361952,-7.564741174847666,-9.286927020742013,-10.878212361397376,-10.10231044498879,-6.609435145921725,-2.4113485976978937,-0.29162155398105677,-1.4714214955055323,-4.640126707491464,-7.312444474180019,-7.963457495147941,-6.630762490716891,-4.201721942217051,-1.7514859113219452,-0.3002907036259151,-0.5726666600000001,-2.5109291271551015,-5.1414459957548,-6.996039131867848,-7.010454421361154,-5.4096384369710435,-3.570078468660559,-2.8282984233996586,-3.3948275189119324,-4.450076355970636,-5.02843040612828,-4.866587365017925,-4.582785073421124,-5.084130756682275,-6.587267115669729,-8.10767748721309,-8.100973250030115,-5.881536724148598,-2.4414728195414024,0.18746656855778168,0.45031695,-1.8328159307519947,-5.509926984427913,-8.736316652234821,-9.988310524667783,-8.72109605003397,-5.411514307437833,-1.2098540493478893,2.779783889481623,5.968947575385262,7.805225854632792,7.220240348627874,3.4027174523292416,-3.0271964834600724,-9.85806110836239,-13.978884668434334,-12.618911471421793,-5.122743267642808,6.102815444618983,16.454963164465617,21.20003482
7kg_10bpm,8BC,-20.27664824,-27.9437824725593,-28.474044127491197,-21.106777058247985,-10.891958573415494,-4.831129522649043,-6.29471372706841,-13.132278832928334,-20.81059120631994,-26.152974160835676,-28.16499845824046,-27.179235053341365,-24.20201190239302,-20.659650886044183,-18.02102645347551,-17.29882812401673,-18.635636083884762,-20.82261969181384,-21.68383182641484,-19.457213616340212,-14.134193713708086,-7.493874861223863,-1.8196260357014447,1.4140495409177107,1.792409271093373,-0.37709737554271106,-4.249876062940257,-8.606883408054212,-12.031035851108875,-13.284321723487569,-11.950407259701258,-8.630599408726852,-4.801198430171049,-2.3441094334943995,-2.528282569110645,-5.195838664154204,-8.813277255147256,-11.425752850591332,-11.906810757978567,-10.522896147136139,-8.568802410389315,-7.431671323416127,-7.552714978066819,-7.857644984770643,-6.607085596870388,-3.255136661865721,0.6272340500806184,2.19096868436938,-0.5711755914113337,-6.837122553957796,-12.980896024991216,-15.14974083057838,-12.035800446816957,-5.863804369876044,-0.839953040706946,-0.21376244525050275,-4.110605343921495,-9.53655574019644,-12.42388984864529,-10.405401230153151,-4.459593094296407,1.750360665597856,4.293781023656302,1.844169694738655,-3.478152599822315,-8.1765818462092,-10.085160510931098,-9.204028364197239,-6.574466816437417,-3.2705608639502035,-0.6032471752717886,-0.19343303931021547,-2.858588455932474,-7.435788429440119,-11.43566893897124,-13.072286829479758,-12.295934481805078,-9.885706791191625,-6.631719914612395,-3.599703555926341,-2.2008975058226485,-3.099498903284454,-5.222967243753236,-6.642694624925282,-6.50645552953353,-5.808127252222084,-6.310656922810798,-8.539608646986238,-10.457653534497998,-8.617534638560874,-1.717488242367198,6.896870853613487,11.275828462898321,8.007722538489476,-0.7332074301193334,-9.22941709792131,-12.867474824361988,-10.695126607976636,-4.474902995300586,3.41736445181084,10.41869886
7kg_10bpm,9BC,-21.58787231,-20.815179118659145,-17.937829717013567,-13.644280444998802,-10.878377883021715,-12.14338402,-16.774960669984235,-21.54411252269814,-23.715330218548157,-23.095247293862837,-21.49634444,-20.59494215334096,-20.51800735700994,-20.217175940846307,-18.815411838402813,-16.63195943,-14.939130155553292,-14.87117709744088,-16.131222420493078,-16.894744696777554,-15.59014329,-12.494632635717522,-9.188295285365497,-6.934127074942402,-5.91156133087886,-5.67955824,-5.984847808610328,-6.789911694025111,-7.851881536713901,-8.639012649242709,-8.800004050000002,-8.489082387405828,-7.908637353275236,-6.991285574822157,-5.691068698531844,-4.302570200000001,-3.1924278175068594,-2.4841478557316647,-2.2523515456710563,-2.8127451047976737,-4.53376435,-7.373842845442989,-10.593599415738288,-12.891580940515201,-12.952105312659743,-10.51454331,-6.985058698288796,-4.553510070889427,-4.577237939176543,-6.618134918914733,-8.76222169,-9.048738800480947,-6.780456488072797,-3.05844129858275,0.0763794563208488,1.24046586,0.447658617805839,-1.344787597302865,-3.2705341457401613,-4.871716326672371,-5.5620524499999995,-4.703454774322051,-2.4819594571999155,-0.6534042119571746,-1.0659103515321913,-3.423975249999999,-5.63778737980409,-6.248778261971985,-5.691463083606728,-5.095930775315226,-5.05186104,-5.778801747341571,-7.268776367938643,-8.665363630482824,-8.510316188926994,-6.3884025,-3.882612517308238,-3.096649780177145,-4.279035343202019,-5.685846817926473,-5.77103314,-4.860039044959127,-4.1939899668959875,-3.7931714631053293,-2.540762036518806,-0.27838927999999996,1.276585580624702,0.32649907960974944,-2.333867800252536,-3.935514663777122,-3.4150959200000006,-3.023317217292649,-5.604450335255704,-10.718874916981834,-14.249679645394075,-11.98193036,-3.2890394434654042,8.403665903515927,18.076480972686138,21.922527390415187,18.53086398
7kg_10bpm,10BC,-30.07958622,-29.515384445686756,-21.394472715977404,-10.692307431153171,-3.811661200670637,-3.9270657943541916,-9.224556195656621,-15.371828284140605,-19.29962171396254,-20.84822488292398,-21.57217536862774,-22.472793770829394,-23.031628569068868,-22.223134469791813,-19.76500600624825,-16.326105920030322,-13.165850700200423,-11.559895579524312,-12.192806689076239,-14.695096162929465,-17.556618964018508,-18.889520163496478,-17.44670549673701,-13.285782806973614,-7.787576552455783,-2.907265157942157,-0.3187296570553689,-0.6467405653407267,-3.174240177149041,-6.393513980165488,-8.980835875986426,-10.295629005674751,-10.332294155833488,-9.28814766332477,-7.4453439880770915,-5.28467979104521,-3.4959551309927317,-2.697205058636247,-3.103244273162285,-4.485481115540188,-6.4422198841183,-8.614336958613862,-10.662457935593098,-11.90083939386895,-11.431347594362908,-9.136576712091305,-6.2208393712903876,-4.494703945257889,-5.187588414448892,-8.055966940106133,-11.275395631715483,-12.565690174866315,-10.554910121159871,-5.614507845236918,0.09002569124962406,3.6122103328869803,2.985661153461482,-1.3489892025844392,-6.769411148840532,-10.403079598270498,-10.785296921193593,-8.278141366197714,-4.5770685346092765,-1.6019360858316234,-0.47116414827853315,-1.315397494840143,-3.8083934610898145,-7.0346482449727,-9.2182561218564,-8.899306394351408,-6.678776523465695,-4.995790821873342,-5.842074065819781,-8.744356499619736,-11.116270502245852,-10.608186349379176,-7.199928822556712,-3.2037522936634275,-1.2695824230661987,-2.2410304546283144,-4.563672037043691,-5.94946076788033,-5.454397238419759,-3.715898118524504,-1.7259016719755138,-0.042491208729973425,0.8601939779235201,0.1499246678895738,-3.0641394388381875,-8.711492776377908,-15.156672457983614,-19.883084159520475,-20.56977726909903,-16.00896012619089,-6.915574972249748,4.149133586119531,13.803785543189258,18.777607740954352,16.83812610687795,8.204339982998944,-3.98916875
