cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,-19.87164773,-22.86387069270835,-17.416018350656223,-6.234623077609758,4.583842729959603,9.875522152116034,8.495256544939558,2.851386611443968,-3.929388375491683,-10.209140948725258,-15.67324545975938,-20.0014012037889,-22.27656759897492,-21.7105403221498,-18.893723659039267,-15.886926774299429,-14.722079906947247,-16.267644186780572,-19.970130143161835,-23.925082958419512,-25.579398325486334,-23.057715134143873,-16.067087700753138,-6.2425237337022,3.0019203199437543,8.295979257345671,8.361637197457563,4.1684952022868655,-2.0364540605596932,-8.054299472107989,-12.731164686771343,-15.56427708113212,-15.920528143906546,-13.166784750013104,-7.784762755643054,-1.915581927241192,1.7410719594754376,1.657630815332412,-1.5684167866214478,-5.663372899037551,-8.319627197147524,-8.646831223879945,-7.2600582883658165,-5.488921497238885,-4.705492312991262,-5.902986429034468,-8.900392473493918,-11.716623737829972,-11.79648878268042,-8.236165480891248,-2.5753900901687046,2.287330205624671,4.0915049384751745,2.4868128316263935,-1.2366145074893813,-5.1700806682471985,-7.577732132678572,-7.496846435775249,-5.557797174857919,-3.9219340414248633,-4.276265022904215,-5.783494197918256,-6.00190796992895,-3.834212110739397,-0.979257867895154,-0.36238501828702335,-3.3521864064414526,-8.351779515998308,-11.80683350578908,-11.042665494226169,-6.381320426700028,-0.9345842936523456,1.740272948550462,0.021298214389223954,-4.955639310883061,-10.217432126538169,-12.710634394901556,-11.159076199941085,-6.846113579400692,-2.4033088077944273,0.19879239171212648,0.6181375290392251,-0.5199660605592256,-2.797420926130621,-6.268554346907997,-10.656396755087611,-14.639121888638496,-16.241350844162636,-14.18582264894872,-9.27139616247282,-4.411917390836754,-2.7017372285187746,-4.927090482035582,-9.105728440893522,-12.113556861942573,-11.553445570371265,-6.921098437632681,-0.34052295594404175,3.9416257577855305,2.0297715753858783,-6.72048263
7kg_10bpm,3CA,-18.66339581,-16.81969433174388,-10.954426700382752,-3.7372417094529746,1.526183596200745,3.219149366038278,2.082830549852187,-0.3102510047861486,-3.3217658565681387,-7.4125794764148445,-12.891633528702618,-18.903956603866607,-23.739124135056628,-26.094784041706262,-25.677957621538418,-22.814126555412212,-18.203279582327,-13.061037242356099,-8.780646087666474,-6.270590969386991,-5.432888158793808,-5.398853014901112,-5.326165849444105,-5.150213556768137,-5.316861119244313,-5.871257387656415,-6.034316476360016,-4.858396694147107,-2.3398336912208157,0.20825513758685707,1.1302358582017669,-0.3886647457981947,-3.8402807562489247,-7.820358034792496,-11.056925774875983,-13.042025315930912,-13.756467151705461,-13.251613045291586,-11.637003530382064,-9.32994099866896,-7.063555966961531,-5.461799714470187,-4.682493874925797,-4.555255287412158,-4.928200499520472,-5.7059854749324,-6.66984590171546,-7.522008697740479,-8.013617185563115,-7.9730855966196765,-7.37760779,-6.505300908447634,-5.88794507385634,-5.977597401835453,-6.739976963908848,-7.564218128910314,-7.665523311585258,-6.70339107610117,-5.045097383544289,-3.4692671866740006,-2.683181807672011,-3.0415427907980397,-4.56272014919006,-7.000994315466729,-9.761224981685462,-11.87834945981805,-12.258061941856923,-10.284679802564805,-6.421166367719049,-2.204890570128022,0.5374946318181044,0.8249447136393067,-0.9646129597358253,-3.4854800413087887,-5.253763572768067,-5.44925618143794,-4.298248907737254,-2.865695730399337,-2.370013997085895,-3.3259969016842206,-5.028016755093509,-5.946786672819487,-5.005607730637549,-2.6588373357902757,-0.7911541383397225,-1.4048029004692588,-5.046745196133296,-10.242939331057427,-14.42996843864313,-15.601712286862199,-13.570700828350882,-10.014995917988177,-7.204308871057876,-6.420413919625726,-7.285465979798682,-8.533281080425725,-9.25026435802112,-9.30329900168923,-8.923252862705663,-8.285658868386905,-7.73586167
7kg_10bpm,5CA,-26.88065903,-24.535898784259892,-12.971317515574656,1.6181159491456711,10.331685709346111,8.939338757287901,0.4569184972248596,-8.562780842128642,-13.527091773366406,-14.297055369206227,-13.339227640646904,-12.914683936597706,-13.784990328529561,-15.319828388772494,-16.184818650228486,-14.887948472989084,-11.067504440973796,-6.347159528504793,-3.000930766141281,-1.8272198497031307,-1.4021074206464321,-0.23751544687156542,1.6517518567333829,2.7981304100429165,2.01458509491206,-0.20340639800231744,-2.063486458801358,-2.5402003725075915,-2.603210484713242,-3.6841151654796898,-6.076191681627721,-8.89908108198188,-11.189643167474825,-13.0245245285696,-14.968674927884313,-16.341249982844996,-15.504890652534582,-12.060085459904464,-7.740617516879126,-4.914134175921942,-4.971661589893415,-7.663766407166177,-11.194585099277706,-13.189793675205472,-12.201185723027155,-8.723414689092506,-4.713497546097539,-2.199052667730418,-1.9746922472886044,-3.6342200224338095,-6.51814452,-9.805008434957976,-12.020171158332714,-11.68397531994046,-8.912688098936743,-5.863536715621631,-5.046120403354544,-7.129874230593332,-10.287967706367521,-11.77253266035671,-10.602787428981587,-8.450347250697504,-7.54342601284035,-8.362240531994491,-9.367565402904434,-8.685400014053805,-6.171348583631377,-3.682283221127076,-3.253632206392832,-5.036911123465041,-7.086375010220597,-7.440495520770058,-6.137405429626914,-5.08893130626001,-6.1468663109760895,-8.959626857308713,-11.064064479094217,-10.322118124815525,-7.105383635219023,-4.09712218998109,-3.704654900581281,-5.70450077814272,-7.9212212697319,-9.028469600743552,-9.476952880003392,-10.018475656554681,-10.623111110108404,-10.959622955533437,-10.808998383734366,-9.7591468159234,-7.258609481357263,-3.5982537014160125,-0.9355872383585921,-1.9341846329905539,-6.637964354817349,-11.428896309911709,-12.26809243631528,-8.792817691339648,-4.476207193674588,-3.329458938379772,-6.86998846
7kg_10bpm,6CA,-14.08545428,-16.071647594547272,-12.59060039472626,-5.3764136371459665,1.4242610490766563,4.430947807635317,3.06731954647055,-1.1807104022270962,-6.72660930862977,-12.49097832257304,-17.30267966741378,-20.111191291239535,-20.524417476992355,-18.812191706244324,-15.735741061484289,-11.773665261272214,-7.265555768932591,-3.2490298624174816,-1.1848989186534866,-1.872718568298755,-4.563437131032056,-6.908749131021824,-6.35982858956001,-2.2215920643530795,3.224305285883956,6.379008250000001,5.256428912308795,0.8191298296083674,-4.153247785490182,-7.013272130674297,-6.564824619360413,-3.708851678609195,-0.9977473516591014,-0.991074316073389,-4.457682935376472,-9.904835868640184,-14.880024943075721,-17.537829720209963,-17.386671483334425,-15.180476509894225,-12.082169899243443,-8.898191383731687,-6.14742428243513,-4.46575911247717,-4.288934833469608,-5.362293498046059,-6.9239227444516525,-8.235796855838839,-9.216267863820393,-10.226203609415274,-10.98988242,-10.461467149588534,-8.192951315484516,-5.342503759092393,-3.9742925815235317,-5.399394172224514,-9.116569199869737,-13.145765242325407,-15.12161539559069,-13.540041801285309,-8.832508216936782,-3.3136167878749636,0.23661485768405618,0.3379429273125898,-2.494778488982907,-6.53754674739406,-10.04726141008884,-11.812126035329888,-11.438098335646565,-9.57401358405417,-7.532930554496273,-6.269976874647566,-5.8012401255921615,-5.70431000984239,-5.769892451648966,-6.06535847,-6.587347419286179,-7.127252869580911,-7.51874584561388,-7.825535775982362,-8.095846909844488,-8.164317957396353,-8.033534729319102,-8.235118406124986,-9.33151584166692,-11.077178293335503,-12.261767660826097,-11.574703495670844,-8.877584437735782,-5.804053535932412,-4.7510342519404025,-6.621462525564942,-9.657007364239087,-11.091230856284522,-10.03958479230539,-8.047616394120729,-6.912151424408637,-6.9137665185516655,-7.378892232391656,-7.994990438288302,-8.91959384
7kg_10bpm,7CA,-11.71476482,-13.514276261616994,-11.537676890593826,-5.889479496366824,0.8003526517245766,4.967303697222499,4.728380249161828,1.0479305917350341,-3.7564447439360804,-7.970091350995612,-10.633780470734022,-11.123179437174906,-9.52953477601425,-6.937888254914689,-5.201216149876571,-5.68450128354021,-7.6543894382730375,-8.699724792718634,-7.1074894975752585,-3.226371044830913,0.8260283044853874,3.2561578120508514,3.5863635746629856,2.546173818493614,1.3377767992654248,0.982598684884174,1.676343311148637,2.49896295609549,2.1190543054441284,0.0561812134572108,-2.9465333681925188,-6.023191666239872,-8.807434032231788,-11.173475925569088,-12.777457736983234,-13.191161038645808,-12.364243167379342,-10.790260923768203,-9.247568205709342,-8.789520061619355,-9.992731395284968,-12.209099743680277,-14.07464492721087,-14.508363526419023,-13.18179138387023,-10.483156099896393,-7.624236086169039,-6.133410508025682,-6.418501387696067,-7.18683714188551,-7.18175251094878,-6.8999805673350965,-7.49943610713736,-9.082478695199477,-10.524178278613116,-10.674825291656562,-9.605663416591488,-8.382864454044508,-7.969225326062364,-8.48074306109995,-9.05765590827415,-8.56157756558732,-6.635993042868668,-4.18413074261212,-3.040925399876773,-4.655215235683214,-8.57664305760951,-12.396469175478405,-13.275003678277864,-10.305930643256607,-5.606984706595045,-2.627936444104226,-3.0399031150577405,-5.520406653934715,-7.961143907036858,-9.678494435670455,-10.818134467990266,-11.043575847429935,-9.708367595506097,-7.19230851025385,-5.199366908539863,-5.095441849088884,-6.600081932398663,-8.380898065254371,-9.551344989020446,-10.279248943711364,-10.793497775256709,-10.684101710478185,-9.559396372447905,-7.815691609984129,-6.317079309627319,-5.575377074688117,-5.916278276469354,-7.788761975700579,-10.542215478437567,-11.384513675394858,-7.966656424632271,-2.385145893327719,-0.05665268334941442,-3.6280472159628405,-10.18659045
7kg_10bpm,8CA,-3.49530219,-0.3119238763199633,-3.358175092725896,-12.335438701155837,-20.603701291396693,-20.21898177348999,-9.250519430700852,6.2473431413962395,16.92980727593622,17.918578166595946,10.493755597988997,-1.8150024280474408,-15.266320719305675,-25.33045614121308,-27.545988566864185,-20.926326341254846,-9.558716636677485,-0.16058701512436305,2.4808020355510605,-1.5889080915411458,-7.5395350894321265,-9.636558521881854,-5.535596898074891,2.924510980310787,11.228409958554455,14.519999130998999,9.856832985006037,-1.4851633947382523,-13.77971503991231,-19.207996954671987,-13.360436887556812,-0.3188724155880456,8.635857053664921,4.8395209967751445,-8.91564717334844,-21.57434471536595,-24.79017297951818,-18.593602877864747,-8.838075525268792,-2.132386306551329,-2.574083458884923,-9.756997240770529,-18.49986033067286,-21.853751960628465,-16.06364647285655,-4.358227851953106,4.202546444932579,2.5967182264530044,-7.138065776589796,-16.4756181939406,-18.882309369999994,-14.135271004431678,-6.5860382424187325,-1.1590062938213546,-0.3390959649195613,-3.3718114989980434,-8.214858699492442,-13.85732931574739,-18.79264108471115,-18.742876598248603,-10.265004018237267,2.878348041926473,9.822776781475437,2.389477016260127,-14.487253786600112,-25.273277475911108,-20.255076287535196,-5.501981427988392,5.536721302711156,5.656629640868971,-1.733501753868238,-9.229248220021718,-13.573172464620672,-15.334709604561738,-14.036918573078806,-8.566081884420282,-1.687734182599204,0.3512833366548693,-5.792099636181258,-16.090037920719716,-22.300911350130214,-19.59827736000325,-10.191390684890834,-1.214753601413703,0.5016486716493044,-5.796758329948712,-14.18370131911619,-18.527570751164234,-17.65364013393595,-13.786979019204006,-9.072020539634638,-5.095199020578394,-3.250378093388527,-4.431472641025303,-8.582964468534177,-13.353026636107156,-14.072940905251459,-8.401903607794225,-0.5905525369990521,2.5106372189740145,-1.40841536
7kg_10bpm,9CA,-11.67546284,-11.227649451625684,-8.599053621287185,-1.4006613302635103,7.290293628647145,10.003320628868936,4.121908072889366,-4.958827163656127,-11.767903527341621,-15.763254472460009,-17.852065504521956,-16.64672600755271,-11.551195990878824,-5.220034607226652,-1.0028398615421132,0.09371889976210493,-1.042358749533283,-3.003540910807682,-3.5835503072487933,-0.9340332031406315,3.896739190285512,6.929395695248437,4.675535563443519,-2.4367289129667364,-9.728635174871679,-12.53160855095975,-9.993670573456427,-5.622147894172308,-4.259179002880391,-6.828672572104157,-10.199443245448094,-10.776747524008703,-7.901744029496536,-4.297487775565264,-3.335974108540438,-5.880142598105106,-9.611363139506164,-11.129953647299027,-9.435460670336136,-7.755033463334955,-9.122638366619286,-11.922766092503087,-12.38261072048288,-10.178049172391187,-9.035135061902317,-10.319013479153405,-11.276791253856862,-10.0246484948551,-7.630308463087814,-6.11036822767137,-6.595954826749501,-8.624626305277367,-10.472413937026673,-10.21985675546286,-7.509703741659474,-4.7251903779824485,-5.082968320910432,-8.722921789696422,-12.276330626380226,-12.522423260585565,-8.963637997905996,-3.968198790821875,-1.5045750890218592,-3.5745154171402485,-7.774537943351932,-9.643664554051957,-7.6723501537083765,-5.574743747240955,-6.649439335142543,-8.609919836520495,-8.725517894654331,-9.321322635618492,-13.070425422031123,-17.35279104169998,-17.11102944479331,-11.300625923259352,-4.833411023554878,-3.8503058105609522,-8.914793837555472,-14.027175761164882,-13.840643539546384,-9.663995302574879,-6.62941333263972,-7.466606695360095,-10.620843203303748,-12.648122168149685,-11.76637565251818,-9.187650032495867,-6.9388663724472055,-6.007310596567057,-6.634478039295275,-8.799809411775753,-12.08682757833123,-14.686486445393001,-13.695530837287139,-8.643876830837762,-2.973262273245868,-0.41374783769870477,-2.170881889303294,-7.207015018797661,-12.79715101
7kg_10bpm,10CA,-14.07555864,-13.089344673325863,-7.571440696371342,-0.7880539836328867,2.161352135856468,0.09886455403724229,-3.3126952494605493,-4.358098794801184,-2.9351373298520778,-1.8959775145151592,-4.050619112918598,-9.44133871298511,-14.984975458236518,-16.818573018222608,-13.507676200479208,-7.062006073567451,-1.1830063544890073,1.3331540276235312,0.34336013092645234,-1.8847929041544769,-3.079696646519019,-2.6940956447465365,-1.3659233104792015,0.23684574886083756,1.6091736405081432,2.2233475533790106,1.332939850104453,-1.4602964102822225,-5.364193122559697,-8.480409969784455,-9.59078453157786,-9.598590412018478,-9.921077853284224,-10.412907012195882,-10.25472120079207,-9.361406665630852,-8.19129121935519,-7.277550805438995,-7.157428344633333,-7.997082723730233,-9.025124139598619,-9.094576295558888,-8.304449488114168,-8.355992428860205,-10.565571962435616,-13.639382632504027,-14.472137150784697,-11.719607360933248,-7.2619483299158825,-3.9608057049431347,-3.453223320670784,-5.806670443371635,-9.333191082959567,-11.352269021465231,-10.329837156025567,-6.596373304584035,-1.8894144851264238,0.6551434711858061,-1.647172135007743,-7.470670894607699,-11.91477170199139,-11.390746693586253,-6.65050374224623,-2.051841070315324,-1.5214870213962177,-5.225250588885424,-10.19375168280284,-13.539749848532841,-13.874556452919673,-11.015541070023456,-6.267567754491553,-2.535977898568358,-2.795292181322188,-7.241339653892469,-12.380549152602876,-14.53340280391254,-13.13435811640564,-9.610823932166932,-5.916676754449296,-4.216460622825883,-5.708768093168803,-9.43805664708606,-12.70927150905681,-13.48173630711014,-12.484458655972404,-11.526220805900998,-10.36267323748748,-7.551723312288215,-4.059469180917115,-3.273646495916065,-6.9528786762004735,-12.455576268678303,-14.784614611797911,-11.764243099515545,-6.301395216220651,-3.0184808162369148,-3.7564920372705877,-6.967356835397263,-10.18064306524006,-11.80681403637265,-11.51740708
7kg_10bpm,11CA,-4.98378063,2.118291106418197,7.841016284793046,10.604297109842138,9.59210561,5.5625551311229255,0.5121279297430059,-4.149515200550397,-8.465765559999998,-12.786031952821812,-16.235384586997217,-16.777228321532284,-13.1388465,-6.198530590181157,1.2489341701513577,6.085761138816285,6.29749508,1.70270237234381,-5.64629403796696,-11.737059760064739,-12.69680865,-7.362783099876067,1.5001248898869026,9.300447778246584,12.78143505,11.18556524701727,5.757703235942739,-1.1601229557278099,-6.821678730000002,-9.150273578881206,-8.105654637940638,-5.651468144579762,-3.99723897,-4.31761916062882,-6.627620315129245,-9.99405830237171,-12.861348169999998,-13.962360322331229,-12.84339326509554,-9.855546510572823,-6.498656969999999,-4.807113820929611,-5.744809163933578,-8.499477006697283,-11.42676841,-13.379195134400943,-13.93994891488147,-13.09788267049132,-11.28107503,-9.41031539687034,-8.56530803509092,-9.089945912405312,-10.059011819999998,-10.03295290932494,-8.550494849531715,-6.743101550288014,-6.18458059,-6.95342862167456,-7.426839349468001,-6.390947711991698,-4.56983768,-3.7681791555723425,-5.208725256400646,-8.388161787432523,-10.970455100000002,-10.27425062993629,-5.924766651400057,-1.2021441291581547,-0.80859849,-6.464423427071635,-14.574370037567395,-18.833182452339933,-15.62912663,-7.49988627698399,-1.4423492117844514,-2.6034664354619936,-9.18646235,-14.358733638826902,-13.26435379292307,-7.336437581377588,-2.1376920699999995,-1.4446009070671748,-4.179838704169858,-7.05084898076914,-8.69886352,-10.116605364995747,-11.838513774662445,-12.609322836847571,-11.17020661,-8.25491949277965,-6.228772098498143,-6.944216517987702,-9.886785120000003,-12.417202894699816,-12.45362931628395,-10.407367856804893,-8.02228849,-6.450961763404432,-5.997283620290335,-6.733287079710594,-8.35741439
7kg_10bpm,12CA,-15.53801081,-15.566776325671926,-9.03128903502048,0.9318596493469188,8.601896689746994,10.000408932741859,5.398766345409158,-1.8643924620843997,-8.328453394563686,-12.282784253198196,-13.631699920983044,-12.796333840733455,-9.950069261603726,-5.393621412653295,-0.3095441975483473,3.5716136325575194,5.04994039212363,4.040620019635007,1.5926701031958403,-0.5726949057405469,-1.0358250719802389,0.997078391462051,4.974871225528099,8.820927249654611,9.948152225136484,6.970254699999999,0.8524830006723314,-5.722099453064914,-10.104242537137072,-10.89739871655846,-8.586292383244665,-4.939985166175248,-1.5556979193001848,0.5005887198706417,0.027745063621506118,-3.9458584203827978,-10.453555176003988,-16.093602910259115,-17.181482619963607,-12.804990654950215,-5.9341097862517005,-1.3649248793363875,-2.0328266057032773,-6.8996744090702995,-12.052037825217806,-14.004468852857777,-12.375118801501104,-9.399583991120094,-7.284089967951673,-6.447687266705463,-6.024396220000001,-5.639243981463785,-5.974180993592147,-7.806548681964321,-10.725164884396264,-12.889061297067814,-12.891162837501817,-11.136785646606464,-8.937581298567366,-7.185027948774184,-6.322351938135517,-6.523426400914902,-7.346494961344289,-8.104790434224094,-8.513706726663761,-8.51715261808457,-8.216018392439205,-7.726605544516376,-6.961363215612866,-6.126258666142769,-5.9496885541623845,-6.908105207811273,-8.716265302947278,-10.530153794141812,-11.258927079165026,-10.173570170000001,-7.550074306703798,-4.587690494678667,-2.8311404865026377,-3.428662059279164,-6.513373274029488,-10.562537645002568,-12.900278886278933,-11.874231418807458,-8.288998459039187,-4.6193912127909185,-3.1879196899694566,-4.632225639309725,-7.699170114167133,-10.416437925067331,-11.463115885809234,-11.028883769040425,-10.57466452098708,-11.274923109696616,-12.688806999879173,-13.52710759187999,-13.15884000056753,-11.771574267689392,-9.677967314162084,-7.514655571813412,-6.33073523
