cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,-10.38051406,-9.026835701560085,-8.09866986793859,-4.810609343261273,1.6565711969898302,6.818726354725525,4.297581684702835,-6.615782953148031,-14.021675389803162,-16.19434249532515,-14.893181300000002,-12.805013266950004,-11.311313962755028,-9.81448444279131,-7.529150846109822,-5.880077447511013,-7.320142422101274,-11.267784418418863,-12.907569784011725,-8.216901382927311,0.51599796,5.776140120098591,2.530051897906707,-6.17047432990944,-12.901359363891608,-14.243125340612037,-12.646659904834088,-11.452193246476075,-11.784556475416805,-13.47876899775994,-15.947629370000001,-18.032311025064104,-18.60583726169545,-17.782353940324118,-16.80130852214898,-16.415724719885056,-16.38872462560269,-16.551697227439654,-16.713499123265436,-16.207747386426874,-15.106506260000002,-14.875513487361413,-16.185588599336377,-17.258342515301518,-16.236404762314226,-13.639283232020407,-11.358346811576714,-10.68693819352203,-11.503378283728201,-12.446381910717985,-12.126394569999999,-10.50094960124397,-8.81878498321498,-8.377380960100595,-8.428296190312093,-6.764609378229523,-3.242682304932164,-1.0749863419590284,-3.291704692360757,-8.481530881486876,-10.955083350000002,-6.841831004983239,0.18748729159212923,2.4135216718058214,-3.0886712764640114,-11.454891119853958,-15.22105421083746,-11.823098676942411,-6.04296411620736,-4.731217646591679,-9.49637509,-15.114455891857917,-15.169592066249798,-9.29538244938373,-3.671459172342648,-4.650524674633862,-12.354703226178893,-20.929432024489046,-23.980854954727562,-19.482712678602493,-11.077106400000002,-4.1771617140737565,-0.740869216085097,0.8271689995828196,1.8762525792372107,0.3316894401276902,-2.1268844730771925,-2.7932772493396825,-1.4266281731144184,-0.7080725942814947,-3.47458688,-9.710669802503224,-15.867300899962842,-17.87675358337787,-15.119118321879986,-11.354357319265958,-11.602038085941958,-16.95517242498609,-23.08561358327376,-24.390260694819702,-21.3822563
15kg_10bpm,10BC,-17.54786856,-27.998249222638297,-26.56612608621977,-17.401863254813392,-6.108992882365373,2.2544914686964166,1.6399124257052229,-11.260550444523293,-22.05365266969274,-27.72281549474787,-28.181322243337604,-24.59945865792432,-19.713695514469375,-16.44784713731046,-16.005028389011706,-17.185752890569795,-17.78883339289883,-16.774075606919016,-14.82725358827946,-13.129889175073314,-12.27874572,-12.093285891428696,-12.008892086408636,-11.77379623718386,-11.680380740423981,-12.093531233070049,-12.951808298803462,-13.785255129470295,-14.051410560321694,-13.445045635924327,-12.055939510292374,-10.439560941423414,-9.378671113959053,-9.482201670090099,-10.802585702746226,-12.623992051553513,-13.708748142783696,-13.027123290439118,-10.531681194625664,-7.364305253409664,-5.204181590000002,-5.143146191048825,-6.912894978333177,-9.113149181645314,-10.250319890009099,-9.913826889043737,-9.209969013161496,-9.934601991640731,-12.983496081315316,-17.323872590448932,-20.407679053764426,-19.757570992700973,-14.676814225081515,-6.890124684374436,0.321545861192093,3.8762859177194833,2.4209729067207344,-3.0762020147042817,-9.867139460426321,-14.742199567009616,-15.364685690000002,-11.296775277153568,-4.379191174921272,2.0825300750836973,5.079362269104208,3.523877578377725,-1.3592848874530863,-6.838394775280409,-10.117677763223535,-9.652911920055747,-5.682742372183004,-0.01523644330595001,4.848026330453155,6.926801295285341,5.61634341255218,1.7732867281621445,-2.8143419112945414,-6.418276857996184,-8.222706498317084,-8.396362183863156,-7.42622539,-7.03017980276847,-6.742892518771615,-5.342859681183334,-2.852459114854466,-0.7130193544201505,-0.6850279739079912,-3.62531132409943,-9.002317829373998,-15.127179053036567,-20.038201691845597,-22.623132216071774,-23.169133237303285,-22.845779802190005,-22.47684527764985,-21.751354070987187,-19.390050216739137,-13.912289734106757,-7.2789362571965,-1.158683246703446,2.41341546
15kg_10bpm,10CA,5.67153724,-11.955199489817977,-21.238214461646596,-9.972687497370456,3.9881783315116817,6.661620903674869,-10.823924797516845,-23.038020539210127,-27.428307223121333,-23.77592326083012,-12.49088215,2.2513811142348485,12.977183707795266,14.906814669679639,8.853113858868928,-0.8042375645526982,-9.190799100890155,-12.841702372994568,-10.973344302254628,-6.585429498207722,-3.055655710000001,-0.42117386112254734,2.7000154072890132,6.072038845496349,8.463464167771411,8.449858229346228,4.6702913362776926,-2.859076446407913,-10.061420918920915,-10.887748063325427,-4.523298190000001,1.7767288995270059,0.09981140728821489,-8.196916307475217,-14.595756110902503,-14.814305878690526,-13.391407424606813,-16.463876952574598,-22.634826230011736,-24.823175692633797,-19.778891050000002,-12.02486340372313,-8.398886860216747,-10.422856602770292,-13.12296209314207,-12.28511043450459,-9.606273924078636,-8.848791421794026,-10.60076900726561,-12.745424231154427,-12.811198590000002,-9.019445302428426,-3.6839082859043266,-3.436151960837879,-10.267459232167235,-17.138745620922858,-16.147833344133442,-8.246726755759415,-1.958259869116878,-2.557276728434608,-6.533992150000001,-8.161185431606011,-7.701761682804467,-9.85627539108014,-14.266429760401255,-14.098427922369668,-7.435678968846896,-3.066318378545981,-9.05962060661695,-19.93528549144654,-22.572293990000006,-14.183494142832698,-5.38784399031501,-5.191503569155229,-10.6258909532768,-13.412011437153302,-10.621829709531035,-5.152141255789334,0.3383036978655524,5.296276285346018,7.43550754,3.6347867200707613,-2.8456257906876954,-2.8594789213807292,6.658212211564094,16.78756296322188,17.997923689726726,10.248742579892733,2.2327610196801353,-0.7383086366134977,-1.09554443,-1.9269070643181099,-2.7826778180117544,-2.428395247450977,-1.8087243710938052,-3.0352410135001486,-6.863549672604478,-12.099267249130921,-16.222836774654834,-17.53137308783399,-17.13794189
15kg_10bpm,11AB,-16.05294783,-11.029146351091727,-7.686668100641134,-5.800910469263663,-1.69895372149798,4.436250249288209,7.02791885030217,-0.7659900216207486,-12.180897860022254,-21.122356173636522,-25.593331209713075,-23.971631764539747,-16.295959407696653,-6.168225161479022,0.11682233158710707,-0.7312664225812024,-4.70168594507838,-5.008950242007712,-0.8051416434829191,1.9401436364199682,-1.0233313514832973,-6.359296948754729,-7.8939333507518725,-4.9396122925439485,-2.2993410256520264,-3.26691623,-6.412108121538582,-9.008866831010401,-10.474642957165146,-12.167951076387059,-15.162036112244524,-18.715318723324582,-20.76443946137166,-20.32511074329878,-18.90762558074927,-18.73386331278496,-19.735179745884896,-19.311827535753878,-16.048725063883385,-12.545023273976053,-12.604256733349263,-16.301105614513705,-19.713895150794848,-19.217413902907033,-15.100247469657416,-10.707521558160632,-9.189577109249518,-11.629826987747519,-16.2988557508313,-19.031632314369208,-16.37514898,-9.548949678081451,-4.325513825697196,-5.266833435048383,-10.092205610660693,-12.071130385842796,-8.15376564484676,-2.7914848294057326,-1.8633449429564954,-4.957278082048086,-7.112174823496442,-6.47032058746674,-6.286613283861267,-9.601738836098429,-14.694239303425803,-17.060885225877012,-14.357939716180482,-8.907595026618727,-5.601039165615939,-6.865816960129028,-10.318195352876094,-12.316950281498585,-12.642141288010144,-13.434534298077489,-14.268450234841767,-11.812197840000001,-5.40972578975416,-0.002902671238900048,-2.192643301644041,-12.516145822357673,-23.738358819542395,-28.15596954211161,-25.108990557725964,-20.30925135878975,-18.44410231006691,-18.716185138521805,-15.406464735612097,-6.37975408131534,4.571843504951772,10.86607100918832,8.786497176936614,0.0357073918664646,-10.871675752909994,-20.20486883265111,-25.931528140944543,-27.212633219368744,-23.976292694708093,-17.604489192299326,-11.195778869619012,-8.304089834606653,-10.74327717
15kg_10bpm,11BC,-25.3265878,-25.050326688133428,-16.19255349158296,-4.784272365939687,2.62484478425658,-1.7745130934093019,-14.737476335042814,-22.301278963693676,-25.771905813172555,-25.886559247292002,-23.35591390451131,-19.40674430839971,-15.668333779226629,-13.404662227424204,-12.878154412399885,-13.36158681206635,-13.823487918375333,-13.635984866541897,-12.825277131933388,-11.909457898465487,-11.463863218512968,-11.900956300204097,-13.279774311914164,-14.936245473675683,-15.751811113743042,-15.011624880059987,-13.05582798171426,-11.102881846067012,-10.194138129285731,-10.265155319183805,-10.263108217193984,-9.01170771981093,-6.315704664819747,-3.5096483053905407,-2.7744393824993048,-5.5815950881467575,-11.358931575379959,-17.435908264174177,-20.510933335705978,-18.844222928651206,-13.656524334116357,-8.55242573318895,-7.254493415493964,-11.154630387184486,-18.22356714085052,-23.996349284078114,-24.218808285487068,-17.66787253097982,-7.466220575845709,0.5117875098238456,1.6262616002792323,-4.133339767082236,-12.387659576653784,-17.838807966804687,-17.935290710584717,-13.737977560578594,-8.189733656517898,-3.7209633404944835,-1.0565269655961966,0.17807747485500247,0.30053047822644496,-0.7067284313654164,-2.5982636969984996,-4.472993555818903,-5.510303904749869,-5.965045816711214,-6.827242462636573,-8.278469874150122,-8.946298761232294,-7.266324809010786,-3.2333394851674413,1.319809821749191,4.076875811618067,4.001459643683411,1.9704161039465964,-0.14973994992366546,-1.0798843607704507,-1.2575237419335976,-2.2089760095842803,-4.6898478548692095,-7.810916904516903,-9.91491909800976,-9.824411435077298,-7.276267451432509,-3.836609591853984,-1.9650024999859868,-1.4299674799605073,-1.8132108132674345,-2.9143063121281005,-4.881855427697402,-7.909887464246684,-11.732085515033829,-15.513823909616287,-18.329759415707702,-19.773236726533483,-20.190593859747775,-20.34079021914568,-20.528172736182142,-19.86957448551549,-18.117684543466467,-17.35739174
15kg_10bpm,11CA,-10.16721306,-8.293757001420873,-4.543182140160286,-1.5503495001073098,-0.8497209204425166,-1.4835227981357104,-2.337951200742299,-2.787107440149651,-3.0524339109481335,-5.311891114156738,-12.601787335980276,-20.738278214642026,-21.430193110700024,-15.220284735844057,-5.842675711978184,2.8185756847908707,8.05327342654477,8.10565958303674,2.7963072037509455,-4.932526910502428,-10.31723546025133,-10.557033166828582,-6.459441428900422,-1.1539065991094104,2.0346729107866097,1.8032666664321662,-0.05375285594361003,-0.7183335481680363,0.4611531622651882,1.698163824875835,0.88829742068764,-2.2881767785798806,-6.3106057239752955,-8.381843236656708,-6.232411452393658,-1.4697000098127013,1.2168420232997865,-0.7154579192974417,-5.29981098179783,-8.674247459991811,-8.470458063561372,-5.372802600255087,-2.9518908111420052,-5.025955444272455,-11.386766259320853,-17.65235509395967,-19.86915490425969,-18.041008573659568,-15.233664796300447,-14.310110609802678,-15.388065020000003,-16.478279900317823,-15.732360116984134,-12.750120177060412,-8.95325959937188,-6.439442135805185,-6.131274942849155,-7.501406946953761,-9.520597177346326,-11.156793045423996,-12.087919083519859,-12.294555334027615,-10.664643386834717,-6.411361786476151,-1.3992275126104445,0.5756636052072861,-2.057391358788301,-6.829204172322502,-10.53330414068907,-12.424129800177836,-13.281424837118406,-13.20291571309521,-11.557572137022506,-8.304135453997194,-5.209170186530835,-5.483131237652473,-10.673898177751957,-17.111765276660794,-17.409345725834275,-7.5483252227107975,7.850470269501821,18.26777370029518,16.083292260520526,4.023357786927393,-7.265254693950407,-9.623176076821496,-4.013951165598052,1.4762822316456221,2.7962566278032592,1.014288871648982,-1.014252709583944,-2.557381268715029,-4.8530439850546765,-8.122046679317423,-10.514959198161424,-9.380484731420134,-3.9394611048007437,2.9399689309433947,6.60958551119454,4.169158219140847,-3.16503278
15kg_10bpm,12AB,-14.18884806,-16.99670075270246,-8.35828160853084,0.0999183800921474,4.870643506646956,4.726685396618998,-3.6973753310832014,-8.140854296109167,-10.080896408110535,-10.937437768311794,-9.84042591804337,-6.788437948799705,-3.5189708817317906,-2.033963307324229,-3.1594278913420144,-5.7350009791293,-7.502138491059581,-7.047843161790318,-5.198789984964803,-3.801286426815526,-3.7463488,-4.961668862931946,-7.254785400531223,-9.398410202370217,-9.44702441829171,-7.191738585031421,-5.490741137298533,-7.309591905615336,-11.821695277136966,-15.52214089149467,-16.66556299175228,-16.0390920302297,-14.577422893368137,-13.096538433670519,-13.104770023646186,-15.385045488581413,-18.25223364612337,-18.698184375588113,-16.44477052544335,-14.462605086217339,-14.49677994,-15.203698223794515,-15.131885917102498,-14.722972540490389,-15.231552994511317,-16.48999848207195,-16.329724556800997,-14.357417206235645,-13.823134394150658,-16.220276424983552,-17.131626204783533,-12.509047987898272,-6.1722496664761,-4.6308482247654466,-7.79294251388054,-9.70615694318649,-7.162137423334898,-3.8371135009358994,-5.088026375270374,-10.860163598548311,-15.747543089999986,-15.942169570904236,-13.022787713278497,-10.292258300235728,-8.654236124123916,-7.431889988275361,-6.801666654468778,-7.983705337407127,-11.622189782988206,-15.931650067965087,-17.200106755501217,-13.885218822231195,-10.101253229615574,-10.828468636209614,-14.753944906695018,-16.89740230568068,-15.353678341453769,-11.821440169070469,-7.937517958867254,-4.574711523394255,-2.6138548900000003,-1.7421744702122108,-0.8617657149322325,-0.4383861530157316,-0.08907008329033231,1.4504046476332009,3.8967324987793432,4.493680225802316,0.789198482039253,-6.924541715164088,-15.88818573604166,-22.07967813193865,-22.899926139501485,-18.913686965056453,-12.870842958514313,-7.570110814643535,-4.560654461244805,-4.369062074307727,-6.62581763485284,-10.042477294747842,-13.73071581
15kg_10bpm,12BC,-13.58984471,-18.063992119459538,-18.813757140642622,-14.46927996790617,-8.582283136461054,-7.393578283683824,-15.635497342949515,-22.45330428387143,-17.710100089807575,-8.305100594885982,-0.1332049179123605,1.1000328112849103,-10.313340868766087,-25.37105505666138,-31.940096464898645,-31.208015886949486,-26.187891805636504,-20.166941481407736,-15.523729916728918,-13.021091424673038,-12.11124921314318,-11.981683064795456,-12.21267761146271,-12.82872600014467,-14.106341104298801,-16.05504522,-17.982490195940613,-18.99406989652354,-18.416776674273365,-16.136799508475008,-13.02930029948741,-10.359292580436115,-8.672730837071102,-7.5931351760374035,-6.633946483917802,-5.920757576958968,-5.929653511119509,-6.825004131003716,-8.222257310198955,-9.443920039853346,-9.914370850538077,-9.601762350988986,-9.153708447857394,-9.284866173439191,-10.134372400342157,-11.233696835392877,-11.765374711891466,-10.98513469257007,-8.992226758768721,-7.012045982539024,-6.37788774,-7.1586679122439465,-8.078757300876362,-7.894230928312158,-6.728149113033893,-5.724813902961582,-5.3938573508724,-5.179885225153938,-4.502977253118454,-3.637406634320124,-3.6033791368036048,-4.97379863373364,-6.662080625337181,-6.499406913207072,-3.6564294994775244,-0.08143582855762538,1.0364182880951556,-1.6717341968407864,-6.206601642516859,-9.032789929067324,-8.342017416912276,-5.410495395017178,-3.000229972305425,-2.7363847349307924,-4.053450578352206,-4.958828650000001,-3.477367498208912,0.7711443560831018,5.534293636565977,6.891815485942688,2.487125369540049,-5.595775209079331,-11.783121410118994,-11.512729853684608,-4.6425219776510955,3.1424282619816672,4.7008331046254686,1.0575644606305135,-5.822520986334766,-14.678289607156394,-24.7057319586295,-33.88478342364451,-38.80448014493362,-36.48078546526276,-25.978979138031388,-14.272376613757165,-8.25611839807071,-7.862997922352529,-10.332642014447083,-12.357895186228983,-12.64229829
15kg_10bpm,13AB,-7.6234488,-6.803448988659139,-5.408456667718286,-3.211604934708124,-0.7405218805392786,0.7410700985924272,0.8374265693985035,0.7622510437489369,1.557965156907638,1.6230001875344022,0.6932988939348477,-1.9242148582393568,-7.855020439843154,-13.654060473400403,-13.737834316648035,-6.4641663403664325,2.9077104778179113,6.595504154739156,2.2421038124344648,-5.413793508413756,-10.288714011153921,-9.58741549639166,-4.296150893354467,1.7574173504538888,2.70144163575752,-5.150757606200514,-18.046997707025056,-26.098864262205794,-23.190832110069874,-13.478211410043482,-6.243607489540886,-6.535438296129623,-12.198138565999468,-18.688222794851054,-23.422076506366068,-25.1230707748686,-23.05618635699594,-18.452157098482445,-14.008918451300405,-11.677798559210716,-11.804877583719005,-13.678082845145434,-16.05095863339197,-17.22780218141046,-15.918117501265982,-12.673759992809831,-10.376126255056768,-10.910775374714017,-12.123438548543735,-11.353467008835997,-9.869979872284146,-10.380471071194089,-12.471045599196467,-13.556025185668311,-12.291665846432371,-10.097687596739856,-9.198046167382694,-10.980610447764729,-14.180932096280301,-14.326839934698139,-9.13902914849832,-3.103951329697689,-2.297810096872505,-6.4377030703903095,-9.080105325627564,-6.518501918814214,-3.5672707155217624,-6.597702244284488,-13.211981904367354,-15.414407208732227,-10.591537710955325,-3.9389755353843654,-2.9102596692279796,-9.5476120705977,-17.886209448084404,-20.714726907563346,-17.741687603818498,-14.459760890155236,-13.218622084042707,-10.987129016122076,-6.841078474965054,-5.66044372251027,-11.72334231298557,-21.734949644534257,-27.945187785372283,-26.967611731155245,-21.521640122131103,-13.967811012676558,-5.283560947718149,3.0014857131246924,7.349425018006974,4.097792164697308,-6.539018143934374,-18.53540601855414,-25.34209645655237,-25.870183410235143,-22.838015408497213,-18.293219113871288,-14.32143144720931,-14.141126480916569,-18.29770363
15kg_10bpm,13BC,-26.48923495,-21.19905134271545,-11.509844570018865,-3.0308641548448803,2.2252057112845653,4.553935765461815,3.7328764883986265,-2.8714099995113664,-12.62078166912322,-19.83458241126558,-24.91836717037536,-27.313125906435964,-26.644045798686598,-23.5920329731033,-19.76033681588447,-16.74371753214832,-15.036753584796587,-14.089775064921723,-13.135727053572866,-11.621809176030109,-9.507091981888163,-7.267883571124033,-5.519087563076434,-4.714981989260449,-5.1896501420654575,-7.161470261665121,-10.367403285249825,-13.703932364029638,-15.623360531248636,-15.351162917418451,-13.427265294842982,-11.089175420210953,-9.303318904860406,-8.225281701691321,-7.462338111508446,-6.630997620793755,-5.539807474746056,-4.318996120337592,-3.6048249811317468,-4.1720847440168916,-6.1065773517443525,-8.569671930633618,-10.408920803701603,-10.88386140323619,-10.144451581195183,-9.122948804444764,-8.849018644293162,-9.694111741485392,-10.847129969238875,-10.666946165496585,-8.129158201094185,-4.18477106390098,-1.5419739404691166,-2.671726423232291,-7.469765111942765,-12.934187037352746,-15.270397558686934,-12.58693404617802,-6.197209388060578,0.33636700585944523,3.71740631529831,3.0903824819957855,0.05304543926693557,-3.1323353704175005,-4.997194046344545,-5.088793426385413,-3.6015237833507956,-1.2611927997952315,0.4106537588832742,-0.23847943548573883,-3.2857964350414584,-6.5683630082608735,-7.337421529243234,-4.791021711731373,-0.7906799219057377,1.788561805676572,1.3781386451039028,-1.3113782103968934,-4.271563524688198,-5.913172695080183,-5.976374984167258,-5.180104548852106,-5.407930608130746,-6.005479268309195,-5.243857607968823,-2.2177146234542824,2.0421350442016375,5.008789927066167,4.238313145042028,-0.801061152211292,-8.121361482468517,-14.65737918297391,-18.357986668314297,-19.024509732018096,-17.853479499658345,-16.350376321942555,-15.446532020563675,-15.291950081260213,-15.629336899040517,-15.726801937320806,-15.62804122
