cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-6.11253865,-1.1379150788599723,2.034747420962562,0.2675242016016502,-6.262042572837715,-10.45787612172065,-6.904522203221559,-1.3933025268365045,1.295195362513217,-0.33452063983403457,-4.688192680091065,-8.45967243438992,-9.275472921793343,-7.884641494610677,-7.944414001435766,-12.122509282454466,-18.442094563858767,-21.40434615591463,-17.55674227523637,-10.201146791112343,-6.8581703531829445,-11.292862746810085,-18.29316612397616,-18.945462776023923,-11.080972138972136,-2.176362116212002,-2.392265410675161,-14.373901212684363,-29.83796568107294,-37.302261276218545,-32.79108306981591,-22.212939264297937,-13.860752596019209,-11.710821416167523,-14.821310624653158,-19.39438834095848,-21.807028248912978,-21.286630486436803,-19.642226287030912,-18.747158056343437,-19.024544742495284,-19.916793485404572,-20.57660361000904,-20.53580244797584,-19.28802671469758,-15.838919593899924,-10.82655154034207,-7.60701790030055,-8.085087523685168,-9.259849249045471,-6.54984489,0.6110091394830968,7.777097301950142,9.445315107143745,4.6297050351400335,-1.4288684497465238,-3.0586254880578316,-0.6808586502975376,0.6698690788216903,-1.2120691133040937,-3.226433789812546,-1.9914315274696888,1.3322484349599817,1.8078085799770178,-3.2714183629606977,-10.368640686416722,-13.774621146400332,-11.931271095958378,-7.495170847605445,-3.3058640100037886,-1.2881925037956354,-2.5571538180437945,-6.180605499546848,-10.03290591537314,-12.453514880879156,-11.660024324880638,-7.555842370474716,-4.0505806628303125,-5.395420600179743,-11.191299374275088,-17.050490035478614,-19.20512669074179,-17.147878848314072,-13.231016296132955,-10.42605352509555,-9.747171779213625,-9.233864339631124,-6.6653204538290485,-3.6282603348117246,-1.5888261290944092,-1.4257057534476398,-2.8357757366776104,-4.886447723871961,-7.026451438931111,-8.742081888022915,-8.779831261515168,-6.439489957939789,-3.5583954908048305,-2.892470403234698,-3.9247401834408033,-3.79617727
7kg_10bpm,2AB,-4.69827423,-0.3213155569363977,1.5707038997290255,-2.383771942067273,-11.813936286478736,-14.257886578639622,-10.974626067056438,-6.205211432796489,-3.3315175994086053,-3.4674296449858266,-5.5622613537592525,-7.969079349701508,-10.186956182022234,-12.90398232358873,-16.394257732798604,-19.275769319894277,-19.234257276294038,-15.110477662661424,-8.282443684235526,-2.206213097285923,-0.14179533099379366,-2.851061411987442,-8.285369385588833,-12.999197133467543,-14.768691165920803,-14.341594538947096,-14.037237211415793,-15.104489249179547,-16.789397719783054,-17.65161665644138,-17.43827489361706,-17.34458489473621,-18.639968205905436,-21.305308900371045,-23.78537510091077,-24.12807343410044,-21.573687493301616,-17.321079248226763,-13.52743808115624,-11.04353264982161,-8.482838085849973,-4.242690874297465,0.9382419158098884,3.849906057211139,1.5415996717707352,-5.72047646811253,-14.096343606543364,-18.458907181290876,-15.995839979681506,-8.585258388406972,-1.0457804320360102,3.145066993377013,3.9781251551815497,3.488776246893285,3.2510632962116315,3.3267018176215357,2.8500946799730675,1.0832984437255595,-1.8543930009322689,-5.027519255628729,-6.948553524064701,-6.110601286239681,-2.5529523646040753,0.9965071588998136,0.6850930509297559,-5.092429118309771,-13.472664804691144,-18.83528996920863,-17.239361113147993,-10.053009043840998,-3.482273417233436,-3.456813326656758,-10.542188672334955,-19.72217761796098,-24.506219970057987,-21.334948593340567,-11.905625092697967,-2.4012425519327034,0.3927677153083038,-5.710319888295228,-16.227473829279226,-23.508039642949075,-22.794300950079,-15.64085239984137,-7.764067476150726,-3.528644829777896,-2.1087400823228926,-2.732642062287184,-4.007464859979525,-4.495880518438984,-6.177991070146505,-11.209944727203538,-19.037102756852953,-25.48699793469465,-26.19828439756816,-24.51247060934047,-22.282694247667283,-21.660757785452653,-23.38054378563747,-26.095852506984304,-27.65982728
7kg_10bpm,3AB,-8.01673422,-1.281044368558474,2.3875401806920395,-4.4901529998607534,-14.673278819288992,-18.109432677336574,-16.96489753811689,-13.422318020722713,-9.103370188864428,-5.45900940853003,-3.910191689388127,-5.135781333736974,-8.222364534250172,-11.005450074630525,-11.762733469821653,-10.804456868506957,-10.223315079703742,-11.733387913082064,-14.686420305212911,-16.44383874549888,-14.81009049860783,-10.371259833154092,-6.589275614436662,-7.200658461350534,-12.860177683991012,-20.295930598843128,-24.891117632375597,-24.402204123889142,-20.458436240055505,-16.43133564732112,-14.652641371954406,-15.575112589642146,-18.366753176481073,-21.490570321718003,-23.085583878964204,-21.82581584983232,-17.96926158588137,-13.21748564739441,-9.515991272333254,-8.088417300527087,-8.944656475781134,-10.755645601930281,-11.602735851572875,-10.337070957159526,-7.615354337458173,-5.449502453429874,-5.289996032743498,-6.02639666033201,-4.823353323141851,-0.6987729287023532,3.71875938,4.787112369489247,1.6690493981569854,-3.0001571350927567,-5.715000813692151,-4.963758719761426,-1.766551509762699,1.9301304337023384,4.86685374572812,6.441875737542323,6.03182112377684,3.208786965264392,-1.4912181043209785,-6.4848637950396215,-9.722309566788958,-9.703195308068024,-6.278452314402568,-0.9276829830445346,3.4624648122791135,3.971224283610382,-0.20587460516907763,-6.988227507332822,-12.983388103041174,-15.710206838829992,-14.552134788769036,-10.586310276726431,-6.285264219333568,-4.525081342663612,-6.669277760686574,-11.281207972261306,-15.1409902099784,-15.814382579042386,-13.199756521133846,-8.913452407707108,-5.411898742466373,-3.8702394821830537,-3.9597852873094683,-4.291969280506954,-3.1077663278759684,0.11442364633483258,3.7102045105540666,4.800067285457428,1.5396956222687104,-5.260115677267417,-12.565932121073772,-17.296864545262007,-18.255455325239367,-16.310916546185787,-13.120340800901824,-9.974333623580932,-7.62482463
7kg_10bpm,4AB,-8.24282043,-3.2618374994685033,2.0687666297280805,-1.798255677912059,-13.232730753821523,-17.955446714797073,-17.420651219201375,-13.949924807774723,-10.000909477077979,-7.331807472124992,-6.407314249126766,-6.665041794564305,-7.582925293553124,-9.459958896473601,-12.821448953541825,-17.028596246161705,-19.656003967972985,-17.787024781809343,-10.941578898595763,-2.8132641189120204,0.959694917889165,-2.1132059746972436,-9.17612001688381,-15.435219452325926,-18.704172093080143,-19.925394142898963,-20.383041546144916,-20.08334919113356,-18.75932932541404,-16.861662620042114,-15.157816324816274,-14.138162086853193,-13.858516547397441,-14.02527783189403,-14.13006740673479,-13.76390385202327,-13.091293597905668,-12.874270698124482,-13.657581442847464,-14.929008459473833,-15.320876563352554,-13.995259348932631,-11.69248692646998,-10.040445981386313,-9.990344304898294,-11.182896483825068,-12.361827712752438,-12.24431424787054,-10.5639035453522,-8.16495985923609,-6.254695597324772,-5.821972241894438,-7.071410181310786,-9.038502981365827,-9.812865457983984,-7.894092957036337,-3.400527897157875,1.9677498395704105,5.974537097959623,7.2838300912539,6.118036527613127,3.8529722638638617,2.141394188468768,1.4996554784195182,0.6535730289695282,-1.8344956749723362,-5.285308136294653,-6.980025071545223,-4.2591531154401,3.0501301614855874,11.095338432272573,13.271456367059528,4.5034326262224615,-14.121259384888084,-34.39374489973852,-45.810137860950725,-42.74414351860957,-28.08681774842996,-10.92798795732224,-0.21852300266950347,0.9453359011689397,-3.9939438556639897,-8.965564446746583,-9.872497745845013,-6.4160023086452975,-0.9232290003037261,-0.646924952281489,-4.46833365192302,-8.453341542573273,-11.495706704271345,-15.061192095566925,-20.120445570575953,-26.023417829735,-35.04965346982119,-42.06312920318205,-42.67783301601561,-36.729478537702434,-27.777097637594927,-20.210427166203836,-16.590386680849488,-16.93770069
7kg_10bpm,5AB,-9.54197364,-4.629294651897582,0.6526158056608805,0.7134291653465736,-7.415692997614995,-11.92582044,-11.57936708656274,-9.69664907150933,-8.923418299132097,-9.965444464799749,-11.37161793,-10.985499837528206,-8.189924633711842,-4.874613512792809,-4.043582736879995,-7.0705311899999845,-12.0934111354084,-15.173841150015477,-13.40622284149345,-7.288451834256985,-0.46808406000000014,2.759519216933784,0.16602892528908866,-7.098060908115214,-15.470917570525202,-21.561919420000002,-24.034382276625053,-23.60696488343112,-21.937653694581783,-20.662120753198284,-20.560513219999997,-21.039327239262274,-20.623576607958444,-18.422460893322278,-15.24451128294883,-12.91960712,-12.46225681211174,-13.204615514006662,-13.77827005502256,-13.443165612418506,-12.46599408,-11.529643948098133,-10.893202763724588,-10.281381951941832,-9.442941699327916,-8.41887149,-7.245378119990891,-5.821563771415366,-4.272510726730067,-3.0612266644796446,-2.62769444,-3.1024953332406806,-4.028862129801245,-4.499289798060442,-4.086324754980883,-3.3559107899999994,-3.1798530843308126,-3.4532970414784536,-2.861084249336249,-0.061668934600526734,4.572870399999948,8.287539550671239,7.947133880466033,3.0781906903328458,-3.18672127362969,-6.274678729999999,-3.825567452007275,2.27951982641154,7.578149032932929,8.489869924162711,4.55187419,-1.9853804330314495,-8.2084375866424,-12.278959338099172,-13.824853073169,-13.63131518,-13.091029926223284,-13.327658431762915,-14.54046846199029,-16.129612289669552,-17.30649874,-17.477467784747954,-16.163028984826482,-13.231496952133089,-9.968964208925193,-7.2924625400000265,-5.345974836701312,-3.444120001502708,-0.873091765938278,2.1226477339461427,4.044553499999999,2.6926497941398106,-3.3580445764555273,-12.88197545477671,-21.783320297167467,-25.738367799999995,-23.296676649610635,-16.53376659437445,-9.035128900309488,-3.6118572300598917,-1.47453418
7kg_10bpm,6AB,-11.47512701,-4.334701835926199,1.6270408286140743,-4.871237533526992,-20.446799191116142,-27.89492814531503,-26.39671537552699,-18.717283759050623,-9.4722861894003,-2.920371399026886,-1.0927656337172895,-3.2298065405176253,-6.765142212249438,-9.105802224568055,-9.18281024075162,-7.966244152038201,-7.4039900126491345,-8.485266407004843,-10.207599427529397,-10.428847421770543,-8.199572478531994,-5.196237858983867,-4.482084043251769,-7.83741363153072,-14.175703506364679,-20.59725818472134,-24.743191222524864,-25.927514414408368,-24.732411597339784,-22.19764976337381,-19.436825754195983,-17.47127753508231,-16.818897327768976,-17.25018371225066,-18.07455625392355,-18.715753286007047,-18.8037497257327,-17.79666046762166,-15.114908426420802,-10.863212107327877,-6.3827452667953555,-3.849373823607843,-4.780195856849391,-8.620237136900368,-12.817349704090141,-14.448457338262184,-12.265884218651914,-7.484687046054776,-2.6485132775613125,0.2615810500724793,0.91117802,0.40903358897398384,0.4619998547841731,2.336371101818911,5.882640843464142,9.194342733611533,9.544212822092524,5.4229889091842525,-1.8889616522116242,-8.834806583493428,-12.107671267579912,-11.001132230314091,-7.662719888358605,-5.092440865138936,-4.594238202061006,-5.034594676887504,-4.474584202477482,-2.2734659451013552,0.07170042977009648,0.14523134877424365,-3.0867570684250127,-8.278885220668876,-12.795888527051371,-14.816818675127992,-14.599794610133372,-13.767979122095612,-13.572879331982827,-13.961883385721373,-14.00546012280911,-12.902721456668845,-10.519302722227437,-7.282061697961608,-4.257699863689719,-2.343509371291725,-1.7291960744823724,-2.0251138341841446,-2.364737526972631,-1.949136728187725,-0.6171891539750486,0.9739153679828113,1.6930739077423347,0.5816571696593164,-2.777814840818963,-8.220398407465355,-14.797721594938025,-20.815413435249265,-24.29629878374108,-23.708228909676517,-18.886104027263844,-11.402175362083101,-3.8254296
7kg_10bpm,7AB,-8.1788734,-3.584477542779433,1.143621617832074,-0.3779890103733178,-10.392227332586653,-16.707699647619247,-17.822786864021804,-15.603658256060623,-11.992831004711553,-8.369890263606335,-5.508339239070764,-3.657462084697735,-3.0934796830694804,-4.497438926388888,-8.482255264524015,-14.209340732622127,-18.904324841138976,-19.430716935220723,-14.634644074229687,-6.805156397395234,-0.7176711623757454,-0.38486259786445026,-5.795979246694173,-12.76416818479313,-16.835374720127795,-16.846145014223996,-14.697579155399913,-13.133058738876581,-13.666638491553446,-15.58182086149882,-16.900756552997187,-16.755017758285433,-16.33060240590723,-17.018597761371467,-18.52578733738214,-19.2951327663093,-18.32755784628036,-16.244093012249014,-14.601031698377792,-14.095522390750336,-13.325986286160457,-10.06487387621986,-4.127825097725747,1.1561495510348034,1.1433879473486932,-5.694481845236949,-15.234321980037238,-20.350528163493294,-16.947020947765004,-7.533161890699109,1.1755452718572037,4.0012976650175505,0.8231945290824587,-4.56042922277611,-7.612554455461947,-5.948701516433036,-0.6547840961989095,4.5721585786943475,6.177781210486233,3.6167478007955283,-0.3218018652222051,-2.2778251320832594,-1.8804814957905114,-2.0998568562465874,-5.292547306660262,-9.993585555860403,-12.398596834395626,-10.33526665775583,-5.370320476683408,-0.9968873116974771,0.5305767200991182,-0.6444892441489878,-3.0913900735870166,-5.605627624453607,-7.601533676976189,-9.161835581926939,-11.182053900030768,-14.7315199100372,-19.75164581516124,-24.62003058931205,-27.471345652353214,-27.855822494326343,-26.478870759946954,-23.68229909238161,-19.68589717439294,-13.983980351577847,-6.40266194815856,2.1205816940838296,9.399660867619184,12.862323215073905,10.998721000090242,4.271677726510687,-4.906951642971734,-13.244881573409652,-18.276873918597815,-19.201241118155252,-16.1451307543285,-9.847528557621303,-2.3371225770074395,3.280992988679317,4.44246092
7kg_10bpm,8AB,-13.39495923,-8.114359600197451,0.28876536451074375,1.4419741401985258,-9.646246803967172,-19.04217255180418,-20.442627351882084,-16.365352572809922,-10.733658984623126,-6.0714907158051545,-2.6126847229165717,0.2506515266216649,2.249724712228581,2.258045008975568,-0.4057347592359594,-5.053330021085879,-9.920113817683976,-13.212661097768931,-14.253669447096561,-13.88285861082161,-13.739738760137488,-14.921105728708342,-16.87549881331059,-17.654793281330633,-15.987780410303392,-13.186178625390633,-12.272793583370065,-14.755202366701887,-18.782514500647075,-20.80863909208324,-19.348602494891956,-16.43565837479747,-14.841602636297512,-15.137027123186277,-15.781486045386862,-15.548489198470374,-15.122933782942308,-15.692531987697453,-16.612270313778502,-15.819381493167395,-12.638541746261996,-9.160320679407977,-8.038887900776276,-9.4527934280229,-11.062714510556019,-10.626479315126383,-8.0342200885033,-4.780887136345306,-2.2130041110280283,-0.807272408324246,-0.41106372,-0.48220348070118,-0.21403881450512477,0.8043363088853434,1.6414552104177698,0.570517636271571,-2.95431880271325,-6.742641755492618,-7.669423053318559,-5.1746420854132165,-1.9681400332320798,-1.0663523376331845,-2.8770481226853235,-5.187560547292149,-5.846334408336836,-5.14818231601261,-5.103163823344827,-6.56467135343742,-8.108095849072392,-8.153775903471542,-7.43690914334007,-8.498533200004097,-12.307065098536292,-16.48232419869054,-17.340442938365584,-13.355441320953851,-6.81574059531333,-2.0828605127845323,-2.450501564458707,-8.084671979019694,-16.08073095283499,-22.427502962475813,-24.464851158810607,-22.165482586401218,-17.445432165715797,-12.407300324355628,-8.574373535485314,-5.376659696545437,-2.0943656119258174,1.3444668018898447,4.095723264157064,4.473431357808105,1.0322904671765754,-5.814706753270426,-13.594109531510016,-19.20289508825912,-20.528739448993157,-17.222293210847056,-10.676434053161717,-3.4549300661340268,1.72309649
7kg_10bpm,10AB,-9.6009284,-5.731901870933649,-0.364549957232145,0.3586284171398178,-8.724871825634326,-16.49441927939106,-18.31332184167619,-15.734536650905866,-11.78900964541591,-8.126744318179107,-3.937216748836042,0.535679397573792,1.8029865429480494,-3.282163803548708,-12.147930141657605,-17.180828232652374,-13.855500401067696,-6.458217837596646,-3.7449250795934685,-8.687099627243132,-14.650280507536522,-13.889754594184618,-8.281003462180518,-6.764048530964246,-12.566261515656338,-19.27388954248987,-20.164308897319426,-15.757031875222413,-10.607626495975767,-7.992875630934341,-9.080422676901298,-13.22711207341625,-17.489282585769647,-18.288780943587078,-14.922170482682974,-10.49263374641454,-9.175899451938246,-12.01644852795619,-15.798521692109858,-16.948177973157264,-15.150858493530547,-13.031752015995691,-12.790390128004889,-14.214672634499356,-15.514464729858966,-15.553309999515939,-14.595125714655602,-12.970656461718107,-10.628168461821577,-7.816318025226701,-5.218082240000001,-3.048306571735232,-1.4347261127539008,-1.4943577500259368,-4.076835054675514,-7.336311323931535,-7.728586347659095,-4.794049260282605,-1.7879076553172364,-1.276496924438678,-2.6166397911206567,-3.3748388904912847,-1.8679543106108814,1.5446837435470402,6.033396467820684,10.791271756645715,11.696498121667162,2.777061936678193,-17.047419186995814,-40.28752289077236,-53.241396725613434,-45.204270260254084,-17.232271905668046,17.263485041619617,39.25366627114333,35.75052602827144,9.43702306915387,-20.957259887194155,-32.9082491388999,-18.283801782871087,9.957611824034462,29.89574072410888,29.10416431219941,12.182067300435593,-6.866235457920172,-14.71124917515619,-7.390404333406492,8.643179448226912,21.08973001799109,20.230006519810015,6.239199074671552,-11.67715807838746,-22.67323371233616,-21.648234116228505,-11.609252118460462,-0.7437956188444262,2.9369219286327795,-3.5767481755072064,-16.237177023717003,-26.492109306191434,-27.78360636
7kg_10bpm,11AB,-12.09200013,-3.8206050768088464,2.2383109827241836,-12.981337665259582,-21.269333098335302,-19.758407707348013,-14.034633443638654,-8.388203871774694,-4.478053415817445,-2.16060766061241,-0.9537889155205902,-0.831367981350278,-1.9581500504920626,-3.540825154199567,-3.9406393962981223,-3.071247993576169,-3.56207457089352,-7.981179888241093,-14.687548965039436,-18.279784910492836,-15.861897110000001,-11.045692637179984,-9.32793139040309,-11.111175041796368,-12.664941267957111,-13.153752229858807,-15.312719937063882,-19.022895797476906,-19.906221991512016,-15.582137665453144,-9.459864854697715,-6.560058737153959,-8.10772644296912,-11.545958464643226,-13.92144276324921,-14.77587350727149,-15.807304705458556,-17.35092904479415,-17.146359517841333,-14.016729409203647,-10.067121860000002,-8.539315823883966,-9.988242636651385,-11.427216885428328,-10.639690666670674,-8.532868230677098,-7.648738037031965,-8.88022039530516,-9.03343973082871,-5.630592762341106,-1.9060963777614233,-2.3181293212005194,-6.006394796920422,-8.390631531630246,-7.594596017398179,-5.9456768883029225,-6.030869380891462,-7.345341495158581,-6.7917724078601225,-1.5844323932231494,7.50301372,14.36098859178168,11.816691800086533,0.0369105301235313,-13.344219373118198,-23.124012082119396,-30.705623442156426,-36.62279683578462,-34.510551442436224,-17.95274112564693,7.473752345075499,26.438048597083085,27.874636761422714,13.53653492918937,-5.027221954743501,-16.011719396654073,-15.726483014706712,-9.873793596373883,-5.919131518459437,-5.604401966783321,-5.865490340000001,-4.0313234036985435,0.34590570027893286,7.001541085937219,13.874989183939029,17.268599351420768,14.307220340739686,5.601883188521406,-4.67567773683859,-11.632811991605022,-12.892656212783255,-9.431630286173927,-4.308452450565143,-0.6651778651622896,-0.4112052107598522,-3.2599957687614163,-6.981684196664072,-9.384247988584619,-9.456104624631319,-7.753653814231168,-6.31234813
